B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
73	GO:BP	GO:0070925	organelle assembly	1.3872247476271951e-09	True	"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	963	95	25	21110	0.2631578947368421	0.0259605399792315	query_1	['GO:0006996', 'GO:0022607']	['RAB14', 'RAB34', 'RAB1B', 'TPX2', 'RAB7A', 'RAB39A', 'RAB8A', 'PSEN1', 'HTT', 'HPS4', 'RAB32', 'RAB3IP', 'RAB38', 'RAB5A', 'RILP', 'EHD3', 'RAB1A', 'RAB3GAP2', 'EHD2', 'AURKA', 'GDI2', 'EHD1', 'RAB23', 'HPS1', 'RAB3GAP1']
74	GO:BP	GO:0006897	endocytosis	1.660036540504918e-09	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	95	23	21110	0.2421052631578947	0.0288220551378446	query_1	['GO:0016192']	['RAB14', 'RAB34', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'RAB39A', 'MICALL1', 'RAB31', 'RABEP1', 'RAB5B', 'RIN3', 'RABGEF1', 'HMMR', 'RAB5C', 'RAB5A', 'RAB4A', 'EHD3', 'RAB1A', 'EHD2', 'APP', 'EHD1', 'RAB22A']
75	GO:CC	GO:0005802	trans-Golgi network	1.8523588209159798e-09	True	"""The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."" [GOC:vw, ISBN:0815316194]"	265	94	14	22122	0.1489361702127659	0.0528301886792452	query_1	['GO:0098791']	['RAB14', 'OPTN', 'RAB8A', 'RAB31', 'BACE1', 'RAB32', 'RAB38', 'GGA1', 'RAB13', 'GGA2', 'GGA3', 'RAB10', 'APP', 'RAB6A']
76	GO:CC	GO:0045202	synapse	1.957557191814437e-09	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1465	94	28	22122	0.2978723404255319	0.0191126279863481	query_1	['GO:0030054']	['SORT1', 'RAB7A', 'EEA1', 'RAB8A', 'PSEN1', 'HTT', 'RAB8B', 'BACE1', 'VPS45', 'RAB5B', 'NCSTN', 'RAB5A', 'RAB4A', 'RAB13', 'NGFR', 'PSENEN', 'PPFIA3', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NGF', 'GDI2', 'RAB10', 'APP', 'RAB35', 'RAB3GAP1', 'RAB3A']
77	GO:CC	GO:0030054	cell junction	2.9648518886472273e-09	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2230	94	34	22122	0.3617021276595745	0.0152466367713004	query_1	['GO:0110165']	['SORT1', 'RAB7A', 'EEA1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'RAB8B', 'BACE1', 'VPS45', 'RAB5B', 'NCSTN', 'RAB5A', 'RAB4A', 'RAB13', 'NGFR', 'EHD3', 'PSENEN', 'SHROOM3', 'YWHAE', 'PPFIA3', 'GDI1', 'MECP2', 'APH1A', 'AURKA', 'NGF', 'GDI2', 'RAB10', 'SIRT2', 'APP', 'RAB35', 'RAB23', 'RAB3GAP1', 'RAB3A']
78	GO:CC	GO:0016020	membrane	3.912505000895678e-09	True	"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]"	9878	94	74	22122	0.7872340425531915	0.0074913950192346	query_1	['GO:0110165']	['RAB14', 'RAB34', 'GPAM', 'RBSN', 'RAB1B', 'SORT1', 'ANKLE2', 'RAB7A', 'RUFY1', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'MICALL1', 'MTDH', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'APH1B', 'OSBPL1A', 'BMX', 'HPS4', 'RAB8B', 'BACE1', 'RABGGTB', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'NCSTN', 'RABGEF1', 'HMMR', 'RAB5C', 'RABGGTA', 'RAB38', 'RAB5A', 'B4GALT7', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'SHROOM3', 'CHML', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'YWHAE', 'TRIM4', 'EHD2', 'APH1A', 'AURKA', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'APP', 'RAB35', 'SUN2', 'DDX3Y', 'EHD1', 'GOLGA7B', 'RAB23', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
79	REAC	REAC:R-HSA-205043	NRIF signals cell death from the nucleus	4.962973223635825e-09	True	NRIF signals cell death from the nucleus	16	82	7	10790	0.0853658536585365	0.4375	query_1	['REAC:R-HSA-204998']	['PSEN1', 'APH1B', 'NCSTN', 'NGFR', 'PSENEN', 'APH1A', 'NGF']
80	GO:BP	GO:0072659	protein localization to plasma membrane	6.559101495047266e-09	True	"""A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane."" [GOC:mah]"	286	95	15	21110	0.1578947368421052	0.0524475524475524	query_1	['GO:0072657', 'GO:1990778']	['RAB34', 'RAB7A', 'OPTN', 'RAB8A', 'RAB31', 'RAB8B', 'GGA1', 'RAB13', 'EHD3', 'GGA2', 'GGA3', 'EHD2', 'RAB10', 'EHD1', 'RAB3A']
81	GO:CC	GO:0070765	gamma-secretase complex	7.288005659038661e-09	True	"""A protein complex that has aspartic-type endopeptidase activity and contains a presenilin catalytic subunit (either PSEN1 or PSEN2), an APH1 subunit (multiple genes and splice variants exist), nicastrin (NCT), and presenilin enhancer (aka PEN-2 or Psenen), as the core complex. Variants of the complex with different subunit compositions differ in localization and specific substrates. Additionally, variants of the complex exist that contain a additional regulatory subunit as well as the four core subunits; known regulatory subunits include gamma-secretase-activating protein (aka gSAP), TMP1 (aka TMED10), and CD147 antigen (aka basigin). Gamma-secretase cleaves type I transmembrane protein substrates, including the cell surface receptor Notch and the amyloid-beta precursor protein."" [GOC:krc, PMID:15286082, PMID:15890777, PMID:17047368, PMID:22122073, PMID:25565961, PMID:28320827, PMID:32616437]"	7	94	5	22122	0.0531914893617021	0.7142857142857143	query_1	['GO:0098797', 'GO:1902494']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
82	GO:CC	GO:0048471	perinuclear region of cytoplasm	7.471215150569773e-09	True	"""Cytoplasm situated near, or occurring around, the nucleus."" [GOC:jid]"	733	94	20	22122	0.2127659574468085	0.0272851296043656	query_1	['GO:0005737', 'GO:0110165']	['RAB14', 'RAB34', 'RAB1B', 'SORT1', 'OPTN', 'MTDH', 'PSEN1', 'HTT', 'RAB8B', 'RAB3IP', 'RAB38', 'RAB4A', 'EHD3', 'EHD2', 'AURKA', 'RAB10', 'SIRT2', 'APP', 'EHD1', 'RAB3A']
83	WP	WP:WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	1.3107971953090271e-08	True	Fatty Acids and Lipoproteins Transport in Hepatocytes	381	59	18	8133	0.3050847457627119	0.0472440944881889	query_1	['WP:000000']	['RAB34', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'MICALL1', 'RABEP1', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB5C', 'RAB5A', 'EHD3', 'RAB1A', 'EHD2', 'APP', 'EHD1', 'RAB22A']
84	GO:BP	GO:0090150	establishment of protein localization to membrane	1.5817528041587966e-08	True	"""The directed movement of a protein to a specific location in a membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	493	95	18	21110	0.1894736842105263	0.0365111561866125	query_1	['GO:0045184', 'GO:0072657']	['RAB34', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB31', 'RAB8B', 'RABGEF1', 'RAB3IP', 'CHM', 'GGA1', 'GGA2', 'RAB3GAP2', 'GGA3', 'GDI1', 'RAB10', 'GOLGA7B', 'RAB3GAP1']
85	GO:MF	GO:0003925	G protein activity	1.7497456006638876e-08	True	"""A molecular function regulator that cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate cellular processes. Intrinsic GTPase activity returns the G protein to its GDP-bound state. The return to the GDP-bound state can be accelerated by the action of a GTPase-activating protein (GAP)."" [PMID:16923326, PMID:24470015]"	43	96	8	20195	0.0833333333333333	0.1860465116279069	query_1	['GO:0003924', 'GO:0098772']	['RAB1B', 'RAB7A', 'RAB5B', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB1A', 'RAB10']
86	GO:BP	GO:0061951	establishment of protein localization to plasma membrane	2.039421554823722e-08	True	"""The directed movement of a protein to a specific location in a plasma membrane."" [GOC:dph, GOC:vw]"	62	95	9	21110	0.0947368421052631	0.1451612903225806	query_1	['GO:0072659', 'GO:0090150']	['RAB34', 'RAB7A', 'OPTN', 'RAB8A', 'RAB31', 'GGA1', 'GGA2', 'GGA3', 'RAB10']
87	GO:CC	GO:0031984	organelle subcompartment	2.20872635836451e-08	True	"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]"	1506	94	27	22122	0.2872340425531915	0.0179282868525896	query_1	['GO:0043227', 'GO:0043229', 'GO:0110165']	['RAB14', 'RAB34', 'RAB1B', 'SORT1', 'ANKLE2', 'OPTN', 'MTDH', 'RAB8A', 'PSEN1', 'RAB31', 'BACE1', 'RAB32', 'RAB38', 'B4GALT7', 'GGA1', 'RAB13', 'PSENEN', 'GGA2', 'NAT8', 'RAB3GAP2', 'GGA3', 'APH1A', 'RAB10', 'RAB18', 'APP', 'RAB3GAP1', 'RAB6A']
88	GO:BP	GO:0006893	Golgi to plasma membrane transport	2.3705952001293676e-08	True	"""The directed movement of substances from the Golgi to the plasma membrane in transport vesicles that move from the trans-Golgi network to the plasma membrane, where they fuse and release their contents by exocytosis."" [ISBN:0716731363]"	63	95	9	21110	0.0947368421052631	0.1428571428571428	query_1	['GO:0006892', 'GO:0098876']	['RAB34', 'OPTN', 'RAB31', 'RABEP1', 'RAB3IP', 'GGA1', 'GGA2', 'GGA3', 'RAB10']
89	REAC	REAC:R-HSA-193692	Regulated proteolysis of p75NTR	2.9149261173419513e-08	True	Regulated proteolysis of p75NTR	11	82	6	10790	0.073170731707317	0.5454545454545454	query_1	['REAC:R-HSA-193704']	['PSEN1', 'APH1B', 'NCSTN', 'NGFR', 'PSENEN', 'APH1A']
90	GO:BP	GO:0007033	vacuole organization	4.6927626760824814e-08	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vacuole."" [GOC:mah]"	220	95	13	21110	0.1368421052631579	0.059090909090909	query_1	['GO:0006996']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'PSEN1', 'HPS4', 'RAB5A', 'RAB1A', 'RAB3GAP2', 'RAB23', 'HPS1', 'RAB3GAP1']
91	GO:BP	GO:0060627	regulation of vesicle-mediated transport	5.5554716409276234e-08	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	532	95	18	21110	0.1894736842105263	0.0338345864661654	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['RAB7A', 'RUFY1', 'RAB8A', 'PSEN1', 'RAB31', 'RAB8B', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'RAB13', 'EHD2', 'RAB10', 'EHD1', 'RAB3GAP1', 'RAB3A']
92	REAC	REAC:R-HSA-392499	Metabolism of proteins	7.255035824737564e-08	True	Metabolism of proteins	1945	82	40	10790	0.4878048780487805	0.0205655526992287	query_1	['REAC:0000000']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'APH1B', 'RAB8B', 'BACE1', 'RABGGTB', 'RAB32', 'RAB5B', 'NCSTN', 'RAB5C', 'RABGGTA', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'PSENEN', 'RAB1A', 'CHML', 'GGA2', 'NAT8', 'GGA3', 'TRIM4', 'APH1A', 'AURKA', 'RAB10', 'RAB18', 'APP', 'RAB35', 'RAB23', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
93	GO:BP	GO:0006996	organelle organization	8.4176453852581e-08	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3608	95	44	21110	0.4631578947368421	0.0121951219512195	query_1	['GO:0016043']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'TPX2', 'ANKLE2', 'RAB7A', 'EEA1', 'PAWR', 'OPTN', 'RAB39A', 'RAB8A', 'PSEN1', 'HTT', 'TMEM102', 'RAB31', 'HPS4', 'RAB8B', 'RAB32', 'RAB5B', 'RAB3IP', 'RAB38', 'RAB5A', 'RAB13', 'RILP', 'EHD3', 'RAB1A', 'SHROOM3', 'RAB3GAP2', 'EHD2', 'MECP2', 'AURKA', 'GDI2', 'RAB10', 'SIRT2', 'RAB18', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A']
94	GO:CC	GO:0005968	Rab-protein geranylgeranyltransferase complex	8.58638324406273e-08	True	"""An protein-containing complex which catalyzes of the transfer of a geranyl-geranyl group from geranylgeranyl pyrophosphate to a Rab protein. In mammals it is composed of an alpha and a beta subunit, and associates with an accessory protein Rep (Rab escort protein)."" [GOC:jl, PMID:11886217]"	4	94	4	22122	0.0425531914893617	1.0	query_1	['GO:0005737', 'GO:1990234']	['RABGGTB', 'RABGGTA', 'CHM', 'CHML']
95	GO:MF	GO:0098772	molecular function regulator activity	9.502215885320593e-08	True	"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]"	2057	96	33	20195	0.34375	0.0160427807486631	query_1	['GO:0003674']	['RAB1B', 'TPX2', 'ANKLE2', 'RAB7A', 'APH1B', 'HPS4', 'RABEP1', 'RAB5B', 'RIN3', 'IL24', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'PSENEN', 'RAB1A', 'CHML', 'RAB3GAP2', 'YWHAE', 'GDI1', 'APH1A', 'AURKA', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'APP', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB3IL1']
96	GO:BP	GO:0090382	phagosome maturation	1.3298099907784578e-07	True	"""A process that is carried out at the cellular level which results in the arrangement of constituent parts of a phagosome within a cell. Phagosome maturation begins with endocytosis and formation of the early phagosome and ends with the formation of the hybrid organelle, the phagolysosome."" [GOC:kmv, GOC:tb]"	30	95	7	21110	0.0736842105263157	0.2333333333333333	query_1	['GO:0006996']	['RAB14', 'RAB34', 'RAB7A', 'RAB39A', 'RAB31', 'RAB32', 'RAB38']
97	GO:BP	GO:0007220	Notch receptor processing	4.907560861828224e-07	True	"""The series of successive proteolytic cleavages of the Notch protein, which result in an active form of the receptor."" [PMID:12651094, PMID:14986688]"	9	95	5	21110	0.0526315789473684	0.5555555555555556	query_1	['GO:0019538']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
98	GO:MF	GO:0030742	GTP-dependent protein binding	4.936123855553537e-07	True	"""Binding to a protein or protein complex when at least one of the interacting partners is in the GTP-bound state."" [GOC:go_curators, GOC:krc]"	22	96	6	20195	0.0625	0.2727272727272727	query_1	['GO:0005515']	['RAB34', 'EEA1', 'RAB32', 'RAB5B', 'RAB38', 'RAB3A']
99	REAC	REAC:R-HSA-9017802	Noncanonical activation of NOTCH3	5.01054194606564e-07	True	Noncanonical activation of NOTCH3	8	82	5	10790	0.0609756097560975	0.625	query_1	['REAC:R-HSA-9013507']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
100	GO:BP	GO:0033365	protein localization to organelle	5.596819491341983e-07	True	"""A process in which a protein is transported to, or maintained in, a location within an organelle."" [GOC:mah]"	1167	95	24	21110	0.2526315789473684	0.0205655526992287	query_1	['GO:0008104']	['SORT1', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'PSEN1', 'HPS4', 'RAB8B', 'RABEP1', 'RAB3IP', 'GGA1', 'NGFR', 'RAB3GAP2', 'GGA3', 'YWHAE', 'AURKA', 'GDI2', 'RAB10', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB3GAP1', 'RAB6A']
101	WP	WP:WP5120	Inclusion body myositis	6.183826083803794e-07	True	Inclusion body myositis	10	59	5	8133	0.0847457627118644	0.5	query_1	['WP:000000']	['PSEN1', 'BACE1', 'NCSTN', 'PSENEN', 'APP']
102	GO:MF	GO:0035639	purine ribonucleoside triphosphate binding	6.76367808585017e-07	True	"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]"	1848	96	30	20195	0.3125	0.0162337662337662	query_1	['GO:0043168', 'GO:1901265']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'AURKA', 'RAB10', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
103	GO:BP	GO:0016482	cytosolic transport	6.913602232359511e-07	True	"""The directed movement of substances or organelles within the cytosol."" [GOC:ai]"	170	95	11	21110	0.1157894736842105	0.0647058823529411	query_1	['GO:0046907']	['RAB14', 'RBSN', 'SORT1', 'RAB7A', 'EEA1', 'RAB5A', 'GGA1', 'RILP', 'EHD3', 'TBC1D17', 'RAB6A']
104	GO:CC	GO:0005773	vacuole	7.717985574370951e-07	True	"""A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."" [GOC:mtg_sensu, ISBN:0198506732]"	855	94	19	22122	0.202127659574468	0.0222222222222222	query_1	['GO:0005737', 'GO:0043231']	['RAB14', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'PSEN1', 'HTT', 'HPS4', 'BACE1', 'NCSTN', 'RAB5C', 'RAB38', 'RILP', 'GGA3', 'GDI2', 'TBC1D17', 'RAB23', 'HPS1', 'RAB3A']
105	GO:BP	GO:0043001	Golgi to plasma membrane protein transport	9.72200533609071e-07	True	"""The directed movement of proteins from the Golgi to the plasma membrane in transport vesicles that move from the trans-Golgi network to the plasma membrane."" [ISBN:0716731363]"	39	95	7	21110	0.0736842105263157	0.1794871794871795	query_1	['GO:0006893', 'GO:0015031', 'GO:0061951']	['RAB34', 'OPTN', 'RAB31', 'GGA1', 'GGA2', 'GGA3', 'RAB10']
106	GO:MF	GO:0017076	purine nucleotide binding	1.253199893321169e-06	True	"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]"	2019	96	31	20195	0.3229166666666667	0.0153541357107478	query_1	['GO:0000166']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'AURKA', 'RAB10', 'SIRT2', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
107	CORUM	CORUM:3128	Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)	1.3617224515052302e-06	True	Gamma-secretase complex (APH1B, PSEN1, PSENEN, NCSTN)	4	28	4	3383	0.1428571428571428	1.0	query_1	['CORUM:0000000']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN']
108	CORUM	CORUM:2891	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	1.3617224515052302e-06	True	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	28	4	3383	0.1428571428571428	1.0	query_1	['CORUM:0000000']	['PSEN1', 'NCSTN', 'PSENEN', 'APH1A']
109	CORUM	CORUM:45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	1.3617224515052302e-06	True	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	28	4	3383	0.1428571428571428	1.0	query_1	['CORUM:0000000']	['PSEN1', 'NCSTN', 'PSENEN', 'APH1A']
110	CORUM	CORUM:43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	1.3617224515052302e-06	True	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	28	4	3383	0.1428571428571428	1.0	query_1	['CORUM:0000000']	['PSEN1', 'NCSTN', 'PSENEN', 'APH1A']
111	CORUM	CORUM:466	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	1.3617224515052302e-06	True	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	4	28	4	3383	0.1428571428571428	1.0	query_1	['CORUM:0000000']	['PSEN1', 'NCSTN', 'PSENEN', 'APH1A']
112	GO:MF	GO:0032555	purine ribonucleotide binding	1.614643813356437e-06	True	"""Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]"	1917	96	30	20195	0.3125	0.0156494522691705	query_1	['GO:0017076', 'GO:0032553']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'AURKA', 'RAB10', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
113	GO:BP	GO:0006887	exocytosis	1.7146851118997857e-06	True	"""A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."" [GOC:mah, ISBN:0716731363, PMID:22323285]"	357	95	14	21110	0.1473684210526315	0.0392156862745098	query_1	['GO:0016192', 'GO:0032940']	['RAB7A', 'RAB8A', 'PSEN1', 'RAB31', 'RAB8B', 'RABGEF1', 'RAB3IP', 'RAB5A', 'RAB13', 'PPFIA3', 'RAB10', 'RAB3GAP1', 'RAB3A', 'RAB3IL1']
114	GO:MF	GO:0000166	nucleotide binding	1.8526545792812344e-06	True	"""Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]"	2178	96	32	20195	0.3333333333333333	0.0146923783287419	query_1	['GO:0036094', 'GO:1901265']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'MECP2', 'AURKA', 'RAB10', 'SIRT2', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
115	GO:MF	GO:1901265	nucleoside phosphate binding	1.8738738032073872e-06	True	"""Binding to nucleoside phosphate."" [GOC:TermGenie]"	2179	96	32	20195	0.3333333333333333	0.0146856356126663	query_1	['GO:0097159', 'GO:1901363']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'MECP2', 'AURKA', 'RAB10', 'SIRT2', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
116	GO:MF	GO:0032553	ribonucleotide binding	1.988153162914638e-06	True	"""Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]"	1934	96	30	20195	0.3125	0.015511892450879	query_1	['GO:0000166', 'GO:0097367']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'BMX', 'RAB8B', 'RAB32', 'RAB5B', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'EHD3', 'RAB1A', 'RAB12', 'EHD2', 'AURKA', 'RAB10', 'RAB18', 'RAB35', 'DDX3Y', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'RAB6A']
117	GO:BP	GO:0034205	amyloid-beta formation	2.3783285369168373e-06	True	"""The generation of amyloid-beta by cleavage of the amyloid precursor protein (APP)."" [GOC:mah]"	44	95	7	21110	0.0736842105263157	0.1590909090909091	query_1	['GO:0042987', 'GO:0050435']	['PSEN1', 'APH1B', 'BACE1', 'NCSTN', 'PSENEN', 'GGA3', 'APH1A']
