SHORT syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
95	GO:BP	GO:0050790	regulation of catalytic activity	3.7715485051630807e-16	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1770	99	45	15719	0.4545454545454545	0.0254237288135593	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'CTNNB1', 'SOS1', 'TGFBR2', 'DOCK8', 'FYN', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
96	GO:BP	GO:0000165	MAPK cascade	4.072260339151669e-16	True	"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"	744	99	31	15719	0.3131313131313131	0.0416666666666666	query_1	['GO:0035556']	['RAPGEF1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'KDR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'TGFBR1', 'PRKCZ', 'SMAD3', 'PTPN11', 'PDGFRA']
27	REAC	REAC:R-HSA-194315	Signaling by Rho GTPases	4.921509587702688e-16	True	Signaling by Rho GTPases	691	95	35	10022	0.3684210526315789	0.0506512301013024	query_1	['REAC:R-HSA-9716542']	['RHOJ', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3R2', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CTNNB1', 'WASL', 'SOS1', 'WIPF1', 'PARD6A', 'WIPF2', 'DOCK8', 'PARD6B', 'WAS', 'DOCK4', 'ZAP70', 'DVL2', 'PIK3CA', 'VAV1', 'PTK2B', 'PIK3R3', 'DOCK3', 'PTK2', 'DOCK2', 'LCK', 'PKN3', 'PRKCZ', 'DOCK5', 'WDR6', 'NCK2', 'ELMO2']
97	GO:BP	GO:0048856	anatomical structure development	6.131288012795046e-16	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5478	99	76	15719	0.7676767676767676	0.0138736765242789	query_1	['GO:0032502']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PARD6B', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'ZAP70', 'LYN', 'DIP2A', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'NYAP2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
98	GO:BP	GO:0072359	circulatory system development	6.384621698635379e-16	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1083	99	36	15719	0.3636363636363636	0.0332409972299169	query_1	['GO:0048731']	['RHOJ', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SMAD7', 'FGFR2', 'ITGB3', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'TGFBR1', 'PTK2', 'SMAD3', 'PTPN11', 'PDGFRA']
99	GO:BP	GO:0006897	endocytosis	6.473596017399232e-16	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	698	99	30	15719	0.303030303030303	0.0429799426934097	query_1	['GO:0016192']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'WASL', 'TGFBR2', 'FYN', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'VAV1', 'SYK', 'FCGR1A', 'SH3KBP1', 'VEGFA', 'SH3GL2', 'VTN', 'PTK2', 'DOCK2', 'ELMO1', 'CBL', 'ELMO2']
100	GO:BP	GO:0043408	regulation of MAPK cascade	7.23984870209813e-16	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]"	644	99	29	15719	0.2929292929292929	0.0450310559006211	query_1	['GO:0000165', 'GO:1902531']	['RAPGEF1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'KDR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'TGFBR1', 'PRKCZ', 'PTPN11', 'PDGFRA']
101	GO:BP	GO:0008283	cell population proliferation	7.749584417851339e-16	True	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]"	1895	99	46	15719	0.4646464646464646	0.0242744063324538	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'SQSTM1', 'DOCK8', 'FYN', 'PRKCI', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'TGFBR1', 'PTK2', 'DOCK2', 'PRKCZ', 'SMAD3', 'WDR6', 'NCK2', 'PDGFRA']
102	GO:BP	GO:0038093	Fc receptor signaling pathway	8.167931473163667e-16	True	"""The series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, Wikipedia:Fc_receptor]"	57	99	13	15719	0.1313131313131313	0.2280701754385964	query_1	['GO:0002768']	['RAPGEF1', 'SRC', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'TRAF6', 'PTK2', 'LCK']
103	GO:BP	GO:0014065	phosphatidylinositol 3-kinase signaling	8.47475151159931e-16	True	"""A series of reactions within the signal-receiving cell, mediated by the intracellular phosphatidylinositol 3-kinase (PI3K). Many cell surface receptor linked signaling pathways signal through PI3K to regulate numerous cellular functions."" [GOC:ef, http://www.biocarta.com, PMID:22525052, Wikipedia:PI3K]"	143	99	17	15719	0.1717171717171717	0.1188811188811188	query_1	['GO:0048015']	['PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'PIK3R1', 'HGF', 'PIK3AP1', 'PIK3CD', 'EGFR', 'PIK3CA', 'KDR', 'ERBB2', 'NYAP2', 'VEGFA', 'PTK2', 'CBL', 'PDGFRA']
28	REAC	REAC:R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	9.351037130621224e-16	True	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	706	95	35	10022	0.3684210526315789	0.0495750708215297	query_1	['REAC:R-HSA-162582']	['RHOJ', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3R2', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CTNNB1', 'WASL', 'SOS1', 'WIPF1', 'PARD6A', 'WIPF2', 'DOCK8', 'PARD6B', 'WAS', 'DOCK4', 'ZAP70', 'DVL2', 'PIK3CA', 'VAV1', 'PTK2B', 'PIK3R3', 'DOCK3', 'PTK2', 'DOCK2', 'LCK', 'PKN3', 'PRKCZ', 'DOCK5', 'WDR6', 'NCK2', 'ELMO2']
104	GO:BP	GO:0051247	positive regulation of protein metabolic process	1.0112365190530917e-15	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1401	99	40	15719	0.404040404040404	0.0285510349750178	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['NCK1', 'VEGFB', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'CTNNB1', 'TGFBR2', 'ITGA5', 'SQSTM1', 'FYN', 'LAT', 'LYN', 'DIP2A', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'NCK2']
105	GO:BP	GO:0010810	regulation of cell-substrate adhesion	1.0781041932239609e-15	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	99	19	15719	0.1919191919191919	0.0926829268292682	query_1	['GO:0030155', 'GO:0031589']	['PIK3CB', 'FN1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'PRKCZ', 'SMAD3', 'DOCK5']
106	GO:BP	GO:0051246	regulation of protein metabolic process	1.2171963422147706e-15	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	99	51	15719	0.5151515151515151	0.0212854757929883	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'USP4', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'DIP2A', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2']
29	REAC	REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	1.7815140212426256e-15	True	TGF-beta receptor signaling activates SMADs	44	95	13	10022	0.1368421052631579	0.2954545454545454	query_1	['REAC:R-HSA-170834']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'TGFBR2', 'SMURF1', 'TGFBR1', 'ITGB6', 'SMAD3', 'CBL']
107	GO:BP	GO:0050793	regulation of developmental process	1.9820787389187946e-15	True	"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]"	2324	99	50	15719	0.5050505050505051	0.0215146299483648	query_1	['GO:0032502', 'GO:0050789']	['RHOJ', 'ITGB1', 'PIK3CB', 'SMURF2', 'VEGFB', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'PRKCI', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'PDGFRA', 'F11R']
108	GO:BP	GO:0000902	cell morphogenesis	2.1785010167754605e-15	True	"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"	921	99	33	15719	0.3333333333333333	0.0358306188925081	query_1	['GO:0009653']	['RHOJ', 'MET', 'ITGB1', 'FN1', 'SRC', 'SPP1', 'FGFR2', 'CRK', 'HGF', 'CTNNB1', 'WASL', 'SOS1', 'PARD6B', 'FYN', 'PARD3', 'DIP2A', 'DVL2', 'TGFB1', 'EGFR', 'KDR', 'VCL', 'SMURF1', 'ERBB2', 'NYAP2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'SH3GL2', 'PTK2', 'ITGB6', 'PRKCZ', 'PTPN11', 'F11R']
109	GO:BP	GO:0034330	cell junction organization	2.330222826686405e-15	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]"	675	99	29	15719	0.2929292929292929	0.0429629629629629	query_1	['GO:0016043']	['RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'CTNNB1', 'WASL', 'PARD6A', 'ITGA5', 'PARD6B', 'FYN', 'PRKCI', 'PARD3', 'DIP2A', 'KDR', 'VCL', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'TLN1', 'TGFBR1', 'PTK2', 'SMAD3', 'F11R']
31	REAC	REAC:R-HSA-2424491	DAP12 signaling	2.3444207291340707e-15	True	DAP12 signaling	25	95	11	10022	0.1157894736842105	0.44	query_1	['REAC:R-HSA-2172127']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'LCK']
30	REAC	REAC:R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	2.3444207291340707e-15	True	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	34	95	12	10022	0.1263157894736842	0.3529411764705882	query_1	['REAC:R-HSA-983705']	['NCK1', 'PIK3R1', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1', 'BLNK']
110	GO:BP	GO:0002764	immune response-regulating signaling pathway	2.3970940187087204e-15	True	"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	415	99	24	15719	0.2424242424242424	0.0578313253012048	query_1	['GO:0007165', 'GO:0050776']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK']
111	GO:BP	GO:0050896	response to stimulus	2.566673129878376e-15	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7975	99	89	15719	0.898989898989899	0.0111598746081504	query_1	['GO:0008150']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'WIPF1', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'NYAP2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'PLEKHH3', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
112	GO:BP	GO:0007010	cytoskeleton organization	2.6953077027479512e-15	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]"	1444	99	40	15719	0.404040404040404	0.0277008310249307	query_1	['GO:0006996']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'SHC1', 'CTNNB1', 'WASL', 'WIPF1', 'PARD6A', 'PXN', 'PARD6B', 'PRKCI', 'PARD6G', 'WAS', 'PARD3', 'GRB2', 'TGFB1', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'PTK2', 'DOCK2', 'PRKCZ', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
113	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	2.8206600009893917e-15	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	184	99	18	15719	0.1818181818181818	0.0978260869565217	query_1	['GO:0002429']	['BCAR1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'TRAF6', 'CRKL', 'LCK', 'BLNK']
115	GO:BP	GO:0050776	regulation of immune response	3.7424489151815036e-15	True	"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]"	810	99	31	15719	0.3131313131313131	0.0382716049382716	query_1	['GO:0002682', 'GO:0006955', 'GO:0048583']	['RAPGEF1', 'BCAR1', 'SRC', 'SMAD7', 'CRK', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'WAS', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11']
114	GO:BP	GO:0043085	positive regulation of catalytic activity	3.7424489151815036e-15	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	99	35	15719	0.3535353535353535	0.0324675324675324	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'SRC', 'FGFR2', 'ITGB3', 'CRK', 'ITK', 'CTNNB1', 'SOS1', 'TGFBR2', 'DOCK8', 'FYN', 'LAT', 'LYN', 'DVL2', 'LCP2', 'EGFR', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PDGFRA', 'F11R']
32	REAC	REAC:R-HSA-354192	Integrin signaling	3.9101967121654304e-15	True	Integrin signaling	26	95	11	10022	0.1157894736842105	0.4230769230769231	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'SYK', 'TLN1', 'PTK2']
116	GO:BP	GO:0007015	actin filament organization	4.829172980274381e-15	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:mah]"	429	99	24	15719	0.2424242424242424	0.0559440559440559	query_1	['GO:0030036', 'GO:0097435']	['MET', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'WIPF3', 'WASL', 'WIPF1', 'PXN', 'PRKCI', 'WAS', 'GRB2', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TGFBR1', 'SMAD3', 'ELMO1', 'NCK2', 'F11R', 'ELMO2']
117	GO:BP	GO:0010941	regulation of cell death	4.979668704620391e-15	True	"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	1554	99	41	15719	0.4141414141414141	0.0263835263835263	query_1	['GO:0008219', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'PIK3CD', 'ITGA5', 'SQSTM1', 'DOCK8', 'FYN', 'PRKCI', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'CBL', 'NCK2']
118	GO:BP	GO:0033627	cell adhesion mediated by integrin	5.245917940576183e-15	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	99	14	15719	0.1414141414141414	0.1647058823529411	query_1	['GO:0007155']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'LYN', 'SYK', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'PTPN11']
119	GO:BP	GO:0002757	immune response-activating signaling pathway	5.980579812496527e-15	True	"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]"	387	99	23	15719	0.2323232323232323	0.0594315245478036	query_1	['GO:0002253', 'GO:0002764']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK']
120	GO:BP	GO:0032502	developmental process	6.0542928992567095e-15	True	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"	6018	99	78	15719	0.7878787878787878	0.0129611166500498	query_1	['GO:0008150']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PARD6B', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'ZAP70', 'LYN', 'DIP2A', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'NYAP2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
121	GO:BP	GO:0043067	regulation of programmed cell death	6.735075733264396e-15	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	99	39	15719	0.3939393939393939	0.0277580071174377	query_1	['GO:0010941', 'GO:0012501']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'FGFR2', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'PIK3CD', 'ITGA5', 'SQSTM1', 'DOCK8', 'PRKCI', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'CBL', 'NCK2']
