Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
28	GO:CC	GO:0005829	cytosol	4.677886989980424e-05	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5250	100	54	16420	0.54	0.0102857142857142	query_1	['GO:0005737', 'GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'CUL4B', 'CREBBP', 'ARF1', 'LMO7', 'CYTH4', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'ELOB', 'NAA30', 'RBX1', 'CYTIP', 'ARFRP1', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'COPS5', 'RARA', 'DDX42', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'PKD2', 'SYS1', 'NAA35']
45	GO:BP	GO:0006513	protein monoubiquitination	4.875697407533563e-05	True	"""Addition of a single ubiquitin group to a protein."" [GOC:ai]"	81	99	7	15719	0.0707070707070707	0.0864197530864197	query_1	['GO:0016567']	['CUL3', 'CUL4B', 'DDB2', 'DDB1', 'RBX1', 'SKP1', 'CUL1']
46	GO:BP	GO:0009628	response to abiotic stimulus	5.076599019097379e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	99	22	15719	0.2222222222222222	0.0202578268876611	query_1	['GO:0050896']	['EGLN3', 'PTCH1', 'IHH', 'CUL4B', 'DDB2', 'CREBBP', 'PPARD', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'DDB1', 'RBX1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'EP300', 'ARNT', 'ERCC8', 'PKD2', 'CUL4A']
34	REAC	REAC:R-HSA-9674555	Signaling by CSF3 (G-CSF)	5.431720617056912e-05	True	Signaling by CSF3 (G-CSF)	30	83	5	10022	0.0602409638554216	0.1666666666666666	query_1	['REAC:R-HSA-1280215']	['ELOB', 'ELOC', 'UBE2D2', 'RNF7', 'CUL5']
33	REAC	REAC:R-HSA-3371568	Attenuation phase	5.431720617056912e-05	True	Attenuation phase	14	83	4	10022	0.0481927710843373	0.2857142857142857	query_1	['REAC:R-HSA-3371571']	['CREBBP', 'HSP90AB1', 'EP300', 'HSPA8']
47	GO:BP	GO:0008589	regulation of smoothened signaling pathway	5.993506339195814e-05	True	"""Any process that modulates the frequency, rate or extent of smoothened signaling."" [GOC:go_curators]"	84	99	7	15719	0.0707070707070707	0.0833333333333333	query_1	['GO:0007224', 'GO:0009966']	['PTCH1', 'IHH', 'CREBBP', 'DHH', 'VCP', 'SHH', 'HHIP']
48	GO:BP	GO:1904152	regulation of retrograde protein transport, ER to cytosol	6.154262402332458e-05	True	"""Any process that modulates the frequency, rate or extent of retrograde protein transport, ER to cytosol."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:18555783]"	13	99	4	15719	0.0404040404040404	0.3076923076923077	query_1	['GO:0030970', 'GO:0070861']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1']
49	GO:BP	GO:0008219	cell death	6.7110576596677e-05	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2011	99	31	15719	0.3131313131313131	0.0154152163102933	query_1	['GO:0009987']	['CUL3', 'EGLN3', 'IHH', 'NAA38', 'SELENOS', 'SYVN1', 'PPARD', 'DAD1', 'DNAJC10', 'HSP90AB1', 'VCP', 'ZMPSTE24', 'DDB1', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'SHH', 'EP300', 'AHR', 'SELENOK', 'CUL5', 'COPS5', 'PKHD1', 'RARA', 'DDX42', 'HHIP', 'CUL1', 'CUL2', 'CUL4A', 'NAA35']
35	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	7.24304481252492e-05	True	Vesicle-mediated transport	661	83	18	10022	0.216867469879518	0.0272314674735249	query_1	['REAC:0000000']	['NAA38', 'ARF1', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'SCOC', 'CYTH2', 'NAA30', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'GBF1', 'NEDD8', 'COPS5', 'HSPA8', 'SYS1', 'NAA35']
50	GO:BP	GO:0034644	cellular response to UV	8.36415758458493e-05	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:mah]"	89	99	7	15719	0.0707070707070707	0.0786516853932584	query_1	['GO:0009411', 'GO:0071482']	['CUL4B', 'DDB2', 'CREBBP', 'DDB1', 'RBX1', 'EP300', 'CUL4A']
29	GO:CC	GO:0034751	aryl hydrocarbon receptor complex	8.390775347522814e-05	True	"""A protein complex that acts as an aryl hydrocarbon (Ah) receptor. Cytosolic and nuclear Ah receptor complexes have different subunit composition, but both contain the ligand-binding subunit AhR."" [GOC:mah, PMID:7598497]"	7	100	3	16420	0.03	0.4285714285714285	query_1	['GO:0043235', 'GO:0140535']	['HSP90AB1', 'ARNT', 'AHR']
36	REAC	REAC:R-HSA-9679506	SARS-CoV Infections	9.738611420517448e-05	True	SARS-CoV Infections	363	83	13	10022	0.1566265060240964	0.0358126721763085	query_1	['REAC:R-HSA-5663205']	['CUL3', 'CREBBP', 'DAD1', 'HSP90AB1', 'VCP', 'RBX1', 'DDOST', 'RPN1', 'VHL', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
37	REAC	REAC:R-HSA-1643685	Disease	0.0001045379465506	True	Disease	1723	83	31	10022	0.3734939759036144	0.0179918746372605	query_1	['REAC:0000000']	['CUL3', 'IHH', 'SYVN1', 'CREBBP', 'ARF1', 'DAD1', 'LMO7', 'DHH', 'DERL2', 'HSP90AB1', 'VCP', 'ELOB', 'OS9', 'DERL1', 'RBX1', 'DDOST', 'RPN1', 'VHL', 'SKP1', 'SEL1L', 'ELOC', 'RPLP2', 'SHH', 'EP300', 'STT3A', 'ERLEC1', 'CUL5', 'MAGT1', 'RPN2', 'CUL1', 'TUSC3']
38	REAC	REAC:R-HSA-199991	Membrane Trafficking	0.0001095104289795	True	Membrane Trafficking	617	83	17	10022	0.2048192771084337	0.0275526742301458	query_1	['REAC:R-HSA-5653656']	['NAA38', 'ARF1', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'SCOC', 'CYTH2', 'NAA30', 'ARFRP1', 'ARFIP2', 'GBF1', 'NEDD8', 'COPS5', 'HSPA8', 'SYS1', 'NAA35']
39	REAC	REAC:R-HSA-5678895	Defective CFTR causes cystic fibrosis	0.0001179972954706	True	Defective CFTR causes cystic fibrosis	61	83	6	10022	0.072289156626506	0.0983606557377049	query_1	['REAC:R-HSA-5619084']	['DERL2', 'VCP', 'OS9', 'DERL1', 'SEL1L', 'ERLEC1']
40	REAC	REAC:R-HSA-8937144	Aryl hydrocarbon receptor signalling	0.0001194202327809	True	Aryl hydrocarbon receptor signalling	6	83	3	10022	0.036144578313253	0.5	query_1	['REAC:R-HSA-211945']	['HSP90AB1', 'ARNT', 'AHR']
42	REAC	REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	0.0001325588478358	True	Gap-filling DNA repair synthesis and ligation in TC-NER	63	83	6	10022	0.072289156626506	0.0952380952380952	query_1	['REAC:R-HSA-6781827']	['CUL4B', 'DDB1', 'RBX1', 'EP300', 'ERCC8', 'CUL4A']
41	REAC	REAC:R-HSA-983169	Class I MHC mediated antigen processing & presentation	0.0001325588478358	True	Class I MHC mediated antigen processing & presentation	378	83	13	10022	0.1566265060240964	0.0343915343915343	query_1	['REAC:R-HSA-1280218']	['CUL3', 'LMO7', 'ELOB', 'UBE2J1', 'RBX1', 'VHL', 'SKP1', 'ELOC', 'UBE2D2', 'RNF7', 'CUL5', 'CUL1', 'CUL2']
30	GO:CC	GO:0005654	nucleoplasm	0.0001355571663286	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	100	44	16420	0.44	0.0110055027513756	query_1	['GO:0031981', 'GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'HSP90AB1', 'VCP', 'CYTH3', 'SCOC', 'ELOB', 'DDB1', 'RBX1', 'CYTIP', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'EP300', 'ARNT', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
51	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	0.0001361630607649	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	294	99	11	15719	0.1111111111111111	0.0374149659863945	query_1	['GO:0035556', 'GO:0097190']	['CUL3', 'SELENOS', 'SYVN1', 'DNAJC10', 'HIF1A', 'EP300', 'SELENOK', 'CUL5', 'CUL1', 'CUL2', 'CUL4A']
43	REAC	REAC:R-HSA-6782135	Dual incision in TC-NER	0.0001420085990288	True	Dual incision in TC-NER	64	83	6	10022	0.072289156626506	0.09375	query_1	['REAC:R-HSA-6781827']	['CUL4B', 'DDB1', 'RBX1', 'EP300', 'ERCC8', 'CUL4A']
44	REAC	REAC:R-HSA-9694516	SARS-CoV-2 Infection	0.0001485884268147	True	SARS-CoV-2 Infection	274	83	11	10022	0.1325301204819277	0.0401459854014598	query_1	['REAC:R-HSA-9679506']	['CREBBP', 'DAD1', 'HSP90AB1', 'VCP', 'DDOST', 'RPN1', 'VHL', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
31	GO:CC	GO:0000139	Golgi membrane	0.000153600191313	True	"""The lipid bilayer surrounding any of the compartments of the Golgi apparatus."" [GOC:mah]"	596	100	14	16420	0.14	0.023489932885906	query_1	['GO:0005794', 'GO:0098588']	['IHH', 'ARF1', 'DHH', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'GBF1', 'SHH', 'PLEKHA8', 'SYS1']
45	REAC	REAC:R-HSA-400253	Circadian Clock	0.0001772654439419	True	Circadian Clock	67	83	6	10022	0.072289156626506	0.0895522388059701	query_1	['REAC:0000000']	['RXRA', 'CREBBP', 'HIF1A', 'SKP1', 'EP300', 'CUL1']
46	REAC	REAC:R-HSA-9755511	KEAP1-NFE2L2 pathway	0.0001839291870705	True	KEAP1-NFE2L2 pathway	101	83	7	10022	0.0843373493975903	0.0693069306930693	query_1	['REAC:R-HSA-9711123']	['CUL3', 'CREBBP', 'VCP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
53	GO:BP	GO:0006486	protein glycosylation	0.0001937944748119	True	"""A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."" [GOC:curators, GOC:pr]"	193	99	9	15719	0.0909090909090909	0.0466321243523316	query_1	['GO:0009101', 'GO:0036211', 'GO:0043413']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
52	GO:BP	GO:0043413	macromolecule glycosylation	0.0001937944748119	True	"""The covalent attachment of a glycosyl residue to one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule."" [GOC:jl]"	193	99	9	15719	0.0909090909090909	0.0466321243523316	query_1	['GO:0043412', 'GO:0070085']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
47	REAC	REAC:R-HSA-5696400	Dual Incision in GG-NER	0.0001939287826938	True	Dual Incision in GG-NER	41	83	5	10022	0.0602409638554216	0.1219512195121951	query_1	['REAC:R-HSA-5696399']	['CUL4B', 'DDB2', 'DDB1', 'RBX1', 'CUL4A']
32	GO:CC	GO:0031981	nuclear lumen	0.0002067609510289	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	100	46	16420	0.46	0.0105747126436781	query_1	['GO:0005634', 'GO:0070013']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'DDB1', 'RBX1', 'CYTIP', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'EP300', 'ARNT', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
54	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	0.0002108793958455	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	250	99	10	15719	0.101010101010101	0.04	query_1	['GO:0031399', 'GO:0070647']	['CUL3', 'HSP90AB1', 'VCP', 'DERL1', 'RBX1', 'HIF1A', 'SKP1', 'EPAS1', 'ARNT', 'COPS5']
48	REAC	REAC:R-HSA-901032	ER Quality Control Compartment (ERQC)	0.0002139732825741	True	ER Quality Control Compartment (ERQC)	21	83	4	10022	0.0481927710843373	0.1904761904761904	query_1	['REAC:R-HSA-901042']	['SYVN1', 'DERL2', 'OS9', 'SEL1L']
49	REAC	REAC:R-HSA-1980143	Signaling by NOTCH1	0.0002139732825741	True	Signaling by NOTCH1	70	83	6	10022	0.072289156626506	0.0857142857142857	query_1	['REAC:R-HSA-157118']	['CREBBP', 'RBX1', 'HIF1A', 'SKP1', 'EP300', 'CUL1']
50	REAC	REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	0.0002314265911707	True	Formation of Incision Complex in GG-NER	43	83	5	10022	0.0602409638554216	0.1162790697674418	query_1	['REAC:R-HSA-5696399']	['CUL4B', 'DDB2', 'DDB1', 'RBX1', 'CUL4A']
56	GO:BP	GO:0009411	response to UV	0.0002405867218273	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	150	99	8	15719	0.0808080808080808	0.0533333333333333	query_1	['GO:0009416']	['CUL4B', 'DDB2', 'CREBBP', 'DDB1', 'RBX1', 'EP300', 'ERCC8', 'CUL4A']
55	GO:BP	GO:0031647	regulation of protein stability	0.0002405867218273	True	"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]"	315	99	11	15719	0.1111111111111111	0.0349206349206349	query_1	['GO:0065008']	['CUL3', 'SYVN1', 'CREBBP', 'DAD1', 'HSP90AB1', 'DERL1', 'DDOST', 'VHL', 'SEL1L', 'EP300', 'HSPA8']
57	GO:BP	GO:0070936	protein K48-linked ubiquitination	0.0002405867218273	True	"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."" [GOC:cvs, PMID:15556404]"	69	99	6	15719	0.0606060606060606	0.0869565217391304	query_1	['GO:0000209']	['CUL3', 'SYVN1', 'RBX1', 'SKP1', 'UBE2D2', 'CUL1']
33	GO:CC	GO:0043227	membrane-bounded organelle	0.000241800946877	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12219	100	91	16420	0.91	0.0074474179556428	query_1	['GO:0043226']	['CUL3', 'EGLN3', 'RXRA', 'LRIG3', 'PTCH1', 'PNPLA2', 'MROH2B', 'IHH', 'NAA38', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'ARF1', 'DAD1', 'LMO7', 'DHH', 'GNL2', 'CYTH4', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'CYTH1', 'ARL1', 'ZMPSTE24', 'PLEKHA3', 'SCOC', 'CYTH2', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CYTIP', 'ARFRP1', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'PRCC', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'DDX42', 'RPN2', 'HHIP', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'PKD2', 'CUL4A', 'SYS1', 'TUSC3', 'CDX1', 'NAA35']
34	GO:CC	GO:0031414	N-terminal protein acetyltransferase complex	0.0002433264476514	True	"""A complex that catalyzes the transfer of an acetyl group to the N-terminal residue of a protein acceptor molecule."" [GOC:mah]"	10	100	3	16420	0.03	0.3	query_1	['GO:0005737', 'GO:0031248']	['NAA38', 'NAA30', 'NAA35']
36	GO:CC	GO:0070013	intracellular organelle lumen	0.0002518522512392	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5424	100	53	16420	0.53	0.0097713864306784	query_1	['GO:0043229', 'GO:0043233']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
35	GO:CC	GO:0031974	membrane-enclosed lumen	0.0002518522512392	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5424	100	53	16420	0.53	0.0097713864306784	query_1	['GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
37	GO:CC	GO:0043233	organelle lumen	0.0002518522512392	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5424	100	53	16420	0.53	0.0097713864306784	query_1	['GO:0031974', 'GO:0043226']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
51	REAC	REAC:R-HSA-6811438	Intra-Golgi traffic	0.0002544206694491	True	Intra-Golgi traffic	44	83	5	10022	0.0602409638554216	0.1136363636363636	query_1	['REAC:R-HSA-6811442']	['ARF1', 'CYTH4', 'CYTH3', 'CYTH1', 'CYTH2']
38	GO:CC	GO:0043226	organelle	0.0002544733134176	True	"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]"	12969	100	94	16420	0.94	0.0072480530495797	query_1	['GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'LRIG3', 'PTCH1', 'PNPLA2', 'MROH2B', 'IHH', 'NAA38', 'LIMCH1', 'CUL4B', 'SELENOS', 'DDB2', 'SYVN1', 'CREBBP', 'STT3B', 'PPARD', 'ARF1', 'DAD1', 'LMO7', 'DHH', 'GNL2', 'CYTH4', 'DERL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'CYTH1', 'ARL1', 'ZMPSTE24', 'PLEKHA3', 'TAMALIN', 'SCOC', 'CYTH2', 'ELOB', 'NAA30', 'OS9', 'DDB1', 'UBE2J1', 'DERL1', 'RBX1', 'DDOST', 'CYTIP', 'ARFRP1', 'CSDE1', 'RPN1', 'HSP90B1', 'EGLN1', 'VHL', 'ARFIP2', 'PRCC', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'EPAS1', 'ELOC', 'RPLP2', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'STT3A', 'FAF2', 'ERLEC1', 'CAND1', 'SELENOK', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'ERCC8', 'COPS5', 'PKHD1', 'ZFP14', 'RARA', 'DDX42', 'NRAP', 'RPN2', 'HHIP', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'PKD2', 'CUL4A', 'SYS1', 'TUSC3', 'CDX1', 'NAA35']
52	REAC	REAC:R-HSA-5362798	Release of Hh-Np from the secreting cell	0.00025558334876	True	Release of Hh-Np from the secreting cell	8	83	3	10022	0.036144578313253	0.375	query_1	['REAC:R-HSA-5358346']	['IHH', 'DHH', 'SHH']
39	GO:CC	GO:0005794	Golgi apparatus	0.0002618150365057	True	"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]"	1516	100	23	16420	0.23	0.0151715039577836	query_1	['GO:0005737', 'GO:0012505', 'GO:0043231']	['CUL3', 'PTCH1', 'IHH', 'ARF1', 'DHH', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'ARFRP1', 'CSDE1', 'ARFIP2', 'GBF1', 'SHH', 'CAND1', 'SELENOK', 'PKHD1', 'PLEKHA8', 'PKD2', 'SYS1']
40	GO:CC	GO:0034753	nuclear aryl hydrocarbon receptor complex	0.0002920199453596	True	"""An aryl hydrocarbon receptor (AhR) complex found in the nucleus; ; consists of ligand-bound AhR and the aryl hydrocarbon receptor nuclear translocator (ARNT)."" [PMID:7598497]"	2	100	2	16420	0.02	1.0	query_1	['GO:0034751', 'GO:0140513']	['ARNT', 'AHR']
41	GO:CC	GO:0036502	Derlin-1-VIMP complex	0.0002920199453596	True	"""A protein complex containing, in mammals, Derlin-1 and VCP-interacting membrane protein (VIMP). The complex links the p97/VCP-containing ATPase complex with Derlin-1 during translocation of protein substrates from the endoplasmic reticulum to the cytosol for degradation by the cytosolic proteasome."" [GOC:bf, GOC:PARL, PMID:15215856, PMID:16186510]"	2	100	2	16420	0.02	1.0	query_1	['GO:0005789', 'GO:0098796', 'GO:0140534']	['SELENOS', 'DERL1']
58	GO:BP	GO:0015031	protein transport	0.0003035788621609	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	99	25	15719	0.2525252525252525	0.0163719711853307	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'HSPA8', 'FAM3D', 'PLEKHA8', 'SYS1']
