Waardenburg-Shah syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
265	REAC	REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	5.0469416132682704e-11	True	TGF-beta receptor signaling activates SMADs	44	104	9	17376	0.0865384615384615	0.2045454545454545	query_1	['REAC:R-HSA-170834']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'TGFB3', 'TGFBR2', 'TGFBR1', 'ITGB6', 'CBL']
266	GO:BP	GO:0051493	regulation of cytoskeleton organization	5.0926249457920975e-11	True	"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	514	104	21	17376	0.2019230769230769	0.0408560311284046	query_1	['GO:0007010', 'GO:0033043']	['MET', 'PLXNB1', 'PIK3R2', 'CD2AP', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'EML3', 'PXN', 'GRB2', 'TGFB1', 'PLK1', 'JAM3', 'EDN1', 'PTK2B', 'EML2', 'TGFBR1', 'PTK2', 'NRP1', 'PDGFRA']
267	GO:BP	GO:0009725	response to hormone	5.5927618863575386e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]"	845	104	26	17376	0.25	0.0307692307692307	query_1	['GO:0009719', 'GO:0010033']	['PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'TGFBR2', 'PXN', 'SOX10', 'LYN', 'GRB2', 'TGFB1', 'EDN1', 'PTK2B', 'NUDC', 'EDNRB', 'PTK2', 'THBS1', 'ITGA3', 'PTPN11', 'PGF']
268	GO:BP	GO:0043067	regulation of programmed cell death	5.691993302920556e-11	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	104	33	17376	0.3173076923076923	0.0234875444839857	query_1	['GO:0010941', 'GO:0012501']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'ITGA4', 'SOX10', 'LYN', 'TGFB1', 'PLK1', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'CBL', 'SEMA4D']
269	GO:BP	GO:0050920	regulation of chemotaxis	5.701480297421753e-11	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	217	104	15	17376	0.1442307692307692	0.0691244239631336	query_1	['GO:0006935', 'GO:0032101', 'GO:0040012']	['MET', 'EDN2', 'VEGFB', 'EDN3', 'LYN', 'JAM3', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'SEMA4D', 'PGF']
270	GO:BP	GO:0051347	positive regulation of transferase activity	6.003359694804233e-11	True	"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]"	519	104	21	17376	0.2019230769230769	0.0404624277456647	query_1	['GO:0043085', 'GO:0051338']	['MET', 'SRC', 'ITGB3', 'EDN3', 'TGFBR2', 'LAT', 'LYN', 'NEK7', 'LCP2', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'PDGFRA', 'FLT1']
271	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	6.104026091648912e-11	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	104	11	17376	0.1057692307692307	0.1235955056179775	query_1	['REAC:R-HSA-168249']	['PIK3R2', 'PIK3R1', 'CRK', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2']
272	GO:BP	GO:0043069	negative regulation of programmed cell death	7.343073203063817e-11	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	856	104	26	17376	0.25	0.0303738317757009	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'SRC', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'SOX10', 'PLK1', 'EGFR', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'CBL', 'SEMA4D']
273	GO:BP	GO:0071526	semaphorin-plexin signaling pathway	7.509121987558262e-11	True	"""The series of molecular signals generated as a consequence of a semaphorin receptor (composed of a plexin and a neurophilin) binding to a semaphorin ligand."" [GOC:BHF, GOC:mah, GOC:vk, PMID:15239959]"	44	104	9	17376	0.0865384615384615	0.2045454545454545	query_1	['GO:0007166']	['MET', 'PLXNB1', 'EDNRA', 'NRP2', 'EDN1', 'ECE1', 'NRP1', 'SEMA4D', 'PLXNA1']
274	GO:BP	GO:0051336	regulation of hydrolase activity	7.698376618892083e-11	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	932	104	27	17376	0.2596153846153846	0.028969957081545	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'SRC', 'EDNRA', 'CRK', 'HGF', 'ITK', 'SOS1', 'FYN', 'LYN', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
275	GO:BP	GO:0010632	regulation of epithelial cell migration	7.734611507075682e-11	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	104	15	17376	0.1442307692307692	0.0675675675675675	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['MET', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'NRP2', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3']
276	GO:BP	GO:0045859	regulation of protein kinase activity	8.600068723768093e-11	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	591	104	22	17376	0.2115384615384615	0.0372250423011844	query_1	['GO:0001932', 'GO:0043549']	['SRC', 'ITGB3', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'CBL', 'FLT1']
277	GO:BP	GO:0071674	mononuclear cell migration	1.2071910647848336e-10	True	"""The movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	189	104	14	17376	0.1346153846153846	0.074074074074074	query_1	['GO:0050900']	['ITGB3', 'CRK', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TGFB1', 'PTK2B', 'CRKL', 'PTK2', 'THBS1', 'ITGB7', 'JAM2', 'FLT1']
278	GO:BP	GO:0065008	regulation of biological quality	1.2407180653313968e-10	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2764	104	46	17376	0.4423076923076923	0.016642547033285	query_1	['GO:0065007']	['KEL', 'ITGB1', 'EDN2', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'PLCG2', 'EDN3', 'FYN', 'LYN', 'GRB2', 'NRP2', 'PLK1', 'JAM3', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'SH3GL2', 'EDNRB', 'VTN', 'ECE2', 'TLN1', 'L1CAM', 'PTK2', 'XK', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
279	GO:BP	GO:0048729	tissue morphogenesis	1.2995662195217183e-10	True	"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]"	604	104	22	17376	0.2115384615384615	0.0364238410596026	query_1	['GO:0009653', 'GO:0009888']	['MET', 'ITGB1', 'SRC', 'EDNRA', 'ITGB3', 'HGF', 'SOS1', 'TGFBR2', 'ITGA5', 'SOX10', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'EGFR', 'VCL', 'EDN1', 'VEGFA', 'TGFBR1', 'NRP1', 'ITGA3', 'PLXNA1']
280	GO:BP	GO:0033674	positive regulation of kinase activity	1.3161321611863204e-10	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	426	104	19	17376	0.1826923076923076	0.0446009389671361	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['MET', 'SRC', 'ITGB3', 'EDN3', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'PDGFRA', 'FLT1']
281	GO:CC	GO:0045121	membrane raft	1.3474805970966244e-10	True	"""Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions."" [PMID:16645198, PMID:20044567]"	318	104	17	17376	0.1634615384615384	0.0534591194968553	query_1	['GO:0098857']	['ITGB1', 'SRC', 'CRK', 'TGFBR2', 'FYN', 'LAT', 'ZAP70', 'LYN', 'LCP2', 'EGFR', 'VCL', 'CDH1', 'PTK2B', 'EDNRB', 'TGFBR1', 'LCK', 'CBL']
282	GO:CC	GO:0098857	membrane microdomain	1.3474805970966244e-10	True	"""A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it."" [PMID:20044567, PMID:26253820]"	319	104	17	17376	0.1634615384615384	0.0532915360501567	query_1	['GO:0016020']	['ITGB1', 'SRC', 'CRK', 'TGFBR2', 'FYN', 'LAT', 'ZAP70', 'LYN', 'LCP2', 'EGFR', 'VCL', 'CDH1', 'PTK2B', 'EDNRB', 'TGFBR1', 'LCK', 'CBL']
283	GO:BP	GO:0007411	axon guidance	1.411013941688924e-10	True	"""The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues."" [ISBN:0878932437]"	232	104	15	17376	0.1442307692307692	0.0646551724137931	query_1	['GO:0007409', 'GO:0097485']	['PLXNB1', 'EDNRA', 'EDN3', 'SOS1', 'FYN', 'NRP2', 'ERBB2', 'EDN1', 'VEGFA', 'ECE1', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'PLXNA1']
284	GO:BP	GO:0045765	regulation of angiogenesis	1.411013941688924e-10	True	"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]"	276	104	16	17376	0.1538461538461538	0.0579710144927536	query_1	['GO:0001525', 'GO:0022603', 'GO:1901342']	['ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'SHC1', 'TGFBR2', 'ITGA5', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'NRP1', 'THBS1', 'FLT1', 'PGF']
285	GO:BP	GO:0086100	endothelin receptor signaling pathway	1.4212041373980754e-10	True	"""A G protein-coupled receptor signaling pathway initiated by endothelin binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:BHF, GOC:mtg_cardiac_conduct_nov11, PMID:10977869]"	10	104	6	17376	0.0576923076923076	0.6	query_1	['GO:0007186']	['BCAR1', 'EDNRA', 'EDN1', 'PTK2B', 'CRKL', 'EDNRB']
286	GO:BP	GO:0038127	ERBB signaling pathway	1.4349475241402064e-10	True	"""The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:jc, PMID:16460914, Wikipedia:ErbB]"	122	104	12	17376	0.1153846153846153	0.0983606557377049	query_1	['GO:0007169']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'PTK2', 'CBL', 'PTPN11']
287	GO:BP	GO:0007044	cell-substrate junction assembly	1.4354096389887248e-10	True	"""The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate."" [GOC:mah]"	93	104	11	17376	0.1057692307692307	0.1182795698924731	query_1	['GO:0034329', 'GO:0150115']	['FN1', 'SRC', 'ITGB3', 'ITGA5', 'VCL', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'NRP1', 'THBS1']
288	GO:BP	GO:0097485	neuron projection guidance	1.4738801917805938e-10	True	"""The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]"	233	104	15	17376	0.1442307692307692	0.0643776824034334	query_1	['GO:0006935', 'GO:0031175', 'GO:0048812']	['PLXNB1', 'EDNRA', 'EDN3', 'SOS1', 'FYN', 'NRP2', 'ERBB2', 'EDN1', 'VEGFA', 'ECE1', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'PLXNA1']
289	GO:BP	GO:1901342	regulation of vasculature development	1.7119088848404146e-10	True	"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]"	280	104	16	17376	0.1538461538461538	0.0571428571428571	query_1	['GO:0001944', 'GO:2000026']	['ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'SHC1', 'TGFBR2', 'ITGA5', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'NRP1', 'THBS1', 'FLT1', 'PGF']
290	REAC	REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	1.8040328129424096e-10	True	FCERI mediated Ca+2 mobilization	33	104	8	17376	0.0769230769230769	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['ITK', 'PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
291	REAC	REAC:R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	2.3015019364588028e-10	True	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	34	104	8	17376	0.0769230769230769	0.2352941176470588	query_1	['REAC:R-HSA-983705']	['PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1']
292	GO:BP	GO:0070372	regulation of ERK1 and ERK2 cascade	2.346085471995914e-10	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"	286	104	16	17376	0.1538461538461538	0.0559440559440559	query_1	['GO:0043408', 'GO:0070371']	['RAPGEF1', 'VEGFB', 'FN1', 'SRC', 'ITGB3', 'SHC1', 'LYN', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'NRP1', 'PTPN11', 'PDGFRA']
293	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	2.3576809679979736e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	241	104	15	17376	0.1442307692307692	0.0622406639004149	query_1	['GO:0071363', 'GO:0071559']	['ITGB5', 'SRC', 'TGFB3', 'CRK', 'TGFBR2', 'PXN', 'FYN', 'TGFB1', 'EDN1', 'CRKL', 'TGFBR1', 'ITGB6', 'PTK2', 'THBS1', 'ITGA3']
294	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	2.4597789148360816e-10	True	Cytokine Signaling in Immune system	706	104	23	17376	0.2211538461538461	0.0325779036827195	query_1	['REAC:R-HSA-168256']	['RAPGEF1', 'ITGB1', 'FN1', 'PIK3R2', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'FYN', 'LYN', 'GRB2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VEGFA', 'CRKL', 'VCAM1', 'LCK', 'CBL', 'PTPN11']
295	GO:BP	GO:0030036	actin cytoskeleton organization	2.673914854242534e-10	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	695	104	23	17376	0.2211538461538461	0.0330935251798561	query_1	['GO:0007010', 'GO:0030029']	['MET', 'ITGB1', 'ITGB5', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PXN', 'GRB2', 'TGFB1', 'JAM3', 'EDN1', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'NRP1', 'PDGFRA']
296	GO:BP	GO:0034329	cell junction assembly	2.817074167702981e-10	True	"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]"	391	104	18	17376	0.173076923076923	0.0460358056265984	query_1	['GO:0022607', 'GO:0034330']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'ITGB3', 'CRK', 'ITGA5', 'JAM3', 'VCL', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'TLN1', 'PTK2', 'NRP1', 'THBS1', 'SEMA4D']
297	GO:BP	GO:0006909	phagocytosis	2.942912990940578e-10	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	245	104	15	17376	0.1442307692307692	0.0612244897959183	query_1	['GO:0006897']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'FYN', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'THBS1']
298	GO:BP	GO:0031346	positive regulation of cell projection organization	3.101015503515548e-10	True	"""Any process that activates or increases the frequency, rate or extent of the process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]"	341	104	17	17376	0.1634615384615384	0.0498533724340175	query_1	['GO:0030030', 'GO:0031344', 'GO:0051130']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'FYN', 'LYN', 'PTK2B', 'VEGFA', 'TGFBR1', 'L1CAM', 'NRP1', 'ITGA3', 'SEMA4D', 'PLXNA1']
299	GO:BP	GO:0071559	response to transforming growth factor beta	3.2757862666589667e-10	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:mah]"	247	104	15	17376	0.1442307692307692	0.0607287449392712	query_1	['GO:0070848']	['ITGB5', 'SRC', 'TGFB3', 'CRK', 'TGFBR2', 'PXN', 'FYN', 'TGFB1', 'EDN1', 'CRKL', 'TGFBR1', 'ITGB6', 'PTK2', 'THBS1', 'ITGA3']
300	GO:BP	GO:0051130	positive regulation of cellular component organization	3.5036758790807783e-10	True	"""Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	1079	104	28	17376	0.2692307692307692	0.025949953660797	query_1	['GO:0016043', 'GO:0048522', 'GO:0051128']	['MET', 'RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'PLCG2', 'EDN3', 'PXN', 'FYN', 'LYN', 'NEK7', 'GRB2', 'SYK', 'FCGR1A', 'EDN1', 'PTK2B', 'VEGFA', 'VTN', 'TGFBR1', 'L1CAM', 'NRP1', 'ITGA3', 'CBL', 'SEMA4D', 'PLXNA1']
301	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	3.6549168764011475e-10	True	Molecules associated with elastic fibres	36	104	8	17376	0.0769230769230769	0.2222222222222222	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'VTN', 'ITGB6']
302	GO:BP	GO:0009790	embryo development	3.8058824770467837e-10	True	"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	1083	104	28	17376	0.2692307692307692	0.025854108956602	query_1	['GO:0007275']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'EDNRA', 'ITGB3', 'TGFB3', 'SOS1', 'TGFBR2', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'SOX10', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'TFEB', 'PLCG1', 'EDN1', 'VEGFA', 'ECE1', 'VTN', 'TGFBR1', 'NRP1', 'ITGA3', 'PDGFRA', 'FLT1']
303	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	3.876050933148278e-10	True	Erythropoietin activates RAS	12	104	6	17376	0.0576923076923076	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
304	GO:BP	GO:0071375	cellular response to peptide hormone stimulus	3.9593708311045424e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [GOC:mah]"	297	104	16	17376	0.1538461538461538	0.0538720538720538	query_1	['GO:0032870', 'GO:0043434', 'GO:1901653']	['PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'LYN', 'GRB2', 'TGFB1', 'EDN1', 'PTK2', 'PTPN11']
305	GO:BP	GO:0060485	mesenchyme development	3.9593708311045424e-10	True	"""The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells."" [GOC:dph]"	297	104	16	17376	0.1538461538461538	0.0538720538720538	query_1	['GO:0009888', 'GO:0048513']	['FN1', 'EDNRA', 'TGFB3', 'HGF', 'EDN3', 'TGFBR2', 'SOX10', 'TGFB1', 'NRP2', 'EDN1', 'EDNRB', 'TGFBR1', 'PTK2', 'NRP1', 'ADAM15', 'SEMA4D']
306	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	4.727673633811004e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2994	104	47	17376	0.4519230769230769	0.0156980627922511	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['MET', 'VEGFB', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'TFE3', 'EDN3', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'SOX10', 'LYN', 'NEK7', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'TFEB', 'POU3F1', 'SYK', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'SEMA4D', 'FLT1', 'PGF']
307	GO:BP	GO:0071310	cellular response to organic substance	5.10214223201923e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1915	104	37	17376	0.3557692307692308	0.0193211488250652	query_1	['GO:0010033', 'GO:0070887']	['RAPGEF1', 'EDN2', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'SOX10', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'SYK', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'PGF']
308	GO:BP	GO:1903131	mononuclear cell differentiation	5.869780931568631e-10	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	467	104	19	17376	0.1826923076923076	0.0406852248394004	query_1	['GO:0002521']	['ITGB1', 'PIK3R2', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ITGA4', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'VCAM1', 'ITGB6', 'LCK']
309	GO:BP	GO:0043434	response to peptide hormone	6.11394431541212e-10	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	411	104	18	17376	0.173076923076923	0.0437956204379562	query_1	['GO:0009725', 'GO:1901652']	['PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'LYN', 'GRB2', 'TGFB1', 'EDN1', 'NUDC', 'EDNRB', 'PTK2', 'PTPN11']
310	GO:BP	GO:0001755	neural crest cell migration	6.59028184228328e-10	True	"""The characteristic movement of cells from the dorsal ridge of the neural tube to a variety of locations in a vertebrate embryo."" [GOC:ascb_2009, GOC:dph, GOC:tb, ISBN:0878932437]"	56	104	9	17376	0.0865384615384615	0.1607142857142857	query_1	['GO:0014032', 'GO:0090497']	['FN1', 'EDNRA', 'EDN3', 'SOX10', 'NRP2', 'EDN1', 'EDNRB', 'NRP1', 'SEMA4D']
311	GO:BP	GO:0048008	platelet-derived growth factor receptor signaling pathway	6.59028184228328e-10	True	"""The series of molecular signals initiated by a ligand binding to a platelet-derived growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	56	104	9	17376	0.0865384615384615	0.1607142857142857	query_1	['GO:0007169']	['RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'VEGFA', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA']
