Myoclonic-astatic epilepsy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
134	WP	WP:WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	3.1207832247720255e-08	True	Metabolic pathway of LDL, HDL and TG, including diseases	17	86	7	8133	0.0813953488372093	0.4117647058823529	query_1	['WP:000000']	['APOE', 'LDLR', 'PCSK9', 'LDLRAP1', 'APOA1', 'APOA2', 'APOC2']
135	GO:CC	GO:0008305	integrin complex	3.2601473871156985e-08	True	"""A protein complex that is composed of one alpha subunit and one beta subunit, both of which are members of the integrin superfamily of cell adhesion receptors; the complex spans the plasma membrane and binds to extracellular matrix ligands, cell-surface ligands, and soluble ligands."" [PMID:17543136]"	31	104	7	22122	0.0673076923076923	0.2258064516129032	query_1	['GO:0098636', 'GO:0098802']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGB6']
136	GO:BP	GO:0034381	plasma lipoprotein particle clearance	3.4302554551300165e-08	True	"""The process in which a lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded."" [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:mah, GOC:tb]"	40	103	8	21110	0.0776699029126213	0.2	query_1	['GO:0032501', 'GO:0097006']	['APOC3', 'APOE', 'LDLR', 'PCSK9', 'LDLRAP1', 'APOA1', 'APOA2', 'APOC2']
137	WP	WP:WP3601	Lipid particles composition	3.604354297654682e-08	True	Lipid particles composition	10	86	6	8133	0.0697674418604651	0.6	query_1	['WP:000000']	['APOC3', 'APOE', 'LDLR', 'APOA1', 'APOA2', 'APOC2']
138	GO:BP	GO:0098884	postsynaptic neurotransmitter receptor internalization	3.6052067060041774e-08	True	"""A receptor-mediated endocytosis process that results in the internalization of a neurotransmitter receptor from the postsynaptic membrane endocytic zone into an endocytic vesicle."" [GOC:dos]"	24	103	7	21110	0.0679611650485436	0.2916666666666667	query_1	['GO:0099072', 'GO:0099590', 'GO:0140239']	['ITGB3', 'AP2M1', 'AP2B1', 'AP2S1', 'AP2A2', 'AP2A1', 'NUMB']
139	GO:BP	GO:0140239	postsynaptic endocytosis	3.6052067060041774e-08	True	"""A vesicle-mediated transport process in which the postsynapse take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle."" [PMID:12839988]"	24	103	7	21110	0.0679611650485436	0.2916666666666667	query_1	['GO:0006897', 'GO:0051649', 'GO:0099003']	['ITGB3', 'AP2M1', 'AP2B1', 'AP2S1', 'AP2A2', 'AP2A1', 'NUMB']
140	GO:BP	GO:0033627	cell adhesion mediated by integrin	3.7653861496480255e-08	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	89	103	10	21110	0.0970873786407767	0.1123595505617977	query_1	['GO:0007155']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'FBN1', 'VTN', 'PTK2', 'ITGB6']
141	GO:CC	GO:0030122	AP-2 adaptor complex	3.795877807995765e-08	True	"""A heterotetrameric AP-type membrane coat adaptor complex that consists of alpha, beta2, mu2 and sigma2 subunits, and links clathrin to the membrane surface of a vesicle, and the cargo receptors during receptor/clathrin mediated endocytosis. Vesicles with AP-2-containing coats are normally found primarily near the plasma membrane, on endocytic vesicles. In at least humans, the AP-2 complex can be heterogeneric due to the existence of multiple subunit isoforms encoded by different alpha genes (alphaA and alphaC)."" [GOC:mah, PMID:10611976, PMID:21097499, PMID:22022230, PMID:24322426]"	8	104	5	22122	0.048076923076923	0.625	query_1	['GO:0030128', 'GO:0030131', 'GO:0030132', 'GO:0098797']	['AP2M1', 'AP2B1', 'AP2S1', 'AP2A2', 'AP2A1']
142	GO:BP	GO:0010876	lipid localization	4.1109715542933145e-08	True	"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]"	483	103	18	21110	0.174757281553398	0.0372670807453416	query_1	['GO:0033036']	['C3', 'APOC3', 'ITGAV', 'SPP1', 'ITGB3', 'SLC2A1', 'APOE', 'LDLR', 'PCSK9', 'AGT', 'LDLRAP1', 'NTSR1', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2', 'DAB2']
143	GO:CC	GO:0098797	plasma membrane protein complex	4.1114310786790256e-08	True	"""Any protein complex that is part of the plasma membrane."" [GOC:dos]"	717	104	20	22122	0.1923076923076923	0.0278940027894002	query_1	['GO:0005886', 'GO:0098796']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'CLTC', 'AP2M1', 'TFRC', 'AP2B1', 'SCN1A', 'ITGA2B', 'ITGA5', 'HFE', 'AP2S1', 'AP2A2', 'LRP1', 'TF', 'TFR2', 'AP2A1', 'VTN', 'ITGB6']
144	HP	HP:0010980	Hyperlipoproteinemia	4.41615169079981e-08	True	An abnormal increase in the level of lipoprotein cholesterol in the blood.	40	62	10	4851	0.1612903225806451	0.25	query_1	['HP:0010979']	['APOC3', 'SYNE1', 'APOE', 'SYNE2', 'LDLR', 'PCSK9', 'LDLRAP1', 'APOA2', 'APOC2', 'ALB']
145	REAC	REAC:R-HSA-8963888	Chylomicron assembly	4.4223271124269026e-08	True	Chylomicron assembly	10	99	6	10790	0.0606060606060606	0.6	query_1	['REAC:R-HSA-8963898']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
146	REAC	REAC:R-HSA-8963901	Chylomicron remodeling	4.4223271124269026e-08	True	Chylomicron remodeling	10	99	6	10790	0.0606060606060606	0.6	query_1	['REAC:R-HSA-8963899']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
147	GO:CC	GO:0005925	focal adhesion	4.847746515375511e-08	True	"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]"	425	104	16	22122	0.1538461538461538	0.0376470588235294	query_1	['GO:0030055']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'CLTC', 'ITGA2B', 'ITGA5', 'SYNE2', 'LRP1', 'TLN1', 'PTK2', 'ITGB6', 'DAB2', 'NUMB', 'ADD1']
148	GO:BP	GO:0032374	regulation of cholesterol transport	5.040819682380922e-08	True	"""Any process that modulates the frequency, rate or extent of the directed movement of cholesterol into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	64	103	9	21110	0.087378640776699	0.140625	query_1	['GO:0030301', 'GO:0032371']	['APOC3', 'APOE', 'PCSK9', 'LDLRAP1', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
149	GO:BP	GO:0032371	regulation of sterol transport	5.040819682380922e-08	True	"""Any process that modulates the frequency, rate or extent of the directed movement of sterols into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	64	103	9	21110	0.087378640776699	0.140625	query_1	['GO:0015918', 'GO:0032368']	['APOC3', 'APOE', 'PCSK9', 'LDLRAP1', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
150	GO:BP	GO:0065007	biological regulation	5.1573556549626167e-08	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	12891	103	93	21110	0.9029126213592232	0.0072143355829648	query_1	['GO:0008150']	['SLC6A1', 'C3', 'ITGB1', 'APOC3', 'CHD2', 'NTS', 'UBP1', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'ADD3', 'HBD', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'LTBP1', 'CD320', 'AP2B1', 'LOX', 'SCN1A', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'NTSR2', 'FYN', 'MYO6', 'LDLR', 'CDK14', 'AP2S1', 'PCSK9', 'SYNGAP1', 'AGT', 'AP2A2', 'ITIH2', 'LDLRAP1', 'FBLN5', 'BIN1', 'CFH', 'FBLN2', 'PPP1R14B', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'FBN1', 'ORM2', 'TFR2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FBN2', 'FGR', 'FGG', 'MPO', 'APOA4', 'MUSK', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'DMTN', 'NLN', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'APP', 'DAB2', 'CP', 'NUMB', 'ADD1', 'ALB', 'ELN', 'HPX', 'ORM1']
151	REAC	REAC:R-HSA-196854	Metabolism of vitamins and cofactors	5.1593541414300796e-08	True	Metabolism of vitamins and cofactors	186	99	15	10790	0.1515151515151515	0.0806451612903225	query_1	['REAC:R-HSA-1430728']	['APOC3', 'TCN2', 'LRP2', 'SLC2A1', 'APOE', 'CD320', 'LDLR', 'LDLRAP1', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'AGRN', 'APOC2', 'LRP8']
152	GO:BP	GO:0010035	response to inorganic substance	5.7035515061615555e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inorganic substance stimulus."" [GOC:sm]"	562	103	19	21110	0.1844660194174757	0.0338078291814946	query_1	['GO:0042221']	['SLC6A1', 'HBB', 'SRC', 'FGA', 'TFRC', 'HFE', 'FYN', 'FBLN5', 'TF', 'TFR2', 'HP', 'FGB', 'FGG', 'MPO', 'APOA4', 'DMTN', 'SLC40A1', 'APP', 'ADD1']
153	GO:BP	GO:0010811	positive regulation of cell-substrate adhesion	5.743409949878197e-08	True	"""Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	126	103	11	21110	0.1067961165048543	0.0873015873015873	query_1	['GO:0010810', 'GO:0031589', 'GO:0045785']	['FN1', 'FGA', 'ITGB3', 'ITGA5', 'FBLN2', 'APOA1', 'FGB', 'FGG', 'DMTN', 'VTN', 'DAB2']
154	REAC	REAC:R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	6.576531694340235e-08	True	Cargo recognition for clathrin-mediated endocytosis	104	99	12	10790	0.1212121212121212	0.1153846153846153	query_1	['REAC:R-HSA-8856828']	['LRP2', 'CLTC', 'AP2M1', 'TFRC', 'AP2B1', 'LDLR', 'AP2S1', 'AP2A2', 'LDLRAP1', 'TF', 'AP2A1', 'DAB2']
155	GO:CC	GO:0030055	cell-substrate junction	6.816139266063787e-08	True	"""A cell junction that forms a connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	435	104	16	22122	0.1538461538461538	0.0367816091954023	query_1	['GO:0070161']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'CLTC', 'ITGA2B', 'ITGA5', 'SYNE2', 'LRP1', 'TLN1', 'PTK2', 'ITGB6', 'DAB2', 'NUMB', 'ADD1']
156	GO:BP	GO:0033700	phospholipid efflux	7.056680819085737e-08	True	"""The directed movement of a phospholipid out of a cell or organelle."" [GOC:mah]"	14	103	6	21110	0.058252427184466	0.4285714285714285	query_1	['GO:0015914']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
157	HP	HP:0010979	Abnormality of lipoprotein cholesterol concentration	7.221808085780745e-08	True	An abnormal increase or decrease in the level of lipoprotein cholesterol in the blood.	56	62	11	4851	0.1774193548387097	0.1964285714285714	query_1	['HP:0003107']	['APOC3', 'SYNE1', 'APOE', 'SYNE2', 'LDLR', 'PCSK9', 'LDLRAP1', 'APOA1', 'APOA2', 'APOC2', 'ALB']
158	GO:BP	GO:0006869	lipid transport	7.539037110794705e-08	True	"""The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [ISBN:0198506732]"	435	103	17	21110	0.1650485436893204	0.0390804597701149	query_1	['GO:0010876', 'GO:0071702']	['APOC3', 'ITGAV', 'SPP1', 'ITGB3', 'SLC2A1', 'APOE', 'LDLR', 'PCSK9', 'AGT', 'LDLRAP1', 'NTSR1', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2', 'DAB2']
159	GO:BP	GO:0051129	negative regulation of cellular component organization	8.080043835251274e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	725	103	21	21110	0.203883495145631	0.0289655172413793	query_1	['GO:0016043', 'GO:0048523', 'GO:0051128']	['APOC3', 'ITGAV', 'SRC', 'SPP1', 'ADD2', 'ITGB3', 'ADD3', 'TFRC', 'LRP4', 'APOE', 'FYN', 'LDLR', 'PCSK9', 'SYNGAP1', 'APOA1', 'APOA2', 'APOA4', 'DMTN', 'APOC2', 'DAB2', 'ADD1']
160	REAC	REAC:R-HSA-109582	Hemostasis	8.083229876543109e-08	True	Hemostasis	672	99	26	10790	0.2626262626262626	0.0386904761904761	query_1	['REAC:0000000']	['ITGB1', 'FN1', 'ITGAV', 'HBB', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'ITGA2B', 'ITGA5', 'FYN', 'APOA1', 'TF', 'ORM2', 'FGB', 'FGR', 'FGG', 'SERPINA1', 'TLN1', 'LRP8', 'PTK2', 'APP', 'A1BG', 'ALB', 'ORM1']
161	GO:BP	GO:0042592	homeostatic process	8.325439528661979e-08	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1673	103	31	21110	0.3009708737864077	0.0185295875672444	query_1	['GO:0008150']	['ITGB1', 'APOC3', 'SRC', 'HEPH', 'SPP1', 'ITGB3', 'SLC2A1', 'TFRC', 'APOE', 'LOX', 'HFE', 'LDLR', 'PCSK9', 'AGT', 'LDLRAP1', 'NTSR1', 'APOA1', 'TF', 'TFR2', 'APOA2', 'APOA4', 'MFAP2', 'DMTN', 'APOC2', 'SLC40A1', 'ITGB6', 'APP', 'CP', 'ADD1', 'ALB', 'HPX']
162	GO:CC	GO:0030128	clathrin coat of endocytic vesicle	8.508873309351434e-08	True	"""A clathrin coat found on an endocytic vesicle."" [GOC:mah]"	9	104	5	22122	0.048076923076923	0.5555555555555556	query_1	['GO:0030125', 'GO:0030669']	['AP2M1', 'AP2B1', 'AP2S1', 'AP2A2', 'AP2A1']
163	GO:BP	GO:0001932	regulation of protein phosphorylation	8.735909907765828e-08	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]"	1072	103	25	21110	0.2427184466019417	0.023320895522388	query_1	['GO:0006468', 'GO:0031399', 'GO:0042325']	['C3', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'SNX9', 'TFRC', 'LRP4', 'APOE', 'LOX', 'ITGA5', 'HFE', 'FYN', 'AGT', 'APOA1', 'LRP1', 'FGR', 'MUSK', 'DMTN', 'VTN', 'LRP8', 'PTK2', 'APP', 'DAB2', 'HPX']
164	GO:BP	GO:0000041	transition metal ion transport	9.018122014981769e-08	True	"""The directed movement of transition metal ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver."" [ISBN:0198506732]"	97	103	10	21110	0.0970873786407767	0.1030927835051546	query_1	['GO:0030001']	['TCN2', 'HEPH', 'CLTC', 'TFRC', 'HFE', 'TF', 'TFR2', 'SLC40A1', 'CP', 'HPX']
165	GO:BP	GO:0007166	cell surface receptor signaling pathway	9.396344375450685e-08	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2890	103	41	21110	0.3980582524271844	0.0141868512110726	query_1	['GO:0007165']	['C3', 'ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'LRP2', 'LRP4', 'APOE', 'LTBP1', 'LOX', 'ITGA2B', 'ITGA5', 'HFE', 'NTSR2', 'FYN', 'CDK14', 'AGT', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'FBN1', 'FGB', 'FBN2', 'FGR', 'FGG', 'MUSK', 'CTSG', 'DMTN', 'VTN', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'APP', 'DAB2', 'HPX']
166	GO:CC	GO:0098636	protein complex involved in cell adhesion	9.42203839416742e-08	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	58	104	8	22122	0.0769230769230769	0.1379310344827586	query_1	['GO:0032991']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'VTN', 'ITGB6']
167	GO:BP	GO:0071827	plasma lipoprotein particle organization	9.423744614879377e-08	True	"""A protein-lipid complex subunit organization process that results in the formation, disassembly, or alteration of a plasma lipoprotein particle. A plasma lipoprotein particle is a spherical particle with a hydrophobic core of triglycerides and/or cholesterol esters, surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins."" [GOC:BHF, GOC:mah]"	45	103	8	21110	0.0776699029126213	0.1777777777777777	query_1	['GO:0032501', 'GO:0071825']	['APOC3', 'APOE', 'AGT', 'APOA1', 'APOA2', 'MPO', 'APOA4', 'APOC2']
168	GO:BP	GO:0006950	response to stress	9.471117296225505e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	4017	103	49	21110	0.4757281553398058	0.0121981578292257	query_1	['GO:0050896']	['C3', 'ITGB1', 'CHD2', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'SLC2A1', 'TFRC', 'APOE', 'LOX', 'ITGA5', 'HFE', 'FYN', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'FBLN5', 'CFH', 'PPP1R14B', 'APOA1', 'LRP1', 'TF', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'FGR', 'FGG', 'MPO', 'APOA4', 'CFB', 'CTSG', 'DMTN', 'SERPINA1', 'VTN', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'APP', 'ALB', 'HPX', 'ORM1']
169	WP	WP:WP430	Statin inhibition of cholesterol production	1.100621756659482e-07	True	Statin inhibition of cholesterol production	31	86	8	8133	0.0930232558139534	0.2580645161290322	query_1	['WP:000000']	['APOC3', 'APOE', 'LDLR', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
170	GO:CC	GO:0000323	lytic vacuole	1.1405552095129719e-07	True	"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]"	760	104	20	22122	0.1923076923076923	0.0263157894736842	query_1	['GO:0005773']	['C3', 'TCN2', 'SRC', 'LRP2', 'CLTC', 'AP2M1', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LRP1', 'ORM2', 'AP2A1', 'MPO', 'AGRN', 'CTSG', 'DAB2', 'CP']
171	GO:CC	GO:0005764	lysosome	1.1405552095129719e-07	True	"""A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."" [GOC:mah, ISBN:0198506732]"	760	104	20	22122	0.1923076923076923	0.0263157894736842	query_1	['GO:0000323']	['C3', 'TCN2', 'SRC', 'LRP2', 'CLTC', 'AP2M1', 'AP2B1', 'MYO6', 'LDLR', 'AP2S1', 'PCSK9', 'AP2A2', 'LRP1', 'ORM2', 'AP2A1', 'MPO', 'AGRN', 'CTSG', 'DAB2', 'CP']
172	GO:BP	GO:0030168	platelet activation	1.2202376098486348e-07	True	"""A series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue. These events include shape change, adhesiveness, aggregation, and release reactions. When carried through to completion, these events lead to the formation of a stable hemostatic plug."" [http://www.graylab.ac.uk/omd/]"	135	103	11	21110	0.1067961165048543	0.0814814814814814	query_1	['GO:0001775', 'GO:0007596']	['FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'APOE', 'FGB', 'FGG', 'CTSG', 'DMTN', 'TLN1']
173	GO:BP	GO:0050789	regulation of biological process	1.3145536916140406e-07	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12480	103	91	21110	0.883495145631068	0.0072916666666666	query_1	['GO:0008150', 'GO:0065007']	['SLC6A1', 'C3', 'ITGB1', 'APOC3', 'CHD2', 'NTS', 'UBP1', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'ADD2', 'FGA', 'ITGB3', 'TGFB3', 'AMPH', 'ADD3', 'HBD', 'LRP2', 'CLTC', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'LTBP1', 'CD320', 'LOX', 'SCN1A', 'ITGA2B', 'ITGA5', 'HFE', 'SYNE2', 'NTSR2', 'FYN', 'MYO6', 'LDLR', 'CDK14', 'AP2S1', 'PCSK9', 'SYNGAP1', 'AGT', 'ITIH2', 'LDLRAP1', 'FBLN5', 'BIN1', 'CFH', 'FBLN2', 'PPP1R14B', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'FBN1', 'ORM2', 'TFR2', 'AP2A1', 'HP', 'FGB', 'APOA2', 'FBN2', 'FGR', 'FGG', 'MPO', 'APOA4', 'MUSK', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'DMTN', 'NLN', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'TLN1', 'LRP8', 'PTK2', 'ITGB6', 'APP', 'DAB2', 'CP', 'NUMB', 'ADD1', 'ALB', 'ELN', 'HPX', 'ORM1']
174	GO:BP	GO:0048518	positive regulation of biological process	1.3518356699149086e-07	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	6358	103	63	21110	0.6116504854368932	0.0099087763447625	query_1	['GO:0008150', 'GO:0050789']	['SLC6A1', 'C3', 'ITGB1', 'NTS', 'UBP1', 'FN1', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'HBD', 'LRP2', 'SNX9', 'AP2M1', 'TFRC', 'LRP4', 'APOE', 'CD320', 'ITGA5', 'HFE', 'SYNE2', 'FYN', 'MYO6', 'LDLR', 'PCSK9', 'AGT', 'LDLRAP1', 'BIN1', 'CFH', 'FBLN2', 'NTSR1', 'APOA1', 'LRP1', 'TF', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'FBN2', 'FGR', 'FGG', 'APOA4', 'MUSK', 'CFB', 'AGRN', 'CTSG', 'MFAP2', 'DMTN', 'VTN', 'APOC2', 'SLC40A1', 'LRP8', 'PTK2', 'APP', 'DAB2', 'NUMB', 'ADD1', 'HPX', 'ORM1']
175	HP	HP:0004950	Peripheral arterial stenosis	1.4274176725971864e-07	True	Narrowing of peripheral arteries with reduction of blood flow to the limbs. This feature may be quantified as an ankle-brachial index of less than 0.9, and may be manifested clinically as claudication.	32	62	9	4851	0.1451612903225806	0.28125	query_1	['HP:0100545']	['TGFB3', 'APOE', 'LOX', 'LDLR', 'PCSK9', 'LDLRAP1', 'FBN1', 'MFAP5', 'ELN']
176	GO:MF	GO:0140272	exogenous protein binding	1.42863475724442e-07	True	"""Binding to a protein or protein complex from a different species, for example a pathogen molecule binding to a host protein."" [PMID:28861068]"	78	103	9	20195	0.087378640776699	0.1153846153846153	query_1	['GO:0005488']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'TFRC', 'ITGA5', 'LDLR', 'ITGB6', 'ALB']
177	GO:CC	GO:1990777	lipoprotein particle	1.5231294138754277e-07	True	"""A spherical particle containing non-covalently associated proteins and lipids. Examples are plasma lipoprotein particles which transport lipids in the blood or lymph."" [GOC:vesicles]"	38	104	7	22122	0.0673076923076923	0.1842105263157894	query_1	['GO:0032994']	['APOC3', 'APOE', 'LDLR', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
178	GO:CC	GO:0034358	plasma lipoprotein particle	1.5231294138754277e-07	True	"""A spherical particle with a hydrophobic core of triglycerides and/or cholesterol esters, surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Plasma lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood or lymph."" [GOC:BHF, GOC:expert_pt, GOC:rl]"	38	104	7	22122	0.0673076923076923	0.1842105263157894	query_1	['GO:0005615', 'GO:1990777']	['APOC3', 'APOE', 'LDLR', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
179	GO:CC	GO:0034361	very-low-density lipoprotein particle	1.5726454050318532e-07	True	"""A triglyceride-rich lipoprotein particle that is typically composed of APOB100, APOE and APOCs and has a density of about 1.006 g/ml and a diameter of between 20-80 nm. It is found in blood and transports endogenous products (newly synthesized cholesterol and triglycerides) from the liver."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	21	104	6	22122	0.0576923076923076	0.2857142857142857	query_1	['GO:0034385']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
180	GO:CC	GO:0034385	triglyceride-rich plasma lipoprotein particle	1.5726454050318532e-07	True	"""A plasma lipoprotein particle that has a hydrophobic core enriched in triglycerides surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Triglyceride-rich lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood."" [GOC:BHF, GOC:mah, GOC:rl]"	21	104	6	22122	0.0576923076923076	0.2857142857142857	query_1	['GO:0034358']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
181	GO:BP	GO:0065005	protein-lipid complex assembly	1.5937055995499094e-07	True	"""The aggregation, arrangement and bonding together of proteins and lipids to form a protein-lipid complex."" [GOC:jl]"	29	103	7	21110	0.0679611650485436	0.2413793103448276	query_1	['GO:0065003', 'GO:0071825']	['APOC3', 'SNX9', 'APOE', 'BIN1', 'APOA1', 'APOA2', 'APOA4']
