Dyskeratosis congenita	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
174	GO:BP	GO:0051321	meiotic cell cycle	7.519143832155774e-18	True	"""Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."" [GOC:ai]"	277	112	23	17376	0.2053571428571428	0.0830324909747292	query_1	['GO:0007049', 'GO:0019953', 'GO:0022414']	['RBBP8', 'HUS1', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'EXO1', 'CDK2', 'RMI1', 'MSH6']
175	GO:BP	GO:0044774	mitotic DNA integrity checkpoint signaling	1.0957777694347239e-17	True	"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during mitosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]"	89	112	16	17376	0.1428571428571428	0.1797752808988764	query_1	['GO:0007093', 'GO:0031570']	['HUS1', 'RAD9B', 'NBN', 'MSH2', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
176	GO:BP	GO:0010332	response to gamma radiation	1.3242478966050945e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]"	56	112	14	17376	0.125	0.25	query_1	['GO:0010212']	['XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'ATR', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'RAD51', 'PRKDC', 'POLB', 'WRN', 'TP53']
177	REAC	REAC:R-HSA-68952	DNA replication initiation	1.4065803601268282e-17	True	DNA replication initiation	8	112	8	17376	0.0714285714285714	1.0	query_1	['REAC:R-HSA-69239']	['POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'POLA2', 'POLE2', 'POLE']
178	GO:BP	GO:0051716	cellular response to stimulus	1.4269630201716566e-17	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6647	112	89	17376	0.7946428571428571	0.0133894990221152	query_1	['GO:0009987', 'GO:0050896']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'WDR45B', 'POLA1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'TERT', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'KHSRP', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
179	GO:BP	GO:2001252	positive regulation of chromosome organization	1.5923030567969672e-17	True	"""Any process that activates or increases the frequency, rate or extent of chromosome organization."" [GOC:obol]"	112	112	17	17376	0.1517857142857142	0.1517857142857142	query_1	['GO:0010638', 'GO:0033044', 'GO:0051276']	['NBN', 'RAD50', 'LIG4', 'FEN1', 'TINF2', 'ATR', 'DKC1', 'PARN', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'NAF1', 'CDK2', 'RTEL1', 'KAT5', 'PNKP']
180	GO:BP	GO:0010165	response to X-ray	1.6997978682494466e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:sm, Wikipedia:X-ray]"	32	112	12	17376	0.1071428571428571	0.375	query_1	['GO:0010212']	['MSH2', 'TP53BP1', 'XRCC6', 'LIG4', 'BRCA2', 'XRCC4', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'RAD51', 'TP53']
181	GO:BP	GO:0002520	immune system development	2.6450684432620028e-17	True	"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]"	194	112	20	17376	0.1785714285714285	0.1030927835051546	query_1	['GO:0002376', 'GO:0048731']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'TP53', 'CTC1', 'RNF8', 'MSH6']
182	GO:BP	GO:0006312	mitotic recombination	3.277644903847987e-17	True	"""The exchange, reciprocal or nonreciprocal, of genetic material between one DNA molecule and a homologous DNA region that occurs during mitotic cell cycles."" [GOC:elh]"	24	112	11	17376	0.0982142857142857	0.4583333333333333	query_1	['GO:0006310']	['MSH2', 'RAD50', 'RAD52', 'MLH1', 'MSH3', 'BRCA2', 'ERCC1', 'ERCC4', 'MRE11', 'RAD51', 'XRCC1']
183	REAC	REAC:R-HSA-69206	G1/S Transition	4.365121285142389e-17	True	G1/S Transition	130	112	17	17376	0.1517857142857142	0.1307692307692307	query_1	['REAC:R-HSA-453279']	['RPA4', 'AKT1', 'TYMS', 'RPA2', 'DHFR', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
184	GO:BP	GO:0035825	homologous recombination	4.6683937861782034e-17	True	"""A DNA recombination process that results in the exchange of an equal amount of genetic material between highly homologous DNA molecules."" [GOC:mah, PMID:11139492, PMID:17304215]"	61	112	14	17376	0.125	0.2295081967213114	query_1	['GO:0006310']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'RMI1']
185	GO:CC	GO:0043227	membrane-bounded organelle	4.783468445993368e-17	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12190	112	112	17376	1.0	0.0091878589007383	query_1	['GO:0043226']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'WDR45B', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'ACTR3C', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'USB1', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
186	REAC	REAC:R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	5.616220788851307e-17	True	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	39	112	12	17376	0.1071428571428571	0.3076923076923077	query_1	['REAC:R-HSA-73893']	['POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
187	GO:BP	GO:0018130	heterocycle biosynthetic process	6.097465083150333e-17	True	"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]"	3764	112	67	17376	0.5982142857142857	0.0178002125398512	query_1	['GO:0044249', 'GO:0046483']	['RBBP8', 'BRIP1', 'AKT1', 'STN1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'TYMS', 'PAXIP1', 'LIG4', 'POLD4', 'NHP2', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'NAF1', 'SMG6', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'NPM1', 'POLE2', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8']
188	GO:BP	GO:0019438	aromatic compound biosynthetic process	6.98597114612334e-17	True	"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	3774	112	67	17376	0.5982142857142857	0.0177530471648118	query_1	['GO:0006725', 'GO:0044249']	['RBBP8', 'BRIP1', 'AKT1', 'STN1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'TYMS', 'PAXIP1', 'LIG4', 'POLD4', 'NHP2', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'NAF1', 'SMG6', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'NPM1', 'POLE2', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8']
189	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	7.095251649675955e-17	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1959	112	49	17376	0.4375	0.0250127616130678	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['RBBP8', 'AKT1', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD51AP1', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'DCP2', 'TINF2', 'BRCA2', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'WRN', 'KHSRP', 'NPM1', 'TP53', 'WRAP53', 'PNKP', 'CTC1', 'RNF8']
190	GO:BP	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	9.111808720803956e-17	True	"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1481	112	43	17376	0.3839285714285714	0.0290344361917623	query_1	['GO:0006139', 'GO:0019219', 'GO:0031324', 'GO:0051172']	['RBBP8', 'NBN', 'STN1', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'SHQ1', 'MSH3', 'OGG1', 'TEN1', 'DCP2', 'TINF2', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'NAF1', 'SMG6', 'APEX1', 'BRCA1', 'CDK2', 'XRCC1', 'RTEL1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'PIF1', 'CTC1', 'RNF8', 'MSH6']
191	GO:BP	GO:0009411	response to UV	1.0968478446803981e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	151	112	18	17376	0.1607142857142857	0.119205298013245	query_1	['GO:0009416']	['HUS1', 'AKT1', 'XPA', 'MSH2', 'USP1', 'POLD3', 'FEN1', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'WRN', 'NPM1', 'TP53', 'MSH6']
192	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	1.1922581109384272e-16	True	"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	3698	112	66	17376	0.5892857142857143	0.0178474851270957	query_1	['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']	['RBBP8', 'BRIP1', 'AKT1', 'STN1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'TYMS', 'PAXIP1', 'LIG4', 'POLD4', 'NHP2', 'OGG1', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'NAF1', 'SMG6', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'NPM1', 'POLE2', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8']
193	GO:BP	GO:0022616	DNA strand elongation	1.2178925677259975e-16	True	"""The DNA metabolic process in which an existing DNA strand is extended by activities including the addition of nucleotides to the 3' end of the strand."" [GOC:isa_complete, GOC:mah]"	37	112	12	17376	0.1071428571428571	0.3243243243243243	query_1	['GO:0006259']	['NBN', 'POLD3', 'RAD50', 'LIG3', 'LIG1', 'POLA1', 'PCNA', 'TERT', 'POLE3', 'MRE11', 'POLE', 'POLD2']
194	REAC	REAC:R-HSA-69109	Leading Strand Synthesis	1.5517319196205594e-16	True	Leading Strand Synthesis	14	112	9	17376	0.0803571428571428	0.6428571428571429	query_1	['REAC:R-HSA-69190']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
195	REAC	REAC:R-HSA-69091	Polymerase switching	1.5517319196205594e-16	True	Polymerase switching	14	112	9	17376	0.0803571428571428	0.6428571428571429	query_1	['REAC:R-HSA-69109', 'REAC:R-HSA-69186']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
196	GO:CC	GO:1902494	catalytic complex	1.7494293138945631e-16	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1713	112	45	17376	0.4017857142857143	0.0262697022767075	query_1	['GO:0032991']	['TP53BP1', 'POLD3', 'FANCI', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'POLD4', 'NHP2', 'POLE4', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'PCNA', 'TERT', 'DKC1', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'RAD51', 'TOP3A', 'SMG6', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'BARD1', 'NOP10', 'KHSRP', 'RMI2', 'POLE2', 'RMI1', 'WRAP53', 'POLE', 'POLD2', 'RNF8']
197	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	1.9531217296714104e-16	True	RNA Polymerase II Transcription	1272	112	39	17376	0.3482142857142857	0.0306603773584905	query_1	['REAC:R-HSA-74160']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'RMI1', 'TP53']
198	REAC	REAC:0000000	REACTOME root term	2.017813048328889e-16	True	REACTOME root term	9962	112	104	17376	0.9285714285714286	0.0104396707488456	query_1	[]	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'WDR45B', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
199	GO:BP	GO:0006996	organelle organization	3.388328155358826e-16	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3431	112	63	17376	0.5625	0.0183619935878752	query_1	['GO:0016043']	['HUS1', 'BRIP1', 'AKT1', 'XPA', 'NBN', 'STN1', 'MSH2', 'RAD50', 'RAD51AP1', 'LIG3', 'XRCC6', 'LIG4', 'MLH1', 'FEN1', 'NHP2', 'RPA2', 'MSH3', 'TEN1', 'WDR45B', 'DCP2', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'WRN', 'NOP10', 'RMI2', 'NPM1', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'RNF8']
200	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	3.391174956046261e-16	True	Mitotic G1 phase and G1/S transition	147	112	17	17376	0.1517857142857142	0.1156462585034013	query_1	['REAC:R-HSA-69278']	['RPA4', 'AKT1', 'TYMS', 'RPA2', 'DHFR', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
201	GO:BP	GO:1901362	organic cyclic compound biosynthetic process	4.692122476803276e-16	True	"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]"	3912	112	67	17376	0.5982142857142857	0.0171267893660531	query_1	['GO:1901360', 'GO:1901576']	['RBBP8', 'BRIP1', 'AKT1', 'STN1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'TYMS', 'PAXIP1', 'LIG4', 'POLD4', 'NHP2', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'NAF1', 'SMG6', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'NPM1', 'POLE2', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8']
202	GO:BP	GO:1903047	mitotic cell cycle process	8.93955679009504e-16	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	746	112	31	17376	0.2767857142857143	0.0415549597855227	query_1	['GO:0000278', 'GO:0022402']	['RBBP8', 'HUS1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'POLA1', 'BRCA2', 'PCNA', 'TERT', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'RTEL1', 'KAT5', 'BARD1', 'TP53', 'CTC1', 'POLE']
203	GO:BP	GO:0031324	negative regulation of cellular metabolic process	9.39573778376762e-16	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2089	112	49	17376	0.4375	0.0234561991383437	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']	['RBBP8', 'AKT1', 'NBN', 'STN1', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'TYMS', 'MLH1', 'SHQ1', 'MSH3', 'OGG1', 'DHFR', 'TEN1', 'DCP2', 'TINF2', 'PCNA', 'ATR', 'AR', 'TERT', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'NAF1', 'SMG6', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'BARD1', 'KHSRP', 'RMI2', 'NPM1', 'TP53', 'NEIL1', 'PIF1', 'CTC1', 'RNF8', 'MSH6']
204	GO:BP	GO:2001251	negative regulation of chromosome organization	1.1312676829420733e-15	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome organization."" [GOC:obol]"	96	112	15	17376	0.1339285714285714	0.15625	query_1	['GO:0010639', 'GO:0033044', 'GO:0051276']	['NBN', 'STN1', 'RAD50', 'TEN1', 'DCP2', 'TINF2', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'SMG6', 'XRCC1', 'RTEL1', 'PIF1', 'CTC1']
