Vascular Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
260	WP	WP:WP2118	Arrhythmogenic right ventricular cardiomyopathy	4.911126712514505e-12	True	Arrhythmogenic right ventricular cardiomyopathy	74	89	14	8133	0.1573033707865168	0.1891891891891892	query_1	['WP:000000']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'CTNNB1', 'ITGA2B', 'ITGA5', 'ITGA4', 'ITGB6', 'ITGB7', 'ITGA3', 'ITGA2']
261	GO:BP	GO:0071310	cellular response to organic substance	4.952394785690123e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	2019	99	39	21110	0.3939393939393939	0.0193164933135215	query_1	['GO:0010033', 'GO:0070887']	['P4HB', 'RAPGEF1', 'NCK1', 'PDGFB', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'COL3A1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'COL1A2', 'NRP2', 'EGFR', 'SYK', 'CDH1', 'PTK2B', 'COL1A1', 'CRKL', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'ITGA2', 'PGF']
262	GO:BP	GO:0010595	positive regulation of endothelial cell migration	5.23301490452127e-12	True	"""Any process that increases the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]"	105	99	13	21110	0.1313131313131313	0.1238095238095238	query_1	['GO:0010594', 'GO:0010634', 'GO:0043542']	['MET', 'PDGFB', 'BCAR1', 'ITGB3', 'VEGFC', 'FLT4', 'NRP2', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'NRP1', 'THBS1']
263	WP	WP:WP304	Kit receptor signaling pathway	5.243439869039746e-12	True	Kit receptor signaling pathway	59	89	13	8133	0.146067415730337	0.2203389830508474	query_1	['WP:000000']	['SRC', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'FYN', 'LYN', 'GRB2', 'VAV1', 'PLCG1', 'CRKL', 'CBL', 'PTPN11']
264	GO:BP	GO:0048008	platelet-derived growth factor receptor signaling pathway	5.876761917793475e-12	True	"""The series of molecular signals initiated by a ligand binding to a platelet-derived growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	58	99	11	21110	0.1111111111111111	0.1896551724137931	query_1	['GO:0007169']	['RAPGEF1', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'PDGFRB', 'VEGFA', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA']
265	GO:BP	GO:0006897	endocytosis	5.973027038643254e-12	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	99	26	21110	0.2626262626262626	0.0325814536340852	query_1	['GO:0016192']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'SH3KBP1', 'VEGFA', 'SH3GL2', 'VTN', 'PTK2', 'THBS1', 'ELMO1', 'CBL', 'ELMO2', 'ITGA2']
266	GO:BP	GO:0007159	leukocyte cell-cell adhesion	6.0491516734836415e-12	True	"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]"	402	99	20	21110	0.202020202020202	0.0497512437810945	query_1	['GO:0098609']	['ITGB1', 'NCK1', 'SRC', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'SHB', 'VAV1', 'SYK', 'ERBB2', 'VCAM1', 'LCK', 'ITGB7', 'JAM2', 'PTPN11', 'NCK2', 'SEMA4D']
267	REAC	REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	6.16148599713275e-12	True	Constitutive Signaling by Aberrant PI3K in Cancer	65	98	13	10790	0.1326530612244898	0.2	query_1	['REAC:R-HSA-2219528']	['MET', 'PDGFB', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'PDGFRB', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
268	KEGG	KEGG:05412	Arrhythmogenic right ventricular cardiomyopathy	6.41623410549972e-12	True	Arrhythmogenic right ventricular cardiomyopathy	77	91	14	8161	0.1538461538461538	0.1818181818181818	query_1	['KEGG:00000']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGA11', 'ITGB3', 'CTNNB1', 'ITGA2B', 'ITGA5', 'ITGA4', 'ITGB6', 'ITGB7', 'ITGA3', 'ITGA2']
269	WP	WP:WP2037	Prolactin signaling pathway	7.2740913606348246e-12	True	Prolactin signaling pathway	76	89	14	8133	0.1573033707865168	0.1842105263157894	query_1	['WP:000000']	['ITGB1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'GRB2', 'VAV1', 'ERBB2', 'PTK2', 'CBL', 'PTPN11']
270	GO:BP	GO:0050679	positive regulation of epithelial cell proliferation	7.46482099320834e-12	True	"""Any process that activates or increases the rate or extent of epithelial cell proliferation."" [GOC:ai]"	212	99	16	21110	0.1616161616161616	0.0754716981132075	query_1	['GO:0008284', 'GO:0050673', 'GO:0050678']	['VEGFB', 'PDGFB', 'ITGB3', 'VEGFC', 'FLT4', 'CTNNB1', 'ITGA4', 'NRP2', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'VEGFA', 'VEGFD', 'NRP1', 'PGF']
271	GO:BP	GO:0030182	neuron differentiation	7.634118145273814e-12	True	"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]"	1415	99	33	21110	0.3333333333333333	0.023321554770318	query_1	['GO:0030154', 'GO:0048699']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'VCL', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'CRKL', 'VEGFD', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'NCK2', 'SEMA4D', 'PLXNA1']
272	GO:BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	8.041026909389823e-12	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:mah]"	213	99	16	21110	0.1616161616161616	0.0751173708920187	query_1	['GO:0043410', 'GO:0070371', 'GO:0070372']	['RAPGEF1', 'VEGFB', 'PDGFB', 'SRC', 'ITGB3', 'SHC1', 'FLT4', 'PDGFRB', 'EGFR', 'KDR', 'VEGFA', 'PTK2B', 'CRKL', 'NRP1', 'PTPN11', 'PDGFRA']
273	GO:MF	GO:0140677	molecular function activator activity	8.239625955019089e-12	True	"""A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]"	1321	99	32	20195	0.3232323232323232	0.024224072672218	query_1	['GO:0098772']	['MET', 'RAPGEF1', 'VEGFB', 'PLXNB1', 'FN1', 'PDGFB', 'DOCK1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'VEGFC', 'HGF', 'SHC1', 'SOS1', 'FYN', 'SH3PXD2A', 'DOCK4', 'GRB2', 'EGFR', 'VAV1', 'SYK', 'VEGFA', 'DOCK3', 'VEGFD', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'ELMO1', 'SEMA4D', 'PGF']
274	GO:BP	GO:0051336	regulation of hydrolase activity	8.377340510259813e-12	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	969	99	28	21110	0.2828282828282828	0.0288957688338493	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'SRC', 'CRK', 'HGF', 'ITK', 'SOS1', 'FYN', 'LYN', 'PDGFRB', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'VEGFA', 'PTK2B', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PLXNA1']
275	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	8.631437470801209e-12	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	109	99	13	21110	0.1313131313131313	0.1192660550458715	query_1	['GO:0038127']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'PTK2', 'CBL', 'PTPN11', 'NCK2']
276	GO:BP	GO:0048666	neuron development	9.074160020960592e-12	True	"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]"	1144	99	30	21110	0.303030303030303	0.0262237762237762	query_1	['GO:0030182', 'GO:0048468']	['RAPGEF1', 'ITGB1', 'NCK1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'VCL', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'CRKL', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'NCK2', 'SEMA4D', 'PLXNA1']
277	GO:BP	GO:0010243	response to organonitrogen compound	9.867740342436025e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	1060	99	29	21110	0.2929292929292929	0.0273584905660377	query_1	['GO:0010033', 'GO:1901698']	['RAPGEF1', 'ITGB1', 'NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'SOS1', 'COL3A1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'COL1A2', 'EGFR', 'SYK', 'CDH1', 'PTK2B', 'COL1A1', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA', 'ITGA2']
278	GO:BP	GO:0043542	endothelial cell migration	1.078567614293436e-11	True	"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]"	217	99	16	21110	0.1616161616161616	0.0737327188940092	query_1	['GO:0010631']	['MET', 'ITGB1', 'PDGFB', 'BCAR1', 'ITGB3', 'VEGFC', 'FLT4', 'PXN', 'NRP2', 'KDR', 'PLCG1', 'VEGFA', 'PTK2B', 'PTK2', 'NRP1', 'THBS1']
279	GO:BP	GO:0010033	response to organic substance	1.3058228487063712e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2809	99	45	21110	0.4545454545454545	0.0160199359202563	query_1	['GO:0042221']	['P4HB', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PDGFB', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'COL3A1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'PDGFRB', 'COL1A2', 'NRP2', 'EGFR', 'SYK', 'CDH1', 'PTK2B', 'COL1A1', 'CRKL', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'ITGA2', 'PGF']
280	GO:BP	GO:0050921	positive regulation of chemotaxis	1.3058961034552007e-11	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	144	99	14	21110	0.1414141414141414	0.0972222222222222	query_1	['GO:0006935', 'GO:0032103', 'GO:0040017', 'GO:0050920']	['MET', 'VEGFB', 'PDGFB', 'VEGFC', 'PDGFRB', 'KDR', 'VEGFA', 'PTK2B', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA2', 'PGF']
281	GO:CC	GO:0031982	vesicle	1.3977350344309552e-11	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3998	99	51	22122	0.5151515151515151	0.0127563781890945	query_1	['GO:0043227']	['P4HB', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'PDGFRB', 'COL1A2', 'EGFR', 'KDR', 'VCL', 'SYK', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'SH3GL2', 'COL1A1', 'VTN', 'TLN1', 'VEGFD', 'VCAM1', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'NCK2', 'CALU', 'FLT1', 'PLXNA1']
282	GO:BP	GO:0010941	regulation of cell death	1.41906738436538e-11	True	"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	1648	99	35	21110	0.3535353535353535	0.0212378640776699	query_1	['GO:0008219', 'GO:0050794']	['P4HB', 'MET', 'ITGB1', 'NCK1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'PDGFRB', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'VEGFA', 'PTK2B', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'CBL', 'NCK2', 'SEMA4D']
283	GO:BP	GO:0006909	phagocytosis	1.5901505096017278e-11	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	315	99	18	21110	0.1818181818181818	0.0571428571428571	query_1	['GO:0006897']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'THBS1', 'ELMO1', 'ELMO2', 'ITGA2']
284	GO:BP	GO:0065008	regulation of biological quality	1.7920935900790945e-11	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2964	99	46	21110	0.4646464646464646	0.0155195681511471	query_1	['GO:0065007']	['P4HB', 'ITGB1', 'NCK1', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'PLCG2', 'CTNNB1', 'COL3A1', 'FYN', 'DOCK4', 'LYN', 'GRB2', 'COL1A2', 'NRP2', 'JAM3', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'VTN', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'ITGA2', 'PLXNA1']
285	REAC	REAC:R-HSA-445144	Signal transduction by L1	1.9614395655280262e-11	True	Signal transduction by L1	20	98	9	10790	0.0918367346938775	0.45	query_1	['REAC:R-HSA-373760']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'EGFR', 'L1CAM', 'NRP1']
286	GO:BP	GO:0030030	cell projection organization	2.3785902551224655e-11	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, http://www.cogsci.princeton.edu/~wn/]"	1573	99	34	21110	0.3434343434343434	0.0216147488874761	query_1	['GO:0016043']	['RAPGEF1', 'ITGB1', 'NCK1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'VCL', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'CRKL', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'NCK2', 'SEMA4D', 'ITGA2', 'PLXNA1']
287	WP	WP:WP2643	Nanoparticle-mediated activation of receptor signaling	2.4460679962063785e-11	True	Nanoparticle-mediated activation of receptor signaling	28	89	10	8133	0.1123595505617977	0.3571428571428571	query_1	['WP:000000']	['ITGB1', 'FN1', 'SRC', 'SOS1', 'PXN', 'GRB2', 'EGFR', 'COL1A1', 'TLN1', 'PTK2']
288	GO:BP	GO:0045321	leukocyte activation	2.4836120234520374e-11	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	1012	99	28	21110	0.2828282828282828	0.0276679841897233	query_1	['GO:0001775', 'GO:0002376']	['ITGB1', 'NCK1', 'FN1', 'SRC', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'LYN', 'SHB', 'LCP2', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VCAM1', 'ITGB6', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'NCK2']
289	GO:BP	GO:0007596	blood coagulation	2.515351549803963e-11	True	"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [http://www.graylab.ac.uk/omd/, ISBN:0198506732]"	229	99	16	21110	0.1616161616161616	0.0698689956331877	query_1	['GO:0007599', 'GO:0042060', 'GO:0050817']	['FN1', 'PDGFB', 'SRC', 'ITGB3', 'PLCG2', 'COL3A1', 'LYN', 'VCL', 'VAV1', 'SYK', 'VTN', 'TLN1', 'LCK', 'THBS1', 'PDGFRA', 'ITGA2']
290	GO:BP	GO:0050918	positive chemotaxis	2.6884852483070025e-11	True	"""The directed movement of a motile cell or organism towards a higher concentration of a chemical."" [GOC:ai, GOC:bf, GOC:isa_complete]"	66	99	11	21110	0.1111111111111111	0.1666666666666666	query_1	['GO:0006935']	['MET', 'VEGFB', 'PDGFB', 'VEGFC', 'HGF', 'KDR', 'VEGFA', 'VEGFD', 'NRP1', 'ITGA2', 'PGF']
291	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.968532978593435e-11	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	380	99	19	21110	0.1919191919191919	0.05	query_1	['GO:0002764', 'GO:0007166']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CRKL', 'PTK2', 'LCK']
292	GO:BP	GO:0040007	growth	3.109484008011359e-11	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]"	937	99	27	21110	0.2727272727272727	0.0288153681963714	query_1	['GO:0008150']	['ITGB1', 'FN1', 'BCAR1', 'SRC', 'SPP1', 'CRK', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA4', 'PDGFRB', 'TNC', 'NRP2', 'EGFR', 'VCL', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'CRKL', 'L1CAM', 'NRP1', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
293	GO:BP	GO:0032103	positive regulation of response to external stimulus	3.3649016000172366e-11	True	"""Any process that activates, maintains or increases the rate of a response to an external stimulus."" [GOC:mah]"	566	99	22	21110	0.2222222222222222	0.03886925795053	query_1	['GO:0009605', 'GO:0032101', 'GO:0048584']	['MET', 'VEGFB', 'PDGFB', 'SRC', 'VEGFC', 'PLCG2', 'FYN', 'LYN', 'PDGFRB', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'VEGFA', 'PTK2B', 'VTN', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA2', 'PGF']
294	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	3.407014243401574e-11	True	Regulation of signaling by CBL	21	98	9	10790	0.0918367346938775	0.4285714285714285	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3R1', 'CRK', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL']
295	GO:BP	GO:0043067	regulation of programmed cell death	3.4194405148631894e-11	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1491	99	33	21110	0.3333333333333333	0.0221327967806841	query_1	['GO:0010941', 'GO:0012501']	['P4HB', 'MET', 'ITGB1', 'NCK1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'ITGA5', 'ITGA4', 'LYN', 'PDGFRB', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'VEGFA', 'PTK2B', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'CBL', 'NCK2', 'SEMA4D']
296	GO:BP	GO:0050817	coagulation	3.5291085562627335e-11	True	"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]"	234	99	16	21110	0.1616161616161616	0.0683760683760683	query_1	['GO:0032501']	['FN1', 'PDGFB', 'SRC', 'ITGB3', 'PLCG2', 'COL3A1', 'LYN', 'VCL', 'VAV1', 'SYK', 'VTN', 'TLN1', 'LCK', 'THBS1', 'PDGFRA', 'ITGA2']
297	GO:BP	GO:0030097	hemopoiesis	3.721990943539652e-11	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	944	99	27	21110	0.2727272727272727	0.0286016949152542	query_1	['GO:0048468']	['ITGB1', 'DOCK1', 'SRC', 'PIK3R1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'ITGA4', 'SH3PXD2A', 'ZAP70', 'LYN', 'SHB', 'JAM3', 'KDR', 'VAV1', 'SYK', 'ERBB2', 'VEGFA', 'PTK2B', 'VCAM1', 'ITGB6', 'LCK', 'PTPN11', 'PDGFRA', 'FLT1']
298	GO:BP	GO:0007599	hemostasis	3.7728227937872086e-11	True	"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]"	235	99	16	21110	0.1616161616161616	0.0680851063829787	query_1	['GO:0050878']	['FN1', 'PDGFB', 'SRC', 'ITGB3', 'PLCG2', 'COL3A1', 'LYN', 'VCL', 'VAV1', 'SYK', 'VTN', 'TLN1', 'LCK', 'THBS1', 'PDGFRA', 'ITGA2']
299	GO:BP	GO:0007264	small GTPase mediated signal transduction	4.044681657362965e-11	True	"""The series of molecular signals in which a small monomeric GTPase relays a signal."" [GOC:mah]"	506	99	21	21110	0.2121212121212121	0.0415019762845849	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'DOCK1', 'SRC', 'CRK', 'SOS1', 'COL3A1', 'LAT', 'DOCK4', 'GRB2', 'PDGFRB', 'COL1A2', 'VAV1', 'CRKL', 'DOCK3', 'NRP1', 'ITGA3', 'ELMO1', 'CBL']
300	GO:BP	GO:0051094	positive regulation of developmental process	4.568893735392768e-11	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1310	99	31	21110	0.3131313131313131	0.0236641221374045	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'PDGFB', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'HGF', 'CTNNB1', 'ITGA5', 'ZAP70', 'LYN', 'SHB', 'KDR', 'SYK', 'PLCG1', 'VEGFA', 'PTK2B', 'COL1A1', 'ADAM12', 'VEGFD', 'L1CAM', 'PTK2', 'NRP1', 'THBS1', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
301	GO:MF	GO:0005515	protein binding	4.738913594885578e-11	True	"""Binding to a protein."" [GOC:go_curators]"	14881	99	99	20195	1.0	0.0066527787111081	query_1	['GO:0005488']	['P4HB', 'MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'P4HA3', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'P4HA2', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'COL3A1', 'ITGA2B', 'ITGA5', 'PXN', 'CAMKMT', 'FYN', 'ITGA4', 'LAT', 'SH3PXD2A', 'DOCK4', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'SHB', 'GRB2', 'PDGFRB', 'COL1A2', 'TNC', 'NRP2', 'LCP2', 'JAM3', 'EGFR', 'P4HA1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'SYK', 'COL10A1', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'COL1A1', 'ADAM12', 'CRKL', 'VTN', 'DOCK3', 'TLN1', 'VEGFD', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'ELMO1', 'CBL', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'CALU', 'ELMO2', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
