Dyskeratosis congenita	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
46	GO:BP	GO:0071479	cellular response to ionizing radiation	3.079949982186475e-23	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]"	75	111	19	15719	0.1711711711711711	0.2533333333333333	query_1	['GO:0010212', 'GO:0071478']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'ATR', 'XRCC5', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'BARD1', 'WRN', 'TP53']
19	GO:CC	GO:0042575	DNA polymerase complex	3.177525350664068e-23	True	"""A protein complex that possesses DNA polymerase activity and is involved in template directed synthesis of DNA."" [GOC:jl, PMID:12045093]"	20	112	13	16420	0.1160714285714285	0.65	query_1	['GO:0061695', 'GO:0140535']	['POLD3', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'CHRAC1', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
47	GO:BP	GO:0033044	regulation of chromosome organization	7.534983558316731e-23	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a chromosome."" [GOC:mah]"	253	111	27	15719	0.2432432432432432	0.1067193675889328	query_1	['GO:0033043', 'GO:0051276']	['NBN', 'STN1', 'RAD50', 'LIG4', 'FEN1', 'TEN1', 'DCP2', 'TINF2', 'ATR', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'NAF1', 'SMG6', 'CDK2', 'XRCC1', 'RTEL1', 'KAT5', 'RMI2', 'PNKP', 'PIF1', 'CTC1']
20	GO:CC	GO:0043601	nuclear replisome	7.89929542326582e-23	True	"""A multi-component enzymatic machine at the nuclear replication fork, which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:jl, GOC:mtg_sensu]"	21	112	13	16420	0.1160714285714285	0.6190476190476191	query_1	['GO:0030894', 'GO:0043596', 'GO:0140513']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
48	GO:BP	GO:0044770	cell cycle phase transition	1.5246617302725985e-22	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	550	111	35	15719	0.3153153153153153	0.0636363636363636	query_1	['GO:0022402']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'PAXIP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'TERT', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'NPM1', 'TP53', 'CTC1', 'POLE']
21	GO:CC	GO:0043596	nuclear replication fork	3.073351404859451e-22	True	"""The Y-shaped region of a nuclear replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:jl, GOC:mtg_sensu]"	39	112	15	16420	0.1339285714285714	0.3846153846153846	query_1	['GO:0000228', 'GO:0005657']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
49	GO:BP	GO:0009628	response to abiotic stimulus	4.1708914784434816e-22	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	111	45	15719	0.4054054054054054	0.0414364640883977	query_1	['GO:0050896']	['HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'OGG1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'TERT', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NPM1', 'TP53', 'PNKP', 'RNF8', 'MSH6']
50	GO:BP	GO:0010564	regulation of cell cycle process	4.967539796331339e-22	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	710	111	38	15719	0.3423423423423423	0.0535211267605633	query_1	['GO:0022402', 'GO:0051726']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'TERT', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'RMI2', 'NPM1', 'TP53', 'CTC1']
42	REAC	REAC:R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	7.843643387682319e-22	True	Nonhomologous End-Joining (NHEJ)	68	104	19	10022	0.1826923076923076	0.2794117647058823	query_1	['REAC:R-HSA-5693532']	['NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'LIG4', 'TDP1', 'H2AX', 'MDC1', 'XRCC4', 'XRCC5', 'NHEJ1', 'ATM', 'MRE11', 'BRCA1', 'PRKDC', 'KAT5', 'BARD1', 'RNF8']
51	GO:BP	GO:0044238	primary metabolic process	8.106678655942341e-22	True	"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]"	9445	111	110	15719	0.990990990990991	0.011646373742721	query_1	['GO:0008152']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'WDR45B', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'USB1', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
52	GO:BP	GO:0032205	negative regulation of telomere maintenance	8.19338322381718e-22	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	37	111	15	15719	0.1351351351351351	0.4054054054054054	query_1	['GO:0000723', 'GO:0032204', 'GO:0051053', 'GO:2001251']	['NBN', 'STN1', 'RAD50', 'TEN1', 'DCP2', 'TINF2', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'SMG6', 'XRCC1', 'RTEL1', 'PIF1', 'CTC1']
43	REAC	REAC:R-HSA-174414	Processive synthesis on the C-strand of the telomere	1.836437823429456e-21	True	Processive synthesis on the C-strand of the telomere	19	104	13	10022	0.125	0.6842105263157895	query_1	['REAC:R-HSA-174417']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'TINF2', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'POLD1', 'WRN', 'POLD2']
44	REAC	REAC:R-HSA-69620	Cell Cycle Checkpoints	2.2967486400194615e-21	True	Cell Cycle Checkpoints	289	104	30	10022	0.2884615384615384	0.1038062283737024	query_1	['REAC:R-HSA-1640170']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'RNF8']
53	GO:BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	2.812098896436078e-21	True	"""Any process that modulates the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	63	111	17	15719	0.1531531531531531	0.2698412698412698	query_1	['GO:0010833', 'GO:0032204']	['STN1', 'TEN1', 'DCP2', 'TINF2', 'ATR', 'DKC1', 'PARN', 'PARP1', 'XRCC5', 'ERCC4', 'ATM', 'NAF1', 'SMG6', 'RTEL1', 'PNKP', 'PIF1', 'CTC1']
54	GO:BP	GO:0002200	somatic diversification of immune receptors	3.211327011350937e-21	True	"""The somatic process allowing for the production of immune receptors whose specificity is not encoded in the germline genomic sequences."" [GOC:add, ISBN:0781735149, PMID:16102575, PMID:16166509]"	78	111	18	15719	0.1621621621621621	0.2307692307692307	query_1	['GO:0002376', 'GO:0002520']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
55	GO:BP	GO:0016233	telomere capping	3.2740512055929707e-21	True	"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]"	40	111	15	15719	0.1351351351351351	0.375	query_1	['GO:0000723']	['NBN', 'STN1', 'RAD50', 'TEN1', 'TINF2', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'SMG6', 'PRKDC', 'XRCC1', 'RTEL1', 'PNKP', 'CTC1']
45	REAC	REAC:R-HSA-5696400	Dual Incision in GG-NER	4.147290989685929e-21	True	Dual Incision in GG-NER	41	104	16	10022	0.1538461538461538	0.3902439024390244	query_1	['REAC:R-HSA-5696399']	['XPA', 'POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
56	GO:BP	GO:0006282	regulation of DNA repair	6.14991488352438e-21	True	"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	210	111	24	15719	0.2162162162162162	0.1142857142857142	query_1	['GO:0006281', 'GO:0051052', 'GO:0080135']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'PCNA', 'ATR', 'PARP1', 'ATRIP', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'BARD1', 'RMI2', 'WRAP53', 'PNKP', 'RNF8']
57	GO:BP	GO:0045005	DNA-templated DNA replication maintenance of fidelity	6.664723246651822e-21	True	"""A DNA metabolic process that prevents or corrects errors to ensure that DNA is replicated accurately. Errors can be corrected either by intrinsic DNA polymerase proofreading activity or via mismatch repair."" [GOC:mah, GOC:vw]"	53	111	16	15719	0.1441441441441441	0.3018867924528302	query_1	['GO:0006259', 'GO:0006261']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'POLE']
58	GO:BP	GO:0016445	somatic diversification of immunoglobulins	8.373548692081368e-21	True	"""The somatic process that results in the generation of sequence diversity of immunoglobulins."" [GOC:add, GOC:ma, ISBN:0781735149]"	67	111	17	15719	0.1531531531531531	0.2537313432835821	query_1	['GO:0002200', 'GO:0002377']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
59	GO:BP	GO:0045786	negative regulation of cell cycle	1.0061592236431718e-20	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	376	111	29	15719	0.2612612612612612	0.077127659574468	query_1	['GO:0007049', 'GO:0048523', 'GO:0051726']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'NPM1', 'TP53']
61	GO:BP	GO:0016444	somatic cell DNA recombination	2.3931491527857107e-20	True	"""Recombination occurring within or between DNA molecules in somatic cells."" [GOC:ma]"	71	111	17	15719	0.1531531531531531	0.2394366197183098	query_1	['GO:0006310']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
60	GO:BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	2.3931491527857107e-20	True	"""The process in which immune receptor genes are diversified through recombination of the germline genetic elements within a single genetic locus."" [GOC:add, ISBN:0781735149, PMID:16102575, PMID:16166509]"	71	111	17	15719	0.1531531531531531	0.2394366197183098	query_1	['GO:0002200', 'GO:0016444']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
62	GO:BP	GO:0000018	regulation of DNA recombination	3.031977425752991e-20	True	"""Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."" [GOC:go_curators, ISBN:0198506732]"	126	111	20	15719	0.1801801801801801	0.1587301587301587	query_1	['GO:0006310', 'GO:0051052']	['RBBP8', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'RPA2', 'MSH3', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'RTEL1', 'KAT5', 'RMI2', 'WRAP53', 'MSH6']
22	GO:CC	GO:1990391	DNA repair complex	3.717736082444156e-20	True	"""A protein complex involved in DNA repair processes including direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [GOC:bhm, PMID:17217467, PMID:20551348, PMID:22749910, PMID:24192350]"	22	112	12	16420	0.1071428571428571	0.5454545454545454	query_1	['GO:1902494']	['TP53BP1', 'FANCI', 'XRCC6', 'LIG4', 'BRCA2', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'ATM', 'BRCA1', 'PRKDC']
63	GO:BP	GO:0071214	cellular response to abiotic stimulus	5.3782240376378394e-20	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]"	327	111	27	15719	0.2432432432432432	0.0825688073394495	query_1	['GO:0009628', 'GO:0104004']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'NPM1', 'TP53']
64	GO:BP	GO:0104004	cellular response to environmental stimulus	5.3782240376378394e-20	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]"	327	111	27	15719	0.2432432432432432	0.0825688073394495	query_1	['GO:0051716']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'NPM1', 'TP53']
46	REAC	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	6.209108178997486e-20	True	Global Genome Nucleotide Excision Repair (GG-NER)	84	104	19	10022	0.1826923076923076	0.2261904761904762	query_1	['REAC:R-HSA-5696398']	['XPA', 'POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
47	REAC	REAC:R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	7.542069714932356e-20	True	Recognition of DNA damage by PCNA-containing replication complex	30	104	14	10022	0.1346153846153846	0.4666666666666667	query_1	['REAC:R-HSA-73893']	['USP1', 'POLD3', 'WDR48', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
65	GO:BP	GO:0016447	somatic recombination of immunoglobulin gene segments	7.643637649587309e-20	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, as known as immunoglobulin gene segments, within a single locus."" [GOC:add, ISBN:0781735149]"	61	111	16	15719	0.1441441441441441	0.2622950819672131	query_1	['GO:0002562', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
66	GO:BP	GO:0006266	DNA ligation	2.1547027943171182e-19	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [ISBN:0815316194]"	16	111	11	15719	0.0990990990990991	0.6875	query_1	['GO:0006259']	['LIG3', 'XRCC6', 'LIG4', 'APLF', 'LIG1', 'XRCC4', 'NHEJ1', 'APTX', 'RAD51', 'XRCC1', 'PNKP']
48	REAC	REAC:R-HSA-69190	DNA strand elongation	2.3550391161640984e-19	True	DNA strand elongation	32	104	14	10022	0.1346153846153846	0.4375	query_1	['REAC:R-HSA-69239']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
67	GO:BP	GO:0071704	organic substance metabolic process	3.0674927054422584e-19	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9998	111	110	15719	0.990990990990991	0.011002200440088	query_1	['GO:0008152']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'DHFR', 'LIG1', 'TEN1', 'WDR45B', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'USB1', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
49	REAC	REAC:R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	3.5140445216357893e-19	True	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	77	104	18	10022	0.173076923076923	0.2337662337662337	query_1	['REAC:R-HSA-5696398']	['XPA', 'POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
50	REAC	REAC:R-HSA-174411	Polymerase switching on the C-strand of the telomere	5.72333874702354e-19	True	Polymerase switching on the C-strand of the telomere	26	104	13	10022	0.125	0.5	query_1	['REAC:R-HSA-174417']	['STN1', 'POLD3', 'POLD4', 'TEN1', 'TINF2', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'CTC1', 'POLD2']
68	GO:BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis	7.626782508682752e-19	True	"""The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis."" [GOC:dph, GOC:tb]"	228	111	23	15719	0.2072072072072072	0.1008771929824561	query_1	['GO:0090304']	['RBBP8', 'RAD50', 'APLF', 'FEN1', 'TDP1', 'NHP2', 'DCP2', 'RAD1', 'PARN', 'PMS2', 'APTX', 'ERCC4', 'ATRIP', 'RAD9A', 'MRE11', 'SMG6', 'APEX1', 'EXO1', 'POLD1', 'WRN', 'USB1', 'PNKP', 'POLE']
69	GO:BP	GO:0006298	mismatch repair	9.954206869438657e-19	True	"""A system for the correction of errors in which an incorrect base, which cannot form hydrogen bonds with the corresponding base in the parent strand, is incorporated into the daughter strand. The mismatch repair system promotes genomic fidelity by repairing base-base mismatches, insertion-deletion loops and heterologies generated during DNA replication and recombination."" [ISBN:0198506732, PMID:11687886]"	33	111	13	15719	0.1171171171171171	0.3939393939393939	query_1	['GO:0006281']	['MSH2', 'POLD3', 'MLH1', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'ERCC1', 'RPA1', 'EXO1', 'MSH6']
70	GO:BP	GO:0031297	replication fork processing	2.3922952227038546e-18	True	"""The process in which a DNA replication fork that has stalled is restored to a functional state and replication is restarted. The stalling may be due to DNA damage, DNA secondary structure, bound proteins, dNTP shortage, or other causes."" [GOC:vw, PMID:11459955, PMID:15367656, PMID:17660542]"	46	111	14	15719	0.1261261261261261	0.3043478260869565	query_1	['GO:0045005']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'RTEL1', 'BARD1', 'WRN']
51	REAC	REAC:R-HSA-5685939	HDR through MMEJ (alt-NHEJ)	4.8772050825187345e-18	True	HDR through MMEJ (alt-NHEJ)	12	104	10	10022	0.0961538461538461	0.8333333333333334	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'NBN', 'RAD50', 'RAD52', 'LIG3', 'FEN1', 'BRCA2', 'PARP1', 'MRE11', 'XRCC1']
71	GO:BP	GO:0006287	base-excision repair, gap-filling	7.188432845420792e-18	True	"""Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template."" [ISBN:1550091131]"	14	111	10	15719	0.09009009009009	0.7142857142857143	query_1	['GO:0006259', 'GO:0006284']	['LIG3', 'FEN1', 'LIG1', 'PCNA', 'APEX1', 'POLD1', 'POLB', 'PNKP', 'NEIL1', 'POLE']
52	REAC	REAC:R-HSA-174437	Removal of the Flap Intermediate from the C-strand	8.141431840435116e-18	True	Removal of the Flap Intermediate from the C-strand	17	104	11	10022	0.1057692307692307	0.6470588235294118	query_1	['REAC:R-HSA-174414']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'TINF2', 'PCNA', 'RPA3', 'RPA1', 'POLD1', 'WRN', 'POLD2']
53	REAC	REAC:R-HSA-5696398	Nucleotide Excision Repair	1.0660056155630136e-17	True	Nucleotide Excision Repair	109	104	19	10022	0.1826923076923076	0.1743119266055046	query_1	['REAC:R-HSA-73894']	['XPA', 'POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
72	GO:BP	GO:0007093	mitotic cell cycle checkpoint signaling	1.1379685913106905e-17	True	"""A signaling process that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]"	144	111	19	15719	0.1711711711711711	0.1319444444444444	query_1	['GO:0000075', 'GO:0045930', 'GO:1903047']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
