Keppen-Lubinsky syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
99	GO:BP	GO:0098659	inorganic cation import across plasma membrane	1.886102180326932e-10	True	"""The directed movement of inorganic cations from outside of a cell, across the plasma membrane and into the cytosol."" [GOC:dos]"	111	100	12	17376	0.12	0.1081081081081081	query_1	['GO:0098662', 'GO:0099587']	['KCNJ16', 'KCNJ15', 'FYN', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12']
100	GO:BP	GO:0065007	biological regulation	1.9143382934668275e-10	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10859	100	93	17376	0.93	0.0085643245234367	query_1	['GO:0008150']	['TRO', 'KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'PTK7', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'TMEM161B', 'KCNJ5', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'PLCB3', 'GNG12', 'HTR1D', 'OCIAD1', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'MAGED2', 'GPR26', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
101	GO:BP	GO:0006813	potassium ion transport	2.056131900805973e-10	True	"""The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	219	100	15	17376	0.15	0.0684931506849315	query_1	['GO:0030001']	['KCNJ16', 'KCNJ15', 'MTNR1B', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
102	REAC	REAC:R-HSA-170670	Adenylate cyclase inhibitory pathway	3.987282877114536e-10	True	Adenylate cyclase inhibitory pathway	14	100	6	17376	0.06	0.4285714285714285	query_1	['REAC:R-HSA-112040', 'REAC:R-HSA-991365']	['GNAI2', 'GNAL', 'ADCY3', 'GNAI3', 'GNAT3', 'GNAI1']
103	REAC	REAC:R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	5.164104455056037e-10	True	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	7	100	5	17376	0.05	0.7142857142857143	query_1	['REAC:R-HSA-400451']	['GNA11', 'PLCB1', 'GNA15', 'PLCB3', 'GNAQ']
104	GO:BP	GO:0071805	potassium ion transmembrane transport	6.02889329529136e-10	True	"""A process in which a potassium ion is transported from one side of a membrane to the other."" [GOC:mah]"	195	100	14	17376	0.14	0.0717948717948717	query_1	['GO:0006813', 'GO:0098655', 'GO:0098662']	['KCNJ16', 'KCNJ15', 'MTNR1B', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'RGS7']
105	GO:BP	GO:0003013	circulatory system process	8.400627824371065e-10	True	"""A organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]"	570	100	21	17376	0.21	0.0368421052631578	query_1	['GO:0003008']	['GNB3', 'GNA11', 'TBXA2R', 'GNAI2', 'MTNR1B', 'FYN', 'ADRA2C', 'RHOA', 'TMEM161B', 'KCNJ5', 'HTR1B', 'GCGR', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNA13', 'KCNJ3', 'HTR1A', 'KCNJ12', 'GNA12', 'ADRA2A']
106	GO:BP	GO:0008277	regulation of G protein-coupled receptor signaling pathway	1.1345216119508148e-09	True	"""Any process that modulates the frequency, rate or extent of G protein-coupled receptor signaling pathway."" [GOC:go_curators]"	131	100	12	17376	0.12	0.0916030534351145	query_1	['GO:0007186', 'GO:0009966']	['PRKCA', 'GNAI2', 'PLCB1', 'KCTD16', 'PDCL', 'GNG7', 'RGS12', 'RGS20', 'HTR1B', 'GNG4', 'RGS7', 'RGS14']
107	GO:BP	GO:0008015	blood circulation	4.086016946951257e-09	True	"""The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products."" [GOC:mtg_heart, ISBN:0192800825]"	493	100	19	17376	0.19	0.0385395537525354	query_1	['GO:0003013']	['GNB3', 'GNA11', 'TBXA2R', 'MTNR1B', 'ADRA2C', 'RHOA', 'TMEM161B', 'KCNJ5', 'HTR1B', 'GCGR', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNA13', 'KCNJ3', 'HTR1A', 'KCNJ12', 'GNA12', 'ADRA2A']
108	REAC	REAC:R-HSA-1296053	Classical Kir channels	4.423752698726091e-09	True	Classical Kir channels	4	100	4	17376	0.04	1.0	query_1	['REAC:R-HSA-1296065']	['KCNJ4', 'KCNJ2', 'KCNJ14', 'KCNJ12']
109	REAC	REAC:R-HSA-400451	Free fatty acids regulate insulin secretion	5.93282325708381e-09	True	Free fatty acids regulate insulin secretion	10	100	5	17376	0.05	0.5	query_1	['REAC:R-HSA-422356']	['GNA11', 'PLCB1', 'GNA15', 'PLCB3', 'GNAQ']
110	GO:BP	GO:0034765	regulation of monoatomic ion transmembrane transport	5.9916370897523565e-09	True	"""Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."" [GOC:mah]"	444	100	18	17376	0.18	0.0405405405405405	query_1	['GO:0034220', 'GO:0034762', 'GO:0043269']	['KCNJ16', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
111	REAC	REAC:R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	6.586513081214381e-09	True	Class A/1 (Rhodopsin-like receptors)	297	100	14	17376	0.14	0.0471380471380471	query_1	['REAC:R-HSA-500792']	['TBXA2R', 'MTNR1B', 'MTNR1A', 'ADRA2C', 'P2RY12', 'HTR1B', 'PTGER3', 'HTR1D', 'PTGIR', 'S1PR1', 'GPR39', 'HTR1A', 'ADRA2A', 'S1PR2']
112	GO:CC	GO:0045202	synapse	6.71097686035581e-09	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1368	100	29	17376	0.29	0.0211988304093567	query_1	['GO:0030054']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'FYN', 'KCTD16', 'RHOA', 'KCNJ10', 'RGS12', 'KCNJ9', 'KCNJ4', 'HTR1B', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'RGS17', 'NRP1', 'GNG3', 'GNAQ', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
113	GO:BP	GO:0065008	regulation of biological quality	8.734419864303054e-09	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2764	100	43	17376	0.43	0.0155571635311143	query_1	['GO:0065007']	['GNB3', 'GNA11', 'TBXA2R', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'FYN', 'ADRA2C', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'TMEM161B', 'KCNJ5', 'GNAS', 'HTR1B', 'GCGR', 'PTGER3', 'PLCB3', 'HTR1D', 'BTK', 'PTGIR', 'KCNJ2', 'GNAT2', 'GNA13', 'S1PR1', 'KCNJ3', 'NRP1', 'GNG3', 'GNAZ', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNA12', 'ADRA2A', 'PLXNA1', 'S1PR2', 'RGS14']
114	GO:CC	GO:0043005	neuron projection	9.95445196848972e-09	True	"""A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]"	1302	100	28	17376	0.28	0.021505376344086	query_1	['GO:0120025']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'FYN', 'RHOA', 'RGS12', 'HTR1B', 'HTR1D', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
115	GO:BP	GO:1901701	cellular response to oxygen-containing compound	1.1251778178441552e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1221	100	28	17376	0.28	0.0229320229320229	query_1	['GO:0070887', 'GO:1901700']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'PTK7', 'FYN', 'RHOA', 'KCNJ10', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'BTK', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'ADRA2A']
116	REAC	REAC:R-HSA-373755	Semaphorin interactions	1.2600675304692345e-08	True	Semaphorin interactions	64	100	8	17376	0.08	0.125	query_1	['REAC:R-HSA-422475']	['PLXNB1', 'PLXNA2', 'FYN', 'RHOA', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
117	REAC	REAC:0000000	REACTOME root term	4.068699820798856e-08	True	REACTOME root term	9962	100	84	17376	0.84	0.0084320417586829	query_1	[]	['KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'ICAM3', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'ICAM2', 'FYN', 'MTNR1A', 'ADRA2C', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNAS', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'PTGER3', 'KCNJ6', 'PLCB3', 'GNG12', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'MAGED2', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
118	REAC	REAC:R-HSA-112043	PLC beta mediated events	4.0893391481028465e-08	True	PLC beta mediated events	48	100	7	17376	0.07	0.1458333333333333	query_1	['REAC:R-HSA-112040']	['GNA11', 'PRKCA', 'PLCB1', 'GNA15', 'PLCB3', 'ADCY3', 'GNAQ']
119	REAC	REAC:R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	4.311020754598936e-08	True	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	14	100	5	17376	0.05	0.3571428571428571	query_1	['REAC:R-HSA-373755']	['PLXNA2', 'FYN', 'NRP1', 'FARP2', 'PLXNA1']
120	GO:CC	GO:0042995	cell projection	4.4506497933787635e-08	True	"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]"	2233	100	36	17376	0.36	0.0161218092252575	query_1	['GO:0110165']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'ICAM2', 'FYN', 'KCTD16', 'PDZK1', 'PDCL', 'RHOA', 'KCNJ10', 'P2RY12', 'RGS12', 'HTR1B', 'HTR1D', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNA13', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
121	GO:CC	GO:0120025	plasma membrane bounded cell projection	4.4506497933787635e-08	True	"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]"	2125	100	35	17376	0.35	0.0164705882352941	query_1	['GO:0042995']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'ICAM2', 'FYN', 'PDZK1', 'PDCL', 'RHOA', 'KCNJ10', 'P2RY12', 'RGS12', 'HTR1B', 'HTR1D', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNA13', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
122	GO:BP	GO:0098739	import across plasma membrane	4.717495468625698e-08	True	"""The directed movement of some substance from outside of a cell, across the plasma membrane and into the cytosol."" [GOC:dos]"	183	100	12	17376	0.12	0.0655737704918032	query_1	['GO:0055085']	['KCNJ16', 'KCNJ15', 'FYN', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12']
123	GO:BP	GO:0051049	regulation of transport	4.717495468625698e-08	True	"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1690	100	32	17376	0.32	0.0189349112426035	query_1	['GO:0006810', 'GO:0032879']	['KCNJ16', 'GNA11', 'GNAI2', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'HTR1B', 'PTGER3', 'KCNJ6', 'BTK', 'KCNJ2', 'KCNJ3', 'NRP1', 'GNAZ', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7']
124	GO:BP	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	8.504613376337555e-08	True	"""A G protein-coupled receptor signaling pathway initiated by a ligand binding to an acetylcholine receptor on the surface of a target cell, and ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, ISBN:0815316194]"	20	100	6	17376	0.06	0.3	query_1	['GO:0007186', 'GO:0095500']	['GNA11', 'GNAI2', 'PLCB1', 'GNA15', 'GNB1', 'GNAQ']
125	GO:BP	GO:0006811	monoatomic ion transport	1.0385219040944097e-07	True	"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]"	1169	100	26	17376	0.26	0.0222412318220701	query_1	['GO:0006810']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'HTR1B', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7']
126	GO:BP	GO:0030001	metal ion transport	1.0700427894423908e-07	True	"""The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	833	100	22	17376	0.22	0.0264105642256902	query_1	['GO:0006812']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'CNNM4', 'RHOA', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
127	GO:BP	GO:0071407	cellular response to organic cyclic compound	1.6958689400043745e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:mah]"	555	100	18	17376	0.18	0.0324324324324324	query_1	['GO:0014070', 'GO:0071310']	['GNA11', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'RHOA', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'HTR1D', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'HTR1A']
128	GO:BP	GO:0071417	cellular response to organonitrogen compound	1.7633085964294452e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	628	100	19	17376	0.19	0.0302547770700636	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'FYN', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'GNB1', 'GNAI3', 'GNAZ', 'GNAQ', 'HTR1A']
129	REAC	REAC:R-HSA-382551	Transport of small molecules	1.954093204261361e-07	True	Transport of small molecules	675	100	18	17376	0.18	0.0266666666666666	query_1	['REAC:0000000']	['GNB3', 'GNG5', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNG12', 'ADCY3', 'GNB1', 'GNG3', 'GNG4', 'GNGT1']
130	GO:BP	GO:0034762	regulation of transmembrane transport	1.9619123792555806e-07	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."" [GOC:mah]"	562	100	18	17376	0.18	0.0320284697508896	query_1	['GO:0050794', 'GO:0051049', 'GO:0055085']	['KCNJ16', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
131	GO:CC	GO:1902494	catalytic complex	2.1623378921284514e-07	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1713	100	30	17376	0.3	0.0175131348511383	query_1	['GO:0032991']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
132	GO:BP	GO:1901700	response to oxygen-containing compound	2.2022384329695886e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	100	31	17376	0.31	0.0181605155243116	query_1	['GO:0042221']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GABBR1', 'GNG2', 'PTK7', 'FYN', 'RHOA', 'KCNJ10', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'ADRA2A', 'RGS7']
133	GO:BP	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	2.343602770064073e-07	True	"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of phospholipase C (PLC) and a subsequent increase in the intracellular concentration of inositol trisphosphate (IP3) and diacylglycerol (DAG)."" [GOC:dph, GOC:mah, GOC:signaling, GOC:tb, ISBN:0815316194]"	95	100	9	17376	0.09	0.0947368421052631	query_1	['GO:0007186']	['GNA11', 'GNG13', 'PLCB1', 'GNA15', 'P2RY12', 'PTGER3', 'GNB1', 'S1PR1', 'ADRA2A']
134	REAC	REAC:R-HSA-1643685	Disease	2.755563535919673e-07	True	Disease	1725	100	29	17376	0.29	0.0168115942028985	query_1	['REAC:0000000']	['GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'GNG7', 'GNAS', 'GNB2', 'GNG12', 'BTK', 'PTGIR', 'ADCY3', 'GNB1', 'GNAI3', 'S1PR1', 'GNAT3', 'NRP1', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'GNG4', 'GNGT1']
135	GO:BP	GO:0006812	monoatomic cation transport	3.4178248788996614e-07	True	"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]"	979	100	23	17376	0.23	0.0234933605720122	query_1	['GO:0006811']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
136	GO:CC	GO:0030054	cell junction	3.492064732851472e-07	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2081	100	33	17376	0.33	0.015857760691975	query_1	['GO:0110165']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'PTK7', 'FYN', 'KCTD16', 'RHOA', 'KCNJ10', 'RGS12', 'KCNJ9', 'KCNJ4', 'GNB2', 'HTR1B', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNB1', 'GABBR2', 'GNA13', 'KCNJ3', 'RGS17', 'NRP1', 'GNG3', 'GNAQ', 'HTR1A', 'GNA12', 'ADRA2A', 'S1PR2', 'RGS14']
137	GO:BP	GO:1901699	cellular response to nitrogen compound	4.076583927430851e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	666	100	19	17376	0.19	0.0285285285285285	query_1	['GO:0070887', 'GO:1901698']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'FYN', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'GNB1', 'GNAI3', 'GNAZ', 'GNAQ', 'HTR1A']
138	GO:BP	GO:0098657	import into cell	5.25667569919673e-07	True	"""The directed movement of some substance from outside of a cell into a cell. This may occur via transport across the plasma membrane or via endocytosis."" [GOC:dos]"	232	100	12	17376	0.12	0.0517241379310344	query_1	['GO:0006810']	['KCNJ16', 'KCNJ15', 'FYN', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12']
139	GO:CC	GO:0098590	plasma membrane region	7.126971690801889e-07	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1203	100	24	17376	0.24	0.0199501246882793	query_1	['GO:0005886', 'GO:0016020']	['KCNJ16', 'CNNM2', 'GABBR1', 'ICAM2', 'KCTD16', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'GNAS', 'HTR1B', 'ADCY3', 'KCNJ2', 'GNAT2', 'GABBR2', 'GNA13', 'GNAT3', 'KCNJ3', 'NRP1', 'GNA12', 'ADRA2A']
140	GO:BP	GO:0032879	regulation of localization	7.272998317278789e-07	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2020	100	33	17376	0.33	0.0163366336633663	query_1	['GO:0050789', 'GO:0051179']	['KCNJ16', 'GNA11', 'GNAI2', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'HTR1B', 'PTGER3', 'KCNJ6', 'BTK', 'KCNJ2', 'KCNJ3', 'NRP1', 'GNAI1', 'GNAZ', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7']
141	GO:BP	GO:0095500	acetylcholine receptor signaling pathway	9.261662950188756e-07	True	"""The series of molecular signals generated as a consequence of an acetylcholine receptor binding to one of its physiological ligands."" [GOC:mah]"	30	100	6	17376	0.06	0.2	query_1	['GO:0098926', 'GO:1905145']	['GNA11', 'GNAI2', 'PLCB1', 'GNA15', 'GNB1', 'GNAQ']
