Vascular Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
405	GO:BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	2.533271049663763e-06	True	"""Any process that increases the rate, frequency, or extent of protein serine/threonine kinase activity."" [GOC:mah]"	187	99	10	15719	0.101010101010101	0.053475935828877	query_1	['GO:0045860', 'GO:0071900']	['PDGFB', 'SRC', 'PDGFRB', 'EGFR', 'SYK', 'ERBB2', 'VEGFA', 'PTK2B', 'THBS1', 'FLT1']
92	REAC	REAC:R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	2.6083499318520457e-06	True	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	17	98	5	10022	0.0510204081632653	0.2941176470588235	query_1	['REAC:R-HSA-9669938']	['PIK3R1', 'SOS1', 'FYN', 'LYN', 'LCK']
94	REAC	REAC:R-HSA-5663205	Infectious disease	2.6083499318520457e-06	True	Infectious disease	983	98	27	10022	0.2755102040816326	0.0274669379450661	query_1	['REAC:R-HSA-1643685']	['MET', 'ITGB1', 'NCK1', 'DOCK1', 'SRC', 'CRK', 'PLCG2', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SH3KBP1', 'CDH1', 'SH3GL2', 'PTK2', 'NRP1', 'LCK', 'ELMO1', 'CBL', 'PTPN11', 'ELMO2']
95	REAC	REAC:R-HSA-9669938	Signaling by KIT in disease	2.6083499318520457e-06	True	Signaling by KIT in disease	17	98	5	10022	0.0510204081632653	0.2941176470588235	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SOS1', 'FYN', 'LYN', 'LCK']
93	REAC	REAC:R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	2.6083499318520457e-06	True	Signaling by ERBB2 TMD/JMD mutants	17	98	5	10022	0.0510204081632653	0.2941176470588235	query_1	['REAC:R-HSA-1227990']	['SHC1', 'SOS1', 'EGFR', 'PLCG1', 'ERBB2']
406	GO:BP	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	2.7436863863887628e-06	True	"""The modification of peptidyl-proline to form 4-hydroxy-L-proline; catalyzed by procollagen-proline,2-oxoglutarate-4-dioxygenase."" [RESID:AA0030]"	10	99	4	15719	0.0404040404040404	0.4	query_1	['GO:0019511']	['P4HB', 'P4HA3', 'P4HA2', 'P4HA1']
407	GO:BP	GO:0070527	platelet aggregation	2.7499025569685674e-06	True	"""The adhesion of one platelet to one or more other platelets via adhesion molecules."" [GOC:BHF, GOC:vk]"	71	99	7	15719	0.0707070707070707	0.0985915492957746	query_1	['GO:0030168', 'GO:0034109']	['FN1', 'ITGB3', 'LYN', 'VCL', 'SYK', 'TLN1', 'PDGFRA']
40	GO:CC	GO:0030027	lamellipodium	2.752457148608156e-06	True	"""A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments."" [ISBN:0815316194]"	197	99	10	16420	0.101010101010101	0.0507614213197969	query_1	['GO:0031252', 'GO:0120025']	['P4HB', 'ITGB1', 'ITGAV', 'BCAR1', 'ITGB3', 'CTNNB1', 'PXN', 'PLCG1', 'CDH1', 'PTK2B']
409	GO:BP	GO:0031295	T cell costimulation	2.8099275374249287e-06	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the T cell receptor to augment T cell activation."" [ISBN:0781735149]"	44	99	6	15719	0.0606060606060606	0.1363636363636363	query_1	['GO:0031294', 'GO:0050870']	['SRC', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11']
408	GO:BP	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	2.8099275374249287e-06	True	"""Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	44	99	6	15719	0.0606060606060606	0.1363636363636363	query_1	['GO:0010811', 'GO:0034446', 'GO:1900024']	['P4HB', 'DOCK1', 'ITGB3', 'CRK', 'CRKL', 'NRP1']
410	GO:BP	GO:0030038	contractile actin filament bundle assembly	2.814766485637092e-06	True	"""Assembly of actin filament bundles in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle."" [GOC:mah, ISBN:0815316194]"	105	99	8	15719	0.0808080808080808	0.0761904761904762	query_1	['GO:0051017']	['MET', 'ITGB5', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'PTK2B', 'NRP1']
411	GO:BP	GO:0043149	stress fiber assembly	2.814766485637092e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity."" [GOC:go_curators, GOC:mah, PMID:16651381]"	105	99	8	15719	0.0808080808080808	0.0761904761904762	query_1	['GO:0030038', 'GO:0031032']	['MET', 'ITGB5', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'PTK2B', 'NRP1']
412	GO:BP	GO:0044089	positive regulation of cellular component biogenesis	2.8284936700802447e-06	True	"""Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	481	99	15	15719	0.1515151515151515	0.0311850311850311	query_1	['GO:0044085', 'GO:0044087', 'GO:0048522']	['MET', 'NCK1', 'SRC', 'TGFB3', 'PIK3R1', 'PLCG2', 'PXN', 'GRB2', 'KDR', 'SYK', 'VEGFA', 'PTK2B', 'NRP1', 'NCK2', 'SEMA4D']
413	GO:BP	GO:0007179	transforming growth factor beta receptor signaling pathway	2.8793427615045167e-06	True	"""The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]"	190	99	10	15719	0.101010101010101	0.0526315789473684	query_1	['GO:0007178', 'GO:0071560']	['ITGB5', 'SRC', 'TGFB3', 'COL3A1', 'PXN', 'COL1A2', 'PTK2', 'ITGB6', 'THBS1', 'ITGA3']
414	GO:BP	GO:0010976	positive regulation of neuron projection development	3.045882624138525e-06	True	"""Any process that increases the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	146	99	9	15719	0.0909090909090909	0.0616438356164383	query_1	['GO:0010975', 'GO:0031175', 'GO:0031346']	['RAPGEF1', 'NCK1', 'HGF', 'FYN', 'LYN', 'VEGFA', 'PTK2B', 'NRP1', 'ITGA3']
415	GO:BP	GO:0051093	negative regulation of developmental process	3.121499114087024e-06	True	"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	864	99	20	15719	0.202020202020202	0.0231481481481481	query_1	['GO:0032502', 'GO:0048519', 'GO:0050793']	['ITGB1', 'ITGAV', 'PDGFB', 'SPP1', 'ITGB3', 'PIK3R1', 'VEGFC', 'SHC1', 'CTNNB1', 'LYN', 'SHB', 'EGFR', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'NRP1', 'THBS1', 'PTPN11', 'SEMA4D']
416	GO:BP	GO:0034332	adherens junction organization	3.171658639626787e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an adherens junction. An adherens junction is a cell-cell junction composed of the epithelial cadherin-catenin complex at which the cytoplasmic face of the plasma membrane is attached to actin filaments."" [GOC:aruk, GOC:bc, GOC:dph, GOC:jl, GOC:mah]"	45	99	6	15719	0.0606060606060606	0.1333333333333333	query_1	['GO:0045216']	['SRC', 'CTNNB1', 'JAM3', 'VCL', 'CDH1', 'VEGFA']
417	GO:BP	GO:0010720	positive regulation of cell development	3.237623861064385e-06	True	"""Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:BHF, GOC:dph, GOC:tb]"	420	99	14	15719	0.1414141414141414	0.0333333333333333	query_1	['GO:0045597', 'GO:0048468', 'GO:0060284']	['ITGB1', 'PLXNB1', 'FN1', 'VEGFC', 'CTNNB1', 'ZAP70', 'LYN', 'SHB', 'SYK', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
96	REAC	REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	3.286555035200535e-06	True	Fc epsilon receptor (FCERI) signaling	132	98	10	10022	0.1020408163265306	0.0757575757575757	query_1	['REAC:R-HSA-168249']	['PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
97	REAC	REAC:R-HSA-9658195	Leishmania infection	3.325022370213494e-06	True	Leishmania infection	242	98	13	10022	0.1326530612244898	0.0537190082644628	query_1	['REAC:R-HSA-5663205']	['NCK1', 'DOCK1', 'CRK', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
418	GO:BP	GO:0043087	regulation of GTPase activity	3.331948457104534e-06	True	"""Any process that modulates the rate of GTP hydrolysis by a GTPase."" [GOC:jl, GOC:mah]"	358	99	13	15719	0.1313131313131313	0.0363128491620111	query_1	['GO:0051336']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'CRK', 'SOS1', 'VAV1', 'ERBB2', 'PTK2B', 'CRKL', 'PTK2', 'SEMA4D', 'PLXNA1']
419	GO:BP	GO:0043491	protein kinase B signaling	3.4413591949137302e-06	True	"""A series of reactions, mediated by the intracellular serine/threonine kinase protein kinase B (also called AKT), which occurs as a result of a single trigger reaction or compound."" [GOC:bf, PMID:20517722]"	194	99	10	15719	0.101010101010101	0.0515463917525773	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'SRC', 'EGFR', 'KDR', 'VEGFA', 'PTK2', 'THBS1']
41	GO:CC	GO:0002116	semaphorin receptor complex	3.51784718519397e-06	True	"""A stable binary complex of a neurophilin and a plexin, together forming a functional semaphorin receptor."" [GOC:hjd, PMID:10934324, PMID:12367632, PMID:12613544]"	11	99	4	16420	0.0404040404040404	0.3636363636363636	query_1	['GO:0043235']	['PLXNB1', 'NRP2', 'NRP1', 'PLXNA1']
420	GO:BP	GO:0031294	lymphocyte costimulation	3.5859449304161435e-06	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the B- or T cell receptor to augment B- or T cell activation."" [ISBN:0781735149]"	46	99	6	15719	0.0606060606060606	0.1304347826086956	query_1	['GO:0002376', 'GO:0051251']	['SRC', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11']
421	GO:BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	3.5859449304161435e-06	True	"""The attachment of a leukocyte to vascular endothelial cell via adhesion molecules."" [GOC:add, GOC:bc, GOC:BHF, GOC:BHF_miRNA, PMID:23897866]"	46	99	6	15719	0.0606060606060606	0.1304347826086956	query_1	['GO:0007159']	['ITGB1', 'ITGA4', 'MADCAM1', 'VCAM1', 'ITGB7', 'JAM2']
422	GO:BP	GO:0050767	regulation of neurogenesis	3.744792330342624e-06	True	"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]"	362	99	13	15719	0.1313131313131313	0.0359116022099447	query_1	['GO:0022008', 'GO:0051960', 'GO:0060284']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'VEGFC', 'CTNNB1', 'LYN', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
423	GO:BP	GO:2000573	positive regulation of DNA biosynthetic process	3.869120121474749e-06	True	"""Any process that activates or increases the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	75	99	7	15719	0.0707070707070707	0.0933333333333333	query_1	['GO:0010557', 'GO:0031328', 'GO:0051054', 'GO:0071897', 'GO:2000278']	['PDGFB', 'SRC', 'HGF', 'CTNNB1', 'PDGFRB', 'VEGFA', 'PTK2B']
424	GO:BP	GO:0048519	negative regulation of biological process	3.887911612832506e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5055	99	56	15719	0.5656565656565656	0.011078140454995	query_1	['GO:0008150', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'COL3A1', 'ITGA5', 'FYN', 'DOCK4', 'LYN', 'SHB', 'PDGFRB', 'JAM3', 'EGFR', 'KDR', 'VCL', 'SYK', 'PLCG1', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2B', 'SH3GL2', 'COL1A1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11', 'NCK2', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
98	REAC	REAC:R-HSA-9006925	Intracellular signaling by second messengers	3.927131022165231e-06	True	Intracellular signaling by second messengers	288	98	14	10022	0.1428571428571428	0.0486111111111111	query_1	['REAC:R-HSA-162582']	['MET', 'PDGFB', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'PDGFRB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
425	GO:BP	GO:0051897	positive regulation of protein kinase B signaling	4.179549925712402e-06	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	111	99	8	15719	0.0808080808080808	0.072072072072072	query_1	['GO:0043491', 'GO:0051896', 'GO:1902533']	['MET', 'ITGB1', 'VEGFB', 'SRC', 'EGFR', 'VEGFA', 'PTK2', 'THBS1']
99	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	4.505633690946541e-06	True	PIP3 activates AKT signaling	249	98	13	10022	0.1326530612244898	0.0522088353413654	query_1	['REAC:R-HSA-9006925']	['MET', 'PDGFB', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'PDGFRB', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
100	REAC	REAC:R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	4.541308669507754e-06	True	Role of LAT2/NTAL/LAB on calcium mobilization	19	98	5	10022	0.0510204081632653	0.2631578947368421	query_1	['REAC:R-HSA-2454202']	['PIK3R1', 'SOS1', 'FYN', 'LYN', 'SYK']
42	GO:CC	GO:0098590	plasma membrane region	4.745197896506146e-06	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1203	99	23	16420	0.2323232323232323	0.0191188694929343	query_1	['GO:0005886', 'GO:0016020']	['MET', 'ITGB1', 'ITGA9', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'ITGB3', 'PLCG2', 'CTNNB1', 'ITGA5', 'PDGFRB', 'NRP2', 'LCP2', 'EGFR', 'PLCG1', 'ERBB2', 'CDH1', 'CRKL', 'TLN1', 'NRP1', 'ITGA3', 'CBL']
43	GO:CC	GO:0009898	cytoplasmic side of plasma membrane	5.1174236569000205e-06	True	"""The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]"	163	99	9	16420	0.0909090909090909	0.0552147239263803	query_1	['GO:0005886', 'GO:0098562']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'CDH1', 'PTK2B', 'PTK2', 'LCK']
101	REAC	REAC:R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	5.167104922806539e-06	True	Signaling by high-kinase activity BRAF mutants	35	98	6	10022	0.0612244897959183	0.1714285714285714	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
426	GO:BP	GO:0050770	regulation of axonogenesis	5.175370536331244e-06	True	"""Any process that modulates the frequency, rate or extent of axonogenesis, the generation of an axon, the long process of a neuron."" [GOC:ai]"	156	99	9	15719	0.0909090909090909	0.0576923076923076	query_1	['GO:0007409', 'GO:0010975', 'GO:0022603']	['PLXNB1', 'FN1', 'SPP1', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
427	GO:BP	GO:1903034	regulation of response to wounding	5.175370536331244e-06	True	"""Any process that modulates the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	156	99	9	15719	0.0909090909090909	0.0576923076923076	query_1	['GO:0009611', 'GO:0080134']	['ITGB1', 'VEGFB', 'PDGFB', 'SPP1', 'CRK', 'VTN', 'PTK2', 'THBS1', 'PDGFRA']
45	GO:CC	GO:0098858	actin-based cell projection	5.257574576904171e-06	True	"""A cell projection supported by an assembly of actin filaments, and which lacks microtubules."" [PMID:15661519]"	214	99	10	16420	0.101010101010101	0.0467289719626168	query_1	['GO:0120025']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'CTNNB1', 'DOCK4', 'JAM3', 'VCAM1', 'ITGA3', 'PDGFRA']
44	GO:CC	GO:0031253	cell projection membrane	5.257574576904171e-06	True	"""The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."" [GOC:krc, GOC:mah]"	328	99	12	16420	0.1212121212121212	0.0365853658536585	query_1	['GO:0098590', 'GO:0120025']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'CTNNB1', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1', 'ITGA3']
428	GO:BP	GO:0007010	cytoskeleton organization	5.322259589905866e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]"	1444	99	26	15719	0.2626262626262626	0.0180055401662049	query_1	['GO:0006996']	['MET', 'ITGB1', 'NCK1', 'ITGB5', 'PLXNB1', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'PXN', 'GRB2', 'PDGFRB', 'JAM3', 'SH3KBP1', 'PTK2B', 'TLN1', 'PTK2', 'NRP1', 'ELMO1', 'NCK2', 'PDGFRA', 'ELMO2']
430	GO:BP	GO:0050772	positive regulation of axonogenesis	5.446070179410439e-06	True	"""Any process that activates or increases the frequency, rate or extent of axonogenesis."" [GOC:ai]"	79	99	7	15719	0.0707070707070707	0.0886075949367088	query_1	['GO:0007409', 'GO:0031346', 'GO:0050769', 'GO:0050770']	['PLXNB1', 'FN1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
429	GO:BP	GO:0071229	cellular response to acid chemical	5.446070179410439e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of the dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."" [GOC:go_curators, GOC:mah, Wikipedia:Acid]"	79	99	7	15719	0.0707070707070707	0.0886075949367088	query_1	['GO:0001101', 'GO:0070887']	['COL3A1', 'FYN', 'COL1A2', 'EGFR', 'VEGFA', 'COL1A1', 'PDGFRA']
431	GO:BP	GO:0045597	positive regulation of cell differentiation	5.472111455563087e-06	True	"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]"	814	99	19	15719	0.1919191919191919	0.0233415233415233	query_1	['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']	['ITGB1', 'PLXNB1', 'FN1', 'TGFB3', 'VEGFC', 'HGF', 'CTNNB1', 'ZAP70', 'LYN', 'SHB', 'KDR', 'SYK', 'VEGFA', 'COL1A1', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'PLXNA1']
102	REAC	REAC:R-HSA-8875656	MET receptor recycling	5.520913442150968e-06	True	MET receptor recycling	9	98	4	10022	0.0408163265306122	0.4444444444444444	query_1	['REAC:R-HSA-6806834']	['MET', 'CRK', 'HGF', 'CRKL']
432	GO:BP	GO:0035767	endothelial cell chemotaxis	5.528293602424399e-06	True	"""The directed movement of an endothelial cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [CL:0000115, GOC:BHF]"	27	99	5	15719	0.0505050505050505	0.1851851851851851	query_1	['GO:0043542', 'GO:0060326']	['MET', 'KDR', 'VEGFA', 'NRP1', 'THBS1']
433	GO:BP	GO:0006952	defense response	5.703538001862993e-06	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1650	99	28	15719	0.2828282828282828	0.0169696969696969	query_1	['GO:0006950']	['ITGB1', 'FN1', 'SRC', 'SPP1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'LAT', 'ZAP70', 'LYN', 'TNC', 'JAM3', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'THBS1', 'ADAM15', 'PTPN11', 'ITGA2']
434	GO:BP	GO:0060541	respiratory system development	5.770812923243256e-06	True	"""The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange."" [GOC:dph]"	206	99	10	15719	0.101010101010101	0.0485436893203883	query_1	['GO:0048731']	['TGFB3', 'FLT4', 'CTNNB1', 'COL3A1', 'PDGFRB', 'KDR', 'VEGFA', 'ITGB6', 'ITGA3', 'PDGFRA']
104	REAC	REAC:R-HSA-1474290	Collagen formation	5.81350123127654e-06	True	Collagen formation	81	98	8	10022	0.0816326530612244	0.0987654320987654	query_1	['REAC:R-HSA-1474244']	['P4HB', 'P4HA3', 'P4HA2', 'COL3A1', 'COL1A2', 'P4HA1', 'COL10A1', 'COL1A1']
103	REAC	REAC:R-HSA-6807004	Negative regulation of MET activity	5.81350123127654e-06	True	Negative regulation of MET activity	20	98	5	10022	0.0510204081632653	0.25	query_1	['REAC:R-HSA-6806834']	['MET', 'HGF', 'SH3KBP1', 'SH3GL2', 'CBL']
435	GO:BP	GO:0051962	positive regulation of nervous system development	6.548245658311207e-06	True	"""Any process that activates, maintains or increases the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]"	262	99	11	15719	0.1111111111111111	0.0419847328244274	query_1	['GO:0007399', 'GO:0051094', 'GO:0051240', 'GO:0051960']	['ITGB1', 'PLXNB1', 'FN1', 'VEGFC', 'CTNNB1', 'LYN', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
436	GO:BP	GO:0061440	kidney vasculature development	6.60508877761635e-06	True	"""The process whose specific outcome is the progression of the vasculature of the kidney over time, from its formation to the mature structure."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	28	99	5	15719	0.0505050505050505	0.1785714285714285	query_1	['GO:0001822', 'GO:0061437']	['PDGFB', 'ITGB3', 'PDGFRB', 'NRP1', 'PDGFRA']
438	GO:BP	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	6.60508877761635e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an inflammatory response to an antigenic stimulus."" [GOC:add]"	28	99	5	15719	0.0505050505050505	0.1785714285714285	query_1	['GO:0002437', 'GO:0002861', 'GO:0050728', 'GO:0050777']	['SRC', 'FYN', 'LYN', 'SYK', 'PLCG1']
437	GO:BP	GO:0061437	renal system vasculature development	6.60508877761635e-06	True	"""The process whose specific outcome is the progression of vasculature of the renal system over time, from its formation to the mature structure."" [GOC:dph, GOC:mtg_kidney_jan10, PMID:11891195]"	28	99	5	15719	0.0505050505050505	0.1785714285714285	query_1	['GO:0001944', 'GO:0072001']	['PDGFB', 'ITGB3', 'PDGFRB', 'NRP1', 'PDGFRA']
439	GO:BP	GO:0030307	positive regulation of cell growth	6.915491233388006e-06	True	"""Any process that activates or increases the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"	162	99	9	15719	0.0909090909090909	0.0555555555555555	query_1	['GO:0001558', 'GO:0016049', 'GO:0045927', 'GO:0048522']	['FN1', 'CRK', 'EGFR', 'ERBB2', 'VEGFA', 'PTK2B', 'L1CAM', 'NRP1', 'SEMA4D']
46	GO:CC	GO:0098978	glutamatergic synapse	7.194711889824641e-06	True	"""A synapse that uses glutamate as a neurotransmitter."" [GOC:dos]"	404	99	13	16420	0.1313131313131313	0.0321782178217821	query_1	['GO:0045202']	['ITGB1', 'SRC', 'ITGB3', 'CTNNB1', 'ITGA5', 'LYN', 'NRP2', 'PLCG1', 'CDH1', 'PTK2B', 'SH3GL2', 'NRP1', 'ITGA3']
440	GO:BP	GO:0006954	inflammatory response	7.285540251760746e-06	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	749	99	18	15719	0.1818181818181818	0.0240320427236315	query_1	['GO:0006952']	['ITGB1', 'FN1', 'SRC', 'SPP1', 'HGF', 'PLCG2', 'FYN', 'LAT', 'LYN', 'TNC', 'JAM3', 'SYK', 'PLCG1', 'FCGR1A', 'VCAM1', 'ITGB6', 'THBS1', 'ITGA2']
105	REAC	REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	7.479194757177741e-06	True	Signaling by the B Cell Receptor (BCR)	113	98	9	10022	0.0918367346938775	0.079646017699115	query_1	['REAC:R-HSA-1280218']	['NCK1', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1']
441	GO:BP	GO:0051896	regulation of protein kinase B signaling	7.630298273060649e-06	True	"""Any process that modulates the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	164	99	9	15719	0.0909090909090909	0.0548780487804878	query_1	['GO:0043491', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'SRC', 'EGFR', 'VEGFA', 'PTK2', 'THBS1']
442	GO:BP	GO:0048146	positive regulation of fibroblast proliferation	8.080123881615876e-06	True	"""Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]"	53	99	6	15719	0.0606060606060606	0.1132075471698113	query_1	['GO:0008284', 'GO:0048144', 'GO:0048145']	['FN1', 'PDGFB', 'ITGB3', 'PDGFRB', 'EGFR', 'PDGFRA']
443	GO:BP	GO:0042542	response to hydrogen peroxide	8.244578978510832e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."" [GOC:jl]"	122	99	8	15719	0.0808080808080808	0.0655737704918032	query_1	['GO:0000302', 'GO:0010033', 'GO:0010035']	['MET', 'SRC', 'CRK', 'HGF', 'FYN', 'PDGFRB', 'PTK2B', 'COL1A1']
