Noonan syndrome with multiple lentigines	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
61	GO:BP	GO:0000165	MAPK cascade	1.3214775134338804e-32	True	"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"	772	103	44	21110	0.4271844660194174	0.0569948186528497	query_1	['GO:0035556']	['RAPGEF1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'MAPK1', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'LAMTOR3', 'LYN', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'YWHAZ', 'KDR', 'HRAS', 'SYK', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'LAMTOR2', 'TGFBR1', 'NRP1', 'MAP2K2', 'SMAD3', 'PTPN11', 'PDGFRA', 'FLT1']
62	WP	WP:WP4806	EGFR tyrosine kinase inhibitor resistance	2.033048052227883e-32	True	EGFR tyrosine kinase inhibitor resistance	84	96	28	8133	0.2916666666666667	0.3333333333333333	query_1	['WP:000000']	['MET', 'PIK3CB', 'PIK3R2', 'SRC', 'FGFR2', 'PIK3R1', 'MAPK1', 'HGF', 'SHC1', 'PLCG2', 'MAPK3', 'SOS1', 'PIK3CD', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'ARAF', 'PIK3CA', 'KDR', 'HRAS', 'PLCG1', 'RAF1', 'ERBB2', 'VEGFA', 'PIK3R3', 'MAP2K2', 'PDGFRA']
63	GO:BP	GO:0035295	tube development	2.153894006078717e-32	True	"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]"	1082	103	49	21110	0.4757281553398058	0.0452865064695009	query_1	['GO:0007275', 'GO:0048856']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'MAPK1', 'VEGFC', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'TGFB1', 'NRP2', 'MAP2K1', 'EGFR', 'PIK3CA', 'YWHAZ', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'CRKL', 'VEGFD', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PDGFRA', 'FLT1', 'PGF']
64	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	2.2365495545213942e-32	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	372	103	35	21110	0.3398058252427184	0.0940860215053763	query_1	['GO:0006468', 'GO:0018212']	['MET', 'VEGFB', 'SRC', 'FGFR2', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'MAPK3', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'VTN', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
65	GO:MF	GO:0005102	signaling receptor binding	2.298732287996059e-32	True	"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	1564	103	56	20195	0.5436893203883495	0.0358056265984654	query_1	['GO:0005515']	['ITGB1', 'ITGA9', 'NCK1', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'KDR', 'ITGAE', 'HSP90AA1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'PGF']
66	GO:BP	GO:0018212	peptidyl-tyrosine modification	2.705656847406325e-32	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	374	103	35	21110	0.3398058252427184	0.0935828877005347	query_1	['GO:0018193']	['MET', 'VEGFB', 'SRC', 'FGFR2', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'MAPK3', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'VTN', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
67	GO:BP	GO:0006796	phosphate-containing compound metabolic process	3.0827030599454157e-32	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2763	103	68	21110	0.6601941747572816	0.0246109301483894	query_1	['GO:0006793']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'HGF', 'KSR1', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'LAT', 'ZAP70', 'LYN', 'CNKSR1', 'TGFB1', 'BRAF', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
68	GO:BP	GO:0006793	phosphorus metabolic process	5.468002676041161e-32	True	"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4)."" [GOC:ai]"	2788	103	68	21110	0.6601941747572816	0.024390243902439	query_1	['GO:0044237']	['MET', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'HGF', 'KSR1', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'LAT', 'ZAP70', 'LYN', 'CNKSR1', 'TGFB1', 'BRAF', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
69	GO:BP	GO:0023051	regulation of signaling	9.32069874868942e-32	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3413	103	73	21110	0.7087378640776699	0.0213888075007324	query_1	['GO:0023052', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LAMTOR3', 'LYN', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'LAMTOR2', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
70	GO:BP	GO:0010646	regulation of cell communication	1.1374992116719076e-31	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3423	103	73	21110	0.7087378640776699	0.0213263219398188	query_1	['GO:0007154', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LAMTOR3', 'LYN', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'RAF1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'LAMTOR2', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
71	REAC	REAC:R-HSA-194138	Signaling by VEGF	1.1751784773821848e-31	True	Signaling by VEGF	104	101	28	10790	0.2772277227722772	0.2692307692307692	query_1	['REAC:R-HSA-9006934']	['NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'PIK3R2', 'BCAR1', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'FLT4', 'CTNNB1', 'PXN', 'FYN', 'NRP2', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'PLCG1', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'NRP1', 'FLT1', 'PGF']
72	GO:BP	GO:0001568	blood vessel development	1.3519126587511423e-31	True	"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]"	706	103	42	21110	0.4077669902912621	0.0594900849858356	query_1	['GO:0001944', 'GO:0048856']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SMAD7', 'FGFR2', 'ITGB3', 'MAPK1', 'VEGFC', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'TGFB1', 'NRP2', 'MAP2K1', 'PIK3CA', 'YWHAZ', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'CRKL', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'ADAM15', 'PDGFRA', 'FLT1', 'PGF']
73	GO:BP	GO:0048522	positive regulation of cellular process	2.1248334136159973e-31	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5615	103	87	21110	0.8446601941747572	0.0154942119323241	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'LAMTOR3', 'LYN', 'GRB2', 'TGFB1', 'BRAF', 'TNC', 'NRP2', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'LAMTOR2', 'VEGFD', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
74	GO:BP	GO:0007229	integrin-mediated signaling pathway	2.673378598630861e-31	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	118	103	25	21110	0.2427184466019417	0.211864406779661	query_1	['GO:0007166']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LAT', 'MADCAM1', 'ITGAE', 'VAV1', 'SYK', 'PTK2B', 'ADAM12', 'TLN1', 'PTK2', 'ITGB6', 'NRP1', 'ITGB7', 'ADAM15', 'PTPN11']
75	GO:BP	GO:0030155	regulation of cell adhesion	3.7385614491577726e-31	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	778	103	43	21110	0.4174757281553398	0.0552699228791773	query_1	['GO:0007155', 'GO:0050794']	['NCK1', 'PIK3CB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'TGFBR2', 'ITGA5', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'TGFB1', 'BRAF', 'TNC', 'CD44', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'NRP1', 'LCK', 'SMAD3', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
76	GO:BP	GO:0043408	regulation of MAPK cascade	3.860195200764403e-31	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]"	672	103	41	21110	0.3980582524271844	0.0610119047619047	query_1	['GO:0000165', 'GO:1902531']	['RAPGEF1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'MAPK1', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'LAMTOR3', 'LYN', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'YWHAZ', 'KDR', 'HRAS', 'SYK', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'LAMTOR2', 'TGFBR1', 'NRP1', 'MAP2K2', 'PTPN11', 'PDGFRA', 'FLT1']
77	GO:BP	GO:0031589	cell-substrate adhesion	4.360834447818669e-31	True	"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]"	367	103	34	21110	0.3300970873786408	0.0926430517711171	query_1	['GO:0007155']	['ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'MADCAM1', 'BRAF', 'CD44', 'KDR', 'ITGAE', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'SMAD3', 'ITGB7', 'ADAM15']
78	GO:BP	GO:0009966	regulation of signal transduction	4.957749492328741e-31	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3003	103	69	21110	0.6699029126213593	0.0229770229770229	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'HGF', 'KSR1', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LAMTOR3', 'LYN', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'YWHAB', 'YWHAZ', 'KDR', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'RAF1', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'LAMTOR2', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
79	GO:BP	GO:0031401	positive regulation of protein modification process	7.4949065138146895e-31	True	"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	969	103	46	21110	0.4466019417475728	0.0474716202270381	query_1	['GO:0031399', 'GO:0036211', 'GO:0051247']	['VEGFB', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'MAPK1', 'VEGFC', 'HGF', 'PLCG2', 'FLT4', 'CTNNB1', 'MAPK3', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'TGFB1', 'BRAF', 'LCP2', 'MAP2K1', 'EGFR', 'CD44', 'ARAF', 'PIK3CA', 'KDR', 'HSP90AA1', 'HRAS', 'SYK', 'FCGR1A', 'RAF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'MAP2K2', 'PTPN11', 'SEMA4D', 'FLT1', 'PGF']
80	GO:BP	GO:0001944	vasculature development	7.918312515180097e-31	True	"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]"	737	103	42	21110	0.4077669902912621	0.0569877883310719	query_1	['GO:0048731', 'GO:0072359']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SMAD7', 'FGFR2', 'ITGB3', 'MAPK1', 'VEGFC', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'TGFB1', 'NRP2', 'MAP2K1', 'PIK3CA', 'YWHAZ', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'CRKL', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'ADAM15', 'PDGFRA', 'FLT1', 'PGF']
81	KEGG	KEGG:04012	ErbB signaling pathway	8.002543879221242e-31	True	ErbB signaling pathway	84	97	27	8161	0.2783505154639175	0.3214285714285714	query_1	['KEGG:00000']	['NCK1', 'PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'MAPK1', 'CRK', 'SHC1', 'PLCG2', 'MAPK3', 'SOS1', 'PIK3CD', 'GRB2', 'BRAF', 'MAP2K1', 'EGFR', 'ARAF', 'PIK3CA', 'HRAS', 'PLCG1', 'RAF1', 'ERBB2', 'PIK3R3', 'CRKL', 'PTK2', 'MAP2K2', 'CBL']
82	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	1.0050912232459686e-30	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1174	103	49	21110	0.4757281553398058	0.0417376490630323	query_1	['GO:0009653', 'GO:0032502']	['ITGB1', 'PIK3CB', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'FGFR2', 'ITGB3', 'MAPK1', 'VEGFC', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'GRB2', 'TGFB1', 'NRP2', 'MAP2K1', 'PIK3CA', 'YWHAZ', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'ITGB6', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
83	GO:BP	GO:0002376	immune system process	1.4916384144871477e-30	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2710	103	66	21110	0.6407766990291263	0.0243542435424354	query_1	['GO:0008150']	['RAPGEF1', 'ITGB1', 'ITGA9', 'NCK1', 'PIK3CB', 'VEGFB', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'MAPK1', 'VEGFC', 'CRK', 'ITK', 'PLCG2', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'BRAF', 'LCP2', 'MAP2K1', 'CD44', 'PIK3CA', 'HSP90AA1', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'RAF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'MAP2K2', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'SEMA4D', 'FLT1', 'PGF']
84	KEGG	KEGG:05220	Chronic myeloid leukemia	1.979515511189757e-30	True	Chronic myeloid leukemia	76	97	26	8161	0.268041237113402	0.3421052631578947	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'TGFB3', 'PIK3R1', 'MAPK1', 'CRK', 'SHC1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'GRB2', 'TGFB1', 'BRAF', 'MAP2K1', 'ARAF', 'PIK3CA', 'HRAS', 'RAF1', 'PIK3R3', 'CRKL', 'TGFBR1', 'MAP2K2', 'SMAD3', 'PTPN11', 'CBL']
85	GO:BP	GO:0072359	circulatory system development	2.0628926229310368e-30	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1123	103	48	21110	0.4660194174757281	0.0427426536064114	query_1	['GO:0048731']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'SMAD7', 'FGFR2', 'ITGB3', 'MAPK1', 'VEGFC', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'MAPK3', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'TGFB1', 'NRP2', 'MAP2K1', 'EGFR', 'PIK3CA', 'YWHAZ', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ADAM12', 'CRKL', 'VEGFD', 'TGFBR1', 'VCAM1', 'PTK2', 'NRP1', 'MAP2K2', 'SMAD3', 'ADAM15', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
86	KEGG	KEGG:05211	Renal cell carcinoma	4.068030004245057e-30	True	Renal cell carcinoma	68	97	25	8161	0.2577319587628865	0.3676470588235294	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'PIK3CB', 'PIK3R2', 'TGFB3', 'PIK3R1', 'MAPK1', 'CRK', 'HGF', 'MAPK3', 'SOS1', 'PIK3CD', 'GRB2', 'TGFB1', 'BRAF', 'MAP2K1', 'ARAF', 'PIK3CA', 'HRAS', 'RAF1', 'VEGFA', 'PIK3R3', 'CRKL', 'MAP2K2', 'PTPN11']
