Transaldolase deficiency	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
143	GO:BP	GO:0051560	mitochondrial calcium ion homeostasis	3.446829407157424e-08	True	"""Any process involved in the maintenance of an internal steady state of calcium ions within the cytoplasm of a cell or between mitochondria and their surroundings."" [GOC:ai, GOC:mah]"	25	96	7	21110	0.0729166666666666	0.28	query_1	['GO:0006874']	['MAIP1', 'MCUB', 'MCU', 'AFG3L2', 'MICU1', 'SMDT1', 'MICU2']
144	HPA	HPA:0550052	stomach 2; glandular cells[≥Medium]	3.5359018771614555e-08	True	stomach 2; glandular cells[≥Medium]	6275	83	74	11006	0.891566265060241	0.0117928286852589	query_1	['HPA:0550051']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
145	GO:BP	GO:0000077	DNA damage checkpoint signaling	3.57370819636632e-08	True	"""A signal transduction process that contributes to a DNA damage checkpoint."" [GOC:mah]"	128	96	11	21110	0.1145833333333333	0.0859375	query_1	['GO:0031570', 'GO:0042770']	['CDK5RAP3', 'NBN', 'TP53BP1', 'H2AX', 'MDC1', 'BRCA2', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
146	CORUM	CORUM:2815	BRCA1-BARD1-BACH1-DNA damage complex II	3.757794336449282e-08	True	BRCA1-BARD1-BACH1-DNA damage complex II	8	47	6	3383	0.1276595744680851	0.75	query_1	['CORUM:0000000']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
147	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	3.8341994734058325e-08	True	HDR through Homologous Recombination (HRR)	68	84	10	10790	0.119047619047619	0.1470588235294117	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
148	REAC	REAC:R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	3.8341994734058325e-08	True	Nonhomologous End-Joining (NHEJ)	68	84	10	10790	0.119047619047619	0.1470588235294117	query_1	['REAC:R-HSA-5693532']	['NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'H2AX', 'MDC1', 'MRE11', 'BRCA1', 'BARD1']
149	HPA	HPA:0600441	tonsil; non-germinal center cells[≥Low]	3.8930870026947226e-08	True	tonsil; non-germinal center cells[≥Low]	6107	83	73	11006	0.8795180722891566	0.0119534959882102	query_1	['HPA:0600000']	['RBBP8', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
150	HPA	HPA:0460671	skin 1; melanocytes[≥Low]	4.1559258701681344e-08	True	skin 1; melanocytes[≥Low]	5297	83	68	11006	0.8192771084337349	0.0128374551632999	query_1	['HPA:0460000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'PDHX', 'SETDB2', 'H2AX', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'HDAC6', 'ISCU', 'PDK1', 'NSUN6', 'SDHB', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
151	WP	WP:WP2516	ATM signaling pathway	5.0798448359758484e-08	True	ATM signaling pathway	40	60	8	8133	0.1333333333333333	0.2	query_1	['WP:000000']	['NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'MRE11', 'RAD51', 'BRCA1']
152	GO:BP	GO:0006310	DNA recombination	5.17578479782509e-08	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	327	96	15	21110	0.15625	0.0458715596330275	query_1	['GO:0006259']	['RBBP8', 'NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'H2AX', 'BRCA2', 'HSPD1', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
153	REAC	REAC:R-HSA-69473	G2/M DNA damage checkpoint	5.3561827480676535e-08	True	G2/M DNA damage checkpoint	94	84	11	10790	0.1309523809523809	0.1170212765957446	query_1	['REAC:R-HSA-69481']	['RBBP8', 'NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'RPA1', 'BLM', 'MRE11', 'BRCA1', 'BARD1']
154	HPA	HPA:0010000	adipose tissue	5.451214085695574e-08	True	adipose tissue	3934	83	58	11006	0.6987951807228916	0.0147432638535841	query_1	['HPA:0000000']	['PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'GPD1', 'PDK1', 'SDHB', 'NFS1', 'CBX5', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'OGDH', 'PHB1', 'BCKDHA']
155	HPA	HPA:0010011	adipose tissue; adipocytes[≥Low]	5.451214085695574e-08	True	adipose tissue; adipocytes[≥Low]	3934	83	58	11006	0.6987951807228916	0.0147432638535841	query_1	['HPA:0010000']	['PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'GPD1', 'PDK1', 'SDHB', 'NFS1', 'CBX5', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'OGDH', 'PHB1', 'BCKDHA']
156	GO:BP	GO:0019438	aromatic compound biosynthetic process	5.4603837067723674e-08	True	"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	4140	96	48	21110	0.5	0.0115942028985507	query_1	['GO:0006725', 'GO:0044249']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'ADSL', 'CDK5RAP3', 'ATF7IP', 'TP53BP1', 'RAD50', 'ZNF45', 'ZNF350', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'DDRGK1', 'UFL1', 'PHB2', 'SDHD', 'BRCA2', 'SETDB1', 'PDHA1', 'SUMO1', 'RPA1', 'PDK3', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'HDAC6', 'PDK1', 'SDHB', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'STAT5A', 'SDHC', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'PHB1', 'STAT5B']
157	HPA	HPA:0170052	endometrium 2; glandular cells[≥Medium]	5.5985380396603104e-08	True	endometrium 2; glandular cells[≥Medium]	4880	83	65	11006	0.7831325301204819	0.0133196721311475	query_1	['HPA:0170051']	['UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'AFG3L2', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'BCKDHA']
158	GO:CC	GO:0000781	chromosome, telomeric region	5.6037671990115486e-08	True	"""The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres)."" [GOC:elh]"	168	97	11	22122	0.1134020618556701	0.0654761904761904	query_1	['GO:0098687']	['NBN', 'TP53BP1', 'RAD50', 'XRCC6', 'H2AX', 'BRCA2', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'CBX5']
159	HP	HP:0030406	Primary peritoneal carcinoma	6.032849854533759e-08	True	A type of cancer that originates in the peritoneum. It is to be distinguished from metastatic cancer of the peritoneum. Peritoneal cancer can occur anywhere in the abdominal space, and affects the surface of organs contained inside the peritoneum.	14	54	7	4851	0.1296296296296296	0.5	query_1	['HP:0007378']	['NBN', 'RAD50', 'BRCA2', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
160	HPA	HPA:0030000	appendix	6.157206632893821e-08	True	appendix	7821	83	81	11006	0.9759036144578314	0.0103567318757192	query_1	['HPA:0000000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
161	HPA	HPA:0310000	lymph node	6.691656943208425e-08	True	lymph node	6523	83	75	11006	0.9036144578313252	0.011497777096428	query_1	['HPA:0000000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
162	GO:BP	GO:0031570	DNA integrity checkpoint signaling	6.941508096321978e-08	True	"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and progresses through signal transduction and ends with cell cycle effector processes."" [GOC:mtg_cell_cycle]"	136	96	11	21110	0.1145833333333333	0.0808823529411764	query_1	['GO:0000075']	['CDK5RAP3', 'NBN', 'TP53BP1', 'H2AX', 'MDC1', 'BRCA2', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1']
163	GO:BP	GO:0090407	organophosphate biosynthetic process	7.065376439835869e-08	True	"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]"	609	96	19	21110	0.1979166666666666	0.0311986863711001	query_1	['GO:0019637', 'GO:1901576']	['PDK4', 'ADSL', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'SDHD', 'PDHA1', 'PDK3', 'MOCS3', 'PDK1', 'SDHB', 'NFS1', 'NDUFAB1', 'SDHA', 'SDHC', 'DLD', 'PDK2', 'NDUFV3']
164	REAC	REAC:R-HSA-71403	Citric acid cycle (TCA cycle)	8.408561231639057e-08	True	Citric acid cycle (TCA cycle)	22	84	7	10790	0.0833333333333333	0.3181818181818182	query_1	['REAC:R-HSA-71406']	['DLST', 'SDHD', 'SDHB', 'SDHA', 'SDHC', 'DLD', 'OGDH']
165	HPA	HPA:0480000	small intestine	9.746783623160285e-08	True	small intestine	7868	83	81	11006	0.9759036144578314	0.0102948652770716	query_1	['HPA:0000000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
166	GO:CC	GO:0045257	succinate dehydrogenase complex (ubiquinone)	9.866701912210343e-08	True	"""The enzyme that catalyzes the oxidation of succinate and ubiquinone to fumarate and ubiquinol; involved in aerobic respiration, repressed in anaerobic respiration."" [GOC:kd, ISBN:0198547684]"	4	97	4	22122	0.0412371134020618	1.0	query_1	['GO:0045281']	['SDHD', 'SDHB', 'SDHA', 'SDHC']
167	GO:CC	GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	9.866701912210343e-08	True	"""A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the four polypeptide subunits of succinate dehydrogenase, flavin-adenine dinucleotide and iron-sulfur. Catalyzes the oxidation of succinate by ubiquinone. Connects the TCA cycle with the respiratory chain."" [GOC:mtg_sensu, GOC:vw, ISBN:0198547684]"	4	97	4	22122	0.0412371134020618	1.0	query_1	['GO:0005746', 'GO:0045257', 'GO:0045283', 'GO:0098800']	['SDHD', 'SDHB', 'SDHA', 'SDHC']
168	GO:CC	GO:0045283	fumarate reductase complex	9.866701912210343e-08	True	"""A membrane-bound flavoenzyme complex consisting of four subunits, A, B, C, and D. A and B comprise the membrane-extrinsic catalytic domain and C (InterPro:IPR003510; InterPro:IPR004224) and D (InterPro:IPR003418) link the catalytic centers to the electron-transport chain. This family consists of the 13 kDa hydrophobic subunit D. This component may be required to anchor the catalytic components of the fumarate reductase complex to the cytoplasmic membrane. Fumarate reductase couples the reduction of fumarate to succinate to the oxidation of quinol to quinone, in a reaction opposite to that catalyzed by the related complex II of the respiratory chain (succinate dehydrogenase-(ubiquinone))."" [InterPro:IPR003418, InterPro:IPR004224]"	4	97	4	22122	0.0412371134020618	1.0	query_1	['GO:0045273', 'GO:0098803', 'GO:1902494']	['SDHD', 'SDHB', 'SDHA', 'SDHC']
169	GO:CC	GO:0045281	succinate dehydrogenase complex	9.866701912210343e-08	True	"""A multimeric complex which consists of flavoprotein (subunit A ; InterPro:IPR003952), iron-sulfur protein (subunit B) and membrane-bound cytochrome b560 (subunit C; InterPro:IPR000701). In some Archaea, the membrane-bound subunits (C or C and D) do not necessarily contain heme. Membrane-bound subunits can bind or react with quinones."" [GOC:kd, InterPro:IPR000701]"	4	97	4	22122	0.0412371134020618	1.0	query_1	['GO:0005622', 'GO:0045273', 'GO:0098803', 'GO:1990204']	['SDHD', 'SDHB', 'SDHA', 'SDHC']
170	GO:CC	GO:0045273	respiratory chain complex II	9.866701912210343e-08	True	"""A part of the respiratory chain, containing the four polypeptide subunits of succinate dehydrogenase, flavin-adenine dinucleotide and iron-sulfur. Catalyzes the oxidation of succinate by ubiquinone. Connects the TCA cycle with the respiratory chain."" [ISBN:0198547684]"	4	97	4	22122	0.0412371134020618	1.0	query_1	['GO:0098803', 'GO:1902494']	['SDHD', 'SDHB', 'SDHA', 'SDHC']
171	HP	HP:0003002	Breast carcinoma	9.93469226022119e-08	True	The presence of a carcinoma of the breast.	66	54	11	4851	0.2037037037037037	0.1666666666666666	query_1	['HP:0100013']	['NBN', 'RAD50', 'SDHD', 'BRCA2', 'MRE11', 'RAD51', 'SDHB', 'BRCA1', 'SDHC', 'BARD1', 'PHB1']
172	GO:CC	GO:0005737	cytoplasm	1.052897470724797e-07	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	12365	97	83	22122	0.8556701030927835	0.0067124949454104	query_1	['GO:0005622', 'GO:0110165']	['PPIF', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'UBAC2', 'XRCC6', 'TALDO1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'DDRGK1', 'UFL1', 'PMPCA', 'PHB2', 'MCAT', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'MCU', 'SIL1', 'SETDB1', 'BCKDK', 'CDNF', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'MOCS3', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'NDUFV3', 'BARD1', 'MICU2', 'MFN1', 'ABHD6', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
173	GO:CC	GO:0043227	membrane-bounded organelle	1.0585607721968963e-07	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	15705	97	93	22122	0.9587628865979382	0.0059216809933142	query_1	['GO:0043226']	['PPIF', 'RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'SPG7', 'PPM1K', 'SNX1', 'LYRM4', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'ZNF45', 'UBAC2', 'ZNF350', 'XRCC6', 'TALDO1', 'PAXIP1', 'DLAT', 'PDHA2', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'METTL21C', 'SDHD', 'DBT', 'BRCA2', 'MCU', 'SIL1', 'SETDB1', 'BCKDK', 'CDNF', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'SMDT1', 'SDHC', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'ABHD6', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
174	CORUM	CORUM:6473	mitochondrial calcium uniporter complex	1.1022290976757665e-07	True	mitochondrial calcium uniporter complex	5	47	5	3383	0.1063829787234042	1.0	query_1	['CORUM:0000000']	['MCUB', 'MCU', 'MICU1', 'SMDT1', 'MICU2']
175	HPA	HPA:0150000	duodenum	1.218849863576422e-07	True	duodenum	7891	83	81	11006	0.9759036144578314	0.0102648586997845	query_1	['HPA:0000000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'GCSH', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'OTC', 'ATF7IP', 'DLST', 'HSPA9', 'MCUB', 'TP53BP1', 'RAD50', 'UBAC2', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'MDC1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'UBA5', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
176	HPA	HPA:0300411	lung; macrophages[≥Low]	1.263460469217201e-07	True	lung; macrophages[≥Low]	6779	83	76	11006	0.9156626506024096	0.0112110930815754	query_1	['HPA:0300000']	['RBBP8', 'SNX6', 'UBE2I', 'PDK4', 'PPM1K', 'SNX1', 'LYRM4', 'ADSL', 'MAIP1', 'CDK5RAP3', 'NBN', 'ATF7IP', 'DLST', 'HSPA9', 'TP53BP1', 'RAD50', 'XRCC6', 'PAXIP1', 'DLAT', 'PDHX', 'SETDB2', 'PDHB', 'H2AX', 'DDRGK1', 'UFL1', 'PMPCA', 'PHB2', 'MCAT', 'SDHD', 'DBT', 'MCU', 'SIL1', 'BCKDK', 'BCKDHB', 'PDHA1', 'SUMO1', 'HSPD1', 'RPA1', 'PDK3', 'ARL14EP', 'FLYWCH1', 'BLM', 'PIAS1', 'MRE11', 'VDAC1', 'RAD51', 'AFG3L2', 'HDAC6', 'ISCU', 'GPD1', 'PDK1', 'NSUN6', 'SDHB', 'FAF2', 'NFS1', 'CBX5', 'NDUFAB1', 'BRCA1', 'SDHA', 'MICU1', 'STAT5A', 'DLD', 'PDK2', 'MBD1', 'NDUFV3', 'TRIM28', 'BARD1', 'MICU2', 'MFN1', 'PEPD', 'PMPCB', 'OGDH', 'PHB1', 'UFM1', 'STAT5B', 'BCKDHA']
