Rabson-Mendenhall syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
67	REAC	REAC:R-HSA-9656223	Signaling by RAF1 mutants	9.672777646882415e-10	True	Signaling by RAF1 mutants	40	97	9	10022	0.0927835051546391	0.225	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
69	REAC	REAC:R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	9.891260548390666e-10	True	Signaling by Ligand-Responsive EGFR Variants in Cancer	17	97	7	10022	0.0721649484536082	0.4117647058823529	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'CBL']
68	REAC	REAC:R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	9.891260548390666e-10	True	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	17	97	7	10022	0.0721649484536082	0.4117647058823529	query_1	['REAC:R-HSA-5637815']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'CBL']
309	GO:BP	GO:0060627	regulation of vesicle-mediated transport	1.0117624872903794e-09	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	100	20	15719	0.2	0.0385356454720616	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['RAPGEF1', 'C3', 'PIK3CB', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'INSR', 'PLCG2', 'LYN', 'TGFB1', 'APOA1', 'FGB', 'SYK', 'FCGR1A', 'FGG', 'VEGFA', 'VTN', 'NRP1', 'CBL']
310	GO:BP	GO:0048598	embryonic morphogenesis	1.0345119895474354e-09	True	"""The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."" [GOC:jid, GOC:mtg_sensu]"	581	100	21	15719	0.21	0.036144578313253	query_1	['GO:0009653', 'GO:0009790']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'FGFR2', 'ITGB3', 'TGFB3', 'VEGFC', 'CTNNB1', 'SOS1', 'TGFBR2', 'ITGA5', 'ITGA4', 'GRB2', 'TGFB1', 'APOA1', 'VTN', 'TGFBR1', 'SMAD3', 'PDGFRA', 'FLT1']
311	GO:BP	GO:0007492	endoderm development	1.1725361769378143e-09	True	"""The process whose specific outcome is the progression of the endoderm over time, from its formation to the mature structure. The endoderm is the innermost germ layer that develops into the gastrointestinal tract, the lungs and associated tissues."" [GOC:dph, GOC:tb]"	81	100	10	15719	0.1	0.1234567901234567	query_1	['GO:0009888']	['ITGB5', 'ITGAV', 'FN1', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'TGFB1', 'VTN', 'SMAD3']
70	REAC	REAC:R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	1.1987077760313923e-09	True	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	10	97	6	10022	0.0618556701030927	0.6	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'PDGFRA']
71	REAC	REAC:R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	1.1987077760313923e-09	True	Signaling by PDGFRA extracellular domain mutants	10	97	6	10022	0.0618556701030927	0.6	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'PDGFRA']
72	REAC	REAC:R-HSA-1266738	Developmental Biology	1.286515942649613e-09	True	Developmental Biology	1081	97	34	10022	0.3505154639175257	0.0314523589269195	query_1	['REAC:0000000']	['MET', 'ITGB1', 'ITGA9', 'PIK3CB', 'PLXNB1', 'ITGAV', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'NRP2', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'SMAD3', 'PTPN11', 'SEMA4D', 'PLXNA1']
312	GO:BP	GO:0061138	morphogenesis of a branching epithelium	1.3837003745844375e-09	True	"""The process in which the anatomical structures of a branched epithelium are generated and organized."" [GOC:dph]"	179	100	13	15719	0.13	0.0726256983240223	query_1	['GO:0001763', 'GO:0002009']	['MET', 'SRC', 'FGFR2', 'HGF', 'CTNNB1', 'TGFBR2', 'GRB2', 'TGFB1', 'KDR', 'VEGFA', 'ESR1', 'NRP1', 'PLXNA1']
313	GO:BP	GO:0045859	regulation of protein kinase activity	1.494350253642144e-09	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	593	100	21	15719	0.21	0.0354131534569983	query_1	['GO:0001932', 'GO:0043549']	['PIK3CB', 'SRC', 'ITGB3', 'VEGFC', 'INSR', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'CBL', 'FLT1']
73	REAC	REAC:R-HSA-9671555	Signaling by PDGFR in disease	1.519045037608688e-09	True	Signaling by PDGFR in disease	18	97	7	10022	0.0721649484536082	0.3888888888888889	query_1	['REAC:R-HSA-5663202']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'KDR', 'PDGFRA']
26	GO:CC	GO:0005615	extracellular space	1.520531078346921e-09	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	101	47	16420	0.4653465346534653	0.0154402102496714	query_1	['GO:0005576', 'GO:0110165']	['C3', 'ITGB1', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'INSR', 'HGF', 'PLCG2', 'CTNNB1', 'ITGA2B', 'ITGA4', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'TNC', 'EGFR', 'APOA1', 'FGB', 'VCL', 'FGG', 'SMURF1', 'CDH1', 'IGHM', 'VEGFA', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'NRP1', 'LCK', 'CD19', 'ITGB7', 'ADAM15', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
74	REAC	REAC:R-HSA-1566948	Elastic fibre formation	1.7660721731521455e-09	True	Elastic fibre formation	43	97	9	10022	0.0927835051546391	0.2093023255813953	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'ITGA5', 'VTN', 'ITGB6']
314	GO:BP	GO:0016043	cellular component organization	1.7834672885816201e-09	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6037	100	70	15719	0.7	0.0115951631605101	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGB5', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'INSR', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'TNC', 'NRP2', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'IGHM', 'VEGFA', 'SH3GL2', 'CRKL', 'ESR1', 'VTN', 'TLN1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'SMAD3', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'PLXNA1']
315	GO:BP	GO:0060284	regulation of cell development	1.8359645891714487e-09	True	"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]"	803	100	24	15719	0.24	0.0298879202988792	query_1	['GO:0045595', 'GO:0048468']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'SMAD7', 'PIK3R1', 'VEGFC', 'CTNNB1', 'SOS1', 'TGFBR2', 'ZAP70', 'LYN', 'TGFB1', 'VCL', 'SYK', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
316	GO:BP	GO:1900024	regulation of substrate adhesion-dependent cell spreading	2.0309906168147203e-09	True	"""Any process that modulates the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	61	100	9	15719	0.09	0.1475409836065573	query_1	['GO:0010810', 'GO:0034446']	['FGA', 'ITGB3', 'CRK', 'APOA1', 'FGB', 'FGG', 'CRKL', 'PTK2', 'NRP1']
317	GO:BP	GO:0046718	viral entry into host cell	2.0731352367880792e-09	True	"""The process that occurs after viral attachment by which a virus, or viral nucleic acid, breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the viral nucleic acid is released into the host cell cytoplasm."" [GOC:jl]"	148	100	12	15719	0.12	0.081081081081081	query_1	['GO:0019058', 'GO:0044409']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'INSR', 'ITGA5', 'EGFR', 'CD81', 'ITGB6', 'NRP1', 'ITGB7', 'CR2']
75	REAC	REAC:R-HSA-74751	Insulin receptor signalling cascade	2.173656845855914e-09	True	Insulin receptor signalling cascade	44	97	9	10022	0.0927835051546391	0.2045454545454545	query_1	['REAC:R-HSA-74752']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'INSR', 'SHC1', 'SOS1', 'PIK3CA', 'IRS1', 'PTPN11']
76	REAC	REAC:R-HSA-2029485	Role of phospholipids in phagocytosis	2.2103200215490603e-09	True	Role of phospholipids in phagocytosis	30	97	8	10022	0.0824742268041237	0.2666666666666666	query_1	['REAC:R-HSA-2029480']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'PIK3CA', 'SYK', 'PLCG1', 'FCGR1A']
77	REAC	REAC:R-HSA-8876384	Listeria monocytogenes entry into host cells	2.2638785558499476e-09	True	Listeria monocytogenes entry into host cells	19	97	7	10022	0.0721649484536082	0.3684210526315789	query_1	['REAC:R-HSA-5663205']	['MET', 'SRC', 'CTNNB1', 'SH3KBP1', 'CDH1', 'SH3GL2', 'CBL']
318	GO:BP	GO:0050808	synapse organization	2.331010843201395e-09	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]"	427	100	18	15719	0.18	0.0421545667447306	query_1	['GO:0034330']	['C3', 'ITGB1', 'PLXNB1', 'ITGB3', 'CRK', 'INSR', 'CTNNB1', 'FYN', 'TNC', 'NRP2', 'IGF1R', 'ERBB2', 'CDH1', 'PTK2B', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D']
82	REAC	REAC:R-HSA-9649948	Signaling downstream of RAS mutants	2.468236144478588e-09	True	Signaling downstream of RAS mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802949']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
81	REAC	REAC:R-HSA-6802949	Signaling by RAS mutants	2.468236144478588e-09	True	Signaling by RAS mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
78	REAC	REAC:R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	2.468236144478588e-09	True	Paradoxical activation of RAF signaling by kinase inactive BRAF	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
80	REAC	REAC:R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	2.468236144478588e-09	True	Signaling by moderate kinase activity BRAF mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
79	REAC	REAC:R-HSA-1227986	Signaling by ERBB2	2.468236144478588e-09	True	Signaling by ERBB2	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-9006934']	['SRC', 'PIK3R1', 'SHC1', 'SOS1', 'FYN', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
319	GO:BP	GO:0071674	mononuclear cell migration	2.498208095438546e-09	True	"""The movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	188	100	13	15719	0.13	0.0691489361702127	query_1	['GO:0050900']	['ITGB3', 'CRK', 'PIK3CD', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'TGFB1', 'PTK2B', 'CRKL', 'PTK2', 'ITGB7', 'FLT1']
83	REAC	REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	2.583815578286729e-09	True	Fc epsilon receptor (FCERI) signaling	132	97	13	10022	0.134020618556701	0.0984848484848484	query_1	['REAC:R-HSA-168249']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1']
320	GO:BP	GO:0010975	regulation of neuron projection development	2.5947343932037372e-09	True	"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	430	100	18	15719	0.18	0.041860465116279	query_1	['GO:0031175', 'GO:0120035']	['RAPGEF1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'FYN', 'LYN', 'IGF1R', 'SMURF1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
84	REAC	REAC:R-HSA-389356	CD28 co-stimulation	2.677423752948233e-09	True	CD28 co-stimulation	31	97	8	10022	0.0824742268041237	0.2580645161290322	query_1	['REAC:R-HSA-388841']	['PIK3R2', 'PIK3R1', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'PIK3R3', 'LCK']
321	GO:BP	GO:0050918	positive chemotaxis	2.700430849054152e-09	True	"""The directed movement of a motile cell or organism towards a higher concentration of a chemical."" [GOC:ai, GOC:bf, GOC:isa_complete]"	63	100	9	15719	0.09	0.1428571428571428	query_1	['GO:0006935']	['MET', 'VEGFB', 'VEGFC', 'HGF', 'KDR', 'VEGFA', 'NRP1', 'SMAD3', 'PGF']
322	GO:BP	GO:0006954	inflammatory response	2.763775636505641e-09	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	749	100	23	15719	0.23	0.0307076101468624	query_1	['GO:0006952']	['C3', 'ITGB1', 'FN1', 'SRC', 'SPP1', 'HGF', 'PLCG2', 'PIK3CD', 'FYN', 'LAT', 'LYN', 'TGFB1', 'TNC', 'APOA1', 'SYK', 'PLCG1', 'FCGR1A', 'ESR1', 'CD81', 'VCAM1', 'ITGB6', 'BLNK', 'SMAD3']
27	GO:CC	GO:0031093	platelet alpha granule lumen	2.777746413406585e-09	True	"""The volume enclosed by the membrane of the platelet alpha granule."" [GOC:mah, PMID:8467233]"	65	101	9	16420	0.0891089108910891	0.1384615384615384	query_1	['GO:0031091', 'GO:0034774']	['VEGFB', 'FN1', 'FGA', 'TGFB3', 'VEGFC', 'HGF', 'FGB', 'FGG', 'VEGFA']
323	GO:BP	GO:0007179	transforming growth factor beta receptor signaling pathway	2.8148756574005396e-09	True	"""The series of molecular signals initiated by an extracellular ligand binding to a transforming growth factor beta receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah, GOC:signaling]"	190	100	13	15719	0.13	0.0684210526315789	query_1	['GO:0007178', 'GO:0071560']	['SMURF2', 'ITGB5', 'SRC', 'SMAD7', 'TGFB3', 'TGFBR2', 'PXN', 'TGFB1', 'SMURF1', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3']
324	GO:BP	GO:0007162	negative regulation of cell adhesion	2.829392991944762e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	277	100	15	15719	0.15	0.0541516245487364	query_1	['GO:0007155', 'GO:0030155', 'GO:0048523']	['PLXNB1', 'SRC', 'SMAD7', 'PIK3R1', 'TGFB1', 'APOA1', 'FGG', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
325	GO:BP	GO:0002861	regulation of inflammatory response to antigenic stimulus	3.083216673263178e-09	True	"""Any process that modulates the frequency, rate, or extent of an inflammatory response to an antigenic stimulus."" [GOC:add]"	43	100	8	15719	0.08	0.1860465116279069	query_1	['GO:0002437', 'GO:0050727', 'GO:0050776']	['C3', 'SRC', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A', 'CD81']
85	REAC	REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	3.134072654158465e-09	True	Signaling by ERBB2 KD Mutants	20	97	7	10022	0.0721649484536082	0.35	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
326	GO:BP	GO:0097529	myeloid leukocyte migration	3.1925416200764927e-09	True	"""The movement of a myeloid leukocyte within or between different tissues and organs of the body."" [GOC:cvs, PMID:22342843, PMID:24157461]"	234	100	14	15719	0.14	0.0598290598290598	query_1	['GO:0050900']	['ITGA9', 'VEGFB', 'PIK3R1', 'VEGFC', 'PIK3CD', 'LYN', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'CD81', 'PTK2', 'FLT1', 'PGF']
327	GO:BP	GO:0051241	negative regulation of multicellular organismal process	3.264179308867092e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1056	100	27	15719	0.27	0.0255681818181818	query_1	['GO:0032501', 'GO:0048519', 'GO:0051239']	['PIK3CB', 'FN1', 'SPP1', 'SMAD7', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'TGFBR2', 'LYN', 'TGFB1', 'EGFR', 'APOA1', 'FGB', 'FGG', 'ERBB2', 'CDH1', 'PTK2B', 'VTN', 'TGFBR1', 'NRP1', 'SMAD3', 'PTPN11', 'PDGFRA', 'SEMA4D']
328	GO:BP	GO:0032102	negative regulation of response to external stimulus	3.3432173270012993e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	382	100	17	15719	0.17	0.0445026178010471	query_1	['GO:0009605', 'GO:0032101', 'GO:0048585']	['SRC', 'SPP1', 'FGA', 'CRK', 'HGF', 'FYN', 'LYN', 'APOA1', 'FGB', 'SYK', 'PLCG1', 'FGG', 'VTN', 'NRP1', 'SMAD3', 'PDGFRA', 'SEMA4D']
329	GO:BP	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	3.399377294937874e-09	True	"""An Fc-gamma receptor signaling pathway that contributes to the endocytic engulfment of external particulate material by phagocytes."" [GOC:phg, PMID:12488490, PMID:15466916]"	27	100	7	15719	0.07	0.2592592592592592	query_1	['GO:0002431', 'GO:0002433', 'GO:0038094']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
330	GO:BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	3.399377294937874e-09	True	"""An immune response-regulating cell surface receptor signaling pathway that contributes to the endocytic engulfment of external particulate material by phagocytes."" [GO_REF:0000022, GOC:add, GOC:bf, ISBN:0781735149]"	27	100	7	15719	0.07	0.2592592592592592	query_1	['GO:0002252', 'GO:0002768', 'GO:0006909']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
331	GO:BP	GO:0022612	gland morphogenesis	3.5043056561947293e-09	True	"""The process in which the anatomical structures of a gland are generated and organized."" [GOC:isa_complete]"	121	100	11	15719	0.11	0.0909090909090909	query_1	['GO:0009887', 'GO:0048732']	['SRC', 'FGFR2', 'TGFB3', 'HGF', 'TGFBR2', 'TGFB1', 'TNC', 'EGFR', 'ESR1', 'NRP1', 'PLXNA1']
332	GO:BP	GO:0001763	morphogenesis of a branching structure	3.537682216285287e-09	True	"""The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."" [ISBN:0721662544]"	194	100	13	15719	0.13	0.0670103092783505	query_1	['GO:0009653', 'GO:0032501']	['MET', 'SRC', 'FGFR2', 'HGF', 'CTNNB1', 'TGFBR2', 'GRB2', 'TGFB1', 'KDR', 'VEGFA', 'ESR1', 'NRP1', 'PLXNA1']
333	GO:BP	GO:0030100	regulation of endocytosis	3.537682216285287e-09	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	282	100	15	15719	0.15	0.0531914893617021	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['RAPGEF1', 'C3', 'PIK3CB', 'ITGAV', 'SRC', 'ITGB3', 'INSR', 'PLCG2', 'TGFB1', 'APOA1', 'SYK', 'FCGR1A', 'VEGFA', 'VTN', 'CBL']
336	GO:BP	GO:0031295	T cell costimulation	3.6156751221803412e-09	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the T cell receptor to augment T cell activation."" [ISBN:0781735149]"	44	100	8	15719	0.08	0.1818181818181818	query_1	['GO:0031294', 'GO:0050870']	['SRC', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'CD81', 'LCK', 'PTPN11']
335	GO:BP	GO:1903034	regulation of response to wounding	3.6156751221803412e-09	True	"""Any process that modulates the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	156	100	12	15719	0.12	0.0769230769230769	query_1	['GO:0009611', 'GO:0080134']	['ITGB1', 'VEGFB', 'SPP1', 'FGA', 'CRK', 'FGB', 'IGF1R', 'FGG', 'VTN', 'PTK2', 'SMAD3', 'PDGFRA']
334	GO:BP	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	3.6156751221803412e-09	True	"""Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	44	100	8	15719	0.08	0.1818181818181818	query_1	['GO:0010811', 'GO:0034446', 'GO:1900024']	['FGA', 'ITGB3', 'CRK', 'APOA1', 'FGB', 'FGG', 'CRKL', 'NRP1']
337	GO:BP	GO:0051017	actin filament bundle assembly	3.6156751221803412e-09	True	"""The assembly of actin filament bundles; actin filaments are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness."" [GOC:ai]"	156	100	12	15719	0.12	0.0769230769230769	query_1	['GO:0022607', 'GO:0061572']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'TGFBR1', 'NRP1', 'SMAD3']
86	REAC	REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	3.768097684430589e-09	True	Signaling by NTRK1 (TRKA)	110	97	12	10022	0.1237113402061855	0.109090909090909	query_1	['REAC:R-HSA-166520']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CA', 'PLCG1', 'SH3GL2', 'IRS1', 'CRKL']
338	GO:BP	GO:0090287	regulation of cellular response to growth factor stimulus	4.0344489699399405e-09	True	"""Any process that modulates the rate, frequency, or extent of a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:tb]"	285	100	15	15719	0.15	0.0526315789473684	query_1	['GO:0048583', 'GO:0071363']	['PIK3CB', 'SMURF2', 'VEGFB', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CTNNB1', 'ITGA5', 'KDR', 'SMURF1', 'VEGFA', 'VTN', 'NRP1', 'SMAD3']
87	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	4.248420856351556e-09	True	Erythropoietin activates RAS	12	97	6	10022	0.0618556701030927	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
88	REAC	REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	4.429670591737641e-09	True	FCERI mediated Ca+2 mobilization	33	97	8	10022	0.0824742268041237	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['ITK', 'PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
89	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	4.456865594698458e-09	True	Signaling by ERBB2 in Cancer	21	97	7	10022	0.0721649484536082	0.3333333333333333	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
339	GO:BP	GO:0061572	actin filament bundle organization	4.47143291864952e-09	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle."" [GOC:dph]"	159	100	12	15719	0.12	0.0754716981132075	query_1	['GO:0007015']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'TGFBR1', 'NRP1', 'SMAD3']
340	GO:BP	GO:0044087	regulation of cellular component biogenesis	4.496370183108542e-09	True	"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	917	100	25	15719	0.25	0.0272628135223555	query_1	['GO:0044085', 'GO:0050794']	['MET', 'RAPGEF1', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PLCG2', 'CTNNB1', 'PXN', 'GRB2', 'APOA1', 'PIK3CA', 'KDR', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'ESR1', 'TLN1', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'PTPN11', 'SEMA4D']
