Trichothiodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1007	REAC	REAC:R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	0.0042603683989631	True	Cyclin A:Cdk2-associated events at S phase entry	84	107	4	17376	0.0373831775700934	0.0476190476190476	query_1	['REAC:R-HSA-69242']	['AKT1', 'CDK7', 'CCNH', 'MNAT1']
1008	GO:BP	GO:0019941	modification-dependent protein catabolic process	0.0043856571388824	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	107	12	17376	0.1121495327102803	0.017910447761194	query_1	['GO:0043632', 'GO:0051603']	['UBE2I', 'AKT1', 'SMURF2', 'CTNNB1', 'TBL1X', 'SUMO1', 'RNF26', 'SUMO2', 'TBL1XR1', 'PML', 'SMARCC1', 'HIPK2']
1009	GO:BP	GO:0006796	phosphate-containing compound metabolic process	0.0043892180139896	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2608	107	29	17376	0.2710280373831775	0.0111196319018404	query_1	['GO:0006793']	['CCNT1', 'AKT1', 'CDK7', 'NR1H2', 'CCNT2', 'GTF2H1', 'CDK9', 'NR1H3', 'AR', 'CCNK', 'CCNH', 'SMAD2', 'DAXX', 'CTDP1', 'SMAD4', 'MECP2', 'HDAC3', 'MNAT1', 'CDK13', 'TBP', 'KAT2B', 'PDE8A', 'RARA', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'HEXIM1', 'HIPK2']
1010	REAC	REAC:R-HSA-194068	Bile acid and bile salt metabolism	0.0044873206296854	True	Bile acid and bile salt metabolism	40	107	3	17376	0.02803738317757	0.075	query_1	['REAC:R-HSA-8957322']	['RXRA', 'NCOA2', 'NCOA1']
1011	GO:CC	GO:0005575	cellular_component	0.0044935677227038	True	"""A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."" [GOC:pdt, NIF_Subcellular:sao1337158144]"	16341	107	107	17376	1.0	0.0065479468820757	query_1	[]	['NRIP1', 'GTF3C3', 'RXRA', 'UBE2I', 'NCOA3', 'TGIF1', 'CCNT1', 'AKT1', 'WDR77', 'SMURF2', 'CREBBP', 'GTF3C1', 'CBFB', 'SUPT4H1', 'MPLKIP', 'ZNF143', 'GTF3A', 'COPRS', 'GTF2A2', 'CDK7', 'FOXO3', 'NR1H2', 'NCOA2', 'CARM1', 'CTNNB1', 'DDX5', 'HDAC1', 'GTF2H4', 'SMARCA4', 'BDP1', 'SMARCA2', 'CCNT2', 'FOXG1', 'GTF2H1', 'TBL1X', 'ERCC3', 'NCOR2', 'SIN3A', 'CDK9', 'SUPT5H', 'GTF3C2', 'RXRB', 'GTF2H3', 'NR1H3', 'GTF2E1', 'AR', 'CCNK', 'POU2F1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'RNF113A', 'CTDP1', 'GTF2B', 'TARS1', 'SMAD9', 'RNF26', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'PRMT1', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'BRF1', 'MNAT1', 'BRF2', 'GTF3C4', 'GTF2F1', 'SMARCC2', 'SKI', 'BRCA1', 'CDK13', 'SP1', 'TBP', 'GTF2H5', 'KAT2B', 'ESR1', 'GTF2F2', 'FOXO1', 'PDE8A', 'GTF3C5', 'DRAP1', 'RARA', 'GTF2E2', 'FOXH1', 'POU2F2', 'CLNS1A', 'TBL1XR1', 'TP53', 'GTF2A1', 'SMAD3', 'PML', 'ERCC2', 'HDAC2', 'KDM1A', 'SMARCC1', 'HEXIM1', 'SKIL', 'NCOA1', 'HIPK2', 'CARS1']
1012	GO:BP	GO:0009895	negative regulation of catabolic process	0.0045213073256343	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	324	107	8	17376	0.0747663551401869	0.0246913580246913	query_1	['GO:0009056', 'GO:0009892', 'GO:0009894']	['AKT1', 'SMAD4', 'NCOR1', 'TP53', 'SMAD3', 'PML', 'SMARCC1', 'HIPK2']
1013	GO:BP	GO:1901798	positive regulation of signal transduction by p53 class mediator	0.0046040605418876	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction by p53 class mediator."" [GOC:TermGenie]"	31	107	3	17376	0.02803738317757	0.0967741935483871	query_1	['GO:0072331', 'GO:1901796', 'GO:1902533']	['DDX5', 'PML', 'HEXIM1']
1014	GO:BP	GO:0061180	mammary gland epithelium development	0.0046578913160214	True	"""The process whose specific outcome is the progression of the mammary gland epithelium over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph, GOC:yaf]"	70	107	4	17376	0.0373831775700934	0.0571428571428571	query_1	['GO:0030879', 'GO:0060429']	['AKT1', 'AR', 'ESR1', 'PML']
1015	REAC	REAC:R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	0.0046658764935509	True	Activation of the TFAP2 (AP-2) family of transcription factors	11	107	2	17376	0.0186915887850467	0.1818181818181818	query_1	['REAC:R-HSA-8864260']	['CREBBP', 'EP300']
1016	REAC	REAC:R-HSA-4755510	SUMOylation of immune response proteins	0.0046658764935509	True	SUMOylation of immune response proteins	11	107	2	17376	0.0186915887850467	0.1818181818181818	query_1	['REAC:R-HSA-3108232']	['UBE2I', 'SUMO1']
1017	GO:BP	GO:0071478	cellular response to radiation	0.0046669249842721	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:mah]"	182	107	6	17376	0.0560747663551401	0.0329670329670329	query_1	['GO:0009314', 'GO:0071214']	['CREBBP', 'EP300', 'BRCA1', 'GTF2H5', 'TP53', 'KDM1A']
1018	GO:BP	GO:0006006	glucose metabolic process	0.0046669249842721	True	"""The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides."" [ISBN:0198506732]"	182	107	6	17376	0.0560747663551401	0.0329670329670329	query_1	['GO:0019318']	['AKT1', 'NCOA2', 'EP300', 'KAT2B', 'FOXO1', 'TP53']
1019	GO:BP	GO:0034097	response to cytokine	0.0046980876567493	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	873	107	14	17376	0.1308411214953271	0.0160366552119129	query_1	['GO:0010033']	['AKT1', 'FOXO3', 'NR1H2', 'CDK9', 'NR1H3', 'RNF113A', 'SMAD4', 'GPS2', 'BRCA1', 'RARA', 'FOXH1', 'TP53', 'PML', 'SKIL']
1020	GO:BP	GO:0019216	regulation of lipid metabolic process	0.004850367394625	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]"	328	107	8	17376	0.0747663551401869	0.024390243902439	query_1	['GO:0006629', 'GO:0080090']	['AKT1', 'NR1H2', 'NCOA2', 'NR1H3', 'GPS2', 'NCOR1', 'BRCA1', 'TBL1XR1']
1021	GO:BP	GO:0007405	neuroblast proliferation	0.004862749469165	True	"""The expansion of a neuroblast population by cell division. A neuroblast is any cell that will divide and give rise to a neuron."" [GOC:ai, GOC:mtg_sensu, GOC:sart]"	71	107	4	17376	0.0373831775700934	0.056338028169014	query_1	['GO:0048699', 'GO:0061351']	['CTNNB1', 'FOXG1', 'TP53', 'KDM1A']
1022	GO:BP	GO:0002067	glandular epithelial cell differentiation	0.004862749469165	True	"""The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland."" [GOC:dph]"	71	107	4	17376	0.0373831775700934	0.056338028169014	query_1	['GO:0002065']	['AKT1', 'WDR77', 'CTNNB1', 'RARA']
1023	GO:BP	GO:0060761	negative regulation of response to cytokine stimulus	0.004862749469165	True	"""Any process that decreases the rate, frequency, or extent of a response to cytokine stimulus."" [GOC:BHF, GOC:dph, GOC:tb]"	71	107	4	17376	0.0373831775700934	0.056338028169014	query_1	['GO:0034097', 'GO:0048585', 'GO:0060759']	['NR1H2', 'NR1H3', 'RNF113A', 'GPS2']
1024	GO:BP	GO:1902532	negative regulation of intracellular signal transduction	0.0049013262464396	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	496	107	10	17376	0.0934579439252336	0.0201612903225806	query_1	['GO:0009968', 'GO:0035556', 'GO:1902531']	['AKT1', 'HDAC1', 'SMAD4', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'ESR1', 'FOXO1', 'KDM1A']
1025	GO:BP	GO:0060603	mammary gland duct morphogenesis	0.0049770691556588	True	"""The process in which anatomical structures of the mammary ducts are generated and organized. Mammary ducts are epithelial tubes that transport milk."" [GOC:dph, PMID:17120154]"	32	107	3	17376	0.02803738317757	0.09375	query_1	['GO:0060443', 'GO:0060562', 'GO:0061180']	['AR', 'ESR1', 'PML']
1026	GO:BP	GO:0050685	positive regulation of mRNA processing	0.0049770691556588	True	"""Any process that activates or increases the frequency, rate or extent of mRNA processing."" [GOC:ai]"	32	107	3	17376	0.02803738317757	0.09375	query_1	['GO:0006397', 'GO:0050684', 'GO:1903313']	['WDR77', 'PRMT5', 'CLNS1A']
1027	GO:BP	GO:0006793	phosphorus metabolic process	0.0049869073718382	True	"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4)."" [GOC:ai]"	2632	107	29	17376	0.2710280373831775	0.0110182370820668	query_1	['GO:0044237']	['CCNT1', 'AKT1', 'CDK7', 'NR1H2', 'CCNT2', 'GTF2H1', 'CDK9', 'NR1H3', 'AR', 'CCNK', 'CCNH', 'SMAD2', 'DAXX', 'CTDP1', 'SMAD4', 'MECP2', 'HDAC3', 'MNAT1', 'CDK13', 'TBP', 'KAT2B', 'PDE8A', 'RARA', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'HEXIM1', 'HIPK2']
1028	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	0.0049949078510199	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]"	682	107	12	17376	0.1121495327102803	0.0175953079178885	query_1	['GO:0009057']	['UBE2I', 'AKT1', 'SMURF2', 'CTNNB1', 'TBL1X', 'SUMO1', 'RNF26', 'SUMO2', 'TBL1XR1', 'PML', 'SMARCC1', 'HIPK2']
1029	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	0.0050251531765628	True	Mitotic G1 phase and G1/S transition	147	107	5	17376	0.0467289719626168	0.0340136054421768	query_1	['REAC:R-HSA-69278']	['AKT1', 'CDK7', 'HDAC1', 'CCNH', 'MNAT1']
1030	REAC	REAC:R-HSA-5362517	Signaling by Retinoic Acid	0.0050627195581876	True	Signaling by Retinoic Acid	42	107	3	17376	0.02803738317757	0.0714285714285714	query_1	['REAC:R-HSA-9006931']	['RXRA', 'RXRB', 'RARA']
1031	REAC	REAC:R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	0.0050627195581876	True	Deactivation of the beta-catenin transactivating complex	42	107	3	17376	0.02803738317757	0.0714285714285714	query_1	['REAC:R-HSA-201681']	['AKT1', 'CTNNB1', 'HDAC1']
1032	GO:BP	GO:1904179	positive regulation of adipose tissue development	0.0050724158977675	True	"""Any process that activates or increases the frequency, rate or extent of adipose tissue development."" [GO_REF:0000058, GOC:TermGenie, PMID:23081848]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0051094', 'GO:0051240', 'GO:0060612', 'GO:1904177']	['NCOA2', 'NCOA1']
1033	GO:BP	GO:0002009	morphogenesis of an epithelium	0.0050724158977675	True	"""The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."" [GOC:dph, GOC:jl, GOC:tb, ISBN:0198506732]"	499	107	10	17376	0.0934579439252336	0.0200400801603206	query_1	['GO:0048729', 'GO:0060429']	['SMURF2', 'CTNNB1', 'AR', 'SMAD4', 'SKI', 'ESR1', 'RARA', 'FOXH1', 'SMAD3', 'PML']
1034	GO:BP	GO:0032909	regulation of transforming growth factor beta2 production	0.0050724158977675	True	"""Any process that modulates the frequency, rate, or extent of production of transforming growth factor-beta2."" [GOC:mah]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0032906', 'GO:0071634']	['SMAD4', 'SMAD3']
1035	GO:BP	GO:0045898	regulation of RNA polymerase II transcription preinitiation complex assembly	0.0050724158977675	True	"""Any process that modulates the frequency, rate or extent of RNA polymerase II transcriptional preinitiation complex assembly."" [GOC:go_curators]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0043254', 'GO:0051123', 'GO:0060260']	['ESR1', 'TP53']
1036	GO:BP	GO:2001187	positive regulation of CD8-positive, alpha-beta T cell activation	0.0050724158977675	True	"""Any process that activates or increases the frequency, rate or extent of CD8-positive, alpha-beta T cell activation."" [GOC:obol]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0036037', 'GO:0046635', 'GO:2001185']	['CBFB', 'RUNX1']
1037	GO:BP	GO:0003140	determination of left/right asymmetry in lateral mesoderm	0.0050724158977675	True	"""The establishment of the lateral mesoderm with respect to the left and right halves."" [GOC:mtg_heart]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0007368', 'GO:0048368']	['SMAD2', 'FOXH1']
1038	GO:BP	GO:2000726	negative regulation of cardiac muscle cell differentiation	0.0050724158977675	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of cardiac muscle cell differentiation."" [GOC:BHF]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0051154', 'GO:0055007', 'GO:1905208', 'GO:2000725']	['SMAD4', 'HDAC3']
1039	GO:BP	GO:0009756	carbohydrate mediated signaling	0.0050724158977675	True	"""The series of molecular signals mediated by the detection of carbohydrate."" [GOC:sm]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0007165', 'GO:0071322']	['SMARCA4', 'SMARCB1']
1040	GO:BP	GO:0031507	heterochromatin formation	0.0050724158977675	True	"""An epigenetic gene silencing mechanism in which chromatin is compacted into heterochromatin, resulting in a chromatin conformation refractory to transcription. This process starts with heterochromatin nucleation, its spreading, and ends with heterochromatin boundary formation."" [PMID:25192661, PMID:33827924]"	72	107	4	17376	0.0373831775700934	0.0555555555555555	query_1	['GO:0045814', 'GO:0070828']	['HDAC1', 'SIN3A', 'MECP2', 'KDM1A']
1041	GO:BP	GO:0032906	transforming growth factor beta2 production	0.0050724158977675	True	"""The appearance of transforming growth factor-beta2 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]"	8	107	2	17376	0.0186915887850467	0.25	query_1	['GO:0071604']	['SMAD4', 'SMAD3']
1042	GO:BP	GO:0045598	regulation of fat cell differentiation	0.0050724158977675	True	"""Any process that modulates the frequency, rate or extent of adipocyte differentiation."" [GOC:go_curators]"	124	107	5	17376	0.0467289719626168	0.0403225806451612	query_1	['GO:0045444', 'GO:0045595']	['AKT1', 'CARM1', 'GPS2', 'FOXO1', 'SMAD3']
1043	GO:BP	GO:0031668	cellular response to extracellular stimulus	0.005109193089397	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:mah]"	256	107	7	17376	0.0654205607476635	0.02734375	query_1	['GO:0007154', 'GO:0009991', 'GO:0051716', 'GO:0071496']	['RXRA', 'FOXO3', 'RXRB', 'SP1', 'FOXO1', 'TP53', 'NCOA1']
1044	GO:BP	GO:0045859	regulation of protein kinase activity	0.0051119564751431	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	591	107	11	17376	0.102803738317757	0.0186125211505922	query_1	['GO:0001932', 'GO:0043549']	['CCNT1', 'AKT1', 'CDK7', 'CCNT2', 'GTF2H1', 'CCNK', 'CCNH', 'DAXX', 'MNAT1', 'KAT2B', 'HEXIM1']
1045	REAC	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	0.0051169095213773	True	PI3K/AKT Signaling in Cancer	89	107	4	17376	0.0373831775700934	0.0449438202247191	query_1	['REAC:R-HSA-5663202']	['AKT1', 'FOXO3', 'ESR1', 'FOXO1']
1046	GO:BP	GO:0032872	regulation of stress-activated MAPK cascade	0.005186629724865	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the stress-activated MAPK cascade."" [GOC:mah]"	187	107	6	17376	0.0560747663551401	0.0320855614973262	query_1	['GO:0043408', 'GO:0051403', 'GO:0070302']	['PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'FOXO1', 'HIPK2']
1047	GO:BP	GO:0045922	negative regulation of fatty acid metabolic process	0.0053118120263358	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving fatty acids."" [GOC:go_curators]"	33	107	3	17376	0.02803738317757	0.0909090909090909	query_1	['GO:0006631', 'GO:0019217', 'GO:0031324', 'GO:0045833', 'GO:0062014']	['AKT1', 'NCOR1', 'BRCA1']
1048	GO:BP	GO:0060251	regulation of glial cell proliferation	0.0053118120263358	True	"""Any process that modulates the frequency, rate or extent of glial cell proliferation."" [GOC:dph, GOC:tb]"	33	107	3	17376	0.02803738317757	0.0909090909090909	query_1	['GO:0014009', 'GO:0042127']	['MECP2', 'SKI', 'TP53']
1049	GO:BP	GO:0030163	protein catabolic process	0.0053477343861122	True	"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]"	992	107	15	17376	0.1401869158878504	0.0151209677419354	query_1	['GO:0009057', 'GO:0019538', 'GO:1901565']	['UBE2I', 'AKT1', 'SMURF2', 'CTNNB1', 'TBL1X', 'SUMO1', 'RNF26', 'SMAD4', 'SUMO2', 'FOXO1', 'TBL1XR1', 'SMAD3', 'PML', 'SMARCC1', 'HIPK2']
1050	REAC	REAC:R-HSA-4615885	SUMOylation of DNA replication proteins	0.0053529579174973	True	SUMOylation of DNA replication proteins	43	107	3	17376	0.02803738317757	0.0697674418604651	query_1	['REAC:R-HSA-3108232']	['UBE2I', 'SUMO1', 'SUMO2']
1051	REAC	REAC:R-HSA-4570464	SUMOylation of RNA binding proteins	0.0053529579174973	True	SUMOylation of RNA binding proteins	43	107	3	17376	0.02803738317757	0.0697674418604651	query_1	['REAC:R-HSA-3108232']	['UBE2I', 'SUMO1', 'SUMO2']
1052	GO:BP	GO:0009880	embryonic pattern specification	0.0054939394095979	True	"""The process that results in the patterns of cell differentiation that will arise in an embryo."" [GOC:go_curators, ISBN:0521436125]"	74	107	4	17376	0.0373831775700934	0.054054054054054	query_1	['GO:0007389', 'GO:0009790']	['CTNNB1', 'SMAD2', 'SMAD4', 'SMAD3']
1053	GO:BP	GO:0002376	immune system process	0.0055460969145637	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2399	107	27	17376	0.2523364485981308	0.0112546894539391	query_1	['GO:0008150']	['AKT1', 'CREBBP', 'CBFB', 'FOXO3', 'NR1H2', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'NR1H3', 'SMARCB1', 'RUNX1', 'EP300', 'PRMT1', 'GPS2', 'SMARCC2', 'ESR1', 'RARA', 'POU2F2', 'TP53', 'SMAD3', 'PML', 'ERCC2', 'SMARCC1', 'HEXIM1', 'SKIL', 'HIPK2']
1054	GO:BP	GO:0042770	signal transduction in response to DNA damage	0.0055744440867885	True	"""A cascade of processes induced by the detection of DNA damage within a cell."" [GOC:go_curators]"	190	107	6	17376	0.0560747663551401	0.031578947368421	query_1	['GO:0006974', 'GO:0035556']	['DDX5', 'BRCA1', 'TP53', 'PML', 'KDM1A', 'HIPK2']
1055	GO:BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.0055744440867885	True	"""Any process that modulates the frequency, rate or extent of signaling via a stress-activated protein kinase signaling cascade."" [GOC:mah]"	190	107	6	17376	0.0560747663551401	0.031578947368421	query_1	['GO:0031098', 'GO:0080135', 'GO:1902531']	['PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'FOXO1', 'HIPK2']
1056	GO:BP	GO:0032868	response to insulin	0.0056347092727851	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	261	107	7	17376	0.0654205607476635	0.0268199233716475	query_1	['GO:0043434']	['AKT1', 'NCOA2', 'SP1', 'KAT2B', 'FOXO1', 'SMARCC1', 'NCOA1']
1057	GO:BP	GO:0006508	proteolysis	0.0056687608149089	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1670	107	21	17376	0.1962616822429906	0.0125748502994011	query_1	['GO:0019538']	['UBE2I', 'AKT1', 'SMURF2', 'NR1H2', 'CTNNB1', 'HDAC1', 'TBL1X', 'NR1H3', 'SUMO1', 'RNF26', 'RUNX1', 'SUMO2', 'BRCA1', 'KAT2B', 'TBL1XR1', 'TP53', 'SMAD3', 'PML', 'HDAC2', 'SMARCC1', 'HIPK2']
1058	REAC	REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	0.0057046316021318	True	Regulation of TP53 Activity through Phosphorylation	92	107	4	17376	0.0373831775700934	0.0434782608695652	query_1	['REAC:R-HSA-5633007']	['BRCA1', 'TBP', 'TP53', 'HIPK2']
1059	GO:BP	GO:0090077	foam cell differentiation	0.0057111729569008	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions."" [GOC:add, GOC:BHF, GOC:dph, GOC:tb]"	34	107	3	17376	0.02803738317757	0.088235294117647	query_1	['GO:0030154']	['NR1H2', 'NR1H3', 'EP300']
1060	GO:BP	GO:0010742	macrophage derived foam cell differentiation	0.0057111729569008	True	"""The process in which a monocyte acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions."" [GOC:add, GOC:dph, GOC:tb]"	34	107	3	17376	0.02803738317757	0.088235294117647	query_1	['GO:0090077']	['NR1H2', 'NR1H3', 'EP300']
1061	GO:BP	GO:0071479	cellular response to ionizing radiation	0.0057111729569008	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]"	75	107	4	17376	0.0373831775700934	0.0533333333333333	query_1	['GO:0010212', 'GO:0071478']	['BRCA1', 'GTF2H5', 'TP53', 'KDM1A']
1062	GO:BP	GO:0045943	positive regulation of transcription by RNA polymerase I	0.0057111729569008	True	"""Any process that activates or increases the frequency, rate or extent of transcription mediated by RNA polymerase I."" [GOC:go_curators, GOC:txnOH]"	34	107	3	17376	0.02803738317757	0.088235294117647	query_1	['GO:0006356', 'GO:0006360', 'GO:0045893']	['CARM1', 'SMARCA4', 'SMARCB1']
1063	GO:BP	GO:0048729	tissue morphogenesis	0.0059630470508638	True	"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]"	604	107	11	17376	0.102803738317757	0.0182119205298013	query_1	['GO:0009653', 'GO:0009888']	['SMURF2', 'CTNNB1', 'AR', 'SMAD2', 'SMAD4', 'SKI', 'ESR1', 'RARA', 'FOXH1', 'SMAD3', 'PML']
1064	GO:BP	GO:0016055	Wnt signaling pathway	0.0061043293296145	True	"""The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell and ending with a change in cell state."" [GOC:dph, GOC:go_curators, PMID:11532397]"	426	107	9	17376	0.0841121495327102	0.0211267605633802	query_1	['GO:0198738', 'GO:1905114']	['SMURF2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'TBL1X', 'SKI', 'FOXO1', 'TBL1XR1', 'SMAD3']
1065	GO:BP	GO:0035556	intracellular signal transduction	0.0061735617660071	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	107	28	17376	0.2616822429906542	0.0109976433621366	query_1	['GO:0007165']	['UBE2I', 'AKT1', 'CTNNB1', 'DDX5', 'HDAC1', 'AR', 'SMAD2', 'DAXX', 'SMAD9', 'SMAD4', 'EP300', 'PRMT5', 'PRMT1', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'BRCA1', 'ESR1', 'FOXO1', 'PDE8A', 'TP53', 'SMAD3', 'PML', 'KDM1A', 'HEXIM1', 'SKIL', 'HIPK2']
1066	GO:BP	GO:0051006	positive regulation of lipoprotein lipase activity	0.0062810437337678	True	"""Any process that activates or increases the activity of the enzyme lipoprotein lipase."" [GOC:ai]"	9	107	2	17376	0.0186915887850467	0.2222222222222222	query_1	['GO:0051004', 'GO:0061365']	['NR1H2', 'NR1H3']
1067	GO:BP	GO:0014745	negative regulation of muscle adaptation	0.0062810437337678	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of muscle adaptation."" [GOC:mtg_muscle]"	9	107	2	17376	0.0186915887850467	0.2222222222222222	query_1	['GO:0043500', 'GO:0043502', 'GO:0048585', 'GO:0051241']	['FOXO1', 'SMAD3']
1068	GO:BP	GO:1901838	positive regulation of transcription of nucleolar large rRNA by RNA polymerase I	0.0062810437337678	True	"""Any process that activates or increases the frequency, rate or extent of transcription of nuclear large rRNA mediated by RNA polymerase I."" [GOC:sart, GOC:TermGenie]"	9	107	2	17376	0.0186915887850467	0.2222222222222222	query_1	['GO:0042790', 'GO:0045943', 'GO:1901836']	['SMARCA4', 'SMARCB1']
1069	GO:BP	GO:0042118	endothelial cell activation	0.0062810437337678	True	"""The change in morphology and behavior of an endothelial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149, PMID:12851652, PMID:14581484]"	9	107	2	17376	0.0186915887850467	0.2222222222222222	query_1	['GO:0001775']	['SMAD4', 'PRMT5']
1070	GO:BP	GO:0198738	cell-cell signaling by wnt	0.0062810437337678	True	"""Any process that mediates the transfer of information from one cell to another, medaited by a wnt family protein ligand. This process includes wnt signal transduction in the receiving cell, release of wnt ligand from a secreting cell as well as any processes that actively facilitate wnt transport and presentation to receptor on the recieving cell."" [GOC:dos]"	428	107	9	17376	0.0841121495327102	0.0210280373831775	query_1	['GO:0007267']	['SMURF2', 'CTNNB1', 'HDAC1', 'SMARCA4', 'TBL1X', 'SKI', 'FOXO1', 'TBL1XR1', 'SMAD3']
