Branchioskeletogenital syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
384	GO:BP	GO:1903708	positive regulation of hemopoiesis	1.9226689044349147e-06	True	"""Any process that activates or increases the frequency, rate or extent of hemopoiesis."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]"	178	99	10	15719	0.101010101010101	0.0561797752808988	query_1	['GO:0002684', 'GO:0010720', 'GO:0030097', 'GO:0051240', 'GO:1903706']	['CBFB', 'FOXO3', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'NOTCH2', 'SMARCC2', 'RARA', 'SMARCC1']
383	GO:BP	GO:1902107	positive regulation of leukocyte differentiation	1.9226689044349147e-06	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte differentiation."" [GOC:add, GOC:TermGenie]"	178	99	10	15719	0.101010101010101	0.0561797752808988	query_1	['GO:0002521', 'GO:1902105', 'GO:1903708']	['CBFB', 'FOXO3', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'NOTCH2', 'SMARCC2', 'RARA', 'SMARCC1']
385	GO:BP	GO:0034969	histone arginine methylation	1.98197210463248e-06	True	"""The modification of a histone by addition of a methyl group to an arginine residue."" [GOC:mah]"	9	99	4	15719	0.0404040404040404	0.4444444444444444	query_1	['GO:0016571', 'GO:0018216']	['WDR77', 'COPRS', 'PRMT5', 'CLNS1A']
386	GO:BP	GO:0007440	foregut morphogenesis	1.98197210463248e-06	True	"""The process in which the anatomical structures of the foregut are generated and organized."" [GOC:jid]"	9	99	4	15719	0.0404040404040404	0.4444444444444444	query_1	['GO:0009653', 'GO:0048546']	['CTNNB1', 'SMAD2', 'NOTCH1', 'SMAD3']
387	GO:BP	GO:1901342	regulation of vasculature development	2.0403573746160205e-06	True	"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]"	280	99	12	15719	0.1212121212121212	0.0428571428571428	query_1	['GO:0001944', 'GO:2000026']	['SMAD1', 'ADAM10', 'STAT3', 'CTNNB1', 'DLL1', 'SIRT1', 'RUNX1', 'MECP2', 'SP1', 'CDH5', 'HIPK2', 'JUP']
32	GO:CC	GO:0070161	anchoring junction	2.09761704531775e-06	True	"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]"	855	100	20	16420	0.2	0.023391812865497	query_1	['GO:0030054']	['AKT1', 'ADAM10', 'SRC', 'PIK3R1', 'CTNNB1', 'NCSTN', 'CDH11', 'DLL1', 'CTNNA1', 'EGFR', 'NOTCH1', 'CDH2', 'CDH1', 'ARHGAP26', 'CTNNA2', 'APP', 'CTNND1', 'CDH5', 'CDH10', 'JUP']
388	GO:BP	GO:0030155	regulation of cell adhesion	2.104834171638833e-06	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	99	19	15719	0.1919191919191919	0.0252324037184594	query_1	['GO:0007155', 'GO:0050794']	['AKT1', 'CBFB', 'ADAM10', 'SRC', 'PIK3R1', 'FOXO3', 'SMARCA4', 'SMARCA2', 'DLL1', 'CBLL1', 'SMARCB1', 'NOTCH1', 'RUNX1', 'SMARCC2', 'CDH1', 'RARA', 'SMAD3', 'SMARCC1', 'JUP']
389	GO:BP	GO:1902531	regulation of intracellular signal transduction	2.122378240184549e-06	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1654	99	29	15719	0.2929292929292929	0.0175332527206771	query_1	['GO:0009966', 'GO:0035556']	['UBE2I', 'AKT1', 'SRC', 'PSEN1', 'CTNNB1', 'HDAC1', 'AR', 'WWTR1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'ARHGAP10', 'CDH2', 'EP300', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'ESR1', 'ARHGAP26', 'FOXO1', 'PDE8A', 'APP', 'TP53', 'KDM1A', 'SKIL', 'HIPK2']
390	GO:BP	GO:0030177	positive regulation of Wnt signaling pathway	2.1344661958502427e-06	True	"""Any process that activates or increases the frequency, rate or extent of Wnt signal transduction."" [GOC:dph, GOC:go_curators, GOC:tb]"	137	99	9	15719	0.0909090909090909	0.0656934306569343	query_1	['GO:0009967', 'GO:0016055', 'GO:0030111']	['SRC', 'SMARCA4', 'TBL1X', 'EGFR', 'RBPJ', 'SKI', 'TBL1XR1', 'SMAD3', 'JUP']
391	GO:BP	GO:0051147	regulation of muscle cell differentiation	2.1344661958502427e-06	True	"""Any process that modulates the frequency, rate or extent of muscle cell differentiation."" [CL:0000187, GOC:ai]"	137	99	9	15719	0.0909090909090909	0.0656934306569343	query_1	['GO:0042692', 'GO:0045595']	['SMAD1', 'MAML1', 'KAT2A', 'DLL1', 'SIRT1', 'SMAD4', 'NOTCH1', 'MECP2', 'HDAC3']
98	REAC	REAC:R-HSA-1500931	Cell-Cell communication	2.1466916118378506e-06	True	Cell-Cell communication	123	98	10	10022	0.1020408163265306	0.08130081300813	query_1	['REAC:0000000']	['PIK3R1', 'CTNNB1', 'CDH11', 'CTNNA1', 'CDH2', 'CDH1', 'CTNND1', 'CDH5', 'CDH10', 'JUP']
99	REAC	REAC:R-HSA-205043	NRIF signals cell death from the nucleus	2.274789407725201e-06	True	NRIF signals cell death from the nucleus	16	98	5	10022	0.0510204081632653	0.3125	query_1	['REAC:R-HSA-204998']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
392	GO:BP	GO:2000629	negative regulation of miRNA metabolic process	2.31484691103983e-06	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]"	22	99	5	15719	0.0505050505050505	0.2272727272727272	query_1	['GO:0010586', 'GO:0051253', 'GO:2000628']	['REST', 'NCOR2', 'NCOR1', 'ESR1', 'RARA']
393	GO:BP	GO:0097150	neuronal stem cell population maintenance	2.31484691103983e-06	True	"""Any process in by an organism or tissue maintains a population of neuronal stem cells."" [CL:0000047, GOC:dos, GOC:yaf, PMID:11399758]"	22	99	5	15719	0.0505050505050505	0.2272727272727272	query_1	['GO:0019827']	['REST', 'DLL1', 'NOTCH1', 'CDH2', 'FOXO1']
394	GO:BP	GO:0031667	response to nutrient levels	2.438501223128771e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]"	469	99	15	15719	0.1515151515151515	0.0319829424307036	query_1	['GO:0009991']	['RXRA', 'AKT1', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'RXRB', 'SIRT1', 'SNW1', 'SP1', 'FOXO1', 'RARA', 'TBL1XR1', 'TP53', 'NCOA1']
33	GO:CC	GO:0032444	activin responsive factor complex	2.454930411766015e-06	True	"""A transcriptionally active complex that binds to an activin response element (ARE) in the promoter of target genes, and is composed of two SMAD2 proteins, one SMAD4 protein and a Forkhead activin signal transducer (FAST) transcription factor."" [PMID:12374795, PMID:9288972]"	3	100	3	16420	0.03	1.0	query_1	['GO:0090575']	['SMAD2', 'SMAD4', 'FOXH1']
34	GO:CC	GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	2.454930411766015e-06	True	"""A protein complex that consists of the intracellular domain of Notch1 (ICN1), the DNA-binding transcription factor RBP-Jkappa, and the transcriptional coactivator Mastermind-like-1 (MAML1); the complex is involved in transcriptional activation in response to Notch-mediated signaling."" [CORUM:2949, PMID:16510869]"	3	100	3	16420	0.03	1.0	query_1	['GO:0032991']	['MAML1', 'NOTCH1', 'RBPJ']
395	GO:BP	GO:0065008	regulation of biological quality	2.529026753079107e-06	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2763	99	39	15719	0.3939393939393939	0.014115092290988	query_1	['GO:0065007']	['REST', 'AKT1', 'CREBBP', 'ADAM10', 'SRC', 'PSEN1', 'PIK3R1', 'KAT2A', 'NR1H2', 'CTNNB1', 'NCSTN', 'KMT2A', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'SIRT1', 'SMAD4', 'CDH2', 'EP300', 'MECP2', 'HDAC3', 'CDH1', 'ESR1', 'CTNNA2', 'FOXO1', 'RARA', 'APP', 'CTNND1', 'CLNS1A', 'TP53', 'CDH5', 'SMAD3', 'KDM1A', 'JUP']
396	GO:BP	GO:0061198	fungiform papilla formation	2.571829096171823e-06	True	"""The developmental process pertaining to the initial formation of a spongiform papilla from unspecified parts. The fungiform papilla is a mushroom-shaped papilla of the tongue."" [GOC:dph]"	3	99	3	15719	0.0303030303030303	1.0	query_1	['GO:0048646', 'GO:0061197']	['CTNNB1', 'HDAC1', 'HDAC2']
397	GO:BP	GO:0009605	response to external stimulus	2.5838377989563576e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2649	99	38	15719	0.3838383838383838	0.0143450358625896	query_1	['GO:0050896']	['RXRA', 'NOTCH3', 'AKT1', 'CREBBP', 'ADAM10', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'CTNNB1', 'FOXG1', 'SIN3A', 'RXRB', 'NR1H3', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'CDH1', 'SNW1', 'SP1', 'ESR1', 'CTNNA2', 'FOXO1', 'RARA', 'APP', 'TBL1XR1', 'TP53', 'CDH5', 'SMAD3', 'HDAC2', 'NCOA1', 'JUP']
35	GO:CC	GO:0098797	plasma membrane protein complex	2.655496200883558e-06	True	"""Any protein complex that is part of the plasma membrane."" [GOC:dos]"	632	100	17	16420	0.17	0.0268987341772151	query_1	['GO:0005886', 'GO:0098796']	['PSEN1', 'APH1B', 'CTNNB1', 'NCSTN', 'CDH11', 'PSENEN', 'CTNNA1', 'SUMO1', 'EGFR', 'CDH2', 'APH1A', 'CDH1', 'CTNNA2', 'CTNND1', 'CDH5', 'CDH10', 'JUP']
398	GO:BP	GO:0048863	stem cell differentiation	2.7641249096209204e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [CL:0000034, GOC:isa_complete]"	235	99	11	15719	0.1111111111111111	0.0468085106382978	query_1	['GO:0030154']	['REST', 'STAT3', 'CTNNB1', 'HDAC1', 'SMAD4', 'NOTCH1', 'CDH2', 'RBPJ', 'ESR1', 'TP53', 'HDAC2']
36	GO:CC	GO:0140092	bBAF complex	2.801482173972465e-06	True	"""A brain-specific SWI/SNF-type complex that contains eight or nine proteins, including both conserved (core) and nonconserved components; contains the ATPase product of either the SMARCA4/BAF190A/BRG1 gene, the mammalian ortholog of the yeast SNF2 gene, or the SMARCA2/BAF190B/BRM gene, the mammalian ortholog of the Drosophila brm (brahma) gene, or an ortholog of either of these genes. Compared to the neuron-specific nBAF complex (GO:0071565) it does not contain DPF1, DPF3 or SMARCC1 or their orthologs. May contain PB1/BAF180."" [GOC:bhm, PMID:12368262, PMID:12620226, PMID:15525990, PMID:17640523, PMID:17920018, PMID:8804307, PMID:8895581]"	10	100	4	16420	0.04	0.4	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2']
37	GO:CC	GO:0005622	intracellular anatomical structure	2.820465891672674e-06	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13702	100	99	16420	0.99	0.0072252225952415	query_1	['GO:0110165']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CDK8', 'CREBBP', 'CBFB', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'COPRS', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'CDH11', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'CBLL1', 'AR', 'WWTR1', 'PSENEN', 'CTNNA1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'ARHGAP10', 'RUNX1', 'CDH2', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'ARHGAP26', 'CTNNA2', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CTNND1', 'CLNS1A', 'TBL1XR1', 'TP53', 'PKN3', 'CDH5', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'JUP', 'C2CD2']
399	GO:BP	GO:0006950	response to stress	2.8265046668716835e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	99	47	15719	0.4747474747474747	0.0124867162592986	query_1	['GO:0050896']	['SMAD1', 'REST', 'AKT1', 'CREBBP', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'FOXO3', 'NR1H2', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'NR1H3', 'CTNNA1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'APP', 'TP53', 'CDH5', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'HIPK2']
402	GO:BP	GO:0034205	amyloid-beta formation	2.827052776612881e-06	True	"""The generation of amyloid-beta by cleavage of the amyloid precursor protein (APP)."" [GOC:mah]"	43	99	6	15719	0.0606060606060606	0.1395348837209302	query_1	['GO:0042987', 'GO:0050435']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A', 'SP1']
401	GO:BP	GO:0034968	histone lysine methylation	2.827052776612881e-06	True	"""The modification of a histone by addition of one or more methyl groups to a lysine residue."" [GOC:mah, GOC:pr]"	103	99	8	15719	0.0808080808080808	0.0776699029126213	query_1	['GO:0016571', 'GO:0018022']	['CTNNB1', 'KMT2A', 'SMARCB1', 'SIRT1', 'SMAD4', 'MECP2', 'SNW1', 'KDM1A']
400	GO:BP	GO:1902692	regulation of neuroblast proliferation	2.827052776612881e-06	True	"""Any process that modulates the frequency, rate or extent of neuroblast proliferation."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:21168496]"	43	99	6	15719	0.0606060606060606	0.1395348837209302	query_1	['GO:0007405', 'GO:2000177']	['CTNNB1', 'FOXG1', 'CTNNA1', 'NOTCH1', 'TP53', 'KDM1A']
403	GO:BP	GO:0035556	intracellular signal transduction	2.8517290117354533e-06	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	99	37	15719	0.3737373737373737	0.0145383104125736	query_1	['GO:0007165']	['SMAD1', 'UBE2I', 'AKT1', 'SRC', 'PSEN1', 'PIK3R1', 'CTNNB1', 'HDAC1', 'AR', 'WWTR1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'ARHGAP10', 'CDH2', 'EP300', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'ESR1', 'ARHGAP26', 'FOXO1', 'PDE8A', 'APP', 'TP53', 'PKN3', 'SMAD3', 'KDM1A', 'SKIL', 'HIPK2']
404	GO:BP	GO:0035357	peroxisome proliferator activated receptor signaling pathway	2.8632006943099003e-06	True	"""The series of molecular signals initiated by binding of a ligand to any of the peroxisome proliferator activated receptors (alpha, beta or gamma) in the nuclear membrane, and ending with the initiation or termination of the transcription of target genes."" [GOC:BHF, PMID:18221086]"	23	99	5	15719	0.0505050505050505	0.217391304347826	query_1	['GO:0030522']	['RXRA', 'NCOA2', 'SIRT1', 'GPS2', 'NCOA1']
405	GO:BP	GO:0035108	limb morphogenesis	2.965091085171793e-06	True	"""The process in which the anatomical structures of a limb are generated and organized. A limb is a paired appendage of a tetrapod used for locomotion or grasping."" [UBERON:0002101]"	143	99	9	15719	0.0909090909090909	0.0629370629370629	query_1	['GO:0035107', 'GO:0060173']	['CREBBP', 'PSEN1', 'CTNNB1', 'HDAC1', 'SMAD4', 'NOTCH1', 'NOTCH2', 'SKI', 'HDAC2']
406	GO:BP	GO:0035107	appendage morphogenesis	2.965091085171793e-06	True	"""The process in which the anatomical structures of appendages are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [ISBN:0582227089]"	143	99	9	15719	0.0909090909090909	0.0629370629370629	query_1	['GO:0009653', 'GO:0048736']	['CREBBP', 'PSEN1', 'CTNNB1', 'HDAC1', 'SMAD4', 'NOTCH1', 'NOTCH2', 'SKI', 'HDAC2']
407	GO:BP	GO:0001708	cell fate specification	3.0069475777231163e-06	True	"""The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate."" [GOC:go_curators]"	104	99	8	15719	0.0808080808080808	0.0769230769230769	query_1	['GO:0045165', 'GO:0048869']	['PSEN1', 'CTNNB1', 'HDAC1', 'DLL1', 'AR', 'NOTCH1', 'RBPJ', 'HDAC2']
408	GO:BP	GO:2000146	negative regulation of cell motility	3.0404505902827507e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell motility."" [GOC:mah]"	292	99	12	15719	0.1212121212121212	0.0410958904109589	query_1	['GO:0040013', 'GO:0048523', 'GO:0048870', 'GO:2000145']	['AKT1', 'STAT3', 'FOXO3', 'HDAC1', 'CDH11', 'SIN3A', 'CTNNA1', 'NOTCH1', 'MECP2', 'CDH1', 'HDAC2', 'JUP']
411	GO:BP	GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development	3.087850132558753e-06	True	"""Any process that modulates the rate, frequency or extent of epithelial cell proliferation that contributes to the progression of the prostate gland over time."" [GOC:dph]"	10	99	4	15719	0.0404040404040404	0.4	query_1	['GO:0050678', 'GO:0060767', 'GO:2000241']	['WDR77', 'CTNNB1', 'AR', 'NOTCH1']
409	GO:BP	GO:0045862	positive regulation of proteolysis	3.087850132558753e-06	True	"""Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:go_curators]"	351	99	13	15719	0.1313131313131313	0.037037037037037	query_1	['GO:0006508', 'GO:0030162', 'GO:0051247']	['REST', 'AKT1', 'SRC', 'PSEN1', 'STAT3', 'APH1B', 'NCSTN', 'PSENEN', 'SUMO1', 'SIRT1', 'APH1A', 'SMAD3', 'HDAC2']
410	GO:BP	GO:0032259	methylation	3.087850132558753e-06	True	"""The process in which a methyl group is covalently attached to a molecule."" [GOC:mah]"	351	99	13	15719	0.1313131313131313	0.037037037037037	query_1	['GO:0008152']	['WDR77', 'COPRS', 'CTNNB1', 'KMT2A', 'CBLL1', 'SMARCB1', 'SIRT1', 'SMAD4', 'MECP2', 'PRMT5', 'SNW1', 'CLNS1A', 'KDM1A']
412	GO:BP	GO:0002067	glandular epithelial cell differentiation	3.094938108540772e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland."" [GOC:dph]"	71	99	7	15719	0.0707070707070707	0.0985915492957746	query_1	['GO:0002065']	['AKT1', 'WDR77', 'CTNNB1', 'DLL1', 'NOTCH1', 'CDH2', 'RARA']
413	GO:BP	GO:0001822	kidney development	3.351432665596805e-06	True	"""The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine."" [GOC:dph, GOC:mtg_kidney_jan10, ISBN:0124020607, ISBN:0721662544]"	295	99	12	15719	0.1212121212121212	0.0406779661016949	query_1	['GO:0048513', 'GO:0072001']	['SMAD1', 'NOTCH3', 'CTNNB1', 'DLL1', 'WWTR1', 'SMAD2', 'SMAD4', 'NOTCH1', 'NOTCH2', 'APH1A', 'RARA', 'SMAD3']
414	GO:BP	GO:0042982	amyloid precursor protein metabolic process	3.3942691404868484e-06	True	"""The chemical reactions and pathways involving amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."" [GOC:go_curators]"	72	99	7	15719	0.0707070707070707	0.0972222222222222	query_1	['GO:0019538']	['ADAM10', 'PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A', 'SP1']
415	GO:BP	GO:0050870	positive regulation of T cell activation	3.5560615566906927e-06	True	"""Any process that activates or increases the frequency, rate or extent of T cell activation."" [GOC:ai]"	242	99	11	15719	0.1111111111111111	0.0454545454545454	query_1	['GO:0042110', 'GO:0050863', 'GO:0051251', 'GO:1903039']	['AKT1', 'CBFB', 'SRC', 'FOXO3', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RARA', 'SMARCC1']
416	GO:BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	3.665875098350552e-06	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	107	99	8	15719	0.0808080808080808	0.0747663551401869	query_1	['GO:0006974', 'GO:0097193']	['PIK3R1', 'SIRT1', 'EP300', 'SNW1', 'TP53', 'KDM1A', 'SKIL', 'HIPK2']
417	GO:BP	GO:0045661	regulation of myoblast differentiation	3.699410767500958e-06	True	"""Any process that modulates the frequency, rate or extent of myoblast differentiation. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers."" [CL:0000056, GOC:go_curators, GOC:mtg_muscle]"	73	99	7	15719	0.0707070707070707	0.0958904109589041	query_1	['GO:0045445', 'GO:0045595']	['SMARCA4', 'SMARCA2', 'DLL1', 'SMARCB1', 'NOTCH1', 'SMARCC2', 'SMARCC1']
418	GO:BP	GO:0016071	mRNA metabolic process	3.699410767500958e-06	True	"""The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]"	706	99	18	15719	0.1818181818181818	0.0254957507082152	query_1	['GO:0016070']	['REST', 'RXRA', 'AKT1', 'WDR77', 'STAT3', 'NR1H2', 'NCOA2', 'RXRB', 'NR1H3', 'CBLL1', 'PRMT5', 'SNW1', 'RARA', 'APP', 'CLNS1A', 'TP53', 'KDM1A', 'NCOA1']
419	GO:BP	GO:0032879	regulation of localization	3.83401168002027e-06	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2021	99	32	15719	0.3232323232323232	0.0158337456704601	query_1	['GO:0050789', 'GO:0051179']	['REST', 'RXRA', 'AKT1', 'ADAM10', 'SRC', 'PSEN1', 'PIK3R1', 'NR1H2', 'CTNNB1', 'KMT2A', 'SIN3A', 'DLL1', 'NR1H3', 'CBLL1', 'AR', 'WWTR1', 'CTNNA1', 'SUMO1', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'GPS2', 'HDAC3', 'CDH1', 'KAT2B', 'FOXO1', 'APP', 'SMAD3', 'KDM1A', 'JUP']
420	GO:BP	GO:0043588	skin development	3.944499068905841e-06	True	"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]"	300	99	12	15719	0.1212121212121212	0.04	query_1	['GO:0048513']	['NCOA3', 'PSEN1', 'CTNNB1', 'HDAC1', 'DLL1', 'EGFR', 'SMAD4', 'NOTCH1', 'RBPJ', 'HDAC3', 'HDAC2', 'JUP']
421	GO:BP	GO:1901652	response to peptide	4.0984278617016725e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	491	99	15	15719	0.1515151515151515	0.0305498981670061	query_1	['GO:0010243', 'GO:1901700']	['AKT1', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'NCOA2', 'SIRT1', 'NOTCH1', 'SP1', 'KAT2B', 'FOXO1', 'APP', 'TP53', 'SMARCC1', 'NCOA1']
422	GO:BP	GO:0043543	protein acylation	4.118209046217242e-06	True	"""The addition of an acyl group, any group or radical of the form RCO- where R is an organic group, to a protein amino acid."" [GOC:jl]"	246	99	11	15719	0.1111111111111111	0.0447154471544715	query_1	['GO:0036211']	['CTBP1', 'CREBBP', 'KAT2A', 'SMARCB1', 'SIRT1', 'SMAD4', 'EP300', 'MECP2', 'KAT2B', 'FOXO1', 'HDAC2']
424	GO:BP	GO:0010875	positive regulation of cholesterol efflux	4.26532481316157e-06	True	"""Any process that increases the frequency, rate or extent of cholesterol efflux. Cholesterol efflux is the directed movement of cholesterol, cholest-5-en-3-beta-ol, out of a cell or organelle."" [GOC:BHF, GOC:dph, GOC:tb]"	25	99	5	15719	0.0505050505050505	0.2	query_1	['GO:0010874', 'GO:0032376', 'GO:0033344']	['RXRA', 'NR1H2', 'NR1H3', 'SIRT1', 'GPS2']
423	GO:BP	GO:1905207	regulation of cardiocyte differentiation	4.26532481316157e-06	True	"""Any process that modulates the frequency, rate or extent of cardiocyte differentiation."" [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:23069713]"	25	99	5	15719	0.0505050505050505	0.2	query_1	['GO:0035051', 'GO:0045595']	['KAT2A', 'DLL1', 'EGFR', 'SMAD4', 'HDAC3']
425	GO:BP	GO:0050863	regulation of T cell activation	4.371040498228508e-06	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	363	99	13	15719	0.1313131313131313	0.0358126721763085	query_1	['GO:0042110', 'GO:0051249']	['AKT1', 'CBFB', 'SRC', 'KAT2A', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RARA', 'SMARCC1']
