Autosomal dominant cutis laxa	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
71	REAC	REAC:R-HSA-202433	Generation of second messenger molecules	3.089600708831525e-07	True	Generation of second messenger molecules	35	99	7	10022	0.0707070707070707	0.2	query_1	['REAC:R-HSA-202403']	['ITK', 'PLCG2', 'LAT', 'ZAP70', 'LCP2', 'PLCG1', 'LCK']
376	GO:BP	GO:0060348	bone development	3.090297217682332e-07	True	"""The process whose specific outcome is the progression of bone over time, from its formation to the mature structure. Bone is the hard skeletal connective tissue consisting of both mineral and cellular components."" [GOC:dph]"	230	102	12	15719	0.1176470588235294	0.0521739130434782	query_1	['GO:0001501', 'GO:0048513']	['PLXNB1', 'SRC', 'TGFB3', 'TGFBR2', 'LOX', 'TGFB1', 'FBN1', 'RANBP3L', 'KDR', 'ITGB6', 'PTPN11', 'SEMA4D']
377	GO:BP	GO:0007411	axon guidance	3.391969032215231e-07	True	"""The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues."" [ISBN:0878932437]"	232	102	12	15719	0.1176470588235294	0.0517241379310344	query_1	['GO:0007409', 'GO:0097485']	['PLXNB1', 'SOS1', 'FYN', 'NRP2', 'ERBB2', 'MUSK', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'PLXNA1']
378	GO:BP	GO:0048871	multicellular organismal-level homeostasis	3.443912125775739e-07	True	"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]"	725	102	20	15719	0.196078431372549	0.0275862068965517	query_1	['GO:0032501', 'GO:0042592']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'CTNNB1', 'SOS1', 'LAT', 'LYN', 'TGFB1', 'JAM3', 'KDR', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'MFAP2', 'SH3GL2', 'ITGB6', 'PTPN11', 'JAM2']
379	GO:BP	GO:0030323	respiratory tube development	3.505101112812014e-07	True	"""The process whose specific outcome is the progression of the respiratory tube over time, from its formation to the mature structure. The respiratory tube is assumed to mean any tube in the respiratory tract."" [GOC:jid]"	187	102	11	15719	0.1078431372549019	0.0588235294117647	query_1	['GO:0035295', 'GO:0048513']	['TGFB3', 'FLT4', 'CTNNB1', 'TGFBR2', 'LOX', 'TGFB1', 'KDR', 'VEGFA', 'ITGB6', 'ITGA3', 'PDGFRA']
380	GO:BP	GO:0097485	neuron projection guidance	3.529122473540404e-07	True	"""The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]"	233	102	12	15719	0.1176470588235294	0.0515021459227467	query_1	['GO:0006935', 'GO:0031175', 'GO:0048812']	['PLXNB1', 'SOS1', 'FYN', 'NRP2', 'ERBB2', 'MUSK', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'PLXNA1']
381	GO:BP	GO:0001501	skeletal system development	3.6158293842249924e-07	True	"""The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)."" [GOC:dph, GOC:jid, GOC:tb]"	519	102	17	15719	0.1666666666666666	0.0327552986512524	query_1	['GO:0048731']	['PLXNB1', 'SRC', 'SMAD7', 'TGFB3', 'CTNNB1', 'TGFBR2', 'LOX', 'TGFB1', 'FBN1', 'RANBP3L', 'KDR', 'FBN2', 'TGFBR1', 'ITGB6', 'PTPN11', 'PDGFRA', 'SEMA4D']
72	REAC	REAC:R-HSA-9607240	FLT3 Signaling	3.752457625958259e-07	True	FLT3 Signaling	36	99	7	10022	0.0707070707070707	0.1944444444444444	query_1	['REAC:R-HSA-1280215']	['PIK3R1', 'SOS1', 'FYN', 'SYK', 'LCK', 'PTPN11', 'CBL']
31	GO:CC	GO:0031252	cell leading edge	3.815121991742095e-07	True	"""The area of a motile cell closest to the direction of movement."" [GOC:pg]"	406	103	15	16420	0.145631067961165	0.0369458128078817	query_1	['GO:0110165']	['ITGB1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'CTNNB1', 'ITGA5', 'PXN', 'EGFR', 'PLCG1', 'ERBB2', 'CDH1', 'PTK2B', 'TLN1']
383	GO:BP	GO:0072676	lymphocyte migration	4.1292609519199844e-07	True	"""The movement of a lymphocyte within or between different tissues and organs of the body."" [CL:0000542, GOC:BHF, GOC:mah]"	111	102	9	15719	0.088235294117647	0.081081081081081	query_1	['GO:0071674']	['ITGB3', 'CRK', 'ITGA4', 'ZAP70', 'MADCAM1', 'PTK2B', 'CRKL', 'ITGB7', 'JAM2']
382	GO:BP	GO:0051897	positive regulation of protein kinase B signaling	4.1292609519199844e-07	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	111	102	9	15719	0.088235294117647	0.081081081081081	query_1	['GO:0043491', 'GO:0051896', 'GO:1902533']	['MET', 'ITGB1', 'VEGFB', 'SRC', 'EGFR', 'VEGFA', 'TGFBR1', 'PTK2', 'THBS1']
384	GO:BP	GO:0050772	positive regulation of axonogenesis	4.1978239932377293e-07	True	"""Any process that activates or increases the frequency, rate or extent of axonogenesis."" [GOC:ai]"	79	102	8	15719	0.0784313725490196	0.1012658227848101	query_1	['GO:0007409', 'GO:0031346', 'GO:0050769', 'GO:0050770']	['PLXNB1', 'FN1', 'SMURF1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
385	GO:BP	GO:0010763	positive regulation of fibroblast migration	4.241041812997624e-07	True	"""Any process that increases the rate, frequency or extent of fibroblast cell migration. Fibroblast cell migration is accomplished by extension and retraction of a pseudopodium."" [GOC:BHF, GOC:dph, GOC:tb]"	16	102	5	15719	0.0490196078431372	0.3125	query_1	['GO:0010761', 'GO:0010762', 'GO:0030335']	['ITGB1', 'ITGB3', 'TGFB1', 'PTK2', 'THBS1']
386	GO:BP	GO:0032956	regulation of actin cytoskeleton organization	4.242750177746534e-07	True	"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:mah]"	342	102	14	15719	0.1372549019607843	0.0409356725146198	query_1	['GO:0030036', 'GO:0032970', 'GO:0051493']	['MET', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PXN', 'GRB2', 'TGFB1', 'JAM3', 'PTK2B', 'TGFBR1', 'NRP1', 'ELN', 'PDGFRA']
387	GO:BP	GO:0050901	leukocyte tethering or rolling	4.9891934219328e-07	True	"""Transient adhesive interactions between leukocytes and endothelial cells lining blood vessels. Carbohydrates on circulating leukocytes bind selectins on the vessel wall causing the leukocytes to slow down and roll along the inner surface of the vessel wall. During this rolling motion, transitory bonds are formed and broken between selectins and their ligands. Typically the first step in cellular extravasation (the movement of leukocytes out of the circulatory system, towards the site of tissue damage or infection)."" [GOC:bf, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538, Wikipedia:Leukocyte_extravasation]"	32	102	6	15719	0.0588235294117647	0.1875	query_1	['GO:0045123', 'GO:0061756']	['ITGB1', 'ITGA4', 'MADCAM1', 'VCAM1', 'ITGB7', 'JAM2']
388	GO:BP	GO:0001763	morphogenesis of a branching structure	4.996213356597954e-07	True	"""The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."" [ISBN:0721662544]"	194	102	11	15719	0.1078431372549019	0.056701030927835	query_1	['GO:0009653', 'GO:0032501']	['MET', 'SRC', 'HGF', 'CTNNB1', 'TGFBR2', 'GRB2', 'TGFB1', 'KDR', 'VEGFA', 'NRP1', 'PLXNA1']
73	REAC	REAC:R-HSA-1643713	Signaling by EGFR in Cancer	5.318309302385785e-07	True	Signaling by EGFR in Cancer	23	99	6	10022	0.0606060606060606	0.2608695652173913	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'CBL']
389	GO:BP	GO:0044085	cellular component biogenesis	5.738872981621436e-07	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]"	3106	102	44	15719	0.4313725490196078	0.0141661300708306	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'ITGB1', 'ITGB5', 'PLXNB1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PLCG2', 'CTNNB1', 'LRP4', 'LOX', 'ITGA5', 'PXN', 'FBLN5', 'GRB2', 'TGFB1', 'JAM3', 'KDR', 'VCL', 'SYK', 'SMURF1', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'ELN', 'PDGFRA', 'SEMA4D', 'MFAP4']
390	GO:BP	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	6.019473557488346e-07	True	"""Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase activity."" [GOC:bf]"	33	102	6	15719	0.0588235294117647	0.1818181818181818	query_1	['GO:0043551', 'GO:0090218']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
391	GO:BP	GO:0051017	actin filament bundle assembly	6.563646576262602e-07	True	"""The assembly of actin filament bundles; actin filaments are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness."" [GOC:ai]"	156	102	10	15719	0.0980392156862745	0.0641025641025641	query_1	['GO:0022607', 'GO:0061572']	['MET', 'ITGB5', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'PTK2B', 'TGFBR1', 'NRP1', 'ELN']
392	GO:BP	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	6.69125755243273e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of any TGF-beta receptor signaling pathway."" [GOC:mah]"	84	102	8	15719	0.0784313725490196	0.0952380952380952	query_1	['GO:0007179', 'GO:0017015', 'GO:0090101']	['SMURF2', 'SMAD7', 'TGFB3', 'LTBP1', 'FBN1', 'FBN2', 'SMURF1', 'EMILIN1']
393	GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	6.858411036557436e-07	True	"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	356	102	14	15719	0.1372549019607843	0.0393258426966292	query_1	['GO:0007159', 'GO:0022407']	['SRC', 'SMAD7', 'TGFBR2', 'FYN', 'ITGA4', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'VCAM1', 'LCK', 'PTPN11']
394	GO:BP	GO:0043087	regulation of GTPase activity	7.331869718696446e-07	True	"""Any process that modulates the rate of GTP hydrolysis by a GTPase."" [GOC:jl, GOC:mah]"	358	102	14	15719	0.1372549019607843	0.0391061452513966	query_1	['GO:0051336']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'CRK', 'SOS1', 'VAV1', 'ERBB2', 'PTK2B', 'AGRN', 'CRKL', 'PTK2', 'SEMA4D', 'PLXNA1']
395	GO:BP	GO:0007423	sensory organ development	7.441742709208947e-07	True	"""The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."" [GOC:go_curators]"	547	102	17	15719	0.1666666666666666	0.0310786106032906	query_1	['GO:0048513']	['TGFB3', 'CTNNB1', 'SOS1', 'TGFBR2', 'TGFB1', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'VEGFA', 'MFAP2', 'MFAP5', 'TGFBR1', 'NRP1', 'PTPN11', 'PDGFRA', 'FLT1']
396	GO:BP	GO:0044089	positive regulation of cellular component biogenesis	7.441742709208947e-07	True	"""Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	481	102	16	15719	0.1568627450980392	0.0332640332640332	query_1	['GO:0044085', 'GO:0044087', 'GO:0048522']	['MET', 'SRC', 'TGFB3', 'PIK3R1', 'PLCG2', 'PXN', 'GRB2', 'KDR', 'SYK', 'PTK2B', 'VEGFA', 'AGRN', 'TGFBR1', 'NRP1', 'EMILIN1', 'SEMA4D']
74	REAC	REAC:R-HSA-1433559	Regulation of KIT signaling	7.668874946791218e-07	True	Regulation of KIT signaling	13	99	5	10022	0.0505050505050505	0.3846153846153846	query_1	['REAC:R-HSA-1433557']	['SOS1', 'FYN', 'LYN', 'LCK', 'CBL']
397	GO:BP	GO:0061572	actin filament bundle organization	7.740529756781901e-07	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle."" [GOC:dph]"	159	102	10	15719	0.0980392156862745	0.0628930817610062	query_1	['GO:0007015']	['MET', 'ITGB5', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'PTK2B', 'TGFBR1', 'NRP1', 'ELN']
398	GO:BP	GO:0051701	biological process involved in interaction with host	8.142980857831705e-07	True	"""An interaction between two organisms living together in more or less intimate association. The term host is used for the larger (macro) of the two members of a symbiosis; the various forms of symbiosis include parasitism, commensalism and mutualism."" [GOC:cc]"	204	102	11	15719	0.1078431372549019	0.0539215686274509	query_1	['GO:0044403']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'CBL']
399	GO:BP	GO:0022612	gland morphogenesis	8.40130027232237e-07	True	"""The process in which the anatomical structures of a gland are generated and organized."" [GOC:isa_complete]"	121	102	9	15719	0.088235294117647	0.0743801652892562	query_1	['GO:0009887', 'GO:0048732']	['SRC', 'TGFB3', 'HGF', 'TGFBR2', 'TNC', 'TGFB1', 'EGFR', 'NRP1', 'PLXNA1']
400	GO:BP	GO:0035633	maintenance of blood-brain barrier	8.511934539126046e-07	True	"""Maintaining the structure and function of the blood-brain barrier, thus ensuring specific regulated transport of substances (e.g. macromolecules, small molecules, ions) into the brain, and out of the brain into the blood circulation."" [GOC:aruk, GOC:bc, GOC:bf, GOC:sl, PMID:20080302, PMID:30280653]"	35	102	6	15719	0.0588235294117647	0.1714285714285714	query_1	['GO:0001894']	['ITGB1', 'JAM3', 'VCL', 'VEGFA', 'SH3GL2', 'JAM2']
401	GO:BP	GO:0060541	respiratory system development	8.926348227617854e-07	True	"""The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange."" [GOC:dph]"	206	102	11	15719	0.1078431372549019	0.0533980582524271	query_1	['GO:0048731']	['TGFB3', 'FLT4', 'CTNNB1', 'TGFBR2', 'LOX', 'TGFB1', 'KDR', 'VEGFA', 'ITGB6', 'ITGA3', 'PDGFRA']
75	REAC	REAC:R-HSA-1643685	Disease	9.023989769313996e-07	True	Disease	1723	99	39	10022	0.3939393939393939	0.0226349390597794	query_1	['REAC:0000000']	['MET', 'ITGB1', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'ITGA2B', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'CDH1', 'SH3KBP1', 'AGRN', 'SH3GL2', 'TLN1', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA']
402	GO:BP	GO:0043550	regulation of lipid kinase activity	9.612477742621163e-07	True	"""Any process that modulates the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:bf]"	59	102	7	15719	0.0686274509803921	0.1186440677966101	query_1	['GO:0043549']	['SRC', 'PIK3R1', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
403	GO:BP	GO:0048638	regulation of developmental growth	9.706173208849197e-07	True	"""Any process that modulates the frequency, rate or extent of developmental growth."" [GOC:go_curators]"	310	102	13	15719	0.1274509803921568	0.0419354838709677	query_1	['GO:0040008', 'GO:0048589', 'GO:0050793']	['FN1', 'SPP1', 'SMAD7', 'TGFBR2', 'SMURF1', 'MUSK', 'CDH1', 'VEGFA', 'AGRN', 'TGFBR1', 'L1CAM', 'NRP1', 'SEMA4D']
404	GO:BP	GO:0006952	defense response	9.801223690760664e-07	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1650	102	30	15719	0.2941176470588235	0.0181818181818181	query_1	['GO:0006950']	['ITGB1', 'FN1', 'SRC', 'SPP1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FYN', 'LAT', 'ZAP70', 'LYN', 'TNC', 'TGFB1', 'JAM3', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VCAM1', 'ITGB6', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'PTPN11', 'MFAP4']
405	GO:BP	GO:0051896	regulation of protein kinase B signaling	1.015981269842658e-06	True	"""Any process that modulates the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	164	102	10	15719	0.0980392156862745	0.0609756097560975	query_1	['GO:0043491', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'SRC', 'EGFR', 'VEGFA', 'TGFBR1', 'PTK2', 'THBS1']
406	GO:BP	GO:0007172	signal complex assembly	1.0722821786852812e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a complex capable of relaying a signal within a cell."" [GOC:bf, GOC:signaling, PMID:9646862]"	8	102	4	15719	0.0392156862745098	0.5	query_1	['GO:0009966', 'GO:0065003']	['SRC', 'PXN', 'PTK2B', 'PTK2']
407	GO:BP	GO:0007416	synapse assembly	1.1987750455808351e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a synapse. This process ends when the synapse is mature (functional)."" [GOC:mah]"	167	102	10	15719	0.0980392156862745	0.059880239520958	query_1	['GO:0007399', 'GO:0034329', 'GO:0050808']	['PLXNB1', 'CRK', 'CTNNB1', 'LRP4', 'MUSK', 'CDH1', 'PTK2B', 'AGRN', 'CRKL', 'SEMA4D']
408	GO:BP	GO:0050852	T cell receptor signaling pathway	1.2483203987967284e-06	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	127	102	9	15719	0.088235294117647	0.0708661417322834	query_1	['GO:0050851']	['BCAR1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LCP2', 'PLCG1', 'CRKL', 'LCK']
409	GO:BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	1.28790747201637e-06	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	264	102	12	15719	0.1176470588235294	0.0454545454545454	query_1	['GO:0007159', 'GO:0022409', 'GO:1903037']	['SRC', 'TGFBR2', 'FYN', 'ITGA4', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'VCAM1', 'LCK', 'PTPN11']
32	GO:CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	1.2880845959626474e-06	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its cytoplasmic surface, but not integrated into the hydrophobic region."" [GOC:mah]"	93	103	8	16420	0.0776699029126213	0.086021505376344	query_1	['GO:0009898', 'GO:0019897']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'PTK2B', 'PTK2', 'LCK']
33	GO:CC	GO:0031256	leading edge membrane	1.306072015283527e-06	True	"""The portion of the plasma membrane surrounding the leading edge of a motile cell."" [GOC:mah]"	172	103	10	16420	0.0970873786407767	0.0581395348837209	query_1	['GO:0005886', 'GO:0031252', 'GO:0110165']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
410	GO:BP	GO:0072593	reactive oxygen species metabolic process	1.3473373530889203e-06	True	"""The chemical reactions and pathways involving a reactive oxygen species, any molecules or ions formed by the incomplete one-electron reduction of oxygen. They contribute to the microbicidal activity of phagocytes, regulation of signal transduction and gene expression, and the oxidative damage to biopolymers."" [GOC:mah]"	215	102	11	15719	0.1078431372549019	0.0511627906976744	query_1	['GO:0044237']	['SHC1', 'PLCG2', 'TGFBR2', 'FYN', 'SH3PXD2A', 'FBLN5', 'GRB2', 'VAV1', 'SYK', 'PTK2B', 'THBS1']
411	GO:BP	GO:1990858	cellular response to lectin	1.3749030541549285e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	102	5	15719	0.0490196078431372	0.25	query_1	['GO:1990840']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
412	GO:BP	GO:1990840	response to lectin	1.3749030541549285e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	102	5	15719	0.0490196078431372	0.25	query_1	['GO:0009607']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
413	GO:BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	1.3749030541549285e-06	True	"""The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	20	102	5	15719	0.0490196078431372	0.25	query_1	['GO:0002220', 'GO:1990858']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
414	GO:BP	GO:0090218	positive regulation of lipid kinase activity	1.3770512648753028e-06	True	"""Any process that increases the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:dph, GOC:tb]"	38	102	6	15719	0.0588235294117647	0.1578947368421052	query_1	['GO:0033674', 'GO:0043550', 'GO:0045834']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
415	GO:BP	GO:0072657	protein localization to membrane	1.4505774899134347e-06	True	"""A process in which a protein is transported to, or maintained in, a specific location in a membrane."" [GOC:mah]"	575	102	17	15719	0.1666666666666666	0.0295652173913043	query_1	['GO:0008104', 'GO:0051668']	['ITGB1', 'PIK3R1', 'CRK', 'LRP4', 'FYN', 'ITGA4', 'MADCAM1', 'TGFB1', 'EGFR', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'AGRN', 'CRKL', 'ITGB7', 'ITGA3']
416	GO:BP	GO:0002690	positive regulation of leukocyte chemotaxis	1.5266686588656515e-06	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte chemotaxis."" [GOC:add]"	94	102	8	15719	0.0784313725490196	0.0851063829787234	query_1	['GO:0002687', 'GO:0002688', 'GO:0030595', 'GO:0050921']	['VEGFB', 'VEGFC', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'THBS1', 'PGF']
76	REAC	REAC:R-HSA-451927	Interleukin-2 family signaling	1.5311383666150256e-06	True	Interleukin-2 family signaling	44	99	7	10022	0.0707070707070707	0.1590909090909091	query_1	['REAC:R-HSA-449147']	['PIK3R1', 'SHC1', 'SOS1', 'GRB2', 'SYK', 'PTK2B', 'LCK']
417	GO:BP	GO:0032970	regulation of actin filament-based process	1.5879500916788444e-06	True	"""Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton."" [GOC:mah]"	383	102	14	15719	0.1372549019607843	0.0365535248041775	query_1	['GO:0030029', 'GO:0050794']	['MET', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PXN', 'GRB2', 'TGFB1', 'JAM3', 'PTK2B', 'TGFBR1', 'NRP1', 'ELN', 'PDGFRA']
418	GO:BP	GO:2000401	regulation of lymphocyte migration	1.639550226335766e-06	True	"""Any process that modulates the frequency, rate or extent of lymphocyte migration."" [GOC:mah]"	64	102	7	15719	0.0686274509803921	0.109375	query_1	['GO:0071675', 'GO:0072676']	['ITGB3', 'CRK', 'ITGA4', 'MADCAM1', 'PTK2B', 'CRKL', 'JAM2']
419	GO:BP	GO:0034109	homotypic cell-cell adhesion	1.6463515705301203e-06	True	"""The attachment of a cell to a second cell of the identical type via adhesion molecules."" [GOC:add]"	95	102	8	15719	0.0784313725490196	0.0842105263157894	query_1	['GO:0098609']	['FN1', 'ITGB3', 'LYN', 'VCL', 'SYK', 'TLN1', 'EMILIN1', 'PDGFRA']
420	GO:BP	GO:0051493	regulation of cytoskeleton organization	1.7326956762235565e-06	True	"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]"	514	102	16	15719	0.1568627450980392	0.0311284046692607	query_1	['GO:0007010', 'GO:0033043']	['MET', 'PLXNB1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PXN', 'GRB2', 'TGFB1', 'JAM3', 'PTK2B', 'TGFBR1', 'PTK2', 'NRP1', 'ELN', 'PDGFRA']
77	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	1.7812369680954217e-06	True	Cytokine Signaling in Immune system	705	99	23	10022	0.2323232323232323	0.0326241134751773	query_1	['REAC:R-HSA-168256']	['RAPGEF1', 'ITGB1', 'FN1', 'SMAD7', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'FYN', 'LYN', 'GRB2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VEGFA', 'CRKL', 'VCAM1', 'LCK', 'PTPN11', 'CBL']
421	GO:BP	GO:0043010	camera-type eye development	1.847229871742181e-06	True	"""The process whose specific outcome is the progression of the camera-type eye over time, from its formation to the mature structure. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field."" [GOC:go_curators, GOC:mtg_sensu]"	329	102	13	15719	0.1274509803921568	0.0395136778115501	query_1	['GO:0001654']	['CTNNB1', 'SOS1', 'TGFBR2', 'TGFB1', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'VEGFA', 'TGFBR1', 'NRP1', 'PDGFRA', 'FLT1']
422	GO:BP	GO:1990314	cellular response to insulin-like growth factor stimulus	1.8478424430629888e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin-like growth factor stimulus."" [PMID:20042609]"	9	102	4	15719	0.0392156862745098	0.4444444444444444	query_1	['GO:0071375']	['ITGB3', 'CRK', 'TGFB1', 'FBN1']
