Rabson-Mendenhall syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
211	GO:BP	GO:1901700	response to oxygen-containing compound	3.9772576103827305e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1796	100	43	21110	0.43	0.0239420935412026	query_1	['GO:0042221']	['MET', 'RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'INSR', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'FGB', 'IGF1R', 'FGG', 'CDH1', 'PTK2B', 'PIK3R3', 'IRS1', 'CRKL', 'ESR1', 'TGFBR1', 'VCAM1', 'PTK2', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA']
212	GO:BP	GO:0043542	endothelial cell migration	4.043695346280617e-17	True	"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]"	217	100	20	21110	0.2	0.0921658986175115	query_1	['GO:0010631']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'ITGB3', 'VEGFC', 'FLT4', 'PIK3CD', 'PXN', 'NRP2', 'APOA1', 'PIK3CA', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'TGFBR1', 'PTK2', 'NRP1']
213	GO:BP	GO:0065007	biological regulation	4.6394755265559486e-17	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	12891	100	99	21110	0.99	0.0076797765883174	query_1	['GO:0008150']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'ITGA9', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'MS4A1', 'LYN', 'GRB2', 'TGFB1', 'TNC', 'NRP2', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'ITGAE', 'KDR', 'FGB', 'IGF1R', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'IGHM', 'VEGFA', 'PIK3R3', 'SH3GL2', 'ADAM12', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TLN1', 'TGFBR1', 'VCAM1', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'CD19', 'BLNK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PGF', 'PLXNA1']
214	WP	WP:WP313	Hepatocyte growth factor receptor signaling	4.6637617536282045e-17	True	Hepatocyte growth factor receptor signaling	34	94	14	8133	0.1489361702127659	0.4117647058823529	query_1	['WP:000000']	['MET', 'RAPGEF1', 'ITGB1', 'SRC', 'CRK', 'HGF', 'SOS1', 'PXN', 'GRB2', 'PIK3CA', 'PTK2B', 'CRKL', 'PTK2', 'PTPN11']
215	GO:BP	GO:0002253	activation of immune response	5.0560072269238194e-17	True	"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	545	100	27	21110	0.27	0.0495412844036697	query_1	['GO:0002376', 'GO:0050778']	['RAPGEF1', 'C3', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'IGHM', 'CRKL', 'ESR1', 'CD81', 'PTK2', 'LCK', 'CD19', 'BLNK', 'CR2']
216	KEGG	KEGG:05211	Renal cell carcinoma	5.977445407127791e-17	True	Renal cell carcinoma	68	94	17	8161	0.1808510638297872	0.25	query_1	['KEGG:00000']	['MET', 'RAPGEF1', 'PIK3CB', 'PIK3R2', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'PIK3CD', 'GRB2', 'TGFB1', 'PIK3CA', 'VEGFA', 'PIK3R3', 'CRKL', 'PTPN11']
217	GO:MF	GO:0019838	growth factor binding	6.127528350048409e-17	True	"""Binding to a growth factor, proteins or polypeptides that stimulate a cell or organism to grow or proliferate."" [GOC:curators]"	132	99	17	20195	0.1717171717171717	0.1287878787878787	query_1	['GO:0005515']	['ITGAV', 'FGFR2', 'ITGB3', 'TGFB3', 'INSR', 'SHC1', 'FLT4', 'TGFBR2', 'NRP2', 'EGFR', 'KDR', 'IGF1R', 'ERBB2', 'TGFBR1', 'NRP1', 'PDGFRA', 'FLT1']
218	GO:BP	GO:0008219	cell death	6.234102006956175e-17	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2129	100	46	21110	0.46	0.0216063879755753	query_1	['GO:0009987']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ESR1', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'SMAD3', 'CBL', 'SEMA4D']
219	GO:BP	GO:0033674	positive regulation of kinase activity	6.333261836764864e-17	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	441	100	25	21110	0.25	0.0566893424036281	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['MET', 'SRC', 'FGFR2', 'ITGB3', 'VEGFC', 'INSR', 'FLT4', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'EGFR', 'KDR', 'IGF1R', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'IRS1', 'CD81', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
220	GO:BP	GO:0070372	regulation of ERK1 and ERK2 cascade	6.66269583096797e-17	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"	301	100	22	21110	0.22	0.0730897009966777	query_1	['GO:0043408', 'GO:0070371']	['RAPGEF1', 'VEGFB', 'FN1', 'SRC', 'FGFR2', 'FGA', 'ITGB3', 'SHC1', 'FLT4', 'LYN', 'EGFR', 'KDR', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'NRP1', 'PTPN11', 'PDGFRA']
221	KEGG	KEGG:04670	Leukocyte transendothelial migration	7.232245607947692e-17	True	Leukocyte transendothelial migration	114	94	20	8161	0.2127659574468085	0.175438596491228	query_1	['KEGG:00000']	['ITGB1', 'PIK3CB', 'PIK3R2', 'BCAR1', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'PIK3CD', 'PXN', 'ITGA4', 'PIK3CA', 'VCL', 'VAV1', 'PLCG1', 'PTK2B', 'PIK3R3', 'VCAM1', 'PTK2', 'PTPN11']
222	GO:BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	7.473593153311576e-17	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vascular endothelial growth factor stimulus."" [GOC:BHF, GOC:rl, PMID:18440775]"	63	100	14	21110	0.14	0.2222222222222222	query_1	['GO:0071363']	['PIK3CB', 'VEGFB', 'VEGFC', 'FLT4', 'PIK3CD', 'NRP2', 'PIK3CA', 'KDR', 'VEGFA', 'VCAM1', 'NRP1', 'PDGFRA', 'FLT1', 'PGF']
223	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	7.753118989935801e-17	True	Signaling by Erythropoietin	23	97	12	10790	0.1237113402061855	0.5217391304347826	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3CB', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'PIK3CD', 'LYN', 'PIK3CA', 'VAV1', 'PLCG1', 'CRKL']
224	REAC	REAC:R-HSA-1280218	Adaptive Immune System	8.244260087935278e-17	True	Adaptive Immune System	811	97	39	10790	0.4020618556701031	0.0480887792848335	query_1	['REAC:R-HSA-168256']	['C3', 'ITGB1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'PIK3R2', 'FGA', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'LYN', 'LCP2', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SMURF1', 'SH3KBP1', 'CDH1', 'IGHM', 'PIK3R3', 'SH3GL2', 'CD81', 'VCAM1', 'LCK', 'CD19', 'BLNK', 'ITGB7', 'PTPN11']
225	GO:BP	GO:0031325	positive regulation of cellular metabolic process	1.0133364795412401e-16	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2976	100	53	21110	0.53	0.0178091397849462	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['MET', 'C3', 'PIK3CB', 'VEGFB', 'PIK3R2', 'SRC', 'SPP1', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'INSR', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'IGF1R', 'SYK', 'FCGR1A', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'PIK3R3', 'IRS1', 'CRKL', 'ESR1', 'VTN', 'CD81', 'TGFBR1', 'PTK2', 'NRP1', 'CD19', 'SMAD3', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
226	KEGG	KEGG:04012	ErbB signaling pathway	1.0504428984090187e-16	True	ErbB signaling pathway	84	94	18	8161	0.1914893617021276	0.2142857142857142	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'PIK3R3', 'CRKL', 'PTK2', 'CBL']
227	GO:BP	GO:0012501	programmed cell death	1.4612658568076322e-16	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1961	100	44	21110	0.44	0.0224375318714941	query_1	['GO:0008219']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'FGFR2', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'ITGA4', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'ESR1', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'SMAD3', 'CBL', 'SEMA4D']
228	GO:CC	GO:0098802	plasma membrane signaling receptor complex	1.7346013075812175e-16	True	"""Any protein complex that is part of the plasma membrane and which functions as a signaling receptor."" [GOC:dos]"	310	101	21	22122	0.2079207920792079	0.0677419354838709	query_1	['GO:0043235', 'GO:0098797']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'INSR', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ITGA4', 'ZAP70', 'LYN', 'ITGAE', 'IGF1R', 'SYK', 'ERBB2', 'PTK2B', 'IRS1', 'TGFBR1', 'ITGB6', 'ITGB7']
229	GO:BP	GO:0000902	cell morphogenesis	1.813992663281725e-16	True	"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"	978	100	33	21110	0.33	0.0337423312883435	query_1	['GO:0009653']	['MET', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'FGFR2', 'CRK', 'HGF', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'TGFB1', 'NRP2', 'EGFR', 'KDR', 'IGF1R', 'VCL', 'SMURF1', 'ERBB2', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
230	GO:BP	GO:0043069	negative regulation of programmed cell death	1.906988864107348e-16	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	905	100	32	21110	0.32	0.0353591160220994	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'SRC', 'FGFR2', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'ITGA5', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TGFBR1', 'PTK2', 'NRP1', 'SMAD3', 'CBL', 'SEMA4D']
231	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	1.9954122021563302e-16	True	Extracellular matrix organization	297	97	26	10790	0.268041237113402	0.0875420875420875	query_1	['REAC:0000000']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'FN1', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'ADAM19', 'TNC', 'ITGAE', 'KDR', 'FGB', 'FGG', 'CDH1', 'ADAM12', 'VTN', 'VCAM1', 'ITGB6', 'ITGB7', 'ADAM15']
232	GO:BP	GO:0048729	tissue morphogenesis	2.040436376385148e-16	True	"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]"	636	100	28	21110	0.28	0.0440251572327044	query_1	['GO:0009653', 'GO:0009888']	['MET', 'ITGB1', 'SMURF2', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'VEGFC', 'HGF', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'GRB2', 'TGFB1', 'TNC', 'NRP2', 'EGFR', 'KDR', 'VCL', 'SMURF1', 'VEGFA', 'ESR1', 'TGFBR1', 'NRP1', 'SMAD3', 'PLXNA1']
233	GO:BP	GO:0034446	substrate adhesion-dependent cell spreading	2.2588547303350307e-16	True	"""The morphogenetic process that results in flattening of a cell as a consequence of its adhesion to a substrate."" [GOC:mah, GOC:pf, PMID:17050732]"	111	100	16	21110	0.16	0.1441441441441441	query_1	['GO:0031589']	['ITGAV', 'FN1', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'PXN', 'ITGA4', 'APOA1', 'FGB', 'FGG', 'CRKL', 'PTK2', 'NRP1', 'ITGB7']
234	GO:BP	GO:0010033	response to organic substance	3.6565343995796334e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2809	100	51	21110	0.51	0.0181559273762904	query_1	['GO:0042221']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'INSR', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'APOA1', 'PIK3CA', 'FGB', 'IGF1R', 'SYK', 'FGG', 'CDH1', 'PTK2B', 'PIK3R3', 'IRS1', 'CRKL', 'ESR1', 'CD81', 'TGFBR1', 'VCAM1', 'PTK2', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'PGF']
235	KEGG	KEGG:04650	Natural killer cell mediated cytotoxicity	4.141458305881825e-16	True	Natural killer cell mediated cytotoxicity	124	94	20	8161	0.2127659574468085	0.1612903225806451	query_1	['KEGG:00000']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LAT', 'ZAP70', 'GRB2', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'PTK2B', 'PIK3R3', 'LCK', 'PTPN11']
236	WP	WP:WP4223	Ras signaling	5.002417593164459e-16	True	Ras signaling	182	94	23	8133	0.2446808510638297	0.1263736263736263	query_1	['WP:000000']	['MET', 'PIK3CB', 'PIK3R2', 'FGFR2', 'PIK3R1', 'INSR', 'SHC1', 'PLCG2', 'FLT4', 'SOS1', 'PIK3CD', 'LAT', 'ZAP70', 'GRB2', 'EGFR', 'PIK3CA', 'KDR', 'IGF1R', 'PLCG1', 'PIK3R3', 'PTPN11', 'PDGFRA', 'FLT1']
237	GO:BP	GO:0045765	regulation of angiogenesis	5.144291110660707e-16	True	"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]"	287	100	21	21110	0.21	0.073170731707317	query_1	['GO:0001525', 'GO:0022603', 'GO:1901342']	['C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGB3', 'VEGFC', 'HGF', 'SHC1', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'KDR', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'NRP1', 'FLT1', 'PGF']
238	GO:BP	GO:0030098	lymphocyte differentiation	5.167925644217948e-16	True	"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]"	428	100	24	21110	0.24	0.0560747663551401	query_1	['GO:0046649', 'GO:1903131']	['ITGB1', 'PIK3R2', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA4', 'ZAP70', 'MS4A1', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'VCAM1', 'LCK', 'CD19', 'BLNK', 'CR2']
239	GO:BP	GO:0071417	cellular response to organonitrogen compound	5.876217220450517e-16	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	662	100	28	21110	0.28	0.0422960725075528	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'INSR', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'IGF1R', 'CDH1', 'PIK3R3', 'IRS1', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
240	GO:BP	GO:0006897	endocytosis	6.43345884608657e-16	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	100	30	21110	0.3	0.037593984962406	query_1	['GO:0016192']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGAV', 'SRC', 'ITGB3', 'INSR', 'PLCG2', 'TGFBR2', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'APOA1', 'PIK3CA', 'VAV1', 'SYK', 'FCGR1A', 'SH3KBP1', 'IGHM', 'VEGFA', 'SH3GL2', 'VTN', 'CD81', 'PTK2', 'CBL']
241	GO:BP	GO:1901342	regulation of vasculature development	6.852652136177822e-16	True	"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]"	291	100	21	21110	0.21	0.0721649484536082	query_1	['GO:0001944', 'GO:2000026']	['C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGB3', 'VEGFC', 'HGF', 'SHC1', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'KDR', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'NRP1', 'FLT1', 'PGF']
242	GO:BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	7.443461823486204e-16	True	"""Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]"	251	100	20	21110	0.2	0.0796812749003984	query_1	['GO:0001932', 'GO:0018108']	['VEGFB', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'CD81', 'NRP1', 'PTPN11', 'CBL', 'SEMA4D']
243	KEGG	KEGG:05226	Gastric cancer	8.601829719492935e-16	True	Gastric cancer	148	94	21	8161	0.2234042553191489	0.1418918918918918	query_1	['KEGG:00000']	['MET', 'PIK3CB', 'PIK3R2', 'FGFR2', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'ERBB2', 'CDH1', 'PIK3R3', 'TGFBR1', 'SMAD3']
244	WP	WP:WP673	ErbB signaling pathway	8.666806925582668e-16	True	ErbB signaling pathway	91	94	18	8133	0.1914893617021276	0.1978021978021978	query_1	['WP:000000']	['PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'PIK3R3', 'CRKL', 'PTK2', 'CBL']
245	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	8.715285459357649e-16	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	253	100	20	21110	0.2	0.0790513833992094	query_1	['GO:0002429']	['BCAR1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'MS4A1', 'LYN', 'GRB2', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'IGHM', 'CRKL', 'CD81', 'LCK', 'CD19', 'BLNK']
246	GO:BP	GO:0010634	positive regulation of epithelial cell migration	9.224150326763672e-16	True	"""Any process that activates or increases the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	149	100	17	21110	0.17	0.1140939597315436	query_1	['GO:0010631', 'GO:0010632', 'GO:0030335']	['MET', 'PIK3CB', 'BCAR1', 'SRC', 'ITGB3', 'VEGFC', 'PLCG2', 'FLT4', 'TGFBR2', 'PIK3CD', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1']
247	GO:BP	GO:0042981	regulation of apoptotic process	9.288639506142465e-16	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	1459	100	38	21110	0.38	0.026045236463331	query_1	['GO:0006915', 'GO:0043067']	['ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'FGFR2', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'PIK3CD', 'ITGA5', 'ITGA4', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'IGF1R', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'ESR1', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'SMAD3', 'CBL', 'SEMA4D']
248	REAC	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	9.380098813252114e-16	True	GRB2:SOS provides linkage to MAPK signaling for Integrins 	14	97	10	10790	0.1030927835051546	0.7142857142857143	query_1	['REAC:R-HSA-354192']	['FN1', 'SRC', 'FGA', 'ITGB3', 'SOS1', 'ITGA2B', 'FGB', 'FGG', 'TLN1', 'PTK2']
249	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	1.0417689047606606e-15	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1752	100	41	21110	0.41	0.0234018264840182	query_1	['GO:0008150']	['C3', 'ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'FGFR2', 'FGA', 'ITGB3', 'CRK', 'INSR', 'SHC1', 'PLCG2', 'PIK3CD', 'ITGA5', 'FYN', 'ZAP70', 'MS4A1', 'LYN', 'TGFB1', 'EGFR', 'FGB', 'VAV1', 'SYK', 'FCGR1A', 'CDH1', 'PTK2B', 'IGHM', 'ESR1', 'CD81', 'VCAM1', 'PTK2', 'ITGB6', 'NRP1', 'LCK', 'SMAD3', 'ITGB7', 'ADAM15', 'PTPN11', 'CBL', 'CR2']
