Acral peeling skin syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
47	GO:BP	GO:0048513	animal organ development	4.0832312650403116e-21	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	2936	101	64	15719	0.6336633663366337	0.0217983651226158	query_1	['GO:0048856']	['MAML1', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'SMURF2', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'TACC3', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'NCSTN', 'ABL1', 'FOXG1', 'NCOR2', 'SIN3A', 'DLL1', 'AMIGO1', 'RXRB', 'AR', 'CTNNA1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'CSTA', 'MECP2', 'NOTCH2', 'APH1A', 'HDAC3', 'CDH1', 'SKI', 'KAT2B', 'ESR1', 'CTNNA2', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'JUP']
48	GO:BP	GO:0007165	signal transduction	4.741893788763049e-21	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5252	101	82	15719	0.8118811881188119	0.0156130997715156	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MAML1', 'MAML2', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'CREBBP', 'SMURF2', 'BOC', 'ADAM10', 'DHH', 'YOD1', 'CDON', 'SRC', 'PSEN1', 'DERL2', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'OS9', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'CTNNA1', 'SMAD2', 'SEL1L', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'ERLEC1', 'SKI', 'SNW1', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
17	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	5.2133263453363314e-21	True	Gene expression (Transcription)	1409	98	55	10022	0.5612244897959183	0.0390347764371894	query_1	['REAC:0000000']	['MAML1', 'MAML2', 'RXRA', 'UBE2I', 'NOTCH3', 'TGIF1', 'IHH', 'AKT1', 'CDK8', 'CREBBP', 'SMURF2', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'CTNNB1', 'HDAC1', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'RARA', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'SKIL', 'CCNC']
49	GO:BP	GO:0051716	cellular response to stimulus	6.3104841154423894e-21	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6649	101	90	15719	0.8910891089108911	0.0135358700556474	query_1	['GO:0009987', 'GO:0050896']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'CREBBP', 'SMURF2', 'BOC', 'ADAM10', 'DHH', 'YOD1', 'CDON', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'OS9', 'UBE2J1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'AMIGO1', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'CTNNA1', 'SUMO1', 'SMAD2', 'SEL1L', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'ERLEC1', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
18	REAC	REAC:R-HSA-1266738	Developmental Biology	7.122521451822268e-21	True	Developmental Biology	1081	98	49	10022	0.5	0.0453283996299722	query_1	['REAC:0000000']	['MAML1', 'MAML2', 'RXRA', 'NCOA3', 'AKT1', 'CDK8', 'CREBBP', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'APH1B', 'FOXO3', 'NCOA2', 'CTNNB1', 'NCSTN', 'ABL1', 'TBL1X', 'NCOR2', 'TGM5', 'PSENEN', 'CTNNA1', 'SMAD2', 'EGFR', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'RBPJ', 'CSTA', 'APH1A', 'NCOR1', 'HDAC3', 'SNW1', 'KAT2B', 'CTNNA2', 'FOXO1', 'MAML3', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'SMAD3', 'HDAC2', 'NCOA1', 'CCNC', 'JUP']
50	GO:BP	GO:0007154	cell communication	7.319608750712467e-21	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5768	101	85	15719	0.8415841584158416	0.0147364771151178	query_1	['GO:0009987']	['MAML1', 'MAML2', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'CREBBP', 'SMURF2', 'BOC', 'ADAM10', 'DHH', 'YOD1', 'CDON', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'OS9', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'CTNNA1', 'SMAD2', 'SEL1L', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'ERLEC1', 'CDH1', 'SKI', 'SNW1', 'SP1', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
51	GO:BP	GO:0023052	signaling	1.5931304045116286e-20	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	5663	101	84	15719	0.8316831683168316	0.0148331273176761	query_1	['GO:0050789']	['MAML1', 'MAML2', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'CREBBP', 'SMURF2', 'BOC', 'ADAM10', 'DHH', 'YOD1', 'CDON', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'OS9', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'CTNNA1', 'SMAD2', 'SEL1L', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'ERLEC1', 'CDH1', 'SKI', 'SNW1', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'RARA', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
52	GO:BP	GO:0010468	regulation of gene expression	2.245295925780589e-20	True	"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]"	4494	101	76	15719	0.7524752475247525	0.0169114374721851	query_1	['GO:0010467', 'GO:0060255']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'CENPJ', 'ABL1', 'FOXG1', 'UBE2J1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
53	GO:BP	GO:0009966	regulation of signal transduction	2.6419795198178503e-20	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	2829	101	62	15719	0.6138613861386139	0.0219158713326263	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['RXRA', 'UBE2I', 'PTCH1', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'CREBBP', 'SMURF2', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'VCP', 'NR1H2', 'CTNNB1', 'HDAC1', 'ADAM17', 'CENPJ', 'ABL1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'CTNNA1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'SHH', 'EP300', 'RBPJ', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'ESR1', 'FOXO1', 'PDE8A', 'HHIP', 'APP', 'FOXH1', 'JAG1', 'CTNND1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
54	GO:BP	GO:0009059	macromolecule biosynthetic process	2.776970940556788e-20	True	"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	4375	101	75	15719	0.7425742574257426	0.0171428571428571	query_1	['GO:0043170', 'GO:1901576']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'FOXG1', 'UBE2J1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
55	GO:BP	GO:0009893	positive regulation of metabolic process	5.326394056700884e-20	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3655	101	69	15719	0.6831683168316832	0.0188782489740082	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'PTCH1', 'NOTCH3', 'NCOA3', 'IHH', 'AKT1', 'CREBBP', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'NCSTN', 'CENPJ', 'ABL1', 'TBL1X', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'APH1A', 'GPS2', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'NCOA1', 'CCNC', 'JUP']
19	REAC	REAC:R-HSA-1980145	Signaling by NOTCH2	2.1404502620744656e-19	True	Signaling by NOTCH2	31	98	14	10022	0.1428571428571428	0.4516129032258064	query_1	['REAC:R-HSA-157118']	['MAML1', 'MAML2', 'ADAM10', 'PSEN1', 'APH1B', 'NCSTN', 'DLL1', 'PSENEN', 'EP300', 'RBPJ', 'NOTCH2', 'APH1A', 'MAML3', 'JAG1']
56	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	2.403972386806831e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5244	101	80	15719	0.7920792079207921	0.015255530129672	query_1	['GO:0006807', 'GO:0019222']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'CSTA', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
57	GO:BP	GO:0080090	regulation of primary metabolic process	2.753715173298668e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5409	101	81	15719	0.801980198019802	0.0149750415973377	query_1	['GO:0019222', 'GO:0044238']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'DHH', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'CSTA', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
58	GO:BP	GO:0051172	negative regulation of nitrogen compound metabolic process	3.092205554991856e-19	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2264	101	55	15719	0.5445544554455446	0.0242932862190812	query_1	['GO:0006807', 'GO:0009892', 'GO:0051171']	['NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'TGIF1', 'AKT1', 'CREBBP', 'SMURF2', 'SRC', 'PSEN1', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'CSTA', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'RCOR1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL']
59	GO:BP	GO:0060255	regulation of macromolecule metabolic process	3.6353811118565816e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	5751	101	83	15719	0.8217821782178217	0.014432272648235	query_1	['GO:0019222', 'GO:0043170']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'ADAM10', 'DHH', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'VCP', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'ITGB3BP', 'NCSTN', 'CENPJ', 'ABL1', 'FOXG1', 'UBE2J1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'PLK2', 'RXRB', 'NR1H3', 'AR', 'PSENEN', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'CSTA', 'MECP2', 'NOTCH2', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
60	GO:BP	GO:0031324	negative regulation of cellular metabolic process	3.674984290639587e-19	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2090	101	53	15719	0.5247524752475248	0.0253588516746411	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']	['NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'TGIF1', 'AKT1', 'CREBBP', 'SMURF2', 'SRC', 'PSEN1', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'PLK2', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'SNW1', 'RCOR1', 'KAT2B', 'ESR1', 'FOXO1', 'DRAP1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL']
61	GO:BP	GO:0010033	response to organic substance	4.223149150502989e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]"	2672	101	59	15719	0.5841584158415841	0.0220808383233532	query_1	['GO:0042221']	['NRIP1', 'RXRA', 'PTCH1', 'NCOA3', 'IHH', 'AKT1', 'SYVN1', 'ADAM10', 'DHH', 'YOD1', 'SRC', 'PSEN1', 'DERL2', 'KAT2A', 'VCP', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ADAM17', 'NCSTN', 'ABL1', 'OS9', 'UBE2J1', 'NCOR2', 'SIN3A', 'AMIGO1', 'RXRB', 'NR1H3', 'AR', 'CTNNA1', 'SMAD2', 'SEL1L', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'EP300', 'GPS2', 'NCOR1', 'ERLEC1', 'CDH1', 'SNW1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TP53', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'JUP']
20	REAC	REAC:R-HSA-8941856	RUNX3 regulates NOTCH signaling	4.925023253989666e-19	True	RUNX3 regulates NOTCH signaling	14	98	11	10022	0.1122448979591836	0.7857142857142857	query_1	['REAC:R-HSA-8878159']	['MAML1', 'MAML2', 'CREBBP', 'KAT2A', 'NOTCH1', 'EP300', 'RBPJ', 'SNW1', 'KAT2B', 'MAML3', 'JAG1']
62	GO:BP	GO:0051094	positive regulation of developmental process	7.776756461805432e-19	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1237	101	42	15719	0.4158415841584158	0.0339531123686337	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['MAML1', 'RXRA', 'PTCH1', 'NCOA3', 'IHH', 'AKT1', 'SMURF2', 'BOC', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NCOA2', 'CTNNB1', 'HDAC1', 'ABL1', 'FOXG1', 'SIN3A', 'DLL1', 'AMIGO1', 'RXRB', 'AR', 'SMAD2', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'RBPJ', 'MECP2', 'NOTCH2', 'SNW1', 'RCOR1', 'SP1', 'RARA', 'JAG1', 'SMAD3', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'JUP']
63	GO:BP	GO:0016070	RNA metabolic process	8.068397378348479e-19	True	"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]"	4214	101	72	15719	0.7128712871287128	0.0170859041290935	query_1	['GO:0090304']	['MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'PTCH1', 'NOTCH3', 'NCOA3', 'TGIF1', 'IHH', 'AKT1', 'CREBBP', 'SMURF2', 'CDON', 'SRC', 'PSEN1', 'KAT2A', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'ITGB3BP', 'CENPJ', 'ABL1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'AR', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'SHH', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'JAG1', 'TBL1XR1', 'TP53', 'SMAD3', 'NOTCH4', 'HDAC2', 'KDM1A', 'SKIL', 'NCOA1', 'CCNC', 'JUP']
