Autosomal dominant cutis laxa	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
91	GO:BP	GO:0031399	regulation of protein modification process	1.3679958397787665e-19	True	"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	1437	103	44	17376	0.4271844660194174	0.0306193458594293	query_1	['GO:0036211', 'GO:0051246']	['VEGFB', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'LAT', 'LYN', 'TGFB1', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'CBL', 'SEMA4D', 'FLT1', 'PGF']
92	REAC	REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	1.469777852733757e-19	True	TGF-beta receptor signaling activates SMADs	44	103	14	17376	0.1359223300970873	0.3181818181818182	query_1	['REAC:R-HSA-170834']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'LTBP1', 'TGFBR2', 'FBN1', 'SMURF1', 'TGFBR1', 'ITGB6', 'CBL']
93	REAC	REAC:R-HSA-6806834	Signaling by MET	2.255440961215162e-19	True	Signaling by MET	75	103	16	17376	0.1553398058252427	0.2133333333333333	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'ITGA3', 'PTPN11', 'CBL']
94	GO:BP	GO:0009605	response to external stimulus	2.621820274130817e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2654	103	57	17376	0.5533980582524272	0.0214770158251695	query_1	['GO:0050896']	['MET', 'ITGA9', 'VEGFB', 'PLXNB1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'LOX', 'FYN', 'ITGA4', 'ZAP70', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'LOXL1', 'JAM3', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
95	GO:BP	GO:0001667	ameboidal-type cell migration	2.9248913749853687e-19	True	"""Cell migration that is accomplished by extension and retraction of a pseudopodium."" [GOC:dph]"	414	103	27	17376	0.2621359223300971	0.0652173913043478	query_1	['GO:0016477']	['MET', 'ITGB1', 'SMURF2', 'FN1', 'BCAR1', 'SRC', 'ITGB3', 'VEGFC', 'PLCG2', 'FLT4', 'TGFBR2', 'PXN', 'ITGA4', 'TGFB1', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'ITGB7', 'ITGA3', 'PTPN11', 'SEMA4D']
96	GO:BP	GO:1902533	positive regulation of intracellular signal transduction	3.0597425756046454e-19	True	"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	962	103	37	17376	0.3592233009708738	0.0384615384615384	query_1	['GO:0009967', 'GO:0035556', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'KDR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
97	GO:BP	GO:0002684	positive regulation of immune system process	3.602770826478572e-19	True	"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]"	967	103	37	17376	0.3592233009708738	0.0382626680455015	query_1	['GO:0002376', 'GO:0002682', 'GO:0048518']	['RAPGEF1', 'VEGFB', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'VEGFC', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'ZAP70', 'MADCAM1', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'JAM3', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'VEGFD', 'VCAM1', 'PTK2', 'LCK', 'THBS1', 'PTPN11', 'JAM2', 'PGF', 'MFAP4']
98	GO:BP	GO:0048522	positive regulation of cellular process	3.953572980013105e-19	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5221	103	77	17376	0.7475728155339806	0.0147481325416586	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'LCP2', 'FBLN2', 'JAM3', 'EGFR', 'RANBP3L', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
99	GO:BP	GO:0060326	cell chemotaxis	4.765703024735257e-19	True	"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]"	300	103	24	17376	0.233009708737864	0.08	query_1	['GO:0006935', 'GO:0016477', 'GO:0070887']	['MET', 'ITGA9', 'VEGFB', 'BCAR1', 'VEGFC', 'CRK', 'HGF', 'LOX', 'LYN', 'JAM3', 'KDR', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'CRKL', 'VEGFD', 'VCAM1', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'FLT1', 'PGF']
100	GO:BP	GO:0048518	positive regulation of biological process	6.353973354058193e-19	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5895	103	81	17376	0.7864077669902912	0.0137404580152671	query_1	['GO:0008150', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'LYN', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'LCP2', 'FBLN2', 'JAM3', 'EGFR', 'RANBP3L', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'ADAM12', 'CRKL', 'VTN', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
101	GO:BP	GO:0048513	animal organ development	8.188246313806929e-19	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	2937	103	59	17376	0.5728155339805825	0.0200885257065032	query_1	['GO:0048856']	['MET', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'LOX', 'FYN', 'ADAM19', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'RANBP3L', 'KDR', 'FBN2', 'SYK', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'MFAP5', 'CRKL', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'ADAM15', 'ITGA3', 'PTPN11', 'ELN', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
102	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	1.2796758949955505e-18	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	241	103	22	17376	0.2135922330097087	0.0912863070539419	query_1	['GO:0071363', 'GO:0071559']	['SMURF2', 'ITGB5', 'SRC', 'SMAD7', 'TGFB3', 'CRK', 'LTBP1', 'TGFBR2', 'LOX', 'PXN', 'FYN', 'TGFB1', 'FBN1', 'FBN2', 'SMURF1', 'CRKL', 'TGFBR1', 'ITGB6', 'PTK2', 'EMILIN1', 'THBS1', 'ITGA3']
103	GO:BP	GO:0016049	cell growth	1.3103859416973806e-18	True	"""The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."" [GOC:ai]"	487	103	28	17376	0.2718446601941747	0.0574948665297741	query_1	['GO:0009987', 'GO:0040007']	['ITGB1', 'FN1', 'BCAR1', 'SPP1', 'SMAD7', 'CRK', 'CTNNB1', 'TGFBR2', 'ITGA4', 'FBLN5', 'TNC', 'TGFB1', 'NRP2', 'EGFR', 'VCL', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'TGFBR1', 'L1CAM', 'NRP1', 'ADAM15', 'SEMA4D', 'PLXNA1']
104	GO:BP	GO:0071559	response to transforming growth factor beta	2.1425217652910904e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:mah]"	247	103	22	17376	0.2135922330097087	0.0890688259109311	query_1	['GO:0070848']	['SMURF2', 'ITGB5', 'SRC', 'SMAD7', 'TGFB3', 'CRK', 'LTBP1', 'TGFBR2', 'LOX', 'PXN', 'FYN', 'TGFB1', 'FBN1', 'FBN2', 'SMURF1', 'CRKL', 'TGFBR1', 'ITGB6', 'PTK2', 'EMILIN1', 'THBS1', 'ITGA3']
105	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	3.359893117344355e-18	True	Diseases of signal transduction by growth factor receptors and second messengers	410	103	26	17376	0.2524271844660194	0.0634146341463414	query_1	['REAC:R-HSA-1643685']	['MET', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'ITGA2B', 'FYN', 'LYN', 'GRB2', 'EGFR', 'KDR', 'VCL', 'VAV1', 'PLCG1', 'ERBB2', 'TLN1', 'TGFBR1', 'LCK', 'PTPN11', 'CBL', 'PDGFRA']
106	GO:BP	GO:0008284	positive regulation of cell population proliferation	4.140468156830777e-18	True	"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]"	909	103	35	17376	0.3398058252427184	0.0385038503850385	query_1	['GO:0008283', 'GO:0042127', 'GO:0048522']	['ITGB1', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'VEGFC', 'SHC1', 'FLT4', 'CTNNB1', 'TGFBR2', 'ITGA4', 'ZAP70', 'LYN', 'TNC', 'TGFB1', 'NRP2', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VEGFD', 'VCAM1', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'FLT1', 'PGF']
107	REAC	REAC:0000000	REACTOME root term	6.6667509679237214e-18	True	REACTOME root term	9962	103	99	17376	0.9611650485436892	0.0099377635013049	query_1	[]	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'PSAT1', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'MEMO1', 'LAT', 'SH3PXD2A', 'ZAP70', 'ADAM19', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'MFAP3', 'NRP2', 'LCP2', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3KBP1', 'AGRN', 'MFAP2', 'SH3GL2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'ELN', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
108	REAC	REAC:R-HSA-202733	Cell surface interactions at the vascular wall	8.20321719111679e-18	True	Cell surface interactions at the vascular wall	140	103	18	17376	0.174757281553398	0.1285714285714285	query_1	['REAC:R-HSA-109582']	['ITGB1', 'FN1', 'ITGAV', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'JAM3', 'PLCG1', 'L1CAM', 'LCK', 'ITGA3', 'PTPN11', 'JAM2']
109	GO:BP	GO:0009967	positive regulation of signal transduction	1.7069036988692208e-17	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]"	1467	103	42	17376	0.4077669902912621	0.0286298568507157	query_1	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']	['MET', 'RAPGEF1', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'KDR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
110	REAC	REAC:R-HSA-422475	Axon guidance	1.7193675826685247e-17	True	Axon guidance	540	103	28	17376	0.2718446601941747	0.0518518518518518	query_1	['REAC:R-HSA-9675108']	['MET', 'ITGB1', 'ITGA9', 'PLXNB1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'SH3KBP1', 'AGRN', 'SH3GL2', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
111	GO:BP	GO:0010810	regulation of cell-substrate adhesion	1.978788154798033e-17	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	103	20	17376	0.1941747572815534	0.0975609756097561	query_1	['GO:0030155', 'GO:0031589']	['FN1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'FBLN2', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3']
112	GO:BP	GO:0018193	peptidyl-amino acid modification	2.0660940701655737e-17	True	"""The alteration of an amino acid residue in a peptide."" [GOC:mah]"	1167	103	38	17376	0.3689320388349514	0.0325621251071122	query_1	['GO:0036211']	['MET', 'VEGFB', 'SRC', 'SMAD7', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'TGFB1', 'LOXL1', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
113	GO:BP	GO:0040007	growth	2.595245103921796e-17	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]"	898	103	34	17376	0.3300970873786408	0.0378619153674833	query_1	['GO:0008150']	['ITGB1', 'FN1', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'CRK', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'ITGA4', 'FBLN5', 'TNC', 'TGFB1', 'NRP2', 'EGFR', 'VCL', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'TGFBR1', 'L1CAM', 'NRP1', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
114	REAC	REAC:R-HSA-195399	VEGF binds to VEGFR leading to receptor dimerization	3.8063049599409427e-17	True	VEGF binds to VEGFR leading to receptor dimerization	8	103	8	17376	0.0776699029126213	1.0	query_1	['REAC:R-HSA-194313']	['VEGFB', 'VEGFC', 'FLT4', 'KDR', 'VEGFA', 'VEGFD', 'FLT1', 'PGF']
115	REAC	REAC:R-HSA-194313	VEGF ligand-receptor interactions	3.8063049599409427e-17	True	VEGF ligand-receptor interactions	8	103	8	17376	0.0776699029126213	1.0	query_1	['REAC:R-HSA-194138']	['VEGFB', 'VEGFC', 'FLT4', 'KDR', 'VEGFA', 'VEGFD', 'FLT1', 'PGF']
116	REAC	REAC:R-HSA-354192	Integrin signaling	4.093408302387986e-17	True	Integrin signaling	26	103	11	17376	0.1067961165048543	0.4230769230769231	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'SYK', 'TLN1', 'PTK2']
117	REAC	REAC:R-HSA-9675108	Nervous system development	4.266788871434781e-17	True	Nervous system development	564	103	28	17376	0.2718446601941747	0.0496453900709219	query_1	['REAC:R-HSA-1266738']	['MET', 'ITGB1', 'ITGA9', 'PLXNB1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'SH3KBP1', 'AGRN', 'SH3GL2', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
118	GO:BP	GO:0050896	response to stimulus	4.934380954117728e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7974	103	90	17376	0.8737864077669902	0.0112866817155756	query_1	['GO:0008150']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'SMURF2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'LCP2', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'ITGAE', 'KDR', 'VCL', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VEGFD', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
119	GO:BP	GO:0023051	regulation of signaling	5.4029872123475616e-17	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3199	103	59	17376	0.5728155339805825	0.0184432635198499	query_1	['GO:0023052', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'EGFR', 'FBN1', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
120	GO:BP	GO:0010646	regulation of cell communication	6.054517634582884e-17	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3207	103	59	17376	0.5728155339805825	0.0183972560024945	query_1	['GO:0007154', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'SMURF2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'LTBP1', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'EGFR', 'FBN1', 'KDR', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
121	GO:CC	GO:0005925	focal adhesion	7.051389491736628e-17	True	"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]"	417	103	25	17376	0.2427184466019417	0.0599520383693045	query_1	['GO:0030055']	['ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'CTNNB1', 'ITGA2B', 'ITGA5', 'PXN', 'ITGA4', 'TNC', 'EGFR', 'VCL', 'PTK2B', 'SH3KBP1', 'TLN1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'ITGB7', 'ITGA3', 'CBL', 'FLT1']
122	GO:BP	GO:1904018	positive regulation of vasculature development	8.384532171029652e-17	True	"""Any process that activates or increases the frequency, rate or extent of vasculature development."" [GO_REF:0000058, GOC:TermGenie, PMID:21472453]"	159	103	18	17376	0.174757281553398	0.1132075471698113	query_1	['GO:0001944', 'GO:0051094', 'GO:0051240', 'GO:1901342']	['ITGB1', 'VEGFB', 'ITGB3', 'VEGFC', 'HGF', 'TGFBR2', 'ITGA5', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'ADAM12', 'VEGFD', 'NRP1', 'EMILIN1', 'THBS1', 'FLT1', 'PGF']
123	GO:BP	GO:0045766	positive regulation of angiogenesis	8.384532171029652e-17	True	"""Any process that activates or increases angiogenesis."" [GOC:go_curators]"	159	103	18	17376	0.174757281553398	0.1132075471698113	query_1	['GO:0001525', 'GO:0045765', 'GO:1904018']	['ITGB1', 'VEGFB', 'ITGB3', 'VEGFC', 'HGF', 'TGFBR2', 'ITGA5', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'ADAM12', 'VEGFD', 'NRP1', 'EMILIN1', 'THBS1', 'FLT1', 'PGF']
