LMNA-related cardiocutaneous progeria syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
21	REAC	REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	4.798506372096978e-31	True	Regulation of TP53 Activity through Phosphorylation	92	96	26	10022	0.2708333333333333	0.2826086956521739	query_1	['REAC:R-HSA-5633007']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
22	REAC	REAC:R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	5.416003513371668e-31	True	Defective homologous recombination repair (HRR) due to PALB2 loss of function	25	96	18	10022	0.1875	0.72	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
23	REAC	REAC:R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	5.416003513371668e-31	True	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	25	96	18	10022	0.1875	0.72	query_1	['REAC:R-HSA-9701193']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
24	REAC	REAC:R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	5.416003513371668e-31	True	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	25	96	18	10022	0.1875	0.72	query_1	['REAC:R-HSA-9701193']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
25	REAC	REAC:R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	5.416003513371668e-31	True	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	25	96	18	10022	0.1875	0.72	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
23	GO:BP	GO:0000077	DNA damage checkpoint signaling	1.023419359298523e-30	True	"""A signal transduction process that contributes to a DNA damage checkpoint."" [GOC:mah]"	127	100	26	15719	0.26	0.2047244094488189	query_1	['GO:0031570', 'GO:0042770']	['HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
26	REAC	REAC:R-HSA-5358508	Mismatch Repair	2.236339054885164e-30	True	Mismatch Repair	15	96	15	10022	0.15625	1.0	query_1	['REAC:R-HSA-73894']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2', 'MSH6']
24	GO:BP	GO:0022402	cell cycle process	2.4878791120378727e-30	True	"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]"	1241	100	53	15719	0.53	0.0427074939564867	query_1	['GO:0007049', 'GO:0009987']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'ATR', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'MCM3', 'TP53', 'BANF1', 'POLE', 'ORC4', 'MSH6']
27	REAC	REAC:R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	4.831206592211262e-30	True	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	27	96	18	10022	0.1875	0.6666666666666666	query_1	['REAC:R-HSA-5693537']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
25	GO:BP	GO:0031570	DNA integrity checkpoint signaling	5.309651284608674e-30	True	"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and progresses through signal transduction and ends with cell cycle effector processes."" [GOC:mtg_cell_cycle]"	135	100	26	15719	0.26	0.1925925925925926	query_1	['GO:0000075']	['HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
28	REAC	REAC:R-HSA-69239	Synthesis of DNA	2.562458796312273e-29	True	Synthesis of DNA	121	96	27	10022	0.28125	0.2231404958677686	query_1	['REAC:R-HSA-69242', 'REAC:R-HSA-69306']	['MCM6', 'MCM5', 'POLD3', 'MCM7', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'MCM4', 'PRIM2', 'CDK2', 'MCM2', 'POLA2', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2', 'ORC4', 'ORC2']
26	GO:BP	GO:0032200	telomere organization	3.1354985849363894e-29	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	187	100	28	15719	0.28	0.1497326203208556	query_1	['GO:0051276']	['HUS1', 'LMNA', 'NBN', 'RAD50', 'DCLRE1C', 'XRCC6', 'FEN1', 'RPA2', 'BRCA2', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'APEX1', 'EXO1', 'HUS1B', 'PRKDC', 'XRCC1', 'WRN', 'PNKP']
27	GO:BP	GO:0042770	signal transduction in response to DNA damage	4.825997328703472e-29	True	"""A cascade of processes induced by the detection of DNA damage within a cell."" [GOC:go_curators]"	190	100	28	15719	0.28	0.1473684210526315	query_1	['GO:0006974', 'GO:0035556']	['HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'TP53']
28	GO:BP	GO:0000075	cell cycle checkpoint signaling	5.435591005033212e-29	True	"""A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction."" [GOC:mtg_cell_cycle]"	191	100	28	15719	0.28	0.1465968586387434	query_1	['GO:0035556', 'GO:1901988']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
14	GO:CC	GO:0043228	non-membrane-bounded organelle	6.989265415908785e-29	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5014	101	86	16420	0.8514851485148515	0.0171519744714798	query_1	['GO:0043226']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD51AP1', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
12	GO:CC	GO:0090734	site of DNA damage	6.989265415908785e-29	True	"""A region of a chromosome at which DNA damage has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix."" [GOC:pg]"	104	101	23	16420	0.2277227722772277	0.2211538461538461	query_1	['GO:0005694', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'NBN', 'TP53BP1', 'RAD50', 'APLF', 'H2AX', 'RPA2', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'MRE11', 'RAD51', 'HUS1B', 'XRCC1', 'TP53', 'PNKP', 'RNF8']
13	GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	6.989265415908785e-29	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5013	101	86	16420	0.8514851485148515	0.0171553959704767	query_1	['GO:0043228', 'GO:0043229']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD51AP1', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
29	REAC	REAC:R-HSA-176187	Activation of ATR in response to replication stress	1.241677805602088e-28	True	Activation of ATR in response to replication stress	37	96	19	10022	0.1979166666666666	0.5135135135135135	query_1	['REAC:R-HSA-69481']	['MCM6', 'HUS1', 'RAD9B', 'MCM5', 'MCM7', 'RPA2', 'RAD1', 'MCM10', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'RAD9A', 'MCM4', 'CDK2', 'MCM2', 'MCM3', 'ORC4', 'ORC2']
30	REAC	REAC:R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	1.284084941912207e-28	True	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	25	96	17	10022	0.1770833333333333	0.68	query_1	['REAC:R-HSA-73933']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'POLD1', 'POLB', 'POLE2', 'POLE', 'POLD2']
31	REAC	REAC:R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	2.233165536048962e-28	True	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	14	96	14	10022	0.1458333333333333	1.0	query_1	['REAC:R-HSA-5358508']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2']
32	REAC	REAC:R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	2.233165536048962e-28	True	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	14	96	14	10022	0.1458333333333333	1.0	query_1	['REAC:R-HSA-5358508']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2', 'MSH6']
33	REAC	REAC:R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	2.8167127005398453e-28	True	PCNA-Dependent Long Patch Base Excision Repair	21	96	16	10022	0.1666666666666666	0.7619047619047619	query_1	['REAC:R-HSA-110373']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'APEX1', 'POLD1', 'POLB', 'POLE2', 'POLE', 'POLD2']
34	REAC	REAC:R-HSA-69306	DNA Replication	3.0717818286991354e-28	True	DNA Replication	187	96	30	10022	0.3125	0.160427807486631	query_1	['REAC:0000000']	['MCM6', 'RPA4', 'MCM5', 'POLD3', 'MCM7', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'MCM10', 'RPA3', 'RPA1', 'POLE3', 'MCM4', 'PRIM2', 'CDK2', 'MCM2', 'POLA2', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2', 'ORC4', 'ORC2']
15	GO:CC	GO:0030894	replisome	1.5940681329143286e-27	True	"""A multi-component enzymatic machine at the replication fork which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:mah, GOC:vw]"	23	101	15	16420	0.1485148514851485	0.6521739130434783	query_1	['GO:0005657', 'GO:0032993']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'MCM3', 'POLD2']
35	REAC	REAC:R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	1.6775575468454084e-27	True	Resolution of D-loop Structures through Holliday Junction Intermediates	34	96	18	10022	0.1875	0.5294117647058824	query_1	['REAC:R-HSA-5693537']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
36	REAC	REAC:R-HSA-69183	Processive synthesis on the lagging strand	2.964766428964222e-27	True	Processive synthesis on the lagging strand	15	96	14	10022	0.1458333333333333	0.9333333333333332	query_1	['REAC:R-HSA-69186']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
37	REAC	REAC:R-HSA-5693537	Resolution of D-Loop Structures	3.247818761072968e-27	True	Resolution of D-Loop Structures	35	96	18	10022	0.1875	0.5142857142857142	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1']
16	GO:CC	GO:0043596	nuclear replication fork	3.9648008483396945e-27	True	"""The Y-shaped region of a nuclear replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:jl, GOC:mtg_sensu]"	39	101	17	16420	0.1683168316831683	0.4358974358974359	query_1	['GO:0000228', 'GO:0005657']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'MCM10', 'RPA3', 'PARP1', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'MCM3', 'POLD2']
17	GO:CC	GO:0035861	site of double-strand break	6.554083519002462e-27	True	"""A region of a chromosome at which a DNA double-strand break has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix."" [GOC:bf, GOC:mah, GOC:vw, PMID:20096808, PMID:21035408]"	75	101	20	16420	0.198019801980198	0.2666666666666666	query_1	['GO:0090734']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'NBN', 'TP53BP1', 'RAD50', 'APLF', 'H2AX', 'RPA2', 'RPA3', 'PARP1', 'XRCC4', 'NHEJ1', 'MRE11', 'RAD51', 'HUS1B', 'TP53', 'PNKP', 'RNF8']
38	REAC	REAC:R-HSA-73884	Base Excision Repair	1.1021983061611518e-26	True	Base Excision Repair	88	96	23	10022	0.2395833333333333	0.2613636363636363	query_1	['REAC:R-HSA-73894']	['POLD3', 'LIG3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'OGG1', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'POLE2', 'PNKP', 'NEIL1', 'POLE', 'POLD2']
29	GO:BP	GO:0071478	cellular response to radiation	1.518523734711077e-26	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:mah]"	181	100	26	15719	0.26	0.143646408839779	query_1	['GO:0009314', 'GO:0071214']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'TP53']
18	GO:CC	GO:0032993	protein-DNA complex	1.7249598070537063e-26	True	"""A macromolecular complex containing both protein and DNA molecules."" [GOC:mah]"	227	101	27	16420	0.2673267326732673	0.118942731277533	query_1	['GO:0032991']	['MCM6', 'RPA4', 'XPA', 'MCM5', 'POLD3', 'MCM7', 'RAD52', 'XRCC6', 'POLD4', 'H2AX', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'MCM4', 'PRIM2', 'MCM2', 'PRKDC', 'POLA2', 'KAT5', 'POLD1', 'MCM3', 'POLD2']
19	GO:CC	GO:0042575	DNA polymerase complex	1.919461005584877e-26	True	"""A protein complex that possesses DNA polymerase activity and is involved in template directed synthesis of DNA."" [GOC:jl, PMID:12045093]"	20	101	14	16420	0.1386138613861386	0.7	query_1	['GO:0061695', 'GO:0140535']	['POLD3', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'CHRAC1', 'POLA2', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2']
20	GO:CC	GO:0043601	nuclear replisome	5.457025199237644e-26	True	"""A multi-component enzymatic machine at the nuclear replication fork, which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:jl, GOC:mtg_sensu]"	21	101	14	16420	0.1386138613861386	0.6666666666666666	query_1	['GO:0030894', 'GO:0043596', 'GO:0140513']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'MCM3', 'POLD2']
39	REAC	REAC:R-HSA-69242	S Phase	8.650180919351281e-26	True	S Phase	162	96	27	10022	0.28125	0.1666666666666666	query_1	['REAC:R-HSA-69278']	['MCM6', 'MCM5', 'POLD3', 'MCM7', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'MCM4', 'PRIM2', 'CDK2', 'MCM2', 'POLA2', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2', 'ORC4', 'ORC2']
30	GO:BP	GO:0006303	double-strand break repair via nonhomologous end joining	1.048800057023791e-25	True	"""The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear."" [GOC:rph, PMID:10827453, PMID:24837021]"	63	100	19	15719	0.19	0.3015873015873015	query_1	['GO:0006302']	['TP53BP1', 'DCLRE1C', 'XRCC6', 'LIG4', 'APLF', 'MLH1', 'POLA1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'ERCC4', 'ATM', 'MRE11', 'PRKDC', 'XRCC1', 'POLB', 'PNKP', 'RNF8']
31	GO:BP	GO:1901988	negative regulation of cell cycle phase transition	2.078006895759041e-25	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	255	100	28	15719	0.28	0.1098039215686274	query_1	['GO:0010948', 'GO:0044770', 'GO:1901987']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
40	REAC	REAC:R-HSA-69166	Removal of the Flap Intermediate	3.011164840905952e-25	True	Removal of the Flap Intermediate	14	96	13	10022	0.1354166666666666	0.9285714285714286	query_1	['REAC:R-HSA-69183']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
32	GO:BP	GO:0006284	base-excision repair	4.333132170421071e-25	True	"""In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."" [ISBN:0815316194]"	44	100	17	15719	0.17	0.3863636363636363	query_1	['GO:0006281']	['XPA', 'LIG3', 'FEN1', 'RPA2', 'OGG1', 'LIG1', 'PCNA', 'RPA3', 'RPA1', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'WRN', 'PNKP', 'NEIL1', 'POLE']
33	GO:BP	GO:0006289	nucleotide-excision repair	4.585786979022155e-25	True	"""A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts)."" [PMID:10197977]"	82	100	20	15719	0.2	0.2439024390243902	query_1	['GO:0006281']	['HUS1', 'RPA4', 'BRIP1', 'XPA', 'POLD3', 'RAD52', 'LIG4', 'RPA2', 'OGG1', 'BRCA2', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'HUS1B', 'KAT5', 'POLD1', 'TP53', 'PNKP', 'POLE']
34	GO:BP	GO:0051054	positive regulation of DNA metabolic process	9.929579428283435e-25	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	302	100	29	15719	0.29	0.0960264900662251	query_1	['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']	['RBBP8', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD51AP1', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ATM', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'PNKP', 'RNF8']
41	REAC	REAC:R-HSA-5633007	Regulation of TP53 Activity	1.6359905273884675e-24	True	Regulation of TP53 Activity	160	96	26	10022	0.2708333333333333	0.1625	query_1	['REAC:R-HSA-3700989']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
35	GO:BP	GO:0006270	DNA replication initiation	2.464771955530165e-24	True	"""The process in which DNA-dependent DNA replication is started; it begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, followed by DNA unwinding."" [PMID:28209641]"	38	100	16	15719	0.16	0.4210526315789473	query_1	['GO:0006259', 'GO:0006261']	['MCM6', 'RPA4', 'NBN', 'MCM5', 'MCM7', 'POLA1', 'PRIM1', 'MCM10', 'MCM4', 'PRIM2', 'CDK2', 'MCM2', 'POLA2', 'MCM3', 'ORC4', 'ORC2']
