GAPO syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
7	REAC	REAC:R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	7.362160358223816e-13	True	Intra-Golgi and retrograde Golgi-to-ER traffic	199	82	18	10022	0.2195121951219512	0.0904522613065326	query_1	['REAC:R-HSA-199991']	['GOSR1', 'VTI1A', 'GOSR2', 'VPS52', 'STX6', 'VPS54', 'STX10', 'VAMP4', 'IGF2R', 'VPS53', 'RAB9A', 'VAMP3', 'SEC22B', 'STX16', 'SNAP29', 'VPS51', 'NAPA', 'STX5']
8	REAC	REAC:R-HSA-8856828	Clathrin-mediated endocytosis	7.54352261841709e-13	True	Clathrin-mediated endocytosis	143	82	16	10022	0.1951219512195122	0.1118881118881118	query_1	['REAC:R-HSA-199991']	['VAMP7', 'AGFG1', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'VAMP2', 'STAM', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'VAMP3', 'HSPA8', 'VAMP8']
48	GO:CC	GO:0032991	protein-containing complex	1.2701021089196281e-12	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5491	101	70	16420	0.693069306930693	0.0127481333090511	query_1	['GO:0005575']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'HGS', 'ATP10D', 'ATP10A', 'COLEC12', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'AP1S2', 'HSPG2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'NFIL3', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
9	REAC	REAC:R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	2.106721209894076e-12	True	Cargo recognition for clathrin-mediated endocytosis	103	82	14	10022	0.1707317073170731	0.1359223300970873	query_1	['REAC:R-HSA-8856828']	['VAMP7', 'AGFG1', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'VAMP2', 'STAM', 'SLC18A3', 'VAMP4', 'IGF2R', 'VAMP3', 'VAMP8']
49	GO:BP	GO:0006836	neurotransmitter transport	2.1393456356657432e-12	True	"""The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [GOC:ai]"	193	98	16	15719	0.1632653061224489	0.082901554404145	query_1	['GO:0006810']	['SYT1', 'VAMP2', 'STX1A', 'SLC17A7', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
50	GO:CC	GO:0005765	lysosomal membrane	2.2186553579949077e-12	True	"""The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."" [GOC:ai]"	396	101	20	16420	0.198019801980198	0.0505050505050505	query_1	['GO:0005764', 'GO:0098852']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
49	GO:CC	GO:0098852	lytic vacuole membrane	2.2186553579949077e-12	True	"""The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell."" [GOC:dos]"	396	101	20	16420	0.198019801980198	0.0505050505050505	query_1	['GO:0000323', 'GO:0005774']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
50	GO:BP	GO:0017157	regulation of exocytosis	2.8932880121693266e-12	True	"""Any process that modulates the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	197	98	16	15719	0.1632653061224489	0.0812182741116751	query_1	['GO:0006887', 'GO:0060627', 'GO:1903530']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'VAMP2', 'STX1A', 'STAM', 'AP1G1', 'STXBP5', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'LGI3', 'VAMP8', 'RAB3A']
51	GO:CC	GO:0030666	endocytic vesicle membrane	3.577302638444452e-12	True	"""The lipid bilayer surrounding an endocytic vesicle."" [GOC:mah]"	187	101	15	16420	0.1485148514851485	0.0802139037433155	query_1	['GO:0030139', 'GO:0030659', 'GO:0098588']	['VAMP7', 'SYT1', 'COLEC12', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'SNAP23', 'RAB9A', 'VAMP3', 'SEC22B', 'VAMP8']
51	GO:BP	GO:0035493	SNARE complex assembly	1.1921532727453004e-11	True	"""The aggregation, arrangement and bonding together of a set of components to form a SNARE complex, a protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers."" [GOC:rb, PMID:10872468]"	21	98	8	15719	0.0816326530612244	0.3809523809523809	query_1	['GO:0006906', 'GO:0065003']	['VAMP2', 'STX1A', 'VAMP4', 'STX4', 'VAMP1', 'VAMP3', 'STXBP1', 'VAMP8']
52	GO:CC	GO:0005774	vacuolar membrane	1.3175549378777576e-11	True	"""The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."" [GOC:ai]"	437	101	20	16420	0.198019801980198	0.045766590389016	query_1	['GO:0005773', 'GO:0098588']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
53	GO:CC	GO:0045335	phagocytic vesicle	1.4425212692324143e-11	True	"""A membrane-bounded intracellular vesicle that arises from the ingestion of particulate material by phagocytosis."" [GOC:go_curators, ISBN:0198506732]"	136	101	13	16420	0.1287128712871287	0.0955882352941176	query_1	['GO:0030139']	['VAMP7', 'HGS', 'STX6', 'DNM2', 'STX4', 'SNAP23', 'RAB9A', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'VAMP8', 'STX8']
54	GO:CC	GO:0045202	synapse	1.802699732914664e-11	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1367	101	33	16420	0.3267326732673267	0.0241404535479151	query_1	['GO:0030054']	['VAMP7', 'APBA3', 'VTI1B', 'VTI1A', 'SYT1', 'PICALM', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'LRRTM4', 'STX10', 'STX3', 'SLC18A3', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'VAMP1', 'VAMP3', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'STX16', 'SNAP29', 'NAPA', 'RAB3A']
55	GO:CC	GO:0045334	clathrin-coated endocytic vesicle	2.9966331150333416e-11	True	"""A clathrin-coated, membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance."" [GOC:go_curators]"	86	101	11	16420	0.1089108910891089	0.127906976744186	query_1	['GO:0030136', 'GO:0030139']	['VAMP7', 'SYT1', 'PICALM', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'VAMP3', 'VAMP8']
10	REAC	REAC:R-HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	4.314941776116905e-11	True	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	20	82	8	10022	0.0975609756097561	0.4	query_1	['REAC:R-HSA-164952']	['AP1B1', 'PACS1', 'AP1S1', 'AP1M2', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
57	GO:CC	GO:0000938	GARP complex	4.969914721671584e-11	True	"""A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles."" [GOC:clt, GOC:rn, PMID:10637310, PMID:12077354, PMID:12446664]"	5	101	5	16420	0.0495049504950495	1.0	query_1	['GO:0005794', 'GO:0031410', 'GO:0099023']	['VPS52', 'VPS54', 'VPS53', 'EIPR1', 'VPS51']
58	GO:CC	GO:0030054	cell junction	4.969914721671584e-11	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	101	40	16420	0.396039603960396	0.0192307692307692	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'VTI1B', 'VTI1A', 'SYT1', 'CD99L2', 'PICALM', 'CD99', 'CLTC', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'SDCCAG8', 'LRRTM4', 'STX10', 'STX3', 'SLC18A3', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'SNAP23', 'HSPG2', 'VAMP1', 'VAMP3', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'STX16', 'SNAP29', 'NAPA', 'RAB3A']
56	GO:CC	GO:1990745	EARP complex	4.969914721671584e-11	True	"""A quatrefoil tethering complex required for endocytic recycling."" [PMID:25799061]"	5	101	5	16420	0.0495049504950495	1.0	query_1	['GO:0032991', 'GO:0055037']	['VPS52', 'VPS50', 'VPS53', 'EIPR1', 'VPS51']
52	GO:BP	GO:0010807	regulation of synaptic vesicle priming	5.0209578321439655e-11	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle priming. Synaptic vesicle priming is the formation of SNARE-containing complexes, bringing synaptic vesicle membrane and plasma membranes into close proximity and thereby facilitating membrane fusion."" [GOC:dph, GOC:kmv, GOC:tb, PMID:15489511]"	8	98	6	15719	0.0612244897959183	0.75	query_1	['GO:0016082', 'GO:0043254']	['STX1A', 'STXBP5', 'STX1B', 'STXBP1', 'NAPA', 'RAB3A']
59	GO:CC	GO:0055037	recycling endosome	5.3913363934752486e-11	True	"""An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane."" [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]"	188	101	14	16420	0.1386138613861386	0.0744680851063829	query_1	['GO:0005768']	['VTI1B', 'VPS52', 'STX7', 'ATP11A', 'STX6', 'AP1G1', 'VPS50', 'VPS53', 'VAMP3', 'STX12', 'VAMP8', 'EIPR1', 'STX8', 'VPS51']
60	GO:CC	GO:0099501	exocytic vesicle membrane	5.426926580596392e-11	True	"""The lipid bilayer surrounding an exocytic vesicle."" [GOC:dos]"	120	101	12	16420	0.1188118811881188	0.1	query_1	['GO:0030658', 'GO:0070382']	['SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
61	GO:CC	GO:0030672	synaptic vesicle membrane	5.426926580596392e-11	True	"""The lipid bilayer surrounding a synaptic vesicle."" [GOC:mah]"	120	101	12	16420	0.1188118811881188	0.1	query_1	['GO:0008021', 'GO:0099501']	['SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
53	GO:BP	GO:0001505	regulation of neurotransmitter levels	7.462459374023101e-11	True	"""Any process that modulates levels of neurotransmitter."" [GOC:jl]"	204	98	15	15719	0.1530612244897959	0.0735294117647058	query_1	['GO:0065008']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
54	GO:BP	GO:0032456	endocytic recycling	9.133370535151782e-11	True	"""The directed movement of membrane-bounded vesicles from endosomes back to the plasma membrane, a trafficking pathway that promotes the recycling of internalized transmembrane proteins."" [PMID:16473635, PMID:23563491]"	81	98	11	15719	0.1122448979591836	0.1358024691358024	query_1	['GO:0016197', 'GO:0098876']	['VTI1A', 'HGS', 'VPS52', 'STX6', 'VAMP4', 'VPS50', 'VPS53', 'STX12', 'STX16', 'EIPR1', 'VPS51']
55	GO:BP	GO:0006996	organelle organization	1.0399288073492875e-10	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3437	98	53	15719	0.5408163265306123	0.0154204247890602	query_1	['GO:0016043']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VAMP2', 'ATP8B1', 'STX7', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'AP1S1', 'SDCCAG8', 'ATP10B', 'ZFAND6', 'STX10', 'STX3', 'STAM', 'AP1G1', 'VAMP4', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'SNAP23', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'VPS51', 'RAB3A', 'STX5']
62	GO:CC	GO:0005770	late endosome	1.0512983017112684e-10	True	"""A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center."" [NIF_Subcellular:nlx_subcell_20090702, PMID:11964142, PMID:2557062]"	284	101	16	16420	0.1584158415841584	0.056338028169014	query_1	['GO:0005768']	['VAMP7', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'GOSR2', 'STX7', 'TMEM30A', 'AP1AR', 'ATP10B', 'IGF2R', 'LITAF', 'RAB9A', 'HSPA8', 'VAMP8', 'STX8']
63	GO:CC	GO:1990531	phospholipid-translocating ATPase complex	1.2075220772790665e-10	True	"""A protein complex that functions as a phospholipid-translocating P-Type ATPase."" [GOC:dph, GOC:rb, PMID:15090616]"	11	101	6	16420	0.0594059405940594	0.5454545454545454	query_1	['GO:1990351']	['ATP10D', 'ATP10A', 'ATP8B1', 'TMEM30A', 'ATP11A', 'ATP10B']
56	GO:BP	GO:0060627	regulation of vesicle-mediated transport	2.1008462871585078e-10	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	98	21	15719	0.2142857142857142	0.0404624277456647	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'VAMP2', 'STX1A', 'SLC17A7', 'STAM', 'AP1G1', 'VAMP4', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'LGI3', 'VAMP8', 'EIPR1', 'RAB3A']
64	GO:CC	GO:0060198	clathrin-sculpted vesicle	2.3660961031533153e-10	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release."" [GOC:dph]"	12	101	6	16420	0.0594059405940594	0.5	query_1	['GO:0030136']	['SYT1', 'VAMP2', 'SLC17A7', 'SLC18A3', 'HSPA8', 'RAB3A']
65	GO:CC	GO:0030667	secretory granule membrane	3.2175201537828157e-10	True	"""The lipid bilayer surrounding a secretory granule."" [GOC:mah]"	307	101	16	16420	0.1584158415841584	0.0521172638436482	query_1	['GO:0030141', 'GO:0030659', 'GO:0098588']	['VAMP7', 'SYT1', 'DOK3', 'VAMP2', 'TMEM30A', 'ATP11A', 'STX3', 'STXBP5', 'SNAP25', 'IGF2R', 'SNAP23', 'VAMP1', 'AP1M1', 'VAMP8', 'SNAP29', 'RAB3A']
12	REAC	REAC:R-HSA-168799	Neurotoxicity of clostridium toxins	4.547287208842261e-10	True	Neurotoxicity of clostridium toxins	9	82	6	10022	0.073170731707317	0.6666666666666666	query_1	['REAC:R-HSA-5339562']	['SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP1']
11	REAC	REAC:R-HSA-164952	The role of Nef in HIV-1 replication and disease pathogenesis	4.547287208842261e-10	True	The role of Nef in HIV-1 replication and disease pathogenesis	26	82	8	10022	0.0975609756097561	0.3076923076923077	query_1	['REAC:R-HSA-162909']	['AP1B1', 'PACS1', 'AP1S1', 'AP1M2', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
57	GO:BP	GO:0006892	post-Golgi vesicle-mediated transport	1.2736135348315482e-09	True	"""The directed movement of substances from the Golgi to other parts of the cell, including organelles and the plasma membrane, mediated by small transport vesicles."" [GOC:ai, GOC:mah]"	103	98	11	15719	0.1122448979591836	0.1067961165048543	query_1	['GO:0048193']	['AP1G2', 'VTI1B', 'VTI1A', 'VPS52', 'VAMP2', 'AP1AR', 'VPS54', 'AP1G1', 'DNM2', 'SNAP23', 'VAMP3']
66	GO:CC	GO:0030669	clathrin-coated endocytic vesicle membrane	2.011312592557369e-09	True	"""The lipid bilayer surrounding a clathrin-coated endocytic vesicle."" [GOC:mah]"	69	101	9	16420	0.0891089108910891	0.1304347826086956	query_1	['GO:0030665', 'GO:0030666', 'GO:0045334']	['VAMP7', 'SYT1', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'IGF2R', 'VAMP3', 'VAMP8']
67	GO:CC	GO:0005886	plasma membrane	2.1633690066142113e-09	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	101	60	16420	0.594059405940594	0.0123711340206185	query_1	['GO:0016020', 'GO:0071944']	['VAMP7', 'APBA3', 'CLEC4G', 'CHMP2A', 'SYT1', 'STAMBP', 'ATP10D', 'ATP10A', 'CD99L2', 'COLEC12', 'PICALM', 'CD99', 'DOK3', 'CLTC', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'SLC17A7', 'AP1S1', 'LRRTM4', 'ATP10B', 'STX3', 'PILRB', 'AP1G1', 'SLC18A3', 'VAMP4', 'PIANP', 'STXBP5', 'DNM2', 'STX1B', 'NID2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'STX8', 'FURIN', 'NPDC1', 'NAPA', 'RAB3A']
58	GO:BP	GO:1903530	regulation of secretion by cell	4.112818950606503e-09	True	"""Any process that modulates the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	546	98	20	15719	0.2040816326530612	0.0366300366300366	query_1	['GO:0032940', 'GO:0050794', 'GO:0051046']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'VAMP2', 'STX1A', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'RAB9A', 'VAMP3', 'STXBP1', 'LGI3', 'VAMP8', 'EIPR1', 'RAB3A']
70	GO:CC	GO:0060203	clathrin-sculpted glutamate transport vesicle membrane	6.996245075826156e-09	True	"""The lipid bilayer surrounding a clathrin-sculpted glutamate transport vesicle."" [GOC:dph]"	4	101	4	16420	0.0396039603960396	1.0	query_1	['GO:0030658', 'GO:0030665', 'GO:0060199']	['SYT1', 'VAMP2', 'SLC17A7', 'RAB3A']
69	GO:CC	GO:0071944	cell periphery	6.996245075826156e-09	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	101	62	16420	0.6138613861386139	0.0117490998673488	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'CLEC4G', 'TINAGL1', 'CHMP2A', 'SYT1', 'STAMBP', 'ATP10D', 'ATP10A', 'CD99L2', 'COLEC12', 'PICALM', 'CD99', 'DOK3', 'CLTC', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'SLC17A7', 'AP1S1', 'LRRTM4', 'ATP10B', 'STX3', 'PILRB', 'AP1G1', 'SLC18A3', 'VAMP4', 'PIANP', 'STXBP5', 'DNM2', 'STX1B', 'NID2', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'STX8', 'FURIN', 'NPDC1', 'NAPA', 'RAB3A']
68	GO:CC	GO:0060199	clathrin-sculpted glutamate transport vesicle	6.996245075826156e-09	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release and containing glutamate."" [GOC:dph]"	4	101	4	16420	0.0396039603960396	1.0	query_1	['GO:0030133', 'GO:0060198']	['SYT1', 'VAMP2', 'SLC17A7', 'RAB3A']
59	GO:BP	GO:1903532	positive regulation of secretion by cell	7.121765365576977e-09	True	"""Any process that activates or increases the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	283	98	15	15719	0.1530612244897959	0.0530035335689045	query_1	['GO:0032940', 'GO:0048522', 'GO:0051047', 'GO:1903530']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'STX1A', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'VAMP8', 'RAB3A']
60	GO:BP	GO:0017156	calcium-ion regulated exocytosis	8.318979726570444e-09	True	"""The release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle by fusion of the vesicle with the plasma membrane of a cell, induced by a rise in cytosolic calcium-ion levels."" [GOC:go_curators]"	66	98	9	15719	0.0918367346938775	0.1363636363636363	query_1	['GO:0045055']	['VAMP7', 'SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP3', 'STXBP1', 'RAB3A']
61	GO:BP	GO:0007041	lysosomal transport	8.318979726570444e-09	True	"""The directed movement of substances into, out of or within a lysosome."" [GOC:ai]"	123	98	11	15719	0.1122448979591836	0.089430894308943	query_1	['GO:0007034']	['VAMP7', 'CHMP2A', 'HGS', 'VPS52', 'VPS54', 'AP1G1', 'IGF2R', 'VPS53', 'HSPA8', 'STX8', 'VPS51']
13	REAC	REAC:R-HSA-5339562	Uptake and actions of bacterial toxins	8.583735747863924e-09	True	Uptake and actions of bacterial toxins	23	82	7	10022	0.0853658536585365	0.3043478260869565	query_1	['REAC:R-HSA-5663205']	['SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP1', 'FURIN']
62	GO:BP	GO:1990778	protein localization to cell periphery	8.911337125606411e-09	True	"""A process in which a protein is transported to, or maintained in, the cell periphery."" [PMID:18216290]"	339	98	16	15719	0.1632653061224489	0.0471976401179941	query_1	['GO:0008104']	['VTI1B', 'PICALM', 'CLTC', 'VAMP2', 'STX7', 'PACS1', 'STX3', 'STX1B', 'STX4', 'SNAP25', 'VAMP3', 'STXBP1', 'SNAP47', 'VAMP8', 'STX8', 'RAB3A']
71	GO:CC	GO:0030141	secretory granule	1.0122580507861822e-08	True	"""A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules."" [GOC:mah, ISBN:0198506732]"	867	101	23	16420	0.2277227722772277	0.0265282583621684	query_1	['GO:0012505', 'GO:0099503']	['VAMP7', 'VTI1B', 'SYT1', 'DOK3', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX3', 'STXBP5', 'STX4', 'SNAP25', 'IGF2R', 'SNAP23', 'VAMP1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'VAMP8', 'SNAP29', 'RAB3A']
72	GO:CC	GO:0031902	late endosome membrane	1.1652474831297917e-08	True	"""The lipid bilayer surrounding a late endosome."" [GOC:pz]"	152	101	11	16420	0.1089108910891089	0.0723684210526315	query_1	['GO:0005770', 'GO:0010008']	['VAMP7', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'GOSR2', 'TMEM30A', 'ATP10B', 'LITAF', 'VAMP8', 'STX8']
63	GO:BP	GO:0023061	signal release	1.2197593136067181e-08	True	"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]"	459	98	18	15719	0.1836734693877551	0.0392156862745098	query_1	['GO:0007267', 'GO:0032940']	['VAMP7', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'EIPR1', 'NAPA', 'RAB3A']
64	GO:BP	GO:1903307	positive regulation of regulated secretory pathway	1.8321845355717985e-08	True	"""Any process that activates or increases the frequency, rate or extent of regulated secretory pathway."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]"	49	98	8	15719	0.0816326530612244	0.1632653061224489	query_1	['GO:0045055', 'GO:0045921', 'GO:1903305']	['VAMP7', 'SYT1', 'STX1A', 'AP1G1', 'STX4', 'STXBP1', 'VAMP8', 'RAB3A']
