GAPO syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
104	GO:CC	GO:0032991	protein-containing complex	4.3785857547679176e-14	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5470	101	70	17376	0.693069306930693	0.0127970749542961	query_1	['GO:0005575']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'HGS', 'ATP10D', 'ATP10A', 'COLEC12', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'AP1S1', 'ATP10B', 'AP1M2', 'STX10', 'STX3', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'BET1', 'SNAP23', 'VPS53', 'AP1S2', 'HSPG2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'STXBP1', 'SNAP47', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'NFIL3', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
105	GO:BP	GO:0045921	positive regulation of exocytosis	7.049610583379455e-14	True	"""Any process that activates or increases the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	84	101	13	17376	0.1287128712871287	0.1547619047619047	query_1	['GO:0006887', 'GO:0017157', 'GO:1903532']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'STX1A', 'STAM', 'AP1G1', 'STXBP5', 'STX4', 'RAB9A', 'STXBP1', 'VAMP8', 'RAB3A']
106	GO:BP	GO:0099643	signal release from synapse	8.431352645780792e-14	True	"""Any signal release from a synapse."" [GOC:dos]"	137	101	15	17376	0.1485148514851485	0.1094890510948905	query_1	['GO:0023061', 'GO:0099536']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
107	GO:BP	GO:0007269	neurotransmitter secretion	8.431352645780792e-14	True	"""The regulated release of neurotransmitter from the presynapse into the synaptic cleft via calcium-regulated exocytosis during synaptic transmission."" [GOC:dph]"	137	101	15	17376	0.1485148514851485	0.1094890510948905	query_1	['GO:0001505', 'GO:0006836', 'GO:0007268', 'GO:0051649', 'GO:0099643']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
108	GO:BP	GO:0006836	neurotransmitter transport	7.667452541929452e-13	True	"""The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [GOC:ai]"	193	101	16	17376	0.1584158415841584	0.082901554404145	query_1	['GO:0006810']	['SYT1', 'VAMP2', 'STX1A', 'SLC17A7', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
109	GO:CC	GO:0098852	lytic vacuole membrane	7.897969664743956e-13	True	"""The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell."" [GOC:dos]"	396	101	20	17376	0.198019801980198	0.0505050505050505	query_1	['GO:0000323', 'GO:0005774']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
110	GO:CC	GO:0005765	lysosomal membrane	7.897969664743956e-13	True	"""The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."" [GOC:ai]"	396	101	20	17376	0.198019801980198	0.0505050505050505	query_1	['GO:0005764', 'GO:0098852']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
111	GO:BP	GO:0017157	regulation of exocytosis	1.0382630559479268e-12	True	"""Any process that modulates the frequency, rate or extent of exocytosis."" [GOC:go_curators]"	197	101	16	17376	0.1584158415841584	0.0812182741116751	query_1	['GO:0006887', 'GO:0060627', 'GO:1903530']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'VAMP2', 'STX1A', 'STAM', 'AP1G1', 'STXBP5', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'LGI3', 'VAMP8', 'RAB3A']
112	GO:CC	GO:0030666	endocytic vesicle membrane	1.4822173552070004e-12	True	"""The lipid bilayer surrounding an endocytic vesicle."" [GOC:mah]"	186	101	15	17376	0.1485148514851485	0.0806451612903225	query_1	['GO:0030139', 'GO:0030659', 'GO:0098588']	['VAMP7', 'SYT1', 'COLEC12', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'DNM2', 'STX4', 'IGF2R', 'SNAP23', 'RAB9A', 'VAMP3', 'SEC22B', 'VAMP8']
113	REAC	REAC:R-HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	3.0590175825507767e-12	True	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	20	101	8	17376	0.0792079207920792	0.4	query_1	['REAC:R-HSA-164952']	['AP1B1', 'PACS1', 'AP1S1', 'AP1M2', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
114	GO:CC	GO:0045202	synapse	4.055668686188988e-12	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1368	101	33	17376	0.3267326732673267	0.0241228070175438	query_1	['GO:0030054']	['VAMP7', 'APBA3', 'VTI1B', 'VTI1A', 'SYT1', 'PICALM', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'LRRTM4', 'STX10', 'STX3', 'SLC18A3', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'VAMP1', 'VAMP3', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'STX16', 'SNAP29', 'NAPA', 'RAB3A']
115	GO:CC	GO:0005774	vacuolar membrane	4.654561519353428e-12	True	"""The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."" [GOC:ai]"	437	101	20	17376	0.198019801980198	0.045766590389016	query_1	['GO:0005773', 'GO:0098588']	['VAMP7', 'AP1B1', 'VTI1B', 'CHMP2A', 'CLTC', 'STX7', 'TMEM30A', 'ATP11A', 'AP1S1', 'ATP10B', 'AP1M2', 'AP1G1', 'AP1S3', 'LITAF', 'AP1S2', 'AP1M1', 'HSPA8', 'VAMP8', 'SNAP29', 'STX8']
116	GO:CC	GO:0045335	phagocytic vesicle	6.378781435198933e-12	True	"""A membrane-bounded intracellular vesicle that arises from the ingestion of particulate material by phagocytosis."" [GOC:go_curators, ISBN:0198506732]"	135	101	13	17376	0.1287128712871287	0.0962962962962963	query_1	['GO:0030139']	['VAMP7', 'HGS', 'STX6', 'DNM2', 'STX4', 'SNAP23', 'RAB9A', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'VAMP8', 'STX8']
117	GO:BP	GO:0035493	SNARE complex assembly	6.895866628474591e-12	True	"""The aggregation, arrangement and bonding together of a set of components to form a SNARE complex, a protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers."" [GOC:rb, PMID:10872468]"	21	101	8	17376	0.0792079207920792	0.3809523809523809	query_1	['GO:0006906', 'GO:0065003']	['VAMP2', 'STX1A', 'VAMP4', 'STX4', 'VAMP1', 'VAMP3', 'STXBP1', 'VAMP8']
118	GO:BP	GO:0006996	organelle organization	7.960143963004964e-12	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3431	101	53	17376	0.5247524752475248	0.0154473914310696	query_1	['GO:0016043']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'CLTC', 'GOSR2', 'VAMP2', 'ATP8B1', 'STX7', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'AP1S1', 'SDCCAG8', 'ATP10B', 'ZFAND6', 'STX10', 'STX3', 'STAM', 'AP1G1', 'VAMP4', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'AP1S3', 'BET1', 'SNAP23', 'AP1S2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'VPS51', 'RAB3A', 'STX5']
119	GO:CC	GO:0030054	cell junction	8.598231343324336e-12	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2081	101	40	17376	0.396039603960396	0.0192215281114848	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'VTI1B', 'VTI1A', 'SYT1', 'CD99L2', 'PICALM', 'CD99', 'CLTC', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'VPS54', 'SH3BP1', 'SLC17A7', 'SDCCAG8', 'LRRTM4', 'STX10', 'STX3', 'SLC18A3', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'SNAP25', 'IGF2R', 'SNAP23', 'HSPG2', 'VAMP1', 'VAMP3', 'STX12', 'HSPA8', 'STXBP1', 'LGI3', 'SNAP47', 'STX16', 'SNAP29', 'NAPA', 'RAB3A']
120	GO:CC	GO:0045334	clathrin-coated endocytic vesicle	1.6128590603894522e-11	True	"""A clathrin-coated, membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance."" [GOC:go_curators]"	86	101	11	17376	0.1089108910891089	0.127906976744186	query_1	['GO:0030136', 'GO:0030139']	['VAMP7', 'SYT1', 'PICALM', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'DNM2', 'IGF2R', 'VAMP3', 'VAMP8']
121	GO:CC	GO:0055037	recycling endosome	2.6486555992447475e-11	True	"""An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane."" [GOC:dph, GOC:jid, GOC:kmv, GOC:rph, PMID:10930469, PMID:15601896, PMID:16246101, PMID:21556374, PMID:21562044]"	188	101	14	17376	0.1386138613861386	0.0744680851063829	query_1	['GO:0005768']	['VTI1B', 'VPS52', 'STX7', 'ATP11A', 'STX6', 'AP1G1', 'VPS50', 'VPS53', 'VAMP3', 'STX12', 'VAMP8', 'EIPR1', 'STX8', 'VPS51']
122	GO:BP	GO:0001505	regulation of neurotransmitter levels	2.8667565822178137e-11	True	"""Any process that modulates levels of neurotransmitter."" [GOC:jl]"	204	101	15	17376	0.1485148514851485	0.0735294117647058	query_1	['GO:0065008']	['SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'SNAP29', 'NAPA', 'RAB3A']
123	GO:CC	GO:0099501	exocytic vesicle membrane	2.929582946952768e-11	True	"""The lipid bilayer surrounding an exocytic vesicle."" [GOC:dos]"	120	101	12	17376	0.1188118811881188	0.1	query_1	['GO:0030658', 'GO:0070382']	['SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
124	GO:CC	GO:0030672	synaptic vesicle membrane	2.929582946952768e-11	True	"""The lipid bilayer surrounding a synaptic vesicle."" [GOC:mah]"	120	101	12	17376	0.1188118811881188	0.1	query_1	['GO:0008021', 'GO:0099501']	['SYT1', 'VAMP2', 'STX1A', 'STX6', 'SLC17A7', 'STX10', 'SLC18A3', 'VAMP1', 'STX12', 'SNAP47', 'STX16', 'RAB3A']
125	GO:BP	GO:0010807	regulation of synaptic vesicle priming	3.1946380544404146e-11	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle priming. Synaptic vesicle priming is the formation of SNARE-containing complexes, bringing synaptic vesicle membrane and plasma membranes into close proximity and thereby facilitating membrane fusion."" [GOC:dph, GOC:kmv, GOC:tb, PMID:15489511]"	8	101	6	17376	0.0594059405940594	0.75	query_1	['GO:0016082', 'GO:0043254']	['STX1A', 'STXBP5', 'STX1B', 'STXBP1', 'NAPA', 'RAB3A']
126	REAC	REAC:R-HSA-164952	The role of Nef in HIV-1 replication and disease pathogenesis	3.37950405435161e-11	True	The role of Nef in HIV-1 replication and disease pathogenesis	26	101	8	17376	0.0792079207920792	0.3076923076923077	query_1	['REAC:R-HSA-162909']	['AP1B1', 'PACS1', 'AP1S1', 'AP1M2', 'AP1G1', 'AP1S3', 'AP1S2', 'AP1M1']
127	GO:CC	GO:0000938	GARP complex	3.5637844524215925e-11	True	"""A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles."" [GOC:clt, GOC:rn, PMID:10637310, PMID:12077354, PMID:12446664]"	5	101	5	17376	0.0495049504950495	1.0	query_1	['GO:0005794', 'GO:0031410', 'GO:0099023']	['VPS52', 'VPS54', 'VPS53', 'EIPR1', 'VPS51']
128	GO:CC	GO:1990745	EARP complex	3.5637844524215925e-11	True	"""A quatrefoil tethering complex required for endocytic recycling."" [PMID:25799061]"	5	101	5	17376	0.0495049504950495	1.0	query_1	['GO:0032991', 'GO:0055037']	['VPS52', 'VPS50', 'VPS53', 'EIPR1', 'VPS51']
129	GO:CC	GO:0005770	late endosome	4.820820903352913e-11	True	"""A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center."" [NIF_Subcellular:nlx_subcell_20090702, PMID:11964142, PMID:2557062]"	285	101	16	17376	0.1584158415841584	0.0561403508771929	query_1	['GO:0005768']	['VAMP7', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'GOSR2', 'STX7', 'TMEM30A', 'AP1AR', 'ATP10B', 'IGF2R', 'LITAF', 'RAB9A', 'HSPA8', 'VAMP8', 'STX8']
130	GO:BP	GO:0032456	endocytic recycling	4.968200974610052e-11	True	"""The directed movement of membrane-bounded vesicles from endosomes back to the plasma membrane, a trafficking pathway that promotes the recycling of internalized transmembrane proteins."" [PMID:16473635, PMID:23563491]"	82	101	11	17376	0.1089108910891089	0.1341463414634146	query_1	['GO:0016197', 'GO:0098876']	['VTI1A', 'HGS', 'VPS52', 'STX6', 'VAMP4', 'VPS50', 'VPS53', 'STX12', 'STX16', 'EIPR1', 'VPS51']
131	GO:BP	GO:0060627	regulation of vesicle-mediated transport	5.7848895509301476e-11	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	518	101	21	17376	0.2079207920792079	0.0405405405405405	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'VAMP2', 'STX1A', 'SLC17A7', 'STAM', 'AP1G1', 'VAMP4', 'STXBP5', 'DNM2', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'LGI3', 'VAMP8', 'EIPR1', 'RAB3A']
132	REAC	REAC:R-HSA-168799	Neurotoxicity of clostridium toxins	6.088471784967937e-11	True	Neurotoxicity of clostridium toxins	9	101	6	17376	0.0594059405940594	0.6666666666666666	query_1	['REAC:R-HSA-5339562']	['SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP1']
133	GO:CC	GO:1990531	phospholipid-translocating ATPase complex	8.610115215943212e-11	True	"""A protein complex that functions as a phospholipid-translocating P-Type ATPase."" [GOC:dph, GOC:rb, PMID:15090616]"	11	101	6	17376	0.0594059405940594	0.5454545454545454	query_1	['GO:1990351']	['ATP10D', 'ATP10A', 'ATP8B1', 'TMEM30A', 'ATP11A', 'ATP10B']
134	GO:CC	GO:0030667	secretory granule membrane	1.3614915425456218e-10	True	"""The lipid bilayer surrounding a secretory granule."" [GOC:mah]"	306	101	16	17376	0.1584158415841584	0.0522875816993464	query_1	['GO:0030141', 'GO:0030659', 'GO:0098588']	['VAMP7', 'SYT1', 'DOK3', 'VAMP2', 'TMEM30A', 'ATP11A', 'STX3', 'STXBP5', 'SNAP25', 'IGF2R', 'SNAP23', 'VAMP1', 'AP1M1', 'VAMP8', 'SNAP29', 'RAB3A']
135	GO:CC	GO:0060198	clathrin-sculpted vesicle	1.6620143842533818e-10	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release."" [GOC:dph]"	12	101	6	17376	0.0594059405940594	0.5	query_1	['GO:0030136']	['SYT1', 'VAMP2', 'SLC17A7', 'SLC18A3', 'HSPA8', 'RAB3A']
136	GO:CC	GO:0005886	plasma membrane	1.7043352092599643e-10	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4844	101	60	17376	0.594059405940594	0.0123864574731626	query_1	['GO:0016020', 'GO:0071944']	['VAMP7', 'APBA3', 'CLEC4G', 'CHMP2A', 'SYT1', 'STAMBP', 'ATP10D', 'ATP10A', 'CD99L2', 'COLEC12', 'PICALM', 'CD99', 'DOK3', 'CLTC', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'SLC17A7', 'AP1S1', 'LRRTM4', 'ATP10B', 'STX3', 'PILRB', 'AP1G1', 'SLC18A3', 'VAMP4', 'PIANP', 'STXBP5', 'DNM2', 'STX1B', 'NID2', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'STX8', 'FURIN', 'NPDC1', 'NAPA', 'RAB3A']
137	GO:CC	GO:0071944	cell periphery	5.378667911759287e-10	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5270	101	62	17376	0.6138613861386139	0.0117647058823529	query_1	['GO:0110165']	['VAMP7', 'APBA3', 'CLEC4G', 'TINAGL1', 'CHMP2A', 'SYT1', 'STAMBP', 'ATP10D', 'ATP10A', 'CD99L2', 'COLEC12', 'PICALM', 'CD99', 'DOK3', 'CLTC', 'VAMP2', 'ATP8B1', 'STX7', 'TMEM30A', 'PILRA', 'ATP11A', 'STX1A', 'STX6', 'SH3BP1', 'SLC17A7', 'AP1S1', 'LRRTM4', 'ATP10B', 'STX3', 'PILRB', 'AP1G1', 'SLC18A3', 'VAMP4', 'PIANP', 'STXBP5', 'DNM2', 'STX1B', 'NID2', 'SCARA3', 'STX4', 'SNAP25', 'IGF2R', 'AP1S3', 'SNAP23', 'LITAF', 'RAB9A', 'AP1S2', 'HSPG2', 'VAMP1', 'ANTXR1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'STX8', 'FURIN', 'NPDC1', 'NAPA', 'RAB3A']
138	GO:BP	GO:0006892	post-Golgi vesicle-mediated transport	6.181511948611273e-10	True	"""The directed movement of substances from the Golgi to other parts of the cell, including organelles and the plasma membrane, mediated by small transport vesicles."" [GOC:ai, GOC:mah]"	103	101	11	17376	0.1089108910891089	0.1067961165048543	query_1	['GO:0048193']	['AP1G2', 'VTI1B', 'VTI1A', 'VPS52', 'VAMP2', 'AP1AR', 'VPS54', 'AP1G1', 'DNM2', 'SNAP23', 'VAMP3']
139	REAC	REAC:R-HSA-5339562	Uptake and actions of bacterial toxins	1.1919516633782658e-09	True	Uptake and actions of bacterial toxins	24	101	7	17376	0.0693069306930693	0.2916666666666667	query_1	['REAC:R-HSA-5663205']	['SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP1', 'FURIN']
140	GO:CC	GO:0030669	clathrin-coated endocytic vesicle membrane	1.1932648743735792e-09	True	"""The lipid bilayer surrounding a clathrin-coated endocytic vesicle."" [GOC:mah]"	69	101	9	17376	0.0891089108910891	0.1304347826086956	query_1	['GO:0030665', 'GO:0030666', 'GO:0045334']	['VAMP7', 'SYT1', 'CLTC', 'VAMP2', 'SLC18A3', 'VAMP4', 'IGF2R', 'VAMP3', 'VAMP8']
141	GO:BP	GO:1903530	regulation of secretion by cell	1.2648510712897924e-09	True	"""Any process that modulates the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	546	101	20	17376	0.198019801980198	0.0366300366300366	query_1	['GO:0032940', 'GO:0050794', 'GO:0051046']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'VAMP2', 'STX1A', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'RAB9A', 'VAMP3', 'STXBP1', 'LGI3', 'VAMP8', 'EIPR1', 'RAB3A']
142	GO:BP	GO:1903532	positive regulation of secretion by cell	2.805888222639753e-09	True	"""Any process that activates or increases the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	283	101	15	17376	0.1485148514851485	0.0530035335689045	query_1	['GO:0032940', 'GO:0048522', 'GO:0051047', 'GO:1903530']	['VAMP7', 'CHMP2A', 'SYT1', 'HGS', 'STX1A', 'STAM', 'AP1G1', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'RAB9A', 'STXBP1', 'VAMP8', 'RAB3A']
143	REAC	REAC:R-HSA-6811438	Intra-Golgi traffic	2.814756919765485e-09	True	Intra-Golgi traffic	44	101	8	17376	0.0792079207920792	0.1818181818181818	query_1	['REAC:R-HSA-6811442']	['GOSR1', 'VTI1A', 'GOSR2', 'STX6', 'STX16', 'SNAP29', 'NAPA', 'STX5']
144	GO:CC	GO:0030141	secretory granule	3.378729049326064e-09	True	"""A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules."" [GOC:mah, ISBN:0198506732]"	865	101	23	17376	0.2277227722772277	0.0265895953757225	query_1	['GO:0012505', 'GO:0099503']	['VAMP7', 'VTI1B', 'SYT1', 'DOK3', 'VAMP2', 'STX7', 'TMEM30A', 'ATP11A', 'STX1A', 'STX3', 'STXBP5', 'STX4', 'SNAP25', 'IGF2R', 'SNAP23', 'VAMP1', 'VAMP3', 'AP1M1', 'HSPA8', 'STXBP1', 'VAMP8', 'SNAP29', 'RAB3A']
145	GO:BP	GO:1990778	protein localization to cell periphery	3.768190449696543e-09	True	"""A process in which a protein is transported to, or maintained in, the cell periphery."" [PMID:18216290]"	341	101	16	17376	0.1584158415841584	0.0469208211143695	query_1	['GO:0008104']	['VTI1B', 'PICALM', 'CLTC', 'VAMP2', 'STX7', 'PACS1', 'STX3', 'STX1B', 'STX4', 'SNAP25', 'VAMP3', 'STXBP1', 'SNAP47', 'VAMP8', 'STX8', 'RAB3A']
146	GO:BP	GO:0007041	lysosomal transport	4.061411861524305e-09	True	"""The directed movement of substances into, out of or within a lysosome."" [GOC:ai]"	123	101	11	17376	0.1089108910891089	0.089430894308943	query_1	['GO:0007034']	['VAMP7', 'CHMP2A', 'HGS', 'VPS52', 'VPS54', 'AP1G1', 'IGF2R', 'VPS53', 'HSPA8', 'STX8', 'VPS51']
147	GO:BP	GO:0023061	signal release	4.231840955438256e-09	True	"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]"	459	101	18	17376	0.1782178217821782	0.0392156862745098	query_1	['GO:0007267', 'GO:0032940']	['VAMP7', 'SYT1', 'VAMP2', 'STX1A', 'STX3', 'SLC18A3', 'STXBP5', 'STX1B', 'STX4', 'SNAP25', 'SNAP23', 'STXBP1', 'SNAP47', 'VAMP8', 'SNAP29', 'EIPR1', 'NAPA', 'RAB3A']
148	REAC	REAC:R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	4.3724771684909775e-09	True	Acetylcholine Neurotransmitter Release Cycle	16	101	6	17376	0.0594059405940594	0.375	query_1	['REAC:R-HSA-112310']	['SYT1', 'VAMP2', 'STX1A', 'SLC18A3', 'SNAP25', 'RAB3A']
149	REAC	REAC:R-HSA-1280218	Adaptive Immune System	4.3724771684909775e-09	True	Adaptive Immune System	750	101	22	17376	0.2178217821782178	0.0293333333333333	query_1	['REAC:R-HSA-168256']	['AP1B1', 'CLEC4G', 'COLEC12', 'CD99', 'CLTC', 'PILRA', 'AP1S1', 'TPP2', 'AP1M2', 'PILRB', 'AP1G1', 'PIANP', 'DNM2', 'STX4', 'AP1S3', 'SNAP23', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'VAMP8', 'NPDC1']
150	GO:BP	GO:0017156	calcium-ion regulated exocytosis	4.421708095950213e-09	True	"""The release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle by fusion of the vesicle with the plasma membrane of a cell, induced by a rise in cytosolic calcium-ion levels."" [GOC:go_curators]"	66	101	9	17376	0.0891089108910891	0.1363636363636363	query_1	['GO:0045055']	['VAMP7', 'SYT1', 'VAMP2', 'STX1A', 'STX1B', 'SNAP25', 'VAMP3', 'STXBP1', 'RAB3A']
151	GO:CC	GO:0060199	clathrin-sculpted glutamate transport vesicle	5.4960251109149565e-09	True	"""A clathrin-sculpted lipid bilayer membrane-enclosed vesicle after clathrin release and containing glutamate."" [GOC:dph]"	4	101	4	17376	0.0396039603960396	1.0	query_1	['GO:0030133', 'GO:0060198']	['SYT1', 'VAMP2', 'SLC17A7', 'RAB3A']
