Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
267	GO:BP	GO:0031323	regulation of cellular metabolic process	1.2773707605128647e-10	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	5073	104	64	17376	0.6153846153846154	0.012615809185886	query_1	['GO:0019222', 'GO:0044237', 'GO:0050794']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
268	GO:BP	GO:0051103	DNA ligation involved in DNA repair	1.2853660853847293e-10	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase, that contributes to DNA repair."" [GOC:ai]"	5	104	5	17376	0.048076923076923	1.0	query_1	['GO:0006266', 'GO:0006281']	['LIG3', 'LIG4', 'XRCC4', 'NHEJ1', 'PNKP']
269	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	1.461904853607415e-10	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5234	104	65	17376	0.625	0.0124188001528467	query_1	['GO:0006807', 'GO:0019222']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
270	GO:BP	GO:0010569	regulation of double-strand break repair via homologous recombination	1.7484693538911296e-10	True	"""Any process that modulates the frequency, rate or extent of the error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences."" [GOC:dph, GOC:jp, GOC:tb]"	69	104	10	17376	0.0961538461538461	0.144927536231884	query_1	['GO:0000018', 'GO:0000724', 'GO:2000779']	['RBBP8', 'TP53BP1', 'RAD51AP1', 'WDR48', 'RPA2', 'PARP1', 'RAD51', 'KAT5', 'RMI2', 'KDM1A']
271	GO:BP	GO:0000729	DNA double-strand break processing	1.922170270357157e-10	True	"""The 5' to 3' exonucleolytic resection of the DNA at the site of the break to form a 3' single-strand DNA overhang."" [PMID:10357855]"	19	104	7	17376	0.0673076923076923	0.3684210526315789	query_1	['GO:0006259', 'GO:0006302']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD52', 'BLM', 'MRE11']
272	GO:BP	GO:0045911	positive regulation of DNA recombination	2.0014475157434076e-10	True	"""Any process that activates or increases the frequency, rate or extent of DNA recombination."" [GOC:go_curators]"	70	104	10	17376	0.0961538461538461	0.1428571428571428	query_1	['GO:0000018', 'GO:0006310', 'GO:0051054']	['RBBP8', 'MSH2', 'TP53BP1', 'RAD51AP1', 'WDR48', 'PAXIP1', 'MLH1', 'PARP1', 'KAT5', 'ERCC2']
273	REAC	REAC:R-HSA-5693548	Sensing of DNA Double Strand Breaks	2.072003548294345e-10	True	Sensing of DNA Double Strand Breaks	6	104	5	17376	0.048076923076923	0.8333333333333334	query_1	['REAC:R-HSA-5693606']	['NBN', 'RAD50', 'ATM', 'MRE11', 'KAT5']
274	GO:CC	GO:0005662	DNA replication factor A complex	2.114544643613636e-10	True	"""A conserved heterotrimeric complex that binds nonspecifically to single-stranded DNA and is required for multiple processes in eukaryotic DNA metabolism, including DNA replication, DNA repair, and recombination. In all eukaryotic organisms examined the complex is composed of subunits of approximately 70, 30, and 14 kDa."" [PMID:9242902]"	12	104	6	17376	0.0576923076923076	0.5	query_1	['GO:0043601', 'GO:0140513']	['RPA4', 'XPA', 'RPA2', 'RPA3', 'RPA1', 'ERCC5']
275	GO:BP	GO:0044271	cellular nitrogen compound biosynthetic process	2.161234503523292e-10	True	"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]"	4431	104	59	17376	0.5673076923076923	0.0133152787181223	query_1	['GO:0034641', 'GO:0044249']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'ERCC3', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'CDK4', 'POLE2', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8']
276	GO:BP	GO:0042113	B cell activation	2.711882776325283e-10	True	"""The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]"	288	104	16	17376	0.1538461538461538	0.0555555555555555	query_1	['GO:0046649']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'CDKN1A', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'TP53', 'RNF8', 'MSH6']
277	GO:BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	2.7615824319173385e-10	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	163	104	13	17376	0.125	0.0797546012269938	query_1	['GO:0000082', 'GO:1901990', 'GO:1902806']	['AKT1', 'CDK7', 'RPA2', 'CDKN1A', 'CCNH', 'ATM', 'CCND2', 'APEX1', 'MNAT1', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
278	GO:BP	GO:0000012	single strand break repair	3.1024643460380807e-10	True	"""The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."" [PMID:18626472]"	11	104	6	17376	0.0576923076923076	0.5454545454545454	query_1	['GO:0006281']	['LIG4', 'APLF', 'TDP1', 'PARP1', 'APTX', 'XRCC1']
279	GO:BP	GO:0009650	UV protection	3.1024643460380807e-10	True	"""Any process in which an organism or cell protects itself from ultraviolet radiation (UV), which may also result in resistance to repeated exposure to UV."" [GOC:jl, GOC:ml]"	11	104	6	17376	0.0576923076923076	0.5454545454545454	query_1	['GO:0009411']	['XPA', 'FEN1', 'ERCC3', 'ERCC1', 'ERCC4', 'ERCC2']
280	GO:BP	GO:0006301	postreplication repair	4.4368176189406596e-10	True	"""The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication. Includes pathways that remove replication-blocking lesions in conjunction with DNA replication."" [GOC:elh]"	35	104	8	17376	0.0769230769230769	0.2285714285714285	query_1	['GO:0006281']	['MSH2', 'USP1', 'POLD3', 'PCNA', 'BRCA1', 'POLD1', 'POLE2', 'POLD2']
281	GO:BP	GO:0032204	regulation of telomere maintenance	4.938432769148506e-10	True	"""Any process that modulates the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	104	104	11	17376	0.1057692307692307	0.1057692307692307	query_1	['GO:0000723', 'GO:0033044', 'GO:0051052']	['NBN', 'RAD50', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'XRCC1', 'PNKP']
282	REAC	REAC:R-HSA-162594	Early Phase of HIV Life Cycle	5.64911605766853e-10	True	Early Phase of HIV Life Cycle	14	104	6	17376	0.0576923076923076	0.4285714285714285	query_1	['REAC:R-HSA-162587']	['XRCC6', 'LIG4', 'FEN1', 'LIG1', 'XRCC4', 'XRCC5']
283	GO:BP	GO:0016446	somatic hypermutation of immunoglobulin genes	6.043425182964718e-10	True	"""Mutations occurring somatically that result in amino acid changes in the rearranged V regions of immunoglobulins."" [GOC:add, ISBN:0781735149, PMID:11205330, PMID:11205333, PMID:14975236, PMID:7813007]"	12	104	6	17376	0.0576923076923076	0.5	query_1	['GO:0002566', 'GO:0016445']	['MSH2', 'MLH1', 'PMS2', 'EXO1', 'POLB', 'MSH6']
284	GO:BP	GO:0080090	regulation of primary metabolic process	6.043425182964718e-10	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5398	104	65	17376	0.625	0.0120414968506854	query_1	['GO:0019222', 'GO:0044238']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
285	GO:BP	GO:0033260	nuclear DNA replication	7.01839429160518e-10	True	"""The DNA-dependent DNA replication that occurs in the nucleus of eukaryotic organisms as part of the cell cycle."" [GOC:mtg_cell_cycle]"	37	104	8	17376	0.0769230769230769	0.2162162162162162	query_1	['GO:0044786']	['FEN1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'BLM', 'RAD51', 'WRN']
286	GO:BP	GO:0010833	telomere maintenance via telomere lengthening	8.334832098432185e-10	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and lengthening the telomeric DNA."" [GOC:dph, GOC:tb]"	81	104	10	17376	0.0961538461538461	0.1234567901234567	query_1	['GO:0000723']	['RAD50', 'ATR', 'PARP1', 'XRCC5', 'RPA1', 'ERCC4', 'ATM', 'MRE11', 'RAD51', 'PNKP']
287	GO:CC	GO:0032300	mismatch repair complex	8.403592753358891e-10	True	"""Any complex formed of proteins that act in mismatch repair."" [GOC:mah]"	7	104	5	17376	0.048076923076923	0.7142857142857143	query_1	['GO:0005622', 'GO:0032991']	['MSH2', 'MLH1', 'MSH3', 'PMS2', 'MSH6']
288	GO:BP	GO:0002566	somatic diversification of immune receptors via somatic mutation	1.0896893151458823e-09	True	"""The process in which immune receptor genes are diversified through somatic mutation."" [ISBN:0781735149, PMID:16102575]"	13	104	6	17376	0.0576923076923076	0.4615384615384615	query_1	['GO:0002200']	['MSH2', 'MLH1', 'PMS2', 'EXO1', 'POLB', 'MSH6']
289	GO:BP	GO:1902806	regulation of cell cycle G1/S phase transition	1.6697323152204555e-09	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]"	189	104	13	17376	0.125	0.0687830687830687	query_1	['GO:0044843', 'GO:1901987']	['AKT1', 'CDK7', 'RPA2', 'CDKN1A', 'CCNH', 'ATM', 'CCND2', 'APEX1', 'MNAT1', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
290	REAC	REAC:R-HSA-110362	POLB-Dependent Long Patch Base Excision Repair	1.873447016576298e-09	True	POLB-Dependent Long Patch Base Excision Repair	8	104	5	17376	0.048076923076923	0.625	query_1	['REAC:R-HSA-110373']	['FEN1', 'LIG1', 'PARP1', 'APEX1', 'POLB']
291	GO:BP	GO:0000722	telomere maintenance via recombination	1.873562710848729e-09	True	"""Any recombinational process that contributes to the maintenance of proper telomeric length."" [GOC:elh, PMID:11850777]"	14	104	6	17376	0.0576923076923076	0.4285714285714285	query_1	['GO:0000723', 'GO:0006312']	['RAD50', 'BRCA2', 'ERCC1', 'ERCC4', 'RAD51', 'XRCC1']
292	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	1.876673170368635e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2994	104	46	17376	0.4423076923076923	0.0153640614562458	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD51AP1', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'WRN', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'CCND1', 'RNF8']
293	GO:BP	GO:0071482	cellular response to light stimulus	1.876673170368635e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:mah]"	118	104	11	17376	0.1057692307692307	0.0932203389830508	query_1	['GO:0009416', 'GO:0071478']	['XPA', 'POLD3', 'PCNA', 'CDKN1A', 'ATR', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'TP53', 'KDM1A']
294	REAC	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	1.9878061132386034e-09	True	SUMO E3 ligases SUMOylate target proteins	170	104	12	17376	0.1153846153846153	0.0705882352941176	query_1	['REAC:R-HSA-2990846']	['TP53BP1', 'RAD52', 'MDC1', 'PCNA', 'AR', 'PARP1', 'XRCC4', 'RPA1', 'BLM', 'BRCA1', 'WRN', 'TP53']
295	GO:BP	GO:0044786	cell cycle DNA replication	2.001857188123425e-09	True	"""The DNA-dependent DNA replication that takes place as part of the cell cycle."" [GOC:mtg_cell_cycle]"	42	104	8	17376	0.0769230769230769	0.1904761904761904	query_1	['GO:0006261', 'GO:0022402']	['FEN1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'BLM', 'RAD51', 'WRN']
296	GO:BP	GO:1904353	regulation of telomere capping	2.138628199860226e-09	True	"""Any process that modulates the frequency, rate or extent of telomere capping."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	26	104	7	17376	0.0673076923076923	0.2692307692307692	query_1	['GO:0016233', 'GO:0032204']	['NBN', 'RAD50', 'ERCC1', 'ERCC4', 'ATM', 'XRCC1', 'PNKP']
297	REAC	REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	2.1968839635115883e-09	True	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	17	104	6	17376	0.0576923076923076	0.3529411764705882	query_1	['REAC:R-HSA-9659787']	['CDKN1A', 'CCND2', 'CDK2', 'CDK4', 'CDK6', 'CCND1']
298	REAC	REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	2.1968839635115883e-09	True	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	17	104	6	17376	0.0576923076923076	0.3529411764705882	query_1	['REAC:R-HSA-9687139']	['CDKN1A', 'CCND2', 'CDK2', 'CDK4', 'CDK6', 'CCND1']
299	GO:CC	GO:0005730	nucleolus	2.295352053905894e-09	True	"""A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."" [ISBN:0198506732]"	974	104	25	17376	0.2403846153846154	0.0256673511293634	query_1	['GO:0031981', 'GO:0043232']	['HUS1', 'NBN', 'CDK7', 'XRCC6', 'HLTF', 'FEN1', 'POLA1', 'CDKN1A', 'PARP1', 'XRCC5', 'NHEJ1', 'APTX', 'FANCD2', 'BLM', 'ATM', 'CCND2', 'APEX1', 'HUS1B', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'CDK4', 'TP53', 'PNKP']
300	GO:CC	GO:0005622	intracellular anatomical structure	2.307549932199794e-09	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13677	104	103	17376	0.9903846153846154	0.0075308912773268	query_1	['GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PHLPP1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
301	REAC	REAC:R-HSA-2990846	SUMOylation	2.690704827524146e-09	True	SUMOylation	175	104	12	17376	0.1153846153846153	0.0685714285714285	query_1	['REAC:R-HSA-597592']	['TP53BP1', 'RAD52', 'MDC1', 'PCNA', 'AR', 'PARP1', 'XRCC4', 'RPA1', 'BLM', 'BRCA1', 'WRN', 'TP53']
302	GO:BP	GO:0060255	regulation of macromolecule metabolic process	2.936925226039019e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	5738	104	66	17376	0.6346153846153846	0.0115022655977692	query_1	['GO:0019222', 'GO:0043170']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'POLA1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
303	GO:BP	GO:0090737	telomere maintenance via telomere trimming	2.956842883762341e-09	True	"""A process that contributes to the maintenance of proper telomeric length and structure via the activation of telomere shortening pathways that compensate telomerase-dependent excessive telomere elongation. Telomere attrition is mediated by a mechanism which involves the generation of single-stranded C-rich telomeric DNA, and the formation and removal of double-stranded telomeric circular DNA (T-circles). Telomere trimming is an independent pathway to recombination-mediated telomere elongation and the well-documented gradual telomere attrition that accompanies cellular replication."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:27918544]"	15	104	6	17376	0.0576923076923076	0.4	query_1	['GO:0000723']	['NBN', 'XRCC5', 'ERCC1', 'BLM', 'EXO1', 'WRN']
304	GO:BP	GO:0090656	t-circle formation	2.956842883762341e-09	True	"""A telomere maintenance process that results in the formation of a telomeric circle, or t-circle. A t-circle is an extrachromosomal duplex or single-stranded circular DNA molecule composed of t-arrays. T-circles are involved in the control of telomere length via alternative-lengthening of telomeres (ALT) pathway and telomere rapid deletion (TRD)."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:19214183, PMID:19581589, PMID:19809492, PMID:19858100]"	15	104	6	17376	0.0576923076923076	0.4	query_1	['GO:0001325', 'GO:0090737']	['NBN', 'XRCC5', 'ERCC1', 'BLM', 'EXO1', 'WRN']
305	GO:BP	GO:0001325	formation of extrachromosomal circular DNA	2.956842883762341e-09	True	"""Excision from the chromosome and circularization of a region of chromosomal DNA, generally, but not always, via homologous recombination between direct tandem repeats."" [GOC:jh, PMID:12044938]"	15	104	6	17376	0.0576923076923076	0.4	query_1	['GO:0006259', 'GO:0022607']	['NBN', 'XRCC5', 'ERCC1', 'BLM', 'EXO1', 'WRN']
306	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	3.5610616972398367e-09	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	294	104	15	17376	0.1442307692307692	0.0510204081632653	query_1	['GO:0035556', 'GO:0097190']	['AKT1', 'NBN', 'MSH2', 'MLH1', 'BRCA2', 'CDKN1A', 'PARP1', 'ATM', 'RAD9A', 'BRCA1', 'PRKDC', 'POLB', 'TP53', 'KDM1A', 'MSH6']
307	GO:BP	GO:0007127	meiosis I	3.6250790277062952e-09	True	"""The first meiotic nuclear division in which homologous chromosomes are paired and segregated from each other, producing two haploid daughter nuclei."" [GOC:dph, GOC:jl, GOC:mtg_cell_cycle, PMID:9334324]"	126	104	11	17376	0.1057692307692307	0.0873015873015873	query_1	['GO:0061982', 'GO:0140013']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
308	GO:BP	GO:0031325	positive regulation of cellular metabolic process	4.441257417425106e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2839	104	44	17376	0.4230769230769231	0.0154984149348362	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD51AP1', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'CCND1', 'RNF8']
309	GO:BP	GO:0090399	replicative senescence	4.596646818207615e-09	True	"""A cell aging process associated with the dismantling of a cell as a response to telomere shortening and/or cellular aging."" [GOC:BHF]"	16	104	6	17376	0.0576923076923076	0.375	query_1	['GO:0044237']	['CDKN1A', 'ATR', 'ERCC1', 'ATM', 'WRN', 'TP53']
310	REAC	REAC:R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	4.651656670708515e-09	True	DNA Damage/Telomere Stress Induced Senescence	79	104	9	17376	0.0865384615384615	0.1139240506329113	query_1	['REAC:R-HSA-2559583']	['NBN', 'RAD50', 'H2AX', 'CDKN1A', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'TP53']
311	REAC	REAC:R-HSA-162587	HIV Life Cycle	4.891084686010439e-09	True	HIV Life Cycle	145	104	11	17376	0.1057692307692307	0.0758620689655172	query_1	['REAC:R-HSA-162906']	['CDK7', 'XRCC6', 'LIG4', 'FEN1', 'ERCC3', 'LIG1', 'CCNH', 'XRCC4', 'XRCC5', 'MNAT1', 'ERCC2']
312	REAC	REAC:R-HSA-110381	Resolution of AP sites via the single-nucleotide replacement pathway	5.474198005379074e-09	True	Resolution of AP sites via the single-nucleotide replacement pathway	4	104	4	17376	0.0384615384615384	1.0	query_1	['REAC:R-HSA-73933']	['LIG3', 'APEX1', 'XRCC1', 'POLB']
313	GO:BP	GO:0033152	immunoglobulin V(D)J recombination	5.8020139160422224e-09	True	"""The process in which immunoglobulin gene segments are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS). For immunoglobulin heavy chains V, D, and J gene segments are joined, and for immunoglobulin light chains V and J gene segments are joined."" [GOC:add, ISBN:0781735149]"	8	104	5	17376	0.048076923076923	0.625	query_1	['GO:0016447', 'GO:0033151']	['LIG4', 'XRCC4', 'NHEJ1', 'PRKDC', 'POLB']
