COG5-CDG	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
197	GO:BP	GO:0043068	positive regulation of programmed cell death	2.2116155677220945e-17	True	"""Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	522	101	27	21110	0.2673267326732673	0.0517241379310344	query_1	['GO:0010942', 'GO:0012501', 'GO:0043067']	['BCL2L11', 'BAX', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'FOXO3', 'NLRC4', 'FASLG', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'PYCARD', 'BAK1', 'CASP8', 'FBXW7', 'TP53', 'BCL10', 'BAD']
198	GO:BP	GO:0070997	neuron death	2.23534228631486e-17	True	"""The process of cell death in a neuron."" [GOC:BHF, GOC:mah]"	370	101	24	21110	0.2376237623762376	0.0648648648648648	query_1	['GO:0008219']	['BCL2L11', 'BAX', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'FOXO3', 'FASLG', 'MCL1', 'TBK1', 'TNF', 'FAS', 'FADD', 'BID', 'BBC3', 'IKBKG', 'TRAF2', 'NLRP1', 'BCL2L1', 'CASP8', 'APP', 'FBXW7', 'TP53', 'BAD']
199	GO:BP	GO:0031323	regulation of cellular metabolic process	3.0297394123163614e-17	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	5493	101	71	21110	0.7029702970297029	0.0129255415983979	query_1	['GO:0019222', 'GO:0044237', 'GO:0050794']	['BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'FOXO3', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'APP', 'TAB3', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
200	GO:BP	GO:0010942	positive regulation of cell death	3.743903573637834e-17	True	"""Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	590	101	28	21110	0.2772277227722772	0.047457627118644	query_1	['GO:0008219', 'GO:0010941', 'GO:0048522']	['BCL2L11', 'BAX', 'GSK3B', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'FOXO3', 'NLRC4', 'FASLG', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'PYCARD', 'BAK1', 'CASP8', 'FBXW7', 'TP53', 'BCL10', 'BAD']
201	GO:BP	GO:0070265	necrotic cell death	5.25345887002786e-17	True	"""A type of cell death that is morphologically characterized by an increasingly translucent cytoplasm, swelling of organelles, minor ultrastructural modifications of the nucleus (specifically, dilatation of the nuclear membrane and condensation of chromatin into small, irregular, circumscribed patches) and increased cell volume (oncosis), culminating in the disruption of the plasma membrane and subsequent loss of intracellular contents. Necrotic cells do not fragment into discrete corpses as their apoptotic counterparts do. Moreover, their nuclei remain intact and can aggregate and accumulate in necrotic tissues."" [GOC:mtg_apoptosis, PMID:18846107, PMID:20823910]"	61	101	14	21110	0.1386138613861386	0.2295081967213114	query_1	['GO:0008219']	['BAX', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8', 'TP53']
202	REAC	REAC:R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	5.5124989411236576e-17	True	Downstream signaling events of B Cell Receptor (BCR)	80	94	17	10790	0.1808510638297872	0.2125	query_1	['REAC:R-HSA-983705']	['CARD11', 'NFKBIE', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'REL', 'NFKBIA', 'CUL1', 'BCL10']
203	GO:BP	GO:0060548	negative regulation of cell death	5.679669615318601e-17	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	1005	101	34	21110	0.3366336633663366	0.0338308457711442	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'RIPK1', 'CFLAR', 'TNFSF14', 'MALT1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'TNFAIP3', 'BIRC2', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BCL10', 'BAD']
204	GO:BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	5.983030309478972e-17	True	"""Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	154	101	18	21110	0.1782178217821782	0.1168831168831168	query_1	['GO:0097191', 'GO:2001233']	['HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FADD', 'BID', 'RIPK1', 'CFLAR', 'TRAF2', 'TNFAIP3', 'LTBR', 'PYCARD', 'BCL2L1', 'BCL10']
205	REAC	REAC:R-HSA-2871837	FCERI mediated NF-kB activation	6.033973838686531e-17	True	FCERI mediated NF-kB activation	136	94	20	10790	0.2127659574468085	0.1470588235294117	query_1	['REAC:R-HSA-2454202']	['CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA', 'TAB3', 'CUL1', 'BCL10', 'UBE2N']
206	GO:BP	GO:0002221	pattern recognition receptor signaling pathway	6.699640829963e-17	True	"""The series of molecular signals initiated by a ligand binding to a pattern recognition receptor (PRR), and ending with the regulation of a downstream cellular process, e.g. transcription. PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species, or damage-associated molecular pattern (DAMPs), endogenous molecules released from damaged cells."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967]"	186	101	19	21110	0.1881188118811881	0.1021505376344086	query_1	['GO:0002758']	['HSPA1A', 'TRAF3', 'RELA', 'NLRC4', 'TNF', 'TNIP2', 'TNIP1', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP1', 'BCL10']
207	GO:BP	GO:2001235	positive regulation of apoptotic signaling pathway	1.0080915905334827e-16	True	"""Any process that activates or increases the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	130	101	17	21110	0.1683168316831683	0.1307692307692307	query_1	['GO:0009967', 'GO:0043065', 'GO:0097190', 'GO:2001233']	['BCL2L11', 'BAX', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'BBC3', 'RIPK1', 'TRAF2', 'LTBR', 'PYCARD', 'FBXW7', 'TP53', 'BCL10', 'BAD']
208	REAC	REAC:R-HSA-202424	Downstream TCR signaling	1.0517650611885136e-16	True	Downstream TCR signaling	100	94	18	10790	0.1914893617021276	0.18	query_1	['REAC:R-HSA-202403']	['CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CUL1', 'BCL10', 'UBE2N']
209	GO:BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1.6869363930078088e-16	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	108	101	16	21110	0.1584158415841584	0.1481481481481481	query_1	['GO:0006974', 'GO:0097193']	['BCL2L11', 'BAX', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'MCL1', 'IKBKE', 'TNF', 'BID', 'BBC3', 'PYCARD', 'BCL2L1', 'SFN', 'BAK1', 'TP53', 'BAD']
210	REAC	REAC:R-HSA-202403	TCR signaling	1.7338463436493948e-16	True	TCR signaling	122	94	19	10790	0.202127659574468	0.1557377049180328	query_1	['REAC:R-HSA-1280218']	['CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'FYB1', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CUL1', 'BCL10', 'UBE2N']
211	KEGG	KEGG:05135	Yersinia infection	1.7982989739261574e-16	True	Yersinia infection	136	95	21	8161	0.2210526315789473	0.1544117647058823	query_1	['KEGG:00000']	['GSK3B', 'AKT1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'NLRC4', 'FYB1', 'TBK1', 'TNF', 'NFKB1', 'NLRP3', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'MEFV', 'PYCARD', 'TRAF6', 'NFKBIA', 'CASP1']
212	KEGG	KEGG:04620	Toll-like receptor signaling pathway	2.2319557104806543e-16	True	Toll-like receptor signaling pathway	102	95	19	8161	0.2	0.1862745098039215	query_1	['KEGG:00000']	['MAP3K8', 'AKT1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TBK1', 'TNF', 'FADD', 'NFKB1', 'RIPK1', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8']
213	GO:BP	GO:0043069	negative regulation of programmed cell death	2.6792492637309763e-16	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	905	101	32	21110	0.3168316831683168	0.0353591160220994	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'HSP90AB1', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'RIPK1', 'CFLAR', 'TNFSF14', 'MALT1', 'TAX1BP1', 'BIRC3', 'TRAF2', 'TNFAIP3', 'BIRC2', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BCL10', 'BAD']
214	WP	WP:WP4655	Cytosolic DNA-sensing pathway	2.718399298954537e-16	True	Cytosolic DNA-sensing pathway	73	92	17	8133	0.1847826086956521	0.2328767123287671	query_1	['WP:000000']	['NFKBIB', 'CASP10', 'CHUK', 'RELA', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'NFKB1', 'RIPK1', 'TRADD', 'IKBKG', 'AIM2', 'PYCARD', 'NFKBIA', 'CASP1', 'CASP8']
215	GO:BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	3.4979801973699387e-16	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis, PMID:15044679, PMID:20816705]"	69	101	14	21110	0.1386138613861386	0.2028985507246377	query_1	['GO:0038034', 'GO:0097191']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'MCL1', 'TNF', 'FAS', 'FADD', 'RIPK1', 'BCL2L1', 'BAK1', 'BAD']
216	GO:BP	GO:0038034	signal transduction in absence of ligand	3.4979801973699387e-16	True	"""The series of molecular signals initiated by the absence of a ligand or the withdrawal of a ligand from a receptor."" [GOC:al, GOC:ppm, GOC:pr, PMID:15044679]"	69	101	14	21110	0.1386138613861386	0.2028985507246377	query_1	['GO:0007165']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'MCL1', 'TNF', 'FAS', 'FADD', 'RIPK1', 'BCL2L1', 'BAK1', 'BAD']
217	KEGG	KEGG:04623	Cytosolic DNA-sensing pathway	3.528255418243939e-16	True	Cytosolic DNA-sensing pathway	74	95	17	8161	0.1789473684210526	0.2297297297297297	query_1	['KEGG:00000']	['NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'NFKB1', 'NLRP3', 'RIPK1', 'IKBKG', 'AIM2', 'MEFV', 'PYCARD', 'NFKBIA', 'CASP1', 'CASP8']
218	GO:BP	GO:0051239	regulation of multicellular organismal process	3.657437659645192e-16	True	"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]"	3021	101	53	21110	0.5247524752475248	0.0175438596491228	query_1	['GO:0032501', 'GO:0050789']	['BCL2L11', 'CARD11', 'MAP3K8', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'TRAF3', 'PYDC2', 'BCL2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'FOXO3', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'TBK1', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'RIPK1', 'TNFSF14', 'TRADD', 'MALT1', 'LTB', 'HSP90AA1', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'TRAF6', 'SFN', 'NFKBIA', 'CASP1', 'CASP8', 'APP', 'FBXW7', 'TP53', 'BCL10', 'BAD', 'NLRP2']
219	WP	WP:WP69	T-cell receptor signaling pathway	4.707206123320992e-16	True	T-cell receptor signaling pathway	90	92	18	8133	0.1956521739130435	0.2	query_1	['WP:000000']	['CARD11', 'MAP3K8', 'AKT1', 'MAP3K14', 'CHUK', 'RELA', 'IKBKB', 'FYB1', 'FAS', 'NFKB1', 'PSTPIP1', 'MALT1', 'IKBKG', 'MAP3K7', 'REL', 'TRAF6', 'NFKBIA', 'BCL10']
220	GO:BP	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	4.831397685728669e-16	True	"""Any process that modulates the rate or extent of the tumor necrosis factor-mediated signaling pathway. The tumor necrosis factor-mediated signaling pathway is the series of molecular signals generated as a consequence of tumor necrosis factor binding to a cell surface receptor."" [GOC:dph, GOC:tb]"	53	101	13	21110	0.1287128712871287	0.2452830188679245	query_1	['GO:0001959', 'GO:0033209']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2']
221	GO:BP	GO:0070266	necroptotic process	5.595993585468846e-16	True	"""A programmed necrotic cell death process which begins when a cell receives a signal (e.g. a ligand binding to a death receptor or to a Toll-like receptor), and proceeds through a series of biochemical events (signaling pathways), characterized by activation of receptor-interacting serine/threonine-protein kinase 1 and/or 3 (RIPK1/3, also called RIP1/3) and by critical dependence on mixed lineage kinase domain-like (MLKL), and which typically lead to common morphological features of necrotic cell death. The process ends when the cell has died. The process is divided into a signaling phase, and an execution phase, which is triggered by the former."" [GOC:BHF, GOC:dph, GOC:mah, GOC:mtg_apoptosis, GOC:tb, PMID:18846107, PMID:20823910, PMID:21737330, PMID:21760595, PMID:21876153]"	39	101	12	21110	0.1188118811881188	0.3076923076923077	query_1	['GO:0097300']	['FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8', 'TP53']
222	GO:BP	GO:0071216	cellular response to biotic stimulus	7.231472045874374e-16	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:mah]"	248	101	20	21110	0.198019801980198	0.0806451612903225	query_1	['GO:0009607', 'GO:0051716']	['BCL2L11', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'CARD8', 'RELA', 'TNF', 'NFKB1', 'TNIP2', 'NLRP3', 'MALT1', 'TNIP1', 'TNFAIP3', 'PYCARD', 'TRAF6', 'NFKBIA', 'CASP1', 'TP53', 'BCL10']
223	GO:BP	GO:0032651	regulation of interleukin-1 beta production	9.370787825757924e-16	True	"""Any process that modulates the frequency, rate, or extent of interleukin-1 beta production."" [GOC:mah]"	95	101	15	21110	0.1485148514851485	0.1578947368421052	query_1	['GO:0032611', 'GO:0032652']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
224	GO:BP	GO:0032611	interleukin-1 beta production	9.370787825757924e-16	True	"""The appearance of interleukin-1 beta due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]"	95	101	15	21110	0.1485148514851485	0.1578947368421052	query_1	['GO:0032612']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
225	GO:BP	GO:0050794	regulation of cellular process	1.1425435902689757e-15	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	11108	101	94	21110	0.9306930693069309	0.0084623694634497	query_1	['GO:0009987', 'GO:0050789']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'PYDC2', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'TAB2', 'FOXO3', 'RELA', 'IKBKB', 'NLRC4', 'TBKBP1', 'FASLG', 'MCL1', 'CASP5', 'IKBKE', 'RBX1', 'FYB1', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'PSTPIP1', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'MEFV', 'LTBR', 'RELB', 'PYCARD', 'REL', 'NLRP1', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'APP', 'TAB3', 'CUL1', 'FBXW7', 'RHPN2', 'TP53', 'BCL10', 'UBE2N', 'BAD', 'NLRP2', 'CDC37']
226	GO:BP	GO:0001959	regulation of cytokine-mediated signaling pathway	1.5598358489230454e-15	True	"""Any process that modulates the frequency, rate or extent of the cytokine mediated signaling pathway."" [GOC:hjd]"	152	101	17	21110	0.1683168316831683	0.1118421052631579	query_1	['GO:0009966', 'GO:0019221', 'GO:0060759']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2', 'CDC37']
227	REAC	REAC:R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	1.5774899316891282e-15	True	ZBP1(DAI) mediated induction of type I IFNs	21	94	11	10790	0.1170212765957446	0.5238095238095238	query_1	['REAC:R-HSA-1834949']	['NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'TBK1', 'NFKB1', 'RIPK1', 'NFKB2', 'IKBKG', 'NLRP4', 'NFKBIA']
228	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	1.7174615235976349e-15	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	301	101	21	21110	0.2079207920792079	0.0697674418604651	query_1	['GO:0035556', 'GO:0097190']	['BCL2L11', 'BAX', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'MCL1', 'IKBKE', 'TNF', 'BID', 'BBC3', 'TRAF2', 'PYCARD', 'BCL2L1', 'SFN', 'BAK1', 'CUL1', 'FBXW7', 'TP53', 'BAD']
229	GO:MF	GO:0005164	tumor necrosis factor receptor binding	2.203485132388992e-15	True	"""Binding to a tumor necrosis factor receptor."" [GOC:ai]"	32	101	11	20195	0.1089108910891089	0.34375	query_1	['GO:0032813']	['TRAF3', 'FASLG', 'TNF', 'FADD', 'LTA', 'TNFSF14', 'TRADD', 'LTB', 'TRAF2', 'TRAF6', 'CASP8']
230	WP	WP:WP2018	RANKL/RANK signaling pathway	2.356758297255373e-15	True	RANKL/RANK signaling pathway	55	92	15	8133	0.1630434782608695	0.2727272727272727	query_1	['WP:000000']	['AKT1', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'NFKB1', 'NFKB2', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'RELB', 'TRAF6', 'NFKBIA']
231	GO:BP	GO:0031399	regulation of protein modification process	3.1066565812692737e-15	True	"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	1494	101	38	21110	0.3762376237623762	0.0254350736278447	query_1	['GO:0036211', 'GO:0051246']	['BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'UBE2V1', 'BCL2', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RIPK1', 'SKP1', 'MALT1', 'TNIP1', 'HSP90AA1', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'PYCARD', 'TRAF6', 'BIRC2', 'SFN', 'BAK1', 'APP', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'CDC37']
232	GO:BP	GO:0032731	positive regulation of interleukin-1 beta production	3.655039802106617e-15	True	"""Any process that activates or increases the frequency, rate, or extent of interleukin-1 beta production."" [GOC:mah]"	61	101	13	21110	0.1287128712871287	0.2131147540983606	query_1	['GO:0032611', 'GO:0032651', 'GO:0032732']	['CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
233	WP	WP:WP3617	Photodynamic therapy-induced NF-kB survival signaling	3.663875201187349e-15	True	Photodynamic therapy-induced NF-kB survival signaling	35	92	13	8133	0.1413043478260869	0.3714285714285714	query_1	['WP:000000']	['CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'NFKB1', 'CFLAR', 'NFKB2', 'BIRC3', 'RELB', 'REL', 'TRAF6', 'BIRC2']
234	KEGG	KEGG:05168	Herpes simplex virus 1 infection	4.385295846613382e-15	True	Herpes simplex virus 1 infection	505	95	33	8161	0.3473684210526316	0.0653465346534653	query_1	['KEGG:00000']	['BAX', 'AKT1', 'TRAF3', 'BCL2', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TBK1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'BID', 'LTA', 'TNFSF14', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP8', 'TP53', 'BAD']
235	REAC	REAC:R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	4.7276742918905736e-15	True	MAP3K8 (TPL2)-dependent MAPK1/3 activation	16	94	10	10790	0.1063829787234042	0.625	query_1	['REAC:R-HSA-450294', 'REAC:R-HSA-9020702']	['MAP3K8', 'CHUK', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'FBXW11', 'IKBKG', 'CUL1']
236	GO:BP	GO:0060759	regulation of response to cytokine stimulus	5.236685578087701e-15	True	"""Any process that modulates the rate, frequency, or extent of a response to cytokine stimulus."" [GOC:BHF, GOC:dph, GOC:tb]"	163	101	17	21110	0.1683168316831683	0.1042944785276073	query_1	['GO:0034097', 'GO:0048583']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2', 'CDC37']
237	GO:BP	GO:0009894	regulation of catabolic process	5.49287456417049e-15	True	"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]"	1003	101	32	21110	0.3168316831683168	0.0319042871385842	query_1	['GO:0009056', 'GO:0019222']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'TAB2', 'FOXO3', 'RELA', 'MCL1', 'IKBKE', 'RBX1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'HSP90AA1', 'SNX33', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'MEFV', 'PYCARD', 'BCL2L1', 'APP', 'TAB3', 'FBXW7', 'TP53', 'BAD']
