Geroderma osteodysplastica	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
77	GO:BP	GO:0042110	T cell activation	1.8951191698186801e-22	True	"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]"	530	100	32	17376	0.32	0.060377358490566	query_1	['GO:0046649']	['NCK1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'PIK3R1', 'ITK', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'DOCK8', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'PIK3R3', 'TRAF6', 'DOCK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'NCK2']
78	REAC	REAC:R-HSA-1500931	Cell-Cell communication	1.904546952512491e-22	True	Cell-Cell communication	123	100	20	17376	0.2	0.1626016260162601	query_1	['REAC:0000000']	['ITGB1', 'NCK1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CTNNB1', 'WASL', 'PARD6A', 'PXN', 'PARD6B', 'FYN', 'PRKCI', 'PARD6G', 'PARD3', 'PIK3CA', 'PTK2B', 'PTK2', 'PTPN11', 'NCK2', 'F11R']
79	REAC	REAC:R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	2.0046531981636249e-22	True	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	704	100	35	17376	0.35	0.049715909090909	query_1	['REAC:R-HSA-162582']	['RHOJ', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3R2', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'WIPF1', 'PARD6A', 'ABL2', 'WIPF2', 'DOCK8', 'PARD6B', 'WAS', 'DOCK4', 'ZAP70', 'DVL2', 'PIK3CA', 'VAV1', 'PTK2B', 'PIK3R3', 'DOCK3', 'PTK2', 'DOCK2', 'LCK', 'PRKCZ', 'DOCK5', 'NCK2', 'ELMO2']
80	GO:BP	GO:0006796	phosphate-containing compound metabolic process	3.367331751402017e-22	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2608	100	59	17376	0.59	0.022622699386503	query_1	['GO:0006793']	['MET', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
81	GO:BP	GO:0030036	actin cytoskeleton organization	3.367331751402017e-22	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	695	100	35	17376	0.35	0.0503597122302158	query_1	['GO:0007010', 'GO:0030029']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'SHC1', 'WASL', 'WIPF1', 'ABL2', 'PXN', 'PRKCI', 'WAS', 'GRB2', 'TGFB1', 'PIK3CA', 'HRAS', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'DOCK2', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
82	GO:BP	GO:0031399	regulation of protein modification process	5.001010147394335e-22	True	"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	1437	100	46	17376	0.46	0.0320111343075852	query_1	['GO:0036211', 'GO:0051246']	['NCK1', 'PIK3CB', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'USP4', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2']
83	GO:BP	GO:0006793	phosphorus metabolic process	5.234205406653149e-22	True	"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4)."" [GOC:ai]"	2632	100	59	17376	0.59	0.0224164133738601	query_1	['GO:0044237']	['MET', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
84	REAC	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	5.451930517913916e-22	True	PI3K/AKT Signaling in Cancer	89	100	18	17376	0.18	0.2022471910112359	query_1	['REAC:R-HSA-5663202']	['MET', 'PIK3CB', 'PIK3R2', 'SRC', 'PIK3R1', 'FLT3LG', 'HGF', 'PIK3AP1', 'PIK3CD', 'FYN', 'EGFR', 'PIK3CA', 'VAV1', 'ERBB2', 'PIK3R3', 'LCK', 'PTPN11', 'PDGFRA']
85	GO:BP	GO:0030029	actin filament-based process	1.1225569254137529e-21	True	"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]"	779	100	36	17376	0.36	0.0462130937098844	query_1	['GO:0009987']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'SHC1', 'WASL', 'WIPF1', 'ABL2', 'PXN', 'WIPF2', 'PRKCI', 'WAS', 'GRB2', 'TGFB1', 'PIK3CA', 'HRAS', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'DOCK2', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
86	REAC	REAC:R-HSA-6806834	Signaling by MET	1.1332540166920906e-21	True	Signaling by MET	75	100	17	17376	0.17	0.2266666666666666	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'PIK3CA', 'HRAS', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'PTPN11', 'CBL']
87	GO:BP	GO:0002684	positive regulation of immune system process	1.270668648862786e-21	True	"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]"	967	100	39	17376	0.39	0.0403309203722854	query_1	['GO:0002376', 'GO:0002682', 'GO:0048518']	['RAPGEF1', 'NCK1', 'PIK3CB', 'BCAR1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'DOCK8', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SH3KBP1', 'PTK2B', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK', 'PRKCZ', 'PTPN11', 'NCK2']
88	REAC	REAC:R-HSA-422475	Axon guidance	1.712891783655473e-21	True	Axon guidance	540	100	31	17376	0.31	0.0574074074074074	query_1	['REAC:R-HSA-9675108']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'WASL', 'SOS1', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'PIK3CA', 'HRAS', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TLN1', 'PTK2', 'PTPN11', 'NCK2']
89	GO:CC	GO:0030054	cell junction	1.972329210456401e-21	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2081	100	53	17376	0.53	0.0254685247477174	query_1	['GO:0110165']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'PIK3R1', 'CRK', 'ITK', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'PARD6A', 'ITGA2B', 'ITGA5', 'PXN', 'PARD6B', 'FYN', 'PRKCI', 'PARD6G', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'PRKCZ', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
90	GO:BP	GO:0032501	multicellular organismal process	2.6524233737466358e-21	True	"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]"	6818	100	87	17376	0.87	0.0127603402757406	query_1	['GO:0008150']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'PARD6B', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
91	GO:BP	GO:0050896	response to stimulus	5.5156043396651705e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7974	100	92	17376	0.92	0.0115374968648106	query_1	['GO:0008150']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'PYCR1', 'TGFBR2', 'PIK3CD', 'WIPF1', 'ABL2', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'DOCK8', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
92	REAC	REAC:R-HSA-9675108	Nervous system development	5.9972003772148075e-21	True	Nervous system development	564	100	31	17376	0.31	0.0549645390070922	query_1	['REAC:R-HSA-1266738']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'WASL', 'SOS1', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'PIK3CA', 'HRAS', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TLN1', 'PTK2', 'PTPN11', 'NCK2']
93	GO:BP	GO:0009611	response to wounding	8.520105680923291e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]"	552	100	31	17376	0.31	0.056159420289855	query_1	['GO:0006950']	['ITGB1', 'PIK3CB', 'FN1', 'SRC', 'SPP1', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'PLCG2', 'TGFBR2', 'ITGA5', 'WAS', 'LYN', 'TGFB1', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'ERBB2', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PDGFRA', 'F11R']
94	GO:BP	GO:0051240	positive regulation of multicellular organismal process	1.83595782818481e-20	True	"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1571	100	46	17376	0.46	0.0292807129217059	query_1	['GO:0032501', 'GO:0048518', 'GO:0051239']	['ITGB1', 'NCK1', 'SMURF2', 'FN1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'ITK', 'PLCG2', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA5', 'DOCK8', 'FYN', 'PRKCI', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'KDR', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'SH3KBP1', 'PTK2B', 'TRAF6', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'NCK2']
95	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.738234374290053e-20	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	308	100	25	17376	0.25	0.0811688311688311	query_1	['GO:0002764', 'GO:0007166']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK']
96	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	2.8873319762307384e-20	True	Cytokine Signaling in Immune system	706	100	33	17376	0.33	0.046742209631728	query_1	['REAC:R-HSA-168256']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'FN1', 'PIK3R2', 'SMAD7', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'SOS1', 'PIK3CD', 'ABL2', 'SQSTM1', 'FYN', 'LYN', 'GRB2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'LCK', 'BLNK', 'SMAD3', 'PTPN11', 'CBL']
97	REAC	REAC:R-HSA-170834	Signaling by TGF-beta Receptor Complex	2.8873319762307384e-20	True	Signaling by TGF-beta Receptor Complex	90	100	17	17376	0.17	0.1888888888888888	query_1	['REAC:R-HSA-9006936']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'TGFBR2', 'PARD6A', 'PARD3', 'SMURF1', 'TGFBR1', 'ITGB6', 'PRKCZ', 'SMAD3', 'CBL', 'F11R']
98	GO:CC	GO:0005911	cell-cell junction	3.0335915259368165e-20	True	"""A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects."" [GOC:aruk, GOC:bc, GOC:dgh, GOC:hb, GOC:mah, PMID:21422226, PMID:28096264]"	475	100	29	17376	0.29	0.0610526315789473	query_1	['GO:0070161']	['ITGB1', 'NCK1', 'SMAD7', 'ITGB3', 'PIK3R1', 'ITK', 'CTNNB1', 'PARD6A', 'ITGA5', 'PXN', 'PARD6B', 'PRKCI', 'PARD6G', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'TLN1', 'TGFBR1', 'PRKCZ', 'F11R']
99	GO:BP	GO:0051128	regulation of cellular component organization	4.6987273755518397e-20	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	100	54	17376	0.54	0.0230080954409884	query_1	['GO:0016043', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'PRAG1', 'WASL', 'ABL2', 'SQSTM1', 'PXN', 'FYN', 'PRKCI', 'WAS', 'LYN', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'DOCK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
100	GO:BP	GO:0042327	positive regulation of phosphorylation	4.6987273755518397e-20	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule."" [GOC:jl]"	752	100	34	17376	0.34	0.0452127659574468	query_1	['GO:0016310', 'GO:0042325', 'GO:0045937']	['MET', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'SQSTM1', 'FYN', 'LAT', 'LYN', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'PTPN11', 'PDGFRA']
101	GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	5.3773754546991646e-20	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	280	100	24	17376	0.24	0.0857142857142857	query_1	['GO:0002757', 'GO:0002768']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK']
102	REAC	REAC:R-HSA-2424491	DAP12 signaling	6.796134484836811e-20	True	DAP12 signaling	25	100	12	17376	0.12	0.48	query_1	['REAC:R-HSA-2172127']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'PIK3CA', 'HRAS', 'SYK', 'PLCG1', 'LCK']
103	GO:BP	GO:0048856	anatomical structure development	6.967842564735758e-20	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5480	100	78	17376	0.78	0.0142335766423357	query_1	['GO:0032502']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'PARD6B', 'FYN', 'PRKCI', 'GORAB', 'WAS', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
104	GO:BP	GO:0010562	positive regulation of phosphorus metabolic process	7.236706395741804e-20	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	824	100	35	17376	0.35	0.0424757281553398	query_1	['GO:0006793', 'GO:0031325', 'GO:0051174']	['MET', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'SQSTM1', 'FYN', 'LAT', 'LYN', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'PDGFRA']
105	GO:BP	GO:0045937	positive regulation of phosphate metabolic process	7.236706395741804e-20	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	824	100	35	17376	0.35	0.0424757281553398	query_1	['GO:0006796', 'GO:0010562', 'GO:0019220']	['MET', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'SQSTM1', 'FYN', 'LAT', 'LYN', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'PDGFRA']
106	GO:BP	GO:0007229	integrin-mediated signaling pathway	1.1384865386797148e-19	True	"""The series of molecular signals initiated by an extracellular ligand binding to an integrin on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	113	100	18	17376	0.18	0.1592920353982301	query_1	['GO:0007166']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'LAT', 'VAV1', 'SYK', 'PTK2B', 'TLN1', 'PTK2', 'ITGB6', 'PTPN11']
107	GO:BP	GO:0030154	cell differentiation	1.1919273878575332e-19	True	"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]"	4044	100	68	17376	0.68	0.0168150346191889	query_1	['GO:0048869']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'FLT3LG', 'HGF', 'ITK', 'PLCG2', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA5', 'SQSTM1', 'PARD6B', 'FYN', 'PRKCI', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'KDR', 'VCL', 'VAV1', 'SYK', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R']
