Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
177	GO:BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis	3.2527993664046566e-14	True	"""The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis."" [GOC:dph, GOC:tb]"	228	102	18	17376	0.1764705882352941	0.0789473684210526	query_1	['GO:0090304']	['RBBP8', 'RAD50', 'DCLRE1C', 'APLF', 'FEN1', 'TDP1', 'RAD1', 'PMS2', 'APTX', 'ERCC4', 'RAD9A', 'MRE11', 'APEX1', 'EXO1', 'POLD1', 'WRN', 'PNKP', 'POLE']
178	GO:BP	GO:1903047	mitotic cell cycle process	4.131187123409348e-14	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	746	102	28	17376	0.2745098039215686	0.0375335120643431	query_1	['GO:0000278', 'GO:0022402']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53', 'BANF1', 'POLE']
179	GO:CC	GO:0070419	nonhomologous end joining complex	5.670176169091836e-14	True	"""A protein complex that plays a role in DNA double-strand break repair via nonhomologous end joining. Such complexes typically contain a specialized DNA ligase (e.g. Lig4 in eukaryotes) and one or more proteins that bind to DNA ends."" [GOC:mah, PMID:17072889, PMID:17938628]"	9	102	7	17376	0.0686274509803921	0.7777777777777778	query_1	['GO:0140535', 'GO:1990391']	['DCLRE1C', 'XRCC6', 'LIG4', 'XRCC4', 'XRCC5', 'NHEJ1', 'PRKDC']
180	GO:CC	GO:0043227	membrane-bounded organelle	6.184325960174878e-14	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12190	102	101	17376	0.9901960784313726	0.0082854799015586	query_1	['GO:0043226']	['RBBP8', 'MICOS10', 'HUS1', 'RPA4', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'MTX1', 'CHCHD3', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'APOO', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
181	REAC	REAC:R-HSA-174411	Polymerase switching on the C-strand of the telomere	8.188574446867288e-14	True	Polymerase switching on the C-strand of the telomere	26	102	9	17376	0.088235294117647	0.3461538461538461	query_1	['REAC:R-HSA-174417']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
182	GO:CC	GO:0043229	intracellular organelle	8.640866893713176e-14	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12235	102	101	17376	0.9901960784313726	0.008255006129955	query_1	['GO:0005622', 'GO:0043226']	['RBBP8', 'MICOS10', 'HUS1', 'RPA4', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'MTX1', 'CHCHD3', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'APOO', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
183	GO:BP	GO:0007006	mitochondrial membrane organization	1.2120935964835644e-13	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrial membrane, either of the lipid bilayer surrounding a mitochondrion."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	114	102	14	17376	0.1372549019607843	0.1228070175438596	query_1	['GO:0007005', 'GO:0061024']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'TP53', 'CHCHD10', 'SAMM50', 'IMMT']
184	REAC	REAC:R-HSA-69206	G1/S Transition	1.3969703653965298e-13	True	G1/S Transition	130	102	14	17376	0.1372549019607843	0.1076923076923077	query_1	['REAC:R-HSA-453279']	['RPA4', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
185	GO:BP	GO:0006271	DNA strand elongation involved in DNA replication	1.7910554317814537e-13	True	"""The process in which an existing DNA strand is extended by activities including the addition of nucleotides to the 3' end of the strand, complementary to an existing template, as part of DNA replication."" [GOC:mah, ISBN:071673706X, ISBN:0815316194]"	15	102	8	17376	0.0784313725490196	0.5333333333333333	query_1	['GO:0006261', 'GO:0022616']	['POLD3', 'LIG3', 'LIG1', 'POLA1', 'PCNA', 'POLE3', 'POLE', 'POLD2']
186	GO:BP	GO:0002440	production of molecular mediator of immune response	2.0026924444939414e-13	True	"""The synthesis or release of any molecular mediator of the immune response, resulting in an increase in its intracellular or extracellular levels."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	215	102	17	17376	0.1666666666666666	0.0790697674418604	query_1	['GO:0002376', 'GO:0010467']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
187	GO:BP	GO:0051726	regulation of cell cycle	2.074121297594882e-13	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1084	102	32	17376	0.3137254901960784	0.029520295202952	query_1	['GO:0007049', 'GO:0050794']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'RMI2', 'TP53']
188	GO:BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	2.586334285298029e-13	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, also known as immunoglobulin gene segments, within a single locus following the induction of and contributing to an immune response."" [GOC:add, ISBN:0781735149]"	53	102	11	17376	0.1078431372549019	0.2075471698113207	query_1	['GO:0002208', 'GO:0016447']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
189	GO:BP	GO:0045190	isotype switching	2.586334285298029e-13	True	"""The switching of activated B cells from IgM biosynthesis to biosynthesis of other isotypes of immunoglobulin, accomplished through a recombination process involving an intrachromosomal deletion involving switch regions that reside 5' of each constant region gene segment in the immunoglobulin heavy chain locus."" [ISBN:0781735149]"	53	102	11	17376	0.1078431372549019	0.2075471698113207	query_1	['GO:0002204', 'GO:0002312']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
190	GO:BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	2.586334285298029e-13	True	"""The somatic process that results in the generation of sequence diversity of immunoglobulins after induction, and contributes to an immune response."" [GOC:add, ISBN:0781735149, PMID:14991701]"	53	102	11	17376	0.1078431372549019	0.2075471698113207	query_1	['GO:0002381', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
191	GO:CC	GO:0070533	BRCA1-C complex	2.623446761000578e-13	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, CtIP and Mre11/Rad50/NBS1 (M/R/N) complex, and binds to DNA at DNA damage sites. BRCA1-C binding ta damaged DNA is required for DNA damage-induced Chk1 phosphorylation and the G2/M transition checkpoint."" [GOC:mah, PMID:15485915, PMID:16391231]"	6	102	6	17376	0.0588235294117647	1.0	query_1	['GO:0140513']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
192	GO:BP	GO:0009411	response to UV	2.748329021465766e-13	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	151	102	15	17376	0.1470588235294117	0.0993377483443708	query_1	['GO:0009416']	['HUS1', 'XPA', 'MSH2', 'USP1', 'POLD3', 'FEN1', 'BRCA2', 'PCNA', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'WRN', 'TP53', 'MSH6']
193	GO:BP	GO:0080135	regulation of cellular response to stress	3.127665719647842e-13	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	681	102	26	17376	0.2549019607843137	0.0381791483113069	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'PCNA', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'RAD9A', 'VDAC1', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'BARD1', 'RMI2', 'TP53', 'PNKP', 'RNF8']
194	GO:CC	GO:0000794	condensed nuclear chromosome	3.147947478612711e-13	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct nuclear chromosome."" [GOC:elh]"	81	102	12	17376	0.1176470588235294	0.1481481481481481	query_1	['GO:0000228', 'GO:0000793']	['HUS1', 'RAD9B', 'RAD50', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1']
195	GO:BP	GO:0000278	mitotic cell cycle	4.73402405414668e-13	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"	896	102	29	17376	0.284313725490196	0.0323660714285714	query_1	['GO:0007049']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53', 'BANF1', 'POLE']
196	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	5.02666616656259e-13	True	RNA Polymerase II Transcription	1272	102	33	17376	0.3235294117647059	0.025943396226415	query_1	['REAC:R-HSA-74160']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
197	GO:BP	GO:0016233	telomere capping	5.423505056608289e-13	True	"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]"	40	102	10	17376	0.0980392156862745	0.25	query_1	['GO:0000723']	['NBN', 'RAD50', 'DCLRE1C', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'PRKDC', 'XRCC1', 'PNKP']
198	GO:BP	GO:0000731	DNA synthesis involved in DNA repair	5.423505056608289e-13	True	"""Synthesis of DNA that proceeds from the broken 3' single-strand DNA end and uses the homologous intact duplex as the template."" [PMID:10357855]"	40	102	10	17376	0.0980392156862745	0.25	query_1	['GO:0006281', 'GO:0071897']	['USP1', 'POLD3', 'POLD4', 'POLA1', 'PCNA', 'POLD1', 'WRN', 'POLE2', 'POLE', 'POLD2']
199	GO:BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	5.727019968073142e-13	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149, PMID:9185563]"	57	102	11	17376	0.1078431372549019	0.1929824561403508	query_1	['GO:0002377', 'GO:0016064']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
200	GO:BP	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	5.807764999444372e-13	True	"""A mitotic cell cycle checkpoint that slows DNA synthesis in response to DNA damage by the prevention of new origin firing and the stabilization of slow replication fork progression."" [GOC:vw]"	17	102	8	17376	0.0784313725490196	0.4705882352941176	query_1	['GO:0044773']	['HUS1', 'RAD9B', 'MSH2', 'MDC1', 'FANCD2', 'RAD9A', 'MRE11', 'HUS1B']
201	GO:BP	GO:0050896	response to stimulus	6.606091202592459e-13	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7974	102	84	17376	0.8235294117647058	0.0105342362678705	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
202	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	7.646769737036541e-13	True	Mitotic G1 phase and G1/S transition	147	102	14	17376	0.1372549019607843	0.0952380952380952	query_1	['REAC:R-HSA-69278']	['RPA4', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
203	REAC	REAC:R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	1.1493828449251085e-12	True	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	7	102	6	17376	0.0588235294117647	0.8571428571428571	query_1	['REAC:R-HSA-73933']	['LIG3', 'OGG1', 'XRCC1', 'POLB', 'PNKP', 'NEIL1']
204	GO:BP	GO:1903046	meiotic cell cycle process	1.19460419389768e-12	True	"""A process that is part of the meiotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	203	102	16	17376	0.1568627450980392	0.0788177339901477	query_1	['GO:0022402', 'GO:0022414', 'GO:0051321']	['HUS1', 'BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'HUS1B', 'RMI1', 'MSH6']
205	GO:BP	GO:1902749	regulation of cell cycle G2/M phase transition	1.3171142238501196e-12	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	108	102	13	17376	0.1274509803921568	0.1203703703703703	query_1	['GO:0044839', 'GO:1901987']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'PAXIP1', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'BARD1', 'TP53']
206	GO:BP	GO:0007346	regulation of mitotic cell cycle	1.4764363390718999e-12	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	487	102	22	17376	0.2156862745098039	0.0451745379876796	query_1	['GO:0000278', 'GO:0051726']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'BRCA2', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
207	REAC	REAC:R-HSA-69002	DNA Replication Pre-Initiation	1.8621806857081524e-12	True	DNA Replication Pre-Initiation	157	102	14	17376	0.1372549019607843	0.0891719745222929	query_1	['REAC:R-HSA-69306']	['RPA4', 'H2AX', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
208	GO:BP	GO:0044237	cellular metabolic process	2.1734890620794305e-12	True	"""The chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:go_curators]"	8316	102	85	17376	0.8333333333333334	0.0102212602212602	query_1	['GO:0008152', 'GO:0009987']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
209	GO:CC	GO:0000793	condensed chromosome	2.685827453308364e-12	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	273	102	17	17376	0.1666666666666666	0.0622710622710622	query_1	['GO:0005694']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD50', 'LIG4', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'BANF1']
210	REAC	REAC:R-HSA-162594	Early Phase of HIV Life Cycle	2.950320545108674e-12	True	Early Phase of HIV Life Cycle	14	102	7	17376	0.0686274509803921	0.5	query_1	['REAC:R-HSA-162587']	['XRCC6', 'LIG4', 'FEN1', 'LIG1', 'XRCC4', 'XRCC5', 'BANF1']
211	REAC	REAC:R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	3.584770682501066e-12	True	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	77	102	11	17376	0.1078431372549019	0.1428571428571428	query_1	['REAC:R-HSA-5693606']	['NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'ATM', 'MRE11', 'BRCA1', 'BARD1', 'TP53', 'RNF8']
212	REAC	REAC:R-HSA-5693606	DNA Double Strand Break Response	4.102593841361929e-12	True	DNA Double Strand Break Response	78	102	11	17376	0.1078431372549019	0.141025641025641	query_1	['REAC:R-HSA-5693532']	['NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'ATM', 'MRE11', 'BRCA1', 'BARD1', 'TP53', 'RNF8']
213	GO:CC	GO:0016604	nuclear body	4.554889164454276e-12	True	"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]"	808	102	26	17376	0.2549019607843137	0.0321782178217821	query_1	['GO:0005654', 'GO:0110165']	['LMNA', 'NBN', 'TP53BP1', 'H2AX', 'RPA2', 'MDC1', 'OGG1', 'PCNA', 'PARP1', 'RPA1', 'FANCD2', 'BLM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53']
214	REAC	REAC:R-HSA-6783310	Fanconi Anemia Pathway	4.65006288390442e-12	True	Fanconi Anemia Pathway	39	102	9	17376	0.088235294117647	0.2307692307692307	query_1	['REAC:R-HSA-73894']	['USP1', 'FANCI', 'WDR48', 'RPA2', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2']
215	GO:BP	GO:0044818	mitotic G2/M transition checkpoint	7.106402278213398e-12	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	51	102	10	17376	0.0980392156862745	0.196078431372549	query_1	['GO:0007093', 'GO:0010972']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
216	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	7.54572634728054e-12	True	Gene expression (Transcription)	1407	102	33	17376	0.3235294117647059	0.0234541577825159	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
217	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	9.932454769106599e-12	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	297	102	17	17376	0.1666666666666666	0.0572390572390572	query_1	['GO:1990234']	['POLD3', 'XRCC6', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'XRCC5', 'POLE3', 'PRIM2', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
218	GO:BP	GO:0007131	reciprocal meiotic recombination	1.2850038037689632e-11	True	"""The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity."" [PMID:2087779]"	54	102	10	17376	0.0980392156862745	0.1851851851851851	query_1	['GO:0007127', 'GO:0140527', 'GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
219	GO:BP	GO:0140527	reciprocal homologous recombination	1.2850038037689632e-11	True	"""A DNA recombination process that results in the bidirectional exchange of genetic material between highly homologous DNA molecules."" [PMID:17846636]"	54	102	10	17376	0.0980392156862745	0.1851851851851851	query_1	['GO:0035825']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
