Williams syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
173	GO:BP	GO:0046777	protein autophosphorylation	3.788957376264112e-09	True	"""The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."" [ISBN:0198506732]"	230	118	15	15719	0.1271186440677966	0.0652173913043478	query_1	['GO:0006468']	['SRC', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'KDR', 'SYK', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'PTK2', 'LCK', 'PDGFRA', 'FLT1']
174	GO:BP	GO:0051336	regulation of hydrolase activity	3.820852584499174e-09	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	933	118	28	15719	0.2372881355932203	0.030010718113612	query_1	['GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'SRC', 'CRK', 'HGF', 'RET', 'ITK', 'SOS1', 'FYN', 'LYN', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
175	GO:BP	GO:0006950	response to stress	4.23723762570604e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	118	60	15719	0.5084745762711864	0.0159404888416578	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'NCF1', 'LAT', 'BCL7B', 'ZAP70', 'SMARCA5', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'JAM3', 'EGFR', 'RFC2', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'BAZ1B', 'TLN1', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'PGF', 'TBL2', 'MFAP4']
176	GO:BP	GO:0000904	cell morphogenesis involved in differentiation	4.239429979317941e-09	True	"""The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."" [GOC:go_curators]"	625	118	23	15719	0.1949152542372881	0.0368	query_1	['GO:0000902', 'GO:0048468']	['LIMK1', 'MET', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'RET', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
177	GO:BP	GO:0051130	positive regulation of cellular component organization	4.636293718398745e-09	True	"""Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	1079	118	30	15719	0.2542372881355932	0.0278035217794253	query_1	['GO:0016043', 'GO:0048522', 'GO:0051128']	['LIMK1', 'MET', 'RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'RET', 'PLCG2', 'LRP4', 'PXN', 'FYN', 'LYN', 'GRB2', 'KDR', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'AGRN', 'VTN', 'L1CAM', 'NRP1', 'EMILIN1', 'ITGA3', 'CBL', 'SEMA4D', 'PLXNA1']
50	REAC	REAC:R-HSA-5683057	MAPK family signaling cascades	4.6532557434213036e-09	True	MAPK family signaling cascades	300	108	19	10022	0.1759259259259259	0.0633333333333333	query_1	['REAC:R-HSA-162582']	['MET', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'RET', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'EGFR', 'VCL', 'ERBB2', 'SHC3', 'TLN1', 'PTK2', 'PTPN11', 'PDGFRA']
178	GO:BP	GO:0071417	cellular response to organonitrogen compound	4.7520760922015434e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	629	118	23	15719	0.1949152542372881	0.0365659777424483	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'GAB1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'EGFR', 'FBN1', 'CDH1', 'AGRN', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
19	GO:CC	GO:0009986	cell surface	4.7902778523246284e-09	True	"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]"	850	118	26	16420	0.2203389830508474	0.0305882352941176	query_1	['GO:0110165']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'TGFB3', 'LRP4', 'ITGA2B', 'ITGA5', 'ITGA4', 'EGFR', 'ITGAE', 'KDR', 'FCGR1A', 'VEGFA', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA']
179	GO:BP	GO:0048699	generation of neurons	4.837131318252392e-09	True	"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]"	1375	118	34	15719	0.288135593220339	0.0247272727272727	query_1	['GO:0022008']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'RET', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
180	GO:BP	GO:0032989	cellular component morphogenesis	5.078628982919167e-09	True	"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	752	118	25	15719	0.211864406779661	0.0332446808510638	query_1	['GO:0009653', 'GO:0016043', 'GO:0048869']	['LIMK1', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'RET', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
181	GO:BP	GO:0002764	immune response-regulating signaling pathway	5.078628982919167e-09	True	"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	415	118	19	15719	0.1610169491525423	0.0457831325301204	query_1	['GO:0007165', 'GO:0050776']	['LIMK1', 'RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CRKL', 'PTK2', 'LCK']
183	GO:BP	GO:0030168	platelet activation	5.3734410930080734e-09	True	"""A series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue. These events include shape change, adhesiveness, aggregation, and release reactions. When carried through to completion, these events lead to the formation of a stable hemostatic plug."" [http://www.graylab.ac.uk/omd/]"	131	118	12	15719	0.1016949152542373	0.0916030534351145	query_1	['GO:0001775', 'GO:0007596']	['FN1', 'SRC', 'ITGB3', 'PLCG2', 'LYN', 'VCL', 'VAV1', 'SYK', 'TLN1', 'LCK', 'EMILIN1', 'PDGFRA']
182	GO:BP	GO:0051347	positive regulation of transferase activity	5.3734410930080734e-09	True	"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]"	521	118	21	15719	0.1779661016949152	0.0403071017274472	query_1	['GO:0043085', 'GO:0051338']	['MET', 'SRC', 'ITGB3', 'RET', 'NCF1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'RFC2', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'PDGFRA', 'FLT1']
184	GO:BP	GO:0051246	regulation of protein metabolic process	5.4820306267855175e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	118	46	15719	0.3898305084745763	0.0191986644407345	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['LIMK1', 'EIF4H', 'MLXIPL', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'RET', 'SHC1', 'PLCG2', 'LRP4', 'SOS1', 'LOX', 'ITGA5', 'FYN', 'NCF1', 'LAT', 'SMARCA5', 'LYN', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'BAZ1B', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'SEMA4D', 'FLT1', 'PGF']
185	GO:BP	GO:0007507	heart development	5.601805366536526e-09	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	578	118	22	15719	0.1864406779661017	0.0380622837370242	query_1	['GO:0048513', 'GO:0072359']	['ITGB1', 'VEGFB', 'FN1', 'SHC1', 'SOS1', 'LOX', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'ERBB2', 'VEGFA', 'CRKL', 'VCAM1', 'PTK2', 'NRP1', 'EMILIN1', 'ADAM15', 'ITGA3', 'ELN', 'PTPN11', 'PDGFRA']
186	GO:BP	GO:0051094	positive regulation of developmental process	5.934418534188457e-09	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1237	118	32	15719	0.2711864406779661	0.0258690379951495	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['LIMK1', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'RET', 'GAB1', 'ITGA5', 'BCL7B', 'ZAP70', 'LYN', 'KDR', 'FBN2', 'SYK', 'PLCG1', 'PTK2B', 'VEGFA', 'AGRN', 'ADAM12', 'L1CAM', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
187	GO:BP	GO:0030030	cell projection organization	6.473747527731992e-09	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, http://www.cogsci.princeton.edu/~wn/]"	1470	118	35	15719	0.2966101694915254	0.0238095238095238	query_1	['GO:0016043']	['LIMK1', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
188	GO:BP	GO:0006909	phagocytosis	7.108709165235254e-09	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	242	118	15	15719	0.1271186440677966	0.0619834710743801	query_1	['GO:0006897']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'THBS1']
189	GO:BP	GO:0051247	positive regulation of protein metabolic process	7.538722456406493e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1401	118	34	15719	0.288135593220339	0.0242683797287651	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['VEGFB', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'RET', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'NCF1', 'LAT', 'SMARCA5', 'LYN', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'BAZ1B', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'SEMA4D', 'FLT1', 'PGF']
190	GO:BP	GO:1990138	neuron projection extension	7.999035012051539e-09	True	"""Long distance growth of a single neuron projection involved in cellular development. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:BHF, GOC:rl, PMID:22790009]"	169	118	13	15719	0.1101694915254237	0.0769230769230769	query_1	['GO:0048588', 'GO:0048812', 'GO:0060560']	['LIMK1', 'ITGB1', 'FN1', 'ITGA4', 'NRP2', 'VCL', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
51	REAC	REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	8.800809855132856e-09	True	TGF-beta receptor signaling activates SMADs	44	108	9	10022	0.0833333333333333	0.2045454545454545	query_1	['REAC:R-HSA-170834']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'TGFB3', 'LTBP1', 'FBN1', 'ITGB6', 'CBL']
191	GO:BP	GO:0022008	neurogenesis	1.1130441341084997e-08	True	"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]"	1581	118	36	15719	0.3050847457627119	0.0227703984819734	query_1	['GO:0007399', 'GO:0030154']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'RET', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'EGFR', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'CRKL', 'VTN', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
192	GO:BP	GO:0030097	hemopoiesis	1.1130441341084997e-08	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	118	27	15719	0.2288135593220339	0.0295404814004376	query_1	['GO:0048468']	['ITGB1', 'SRC', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'LOX', 'ITGA4', 'SH3PXD2A', 'ZAP70', 'LYN', 'JAM3', 'FBN1', 'KDR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'MFAP5', 'GAB2', 'VCAM1', 'ITGB6', 'LCK', 'PTPN11', 'PDGFRA', 'FLT1']
52	REAC	REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	1.1424379405953332e-08	True	Signaling by ERBB2 KD Mutants	20	108	7	10022	0.0648148148148148	0.35	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'PLCG1', 'ERBB2']
193	GO:BP	GO:0002757	immune response-activating signaling pathway	1.1505190833791518e-08	True	"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]"	387	118	18	15719	0.1525423728813559	0.0465116279069767	query_1	['GO:0002253', 'GO:0002764']	['LIMK1', 'RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'CRKL', 'PTK2', 'LCK']
194	GO:BP	GO:0032101	regulation of response to external stimulus	1.1540471026910213e-08	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	984	118	28	15719	0.2372881355932203	0.0284552845528455	query_1	['GO:0009605', 'GO:0048583']	['MET', 'VEGFB', 'SRC', 'SPP1', 'CRK', 'HGF', 'PLCG2', 'FYN', 'NCF1', 'LYN', 'TNC', 'JAM3', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PGF']
195	GO:BP	GO:0048513	animal organ development	1.2036218998736657e-08	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	2936	118	51	15719	0.4322033898305085	0.0173705722070844	query_1	['GO:0048856']	['MET', 'ITGB1', 'VEGFB', 'PLXNB1', 'DNAJC30', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'RET', 'SHC1', 'LRP4', 'SOS1', 'LOX', 'FYN', 'ADAM19', 'GRB2', 'TNC', 'NRP2', 'EGFR', 'FBN1', 'KDR', 'FBN2', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'MFAP5', 'CRKL', 'VTN', 'VCAM1', 'ITGB6', 'PTK2', 'NRP1', 'EMILIN1', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
196	GO:BP	GO:0051345	positive regulation of hydrolase activity	1.2565817888043137e-08	True	"""Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	548	118	21	15719	0.1779661016949152	0.0383211678832116	query_1	['GO:0043085', 'GO:0051336']	['RAPGEF1', 'ITGB1', 'PLXNB1', 'CRK', 'RET', 'ITK', 'SOS1', 'FYN', 'LYN', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'LCK', 'PDGFRA', 'SEMA4D', 'FLT1']
197	GO:BP	GO:1901699	cellular response to nitrogen compound	1.3494422185240671e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	667	118	23	15719	0.1949152542372881	0.0344827586206896	query_1	['GO:0070887', 'GO:1901698']	['RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'GAB1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'EGFR', 'FBN1', 'CDH1', 'AGRN', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
53	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	1.3971805494715836e-08	True	Erythropoietin activates RAS	12	108	6	10022	0.0555555555555555	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
54	REAC	REAC:R-HSA-373755	Semaphorin interactions	1.4829500902609013e-08	True	Semaphorin interactions	64	108	10	10022	0.0925925925925925	0.15625	query_1	['REAC:R-HSA-422475']	['LIMK1', 'MET', 'ITGB1', 'PLXNB1', 'FYN', 'ERBB2', 'TLN1', 'NRP1', 'SEMA4D', 'PLXNA1']
198	GO:BP	GO:0042127	regulation of cell population proliferation	1.60294009721987e-08	True	"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]"	1604	118	36	15719	0.3050847457627119	0.0224438902743142	query_1	['GO:0008283', 'GO:0050794']	['RAPGEF1', 'ITGB1', 'MLXIPL', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'SHC1', 'SOS1', 'ITGA4', 'BCL7B', 'ZAP70', 'LYN', 'TNC', 'NRP2', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'GAB2', 'VCAM1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'ELN', 'PDGFRA', 'FLT1', 'PGF']
55	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	1.6075522950689343e-08	True	Signaling by ERBB2 in Cancer	21	108	7	10022	0.0648148148148148	0.3333333333333333	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'EGFR', 'PLCG1', 'ERBB2']
199	GO:BP	GO:0065009	regulation of molecular function	1.6153903426339574e-08	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2480	118	46	15719	0.3898305084745763	0.0185483870967741	query_1	['GO:0065007']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'ITGAV', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'LOX', 'FYN', 'ITGA4', 'NCF1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'RFC2', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
56	REAC	REAC:R-HSA-2871796	FCERI mediated MAPK activation	1.7228894124817333e-08	True	FCERI mediated MAPK activation	33	108	8	10022	0.074074074074074	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'GRAP2']
200	GO:BP	GO:0048588	developmental cell growth	1.7943413588900752e-08	True	"""The growth of a cell, where growth contributes to the progression of the cell over time from one condition to another."" [GOC:go_curators, GOC:isa_complete]"	219	118	14	15719	0.1186440677966101	0.0639269406392694	query_1	['GO:0016049', 'GO:0048468', 'GO:0048589']	['LIMK1', 'ITGB1', 'FN1', 'SPP1', 'ITGA4', 'NRP2', 'VCL', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
201	GO:BP	GO:0002687	positive regulation of leukocyte migration	1.8616321728001885e-08	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	147	118	12	15719	0.1016949152542373	0.0816326530612244	query_1	['GO:0002684', 'GO:0002685', 'GO:0030335', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'ITGA4', 'MADCAM1', 'JAM3', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'JAM2', 'PGF']
202	GO:BP	GO:0007596	blood coagulation	2.0006200742424423e-08	True	"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [http://www.graylab.ac.uk/omd/, ISBN:0198506732]"	221	118	14	15719	0.1186440677966101	0.0633484162895927	query_1	['GO:0007599', 'GO:0042060', 'GO:0050817']	['FN1', 'SRC', 'ITGB3', 'PLCG2', 'LYN', 'VCL', 'VAV1', 'SYK', 'VTN', 'TLN1', 'LCK', 'EMILIN1', 'THBS1', 'PDGFRA']
203	GO:BP	GO:0002253	activation of immune response	2.0395173500673903e-08	True	"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	454	118	19	15719	0.1610169491525423	0.0418502202643171	query_1	['GO:0002376', 'GO:0050778']	['LIMK1', 'RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'CRKL', 'PTK2', 'LCK', 'MFAP4']
204	GO:BP	GO:0010632	regulation of epithelial cell migration	2.1012968182858757e-08	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	118	14	15719	0.1186440677966101	0.063063063063063	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['MET', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3']
205	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	2.1219390664442523e-08	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	184	118	13	15719	0.1101694915254237	0.0706521739130434	query_1	['GO:0002429']	['BCAR1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'SYK', 'PLCG1', 'CRKL', 'LCK']
206	GO:BP	GO:1901700	response to oxygen-containing compound	2.181625839514025e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	118	37	15719	0.3135593220338983	0.0216754540128881	query_1	['GO:0042221']	['MET', 'RAPGEF1', 'MLXIPL', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'PLCG2', 'SOS1', 'GAB1', 'PXN', 'FYN', 'ITGA4', 'NCF1', 'LYN', 'FBLN5', 'GRB2', 'LOXL1', 'EGFR', 'FBN1', 'CDH1', 'PTK2B', 'AGRN', 'CRKL', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA']
