Keppen-Lubinsky syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
22	GO:BP	GO:0071805	potassium ion transmembrane transport	2.2054907261069933e-09	True	"""A process in which a potassium ion is transported from one side of a membrane to the other."" [GOC:mah]"	195	99	14	15719	0.1414141414141414	0.0717948717948717	query_1	['GO:0006813', 'GO:0098655', 'GO:0098662']	['KCNJ16', 'KCNJ15', 'MTNR1B', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'RGS7']
63	REAC	REAC:R-HSA-5663205	Infectious disease	2.5351946243496702e-09	True	Infectious disease	983	84	29	10022	0.3452380952380952	0.0295015259409969	query_1	['REAC:R-HSA-1643685']	['GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'FYN', 'GNG7', 'GNAS', 'GNB2', 'GNG12', 'BTK', 'PTGIR', 'ADCY3', 'GNB1', 'GNAI3', 'S1PR1', 'GNAT3', 'NRP1', 'GPR39', 'GNAI1', 'GNG3', 'GNAZ', 'GNG4', 'GNGT1']
23	GO:BP	GO:0050896	response to stimulus	2.7186857658122516e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7975	99	82	15719	0.8282828282828283	0.010282131661442	query_1	['GO:0008150']	['GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'PTK7', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'CNNM4', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'PLCB3', 'GNG12', 'HTR1D', 'OCIAD1', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'GPR26', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
64	REAC	REAC:R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	3.356359218815512e-09	True	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	7	84	5	10022	0.0595238095238095	0.7142857142857143	query_1	['REAC:R-HSA-400451']	['GNA11', 'PLCB1', 'GNA15', 'PLCB3', 'GNAQ']
24	GO:BP	GO:0008277	regulation of G protein-coupled receptor signaling pathway	3.534511055276246e-09	True	"""Any process that modulates the frequency, rate or extent of G protein-coupled receptor signaling pathway."" [GOC:go_curators]"	131	99	12	15719	0.1212121212121212	0.0916030534351145	query_1	['GO:0007186', 'GO:0009966']	['PRKCA', 'GNAI2', 'PLCB1', 'KCTD16', 'PDCL', 'GNG7', 'RGS12', 'RGS20', 'HTR1B', 'GNG4', 'RGS7', 'RGS14']
65	REAC	REAC:R-HSA-170670	Adenylate cyclase inhibitory pathway	3.5803502557945363e-09	True	Adenylate cyclase inhibitory pathway	14	84	6	10022	0.0714285714285714	0.4285714285714285	query_1	['REAC:R-HSA-112040', 'REAC:R-HSA-991365']	['GNAI2', 'GNAL', 'ADCY3', 'GNAI3', 'GNAT3', 'GNAI1']
25	GO:BP	GO:0003013	circulatory system process	4.517092238335063e-09	True	"""A organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]"	570	99	21	15719	0.2121212121212121	0.0368421052631578	query_1	['GO:0003008']	['GNB3', 'GNA11', 'TBXA2R', 'GNAI2', 'MTNR1B', 'FYN', 'ADRA2C', 'RHOA', 'TMEM161B', 'KCNJ5', 'HTR1B', 'GCGR', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNA13', 'KCNJ3', 'HTR1A', 'KCNJ12', 'GNA12', 'ADRA2A']
26	GO:BP	GO:0050789	regulation of biological process	8.08533565438758e-09	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	10508	99	93	15719	0.9393939393939394	0.0088503996954701	query_1	['GO:0008150', 'GO:0065007']	['TRO', 'KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'PTK7', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'TMEM161B', 'KCNJ5', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'PLCB3', 'GNG12', 'HTR1D', 'OCIAD1', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'MAGED2', 'GPR26', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
27	GO:BP	GO:0008015	blood circulation	1.888927696433491e-08	True	"""The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products."" [GOC:mtg_heart, ISBN:0192800825]"	493	99	19	15719	0.1919191919191919	0.0385395537525354	query_1	['GO:0003013']	['GNB3', 'GNA11', 'TBXA2R', 'MTNR1B', 'ADRA2C', 'RHOA', 'TMEM161B', 'KCNJ5', 'HTR1B', 'GCGR', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNA13', 'KCNJ3', 'HTR1A', 'KCNJ12', 'GNA12', 'ADRA2A']
66	REAC	REAC:R-HSA-1296053	Classical Kir channels	1.967459426853876e-08	True	Classical Kir channels	4	84	4	10022	0.0476190476190476	1.0	query_1	['REAC:R-HSA-1296065']	['KCNJ4', 'KCNJ2', 'KCNJ14', 'KCNJ12']
13	GO:CC	GO:0045202	synapse	2.4436366638246508e-08	True	"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]"	1367	100	29	16420	0.29	0.0212143379663496	query_1	['GO:0030054']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'FYN', 'KCTD16', 'RHOA', 'KCNJ10', 'RGS12', 'KCNJ9', 'KCNJ4', 'HTR1B', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'RGS17', 'NRP1', 'GNG3', 'GNAQ', 'HTR1A', 'ADRA2A', 'S1PR2', 'RGS14']
28	GO:BP	GO:0034765	regulation of monoatomic ion transmembrane transport	2.4888421825370218e-08	True	"""Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."" [GOC:mah]"	443	99	18	15719	0.1818181818181818	0.0406320541760722	query_1	['GO:0034220', 'GO:0034762', 'GO:0043269']	['KCNJ16', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
14	GO:CC	GO:0043005	neuron projection	3.5306655066263704e-08	True	"""A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]"	1302	100	28	16420	0.28	0.021505376344086	query_1	['GO:0120025']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'FYN', 'RHOA', 'RGS12', 'HTR1B', 'HTR1D', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
67	REAC	REAC:R-HSA-400451	Free fatty acids regulate insulin secretion	3.7745552902111134e-08	True	Free fatty acids regulate insulin secretion	10	84	5	10022	0.0595238095238095	0.5	query_1	['REAC:R-HSA-422356']	['GNA11', 'PLCB1', 'GNA15', 'PLCB3', 'GNAQ']
29	GO:BP	GO:1901701	cellular response to oxygen-containing compound	9.172449997378013e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1222	99	28	15719	0.2828282828282828	0.0229132569558101	query_1	['GO:0070887', 'GO:1901700']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'PTK7', 'FYN', 'RHOA', 'KCNJ10', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'BTK', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'ADRA2A']
30	GO:BP	GO:0065007	biological regulation	1.131156509372727e-07	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10874	99	93	15719	0.9393939393939394	0.0085525105756851	query_1	['GO:0008150']	['TRO', 'KCNJ16', 'GNB3', 'GNA11', 'TBXA2R', 'ARHGEF25', 'GNG5', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'CD209', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'RAP1GAP', 'GNG2', 'PTK7', 'FYN', 'KCTD16', 'MTNR1A', 'PDZK1', 'ADRA2C', 'PDCL', 'RHOA', 'KCNJ10', 'BTN2A2', 'P2RY12', 'GNG7', 'RGS12', 'KCNJ9', 'KCNJ4', 'TMEM161B', 'KCNJ5', 'GNAS', 'RIC8A', 'GNB2', 'RGS20', 'BTN2A1', 'GNAO1', 'HTR1B', 'GCGR', 'CLEC4M', 'PTGER3', 'KCNJ6', 'PLCB3', 'GNG12', 'HTR1D', 'OCIAD1', 'BTK', 'PTGIR', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNA13', 'S1PR1', 'GNAT3', 'KCNJ3', 'RGS17', 'NRP1', 'MAGED2', 'GPR26', 'GPR39', 'GNAI1', 'FARP2', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNG4', 'KCNJ12', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'PLXNA1', 'S1PR2', 'RGS14']
31	GO:BP	GO:0098739	import across plasma membrane	1.3569107827101654e-07	True	"""The directed movement of some substance from outside of a cell, across the plasma membrane and into the cytosol."" [GOC:dos]"	183	99	12	15719	0.1212121212121212	0.0655737704918032	query_1	['GO:0055085']	['KCNJ16', 'KCNJ15', 'FYN', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12']
32	GO:BP	GO:0065008	regulation of biological quality	1.3895235010551776e-07	True	"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	2763	99	43	15719	0.4343434343434343	0.0155627940644227	query_1	['GO:0065007']	['GNB3', 'GNA11', 'TBXA2R', 'PLXNB1', 'PLXNA2', 'PRKCA', 'GNAI2', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'FYN', 'ADRA2C', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'TMEM161B', 'KCNJ5', 'GNAS', 'HTR1B', 'GCGR', 'PTGER3', 'PLCB3', 'HTR1D', 'BTK', 'PTGIR', 'KCNJ2', 'GNAT2', 'GNA13', 'S1PR1', 'KCNJ3', 'NRP1', 'GNG3', 'GNAZ', 'GNAQ', 'HTR1A', 'SEMA4D', 'GNA12', 'ADRA2A', 'PLXNA1', 'S1PR2', 'RGS14']
33	GO:BP	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	1.4924738282529172e-07	True	"""A G protein-coupled receptor signaling pathway initiated by a ligand binding to an acetylcholine receptor on the surface of a target cell, and ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, ISBN:0815316194]"	20	99	6	15719	0.0606060606060606	0.3	query_1	['GO:0007186', 'GO:0095500']	['GNA11', 'GNAI2', 'PLCB1', 'GNA15', 'GNB1', 'GNAQ']
15	GO:CC	GO:0042995	cell projection	1.955817428661451e-07	True	"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, http://www.cogsci.princeton.edu/~wn/]"	2233	100	36	16420	0.36	0.0161218092252575	query_1	['GO:0110165']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'ICAM2', 'FYN', 'KCTD16', 'PDZK1', 'PDCL', 'RHOA', 'KCNJ10', 'P2RY12', 'RGS12', 'HTR1B', 'HTR1D', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNA13', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
16	GO:CC	GO:0120025	plasma membrane bounded cell projection	1.955817428661451e-07	True	"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]"	2125	100	35	16420	0.35	0.0164705882352941	query_1	['GO:0042995']	['GNB3', 'GNA11', 'GNAI2', 'GNG13', 'GABBR1', 'RAP1GAP', 'ICAM2', 'FYN', 'PDZK1', 'PDCL', 'RHOA', 'KCNJ10', 'P2RY12', 'RGS12', 'HTR1B', 'HTR1D', 'ADCY3', 'KCNJ2', 'GNAT2', 'GNB1', 'GABBR2', 'GNA13', 'GNAT3', 'RGS17', 'NRP1', 'GNG3', 'GNAZ', 'KCNJ14', 'GNAQ', 'HTR1A', 'GNGT1', 'GNA12', 'ADRA2A', 'RGS7', 'RGS14']
68	REAC	REAC:R-HSA-373755	Semaphorin interactions	2.1825310856346626e-07	True	Semaphorin interactions	64	84	8	10022	0.0952380952380952	0.125	query_1	['REAC:R-HSA-422475']	['PLXNB1', 'PLXNA2', 'FYN', 'RHOA', 'NRP1', 'FARP2', 'SEMA4D', 'PLXNA1']
69	REAC	REAC:R-HSA-399955	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	2.837221912908252e-07	True	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	14	84	5	10022	0.0595238095238095	0.3571428571428571	query_1	['REAC:R-HSA-373755']	['PLXNA2', 'FYN', 'NRP1', 'FARP2', 'PLXNA1']
34	GO:BP	GO:0051049	regulation of transport	4.127191628724659e-07	True	"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1690	99	32	15719	0.3232323232323232	0.0189349112426035	query_1	['GO:0006810', 'GO:0032879']	['KCNJ16', 'GNA11', 'GNAI2', 'GNB5', 'KCNJ15', 'ANKRD13B', 'PLCB1', 'MTNR1B', 'GABBR1', 'FYN', 'PDZK1', 'ADRA2C', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'HTR1B', 'PTGER3', 'KCNJ6', 'BTK', 'KCNJ2', 'KCNJ3', 'NRP1', 'GNAZ', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7']
70	REAC	REAC:R-HSA-112043	PLC beta mediated events	5.084254400917956e-07	True	PLC beta mediated events	48	84	7	10022	0.0833333333333333	0.1458333333333333	query_1	['REAC:R-HSA-112040']	['GNA11', 'PRKCA', 'PLCB1', 'GNA15', 'PLCB3', 'ADCY3', 'GNAQ']
35	GO:BP	GO:0030001	metal ion transport	5.577644840006895e-07	True	"""The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	833	99	22	15719	0.2222222222222222	0.0264105642256902	query_1	['GO:0006812']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'CNNM4', 'RHOA', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
36	GO:BP	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	5.744652042916623e-07	True	"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation of phospholipase C (PLC) and a subsequent increase in the intracellular concentration of inositol trisphosphate (IP3) and diacylglycerol (DAG)."" [GOC:dph, GOC:mah, GOC:signaling, GOC:tb, ISBN:0815316194]"	95	99	9	15719	0.0909090909090909	0.0947368421052631	query_1	['GO:0007186']	['GNA11', 'GNG13', 'PLCB1', 'GNA15', 'P2RY12', 'PTGER3', 'GNB1', 'S1PR1', 'ADRA2A']
71	REAC	REAC:R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	5.809114982969987e-07	True	Class A/1 (Rhodopsin-like receptors)	297	84	14	10022	0.1666666666666666	0.0471380471380471	query_1	['REAC:R-HSA-500792']	['TBXA2R', 'MTNR1B', 'MTNR1A', 'ADRA2C', 'P2RY12', 'HTR1B', 'PTGER3', 'HTR1D', 'PTGIR', 'S1PR1', 'GPR39', 'HTR1A', 'ADRA2A', 'S1PR2']
37	GO:BP	GO:0006811	monoatomic ion transport	6.149795238944192e-07	True	"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]"	1168	99	26	15719	0.2626262626262626	0.0222602739726027	query_1	['GO:0006810']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'HTR1B', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'HTR1A', 'KCNJ12', 'ADRA2A', 'RGS7']
38	GO:BP	GO:0071407	cellular response to organic cyclic compound	6.558269053980972e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:mah]"	555	99	18	15719	0.1818181818181818	0.0324324324324324	query_1	['GO:0014070', 'GO:0071310']	['GNA11', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'RHOA', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'HTR1D', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'HTR1A']
39	GO:BP	GO:0071417	cellular response to organonitrogen compound	7.428355921056133e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	629	99	19	15719	0.1919191919191919	0.0302066772655007	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'FYN', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'GNB1', 'GNAI3', 'GNAZ', 'GNAQ', 'HTR1A']
40	GO:BP	GO:0034762	regulation of transmembrane transport	7.573767373007355e-07	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."" [GOC:mah]"	562	99	18	15719	0.1818181818181818	0.0320284697508896	query_1	['GO:0050794', 'GO:0051049', 'GO:0055085']	['KCNJ16', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
17	GO:CC	GO:1902494	catalytic complex	8.841273882352957e-07	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	100	30	16420	0.3	0.0174114915844457	query_1	['GO:0032991']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
18	GO:CC	GO:0030054	cell junction	1.3517964167892846e-06	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	100	33	16420	0.33	0.0158653846153846	query_1	['GO:0110165']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'MTNR1B', 'GABBR1', 'PTK7', 'FYN', 'KCTD16', 'RHOA', 'KCNJ10', 'RGS12', 'KCNJ9', 'KCNJ4', 'GNB2', 'HTR1B', 'PLCB3', 'HTR1D', 'KCNJ2', 'GNB1', 'GABBR2', 'GNA13', 'KCNJ3', 'RGS17', 'NRP1', 'GNG3', 'GNAQ', 'HTR1A', 'GNA12', 'ADRA2A', 'S1PR2', 'RGS14']
41	GO:BP	GO:0098657	import into cell	1.498409231246737e-06	True	"""The directed movement of some substance from outside of a cell into a cell. This may occur via transport across the plasma membrane or via endocytosis."" [GOC:dos]"	232	99	12	15719	0.1212121212121212	0.0517241379310344	query_1	['GO:0006810']	['KCNJ16', 'KCNJ15', 'FYN', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'KCNJ14', 'KCNJ12']
44	GO:BP	GO:1901699	cellular response to nitrogen compound	1.6686792706649943e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	667	99	19	15719	0.1919191919191919	0.0284857571214392	query_1	['GO:0070887', 'GO:1901698']	['GNA11', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNG2', 'FYN', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'GNB1', 'GNAI3', 'GNAZ', 'GNAQ', 'HTR1A']
42	GO:BP	GO:1901700	response to oxygen-containing compound	1.6686792706649943e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	99	31	15719	0.3131313131313131	0.0181605155243116	query_1	['GO:0042221']	['GNA11', 'TBXA2R', 'PRKCA', 'GNAI2', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GABBR1', 'GNG2', 'PTK7', 'FYN', 'RHOA', 'KCNJ10', 'P2RY12', 'GNAS', 'GNAO1', 'HTR1B', 'GCGR', 'HTR1D', 'BTK', 'PTGIR', 'ADCY3', 'GNB1', 'GNAI3', 'GNAI1', 'GNAZ', 'GNAQ', 'HTR1A', 'ADRA2A', 'RGS7']
43	GO:BP	GO:0095500	acetylcholine receptor signaling pathway	1.6686792706649943e-06	True	"""The series of molecular signals generated as a consequence of an acetylcholine receptor binding to one of its physiological ligands."" [GOC:mah]"	30	99	6	15719	0.0606060606060606	0.2	query_1	['GO:0098926', 'GO:1905145']	['GNA11', 'GNAI2', 'PLCB1', 'GNA15', 'GNB1', 'GNAQ']
45	GO:BP	GO:0006812	monoatomic cation transport	1.6686792706649943e-06	True	"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]"	979	99	23	15719	0.2323232323232323	0.0234933605720122	query_1	['GO:0006811']	['KCNJ16', 'CNNM2', 'GNAI2', 'GNB5', 'KCNJ15', 'MTNR1B', 'FYN', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'KCNJ2', 'KCNJ3', 'MAGED2', 'KCNJ14', 'KCNJ12', 'ADRA2A', 'RGS7']
19	GO:CC	GO:0098590	plasma membrane region	2.039554383224189e-06	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1203	100	24	16420	0.24	0.0199501246882793	query_1	['GO:0005886', 'GO:0016020']	['KCNJ16', 'CNNM2', 'GABBR1', 'ICAM2', 'KCTD16', 'PDZK1', 'CNNM4', 'RHOA', 'KCNJ10', 'P2RY12', 'KCNJ9', 'KCNJ4', 'GNAS', 'HTR1B', 'ADCY3', 'KCNJ2', 'GNAT2', 'GABBR2', 'GNA13', 'GNAT3', 'KCNJ3', 'NRP1', 'GNA12', 'ADRA2A']
