Wiedemann-Rautenstrauch syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
115	REAC	REAC:R-HSA-177929	Signaling by EGFR	2.407629873433329e-12	True	Signaling by EGFR	48	101	10	17376	0.099009900990099	0.2083333333333333	query_1	['REAC:R-HSA-9006934']	['SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'EGFR', 'PLCG1', 'ADAM12', 'CBL', 'PTPN11']
116	GO:CC	GO:0098802	plasma membrane signaling receptor complex	2.52460538162324e-12	True	"""Any protein complex that is part of the plasma membrane and which functions as a signaling receptor."" [GOC:dos]"	256	101	17	17376	0.1683168316831683	0.06640625	query_1	['GO:0043235', 'GO:0098797']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'ITGAE', 'SYK', 'ERBB2', 'PTK2B', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3']
117	GO:BP	GO:0048731	system development	2.679070604544141e-12	True	"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]"	3689	101	56	17376	0.5544554455445545	0.0151802656546489	query_1	['GO:0007275', 'GO:0048856']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'LRP4', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'IQGAP1', 'LYN', 'TNC', 'LOXL1', 'JAM3', 'EGFR', 'APOA1', 'PFDN5', 'PAPSS2', 'FBN1', 'HSP90AA1', 'VCL', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'JAM2', 'PTPN11', 'PDGFRA']
118	GO:BP	GO:0007173	epidermal growth factor receptor signaling pathway	2.679070604544141e-12	True	"""The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	108	101	13	17376	0.1287128712871287	0.1203703703703703	query_1	['GO:0038127']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'IQGAP1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'PTK2', 'CBL', 'PTPN11']
119	GO:BP	GO:0070372	regulation of ERK1 and ERK2 cascade	2.679070604544141e-12	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"	286	101	18	17376	0.1782178217821782	0.0629370629370629	query_1	['GO:0043408', 'GO:0070371']	['RAPGEF1', 'FN1', 'SRC', 'FGA', 'ITGB3', 'SHC1', 'LYN', 'EGFR', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'EMILIN1', 'PTPN11', 'PDGFRA']
120	GO:CC	GO:0098797	plasma membrane protein complex	2.8592841795843976e-12	True	"""Any protein complex that is part of the plasma membrane."" [GOC:dos]"	631	101	24	17376	0.2376237623762376	0.0380348652931854	query_1	['GO:0005886', 'GO:0098796']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'SHC1', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'GRB2', 'EGFR', 'ITGAE', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VTN', 'VCAM1', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3', 'CBL']
121	GO:BP	GO:0023051	regulation of signaling	2.880472943472046e-12	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3199	101	52	17376	0.5148514851485149	0.0162550797124101	query_1	['GO:0023052', 'GO:0050789']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'URI1', 'APOA1', 'PFDN5', 'FBN1', 'HSP90AA1', 'FGB', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
122	GO:BP	GO:0016310	phosphorylation	2.942791387610672e-12	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1701	101	38	17376	0.3762376237623762	0.0223398001175778	query_1	['GO:0006796']	['MET', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'SOS1', 'LOX', 'ITGA5', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'PAPSS2', 'HSP90AA1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
123	GO:BP	GO:0010646	regulation of cell communication	3.1035492731181722e-12	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3207	101	52	17376	0.5148514851485149	0.0162145307140629	query_1	['GO:0007154', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'URI1', 'APOA1', 'PFDN5', 'FBN1', 'HSP90AA1', 'FGB', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
124	GO:BP	GO:0016043	cellular component organization	3.1522309349199174e-12	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6030	101	72	17376	0.7128712871287128	0.0119402985074626	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'LRP4', 'SOS1', 'LOX', 'PFDN1', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LYN', 'FBLN5', 'LMNB2', 'GRB2', 'TNC', 'FBLN2', 'LOXL1', 'JAM3', 'EGFR', 'URI1', 'APOA1', 'VBP1', 'PFDN5', 'HSP90AA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'PFDN4', 'MFAP5', 'CRKL', 'VTN', 'PFDN2', 'PFDN6', 'LRCH3', 'TLN1', 'UXT', 'PTK2', 'EMILIN1', 'THBS1', 'DNAAF10', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'PTPN11', 'PDGFRA', 'PIH1D1', 'MFAP4']
125	GO:BP	GO:1901700	response to oxygen-containing compound	3.1522309349199174e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	101	38	17376	0.3762376237623762	0.0222612770943175	query_1	['GO:0042221']	['MET', 'RAPGEF1', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LYN', 'FBLN5', 'GRB2', 'LOXL1', 'EGFR', 'FBN1', 'HSP90AA1', 'FGB', 'FGG', 'CDH1', 'PTK2B', 'AGRN', 'CRKL', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
126	GO:BP	GO:0034330	cell junction organization	3.473348231925725e-12	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]"	676	101	25	17376	0.2475247524752475	0.03698224852071	query_1	['GO:0016043']	['RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'LRP4', 'ITGA5', 'FYN', 'TNC', 'JAM3', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'TLN1', 'PTK2', 'THBS1', 'ITGA3']
127	REAC	REAC:R-HSA-4420097	VEGFA-VEGFR2 Pathway	3.778927307381584e-12	True	VEGFA-VEGFR2 Pathway	94	101	12	17376	0.1188118811881188	0.1276595744680851	query_1	['REAC:R-HSA-194138']	['ITGAV', 'BCAR1', 'ITGB3', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'HSP90AA1', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2']
128	REAC	REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	4.444136533153061e-12	True	Constitutive Signaling by EGFRvIII	13	101	7	17376	0.0693069306930693	0.5384615384615384	query_1	['REAC:R-HSA-5637812']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL']
129	REAC	REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	4.444136533153061e-12	True	Signaling by EGFRvIII in Cancer	13	101	7	17376	0.0693069306930693	0.5384615384615384	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'HSP90AA1', 'PLCG1', 'CBL']
130	GO:CC	GO:0043235	receptor complex	4.481943334021133e-12	True	"""Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:go_curators]"	466	101	21	17376	0.2079207920792079	0.0450643776824034	query_1	['GO:0032991']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'ITGA4', 'LYN', 'EGFR', 'ITGAE', 'SYK', 'ERBB2', 'MUSK', 'PTK2B', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3', 'PDGFRA']
131	GO:BP	GO:0035556	intracellular signal transduction	4.5110982457878814e-12	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	101	46	17376	0.4554455445544554	0.0180675569520816	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'LOX', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'URI1', 'APOA1', 'HSP90AA1', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
132	GO:BP	GO:0001934	positive regulation of protein phosphorylation	4.701465417134334e-12	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]"	686	101	25	17376	0.2475247524752475	0.0364431486880466	query_1	['GO:0001932', 'GO:0006468', 'GO:0031401', 'GO:0042327']	['SRC', 'ITGB3', 'TGFB3', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'HSP90AA1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'THBS1', 'PTPN11', 'PIH1D1']
133	GO:BP	GO:0023056	positive regulation of signaling	4.8654881324094265e-12	True	"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	1640	101	37	17376	0.3663366336633663	0.022560975609756	query_1	['GO:0023051', 'GO:0023052', 'GO:0048518']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'ITGA5', 'FYN', 'IQGAP1', 'LYN', 'EGFR', 'APOA1', 'HSP90AA1', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
134	GO:BP	GO:0045937	positive regulation of phosphate metabolic process	4.884798421079141e-12	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	824	101	27	17376	0.2673267326732673	0.0327669902912621	query_1	['GO:0006796', 'GO:0010562', 'GO:0019220']	['MET', 'SRC', 'ITGB3', 'TGFB3', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'HSP90AA1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'THBS1', 'PTPN11', 'PDGFRA', 'PIH1D1']
135	GO:BP	GO:0010562	positive regulation of phosphorus metabolic process	4.884798421079141e-12	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	824	101	27	17376	0.2673267326732673	0.0327669902912621	query_1	['GO:0006793', 'GO:0031325', 'GO:0051174']	['MET', 'SRC', 'ITGB3', 'TGFB3', 'PLCG2', 'LRP4', 'ITGA5', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'HSP90AA1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'THBS1', 'PTPN11', 'PDGFRA', 'PIH1D1']
136	GO:BP	GO:0010647	positive regulation of cell communication	4.950626286855092e-12	True	"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	1643	101	37	17376	0.3663366336633663	0.0225197808886183	query_1	['GO:0007154', 'GO:0010646', 'GO:0048522']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'ITGA5', 'FYN', 'IQGAP1', 'LYN', 'EGFR', 'APOA1', 'HSP90AA1', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
137	GO:BP	GO:0006950	response to stress	5.7695045878960404e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	101	56	17376	0.5544554455445545	0.0148580525338286	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'POLR3E', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'LOX', 'POLR3D', 'ITGA5', 'PXN', 'FYN', 'LAT', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'JAM3', 'EGFR', 'APOA1', 'PAPSS2', 'HSP90AA1', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'POLR3A', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'MFAP4']
138	GO:BP	GO:0007275	multicellular organism development	6.779868918910377e-12	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4319	101	60	17376	0.594059405940594	0.013892104653855	query_1	['GO:0032501', 'GO:0048856']	['MET', 'RAPGEF1', 'ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'LRP4', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'IQGAP1', 'SH3PXD2A', 'LYN', 'GRB2', 'TNC', 'LOXL1', 'JAM3', 'EGFR', 'APOA1', 'PFDN5', 'PAPSS2', 'FBN1', 'HSP90AA1', 'VCL', 'FBN2', 'SYK', 'PLCG1', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'MFAP2', 'ADAM12', 'MFAP5', 'CRKL', 'VTN', 'VCAM1', 'PTK2', 'ITGB6', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'ELN', 'JAM2', 'PTPN11', 'PDGFRA']
139	GO:BP	GO:0001775	cell activation	7.115274027502145e-12	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1063	101	30	17376	0.297029702970297	0.0282220131702728	query_1	['GO:0009987', 'GO:0032501']	['ITGB1', 'FN1', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'TLN1', 'VCAM1', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA']
140	GO:BP	GO:0050878	regulation of body fluid levels	7.652895293005309e-12	True	"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]"	356	101	19	17376	0.1881188118811881	0.0533707865168539	query_1	['GO:0065008']	['FN1', 'SRC', 'FGA', 'ITGB3', 'PLCG2', 'LYN', 'PAPSS2', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VEGFA', 'VTN', 'TLN1', 'LCK', 'EMILIN1', 'THBS1', 'PDGFRA']
141	GO:BP	GO:0051716	cellular response to stimulus	7.652895293005309e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6647	101	75	17376	0.7425742574257426	0.0112832856927937	query_1	['GO:0009987', 'GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'ITGA9', 'ITGB5', 'FN1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'ITK', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'IQGAP1', 'LAT', 'MADCAM1', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'LCP2', 'JAM3', 'EGFR', 'URI1', 'APOA1', 'PFDN5', 'FBN1', 'AOX1', 'ITGAE', 'HSP90AA1', 'FGB', 'VAV1', 'FBN2', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'ADAM12', 'CRKL', 'VTN', 'TLN1', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1', 'MFAP4']
142	REAC	REAC:R-HSA-9665348	Signaling by ERBB2 ECD mutants	8.635565759753042e-12	True	Signaling by ERBB2 ECD mutants	14	101	7	17376	0.0693069306930693	0.5	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'HSP90AA1', 'PLCG1', 'ERBB2']
143	GO:BP	GO:0043408	regulation of MAPK cascade	8.739718718327167e-12	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]"	644	101	24	17376	0.2376237623762376	0.0372670807453416	query_1	['GO:0000165', 'GO:1902531']	['RAPGEF1', 'FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'SHC1', 'PLCG2', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'FGB', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'EMILIN1', 'THBS1', 'PTPN11', 'PDGFRA']
144	GO:BP	GO:0009966	regulation of signal transduction	8.999292174606282e-12	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	2832	101	48	17376	0.4752475247524752	0.0169491525423728	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'LRP4', 'LTBP1', 'SOS1', 'LOX', 'ITGA5', 'PXN', 'FYN', 'IQGAP1', 'LYN', 'GRB2', 'EGFR', 'URI1', 'APOA1', 'PFDN5', 'FBN1', 'HSP90AA1', 'FGB', 'VAV1', 'FBN2', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'LCK', 'EMILIN1', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'PIH1D1']
145	GO:BP	GO:0043085	positive regulation of catalytic activity	8.999292174606282e-12	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1075	101	30	17376	0.297029702970297	0.027906976744186	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'SRC', 'ITGB3', 'CRK', 'ITK', 'SOS1', 'FYN', 'IQGAP1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'HSP90AA1', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'PTK2', 'LCK', 'THBS1', 'PDGFRA', 'PIH1D1']
146	GO:BP	GO:0038094	Fc-gamma receptor signaling pathway	9.757467736849958e-12	True	"""The series of molecular signals initiated by the binding of the Fc portion of immunoglobulin G (IgG) to an Fc-gamma receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, PMID:11244038]"	34	101	9	17376	0.0891089108910891	0.2647058823529412	query_1	['GO:0038093']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'LCK']
147	GO:BP	GO:0038127	ERBB signaling pathway	1.0029855324882076e-11	True	"""The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:jc, PMID:16460914, Wikipedia:ErbB]"	122	101	13	17376	0.1287128712871287	0.1065573770491803	query_1	['GO:0007169']	['BCAR1', 'SRC', 'SHC1', 'SOS1', 'IQGAP1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'PTK2B', 'PTK2', 'CBL', 'PTPN11']
148	GO:BP	GO:0072359	circulatory system development	1.0135568155850883e-11	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1082	101	30	17376	0.297029702970297	0.0277264325323475	query_1	['GO:0048731']	['RAPGEF1', 'ITGB1', 'FN1', 'ITGAV', 'ITGB3', 'SHC1', 'SOS1', 'LOX', 'ITGA2B', 'ITGA5', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'ADAM12', 'CRKL', 'VCAM1', 'PTK2', 'EMILIN1', 'THBS1', 'ADAM15', 'ITGA3', 'ELN', 'PTPN11', 'PDGFRA']
149	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	1.0135568155850883e-11	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1596	101	36	17376	0.3564356435643564	0.0225563909774436	query_1	['GO:0008150']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'CRK', 'POLR3E', 'SHC1', 'PLCG2', 'POLR3D', 'ITGA5', 'FYN', 'LYN', 'LOXL1', 'EGFR', 'URI1', 'HSP90AA1', 'FGB', 'VAV1', 'SYK', 'FCGR1A', 'CDH1', 'PTK2B', 'VCAM1', 'PTK2', 'ITGB6', 'LCK', 'EMILIN1', 'POLR3A', 'ITGB7', 'ADAM15', 'CBL', 'PTPN11', 'MFAP4']
150	GO:BP	GO:0070527	platelet aggregation	1.0703425441923955e-11	True	"""The adhesion of one platelet to one or more other platelets via adhesion molecules."" [GOC:BHF, GOC:vk]"	71	101	11	17376	0.1089108910891089	0.1549295774647887	query_1	['GO:0030168', 'GO:0034109']	['FN1', 'FGA', 'ITGB3', 'LYN', 'FGB', 'VCL', 'SYK', 'FGG', 'TLN1', 'EMILIN1', 'PDGFRA']
