COG7-CDG	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
112	GO:BP	GO:0051336	regulation of hydrolase activity	7.621256168060607e-17	True	"""Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."" [GOC:ai]"	933	101	35	15719	0.3465346534653465	0.037513397642015	query_1	['GO:0050790']	['BCL2L11', 'BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'CASP10', 'HSP90AB1', 'CARD8', 'IKBKB', 'NLRC4', 'FASLG', 'TNF', 'FAS', 'FADD', 'BID', 'NLRP3', 'BBC3', 'CFLAR', 'TNFSF14', 'MALT1', 'BIRC3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'BIRC2', 'SFN', 'BAK1', 'CASP1', 'CASP8', 'APP', 'BCL10', 'BAD', 'NLRP2']
113	GO:BP	GO:0070997	neuron death	7.811874861648531e-17	True	"""The process of cell death in a neuron."" [GOC:BHF, GOC:mah]"	352	101	24	15719	0.2376237623762376	0.0681818181818181	query_1	['GO:0008219']	['BCL2L11', 'BAX', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'FOXO3', 'FASLG', 'MCL1', 'TBK1', 'TNF', 'FAS', 'FADD', 'BID', 'BBC3', 'IKBKG', 'TRAF2', 'NLRP1', 'BCL2L1', 'CASP8', 'APP', 'FBXW7', 'TP53', 'BAD']
114	GO:BP	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	9.504721329877502e-17	True	"""Any process that modulates the rate or extent of the tumor necrosis factor-mediated signaling pathway. The tumor necrosis factor-mediated signaling pathway is the series of molecular signals generated as a consequence of tumor necrosis factor binding to a cell surface receptor."" [GOC:dph, GOC:tb]"	49	101	13	15719	0.1287128712871287	0.2653061224489796	query_1	['GO:0001959', 'GO:0033209']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2']
115	GO:BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	1.115412308042231e-16	True	"""Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	152	101	18	15719	0.1782178217821782	0.1184210526315789	query_1	['GO:0097191', 'GO:2001233']	['HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FADD', 'BID', 'RIPK1', 'CFLAR', 'TRAF2', 'TNFAIP3', 'LTBR', 'PYCARD', 'BCL2L1', 'BCL10']
44	REAC	REAC:R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	1.1314985557553325e-16	True	ZBP1(DAI) mediated induction of type I IFNs	21	94	11	10022	0.1170212765957446	0.5238095238095238	query_1	['REAC:R-HSA-1834949']	['NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'TBK1', 'NFKB1', 'RIPK1', 'NFKB2', 'IKBKG', 'NLRP4', 'NFKBIA']
116	GO:BP	GO:0043065	positive regulation of apoptotic process	1.338427430291029e-16	True	"""Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	496	101	27	15719	0.2673267326732673	0.0544354838709677	query_1	['GO:0006915', 'GO:0042981', 'GO:0043068']	['BCL2L11', 'BAX', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'FOXO3', 'NLRC4', 'FASLG', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'PYCARD', 'BAK1', 'CASP8', 'FBXW7', 'TP53', 'BCL10', 'BAD']
117	GO:BP	GO:0009628	response to abiotic stimulus	1.383695603527243e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	101	37	15719	0.3663366336633663	0.0340699815837937	query_1	['GO:0050896']	['BAX', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'CREBBP', 'MAP3K14', 'BCL2', 'HSP90AB1', 'TNFRSF1A', 'RELA', 'CASP5', 'RBX1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'LTA', 'BBC3', 'CFLAR', 'TNFSF14', 'HSP90AA1', 'LTBR', 'RELB', 'PYCARD', 'NLRP1', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'APP', 'FBXW7', 'TP53', 'BCL10', 'BAD']
118	GO:BP	GO:2001235	positive regulation of apoptotic signaling pathway	1.557618532363557e-16	True	"""Any process that activates or increases the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	129	101	17	15719	0.1683168316831683	0.1317829457364341	query_1	['GO:0009967', 'GO:0043065', 'GO:0097190', 'GO:2001233']	['BCL2L11', 'BAX', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'BBC3', 'RIPK1', 'TRAF2', 'LTBR', 'PYCARD', 'FBXW7', 'TP53', 'BCL10', 'BAD']
119	GO:BP	GO:0048522	positive regulation of cellular process	1.599545270539411e-16	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5226	101	76	15719	0.7524752475247525	0.0145426712590891	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'MAP3K8', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'CREBBP', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'FOXO3', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'MCL1', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'NLRP3', 'LTA', 'BBC3', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'MEFV', 'LTBR', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'BCL2L1', 'SFN', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'APP', 'TAB3', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'BAD']
120	GO:BP	GO:0038034	signal transduction in absence of ligand	1.7147189189824887e-16	True	"""The series of molecular signals initiated by the absence of a ligand or the withdrawal of a ligand from a receptor."" [GOC:al, GOC:ppm, GOC:pr, PMID:15044679]"	67	101	14	15719	0.1386138613861386	0.208955223880597	query_1	['GO:0007165']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'MCL1', 'TNF', 'FAS', 'FADD', 'RIPK1', 'BCL2L1', 'BAK1', 'BAD']
121	GO:BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	1.7147189189824887e-16	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis, PMID:15044679, PMID:20816705]"	67	101	14	15719	0.1386138613861386	0.208955223880597	query_1	['GO:0038034', 'GO:0097191']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'MCL1', 'TNF', 'FAS', 'FADD', 'RIPK1', 'BCL2L1', 'BAK1', 'BAD']
122	GO:BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1.8891620197649999e-16	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	107	101	16	15719	0.1584158415841584	0.1495327102803738	query_1	['GO:0006974', 'GO:0097193']	['BCL2L11', 'BAX', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'MCL1', 'IKBKE', 'TNF', 'BID', 'BBC3', 'PYCARD', 'BCL2L1', 'SFN', 'BAK1', 'TP53', 'BAD']
123	GO:BP	GO:0070266	necroptotic process	2.426508010422937e-16	True	"""A programmed necrotic cell death process which begins when a cell receives a signal (e.g. a ligand binding to a death receptor or to a Toll-like receptor), and proceeds through a series of biochemical events (signaling pathways), characterized by activation of receptor-interacting serine/threonine-protein kinase 1 and/or 3 (RIPK1/3, also called RIP1/3) and by critical dependence on mixed lineage kinase domain-like (MLKL), and which typically lead to common morphological features of necrotic cell death. The process ends when the cell has died. The process is divided into a signaling phase, and an execution phase, which is triggered by the former."" [GOC:BHF, GOC:dph, GOC:mah, GOC:mtg_apoptosis, GOC:tb, PMID:18846107, PMID:20823910, PMID:21737330, PMID:21760595, PMID:21876153]"	39	101	12	15719	0.1188118811881188	0.3076923076923077	query_1	['GO:0097300']	['FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8', 'TP53']
124	GO:BP	GO:0043068	positive regulation of programmed cell death	2.538324702672123e-16	True	"""Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	510	101	27	15719	0.2673267326732673	0.0529411764705882	query_1	['GO:0010942', 'GO:0012501', 'GO:0043067']	['BCL2L11', 'BAX', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'FOXO3', 'NLRC4', 'FASLG', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'PYCARD', 'BAK1', 'CASP8', 'FBXW7', 'TP53', 'BCL10', 'BAD']
126	GO:BP	GO:0032651	regulation of interleukin-1 beta production	2.6736857019224127e-16	True	"""Any process that modulates the frequency, rate, or extent of interleukin-1 beta production."" [GOC:mah]"	88	101	15	15719	0.1485148514851485	0.1704545454545454	query_1	['GO:0032611', 'GO:0032652']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
125	GO:BP	GO:0032611	interleukin-1 beta production	2.6736857019224127e-16	True	"""The appearance of interleukin-1 beta due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]"	88	101	15	15719	0.1485148514851485	0.1704545454545454	query_1	['GO:0032612']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
45	REAC	REAC:R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	3.087698869789665e-16	True	MAP3K8 (TPL2)-dependent MAPK1/3 activation	16	94	10	10022	0.1063829787234042	0.625	query_1	['REAC:R-HSA-450294', 'REAC:R-HSA-9020702']	['MAP3K8', 'CHUK', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'FBXW11', 'IKBKG', 'CUL1']
127	GO:BP	GO:0010942	positive regulation of cell death	4.615352810591261e-16	True	"""Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	574	101	28	15719	0.2772277227722772	0.048780487804878	query_1	['GO:0008219', 'GO:0010941', 'GO:0048522']	['BCL2L11', 'BAX', 'GSK3B', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'FOXO3', 'NLRC4', 'FASLG', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'FADD', 'BID', 'LTA', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'LTBR', 'PYCARD', 'BAK1', 'CASP8', 'FBXW7', 'TP53', 'BCL10', 'BAD']
128	GO:BP	GO:0032731	positive regulation of interleukin-1 beta production	9.714543266661263e-16	True	"""Any process that activates or increases the frequency, rate, or extent of interleukin-1 beta production."" [GOC:mah]"	58	101	13	15719	0.1287128712871287	0.2241379310344827	query_1	['GO:0032611', 'GO:0032651', 'GO:0032732']	['CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
129	GO:BP	GO:0071216	cellular response to biotic stimulus	1.0097397734437344e-15	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:mah]"	237	101	20	15719	0.198019801980198	0.0843881856540084	query_1	['GO:0009607', 'GO:0051716']	['BCL2L11', 'GSK3B', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'CARD8', 'RELA', 'TNF', 'NFKB1', 'TNIP2', 'NLRP3', 'MALT1', 'TNIP1', 'TNFAIP3', 'PYCARD', 'TRAF6', 'NFKBIA', 'CASP1', 'TP53', 'BCL10']
130	GO:BP	GO:0060548	negative regulation of cell death	1.0123732399816134e-15	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	951	101	34	15719	0.3366336633663366	0.0357518401682439	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'BCL2', 'HSP90AB1', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'RIPK1', 'CFLAR', 'TNFSF14', 'MALT1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'TNFAIP3', 'BIRC2', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BCL10', 'BAD']
131	GO:BP	GO:0001959	regulation of cytokine-mediated signaling pathway	1.07221878894544e-15	True	"""Any process that modulates the frequency, rate or extent of the cytokine mediated signaling pathway."" [GOC:hjd]"	145	101	17	15719	0.1683168316831683	0.1172413793103448	query_1	['GO:0009966', 'GO:0019221', 'GO:0060759']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2', 'CDC37']
46	REAC	REAC:R-HSA-933542	TRAF6 mediated NF-kB activation	1.3279029137114985e-15	True	TRAF6 mediated NF-kB activation	25	94	11	10022	0.1170212765957446	0.44	query_1	['REAC:R-HSA-168928']	['NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'NFKB2', 'IKBKG', 'TRAF2', 'TRAF6', 'NFKBIA', 'APP']
47	REAC	REAC:R-HSA-109581	Apoptosis	1.3806395609608789e-15	True	Apoptosis	176	94	20	10022	0.2127659574468085	0.1136363636363636	query_1	['REAC:R-HSA-5357801']	['BCL2L11', 'BAX', 'AKT1', 'BCL2', 'CARD8', 'FASLG', 'FAS', 'FADD', 'BID', 'BBC3', 'RIPK1', 'TRADD', 'TRAF2', 'BIRC2', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BAD']
48	REAC	REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	2.6931859889218703e-15	True	Signaling by the B Cell Receptor (BCR)	113	94	17	10022	0.1808510638297872	0.1504424778761062	query_1	['REAC:R-HSA-1280218']	['CARD11', 'NFKBIE', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'REL', 'NFKBIA', 'CUL1', 'BCL10']
132	GO:BP	GO:0043069	negative regulation of programmed cell death	2.8805823724784305e-15	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	854	101	32	15719	0.3168316831683168	0.0374707259953161	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'HSP90AB1', 'RELA', 'MCL1', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'BID', 'RIPK1', 'CFLAR', 'TNFSF14', 'MALT1', 'TAX1BP1', 'BIRC3', 'TRAF2', 'TNFAIP3', 'BIRC2', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BCL10', 'BAD']
133	GO:BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	3.244513962234717e-15	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with a ligand binding to a death domain receptor on the cell surface, and ends when the execution phase of apoptosis is triggered."" [GOC:mah, GOC:mtg_apoptosis]"	82	101	14	15719	0.1386138613861386	0.1707317073170731	query_1	['GO:0097191']	['BAX', 'GSK3B', 'BCL2', 'TNFRSF1A', 'FASLG', 'TNF', 'FADD', 'BID', 'CFLAR', 'TRADD', 'TNFAIP3', 'BCL2L1', 'CASP8', 'BAD']
134	GO:BP	GO:0032652	regulation of interleukin-1 production	3.4563122103848627e-15	True	"""Any process that modulates the frequency, rate, or extent of interleukin-1 production."" [GOC:mah]"	104	101	15	15719	0.1485148514851485	0.1442307692307692	query_1	['GO:0001817', 'GO:0032612']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
135	GO:BP	GO:0032612	interleukin-1 production	3.4563122103848627e-15	True	"""The appearance of interleukin-1 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah]"	104	101	15	15719	0.1485148514851485	0.1442307692307692	query_1	['GO:0001816']	['PYDC2', 'CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'TNFAIP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
136	GO:BP	GO:0060759	regulation of response to cytokine stimulus	3.636410189297424e-15	True	"""Any process that modulates the rate, frequency, or extent of a response to cytokine stimulus."" [GOC:BHF, GOC:dph, GOC:tb]"	156	101	17	15719	0.1683168316831683	0.1089743589743589	query_1	['GO:0034097', 'GO:0048583']	['SHARPIN', 'HSPA1A', 'PYDC2', 'CARD8', 'TNFRSF1A', 'IKBKB', 'IKBKE', 'TBK1', 'FADD', 'RIPK1', 'TRAF2', 'TNFAIP3', 'PYCARD', 'CASP1', 'CASP8', 'NLRP2', 'CDC37']
137	GO:BP	GO:0009617	response to bacterium	3.786238942304374e-15	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]"	681	101	29	15719	0.2871287128712871	0.0425844346549192	query_1	['GO:0051707']	['SHARPIN', 'AKT1', 'TNFRSF1B', 'NFKBIB', 'CARD8', 'TNFRSF1A', 'TAB2', 'RELA', 'NLRC4', 'FKBP5', 'FASLG', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'NFKB1', 'TNIP2', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'TNFAIP3', 'PYCARD', 'NLRP1', 'TRAF6', 'NFKBIA', 'CASP1', 'CASP8', 'BCL10']
138	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	4.274307856433277e-15	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	294	101	21	15719	0.2079207920792079	0.0714285714285714	query_1	['GO:0035556', 'GO:0097190']	['BCL2L11', 'BAX', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'BCL2', 'TNFRSF1A', 'MCL1', 'IKBKE', 'TNF', 'BID', 'BBC3', 'TRAF2', 'PYCARD', 'BCL2L1', 'SFN', 'BAK1', 'CUL1', 'FBXW7', 'TP53', 'BAD']
49	REAC	REAC:R-HSA-5675482	Regulation of necroptotic cell death	5.76213698539619e-15	True	Regulation of necroptotic cell death	28	94	11	10022	0.1170212765957446	0.3928571428571428	query_1	['REAC:R-HSA-5213460']	['FASLG', 'FAS', 'FADD', 'RIPK1', 'TRADD', 'HSP90AA1', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8', 'CDC37']
50	REAC	REAC:R-HSA-5213460	RIPK1-mediated regulated necrosis	5.76213698539619e-15	True	RIPK1-mediated regulated necrosis	28	94	11	10022	0.1170212765957446	0.3928571428571428	query_1	['REAC:R-HSA-5218859']	['FASLG', 'FAS', 'FADD', 'RIPK1', 'TRADD', 'HSP90AA1', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8', 'CDC37']
1	GO:CC	GO:0032991	protein-containing complex	7.755730324459491e-15	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5491	101	75	16420	0.7425742574257426	0.0136587142596976	query_1	['GO:0005575']	['SHARPIN', 'BCL2L11', 'CARD11', 'BAX', 'STIP1', 'TANK', 'HSPA1A', 'GSK3B', 'AKT1', 'TNFRSF1B', 'CREBBP', 'UBE2V1', 'TRAF3', 'BCL2', 'CASP10', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'FOXO3', 'RELA', 'IKBKB', 'NLRC4', 'TBKBP1', 'MCL1', 'CASP5', 'IKBKE', 'RBX1', 'FYB1', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'NLRP3', 'BBC3', 'RIPK1', 'SKP1', 'CFLAR', 'TRADD', 'MALT1', 'NFKB2', 'HSP90AA1', 'COG5', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'AIM2', 'MEFV', 'RELB', 'PYCARD', 'REL', 'COG7', 'NLRP1', 'TRAF6', 'BIRC2', 'BCL2L1', 'NFKBIA', 'BAK1', 'CASP1', 'CASP8', 'APP', 'CUL1', 'FBXW7', 'TP53', 'BCL10', 'UBE2N', 'BAD', 'CDC37']
139	GO:BP	GO:0032732	positive regulation of interleukin-1 production	8.445224301108261e-15	True	"""Any process that activates or increases the frequency, rate, or extent of interleukin-1 production."" [GOC:mah]"	68	101	13	15719	0.1287128712871287	0.1911764705882352	query_1	['GO:0001819', 'GO:0032612', 'GO:0032652']	['CARD8', 'NLRC4', 'TNF', 'NLRP3', 'MALT1', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8', 'APP', 'NLRP2']
51	REAC	REAC:R-HSA-109606	Intrinsic Pathway for Apoptosis	1.65465708700756e-14	True	Intrinsic Pathway for Apoptosis	54	94	13	10022	0.1382978723404255	0.2407407407407407	query_1	['REAC:R-HSA-109581']	['BCL2L11', 'BAX', 'AKT1', 'BCL2', 'CARD8', 'BID', 'BBC3', 'BCL2L1', 'SFN', 'BAK1', 'CASP8', 'TP53', 'BAD']
52	REAC	REAC:R-HSA-844456	The NLRP3 inflammasome	1.9729186358796062e-14	True	The NLRP3 inflammasome	15	94	9	10022	0.0957446808510638	0.6	query_1	['REAC:R-HSA-622312']	['HSP90AB1', 'RELA', 'NFKB1', 'PSTPIP1', 'NFKB2', 'MEFV', 'PYCARD', 'CASP1', 'APP']
2	GO:CC	GO:0061702	canonical inflammasome complex	2.2137415592051828e-14	True	"""A cytosolic protein complex that is capable of activating caspase-1."" [GOC:dph, PMID:17599095]"	17	101	9	16420	0.0891089108910891	0.5294117647058824	query_1	['GO:0005829', 'GO:0032991']	['CARD8', 'NLRC4', 'CASP5', 'NLRP3', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1']
140	GO:BP	GO:0032496	response to lipopolysaccharide	2.4847165297579562e-14	True	"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."" [GOC:add, ISBN:0721601464]"	321	101	21	15719	0.2079207920792079	0.0654205607476635	query_1	['GO:0002237', 'GO:0033993', 'GO:1901700']	['AKT1', 'TNFRSF1B', 'NFKBIB', 'CARD8', 'TAB2', 'RELA', 'FASLG', 'TNF', 'NFKB1', 'TNIP2', 'NLRP3', 'LTA', 'MALT1', 'TNIP1', 'TNFAIP3', 'PYCARD', 'TRAF6', 'NFKBIA', 'CASP1', 'CASP8', 'BCL10']
141	GO:BP	GO:0071260	cellular response to mechanical stimulus	2.6921658643082602e-14	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mechanical stimulus."" [GOC:mah]"	74	101	13	15719	0.1287128712871287	0.1756756756756756	query_1	['GO:0009612', 'GO:0071214', 'GO:0071496']	['MAP3K14', 'TNFRSF1A', 'CASP5', 'FAS', 'FADD', 'NFKB1', 'TNFSF14', 'LTBR', 'BAK1', 'CASP1', 'CASP8', 'BCL10', 'BAD']
142	GO:BP	GO:0001836	release of cytochrome c from mitochondria	2.7477668382955856e-14	True	"""The process that results in the movement of cytochrome c from the mitochondrial intermembrane space into the cytosol, which is part of the apoptotic signaling pathway and leads to caspase activation."" [GOC:add, GOC:mah, GOC:mtg_apoptosis, ISBN:0721639976, PMID:12925707, PMID:9560217]"	56	101	12	15719	0.1188118811881188	0.2142857142857142	query_1	['GO:0008637', 'GO:0097190']	['BCL2L11', 'BAX', 'AKT1', 'BCL2', 'BID', 'BBC3', 'PYCARD', 'BCL2L1', 'SFN', 'BAK1', 'TP53', 'BAD']
143	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	4.2384653834988354e-14	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	250	101	19	15719	0.1881188118811881	0.076	query_1	['GO:0031399', 'GO:0070647']	['TANK', 'HSPA1A', 'AKT1', 'UBE2V1', 'HSP90AB1', 'RELA', 'RBX1', 'BTRC', 'SKP1', 'MALT1', 'TNIP1', 'HSP90AA1', 'BIRC3', 'TNFAIP3', 'TRAF6', 'BIRC2', 'FBXW7', 'BCL10', 'UBE2N']
