Autosomal recessive cutis laxa type 2, classic type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
19	REAC	REAC:R-HSA-162906	HIV Infection	2.3055231214261437e-09	True	HIV Infection	224	78	15	10022	0.1923076923076923	0.0669642857142857	query_1	['REAC:R-HSA-5663205']	['CHMP2A', 'CHMP2B', 'VPS4A', 'CHMP4B', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
20	REAC	REAC:R-HSA-9772572	Early SARS-CoV-2 Infection Events	2.314819385188605e-09	True	Early SARS-CoV-2 Infection Events	34	78	8	10022	0.1025641025641025	0.2352941176470588	query_1	['REAC:R-HSA-9694516']	['CHMP2A', 'CHMP2B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP3', 'CHMP4C']
96	GO:BP	GO:0019941	modification-dependent protein catabolic process	2.388504643927158e-09	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]"	670	97	22	15719	0.2268041237113402	0.0328358208955223	query_1	['GO:0043632', 'GO:0051603']	['CHMP2A', 'CHMP2B', 'TRPC4AP', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C', 'CYLD', 'CBL']
21	REAC	REAC:R-HSA-9609646	HCMV Infection	2.6978925597247634e-09	True	HCMV Infection	156	78	13	10022	0.1666666666666666	0.0833333333333333	query_1	['REAC:R-HSA-5663205']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C']
97	GO:BP	GO:1901565	organonitrogen compound catabolic process	2.979714392124025e-09	True	"""The chemical reactions and pathways resulting in the breakdown of organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	1302	97	30	15719	0.3092783505154639	0.0230414746543778	query_1	['GO:1901564', 'GO:1901575']	['ANPEP', 'CHMP2A', 'PAPPA', 'CHMP2B', 'TRPC4AP', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'CCDC115', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'TIMP3', 'CASP3', 'CHMP3', 'VPS28', 'CHMP4C', 'ACE', 'CYLD', 'CBL']
98	GO:BP	GO:0006508	proteolysis	3.024146884661727e-09	True	"""The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."" [GOC:bf, GOC:mah]"	1668	97	34	15719	0.3505154639175257	0.0203836930455635	query_1	['GO:0019538']	['ANPEP', 'CHMP2A', 'PAPPA', 'CHMP2B', 'TRPC4AP', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'SPATA2', 'VPS4B', 'TSG101', 'ATP6AP2', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'AGT', 'STAM', 'CAPN7', 'REN', 'CHMP5', 'VPS37C', 'TIMP3', 'CASP3', 'CHMP3', 'VPS28', 'CHMP4C', 'ACE', 'TP53', 'CYLD', 'CBL']
99	GO:BP	GO:0000070	mitotic sister chromatid segregation	3.091685542967849e-09	True	"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]"	186	97	13	15719	0.134020618556701	0.0698924731182795	query_1	['GO:0000819', 'GO:0140014', 'GO:1903047']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
100	GO:BP	GO:0043632	modification-dependent macromolecule catabolic process	3.22244253163632e-09	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]"	682	97	22	15719	0.2268041237113402	0.032258064516129	query_1	['GO:0009057']	['CHMP2A', 'CHMP2B', 'TRPC4AP', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C', 'CYLD', 'CBL']
43	GO:CC	GO:0005635	nuclear envelope	3.6890047610975852e-09	True	"""The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space)."" [ISBN:0198547684]"	471	100	18	16420	0.18	0.0382165605095541	query_1	['GO:0005634', 'GO:0012505', 'GO:0031967']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'LEMD2', 'DMPK', 'CHMP6', 'CHMP7', 'IST1', 'CHMP5', 'CHMP3', 'CHMP4C', 'CC2D1B', 'SPAST']
101	GO:BP	GO:0048284	organelle fusion	3.715343161625773e-09	True	"""The creation of a single organelle from two or more organelles."" [GOC:jid]"	151	97	12	15719	0.1237113402061855	0.0794701986754966	query_1	['GO:0006996']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
102	GO:BP	GO:0070925	organelle assembly	4.1856107524254865e-09	True	"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	911	97	25	15719	0.2577319587628865	0.0274423710208562	query_1	['GO:0006996', 'GO:0022607']	['CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'ATP6V0D1', 'CHMP3', 'VPS28', 'PLN', 'CHMP4C', 'CYLD']
103	GO:BP	GO:0044087	regulation of cellular component biogenesis	4.760971768653699e-09	True	"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	917	97	25	15719	0.2577319587628865	0.0272628135223555	query_1	['GO:0044085', 'GO:0050794']	['CGNL1', 'LRFN3', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'AIDA', 'VPS4B', 'FLOT1', 'TSG101', 'HSPA2', 'CHMP4A', 'CHMP6', 'CHMP7', 'AGT', 'STAM', 'CHMP5', 'CHMP3', 'CHMP4C', 'ACE', 'TP53', 'CYLD']
104	GO:BP	GO:0007051	spindle organization	5.3089576714590705e-09	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the spindle, the array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during DNA segregation and serves to move the duplicated chromosomes apart."" [GOC:go_curators, GOC:mah]"	195	97	13	15719	0.134020618556701	0.0666666666666666	query_1	['GO:0000226', 'GO:0022402']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'SPAST']
105	GO:BP	GO:0016188	synaptic vesicle maturation	5.587032544195447e-09	True	"""Steps required to form an initiated synaptic vesicle into a fully formed and transmissible synaptic vesicle."" [GOC:curators, PMID:10099709]"	27	97	7	15719	0.0721649484536082	0.2592592592592592	query_1	['GO:0016050', 'GO:0021700']	['ATP6V0A1', 'ATP6AP2', 'ATP6V0A4', 'ATP6V0D1', 'ATP6V1E1', 'ATP6V1A', 'ATP6AP1']
106	GO:BP	GO:1903543	positive regulation of exosomal secretion	5.694875197120109e-09	True	"""Any process that activates or increases the frequency, rate or extent of exosomal secretion."" [GO_REF:0000058, GOC:TermGenie, PMID:24105262]"	15	97	6	15719	0.0618556701030927	0.4	query_1	['GO:0044089', 'GO:0045921', 'GO:1903541', 'GO:1990182']	['CHMP2A', 'HGS', 'VPS4A', 'VPS4B', 'TSG101', 'STAM']
22	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	7.666487314792251e-09	True	Vesicle-mediated transport	661	78	23	10022	0.2948717948717949	0.0347957639939485	query_1	['REAC:0000000']	['AP1G2', 'AGTR1', 'CHMP2A', 'CHMP2B', 'HGS', 'VPS4A', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'TFG', 'STAM', 'TBC1D24', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C', 'CBL']
107	GO:BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	8.982638909763134e-09	True	"""The process of directing proteins towards the vacuole that contributes to protein catabolism via the multivesicular body (MVB) pathway."" [GOC:jl, PMID:11511343]"	16	97	6	15719	0.0618556701030927	0.375	query_1	['GO:0006886', 'GO:0032511', 'GO:0043162', 'GO:0072666']	['HGS', 'STAM2', 'TSG101', 'STAM', 'VPS37C', 'VPS28']
108	GO:BP	GO:0046907	intracellular transport	9.187104086797271e-09	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	97	32	15719	0.3298969072164948	0.0206052801030264	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['AP1G2', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'TSG101', 'ARL8A', 'CHMP4A', 'CHMP6', 'CHMP7', 'AGT', 'TFG', 'STAM', 'FLOT2', 'CHMP5', 'VPS37C', 'ATP6V0D1', 'CHMP3', 'VPS28', 'PLN', 'CHMP4C', 'ATP6AP1', 'ATP2A1', 'TP53', 'SPAST', 'ATP6V0D2']
109	GO:BP	GO:0032886	regulation of microtubule-based process	9.768885470155105e-09	True	"""Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the microtubule cytoskeleton."" [GOC:mah]"	250	97	14	15719	0.1443298969072164	0.056	query_1	['GO:0007017', 'GO:0050794']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'CYLD', 'SPAST']
110	GO:BP	GO:1903541	regulation of exosomal secretion	1.3440047017154627e-08	True	"""Any process that modulates the frequency, rate or extent of exosomal secretion."" [GO_REF:0000058, GOC:TermGenie, PMID:24105262]"	17	97	6	15719	0.0618556701030927	0.3529411764705882	query_1	['GO:0017157', 'GO:1990182']	['CHMP2A', 'HGS', 'VPS4A', 'VPS4B', 'TSG101', 'STAM']
111	GO:BP	GO:0051298	centrosome duplication	1.5007478753498752e-08	True	"""The replication of a centrosome, a structure comprised of a pair of centrioles and peri-centriolar material from which a microtubule spindle apparatus is organized."" [GOC:ai]"	73	97	9	15719	0.0927835051546391	0.1232876712328767	query_1	['GO:0007098', 'GO:0022402']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP5', 'CHMP3', 'CHMP4C']
112	GO:BP	GO:0061025	membrane fusion	1.7398339676969984e-08	True	"""The membrane organization process that joins two lipid bilayers to form a single membrane."" [GOC:dph, GOC:tb]"	174	97	12	15719	0.1237113402061855	0.0689655172413793	query_1	['GO:0061024']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
113	GO:BP	GO:0051641	cellular localization	2.1754818145355152e-08	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3251	97	47	15719	0.4845360824742268	0.014457090126115	query_1	['GO:0009987', 'GO:0051179']	['AP1G2', 'CGNL1', 'CHMP2A', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'VPS4B', 'FLOT1', 'TM9SF1', 'TSG101', 'ARL8A', 'ATP6AP2', 'CHMP4A', 'LEMD2', 'CHMP6', 'CHMP7', 'IST1', 'AGT', 'TFG', 'STAM', 'TBC1D24', 'FLOT2', 'CHMP5', 'CD68', 'TCIRG1', 'VPS37C', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'PLN', 'ATP6V1A', 'CHMP4C', 'ATP6AP1', 'ATP2A1', 'SORBS1', 'TP53', 'SPAST', 'ATP6V0D2', 'CBL']
114	GO:BP	GO:0051603	proteolysis involved in protein catabolic process	2.3030934895979072e-08	True	"""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]"	762	97	22	15719	0.2268041237113402	0.0288713910761154	query_1	['GO:0006508', 'GO:0030163']	['CHMP2A', 'CHMP2B', 'TRPC4AP', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'VPS37C', 'CHMP3', 'VPS28', 'CHMP4C', 'CYLD', 'CBL']
115	GO:BP	GO:0002016	regulation of blood volume by renin-angiotensin	2.3164743477698237e-08	True	"""The process in which the renin-angiotensin system controls the rate of fluid intake and output into the blood."" [GOC:dph, GOC:mtg_cardio, GOC:tb, ISBN:0721643949]"	9	97	5	15719	0.0515463917525773	0.5555555555555556	query_1	['GO:0003081']	['AGTR1', 'AGTR2', 'AGT', 'REN', 'ACE']
116	GO:BP	GO:0009056	catabolic process	2.326819950633689e-08	True	"""The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]"	2443	97	40	15719	0.4123711340206185	0.0163733115022513	query_1	['GO:0008152']	['ANPEP', 'ATP6V0A2', 'CHMP2A', 'PAPPA', 'CHMP2B', 'TRPC4AP', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'VTA1', 'CCDC115', 'VPS4B', 'TM9SF1', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'TIMP3', 'CASP3', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'ATP6V1A', 'CHMP4C', 'ATP6V0C', 'ACE', 'TP53', 'CYLD', 'ATP6V0D2', 'CBL']
117	GO:BP	GO:0000819	sister chromatid segregation	3.076668251688599e-08	True	"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]"	227	97	13	15719	0.134020618556701	0.0572687224669603	query_1	['GO:0051276', 'GO:0098813']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
118	GO:BP	GO:0140014	mitotic nuclear division	3.132616726930002e-08	True	"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]"	275	97	14	15719	0.1443298969072164	0.0509090909090909	query_1	['GO:0000280', 'GO:1903047']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C', 'SPAST']
44	GO:CC	GO:0005615	extracellular space	3.1835307820192944e-08	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	100	44	16420	0.44	0.014454664914586	query_1	['GO:0005576', 'GO:0110165']	['C3', 'ANPEP', 'PRG2', 'CHMP2A', 'PAPPA', 'CHMP2B', 'HGS', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'VTA1', 'FGL2', 'VPS4B', 'FLOT1', 'TSG101', 'HSPA2', 'ARL8A', 'ATP6AP2', 'CHMP6', 'IST1', 'AGT', 'CAPN7', 'REN', 'PDIA6', 'FLOT2', 'CHMP5', 'VPS37C', 'TIMP3', 'ATP6V0A4', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'ATP6V1A', 'ATP6AP1', 'LGALS1', 'ATP6V0C', 'RTN3', 'ACE', 'SPAST', 'ATP6V0D2', 'MITD1']
45	GO:CC	GO:0000776	kinetochore	3.4970344752409095e-08	True	"""A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules."" [GOC:elh]"	163	100	11	16420	0.11	0.0674846625766871	query_1	['GO:0000779', 'GO:0043232', 'GO:0099080']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
119	GO:BP	GO:1990182	exosomal secretion	3.83588989176387e-08	True	"""The process whereby a membrane-bounded vesicle is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane."" [GOC:hjd, PMID:10572093, PMID:12154376, PMID:16773132, PMID:18617898]"	20	97	6	15719	0.0618556701030927	0.3	query_1	['GO:0006887', 'GO:0051650', 'GO:0097734']	['CHMP2A', 'HGS', 'VPS4A', 'VPS4B', 'TSG101', 'STAM']
120	GO:BP	GO:0022607	cellular component assembly	4.9310183070710024e-08	True	"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]"	2852	97	43	15719	0.4432989690721649	0.0150771388499298	query_1	['GO:0016043', 'GO:0044085']	['CGNL1', 'PIP4P1', 'LRFN3', 'CHMP2A', 'CHMP2B', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'AIDA', 'VTA1', 'CCDC115', 'VPS4B', 'FLOT1', 'TSG101', 'HSPA2', 'SH3BP1', 'CHMP4A', 'CHMP6', 'CHMP7', 'IST1', 'AGT', 'TFG', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'ATP6V0D1', 'CHMP3', 'VPS28', 'PLN', 'CHMP4C', 'ATL1', 'SORBS1', 'RTN3', 'ACE', 'TP53', 'CYLD', 'SPAST', 'VMA21']
121	GO:BP	GO:1902600	proton transmembrane transport	5.1744461287629765e-08	True	"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]"	152	97	11	15719	0.1134020618556701	0.0723684210526315	query_1	['GO:0098655', 'GO:0098662']	['ATP6V0A2', 'ATP6V0A1', 'ATP6AP2', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'ATP6V1E1', 'ATP6V1A', 'ATP6AP1', 'ATP6V0C', 'ATP6V0D2']
122	GO:BP	GO:0097734	extracellular exosome biogenesis	5.213274181620562e-08	True	"""The assembly and secretion of an extracellular exosome, a membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane."" [GOC:bf, GOC:PARL, PMID:19442504, PMID:25392495]"	21	97	6	15719	0.0618556701030927	0.2857142857142857	query_1	['GO:0140112']	['CHMP2A', 'HGS', 'VPS4A', 'VPS4B', 'TSG101', 'STAM']
23	REAC	REAC:R-HSA-9678108	SARS-CoV-1 Infection	5.4206460591423944e-08	True	SARS-CoV-1 Infection	50	78	8	10022	0.1025641025641025	0.16	query_1	['REAC:R-HSA-9679506']	['CHMP2A', 'CHMP2B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP3', 'CHMP4C']
46	GO:CC	GO:0000779	condensed chromosome, centromeric region	6.793975236649248e-08	True	"""The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:elh, GOC:kmv]"	174	100	11	16420	0.11	0.0632183908045977	query_1	['GO:0000775', 'GO:0000793']	['CHMP2A', 'CHMP2B', 'CHMP1A', 'CHMP1B', 'CHMP4B', 'CHMP4A', 'CHMP6', 'CHMP7', 'CHMP5', 'CHMP3', 'CHMP4C']
123	GO:BP	GO:0140112	extracellular vesicle biogenesis	7.075172988192514e-08	True	"""The assembly and secretion a set of components to form an extracellular vesicule, a membrane-bounded vesicle that is released into the extracellular region. Extracellular vesicles include exosomes, microvesicles and apoptotic bodies, based on the mechanism by which they are released from cells and differentiated based on their size and content."" [PMID:28736435]"	22	97	6	15719	0.0618556701030927	0.2727272727272727	query_1	['GO:0044085']	['CHMP2A', 'HGS', 'VPS4A', 'VPS4B', 'TSG101', 'STAM']
124	GO:BP	GO:0016241	regulation of macroautophagy	7.11566058065367e-08	True	"""Any process that modulates the frequency, rate or extent of macroautophagy."" [GOC:krc]"	157	97	11	15719	0.1134020618556701	0.0700636942675159	query_1	['GO:0010506', 'GO:0016236']	['ATP6V0A2', 'ATP6V0A1', 'CHMP4B', 'CHMP4A', 'CASP3', 'ATP6V0D1', 'ATP6V1E1', 'ATP6V1A', 'ATP6V0C', 'TP53', 'ATP6V0D2']
125	GO:BP	GO:0070050	neuron cellular homeostasis	8.630307324515189e-08	True	"""The cellular homeostatic process that preserves a neuron in a stable, differentiated functional and structural state."" [GOC:BHF, GOC:mah]"	62	97	8	15719	0.0824742268041237	0.1290322580645161	query_1	['GO:0019725']	['CHMP2B', 'ATP6V0A1', 'ATP6AP2', 'ATP6V0A4', 'ATP6V0D1', 'ATP6V1E1', 'ATP6V1A', 'ATP6AP1']
126	GO:BP	GO:0009057	macromolecule catabolic process	8.903243530484222e-08	True	"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	1330	97	28	15719	0.2886597938144329	0.0210526315789473	query_1	['GO:0043170', 'GO:1901575']	['CHMP2A', 'PAPPA', 'CHMP2B', 'TRPC4AP', 'TMEM199', 'HGS', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'STAM2', 'CCDC115', 'VPS4B', 'TSG101', 'CHMP4A', 'CHMP6', 'CHMP7', 'STAM', 'CHMP5', 'TCIRG1', 'VPS37C', 'TIMP3', 'CASP3', 'CHMP3', 'VPS28', 'CHMP4C', 'CYLD', 'CBL']
47	GO:CC	GO:0015630	microtubule cytoskeleton	1.0858865774138813e-07	True	"""The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."" [GOC:jl, ISBN:0395825172]"	1325	100	27	16420	0.27	0.020377358490566	query_1	['GO:0005856']	['KIF7', 'CHMP2A', 'CHMP2B', 'CHMP1A', 'VPS4A', 'CHMP1B', 'CHMP4B', 'VPS4B', 'FLOT1', 'TSG101', 'HSPA2', 'ARL8A', 'CHMP4A', 'LEMD2', 'CHMP6', 'CHMP7', 'IST1', 'CAPN7', 'CHMP5', 'ATP6V0D1', 'CHMP3', 'CHMP4C', 'SORBS1', 'TP53', 'CYLD', 'SPAST', 'ZFYVE19']
48	GO:CC	GO:0030670	phagocytic vesicle membrane	1.296687591661166e-07	True	"""The lipid bilayer surrounding a phagocytic vesicle."" [GOC:mah]"	75	100	8	16420	0.08	0.1066666666666666	query_1	['GO:0030666', 'GO:0045335']	['PIP4P1', 'ATP6V0A2', 'ATP6V0A1', 'TCIRG1', 'ATP6V0A4', 'ATP6V0D1', 'ATP6V0C', 'ATP6V0D2']
127	GO:BP	GO:0090611	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	1.4286984040850248e-07	True	"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide, via the multivesicular body (MVB) sorting pathway; proteins are sorted into MVBs, and delivered to a lysosome/vacuole for degradation. This process is independent of ubiquitination."" [PMID:22547407]"	5	97	4	15719	0.0412371134020618	0.8	query_1	['GO:0051603']	['VPS4A', 'CHMP4B', 'VPS4B', 'CHMP4C']
49	GO:CC	GO:0016020	membrane	1.5436224784817929e-07	True	"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]"	8365	100	78	16420	0.78	0.0093245666467423	query_1	['GO:0110165']	['AP1G2', 'PIP4P1', 'LRFN3', 'C3', 'ANPEP', 'ATP6V0A2', 'CSNK1G1', 'AGTR1', 'CHMP2A', 'CHMP2B', 'TRPC4AP', 'TMEM199', 'HGS', 'AGTR2', 'CHMP1A', 'VPS4A', 'ATP6V0A1', 'CHMP1B', 'CHMP4B', 'STAM2', 'MPZL2', 'AIDA', 'VTA1', 'CCDC115', 'TMEM185B', 'TMEM185A', 'VPS4B', 'FLOT1', 'TM9SF1', 'TSG101', 'HSPA2', 'ARL8A', 'SH3BP1', 'ATP6AP2', 'CHMP4A', 'LEMD2', 'DMPK', 'CHMP6', 'CHMP7', 'STAM', 'REN', 'SLN', 'TBC1D24', 'PDIA6', 'FLOT2', 'CHMP5', 'CD68', 'TCIRG1', 'VPS37C', 'ATP6V0A4', 'CASP3', 'ATP6V0D1', 'CHMP3', 'ATP6V1E1', 'VPS28', 'PLN', 'ATP6V1A', 'LITAF', 'TMEM79', 'CHMP4C', 'ATP6AP1', 'MPZL3', 'ATL1', 'ATP2A1', 'SORBS1', 'ATP6V0C', 'RTN3', 'ACE', 'GCNT2', 'TP53', 'CYLD', 'SPAST', 'ATP6V0D2', 'VMA21', 'CBL', 'MITD1', 'ZFYVE19', 'SARAF']
128	GO:BP	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	1.5903578806980657e-07	True	"""The process in which renin-angiotensin modulates the force with which blood passes through the circulatory system."" [GOC:mtg_cardio]"	25	97	6	15719	0.0618556701030927	0.24	query_1	['GO:0001990']	['AGTR1', 'AGTR2', 'ATP6AP2', 'AGT', 'REN', 'ACE']
