Waardenburg syndrome type 2	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
218	REAC	REAC:R-HSA-912631	Regulation of signaling by CBL	2.7882522803051845e-11	True	Regulation of signaling by CBL	21	96	9	10790	0.09375	0.4285714285714285	query_1	['REAC:R-HSA-512988']	['RAPGEF1', 'PIK3R1', 'CRK', 'FYN', 'LYN', 'VAV1', 'SYK', 'CRKL', 'CBL']
219	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	2.8058181516985603e-11	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3535	106	52	21110	0.490566037735849	0.0147100424328147	query_1	['GO:0009893', 'GO:0043170', 'GO:0060255']	['MET', 'VEGFB', 'FN1', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFE3', 'EDN3', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'ADAM19', 'SNAI2', 'SOX10', 'LYN', 'NEK7', 'TNC', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'TFEB', 'POU3F1', 'SYK', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'FLT1', 'PGF']
220	CORUM	CORUM:2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	2.883381985560905e-11	True	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	7	52	7	3383	0.1346153846153846	1.0	query_1	['CORUM:0000000']	['BCAR1', 'PIK3R1', 'CRK', 'SOS1', 'GRB2', 'SH3KBP1', 'CBL']
221	GO:BP	GO:0032989	cellular component morphogenesis	2.9580429957363323e-11	True	"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	796	106	26	21110	0.2452830188679245	0.0326633165829145	query_1	['GO:0009653', 'GO:0016043', 'GO:0048869']	['KEL', 'ITGB1', 'EDN2', 'FN1', 'SRC', 'SPP1', 'EDNRA', 'EDN3', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'VEGFA', 'ECE1', 'SH3GL2', 'L1CAM', 'PTK2', 'XK', 'PTPN11', 'PDGFRA', 'PLXNA1']
222	GO:BP	GO:0048589	developmental growth	2.987254858282117e-11	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."" [GOC:go_curators]"	655	106	24	21110	0.2264150943396226	0.0366412213740458	query_1	['GO:0032502', 'GO:0040007']	['ITGB1', 'EDN2', 'FN1', 'SRC', 'SPP1', 'EDNRA', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA4', 'SOX10', 'TGFB1', 'NRP2', 'VCL', 'POU3F2', 'EDN1', 'CDH1', 'VEGFA', 'SH3GL2', 'TGFBR1', 'L1CAM', 'ADAM15', 'PTPN11', 'PLXNA1']
223	GO:BP	GO:0048667	cell morphogenesis involved in neuron differentiation	3.117093289787564e-11	True	"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]"	590	106	23	21110	0.2169811320754717	0.0389830508474576	query_1	['GO:0000904', 'GO:0048666']	['KEL', 'ITGB1', 'EDN2', 'FN1', 'SPP1', 'EDNRA', 'EDN3', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'VEGFA', 'ECE1', 'L1CAM', 'PTK2', 'XK', 'PTPN11', 'PLXNA1']
224	GO:BP	GO:0032101	regulation of response to external stimulus	3.583160719962354e-11	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	1037	106	29	21110	0.2735849056603773	0.0279652844744455	query_1	['GO:0009605', 'GO:0048583']	['MET', 'EDN2', 'VEGFB', 'SRC', 'SPP1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'FYN', 'SNAI2', 'LYN', 'TNC', 'JAM3', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'VTN', 'PTK2', 'THBS1', 'PTPN11', 'PDGFRA', 'PGF']
225	GO:BP	GO:0007507	heart development	3.59598225370019e-11	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	594	106	23	21110	0.2169811320754717	0.0387205387205387	query_1	['GO:0048513', 'GO:0072359']	['ITGB1', 'VEGFB', 'FN1', 'EDNRA', 'SHC1', 'SOS1', 'TGFBR2', 'SNAI2', 'TGFB1', 'NRP2', 'EGFR', 'ERBB2', 'EDN1', 'VEGFA', 'ECE1', 'CRKL', 'VCAM1', 'TGFBR1', 'PTK2', 'ADAM15', 'ITGA3', 'PTPN11', 'PDGFRA']
226	GO:BP	GO:0010646	regulation of cell communication	3.6201380148236275e-11	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3423	106	51	21110	0.4811320754716981	0.0148992112182296	query_1	['GO:0007154', 'GO:0050794']	['MET', 'RAPGEF1', 'ITGB1', 'KLHDC10', 'VEGFB', 'FN1', 'ITGAV', 'CD2AP', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'NEK6', 'SNAI2', 'SOX10', 'LYN', 'GRB2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'GPR143', 'CRKL', 'VTN', 'TGFBR1', 'ITGB6', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1']
227	GO:BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	3.6398017562587556e-11	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]"	181	106	15	21110	0.1415094339622641	0.0828729281767955	query_1	['GO:0001934', 'GO:0018108', 'GO:0050730']	['VEGFB', 'KITLG', 'SRC', 'ITGB3', 'HGF', 'PLCG2', 'ITGA5', 'FYN', 'LYN', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'PTPN11']
228	GO:BP	GO:0000904	cell morphogenesis involved in differentiation	3.770483363416444e-11	True	"""The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."" [GOC:go_curators]"	662	106	24	21110	0.2264150943396226	0.0362537764350453	query_1	['GO:0000902', 'GO:0048468']	['MET', 'KEL', 'ITGB1', 'EDN2', 'FN1', 'SPP1', 'EDNRA', 'EDN3', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'VEGFA', 'ECE1', 'L1CAM', 'PTK2', 'XK', 'PTPN11', 'PLXNA1']
229	GO:BP	GO:0051347	positive regulation of transferase activity	4.266465074376153e-11	True	"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]"	535	106	22	21110	0.2075471698113207	0.0411214953271028	query_1	['GO:0043085', 'GO:0051338']	['MET', 'KITLG', 'SRC', 'ITGB3', 'EDN3', 'TGFBR2', 'LAT', 'LYN', 'NEK7', 'LCP2', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'PDGFRA', 'FLT1']
230	GO:BP	GO:0009893	positive regulation of metabolic process	4.420618620327368e-11	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3848	106	54	21110	0.5094339622641509	0.014033264033264	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']	['MET', 'VEGFB', 'FN1', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFE3', 'EDN3', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'ADAM19', 'SNAI2', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TNC', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'TFEB', 'POU3F1', 'SYK', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
231	GO:BP	GO:0010634	positive regulation of epithelial cell migration	4.9615557947940794e-11	True	"""Any process that activates or increases the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	149	106	14	21110	0.1320754716981132	0.0939597315436241	query_1	['GO:0010631', 'GO:0010632', 'GO:0030335']	['MET', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'NRP2', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'ITGA3']
232	GO:BP	GO:1901698	response to nitrogen compound	5.130919685574549e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1136	106	30	21110	0.2830188679245283	0.0264084507042253	query_1	['GO:0042221']	['RAPGEF1', 'ITGB1', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'CLGN', 'TYR', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'SYK', 'EDN1', 'CDH1', 'PTK2B', 'NUDC', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
233	GO:BP	GO:0048588	developmental cell growth	6.752785301197577e-11	True	"""The growth of a cell, where growth contributes to the progression of the cell over time from one condition to another."" [GOC:go_curators, GOC:isa_complete]"	229	106	16	21110	0.1509433962264151	0.0698689956331877	query_1	['GO:0016049', 'GO:0048468', 'GO:0048589']	['ITGB1', 'EDN2', 'FN1', 'SPP1', 'EDNRA', 'EDN3', 'TGFBR2', 'ITGA4', 'NRP2', 'VCL', 'EDN1', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'PLXNA1']
234	WP	WP:WP49	IL-2 signaling pathway	6.920754086294913e-11	True	IL-2 signaling pathway	42	89	11	8133	0.1235955056179775	0.2619047619047619	query_1	['WP:000000']	['PIK3R1', 'SHC1', 'SOS1', 'FYN', 'GRB2', 'SYK', 'PTK2B', 'CRKL', 'LCK', 'CBL', 'PTPN11']
235	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	7.639747940011627e-11	True	Signaling by Erythropoietin	23	96	9	10790	0.09375	0.391304347826087	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'LYN', 'VAV1', 'PLCG1', 'CRKL']
236	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	7.757265001360809e-11	True	p130Cas linkage to MAPK signaling for integrins	15	96	8	10790	0.0833333333333333	0.5333333333333333	query_1	['REAC:R-HSA-354192']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'ITGA2B', 'TLN1', 'PTK2']
237	WP	WP:WP366	TGF-beta signaling pathway	7.911696839005808e-11	True	TGF-beta signaling pathway	131	89	16	8133	0.1797752808988764	0.1221374045801526	query_1	['WP:000000']	['MET', 'ITGB1', 'FN1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'TGFBR2', 'GRB2', 'TNC', 'TGFB1', 'TGFBR1', 'PTK2', 'THBS1']
238	GO:BP	GO:0045859	regulation of protein kinase activity	8.012186060766893e-11	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	617	106	23	21110	0.2169811320754717	0.0372771474878444	query_1	['GO:0001932', 'GO:0043549']	['KITLG', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'CBL', 'FLT1']
239	KEGG	KEGG:01521	EGFR tyrosine kinase inhibitor resistance	8.925358005376523e-11	True	EGFR tyrosine kinase inhibitor resistance	79	85	13	8161	0.1529411764705882	0.1645569620253164	query_1	['KEGG:00000']	['MET', 'SRC', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'VEGFA', 'PDGFRA']
240	GO:BP	GO:0009966	regulation of signal transduction	1.2050182783855054e-10	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3003	106	47	21110	0.4433962264150943	0.0156510156510156	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['MET', 'RAPGEF1', 'ITGB1', 'KLHDC10', 'VEGFB', 'FN1', 'ITGAV', 'CD2AP', 'KITLG', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'NEK6', 'SNAI2', 'SOX10', 'LYN', 'GRB2', 'EGFR', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'GPR143', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1']
241	GO:BP	GO:0033674	positive regulation of kinase activity	1.2190242100123602e-10	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	441	106	20	21110	0.1886792452830188	0.0453514739229024	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['MET', 'KITLG', 'SRC', 'ITGB3', 'EDN3', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'PDGFRA', 'FLT1']
242	REAC	REAC:R-HSA-114604	GPVI-mediated activation cascade	1.278528838816625e-10	True	GPVI-mediated activation cascade	35	96	10	10790	0.1041666666666666	0.2857142857142857	query_1	['REAC:R-HSA-76002']	['PIK3R1', 'PLCG2', 'FYN', 'LAT', 'LYN', 'LCP2', 'VAV1', 'SYK', 'LCK', 'PTPN11']
243	GO:BP	GO:0012501	programmed cell death	1.3838592886217614e-10	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1961	106	38	21110	0.3584905660377358	0.0193778684344722	query_1	['GO:0008219']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'EDNRA', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'TGFBR2', 'ITGA5', 'ITGA4', 'NEK6', 'SNAI2', 'SOX10', 'LYN', 'TGFB1', 'PLK1', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'SH3KBP1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'TGFBR1', 'PTK2', 'LCK', 'THBS1', 'CBL']
244	GO:BP	GO:0030595	leukocyte chemotaxis	1.4030100049164915e-10	True	"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]"	240	106	16	21110	0.1509433962264151	0.0666666666666666	query_1	['GO:0050900', 'GO:0060326']	['ITGA9', 'EDN2', 'VEGFB', 'EDN3', 'LYN', 'JAM3', 'VAV1', 'SYK', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'PTK2', 'THBS1', 'FLT1', 'PGF']
245	REAC	REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	1.4432928621112712e-10	True	Constitutive Signaling by Aberrant PI3K in Cancer	65	96	12	10790	0.125	0.1846153846153846	query_1	['REAC:R-HSA-2219528']	['MET', 'SRC', 'PIK3R1', 'FLT3LG', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
246	GO:BP	GO:0045321	leukocyte activation	1.4605226444193594e-10	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	1012	106	28	21110	0.2641509433962264	0.0276679841897233	query_1	['GO:0001775', 'GO:0002376']	['ITGB1', 'EDN2', 'FN1', 'KITLG', 'SRC', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'LAT', 'LYN', 'TGFB1', 'LCP2', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'SH3KBP1', 'PTK2B', 'VCAM1', 'ITGB6', 'LCK', 'THBS1', 'CBL', 'PTPN11']
247	GO:BP	GO:0050789	regulation of biological process	1.5462236604546496e-10	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12480	106	97	21110	0.9150943396226416	0.0077724358974358	query_1	['GO:0008150', 'GO:0065007']	['MET', 'RAPGEF1', 'KEL', 'ITGB1', 'ITGA9', 'EDN2', 'KLHDC10', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'BCAR1', 'CD2AP', 'KITLG', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFE3', 'EDN3', 'EML3', 'SOS1', 'PYCR1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'NEK6', 'LAT', 'ADAM19', 'MADCAM1', 'SNAI2', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'LCP2', 'PLK1', 'JAM3', 'EGFR', 'TFEB', 'ITGAE', 'POU3F1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'SH3GL2', 'ADAM12', 'EML2', 'GPR143', 'CRKL', 'EDNRB', 'VTN', 'ECE2', 'TLN1', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'XK', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF', 'PLXNA1']
248	GO:BP	GO:0048762	mesenchymal cell differentiation	1.7017845303334691e-10	True	"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]"	243	106	16	21110	0.1509433962264151	0.0658436213991769	query_1	['GO:0030154', 'GO:0060485']	['FN1', 'KITLG', 'EDNRA', 'TGFB3', 'HGF', 'EDN3', 'TGFBR2', 'SNAI2', 'SOX10', 'TGFB1', 'NRP2', 'EDN1', 'EDNRB', 'TGFBR1', 'PTK2', 'ADAM15']
249	WP	WP:WP2037	Prolactin signaling pathway	1.704764772506459e-10	True	Prolactin signaling pathway	76	89	13	8133	0.146067415730337	0.1710526315789473	query_1	['WP:000000']	['ITGB1', 'SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'FYN', 'GRB2', 'VAV1', 'ERBB2', 'PTK2', 'CBL', 'PTPN11']
250	GO:BP	GO:0038094	Fc-gamma receptor signaling pathway	1.817866587344801e-10	True	"""The series of molecular signals initiated by the binding of the Fc portion of immunoglobulin G (IgG) to an Fc-gamma receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, PMID:11244038]"	35	106	9	21110	0.0849056603773584	0.2571428571428571	query_1	['GO:0038093']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'LCK']
251	GO:BP	GO:0045595	regulation of cell differentiation	1.8896358790518384e-10	True	"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]"	1568	106	34	21110	0.320754716981132	0.0216836734693877	query_1	['GO:0030154', 'GO:0050793', 'GO:0050794']	['ITGB1', 'FN1', 'ITGAV', 'KITLG', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'TFE3', 'EDN3', 'SOS1', 'TGFBR2', 'SNAI2', 'SOX10', 'LYN', 'TGFB1', 'EGFR', 'VCL', 'SYK', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'EDNRB', 'TGFBR1', 'L1CAM', 'PTK2', 'PTPN11', 'PDGFRA', 'PLXNA1']
252	KEGG	KEGG:04012	ErbB signaling pathway	2.030510672716393e-10	True	ErbB signaling pathway	84	85	13	8161	0.1529411764705882	0.1547619047619047	query_1	['KEGG:00000']	['SRC', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'GRB2', 'EGFR', 'PLCG1', 'ERBB2', 'CRKL', 'PTK2', 'CBL']
253	GO:BP	GO:0006897	endocytosis	2.6530588376426176e-10	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	106	25	21110	0.2358490566037736	0.031328320802005	query_1	['GO:0016192']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'CD2AP', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'SH3KBP1', 'VEGFA', 'SH3GL2', 'VTN', 'PTK2', 'THBS1', 'CBL']
254	GO:BP	GO:0043067	regulation of programmed cell death	2.7694301619347766e-10	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1491	106	33	21110	0.3113207547169811	0.0221327967806841	query_1	['GO:0010941', 'GO:0012501']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'ITGA4', 'SNAI2', 'SOX10', 'LYN', 'TGFB1', 'PLK1', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'TGFBR1', 'PTK2', 'LCK', 'THBS1', 'CBL']
255	GO:MF	GO:0070851	growth factor receptor binding	3.2635715185600477e-10	True	"""Binding to a growth factor receptor."" [GOC:mah, GOC:vw]"	142	106	13	20195	0.1226415094339622	0.0915492957746478	query_1	['GO:0005102']	['VEGFB', 'CD2AP', 'SRC', 'ITGB3', 'SHC1', 'SOS1', 'ITGA5', 'FYN', 'LYN', 'GRB2', 'VEGFA', 'PDGFRA', 'PGF']
256	GO:BP	GO:0071417	cellular response to organonitrogen compound	3.4969333452718126e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	662	106	23	21110	0.2169811320754717	0.0347432024169184	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['RAPGEF1', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'EDN1', 'CDH1', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
257	GO:BP	GO:0031325	positive regulation of cellular metabolic process	4.1744943535270403e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2976	106	46	21110	0.4339622641509434	0.0154569892473118	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['MET', 'VEGFB', 'KITLG', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'SHC1', 'PLCG2', 'TFE3', 'EDN3', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'TFEB', 'POU3F1', 'SYK', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'THBS1', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
258	GO:BP	GO:0009790	embryo development	4.318460490242284e-10	True	"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	1144	106	29	21110	0.2735849056603773	0.0253496503496503	query_1	['GO:0007275']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'KITLG', 'EDNRA', 'ITGB3', 'TGFB3', 'FLT3LG', 'SOS1', 'TGFBR2', 'ITGA5', 'ITGA4', 'SH3PXD2A', 'SOX10', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'TFEB', 'PLCG1', 'EDN1', 'VEGFA', 'ECE1', 'VTN', 'TGFBR1', 'ITGA3', 'PDGFRA', 'FLT1']
