Mandibuloacral dysplasia with type B lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
132	GO:BP	GO:0008589	regulation of smoothened signaling pathway	3.465184302813689e-05	True	"""Any process that modulates the frequency, rate or extent of smoothened signaling."" [GOC:go_curators]"	84	101	7	17376	0.0693069306930693	0.0833333333333333	query_1	['GO:0007224', 'GO:0009966']	['PTCH1', 'IHH', 'CREBBP', 'DHH', 'VCP', 'SHH', 'HHIP']
133	REAC	REAC:R-HSA-5696395	Formation of Incision Complex in GG-NER	4.24471979969172e-05	True	Formation of Incision Complex in GG-NER	43	101	5	17376	0.0495049504950495	0.1162790697674418	query_1	['REAC:R-HSA-5696399']	['CUL4B', 'DDB2', 'DDB1', 'RBX1', 'CUL4A']
134	GO:BP	GO:1904152	regulation of retrograde protein transport, ER to cytosol	4.39555025576647e-05	True	"""Any process that modulates the frequency, rate or extent of retrograde protein transport, ER to cytosol."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:18555783]"	13	101	4	17376	0.0396039603960396	0.3076923076923077	query_1	['GO:0030970', 'GO:0070861']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1']
135	REAC	REAC:R-HSA-6811438	Intra-Golgi traffic	4.676989629327778e-05	True	Intra-Golgi traffic	44	101	5	17376	0.0495049504950495	0.1136363636363636	query_1	['REAC:R-HSA-6811442']	['ARF1', 'CYTH4', 'CYTH3', 'CYTH1', 'CYTH2']
136	REAC	REAC:R-HSA-901032	ER Quality Control Compartment (ERQC)	5.025726600355795e-05	True	ER Quality Control Compartment (ERQC)	21	101	4	17376	0.0396039603960396	0.1904761904761904	query_1	['REAC:R-HSA-901042']	['SYVN1', 'DERL2', 'OS9', 'SEL1L']
137	REAC	REAC:R-HSA-5619084	ABC transporter disorders	5.029961973381948e-05	True	ABC transporter disorders	78	101	6	17376	0.0594059405940594	0.0769230769230769	query_1	['REAC:R-HSA-5619115']	['DERL2', 'VCP', 'OS9', 'DERL1', 'SEL1L', 'ERLEC1']
138	GO:CC	GO:0031981	nuclear lumen	5.1624713084153465e-05	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	101	46	17376	0.4554455445544554	0.0106088560885608	query_1	['GO:0005634', 'GO:0070013']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'DDB1', 'RBX1', 'CYTIP', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'EPAS1', 'ELOC', 'NEDD8', 'EP300', 'ARNT', 'AHR', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
139	GO:BP	GO:0034644	cellular response to UV	5.3379406298663305e-05	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:mah]"	90	101	7	17376	0.0693069306930693	0.0777777777777777	query_1	['GO:0009411', 'GO:0071482']	['CUL4B', 'DDB2', 'CREBBP', 'DDB1', 'RBX1', 'EP300', 'CUL4A']
140	GO:CC	GO:0070013	intracellular organelle lumen	5.622618244836071e-05	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5406	101	53	17376	0.5247524752475248	0.0098039215686274	query_1	['GO:0043229', 'GO:0043233']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
141	GO:CC	GO:0043233	organelle lumen	5.622618244836071e-05	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5406	101	53	17376	0.5247524752475248	0.0098039215686274	query_1	['GO:0031974', 'GO:0043226']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
142	GO:CC	GO:0031974	membrane-enclosed lumen	5.622618244836071e-05	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5406	101	53	17376	0.5247524752475248	0.0098039215686274	query_1	['GO:0110165']	['CUL3', 'EGLN3', 'RXRA', 'PNPLA2', 'NAA38', 'CUL4B', 'DDB2', 'SYVN1', 'CREBBP', 'PPARD', 'LMO7', 'GNL2', 'DNAJC10', 'HSP90AB1', 'VCP', 'COX10', 'CYTH3', 'SCOC', 'ELOB', 'OS9', 'DDB1', 'RBX1', 'CYTIP', 'HSP90B1', 'VHL', 'PRCC', 'HIF1A', 'SKP1', 'GBF1', 'EPAS1', 'ELOC', 'NEDD8', 'SHH', 'EP300', 'ARNT', 'AHR', 'FAF2', 'ERLEC1', 'CAND1', 'UBE2D2', 'RNF7', 'ERCC8', 'COPS5', 'RARA', 'DDX42', 'RPN2', 'HSPA8', 'CUL1', 'CUL2', 'FABP5', 'PLEKHA8', 'CUL4A', 'NAA35']
143	GO:CC	GO:0034751	aryl hydrocarbon receptor complex	5.76568085510404e-05	True	"""A protein complex that acts as an aryl hydrocarbon (Ah) receptor. Cytosolic and nuclear Ah receptor complexes have different subunit composition, but both contain the ligand-binding subunit AhR."" [GOC:mah, PMID:7598497]"	7	101	3	17376	0.0297029702970297	0.4285714285714285	query_1	['GO:0043235', 'GO:0140535']	['HSP90AB1', 'ARNT', 'AHR']
144	GO:BP	GO:0097193	intrinsic apoptotic signaling pathway	6.362814334223722e-05	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]"	294	101	11	17376	0.1089108910891089	0.0374149659863945	query_1	['GO:0035556', 'GO:0097190']	['CUL3', 'SELENOS', 'SYVN1', 'DNAJC10', 'HIF1A', 'EP300', 'SELENOK', 'CUL5', 'CUL1', 'CUL2', 'CUL4A']
145	REAC	REAC:R-HSA-73893	DNA Damage Bypass	6.851903347256933e-05	True	DNA Damage Bypass	48	101	5	17376	0.0495049504950495	0.1041666666666666	query_1	['REAC:R-HSA-73894']	['CUL4B', 'VCP', 'DDB1', 'RBX1', 'CUL4A']
146	GO:CC	GO:0000139	Golgi membrane	7.391970229792063e-05	True	"""The lipid bilayer surrounding any of the compartments of the Golgi apparatus."" [GOC:mah]"	595	101	14	17376	0.1386138613861386	0.0235294117647058	query_1	['GO:0005794', 'GO:0098588']	['IHH', 'ARF1', 'DHH', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'GBF1', 'SHH', 'PLEKHA8', 'SYS1']
147	REAC	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	7.468170477018275e-05	True	Global Genome Nucleotide Excision Repair (GG-NER)	84	101	6	17376	0.0594059405940594	0.0714285714285714	query_1	['REAC:R-HSA-5696398']	['CUL4B', 'DDB2', 'DDB1', 'RBX1', 'COPS5', 'CUL4A']
148	REAC	REAC:R-HSA-5362798	Release of Hh-Np from the secreting cell	8.059861576355202e-05	True	Release of Hh-Np from the secreting cell	8	101	3	17376	0.0297029702970297	0.375	query_1	['REAC:R-HSA-5358346']	['IHH', 'DHH', 'SHH']
149	REAC	REAC:R-HSA-3371571	HSF1-dependent transactivation	8.059861576355202e-05	True	HSF1-dependent transactivation	24	101	4	17376	0.0396039603960396	0.1666666666666666	query_1	['REAC:R-HSA-3371556']	['CREBBP', 'HSP90AB1', 'EP300', 'HSPA8']
150	GO:BP	GO:0015031	protein transport	8.119045408075786e-05	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1525	101	25	17376	0.2475247524752475	0.0163934426229508	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'HSPA8', 'FAM3D', 'PLEKHA8', 'SYS1']
151	REAC	REAC:R-HSA-162582	Signal Transduction	9.432489080389904e-05	True	Signal Transduction	2436	101	31	17376	0.3069306930693069	0.0127257799671592	query_1	['REAC:0000000']	['CUL3', 'RXRA', 'PTCH1', 'IHH', 'SYVN1', 'CREBBP', 'PPARD', 'BOC', 'DHH', 'CDON', 'DERL2', 'HSP90AB1', 'VCP', 'OS9', 'RBX1', 'VHL', 'HIF1A', 'SKP1', 'SEL1L', 'EPAS1', 'RGSL1', 'NEDD8', 'SHH', 'EP300', 'FAF2', 'ERLEC1', 'CUL5', 'RARA', 'HHIP', 'CUL1', 'FABP5']
152	GO:BP	GO:0006486	protein glycosylation	9.585361157604394e-05	True	"""A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."" [GOC:curators, GOC:pr]"	192	101	9	17376	0.0891089108910891	0.046875	query_1	['GO:0009101', 'GO:0036211', 'GO:0043413']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
153	GO:BP	GO:0043413	macromolecule glycosylation	9.585361157604394e-05	True	"""The covalent attachment of a glycosyl residue to one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule."" [GOC:jl]"	192	101	9	17376	0.0891089108910891	0.046875	query_1	['GO:0043412', 'GO:0070085']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
154	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	9.929004062937503e-05	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	249	101	10	17376	0.099009900990099	0.0401606425702811	query_1	['GO:0031399', 'GO:0070647']	['CUL3', 'HSP90AB1', 'VCP', 'DERL1', 'RBX1', 'HIF1A', 'SKP1', 'EPAS1', 'ARNT', 'COPS5']
155	REAC	REAC:R-HSA-9711123	Cellular response to chemical stress	9.945841005775944e-05	True	Cellular response to chemical stress	187	101	8	17376	0.0792079207920792	0.0427807486631016	query_1	['REAC:R-HSA-2262752']	['CUL3', 'RXRA', 'CREBBP', 'VCP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
156	REAC	REAC:R-HSA-901042	Calnexin/calreticulin cycle	0.000106925791364	True	Calnexin/calreticulin cycle	26	101	4	17376	0.0396039603960396	0.1538461538461538	query_1	['REAC:R-HSA-532668']	['SYVN1', 'DERL2', 'OS9', 'SEL1L']
157	GO:BP	GO:0031647	regulation of protein stability	0.0001101351712161	True	"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]"	314	101	11	17376	0.1089108910891089	0.0350318471337579	query_1	['GO:0065008']	['CUL3', 'SYVN1', 'CREBBP', 'DAD1', 'HSP90AB1', 'DERL1', 'DDOST', 'VHL', 'SEL1L', 'EP300', 'HSPA8']
158	GO:BP	GO:0006886	intracellular protein transport	0.0001102992351807	True	"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]"	863	101	18	17376	0.1782178217821782	0.0208574739281575	query_1	['GO:0008104', 'GO:0015031', 'GO:0046907']	['SELENOS', 'SYVN1', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'SEL1L', 'SHH', 'FAF2', 'ERLEC1', 'HSPA8']
159	REAC	REAC:R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	0.0001126655347392	True	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	55	101	5	17376	0.0495049504950495	0.0909090909090909	query_1	['REAC:R-HSA-2894858']	['CREBBP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
160	REAC	REAC:R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	0.0001126655347392	True	Constitutive Signaling by NOTCH1 PEST Domain Mutants	55	101	5	17376	0.0495049504950495	0.0909090909090909	query_1	['REAC:R-HSA-2644602']	['CREBBP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
161	REAC	REAC:R-HSA-2644603	Signaling by NOTCH1 in Cancer	0.0001126655347392	True	Signaling by NOTCH1 in Cancer	55	101	5	17376	0.0495049504950495	0.0909090909090909	query_1	['REAC:R-HSA-5663202']	['CREBBP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
162	REAC	REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	0.0001126655347392	True	Signaling by NOTCH1 PEST Domain Mutants in Cancer	55	101	5	17376	0.0495049504950495	0.0909090909090909	query_1	['REAC:R-HSA-2644603']	['CREBBP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
163	REAC	REAC:R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	0.0001126655347392	True	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	55	101	5	17376	0.0495049504950495	0.0909090909090909	query_1	['REAC:R-HSA-2644603']	['CREBBP', 'RBX1', 'SKP1', 'EP300', 'CUL1']
164	GO:CC	GO:0005794	Golgi apparatus	0.00012219868748	True	"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]"	1513	101	23	17376	0.2277227722772277	0.0152015862524785	query_1	['GO:0005737', 'GO:0012505', 'GO:0043231']	['CUL3', 'PTCH1', 'IHH', 'ARF1', 'DHH', 'CYTH4', 'CYTH3', 'CYTH1', 'ARL1', 'PLEKHA3', 'SCOC', 'CYTH2', 'ARFRP1', 'CSDE1', 'ARFIP2', 'GBF1', 'SHH', 'CAND1', 'SELENOK', 'PKHD1', 'PLEKHA8', 'PKD2', 'SYS1']
165	GO:BP	GO:0009411	response to UV	0.0001390848289719	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	151	101	8	17376	0.0792079207920792	0.0529801324503311	query_1	['GO:0009416']	['CUL4B', 'DDB2', 'CREBBP', 'DDB1', 'RBX1', 'EP300', 'ERCC8', 'CUL4A']
166	GO:BP	GO:0070936	protein K48-linked ubiquitination	0.0001468101107953	True	"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."" [GOC:cvs, PMID:15556404]"	69	101	6	17376	0.0594059405940594	0.0869565217391304	query_1	['GO:0000209']	['CUL3', 'SYVN1', 'RBX1', 'SKP1', 'UBE2D2', 'CUL1']
167	GO:BP	GO:0070085	glycosylation	0.0001736933641794	True	"""The covalent attachment and further modification of carbohydrate residues to a substrate molecule."" [GOC:hjd, GOC:mah]"	209	101	9	17376	0.0891089108910891	0.0430622009569378	query_1	['GO:0008152']	['STT3B', 'DAD1', 'UBE2J1', 'DDOST', 'RPN1', 'STT3A', 'MAGT1', 'RPN2', 'TUSC3']
168	REAC	REAC:R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	0.000175550676227	True	Recognition of DNA damage by PCNA-containing replication complex	30	101	4	17376	0.0396039603960396	0.1333333333333333	query_1	['REAC:R-HSA-73893']	['CUL4B', 'DDB1', 'RBX1', 'CUL4A']
169	REAC	REAC:R-HSA-382556	ABC-family proteins mediated transport	0.0001776467082731	True	ABC-family proteins mediated transport	101	101	6	17376	0.0594059405940594	0.0594059405940594	query_1	['REAC:R-HSA-382551']	['DERL2', 'VCP', 'OS9', 'DERL1', 'SEL1L', 'ERLEC1']
170	GO:CC	GO:0031414	N-terminal protein acetyltransferase complex	0.0001809032298504	True	"""A complex that catalyzes the transfer of an acetyl group to the N-terminal residue of a protein acceptor molecule."" [GOC:mah]"	10	101	3	17376	0.0297029702970297	0.3	query_1	['GO:0005737', 'GO:0031248']	['NAA38', 'NAA30', 'NAA35']
171	GO:BP	GO:0051649	establishment of localization in cell	0.0001962776357609	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2070	101	29	17376	0.2871287128712871	0.0140096618357487	query_1	['GO:0051234', 'GO:0051641']	['CUL3', 'SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'ZMPSTE24', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'COPS5', 'PKHD1', 'HSPA8', 'PLEKHA8', 'PKD2', 'SYS1']
172	GO:BP	GO:0043009	chordate embryonic development	0.000197379291459	True	"""The process whose specific outcome is the progression of the embryo over time, from zygote formation through a stage including a notochord and neural tube until birth or egg hatching."" [GOC:mtg_sensu]"	640	101	15	17376	0.1485148514851485	0.0234375	query_1	['GO:0009792']	['CUL3', 'PTCH1', 'IHH', 'DAD1', 'EGLN1', 'HIF1A', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'ZFP14', 'RARA', 'PKD2', 'CUL4A', 'CDX1']
173	REAC	REAC:R-HSA-9708530	Regulation of BACH1 activity	0.0001976339606673	True	Regulation of BACH1 activity	11	101	3	17376	0.0297029702970297	0.2727272727272727	query_1	['REAC:R-HSA-9755511']	['RBX1', 'SKP1', 'CUL1']
174	GO:BP	GO:0001666	response to hypoxia	0.000224728954892	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]"	277	101	10	17376	0.099009900990099	0.0361010830324909	query_1	['GO:0006950', 'GO:0036293']	['EGLN3', 'CREBBP', 'PPARD', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'EP300', 'ARNT']
175	GO:BP	GO:0045184	establishment of protein localization	0.000229510612185	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1634	101	25	17376	0.2475247524752475	0.0152998776009791	query_1	['GO:0008104', 'GO:0051234']	['SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'HSPA8', 'FAM3D', 'PLEKHA8', 'SYS1']
176	REAC	REAC:R-HSA-168256	Immune System	0.0002446175453282	True	Immune System	1957	101	26	17376	0.2574257425742574	0.0132856412876852	query_1	['REAC:0000000']	['CUL3', 'CREBBP', 'ARF1', 'LMO7', 'HSP90AB1', 'VCP', 'ELOB', 'UBE2J1', 'RBX1', 'DDOST', 'HSP90B1', 'VHL', 'HIF1A', 'SKP1', 'ELOC', 'EP300', 'FAF2', 'CAND1', 'UBE2D2', 'RNF7', 'CUL5', 'MAGT1', 'HSPA8', 'CUL1', 'CUL2', 'FABP5']
177	GO:BP	GO:0071482	cellular response to light stimulus	0.0002511306103171	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:mah]"	118	101	7	17376	0.0693069306930693	0.059322033898305	query_1	['GO:0009416', 'GO:0071478']	['CUL4B', 'DDB2', 'CREBBP', 'DDB1', 'RBX1', 'EP300', 'CUL4A']
178	GO:BP	GO:0033036	macromolecule localization	0.0002511306103171	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	2845	101	35	17376	0.3465346534653465	0.0123022847100175	query_1	['GO:0051179']	['RXRA', 'PTCH1', 'PNPLA2', 'SELENOS', 'SYVN1', 'PPARD', 'ARF1', 'DERL2', 'HSP90AB1', 'VCP', 'ARL1', 'PLEKHA3', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SKP1', 'SEL1L', 'GBF1', 'NEDD8', 'SHH', 'FAF2', 'ERLEC1', 'SELENOK', 'DDX42', 'HSPA8', 'FAM3D', 'FABP5', 'PLEKHA8', 'PKD2', 'SYS1']
179	GO:CC	GO:0036502	Derlin-1-VIMP complex	0.0002598512221958	True	"""A protein complex containing, in mammals, Derlin-1 and VCP-interacting membrane protein (VIMP). The complex links the p97/VCP-containing ATPase complex with Derlin-1 during translocation of protein substrates from the endoplasmic reticulum to the cytosol for degradation by the cytosolic proteasome."" [GOC:bf, GOC:PARL, PMID:15215856, PMID:16186510]"	2	101	2	17376	0.0198019801980198	1.0	query_1	['GO:0005789', 'GO:0098796', 'GO:0140534']	['SELENOS', 'DERL1']
180	GO:CC	GO:0034753	nuclear aryl hydrocarbon receptor complex	0.0002598512221958	True	"""An aryl hydrocarbon receptor (AhR) complex found in the nucleus; ; consists of ligand-bound AhR and the aryl hydrocarbon receptor nuclear translocator (ARNT)."" [PMID:7598497]"	2	101	2	17376	0.0198019801980198	1.0	query_1	['GO:0034751', 'GO:0140513']	['ARNT', 'AHR']
181	GO:BP	GO:0009792	embryo development ending in birth or egg hatching	0.0002603769986326	True	"""The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	659	101	15	17376	0.1485148514851485	0.0227617602427921	query_1	['GO:0009790']	['CUL3', 'PTCH1', 'IHH', 'DAD1', 'EGLN1', 'HIF1A', 'EPAS1', 'SHH', 'EP300', 'ARNT', 'ZFP14', 'RARA', 'PKD2', 'CUL4A', 'CDX1']
182	GO:CC	GO:0019005	SCF ubiquitin ligase complex	0.0002648367810655	True	"""A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1)."" [PMID:15571813, PMID:15688063]"	64	101	5	17376	0.0495049504950495	0.078125	query_1	['GO:0031461']	['RBX1', 'SKP1', 'CUL5', 'CUL1', 'CUL2']
183	GO:BP	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.0002829251568784	True	"""Modulation of the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a stimulus indicating the organism is under oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl]"	7	101	3	17376	0.0297029702970297	0.4285714285714285	query_1	['GO:0034599', 'GO:0043618']	['HIF1A', 'EPAS1', 'ARNT']
184	GO:BP	GO:0046907	intracellular transport	0.0002922069258348	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	101	24	17376	0.2376237623762376	0.0154539600772698	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['CUL3', 'SELENOS', 'SYVN1', 'ARF1', 'DERL2', 'VCP', 'ARL1', 'ZMPSTE24', 'TAMALIN', 'OS9', 'UBE2J1', 'DERL1', 'ARFRP1', 'HSP90B1', 'ARFIP2', 'HIF1A', 'SEL1L', 'GBF1', 'SHH', 'FAF2', 'ERLEC1', 'HSPA8', 'PLEKHA8', 'SYS1']
185	GO:BP	GO:0036293	response to decreased oxygen levels	0.000294319030426	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	289	101	10	17376	0.099009900990099	0.0346020761245674	query_1	['GO:0070482']	['EGLN3', 'CREBBP', 'PPARD', 'HSP90B1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'EP300', 'ARNT']
186	GO:BP	GO:0070861	regulation of protein exit from endoplasmic reticulum	0.0003565633205728	True	"""Any process that modulates the frequency, rate or extent of the directed movement of proteins from the endoplasmic reticulum."" [GOC:mah]"	23	101	4	17376	0.0396039603960396	0.1739130434782608	query_1	['GO:0032527', 'GO:0033157']	['DERL2', 'OS9', 'UBE2J1', 'ERLEC1']
187	GO:BP	GO:0048745	smooth muscle tissue development	0.0003565633205728	True	"""The process whose specific outcome is the progression of smooth muscle over time, from its formation to the mature structure."" [GOC:dph, GOC:jid, GOC:lm]"	23	101	4	17376	0.0396039603960396	0.1739130434782608	query_1	['GO:0060537']	['PTCH1', 'IHH', 'SHH', 'PKD2']
