Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
444	GO:BP	GO:0071396	cellular response to lipid	4.824154290343697e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:mah]"	582	101	17	17376	0.1683168316831683	0.0292096219931271	query_1	['GO:0033993', 'GO:0071310']	['REST', 'AKT1', 'HDAC1', 'SMARCA4', 'SOX10', 'TEAD2', 'CCNA2', 'EP300', 'E2F1', 'SNW1', 'ESR1', 'SKP2', 'FOXH1', 'CDK4', 'HDAC2', 'YAP1', 'KDM1A']
445	GO:BP	GO:0046620	regulation of organ growth	5.303840180154728e-07	True	"""Any process that modulates the frequency, rate or extent of growth of an organ of an organism."" [GOC:bf, GOC:tb]"	88	101	8	17376	0.0792079207920792	0.0909090909090909	query_1	['GO:0035265', 'GO:0048638', 'GO:0051239']	['AKT1', 'TBX5', 'NOTCH1', 'VGLL4', 'RUNX1', 'RBPJ', 'CDK1', 'YAP1']
446	GO:BP	GO:1901698	response to nitrogen compound	5.31582367615858e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1081	101	23	17376	0.2277227722772277	0.0212765957446808	query_1	['GO:0042221']	['AKT1', 'CDK5', 'CTNNB1', 'RB1', 'SIN3A', 'EGR2', 'CCNA2', 'NOTCH1', 'PRMT5', 'CDK1', 'CDK2', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1', 'CCND1']
447	GO:BP	GO:1904031	positive regulation of cyclin-dependent protein kinase activity	5.744949824719716e-07	True	"""Any process that activates or increases the frequency, rate or extent of cyclin-dependent protein kinase activity."" [GO_REF:0000059, GOC:als, GOC:TermGenie, PMID:22995177]"	35	101	6	17376	0.0594059405940594	0.1714285714285714	query_1	['GO:0045860', 'GO:1904029']	['AKT1', 'CCND2', 'MNAT1', 'CCND3', 'CDKN1B', 'CCND1']
448	GO:BP	GO:2000136	regulation of cell proliferation involved in heart morphogenesis	5.863309465930342e-07	True	"""Any process that modulates the frequency, rate or extent of cell proliferation involved in heart morphogenesis."" [GOC:dph]"	18	101	5	17376	0.0495049504950495	0.2777777777777778	query_1	['GO:0042127', 'GO:0061323']	['CTNNB1', 'TBX5', 'SMAD4', 'NOTCH1', 'RBPJ']
449	GO:BP	GO:1901699	cellular response to nitrogen compound	5.863309465930342e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	666	101	18	17376	0.1782178217821782	0.027027027027027	query_1	['GO:0070887', 'GO:1901698']	['AKT1', 'CDK5', 'CTNNB1', 'RB1', 'SIN3A', 'CCNA2', 'PRMT5', 'CDK2', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'EGR1', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1']
450	GO:BP	GO:0043923	positive regulation by host of viral transcription	5.863309465930342e-07	True	"""Any process in which a host organism activates or increases the frequency, rate or extent of viral transcription, the synthesis of either RNA on a template of DNA or DNA on a template of RNA."" [GOC:jl]"	18	101	5	17376	0.0495049504950495	0.2777777777777778	query_1	['GO:0019083', 'GO:0051851']	['SMARCA4', 'SMARCB1', 'EP300', 'SNW1', 'SP1']
451	GO:BP	GO:0048709	oligodendrocyte differentiation	6.19083828089582e-07	True	"""The process in which a relatively unspecialized cell acquires the specialized features of an oligodendrocyte. An oligodendrocyte is a type of glial cell involved in myelinating the axons of neurons in the central nervous system."" [GOC:vp, PMID:15139015]"	90	101	8	17376	0.0792079207920792	0.0888888888888888	query_1	['GO:0007417', 'GO:0010001']	['CDK5', 'CTNNB1', 'HDAC1', 'SOX10', 'NOTCH1', 'PRMT5', 'CDKN2C', 'HDAC2']
452	GO:BP	GO:0030097	hemopoiesis	6.19083828089582e-07	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	101	21	17376	0.2079207920792079	0.0229759299781181	query_1	['GO:0048468']	['REST', 'CDKN2B', 'CBFB', 'CTNNB1', 'RB1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'SMARCC2', 'CDKN2A', 'RCOR1', 'EGR1', 'TP53', 'SMARCC1', 'CDK6']
453	GO:BP	GO:0035239	tube morphogenesis	6.223923676253955e-07	True	"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]"	830	101	20	17376	0.198019801980198	0.0240963855421686	query_1	['GO:0009653', 'GO:0035295']	['AKT1', 'AMOT', 'CTNNB1', 'TBX5', 'SOX10', 'TEAD2', 'E2F2', 'SMAD2', 'SMAD4', 'AMOTL2', 'NOTCH1', 'RUNX1', 'RBPJ', 'NOTCH2', 'SP1', 'AMOTL1', 'ESR1', 'FOXH1', 'SMAD3', 'YAP1']
454	GO:BP	GO:0023051	regulation of signaling	6.223923676253955e-07	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3199	101	42	17376	0.4158415841584158	0.0131291028446389	query_1	['GO:0023052', 'GO:0050789']	['REST', 'CDKN2B', 'AKT1', 'CREBBP', 'CDK5', 'AMOT', 'CCNB1', 'CTNNB1', 'RB1', 'HDAC1', 'SNAI1', 'SMARCA4', 'RBX1', 'SIN3A', 'CDKN2D', 'EGR2', 'SOX10', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD4', 'NOTCH1', 'VGLL4', 'EP300', 'RBPJ', 'PRMT5', 'NOTCH2', 'CDKN2A', 'SNW1', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'FOXH1', 'CDK4', 'EGR1', 'TP53', 'SMAD3', 'HDAC2', 'YAP1', 'KDM1A', 'CCNC']
455	GO:BP	GO:0060420	regulation of heart growth	6.468882558239643e-07	True	"""Any process that modulates the rate or extent of heart growth. Heart growth is the increase in size or mass of the heart."" [GOC:dph, GOC:tb]"	60	101	7	17376	0.0693069306930693	0.1166666666666666	query_1	['GO:0046620', 'GO:0060419', 'GO:2000026']	['TBX5', 'NOTCH1', 'VGLL4', 'RUNX1', 'RBPJ', 'CDK1', 'YAP1']
456	GO:BP	GO:0003179	heart valve morphogenesis	6.468882558239643e-07	True	"""The process in which the structure of a heart valve is generated and organized."" [GOC:mtg_heart]"	60	101	7	17376	0.0693069306930693	0.1166666666666666	query_1	['GO:0003170', 'GO:0009653']	['RB1', 'SNAI1', 'TBX5', 'SMAD2', 'SMAD4', 'NOTCH1', 'NOTCH2']
457	GO:BP	GO:0014014	negative regulation of gliogenesis	6.641035580040495e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]"	36	101	6	17376	0.0594059405940594	0.1666666666666666	query_1	['GO:0014013', 'GO:0042063', 'GO:0050768']	['CDKN2B', 'CTNNB1', 'RB1', 'SOX10', 'NOTCH1', 'TP53']
458	GO:BP	GO:0007219	Notch signaling pathway	6.85649988834339e-07	True	"""The series of molecular signals initiated by an extracellular ligand binding to the receptor Notch on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:go_curators, GOC:signaling]"	171	101	10	17376	0.099009900990099	0.0584795321637426	query_1	['GO:0007166']	['MAML1', 'AKT1', 'SNAI1', 'NOTCH1', 'RBPJ', 'NOTCH2', 'CDKN1B', 'YAP1', 'CDK6', 'CCNC']
459	REAC	REAC:R-HSA-139915	Activation of PUMA and translocation to mitochondria	7.062324572643243e-07	True	Activation of PUMA and translocation to mitochondria	9	101	4	17376	0.0396039603960396	0.4444444444444444	query_1	['REAC:R-HSA-114452']	['TFDP1', 'E2F1', 'TP53', 'TFDP2']
460	REAC	REAC:R-HSA-9711123	Cellular response to chemical stress	7.126685645326187e-07	True	Cellular response to chemical stress	187	101	10	17376	0.099009900990099	0.053475935828877	query_1	['REAC:R-HSA-2262752']	['AKT1', 'CREBBP', 'RBX1', 'SIN3A', 'SKP1', 'NOTCH1', 'EP300', 'CDKN2A', 'SKP2', 'CUL1']
461	GO:BP	GO:0048738	cardiac muscle tissue development	7.164744115068481e-07	True	"""The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure."" [GOC:dph, GOC:jid, GOC:lm]"	220	101	11	17376	0.1089108910891089	0.05	query_1	['GO:0007507', 'GO:0014706']	['MAML1', 'TBX5', 'SMAD4', 'NOTCH1', 'VGLL4', 'RUNX1', 'RBPJ', 'NOTCH2', 'CDK1', 'FOXH1', 'YAP1']
462	GO:BP	GO:0001649	osteoblast differentiation	7.164744115068481e-07	True	"""The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone."" [CL:0000062, GO_REF:0000034, GOC:jid]"	220	101	11	17376	0.1089108910891089	0.05	query_1	['GO:0001503', 'GO:0030154']	['REST', 'AKT1', 'CBFB', 'CTNNB1', 'SNAI1', 'WWTR1', 'SMAD4', 'NOTCH1', 'SMAD3', 'YAP1', 'CDK6']
463	GO:BP	GO:0001568	blood vessel development	7.359454801870089e-07	True	"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]"	678	101	18	17376	0.1782178217821782	0.0265486725663716	query_1	['GO:0001944', 'GO:0048856']	['AKT1', 'AMOT', 'CTNNB1', 'TBX5', 'EGR2', 'TEAD2', 'E2F2', 'AMOTL2', 'NOTCH1', 'RUNX1', 'RBPJ', 'NOTCH2', 'SP1', 'AMOTL1', 'FOXO1', 'FOXH1', 'EGR1', 'YAP1']
464	GO:BP	GO:0010243	response to organonitrogen compound	7.359454801870089e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	1013	101	22	17376	0.2178217821782178	0.0217176702862783	query_1	['GO:0010033', 'GO:1901698']	['AKT1', 'CDK5', 'CTNNB1', 'RB1', 'SIN3A', 'EGR2', 'CCNA2', 'NOTCH1', 'PRMT5', 'CDK1', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'CDKN1B', 'EGR1', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1', 'CCND1']
465	GO:BP	GO:0061323	cell proliferation involved in heart morphogenesis	7.595916519476811e-07	True	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population that contributes to the shaping of the heart."" [GOC:dph, GOC:mtg_heart]"	19	101	5	17376	0.0495049504950495	0.2631578947368421	query_1	['GO:0003007', 'GO:0008283']	['CTNNB1', 'TBX5', 'SMAD4', 'NOTCH1', 'RBPJ']
466	REAC	REAC:R-HSA-1181150	Signaling by NODAL	7.659308134178833e-07	True	Signaling by NODAL	22	101	5	17376	0.0495049504950495	0.2272727272727272	query_1	['REAC:R-HSA-1266738']	['SMAD2', 'SMAD4', 'DRAP1', 'FOXH1', 'SMAD3']
467	GO:BP	GO:0010586	miRNA metabolic process	7.67673340148656e-07	True	"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]"	93	101	8	17376	0.0792079207920792	0.086021505376344	query_1	['GO:0034660']	['REST', 'SMARCA4', 'SMAD4', 'TEAD1', 'ESR1', 'EGR1', 'TP53', 'SMAD3']
468	GO:BP	GO:0045787	positive regulation of cell cycle	7.67673340148656e-07	True	"""Any process that activates or increases the rate or extent of progression through the cell cycle."" [GOC:go_curators]"	333	101	13	17376	0.1287128712871287	0.039039039039039	query_1	['GO:0007049', 'GO:0048522', 'GO:0051726']	['AKT1', 'CCNB1', 'TFDP1', 'RB1', 'SIN3A', 'CCND2', 'MNAT1', 'CDK1', 'KAT2B', 'CCND3', 'CDK4', 'CDKN1B', 'CCND1']
469	GO:BP	GO:0070316	regulation of G0 to G1 transition	7.67673340148656e-07	True	"""A cell cycle process that modulates the rate or extent of the transition from the G0 quiescent state to the G1 phase."" [GOC:mah]"	37	101	6	17376	0.0594059405940594	0.1621621621621621	query_1	['GO:0010564', 'GO:0045023']	['CDKN2B', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
470	GO:BP	GO:0014015	positive regulation of gliogenesis	7.880139806172078e-07	True	"""Any process that activates or increases the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]"	62	101	7	17376	0.0693069306930693	0.1129032258064516	query_1	['GO:0014013', 'GO:0042063', 'GO:0050769']	['HDAC1', 'EGR2', 'SOX10', 'NOTCH1', 'E2F1', 'PRMT5', 'HDAC2']
471	GO:CC	GO:0032806	carboxy-terminal domain protein kinase complex	8.073357977505629e-07	True	"""A protein complex that phosphorylates amino acid residues of RNA polymerase II C-terminal domain repeats; phosphorylation occurs mainly on Ser2 and Ser5."" [PMID:15047695, PMID:16721054, PMID:17079683]"	20	101	5	17376	0.0495049504950495	0.25	query_1	['GO:0140513', 'GO:1902554']	['CDK7', 'RB1', 'CCNH', 'MNAT1', 'SNW1']
472	GO:BP	GO:0031401	positive regulation of protein modification process	8.17334930240584e-07	True	"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	932	101	21	17376	0.2079207920792079	0.0225321888412017	query_1	['GO:0031399', 'GO:0036211', 'GO:0051247']	['AKT1', 'CDK5', 'CTNNB1', 'RBX1', 'CDKN1A', 'SMARCB1', 'SKP1', 'SMAD4', 'NAB2', 'CCND2', 'MNAT1', 'CDKN2A', 'SNW1', 'CCND3', 'SKP2', 'CDKN1B', 'EGR1', 'TP53', 'HDAC2', 'KDM1A', 'CCND1']
473	GO:BP	GO:0001666	response to hypoxia	8.17334930240584e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]"	277	101	12	17376	0.1188118811881188	0.0433212996389891	query_1	['GO:0006950', 'GO:0036293']	['REST', 'CREBBP', 'CCNA2', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'E2F1', 'CDKN1B', 'EGR1', 'TP53', 'SMAD3']
474	GO:BP	GO:0051247	positive regulation of protein metabolic process	8.207915998091953e-07	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1399	101	26	17376	0.2574257425742574	0.0185847033595425	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['REST', 'AKT1', 'CDK5', 'CTNNB1', 'RBX1', 'CDKN1A', 'SMARCB1', 'SKP1', 'SMAD4', 'VGLL4', 'NAB2', 'CCND2', 'MNAT1', 'CDKN2A', 'SNW1', 'SP1', 'FOXO1', 'CCND3', 'SKP2', 'CDKN1B', 'EGR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
475	GO:BP	GO:0007517	muscle organ development	8.365209778585801e-07	True	"""The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work."" [GOC:jid, ISBN:0198506732]"	336	101	13	17376	0.1287128712871287	0.0386904761904761	query_1	['GO:0048513', 'GO:0061061']	['CDK5', 'COPRS', 'CTNNB1', 'RB1', 'EGR2', 'SMAD4', 'NOTCH1', 'EP300', 'RBPJ', 'TEAD4', 'FOXH1', 'EGR1', 'SMAD3']
476	GO:BP	GO:0003162	atrioventricular node development	8.365209778585801e-07	True	"""The process whose specific outcome is the progression of the atrioventricular (AV) node over time, from its formation to the mature structure. The AV node is part of the cardiac conduction system that controls the timing of ventricle contraction by receiving electrical signals from the sinoatrial (SA) node and relaying them to the His-Purkinje system."" [GOC:mtg_heart]"	8	101	4	17376	0.0396039603960396	0.5	query_1	['GO:0003161', 'GO:0048738']	['MAML1', 'TBX5', 'NOTCH1', 'NOTCH2']
477	GO:BP	GO:0046649	lymphocyte activation	8.658521117026071e-07	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	767	101	19	17376	0.1881188118811881	0.0247718383311603	query_1	['GO:0045321']	['AKT1', 'CBFB', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'CDKN1A', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'SMARCC2', 'CDKN2A', 'CCND3', 'EGR1', 'TP53', 'SMAD3', 'SMARCC1', 'CDK6']
478	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	8.71322849426826e-07	True	Signaling by Receptor Tyrosine Kinases	495	101	15	17376	0.1485148514851485	0.0303030303030303	query_1	['REAC:R-HSA-162582']	['REST', 'AKT1', 'CDK5', 'CTNNB1', 'HDAC1', 'SIN3A', 'EGR2', 'CHD4', 'NAB2', 'EP300', 'ESR1', 'NAB1', 'EGR1', 'HDAC2', 'YAP1']
479	GO:BP	GO:1903131	mononuclear cell differentiation	8.82388487361699e-07	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	467	101	15	17376	0.1485148514851485	0.032119914346895	query_1	['GO:0002521']	['CBFB', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'NOTCH2', 'SMARCC2', 'CDKN2A', 'EGR1', 'TP53', 'SMARCC1', 'CDK6']
480	GO:BP	GO:0031400	negative regulation of protein modification process	8.82388487361699e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	467	101	15	17376	0.1485148514851485	0.032119914346895	query_1	['GO:0031399', 'GO:0036211', 'GO:0051248']	['CDKN2B', 'AKT1', 'CDK5', 'CTNNB1', 'RB1', 'CDKN2D', 'CDKN1A', 'WWTR1', 'SMARCB1', 'CDKN2C', 'CDKN2A', 'KAT2B', 'CDKN1B', 'HDAC2', 'KDM1A']
481	REAC	REAC:R-HSA-9675132	Diseases of cellular response to stress	9.05842919973231e-07	True	Diseases of cellular response to stress	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-1643685']	['CDKN2A', 'CDK4', 'CDK6']
482	REAC	REAC:R-HSA-68949	Orc1 removal from chromatin	9.05842919973231e-07	True	Orc1 removal from chromatin	71	101	7	17376	0.0693069306930693	0.0985915492957746	query_1	['REAC:R-HSA-69052']	['CCNA1', 'RBX1', 'CCNA2', 'SKP1', 'CDK2', 'SKP2', 'CUL1']
483	REAC	REAC:R-HSA-9630794	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	9.05842919973231e-07	True	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-9630750']	['CDKN2A', 'CDK4', 'CDK6']
484	REAC	REAC:R-HSA-9630750	Evasion of Oncogene Induced Senescence Due to p16INK4A Defects	9.05842919973231e-07	True	Evasion of Oncogene Induced Senescence Due to p16INK4A Defects	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-9630747']	['CDKN2A', 'CDK4', 'CDK6']
485	REAC	REAC:R-HSA-9632700	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	9.05842919973231e-07	True	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-9632693']	['CDKN2A', 'CDK4', 'CDK6']
486	REAC	REAC:R-HSA-3304347	Loss of Function of SMAD4 in Cancer	9.05842919973231e-07	True	Loss of Function of SMAD4 in Cancer	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-3304351']	['SMAD2', 'SMAD4', 'SMAD3']
487	REAC	REAC:R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer	9.05842919973231e-07	True	SMAD4 MH2 Domain Mutants in Cancer	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-3304347']	['SMAD2', 'SMAD4', 'SMAD3']
488	REAC	REAC:R-HSA-9632693	Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects	9.05842919973231e-07	True	Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-9630747']	['CDKN2A', 'CDK4', 'CDK6']
489	REAC	REAC:R-HSA-170145	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	9.05842919973231e-07	True	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-69273']	['CCNA1', 'CCNA2', 'CDK1']
490	REAC	REAC:R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer	9.05842919973231e-07	True	SMAD2/3 MH2 Domain Mutants in Cancer	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-3304349']	['SMAD2', 'SMAD4', 'SMAD3']
491	REAC	REAC:R-HSA-9630747	Diseases of Cellular Senescence	9.05842919973231e-07	True	Diseases of Cellular Senescence	3	101	3	17376	0.0297029702970297	1.0	query_1	['REAC:R-HSA-9675132']	['CDKN2A', 'CDK4', 'CDK6']
492	GO:BP	GO:0016571	histone methylation	9.410424213480376e-07	True	"""The modification of histones by addition of methyl groups."" [GOC:ai]"	134	101	9	17376	0.0891089108910891	0.0671641791044776	query_1	['GO:0006479', 'GO:0016570']	['WDR77', 'COPRS', 'CTNNB1', 'SMARCB1', 'SMAD4', 'PRMT5', 'SNW1', 'CLNS1A', 'KDM1A']
493	REAC	REAC:R-HSA-73854	RNA Polymerase I Promoter Clearance	9.414834298518142e-07	True	RNA Polymerase I Promoter Clearance	107	101	8	17376	0.0792079207920792	0.0747663551401869	query_1	['REAC:R-HSA-73864']	['CDK7', 'HDAC1', 'CCNH', 'CHD4', 'MNAT1', 'TBP', 'KAT2B', 'HDAC2']
494	GO:BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	9.514007521322852e-07	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle, PMID:17329565]"	96	101	8	17376	0.0792079207920792	0.0833333333333333	query_1	['GO:0000086', 'GO:1901990', 'GO:1902749']	['CCNB1', 'SIN3A', 'CDKN1A', 'CDK1', 'CDKN2A', 'CDK2', 'CDK4', 'CCND1']
495	REAC	REAC:R-HSA-73864	RNA Polymerase I Transcription	1.0042426931844355e-06	True	RNA Polymerase I Transcription	108	101	8	17376	0.0792079207920792	0.074074074074074	query_1	['REAC:R-HSA-74160']	['CDK7', 'HDAC1', 'CCNH', 'CHD4', 'MNAT1', 'TBP', 'KAT2B', 'HDAC2']
496	REAC	REAC:R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	1.013210449123745e-06	True	Regulation of FOXO transcriptional activity by acetylation	10	101	4	17376	0.0396039603960396	0.4	query_1	['REAC:R-HSA-9614085']	['CREBBP', 'EP300', 'KAT2B', 'FOXO1']
497	REAC	REAC:R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	1.013210449123745e-06	True	STAT3 nuclear events downstream of ALK signaling	10	101	4	17376	0.0396039603960396	0.4	query_1	['REAC:R-HSA-201556']	['HDAC1', 'SIN3A', 'EP300', 'HDAC2']
498	GO:BP	GO:0090398	cellular senescence	1.0288806637151055e-06	True	"""A cell aging process stimulated in response to cellular stress, whereby normal cells lose the ability to divide through irreversible cell cycle arrest."" [GOC:BHF, PMID:28682291]"	97	101	8	17376	0.0792079207920792	0.0824742268041237	query_1	['GO:0033554', 'GO:0044237']	['CDKN2B', 'RBL1', 'CDKN1A', 'CDKN2A', 'CDK2', 'CDKN1B', 'TP53', 'CDK6']
499	REAC	REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	1.1317832900303482e-06	True	Signaling by NTRK1 (TRKA)	110	101	8	17376	0.0792079207920792	0.0727272727272727	query_1	['REAC:R-HSA-166520']	['REST', 'CDK5', 'EGR2', 'CHD4', 'NAB2', 'EP300', 'NAB1', 'EGR1']
500	GO:BP	GO:0048762	mesenchymal cell differentiation	1.2648940484912905e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]"	234	101	11	17376	0.1089108910891089	0.047008547008547	query_1	['GO:0030154', 'GO:0060485']	['CTNNB1', 'SNAI1', 'TBX5', 'SOX10', 'WWTR1', 'SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'SMAD3', 'HDAC2']
501	GO:BP	GO:0071417	cellular response to organonitrogen compound	1.2867731174768627e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	628	101	17	17376	0.1683168316831683	0.0270700636942675	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['AKT1', 'CDK5', 'CTNNB1', 'RB1', 'SIN3A', 'CCNA2', 'PRMT5', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'EGR1', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1']
502	GO:CC	GO:0043073	germ cell nucleus	1.3173927154105626e-06	True	"""The nucleus of a germ cell, a reproductive cell in multicellular organisms."" [CL:0000586, GOC:go_curators]"	69	101	7	17376	0.0693069306930693	0.1014492753623188	query_1	['GO:0005634']	['CDK7', 'SMARCB1', 'CDK2', 'TBP', 'TP53', 'YAP1', 'SMARCC1']
503	GO:BP	GO:0001944	vasculature development	1.328627426984459e-06	True	"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]"	708	101	18	17376	0.1782178217821782	0.0254237288135593	query_1	['GO:0048731', 'GO:0072359']	['AKT1', 'AMOT', 'CTNNB1', 'TBX5', 'EGR2', 'TEAD2', 'E2F2', 'AMOTL2', 'NOTCH1', 'RUNX1', 'RBPJ', 'NOTCH2', 'SP1', 'AMOTL1', 'FOXO1', 'FOXH1', 'EGR1', 'YAP1']
