Geroderma osteodysplastica	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
33	REAC	REAC:R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	2.4918572684232626e-15	True	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	34	96	12	10022	0.125	0.3529411764705882	query_1	['REAC:R-HSA-983705']	['NCK1', 'PIK3R1', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1', 'BLNK']
118	GO:BP	GO:0036211	protein modification process	3.0800172502064828e-15	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	100	60	15719	0.6	0.0176522506619594	query_1	['GO:0019538', 'GO:0043412']	['MET', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'PRAG1', 'SOS1', 'USP4', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
116	GO:BP	GO:0043410	positive regulation of MAPK cascade	3.0800172502064828e-15	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade."" [GOC:go_curators]"	464	100	25	15719	0.25	0.0538793103448275	query_1	['GO:0000165', 'GO:0043408', 'GO:1902533']	['RAPGEF1', 'KLHDC10', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'DVL2', 'EGFR', 'KDR', 'HRAS', 'SYK', 'ERBB2', 'PTK2B', 'TRAF6', 'CRKL', 'TGFBR1', 'PRKCZ', 'PTPN11', 'PDGFRA']
117	GO:BP	GO:0050793	regulation of developmental process	3.0800172502064828e-15	True	"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]"	2324	100	50	15719	0.5	0.0215146299483648	query_1	['GO:0032502', 'GO:0050789']	['RHOJ', 'ITGB1', 'PIK3CB', 'SMURF2', 'ITGAV', 'FN1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'PRAG1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'FYN', 'PRKCI', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'TRAF6', 'CRKL', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'PTPN11', 'PDGFRA', 'F11R']
119	GO:BP	GO:0006950	response to stress	3.2524706699479518e-15	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	100	63	15719	0.63	0.0167375132837407	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'KLHDC10', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'SOS1', 'PYCR1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'SQSTM1', 'PXN', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
120	GO:BP	GO:1903131	mononuclear cell differentiation	3.3509258496868295e-15	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	466	100	25	15719	0.25	0.0536480686695279	query_1	['GO:0002521']	['ITGB1', 'PIK3R2', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ']
34	REAC	REAC:R-HSA-354192	Integrin signaling	4.239506228069605e-15	True	Integrin signaling	26	96	11	10022	0.1145833333333333	0.4230769230769231	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'SYK', 'TLN1', 'PTK2']
121	GO:BP	GO:0033627	cell adhesion mediated by integrin	5.8141988504803775e-15	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	100	14	15719	0.14	0.1647058823529411	query_1	['GO:0007155']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'CRK', 'ITGA2B', 'ITGA5', 'LYN', 'SYK', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'PTPN11']
122	GO:BP	GO:0007015	actin filament organization	5.8141988504803775e-15	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:mah]"	429	100	24	15719	0.24	0.0559440559440559	query_1	['GO:0030036', 'GO:0097435']	['MET', 'NCK1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'WIPF3', 'WASL', 'WIPF1', 'PXN', 'PRKCI', 'WAS', 'GRB2', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TGFBR1', 'SMAD3', 'ELMO1', 'NCK2', 'F11R', 'ELMO2']
35	REAC	REAC:R-HSA-9013149	RAC1 GTPase cycle	6.028804139207567e-15	True	RAC1 GTPase cycle	182	96	20	10022	0.2083333333333333	0.1098901098901098	query_1	['REAC:R-HSA-9012999']	['ITGB1', 'PIK3R2', 'DOCK1', 'PIK3R1', 'WIPF3', 'WASL', 'SOS1', 'WIPF1', 'PARD6A', 'ABL2', 'WIPF2', 'DOCK8', 'WAS', 'DOCK4', 'PIK3CA', 'VAV1', 'PIK3R3', 'DOCK3', 'DOCK2', 'DOCK5']
123	GO:BP	GO:0050865	regulation of cell activation	6.114497783033978e-15	True	"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]"	638	100	28	15719	0.28	0.0438871473354232	query_1	['GO:0001775', 'GO:0050794', 'GO:0051239']	['NCK1', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'CTNNB1', 'SOS1', 'TGFBR2', 'ABL2', 'DOCK8', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'TRAF6', 'LCK', 'PRKCZ', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R']
36	REAC	REAC:R-HSA-177929	Signaling by EGFR	6.119410542357087e-15	True	Signaling by EGFR	48	96	13	10022	0.1354166666666666	0.2708333333333333	query_1	['REAC:R-HSA-9006934']	['SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'EGFR', 'PIK3CA', 'HRAS', 'PLCG1', 'SH3KBP1', 'SH3GL2', 'PTPN11', 'CBL']
37	REAC	REAC:R-HSA-9675108	Nervous system development	6.262522436889255e-15	True	Nervous system development	564	96	31	10022	0.3229166666666667	0.0549645390070922	query_1	['REAC:R-HSA-1266738']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'WASL', 'SOS1', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'PIK3CA', 'HRAS', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'TLN1', 'PTK2', 'PTPN11', 'NCK2']
124	GO:BP	GO:0051247	positive regulation of protein metabolic process	8.835064775202524e-15	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1401	100	39	15719	0.39	0.0278372591006423	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['NCK1', 'KITLG', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'CTNNB1', 'TGFBR2', 'ITGA5', 'SQSTM1', 'FYN', 'LAT', 'LYN', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'NCK2']
125	GO:BP	GO:0002521	leukocyte differentiation	8.959674185158977e-15	True	"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]"	592	100	27	15719	0.27	0.0456081081081081	query_1	['GO:0030097', 'GO:0030154']	['ITGB1', 'PIK3R2', 'KITLG', 'SRC', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ']
126	GO:BP	GO:0043067	regulation of programmed cell death	9.573893581369328e-15	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	100	39	15719	0.39	0.0277580071174377	query_1	['GO:0010941', 'GO:0012501']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'BCAR1', 'KITLG', 'SRC', 'FGFR2', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'PIK3CD', 'ITGA5', 'SQSTM1', 'DOCK8', 'PRKCI', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'TRAF6', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'CBL', 'NCK2']
127	GO:BP	GO:0051246	regulation of protein metabolic process	1.0168836734846828e-14	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	100	50	15719	0.5	0.0208681135225375	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'USP4', 'TGFBR2', 'PARD6A', 'ITGA5', 'SQSTM1', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2']
38	REAC	REAC:R-HSA-9006936	Signaling by TGFB family members	1.1349790251816701e-14	True	Signaling by TGFB family members	118	96	17	10022	0.1770833333333333	0.1440677966101695	query_1	['REAC:R-HSA-162582']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'TGFBR2', 'PARD6A', 'PARD3', 'SMURF1', 'TGFBR1', 'ITGB6', 'PRKCZ', 'SMAD3', 'CBL', 'F11R']
39	REAC	REAC:R-HSA-202733	Cell surface interactions at the vascular wall	1.1462556038538872e-14	True	Cell surface interactions at the vascular wall	140	96	18	10022	0.1875	0.1285714285714285	query_1	['REAC:R-HSA-109582']	['ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3R2', 'ITGB3', 'PIK3R1', 'SHC1', 'SOS1', 'ITGA5', 'FYN', 'LYN', 'PIK3CA', 'HRAS', 'PLCG1', 'LCK', 'PTPN11', 'F11R']
128	GO:BP	GO:0006955	immune response	1.1689061401845694e-14	True	"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]"	1662	100	42	15719	0.42	0.0252707581227436	query_1	['GO:0002376', 'GO:0050896']	['RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'TGFB3', 'PIK3R1', 'CRK', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL']
129	GO:BP	GO:0022409	positive regulation of cell-cell adhesion	1.3661461697167701e-14	True	"""Any process that activates or increases the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]"	312	100	21	15719	0.21	0.0673076923076923	query_1	['GO:0022407', 'GO:0045785', 'GO:0098609']	['NCK1', 'KITLG', 'SRC', 'SMAD7', 'TGFBR2', 'ABL2', 'DOCK8', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'TRAF6', 'LCK', 'PRKCZ', 'PTPN11', 'NCK2', 'F11R']
40	REAC	REAC:R-HSA-1433557	Signaling by SCF-KIT	1.4174834589937932e-14	True	Signaling by SCF-KIT	39	96	12	10022	0.125	0.3076923076923077	query_1	['REAC:R-HSA-9006934']	['PIK3R2', 'PIK3R1', 'SOS1', 'FYN', 'LYN', 'PIK3CA', 'HRAS', 'VAV1', 'PIK3R3', 'LCK', 'PTPN11', 'CBL']
130	GO:BP	GO:0051249	regulation of lymphocyte activation	1.4613112760493232e-14	True	"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	498	100	25	15719	0.25	0.0502008032128514	query_1	['GO:0002694', 'GO:0046649']	['NCK1', 'KITLG', 'SRC', 'SMAD7', 'CTNNB1', 'SOS1', 'TGFBR2', 'ABL2', 'DOCK8', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'TRAF6', 'LCK', 'PRKCZ', 'PTPN11', 'NCK2']
41	REAC	REAC:R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	1.5767107989239955e-14	True	Regulation of actin dynamics for phagocytic cup formation	66	96	14	10022	0.1458333333333333	0.2121212121212121	query_1	['REAC:R-HSA-2029480']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'WAS', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
131	GO:BP	GO:0002253	activation of immune response	1.9427025285769206e-14	True	"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	454	100	24	15719	0.24	0.052863436123348	query_1	['GO:0002376', 'GO:0050778']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'HRAS', 'VAV1', 'SYK', 'PLCG1', 'TRAF6', 'CRKL', 'PTK2', 'LCK', 'BLNK']
132	GO:BP	GO:0010810	regulation of cell-substrate adhesion	1.9855889137668104e-14	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	100	18	15719	0.18	0.0878048780487804	query_1	['GO:0030155', 'GO:0031589']	['PIK3CB', 'FN1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA5', 'KDR', 'VCL', 'PTK2B', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'PRKCZ', 'SMAD3', 'DOCK5']
133	GO:BP	GO:0006909	phagocytosis	2.2719105227286446e-14	True	"""A vesicle-mediated transport process that results in the engulfment of external particulate material by phagocytes and their delivery to the lysosome. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the particles."" [ISBN:0198506732]"	242	100	19	15719	0.19	0.0785123966942148	query_1	['GO:0006897']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'FYN', 'LYN', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'DOCK2', 'ELMO1', 'ELMO2']
134	GO:BP	GO:0050870	positive regulation of T cell activation	2.2719105227286446e-14	True	"""Any process that activates or increases the frequency, rate or extent of T cell activation."" [GOC:ai]"	242	100	19	15719	0.19	0.0785123966942148	query_1	['GO:0042110', 'GO:0050863', 'GO:0051251', 'GO:1903039']	['NCK1', 'KITLG', 'SRC', 'TGFBR2', 'ABL2', 'DOCK8', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'PIK3CA', 'VAV1', 'SYK', 'TRAF6', 'LCK', 'PRKCZ', 'PTPN11', 'NCK2']
135	GO:BP	GO:0001525	angiogenesis	2.4474934794668724e-14	True	"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."" [ISBN:0878932453]"	510	100	25	15719	0.25	0.0490196078431372	query_1	['GO:0048514', 'GO:0048646']	['RHOJ', 'ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'FGFR2', 'ITGB3', 'HGF', 'SHC1', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SHB', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'TGFBR1', 'PTK2', 'PDGFRA']
136	GO:BP	GO:0007275	multicellular organism development	2.7037791086568776e-14	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4318	100	66	15719	0.66	0.0152848540991199	query_1	['GO:0032501', 'GO:0048856']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'KITLG', 'SRC', 'SPP1', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'FLT3LG', 'HGF', 'SHC1', 'CTNNB1', 'PRAG1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ABL2', 'ITGA2B', 'ITGA5', 'PARD6B', 'FYN', 'PRKCI', 'GORAB', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
137	GO:BP	GO:0006915	apoptotic process	3.0934989744131954e-14	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1799	100	43	15719	0.43	0.0239021678710394	query_1	['GO:0012501']	['ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'BCAR1', 'DOCK1', 'KITLG', 'SRC', 'FGFR2', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'SQSTM1', 'DOCK8', 'PRKCI', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'TRAF6', 'CRKL', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'SMAD3', 'ELMO1', 'CBL', 'NCK2', 'ELMO2']
138	GO:BP	GO:0007265	Ras protein signal transduction	3.715189813949302e-14	True	"""The series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state."" [GOC:bf]"	329	100	21	15719	0.21	0.0638297872340425	query_1	['GO:0007264']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'KITLG', 'SRC', 'CRK', 'PRAG1', 'SOS1', 'ABL2', 'SQSTM1', 'WAS', 'LAT', 'GRB2', 'HRAS', 'CRKL', 'DOCK5', 'ELMO1', 'CBL', 'F11R']
139	GO:BP	GO:0072359	circulatory system development	3.739132327227165e-14	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1083	100	34	15719	0.34	0.0313942751615881	query_1	['GO:0048731']	['RHOJ', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'SMAD7', 'FGFR2', 'ITGB3', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'TGFBR1', 'PTK2', 'SMAD3', 'PTPN11', 'PDGFRA']
42	REAC	REAC:R-HSA-5684996	MAPK1/MAPK3 signaling	4.014321310803743e-14	True	MAPK1/MAPK3 signaling	261	96	22	10022	0.2291666666666666	0.0842911877394636	query_1	['REAC:R-HSA-5683057']	['MET', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'FLT3LG', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'EGFR', 'PIK3CA', 'VCL', 'HRAS', 'ERBB2', 'TLN1', 'PTK2', 'PTPN11', 'PDGFRA']
140	GO:BP	GO:0043412	macromolecule modification	4.3916992271168705e-14	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3600	100	60	15719	0.6	0.0166666666666666	query_1	['GO:0043170']	['MET', 'NCK1', 'PIK3CB', 'KLHDC10', 'SMURF2', 'FN1', 'KITLG', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'CTNNB1', 'PRAG1', 'SOS1', 'USP4', 'TGFBR2', 'PIK3CD', 'PARD6A', 'ABL2', 'ITGA5', 'SQSTM1', 'FYN', 'PRKCI', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'SYK', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PTK2', 'LCK', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
141	GO:BP	GO:0060548	negative regulation of cell death	4.6763908132057226e-14	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	951	100	32	15719	0.32	0.0336487907465825	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'KITLG', 'SRC', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'PYCR1', 'ITGA5', 'DOCK8', 'FYN', 'PRKCI', 'EGFR', 'PIK3CA', 'KDR', 'HRAS', 'ERBB2', 'PTK2B', 'PIK3R3', 'TGFBR1', 'PTK2', 'PRKCZ', 'SMAD3', 'CBL']
142	GO:BP	GO:0050900	leukocyte migration	4.7754019492251294e-14	True	"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]"	378	100	22	15719	0.22	0.0582010582010582	query_1	['GO:0002376', 'GO:0016477']	['ITGB1', 'KITLG', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'WASL', 'SOS1', 'PIK3CD', 'ABL2', 'DOCK8', 'FYN', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'PTK2B', 'CRKL', 'PTK2', 'LCK', 'F11R']
