Waardenburg-Shah syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
19	REAC	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	9.880488143427879e-13	True	Platelet Aggregation (Plug Formation)	38	96	11	10022	0.1145833333333333	0.2894736842105263	query_1	['REAC:R-HSA-76002']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'SYK', 'TLN1', 'PTK2']
135	GO:BP	GO:0010634	positive regulation of epithelial cell migration	1.0519574876296889e-12	True	"""Any process that activates or increases the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	146	104	15	15719	0.1442307692307692	0.1027397260273972	query_1	['GO:0010631', 'GO:0010632', 'GO:0030335']	['MET', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'NRP2', 'PLCG1', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3']
136	GO:BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	1.054387918819042e-12	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]"	177	104	16	15719	0.1538461538461538	0.0903954802259887	query_1	['GO:0001934', 'GO:0018108', 'GO:0050730']	['VEGFB', 'SRC', 'ITGB3', 'HGF', 'PLCG2', 'ITGA5', 'FYN', 'LYN', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'NRP1', 'PTPN11', 'SEMA4D']
137	GO:BP	GO:0044093	positive regulation of molecular function	1.0590071468527758e-12	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	1469	104	38	15719	0.3653846153846153	0.0258679373723621	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'ITGB1', 'EDN2', 'PLXNB1', 'SRC', 'EDNRA', 'ITGB3', 'CRK', 'ITK', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'FYN', 'LAT', 'LYN', 'NEK7', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1']
138	GO:BP	GO:0065009	regulation of molecular function	1.4314851538619882e-12	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2480	104	49	15719	0.4711538461538461	0.019758064516129	query_1	['GO:0065007']	['MET', 'RAPGEF1', 'ITGB1', 'EDN2', 'PLXNB1', 'ITGAV', 'PIK3R2', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'LAT', 'LYN', 'NEK7', 'TGFB1', 'LCP2', 'PLK1', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
20	REAC	REAC:R-HSA-445144	Signal transduction by L1	1.9936069084786185e-12	True	Signal transduction by L1	20	96	9	10022	0.09375	0.45	query_1	['REAC:R-HSA-373760']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'EGFR', 'L1CAM', 'NRP1']
139	GO:BP	GO:0048583	regulation of response to stimulus	2.6343758531739626e-12	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3723	104	60	15719	0.5769230769230769	0.016116035455278	query_1	['GO:0050789', 'GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'EDN2', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'EDN3', 'SOS1', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'NEK6', 'ZAP70', 'SOX10', 'LYN', 'GRB2', 'TNC', 'TGFB1', 'LCP2', 'JAM3', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
140	GO:BP	GO:0097529	myeloid leukocyte migration	5.711181524678621e-12	True	"""The movement of a myeloid leukocyte within or between different tissues and organs of the body."" [GOC:cvs, PMID:22342843, PMID:24157461]"	234	104	17	15719	0.1634615384615384	0.0726495726495726	query_1	['GO:0050900']	['ITGA9', 'EDN2', 'VEGFB', 'PIK3R1', 'EDN3', 'LYN', 'JAM3', 'VAV1', 'SYK', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'PTK2', 'THBS1', 'FLT1', 'PGF']
13	GO:CC	GO:0009986	cell surface	6.688174273597949e-12	True	"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]"	850	104	28	16420	0.2692307692307692	0.0329411764705882	query_1	['GO:0110165']	['MET', 'ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'TGFB3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ITGA4', 'TGFB1', 'EGFR', 'ITGAE', 'FCGR1A', 'VEGFA', 'ECE1', 'TLN1', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'PDGFRA']
141	GO:BP	GO:0018193	peptidyl-amino acid modification	7.577396661348176e-12	True	"""The alteration of an amino acid residue in a peptide."" [GOC:mah]"	1167	104	33	15719	0.3173076923076923	0.0282776349614395	query_1	['GO:0036211']	['MET', 'VEGFB', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TGFBR2', 'ITGA5', 'FYN', 'NEK6', 'ZAP70', 'LYN', 'NEK7', 'TGFB1', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'VTN', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1']
21	REAC	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	8.56190556412098e-12	True	p130Cas linkage to MAPK signaling for integrins	15	96	8	10022	0.0833333333333333	0.5333333333333333	query_1	['REAC:R-HSA-354192']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'ITGA2B', 'TLN1', 'PTK2']
22	REAC	REAC:R-HSA-9006335	Signaling by Erythropoietin	8.65004765153098e-12	True	Signaling by Erythropoietin	23	96	9	10022	0.09375	0.391304347826087	query_1	['REAC:R-HSA-162582']	['RAPGEF1', 'PIK3R1', 'SHC1', 'PLCG2', 'SOS1', 'LYN', 'VAV1', 'PLCG1', 'CRKL']
142	GO:BP	GO:0043549	regulation of kinase activity	9.480206007491368e-12	True	"""Any process that modulates the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:bf]"	697	104	26	15719	0.25	0.0373027259684361	query_1	['GO:0042325', 'GO:0051338']	['MET', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'EDN3', 'SOS1', 'TGFBR2', 'LAT', 'LYN', 'LCP2', 'PLK1', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'PTK2', 'THBS1', 'CBL', 'PDGFRA', 'FLT1']
143	GO:BP	GO:0048015	phosphatidylinositol-mediated signaling	1.1340783138783678e-11	True	"""The series of molecular signals in which a cell uses a phosphatidylinositol-mediated signaling to convert a signal into a response. Phosphatidylinositols include phosphatidylinositol (PtdIns) and its phosphorylated derivatives."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	172	104	15	15719	0.1442307692307692	0.0872093023255814	query_1	['GO:0048017']	['PLXNB1', 'FN1', 'PIK3R2', 'SRC', 'PIK3R1', 'HGF', 'EGFR', 'ERBB2', 'EDN1', 'VEGFA', 'PTK2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
23	REAC	REAC:R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	1.2871944503124584e-11	True	Constitutive Signaling by Aberrant PI3K in Cancer	63	96	12	10022	0.125	0.1904761904761904	query_1	['REAC:R-HSA-2219528']	['MET', 'PIK3R2', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
144	GO:BP	GO:0048017	inositol lipid-mediated signaling	1.579331123011091e-11	True	"""The series of molecular signals in which a cell uses an inositol-containing lipid to convert a signal into a response. Inositol lipids include the phosphoinositides (phosphatidylinositol and its phosphorylated derivatives), ceramides containing inositol, and inositol glycolipids."" [GOC:bf, GOC:ceb, PMID:16088939]"	176	104	15	15719	0.1442307692307692	0.0852272727272727	query_1	['GO:0035556']	['PLXNB1', 'FN1', 'PIK3R2', 'SRC', 'PIK3R1', 'HGF', 'EGFR', 'ERBB2', 'EDN1', 'VEGFA', 'PTK2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
145	GO:BP	GO:0016043	cellular component organization	1.6845335571141123e-11	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6037	104	76	15719	0.7307692307692307	0.0125890342885539	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'KEL', 'ITGB1', 'EDN2', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'EDN3', 'EML3', 'SOS1', 'CLGN', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'NEK6', 'LYN', 'NEK7', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'PLK1', 'JAM3', 'EGFR', 'TFEB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'EML1', 'ERBB2', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'NUDC', 'VEGFA', 'ECE1', 'EML4', 'SH3GL2', 'EML2', 'CRKL', 'VTN', 'TUBB2A', 'TLN1', 'TGFBR1', 'L1CAM', 'PTK2', 'XK', 'NRP1', 'THBS1', 'ADAM15', 'ITGA3', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
146	GO:BP	GO:0032101	regulation of response to external stimulus	1.783624812994936e-11	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	984	104	30	15719	0.2884615384615384	0.0304878048780487	query_1	['GO:0009605', 'GO:0048583']	['MET', 'EDN2', 'VEGFB', 'SRC', 'SPP1', 'CRK', 'HGF', 'PLCG2', 'EDN3', 'TGFBR2', 'FYN', 'LYN', 'TNC', 'JAM3', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PGF']
147	GO:BP	GO:0006950	response to stress	1.8091327339362665e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3764	104	59	15719	0.5673076923076923	0.0156748140276301	query_1	['GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'CLGN', 'TGFBR2', 'ITGA5', 'PXN', 'FYN', 'NEK6', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'TNC', 'TGFB1', 'PLK1', 'JAM3', 'EGFR', 'TFEB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VTN', 'TLN1', 'VCAM1', 'TGFBR1', 'ITGB6', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'PGF']
24	REAC	REAC:R-HSA-2424491	DAP12 signaling	1.95851270757782e-11	True	DAP12 signaling	25	96	9	10022	0.09375	0.36	query_1	['REAC:R-HSA-2172127']	['PIK3R2', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'SYK', 'PLCG1', 'LCK']
148	GO:BP	GO:0045321	leukocyte activation	2.057773618473474e-11	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	920	104	29	15719	0.2788461538461538	0.0315217391304347	query_1	['GO:0001775', 'GO:0002376']	['ITGB1', 'EDN2', 'FN1', 'PIK3R2', 'SRC', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'LYN', 'TGFB1', 'LCP2', 'VAV1', 'SYK', 'ERBB2', 'EDN1', 'SH3KBP1', 'PTK2B', 'VCAM1', 'ITGB6', 'LCK', 'THBS1', 'CBL', 'PTPN11']
149	GO:BP	GO:1901700	response to oxygen-containing compound	2.143060388866341e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1707	104	39	15719	0.375	0.0228471001757469	query_1	['GO:0042221']	['MET', 'RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PXN', 'FYN', 'ITGA4', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TGFB1', 'EGFR', 'EDN1', 'CDH1', 'PTK2B', 'NUDC', 'CRKL', 'EDNRB', 'VCAM1', 'TGFBR1', 'PTK2', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA']
150	GO:BP	GO:1901701	cellular response to oxygen-containing compound	2.5656466025512503e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1222	104	33	15719	0.3173076923076923	0.0270049099836333	query_1	['GO:0070887', 'GO:1901700']	['MET', 'RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TGFB1', 'EGFR', 'EDN1', 'CDH1', 'PTK2B', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'ADAM15', 'PTPN11', 'PDGFRA']
151	GO:BP	GO:0038094	Fc-gamma receptor signaling pathway	2.626805187999633e-11	True	"""The series of molecular signals initiated by the binding of the Fc portion of immunoglobulin G (IgG) to an Fc-gamma receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, PMID:11244038]"	35	104	9	15719	0.0865384615384615	0.2571428571428571	query_1	['GO:0038093']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'LCK']
152	GO:BP	GO:0070887	cellular response to chemical stimulus	2.758935156879803e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2579	104	48	15719	0.4615384615384615	0.0186118650639782	query_1	['GO:0042221', 'GO:0051716']	['MET', 'RAPGEF1', 'ITGA9', 'EDN2', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'EDN3', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TGFB1', 'NRP2', 'JAM3', 'EGFR', 'VAV1', 'SYK', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'NRP1', 'THBS1', 'ADAM15', 'CBL', 'PTPN11', 'PDGFRA', 'FLT1', 'PGF']
153	GO:BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	3.3501636310211155e-11	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of plasma membrane bounded cell projections."" [GOC:krc]"	616	104	24	15719	0.2307692307692307	0.0389610389610389	query_1	['GO:0031344', 'GO:0120036']	['RAPGEF1', 'KEL', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'FYN', 'LYN', 'POU3F2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'TGFBR1', 'L1CAM', 'XK', 'NRP1', 'ITGA3', 'SEMA4D', 'PLXNA1']
154	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	3.350671218218313e-11	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	305	104	18	15719	0.173076923076923	0.0590163934426229	query_1	['GO:0002764', 'GO:0007166']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CRKL', 'PTK2', 'LCK']
155	GO:BP	GO:0045595	regulation of cell differentiation	3.5275861308703806e-11	True	"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]"	1479	104	36	15719	0.3461538461538461	0.024340770791075	query_1	['GO:0030154', 'GO:0050793', 'GO:0050794']	['ITGB1', 'PLXNB1', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'HGF', 'TFE3', 'EDN3', 'SOS1', 'TGFBR2', 'ZAP70', 'SOX10', 'LYN', 'TGFB1', 'EGFR', 'VCL', 'SYK', 'ERBB2', 'POU3F2', 'EDN1', 'CDH1', 'PTK2B', 'VEGFA', 'EDNRB', 'TGFBR1', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
156	GO:BP	GO:0010243	response to organonitrogen compound	3.6039377936739975e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	1014	104	30	15719	0.2884615384615384	0.029585798816568	query_1	['GO:0010033', 'GO:1901698']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'CLGN', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'SYK', 'EDN1', 'CDH1', 'PTK2B', 'NUDC', 'CRKL', 'EDNRB', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
157	GO:BP	GO:0048675	axon extension	3.897751327495688e-11	True	"""Long distance growth of a single axon process involved in cellular development."" [GOC:BHF, GOC:dgh, GOC:dph, GOC:jid, GOC:lm, GOC:rl]"	124	104	13	15719	0.125	0.1048387096774193	query_1	['GO:0007409', 'GO:1990138']	['ITGB1', 'EDN2', 'FN1', 'EDNRA', 'EDN3', 'NRP2', 'VCL', 'EDN1', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D']
25	REAC	REAC:R-HSA-210990	PECAM1 interactions	4.280804717450982e-11	True	PECAM1 interactions	11	96	7	10022	0.0729166666666666	0.6363636363636364	query_1	['REAC:R-HSA-202733']	['ITGAV', 'ITGB3', 'FYN', 'LYN', 'PLCG1', 'LCK', 'PTPN11']
158	GO:BP	GO:0030595	leukocyte chemotaxis	4.3640806952651495e-11	True	"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]"	227	104	16	15719	0.1538461538461538	0.0704845814977973	query_1	['GO:0050900', 'GO:0060326']	['ITGA9', 'EDN2', 'VEGFB', 'EDN3', 'LYN', 'JAM3', 'VAV1', 'SYK', 'EDN1', 'PTK2B', 'VEGFA', 'EDNRB', 'PTK2', 'THBS1', 'FLT1', 'PGF']
26	REAC	REAC:R-HSA-8875878	MET promotes cell motility	4.428578025538157e-11	True	MET promotes cell motility	39	96	10	10022	0.1041666666666666	0.2564102564102564	query_1	['REAC:R-HSA-6806834']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'CRK', 'HGF', 'CRKL', 'PTK2', 'ITGA3']
159	GO:BP	GO:0070371	ERK1 and ERK2 cascade	4.5109515494431286e-11	True	"""An intracellular protein kinase cascade containing at least ERK1 or ERK2 (MAPKs), a MEK (a MAPKK) and a MAP3K. The cascade may involve 4 different kinases, as it can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:add, GOC:signaling, ISBN:0121245462, ISBN:0896039986, PMID:20811974, PMID:28903453]"	311	104	18	15719	0.173076923076923	0.0578778135048231	query_1	['GO:0000165']	['RAPGEF1', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'SHC1', 'LYN', 'EGFR', 'SYK', 'ERBB2', 'EDN1', 'PTK2B', 'VEGFA', 'CRKL', 'NRP1', 'PTPN11', 'PDGFRA']
160	GO:BP	GO:1901653	cellular response to peptide	4.950442303322157e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	359	104	19	15719	0.1826923076923076	0.0529247910863509	query_1	['GO:0071417', 'GO:1901652', 'GO:1901701']	['PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EDN1', 'VCAM1', 'PTK2', 'PTPN11']
161	GO:BP	GO:0071417	cellular response to organonitrogen compound	4.969228123796039e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	629	104	24	15719	0.2307692307692307	0.0381558028616852	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'EDNRA', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'EDN1', 'CDH1', 'CRKL', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
162	GO:BP	GO:0050794	regulation of cellular process	5.06792172741065e-11	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	9803	104	96	15719	0.9230769230769232	0.0097929205345302	query_1	['GO:0009987', 'GO:0050789']	['MET', 'RAPGEF1', 'KEL', 'ITGB1', 'ITGA9', 'EDN2', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'CD2AP', 'SRC', 'SPP1', 'EDNRA', 'ITGB3', 'TGFB3', 'PIK3R1', 'MITF', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFE3', 'EDN3', 'EML3', 'SOS1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'ITGA4', 'NEK6', 'LAT', 'ZAP70', 'ADAM19', 'MADCAM1', 'SOX10', 'LYN', 'NEK7', 'GRB2', 'TNC', 'TGFB1', 'NRP2', 'LCP2', 'PLK1', 'JAM3', 'EGFR', 'TFEB', 'ITGAE', 'POU3F1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'POU3F2', 'EDN1', 'SH3KBP1', 'CDH1', 'PTK2B', 'VEGFA', 'ECE1', 'SH3GL2', 'ADAM12', 'EML2', 'CRKL', 'EDNRB', 'VTN', 'ECE2', 'TLN1', 'VCAM1', 'TGFBR1', 'L1CAM', 'ITGB6', 'PTK2', 'XK', 'NRP1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'CBL', 'JAM2', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
163	GO:BP	GO:0031344	regulation of cell projection organization	5.077246138251402e-11	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]"	630	104	24	15719	0.2307692307692307	0.0380952380952381	query_1	['GO:0030030', 'GO:0051128']	['RAPGEF1', 'KEL', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'FYN', 'LYN', 'POU3F2', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'TGFBR1', 'L1CAM', 'XK', 'NRP1', 'ITGA3', 'SEMA4D', 'PLXNA1']
164	GO:BP	GO:0045766	positive regulation of angiogenesis	5.4646033174245775e-11	True	"""Any process that activates or increases angiogenesis."" [GOC:go_curators]"	159	104	14	15719	0.1346153846153846	0.0880503144654088	query_1	['GO:0001525', 'GO:0045765', 'GO:1904018']	['ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'TGFBR2', 'ITGA5', 'PLCG1', 'PTK2B', 'VEGFA', 'ADAM12', 'NRP1', 'THBS1', 'FLT1', 'PGF']
