Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
150	GO:BP	GO:0009617	response to bacterium	3.1016306953372584e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]"	786	101	33	21110	0.3267326732673267	0.0419847328244274	query_1	['GO:0051707']	['PTPN22', 'SHARPIN', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'OPTN', 'IRAK3', 'TNFRSF1A', 'TAB2', 'RELA', 'FKBP5', 'FASLG', 'TLR4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'TRAF6', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
151	GO:BP	GO:0051246	regulation of protein metabolic process	4.2333089949088273e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2496	101	52	21110	0.5148514851485149	0.0208333333333333	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['CUL3', 'PTPN22', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'UBE2V1', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'RBX1', 'TLR4', 'SPOP', 'BTRC', 'TBK1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'PELI1', 'RIPK1', 'SKP1', 'CFLAR', 'TNFSF14', 'IRAK1', 'MALT1', 'TNIP1', 'HSP90AA1', 'FBXW11', 'SNX33', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'FBXW7', 'BCL10', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
152	GO:BP	GO:0002753	cytosolic pattern recognition receptor signaling pathway	5.295845117739546e-19	True	"""The series of molecular signals initiated by the binding of a ligand from another organism to a cytosolic pattern recognition receptor (PRR). PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967, PMID:17328678, PMID:18272355, PMID:19531363, PMID:21187438]"	97	101	17	21110	0.1683168316831683	0.1752577319587628	query_1	['GO:0002221', 'GO:0030522']	['PTPN22', 'HSPA1A', 'MYD88', 'RELA', 'TLR4', 'IRAK4', 'TNF', 'IRF7', 'TNIP2', 'PELI1', 'IRAK1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TNFAIP3']
153	GO:CC	GO:0005737	cytoplasm	6.761863776714145e-19	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	12365	101	98	22122	0.9702970297029704	0.0079255964415689	query_1	['GO:0005622', 'GO:0110165']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'RAB8A', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'HSPH1', 'TNFRSF1A', 'TAB2', 'RAB8B', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'SPOP', 'AZI2', 'BTRC', 'TBK1', 'SKAP2', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'DNAJA4', 'XPNPEP3', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TBC1D17', 'HSPA8', 'TAB3', 'TICAM1', 'CUL1', 'PTGES3', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'LIPF', 'UBE2N', 'TNFAIP3', 'CDC37']
154	GO:BP	GO:0060255	regulation of macromolecule metabolic process	7.370690513798452e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	6816	101	80	21110	0.7920792079207921	0.0117370892018779	query_1	['GO:0019222', 'GO:0043170']	['CUL3', 'PTPN22', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'HSPH1', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'RBCK1', 'SPOP', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'SKP1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'DNAJA4', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TICAM1', 'PTGES3', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
155	GO:MF	GO:0032813	tumor necrosis factor receptor superfamily binding	9.356377695187805e-19	True	"""Binding to a member of the tumor necrosis factor receptor superfamily."" [GOC:add]"	49	101	14	20195	0.1386138613861386	0.2857142857142857	query_1	['GO:0005126']	['MYD88', 'TRAF3', 'FASLG', 'TNF', 'FADD', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'LTB', 'TRAF2', 'TRAF6', 'CASP8']
156	GO:BP	GO:0034612	response to tumor necrosis factor	1.105913471954325e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]"	247	101	22	21110	0.2178217821782178	0.0890688259109311	query_1	['GO:0034097']	['SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'TRAF3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'FAS', 'NFKB1', 'RIPK1', 'TRADD', 'BIRC3', 'TRAF2', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CD14', 'TNFAIP3']
157	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	2.0492680477991412e-18	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	254	101	22	21110	0.2178217821782178	0.0866141732283464	query_1	['GO:0031399', 'GO:0070647']	['CUL3', 'PTPN22', 'TANK', 'HSPA1A', 'UBE2V1', 'HSP90AB1', 'RELA', 'RBX1', 'BTRC', 'PELI1', 'SKP1', 'MALT1', 'TNIP1', 'HSP90AA1', 'BIRC3', 'TRAF6', 'BIRC2', 'TICAM1', 'FBXW7', 'BCL10', 'UBE2N', 'TNFAIP3']
158	GO:BP	GO:0001819	positive regulation of cytokine production	2.6380716270015913e-18	True	"""Any process that activates or increases the frequency, rate or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	481	101	27	21110	0.2673267326732673	0.0561330561330561	query_1	['GO:0001816', 'GO:0001817', 'GO:0010628', 'GO:0051240']	['PTPN22', 'CARD11', 'HSPA1A', 'MYD88', 'IRAK3', 'CHUK', 'RELA', 'TLR4', 'TBK1', 'TNF', 'FADD', 'IRF7', 'PELI1', 'LTA', 'RIPK1', 'IRAK1', 'MALT1', 'LTB', 'TICAM2', 'HSP90AA1', 'TRAF2', 'MAP3K7', 'TRAF6', 'CASP8', 'TICAM1', 'BCL10', 'CD14']
159	REAC	REAC:R-HSA-1169091	Activation of NF-kappaB in B cells	3.1897998479831253e-18	True	Activation of NF-kappaB in B cells	67	96	17	10790	0.1770833333333333	0.2537313432835821	query_1	['REAC:R-HSA-1168372']	['CARD11', 'NFKBIE', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'REL', 'NFKBIA', 'CUL1', 'BCL10']
160	GO:BP	GO:0071356	cellular response to tumor necrosis factor	3.922167984392319e-18	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]"	225	101	21	21110	0.2079207920792079	0.0933333333333333	query_1	['GO:0034612', 'GO:0071345']	['SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'TRAF3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TNF', 'FAS', 'NFKB1', 'RIPK1', 'TRADD', 'BIRC3', 'TRAF2', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TNFAIP3']
161	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	4.107106046649712e-18	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5662	101	73	21110	0.7227722772277227	0.0128929706817379	query_1	['GO:0006807', 'GO:0019222']	['CUL3', 'PTPN22', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'RBCK1', 'SPOP', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TICAM1', 'PTGES3', 'FBXW7', 'BCL10', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
162	KEGG	KEGG:05130	Pathogenic Escherichia coli infection	4.3926085942831945e-18	True	Pathogenic Escherichia coli infection	196	93	25	8161	0.2688172043010752	0.1275510204081632	query_1	['KEGG:00000']	['MYD88', 'NFKBIB', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'TLR4', 'IRAK4', 'TNF', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'TRADD', 'IRAK1', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3']
163	KEGG	KEGG:05160	Hepatitis C	6.8432248136017955e-18	True	Hepatitis C	157	93	23	8161	0.2473118279569892	0.1464968152866242	query_1	['KEGG:00000']	['GSK3B', 'TRAF3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TBK1', 'TNF', 'FAS', 'FADD', 'IRF7', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'TRAF2', 'TRAF6', 'NFKBIA', 'CASP8', 'TICAM1']
164	REAC	REAC:R-HSA-140534	Caspase activation via Death Receptors in the presence of ligand	8.837869178930296e-18	True	Caspase activation via Death Receptors in the presence of ligand	15	96	11	10790	0.1145833333333333	0.7333333333333333	query_1	['REAC:R-HSA-5357769']	['FASLG', 'TLR4', 'FAS', 'FADD', 'RIPK1', 'TRADD', 'TICAM2', 'TRAF2', 'CASP8', 'TICAM1', 'CD14']
165	REAC	REAC:R-HSA-202403	TCR signaling	1.0767313033154292e-17	True	TCR signaling	122	96	20	10790	0.2083333333333333	0.1639344262295081	query_1	['REAC:R-HSA-1280218']	['PTPN22', 'CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'FYB1', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CUL1', 'BCL10', 'UBE2N']
166	WP	WP:WP4496	Signal transduction through IL1R	1.0994305720009736e-17	True	Signal transduction through IL1R	33	88	14	8133	0.1590909090909091	0.4242424242424242	query_1	['WP:000000']	['MYD88', 'MAP3K14', 'IRAK3', 'CHUK', 'RELA', 'IKBKB', 'TNF', 'IRAK2', 'NFKB1', 'IRAK1', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA']
167	REAC	REAC:R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	1.4476946467158602e-17	True	ZBP1(DAI) mediated induction of type I IFNs	21	96	12	10790	0.125	0.5714285714285714	query_1	['REAC:R-HSA-1834949']	['MYD88', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'TBK1', 'NFKB1', 'RIPK1', 'NFKB2', 'IKBKG', 'NFKBIA', 'TICAM1']
168	GO:BP	GO:0080090	regulation of primary metabolic process	2.781404621687186e-17	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5836	101	73	21110	0.7227722772277227	0.0125085675119945	query_1	['GO:0019222', 'GO:0044238']	['CUL3', 'PTPN22', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'RBCK1', 'SPOP', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TICAM1', 'PTGES3', 'FBXW7', 'BCL10', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
169	GO:BP	GO:0071216	cellular response to biotic stimulus	3.0519018530195093e-17	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:mah]"	248	101	21	21110	0.2079207920792079	0.0846774193548387	query_1	['GO:0009607', 'GO:0051716']	['PTPN22', 'GSK3B', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'RELA', 'TLR4', 'TNF', 'IRAK2', 'NFKB1', 'TNIP2', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'TRAF6', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
170	GO:BP	GO:0071222	cellular response to lipopolysaccharide	3.1240025660407737e-17	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."" [GOC:mah]"	212	101	20	21110	0.198019801980198	0.0943396226415094	query_1	['GO:0032496', 'GO:0071219', 'GO:0071396', 'GO:1901701']	['PTPN22', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'RELA', 'TLR4', 'TNF', 'IRAK2', 'NFKB1', 'TNIP2', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'TRAF6', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
171	GO:CC	GO:0140535	intracellular protein-containing complex	3.2400707326272937e-17	True	"""A protein-containing complex located intracellularly."" [GOC:pg]"	943	101	32	22122	0.3168316831683168	0.0339342523860021	query_1	['GO:0032991']	['CUL3', 'SHARPIN', 'CARD11', 'STIP1', 'GSK3B', 'CREBBP', 'UBE2V1', 'TRAF3', 'HSP90AB1', 'RBX1', 'RBCK1', 'SPOP', 'BTRC', 'RNF31', 'NFKB1', 'SKP1', 'MALT1', 'NFKB2', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'CAND1', 'NFKBIA', 'HSPA8', 'CUL1', 'PTGES3', 'FBXW7', 'BCL10', 'CUL4A', 'UBE2N', 'CDC37']
172	KEGG	KEGG:05164	Influenza A	3.327503883642722e-17	True	Influenza A	168	93	23	8161	0.2473118279569892	0.1369047619047619	query_1	['KEGG:00000']	['CREBBP', 'MYD88', 'NFKBIB', 'TRAF3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'FAS', 'FADD', 'IRF7', 'NFKB1', 'TRADD', 'IKBKG', 'NFKBIA', 'CASP8', 'TICAM1']
173	GO:BP	GO:0097300	programmed necrotic cell death	6.004622204150037e-17	True	"""A necrotic cell death process that results from the activation of endogenous cellular processes, such as signaling involving death domain receptors or Toll-like receptors."" [GOC:mtg_apoptosis, PMID:21760595]"	46	101	13	21110	0.1287128712871287	0.2826086956521739	query_1	['GO:0012501', 'GO:0070265']	['FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'PELI1', 'RIPK1', 'CFLAR', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8']
174	GO:BP	GO:0071219	cellular response to molecule of bacterial origin	7.215810955027541e-17	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."" [GOC:mah]"	221	101	20	21110	0.198019801980198	0.090497737556561	query_1	['GO:0002237', 'GO:0071216']	['PTPN22', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'RELA', 'TLR4', 'TNF', 'IRAK2', 'NFKB1', 'TNIP2', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'TRAF6', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
175	REAC	REAC:R-HSA-5260271	Diseases of Immune System	7.424560100366311e-17	True	Diseases of Immune System	31	96	13	10790	0.1354166666666666	0.4193548387096774	query_1	['REAC:R-HSA-1643685']	['MYD88', 'TRAF3', 'CHUK', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'NFKB1', 'NFKB2', 'IKBKG', 'NFKBIA', 'TICAM1', 'CD14']
176	REAC	REAC:R-HSA-5602358	Diseases associated with the TLR signaling cascade	7.424560100366311e-17	True	Diseases associated with the TLR signaling cascade	31	96	13	10790	0.1354166666666666	0.4193548387096774	query_1	['REAC:R-HSA-5260271']	['MYD88', 'TRAF3', 'CHUK', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'NFKB1', 'NFKB2', 'IKBKG', 'NFKBIA', 'TICAM1', 'CD14']
177	REAC	REAC:R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	7.897557245192515e-17	True	RIP-mediated NFkB activation via ZBP1	17	96	11	10790	0.1145833333333333	0.6470588235294118	query_1	['REAC:R-HSA-1606322']	['MYD88', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'RIPK1', 'NFKB2', 'IKBKG', 'NFKBIA', 'TICAM1']
178	REAC	REAC:R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	8.769944792093183e-17	True	Downstream signaling events of B Cell Receptor (BCR)	80	96	17	10790	0.1770833333333333	0.2125	query_1	['REAC:R-HSA-983705']	['CARD11', 'NFKBIE', 'NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'REL', 'NFKBIA', 'CUL1', 'BCL10']
179	REAC	REAC:R-HSA-2871837	FCERI mediated NF-kB activation	1.0278662230993556e-16	True	FCERI mediated NF-kB activation	136	96	20	10790	0.2083333333333333	0.1470588235294117	query_1	['REAC:R-HSA-2454202']	['CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA', 'TAB3', 'CUL1', 'BCL10', 'UBE2N']
180	KEGG	KEGG:05135	Yersinia infection	1.0929652234046535e-16	True	Yersinia infection	136	93	21	8161	0.2258064516129032	0.1544117647058823	query_1	['KEGG:00000']	['GSK3B', 'MYD88', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'FYB1', 'IRAK4', 'TBK1', 'SKAP2', 'TNF', 'NFKB1', 'IRAK1', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'TICAM1']
181	KEGG	KEGG:05142	Chagas disease	1.165911436758819e-16	True	Chagas disease	101	93	19	8161	0.2043010752688172	0.1881188118811881	query_1	['KEGG:00000']	['MYD88', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'FASLG', 'TLR4', 'IRAK4', 'TNF', 'FAS', 'FADD', 'NFKB1', 'CFLAR', 'IRAK1', 'IKBKG', 'TRAF6', 'NFKBIA', 'CASP8', 'TICAM1']
182	GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	1.3421995109820691e-16	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	352	101	23	21110	0.2277227722772277	0.065340909090909	query_1	['GO:0002757', 'GO:0002768']	['PTPN22', 'CARD11', 'CREBBP', 'RELA', 'IKBKB', 'TLR4', 'FYB1', 'RBCK1', 'RNF31', 'NFKB1', 'TNIP2', 'PELI1', 'IRAK1', 'MALT1', 'TICAM2', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
183	GO:BP	GO:0060759	regulation of response to cytokine stimulus	1.706058691178963e-16	True	"""Any process that modulates the rate, frequency, or extent of a response to cytokine stimulus."" [GOC:BHF, GOC:dph, GOC:tb]"	163	101	18	21110	0.1782178217821782	0.1104294478527607	query_1	['GO:0034097', 'GO:0048583']	['SHARPIN', 'HSPA1A', 'IRAK3', 'TNFRSF1A', 'IKBKB', 'IKBKE', 'TLR4', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'RIPK1', 'IRAK1', 'TICAM2', 'TRAF2', 'CASP8', 'TNFAIP3', 'CDC37']
184	REAC	REAC:R-HSA-202424	Downstream TCR signaling	1.7108860291759031e-16	True	Downstream TCR signaling	100	96	18	10790	0.1875	0.18	query_1	['REAC:R-HSA-202403']	['CARD11', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CUL1', 'BCL10', 'UBE2N']
185	GO:BP	GO:0010941	regulation of cell death	1.7424483126762196e-16	True	"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	1648	101	41	21110	0.4059405940594059	0.024878640776699	query_1	['GO:0008219', 'GO:0050794']	['CARD11', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'HSP90AB1', 'TNFRSF1A', 'RELA', 'FASLG', 'TLR4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'MALT1', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'LTBR', 'TRAF6', 'BIRC2', 'CASP8', 'FBXW7', 'BCL10', 'TNFAIP3']
186	REAC	REAC:R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	2.0806621757300147e-16	True	SARS-CoV-2 activates/modulates innate and adaptive immune responses	120	96	19	10790	0.1979166666666666	0.1583333333333333	query_1	['REAC:R-HSA-9705683']	['CREBBP', 'UBE2V1', 'TRAF3', 'HSP90AB1', 'CHUK', 'TAB2', 'IKBKB', 'IKBKE', 'TBK1', 'IRAK2', 'IRF7', 'IRAK1', 'HSP90AA1', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'TAB3', 'UBE2N']
187	GO:BP	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	4.2047022205800495e-16	True	"""Any process that activates or increases the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	141	101	17	21110	0.1683168316831683	0.1205673758865248	query_1	['GO:0031401', 'GO:0070647', 'GO:1903320']	['CUL3', 'PTPN22', 'TANK', 'UBE2V1', 'RBX1', 'BTRC', 'PELI1', 'SKP1', 'MALT1', 'TNIP1', 'BIRC3', 'TRAF6', 'BIRC2', 'TICAM1', 'FBXW7', 'BCL10', 'UBE2N']
188	GO:BP	GO:0070266	necroptotic process	5.595993585468846e-16	True	"""A programmed necrotic cell death process which begins when a cell receives a signal (e.g. a ligand binding to a death receptor or to a Toll-like receptor), and proceeds through a series of biochemical events (signaling pathways), characterized by activation of receptor-interacting serine/threonine-protein kinase 1 and/or 3 (RIPK1/3, also called RIP1/3) and by critical dependence on mixed lineage kinase domain-like (MLKL), and which typically lead to common morphological features of necrotic cell death. The process ends when the cell has died. The process is divided into a signaling phase, and an execution phase, which is triggered by the former."" [GOC:BHF, GOC:dph, GOC:mah, GOC:mtg_apoptosis, GOC:tb, PMID:18846107, PMID:20823910, PMID:21737330, PMID:21760595, PMID:21876153]"	39	101	12	21110	0.1188118811881188	0.3076923076923077	query_1	['GO:0097300']	['FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'PELI1', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8']
