Seckel syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
26	REAC	REAC:R-HSA-5358508	Mismatch Repair	1.1996913910053279e-29	True	Mismatch Repair	15	104	15	10022	0.1442307692307692	1.0	query_1	['REAC:R-HSA-73894']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2', 'MSH6']
28	GO:BP	GO:0010948	negative regulation of cell cycle process	3.99246548310033e-29	True	"""Any process that decreases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	298	108	33	15719	0.3055555555555556	0.110738255033557	query_1	['GO:0010564', 'GO:0022402', 'GO:0045786']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'UIMC1', 'H2AX', 'RPA2', 'MDC1', 'PLK2', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'CEP63', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'NPM1', 'TP53', 'ABRAXAS1']
12	GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	4.074098309494585e-29	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5013	109	91	16420	0.8348623853211009	0.0181528027129463	query_1	['GO:0043228', 'GO:0043229']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'HLTF', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'PLK4', 'CENPJ', 'CEP152', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'TRAIP', 'PLK2', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'CENPE', 'SUMO1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CEP63', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'PCNT', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
13	GO:CC	GO:0043228	non-membrane-bounded organelle	4.074098309494585e-29	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5014	109	91	16420	0.8348623853211009	0.0181491822895891	query_1	['GO:0043226']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'HLTF', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'PLK4', 'CENPJ', 'CEP152', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'TRAIP', 'PLK2', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'CENPE', 'SUMO1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CEP63', 'APEX1', 'PRIM2', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'PCNT', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
27	REAC	REAC:R-HSA-3700989	Transcriptional Regulation by TP53	6.098575831451981e-29	True	Transcriptional Regulation by TP53	357	104	39	10022	0.375	0.1092436974789916	query_1	['REAC:R-HSA-212436']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'RAD51D', 'HDAC1', 'MLH1', 'CENPJ', 'RPA2', 'MDC1', 'PLK2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'RMI1', 'TP53']
29	GO:BP	GO:0000723	telomere maintenance	7.564535030252666e-29	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences."" [GOC:BHF, GOC:BHF_telomere, GOC:elh, GOC:rl, PMID:11092831]"	156	108	27	15719	0.25	0.173076923076923	query_1	['GO:0006259', 'GO:0032200']	['HUS1', 'NBN', 'RAD50', 'XRCC6', 'RAD51D', 'FEN1', 'RPA2', 'BRCA2', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'WRN', 'PNKP']
30	GO:BP	GO:0071478	cellular response to radiation	1.4556277048816266e-28	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:mah]"	181	108	28	15719	0.2592592592592592	0.154696132596685	query_1	['GO:0009314', 'GO:0071214']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'NPM1', 'TP53', 'KDM1A']
14	GO:CC	GO:0090734	site of DNA damage	5.555043050909738e-28	True	"""A region of a chromosome at which DNA damage has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix."" [GOC:pg]"	104	109	23	16420	0.2110091743119266	0.2211538461538461	query_1	['GO:0005694', 'GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'TP53BP1', 'RAD50', 'APLF', 'H2AX', 'RPA2', 'TRAIP', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'MRE11', 'RAD51', 'HUS1B', 'XRCC1', 'TP53', 'PNKP', 'RNF8']
31	GO:BP	GO:0051276	chromosome organization	5.707317057970413e-28	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	620	108	41	15719	0.3796296296296296	0.0661290322580645	query_1	['GO:0006996']	['HUS1', 'BRIP1', 'XPA', 'NBN', 'MSH2', 'RAD50', 'XRCC6', 'RAD51D', 'LIG4', 'MLH1', 'FEN1', 'RPA2', 'MSH3', 'BRCA2', 'PCNA', 'ATR', 'RPA3', 'CENPE', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'RMI2', 'TP53', 'ABRAXAS1', 'PNKP']
32	GO:BP	GO:0010564	regulation of cell cycle process	5.707317057970413e-28	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	710	108	43	15719	0.3981481481481481	0.0605633802816901	query_1	['GO:0022402', 'GO:0051726']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'UIMC1', 'RAD51AP1', 'PAXIP1', 'FEN1', 'PLK4', 'CENPJ', 'H2AX', 'RPA2', 'MDC1', 'PLK2', 'BRCA2', 'RAD1', 'ATR', 'CENPE', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'CEP63', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'RMI2', 'NPM1', 'TP53', 'ABRAXAS1']
28	REAC	REAC:R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	8.845901809138735e-28	True	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	25	104	17	10022	0.1634615384615384	0.68	query_1	['REAC:R-HSA-73933']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'POLD1', 'POLB', 'POLE2', 'POLE', 'POLD2']
29	REAC	REAC:R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	1.1619204620498111e-27	True	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	14	104	14	10022	0.1346153846153846	1.0	query_1	['REAC:R-HSA-5358508']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2', 'MSH6']
30	REAC	REAC:R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	1.1619204620498111e-27	True	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	14	104	14	10022	0.1346153846153846	1.0	query_1	['REAC:R-HSA-5358508']	['MSH2', 'POLD3', 'MLH1', 'POLD4', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'POLD1', 'POLD2']
33	GO:BP	GO:0051054	positive regulation of DNA metabolic process	1.3155075773709503e-27	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	302	108	32	15719	0.2962962962962963	0.1059602649006622	query_1	['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'UIMC1', 'RAD51AP1', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'ABRAXAS1', 'PNKP', 'RNF8']
34	GO:BP	GO:0044770	cell cycle phase transition	1.357162161823288e-27	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	550	108	39	15719	0.3611111111111111	0.0709090909090909	query_1	['GO:0022402']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'UIMC1', 'PAXIP1', 'CENPJ', 'H2AX', 'RPA2', 'MDC1', 'PLK2', 'BRCA2', 'RAD1', 'ATR', 'CENPE', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'CEP63', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'NPM1', 'TP53', 'ABRAXAS1', 'POLE']
31	REAC	REAC:R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	1.7573619516753083e-27	True	PCNA-Dependent Long Patch Base Excision Repair	21	104	16	10022	0.1538461538461538	0.7619047619047619	query_1	['REAC:R-HSA-110373']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'APEX1', 'POLD1', 'POLB', 'POLE2', 'POLE', 'POLD2']
35	GO:BP	GO:0032200	telomere organization	1.0627041697978464e-26	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	187	108	27	15719	0.25	0.1443850267379679	query_1	['GO:0051276']	['HUS1', 'NBN', 'RAD50', 'XRCC6', 'RAD51D', 'FEN1', 'RPA2', 'BRCA2', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'WRN', 'PNKP']
36	GO:BP	GO:0009628	response to abiotic stimulus	1.0627041697978464e-26	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	108	49	15719	0.4537037037037037	0.0451197053406998	query_1	['GO:0050896']	['HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'UIMC1', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'OGG1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'SUMO1', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NPM1', 'TP53', 'ABRAXAS1', 'PNKP', 'KDM1A', 'RNF8', 'MSH6']
32	REAC	REAC:R-HSA-69183	Processive synthesis on the lagging strand	1.6235096405913943e-26	True	Processive synthesis on the lagging strand	15	104	14	10022	0.1346153846153846	0.9333333333333332	query_1	['REAC:R-HSA-69186']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
33	REAC	REAC:R-HSA-5633007	Regulation of TP53 Activity	4.330282537300129e-26	True	Regulation of TP53 Activity	160	104	28	10022	0.2692307692307692	0.175	query_1	['REAC:R-HSA-3700989']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'RAD50', 'HDAC1', 'RPA2', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
34	REAC	REAC:R-HSA-69620	Cell Cycle Checkpoints	4.6186514890550087e-26	True	Cell Cycle Checkpoints	289	104	34	10022	0.3269230769230769	0.1176470588235294	query_1	['REAC:R-HSA-1640170']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'UIMC1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'ATR', 'RPA3', 'CENPE', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'NUP85', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'ABRAXAS1', 'RNF8']
37	GO:BP	GO:0045786	negative regulation of cell cycle	6.704975622181995e-26	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	376	108	33	15719	0.3055555555555556	0.0877659574468085	query_1	['GO:0007049', 'GO:0048523', 'GO:0051726']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'UIMC1', 'H2AX', 'RPA2', 'MDC1', 'PLK2', 'BRCA2', 'RAD1', 'ATR', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'CEP63', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'NPM1', 'TP53', 'ABRAXAS1']
35	REAC	REAC:R-HSA-73884	Base Excision Repair	1.3374755081101352e-25	True	Base Excision Repair	88	104	23	10022	0.2211538461538461	0.2613636363636363	query_1	['REAC:R-HSA-73894']	['POLD3', 'LIG3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'OGG1', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'POLE2', 'PNKP', 'NEIL1', 'POLE', 'POLD2']
38	GO:BP	GO:0071479	cellular response to ionizing radiation	3.5314163134245994e-25	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]"	75	108	20	15719	0.1851851851851851	0.2666666666666666	query_1	['GO:0010212', 'GO:0071478']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'ATR', 'XRCC5', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'BARD1', 'WRN', 'TP53', 'KDM1A']
36	REAC	REAC:R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	4.714685917407648e-25	True	Nonhomologous End-Joining (NHEJ)	68	104	21	10022	0.2019230769230769	0.3088235294117647	query_1	['REAC:R-HSA-5693532']	['NBN', 'TP53BP1', 'RAD50', 'UIMC1', 'XRCC6', 'PAXIP1', 'LIG4', 'TDP1', 'H2AX', 'MDC1', 'XRCC4', 'XRCC5', 'NHEJ1', 'ATM', 'MRE11', 'BRCA1', 'PRKDC', 'KAT5', 'BARD1', 'ABRAXAS1', 'RNF8']
37	REAC	REAC:R-HSA-69166	Removal of the Flap Intermediate	1.4472707222429584e-24	True	Removal of the Flap Intermediate	14	104	13	10022	0.125	0.9285714285714286	query_1	['REAC:R-HSA-69183']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
38	REAC	REAC:R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	1.6519146870472315e-24	True	Global Genome Nucleotide Excision Repair (GG-NER)	84	104	22	10022	0.2115384615384615	0.2619047619047619	query_1	['REAC:R-HSA-5696398']	['UBE2I', 'XPA', 'POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'SUMO1', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'SUMO2', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
15	GO:CC	GO:0030894	replisome	1.7889442226393112e-24	True	"""A multi-component enzymatic machine at the replication fork which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:mah, GOC:vw]"	23	109	14	16420	0.128440366972477	0.6086956521739131	query_1	['GO:0005657', 'GO:0032993']	['RPA4', 'XPA', 'POLD3', 'POLD4', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
39	GO:BP	GO:0006284	base-excision repair	1.808988235053527e-24	True	"""In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."" [ISBN:0815316194]"	44	108	17	15719	0.1574074074074074	0.3863636363636363	query_1	['GO:0006281']	['XPA', 'LIG3', 'FEN1', 'RPA2', 'OGG1', 'LIG1', 'PCNA', 'RPA3', 'RPA1', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'WRN', 'PNKP', 'NEIL1', 'POLE']
40	GO:BP	GO:0006289	nucleotide-excision repair	2.5009789243122793e-24	True	"""A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts)."" [PMID:10197977]"	82	108	20	15719	0.1851851851851851	0.2439024390243902	query_1	['GO:0006281']	['HUS1', 'RPA4', 'BRIP1', 'XPA', 'POLD3', 'RAD52', 'LIG4', 'RPA2', 'OGG1', 'BRCA2', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'HUS1B', 'KAT5', 'POLD1', 'TP53', 'PNKP', 'POLE']
16	GO:CC	GO:0035861	site of double-strand break	2.709683621959412e-24	True	"""A region of a chromosome at which a DNA double-strand break has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix."" [GOC:bf, GOC:mah, GOC:vw, PMID:20096808, PMID:21035408]"	75	109	19	16420	0.1743119266055046	0.2533333333333333	query_1	['GO:0090734']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'TP53BP1', 'RAD50', 'APLF', 'H2AX', 'RPA2', 'RPA3', 'PARP1', 'XRCC4', 'NHEJ1', 'MRE11', 'RAD51', 'HUS1B', 'TP53', 'PNKP', 'RNF8']
41	GO:BP	GO:0051716	cellular response to stimulus	2.2992862919406906e-23	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6649	108	97	15719	0.8981481481481481	0.0145886599488644	query_1	['GO:0009987', 'GO:0050896']	['RBBP8', 'UBE2I', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'UIMC1', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'HDAC1', 'APLF', 'MLH1', 'FEN1', 'CENPJ', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'TRAIP', 'OGG1', 'LIG1', 'PLK2', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'SUMO1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ATRIP', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CEP63', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'NUP85', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'PCNT', 'TP53', 'ABRAXAS1', 'PHLPP2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'MSH6']
39	REAC	REAC:R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	2.4343522920868202e-23	True	Gap-filling DNA repair synthesis and ligation in GG-NER	25	104	15	10022	0.1442307692307692	0.6	query_1	['REAC:R-HSA-5696399']	['POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
17	GO:CC	GO:0042575	DNA polymerase complex	2.605635319624505e-23	True	"""A protein complex that possesses DNA polymerase activity and is involved in template directed synthesis of DNA."" [GOC:jl, PMID:12045093]"	20	109	13	16420	0.1192660550458715	0.65	query_1	['GO:0061695', 'GO:0140535']	['POLD3', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'CHRAC1', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
42	GO:BP	GO:0071897	DNA biosynthetic process	2.9038683138041264e-23	True	"""The biosynthetic process resulting in the formation of DNA."" [GOC:mah]"	196	108	25	15719	0.2314814814814814	0.1275510204081632	query_1	['GO:0006259', 'GO:0009059', 'GO:0034654']	['USP1', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'POLD4', 'LIG1', 'POLE4', 'POLA1', 'PCNA', 'ATR', 'XRCC5', 'RPA1', 'ATM', 'POLE3', 'MRE11', 'CHRAC1', 'POLD1', 'POLB', 'WRN', 'POLE2', 'TP53', 'PNKP', 'POLE', 'POLD2']
40	REAC	REAC:R-HSA-69186	Lagging Strand Synthesis	3.237216032615701e-23	True	Lagging Strand Synthesis	20	104	14	10022	0.1346153846153846	0.7	query_1	['REAC:R-HSA-69190']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
43	GO:BP	GO:0006303	double-strand break repair via nonhomologous end joining	3.262391103309844e-23	True	"""The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear."" [GOC:rph, PMID:10827453, PMID:24837021]"	63	108	18	15719	0.1666666666666666	0.2857142857142857	query_1	['GO:0006302']	['TP53BP1', 'XRCC6', 'LIG4', 'APLF', 'MLH1', 'POLA1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'ERCC4', 'ATM', 'MRE11', 'PRKDC', 'XRCC1', 'POLB', 'PNKP', 'RNF8']
