Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
167	GO:BP	GO:0035295	tube development	3.838363205963907e-15	True	"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]"	1082	100	33	21110	0.33	0.0304990757855822	query_1	['GO:0007275', 'GO:0048856']	['MET', 'ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'SHC1', 'ADAMTSL2', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'ADAMTS2', 'SHB', 'EGFR', 'PIK3CA', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'PTK2', 'ITGB6', 'PDGFRA']
168	GO:BP	GO:0042327	positive regulation of phosphorylation	4.171730207420534e-15	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule."" [GOC:jl]"	782	100	29	21110	0.29	0.0370843989769821	query_1	['GO:0016310', 'GO:0042325', 'GO:0045937']	['MET', 'PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'PLCG2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'CD3E', 'PTPN11', 'PDGFRA']
169	GO:BP	GO:0050817	coagulation	4.401460825079936e-15	True	"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]"	234	100	19	21110	0.19	0.0811965811965812	query_1	['GO:0032501']	['PIK3CB', 'FN1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'PLCG2', 'WAS', 'LYN', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VTN', 'TLN1', 'LCK', 'PDGFRA']
170	GO:BP	GO:0007599	hemostasis	4.771020611717512e-15	True	"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]"	235	100	19	21110	0.19	0.0808510638297872	query_1	['GO:0050878']	['PIK3CB', 'FN1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'PLCG2', 'WAS', 'LYN', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VTN', 'TLN1', 'LCK', 'PDGFRA']
171	WP	WP:WP3888	VEGFA-VEGFR2 signaling	4.972875737465078e-15	True	VEGFA-VEGFR2 signaling	430	88	30	8133	0.3409090909090909	0.0697674418604651	query_1	['WP:000000']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'SRC', 'FGA', 'ITGB3', 'HGS', 'PIK3R1', 'CRK', 'SHC1', 'GAB1', 'PXN', 'FYN', 'STAM', 'SHB', 'GRB2', 'PIK3CA', 'FGB', 'VCL', 'PLCG1', 'FGG', 'PTK2B', 'PTK2', 'PTPN11', 'CBL']
172	GO:MF	GO:0035591	signaling adaptor activity	6.761241381251722e-15	True	"""The binding activity of a molecule that brings together two or more molecules in a signaling pathway, permitting those molecules to function in a coordinated way. Adaptor molecules themselves do not have catalytic activity."" [GOC:bf, PMID:19104498]"	88	100	14	20195	0.14	0.1590909090909091	query_1	['GO:0030674']	['NCK1', 'PIK3R1', 'CRK', 'SHC1', 'GAB1', 'LAT', 'SHB', 'GRB2', 'CRKL', 'GAB2', 'BLNK', 'CD3E', 'PTPN11', 'NCK2']
173	GO:BP	GO:0006897	endocytosis	7.188385284693927e-15	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	798	100	29	21110	0.29	0.0363408521303258	query_1	['GO:0016192']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'PLCG2', 'WASL', 'SH3BP1', 'FYN', 'LYN', 'GRB2', 'EGFR', 'PIK3CA', 'VAV1', 'SYK', 'FCGR1A', 'SH3KBP1', 'SH3GL2', 'VTN', 'PTK2', 'DOCK2', 'ELMO1', 'CBL', 'ELMO2']
174	GO:BP	GO:0006796	phosphate-containing compound metabolic process	8.12305797528561e-15	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2763	100	49	21110	0.49	0.0177343467245747	query_1	['GO:0006793']	['MET', 'PIK3R5', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'PIK3R6', 'PTPN23', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
175	WP	WP:WP51	Regulation of actin cytoskeleton	8.193368803383955e-15	True	Regulation of actin cytoskeleton	149	88	20	8133	0.2272727272727272	0.1342281879194631	query_1	['WP:000000']	['PIK3R5', 'PIK3CB', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'PIK3R1', 'CRK', 'SOS1', 'PIK3CD', 'PXN', 'WAS', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'PIK3R3', 'PTK2', 'PDGFRA']
176	GO:BP	GO:0016192	vesicle-mediated transport	8.357984820744945e-15	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1654	100	39	21110	0.39	0.0235792019347037	query_1	['GO:0006810']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'DOCK1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'HGS', 'STAM2', 'PTPN23', 'PLCG2', 'WASL', 'PIK3CD', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'LYN', 'STAM', 'GRB2', 'EGFR', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'SH3KBP1', 'SH3GL2', 'VTN', 'GAB2', 'PTK2', 'DOCK2', 'ELMO1', 'CBL', 'ELMO2']
177	GO:BP	GO:0009605	response to external stimulus	9.725756868338888e-15	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2900	100	50	21110	0.5	0.0172413793103448	query_1	['GO:0050896']	['MET', 'NCK1', 'PIK3CB', 'ITGAV', 'BCAR1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'PIK3R6', 'CRK', 'NCR3', 'HGF', 'RET', 'SHC1', 'PIK3AP1', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'WIPF1', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'GFRA3', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'PTK2B', 'LITAF', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2']
178	GO:BP	GO:0002253	activation of immune response	1.0027778544438818e-14	True	"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	545	100	25	21110	0.25	0.0458715596330275	query_1	['GO:0002376', 'GO:0050778']	['RAPGEF1', 'BCAR1', 'SRC', 'NCR3', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'VAV1', 'SYK', 'PLCG1', 'CRKL', 'CD247', 'PTK2', 'LCK', 'BLNK', 'CD3E']
179	GO:BP	GO:0006793	phosphorus metabolic process	1.1847976130211274e-14	True	"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus, usually in the form of a phosphate group (PO4)."" [GOC:ai]"	2788	100	49	21110	0.49	0.0175753228120516	query_1	['GO:0044237']	['MET', 'PIK3R5', 'NCK1', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'PIK3R6', 'PTPN23', 'HGF', 'RET', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
180	GO:BP	GO:0048015	phosphatidylinositol-mediated signaling	1.6440309314699415e-14	True	"""The series of molecular signals in which a cell uses a phosphatidylinositol-mediated signaling to convert a signal into a response. Phosphatidylinositols include phosphatidylinositol (PtdIns) and its phosphorylated derivatives."" [GOC:bf, GOC:ceb, ISBN:0198506732]"	176	100	17	21110	0.17	0.096590909090909	query_1	['GO:0048017']	['PIK3R5', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'PIK3R1', 'HGF', 'PIK3AP1', 'PIK3CD', 'EGFR', 'PIK3CA', 'ERBB2', 'GAB2', 'PTK2', 'CBL', 'PDGFRA']
181	GO:MF	GO:0030159	signaling receptor complex adaptor activity	1.6988653948382784e-14	True	"""The binding activity of a molecule that provides a physical support for the assembly of a multiprotein receptor signaling complex."" [GOC:mah]"	53	100	12	20195	0.12	0.2264150943396226	query_1	['GO:0035591']	['NCK1', 'PIK3R1', 'CRK', 'SHC1', 'LAT', 'SHB', 'GRB2', 'GAB2', 'BLNK', 'CD3E', 'PTPN11', 'NCK2']
182	GO:MF	GO:0050839	cell adhesion molecule binding	1.815409282859666e-14	True	"""Binding to a cell adhesion molecule."" [GOC:ai]"	562	100	25	20195	0.25	0.0444839857651245	query_1	['GO:0005515']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'ITGA2B', 'ITGA5', 'LYN', 'EGFR', 'FGB', 'VCL', 'SYK', 'FGG', 'USP8', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'PTPN11', 'CBL']
183	GO:BP	GO:0014065	phosphatidylinositol 3-kinase signaling	1.8838246241164632e-14	True	"""A series of reactions within the signal-receiving cell, mediated by the intracellular phosphatidylinositol 3-kinase (PI3K). Many cell surface receptor linked signaling pathways signal through PI3K to regulate numerous cellular functions."" [GOC:ef, http://www.biocarta.com, PMID:22525052, Wikipedia:PI3K]"	145	100	16	21110	0.16	0.1103448275862069	query_1	['GO:0048015']	['PIK3R5', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'PIK3R1', 'HGF', 'PIK3AP1', 'PIK3CD', 'EGFR', 'PIK3CA', 'ERBB2', 'PTK2', 'CBL', 'PDGFRA']
184	REAC	REAC:R-HSA-2172127	DAP12 interactions	1.891156082945716e-14	True	DAP12 interactions	33	97	12	10790	0.1237113402061855	0.3636363636363636	query_1	['REAC:R-HSA-168249']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'LCK', 'GRAP2']
185	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	1.9164556908455406e-14	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	253	100	19	21110	0.19	0.075098814229249	query_1	['GO:0002429']	['BCAR1', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'CRKL', 'CD247', 'LCK', 'BLNK', 'CD3E']
186	REAC	REAC:R-HSA-451927	Interleukin-2 family signaling	2.0309402792749782e-14	True	Interleukin-2 family signaling	44	97	13	10790	0.134020618556701	0.2954545454545454	query_1	['REAC:R-HSA-449147']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'PIK3CD', 'GRB2', 'PIK3CA', 'SYK', 'PTK2B', 'PIK3R3', 'GAB2', 'LCK']
187	GO:BP	GO:0050794	regulation of cellular process	2.17089343807062e-14	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	11108	100	92	21110	0.92	0.0082823190493338	query_1	['GO:0009987', 'GO:0050789']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'PTPN23', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
188	KEGG	KEGG:05131	Shigellosis	2.2225603945225743e-14	True	Shigellosis	246	85	23	8161	0.2705882352941176	0.0934959349593495	query_1	['KEGG:00000']	['ITGB1', 'PIK3CB', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'PIK3R1', 'CRK', 'PLCG2', 'WASL', 'PIK3CD', 'ITGA5', 'PXN', 'EGFR', 'PIK3CA', 'VCL', 'PLCG1', 'PIK3R3', 'CRKL', 'TLN1', 'PTK2', 'ELMO1', 'ELMO2']
189	GO:BP	GO:0048017	inositol lipid-mediated signaling	2.417006967249434e-14	True	"""The series of molecular signals in which a cell uses an inositol-containing lipid to convert a signal into a response. Inositol lipids include the phosphoinositides (phosphatidylinositol and its phosphorylated derivatives), ceramides containing inositol, and inositol glycolipids."" [GOC:bf, GOC:ceb, PMID:16088939]"	180	100	17	21110	0.17	0.0944444444444444	query_1	['GO:0035556']	['PIK3R5', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3CG', 'SRC', 'PIK3R1', 'HGF', 'PIK3AP1', 'PIK3CD', 'EGFR', 'PIK3CA', 'ERBB2', 'GAB2', 'PTK2', 'CBL', 'PDGFRA']
190	GO:BP	GO:0007264	small GTPase mediated signal transduction	2.417988180807323e-14	True	"""The series of molecular signals in which a small monomeric GTPase relays a signal."" [GOC:mah]"	506	100	24	21110	0.24	0.0474308300395256	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'DOCK1', 'PIK3CG', 'SRC', 'CRK', 'SOS1', 'SH3BP1', 'WAS', 'LAT', 'DOCK4', 'GRB2', 'VAV1', 'USP8', 'CRKL', 'DOCK3', 'DOCK2', 'DOCK5', 'ELMO1', 'CBL', 'GRAP2']
191	GO:BP	GO:0009653	anatomical structure morphogenesis	2.4262322820794617e-14	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2712	100	48	21110	0.48	0.0176991150442477	query_1	['GO:0032502', 'GO:0048856']	['MET', 'ITGB1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SH3BP1', 'FYN', 'SHB', 'GFRA3', 'GRB2', 'EGFR', 'PIK3CA', 'VCL', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'DOCK5', 'PTPN11', 'PDGFRA']
192	GO:BP	GO:0006935	chemotaxis	2.663104497982957e-14	True	"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]"	631	100	26	21110	0.26	0.0412044374009508	query_1	['GO:0042221', 'GO:0042330']	['MET', 'PIK3CB', 'ITGAV', 'BCAR1', 'PIK3CG', 'ITGB3', 'CRK', 'HGF', 'RET', 'SOS1', 'GAB1', 'PIK3CD', 'FYN', 'DOCK4', 'LYN', 'GFRA3', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'CRKL', 'PTK2', 'DOCK2', 'ARTN', 'PDGFRA', 'ELMO2']
193	GO:BP	GO:0010631	epithelial cell migration	2.856394434434042e-14	True	"""The orderly movement of an epithelial cell from one site to another, often during the development of a multicellular organism."" [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:tb]"	302	100	20	21110	0.2	0.0662251655629139	query_1	['GO:0001667', 'GO:0090132']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PTPN23', 'PLCG2', 'PIK3CD', 'PXN', 'SH3BP1', 'PIK3CA', 'PLCG1', 'PTK2B', 'PIK3R3', 'PTK2', 'DOCK5', 'PTPN11']
194	GO:BP	GO:0042330	taxis	2.8762912660257053e-14	True	"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]"	633	100	26	21110	0.26	0.0410742496050552	query_1	['GO:0009605', 'GO:0040011']	['MET', 'PIK3CB', 'ITGAV', 'BCAR1', 'PIK3CG', 'ITGB3', 'CRK', 'HGF', 'RET', 'SOS1', 'GAB1', 'PIK3CD', 'FYN', 'DOCK4', 'LYN', 'GFRA3', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'CRKL', 'PTK2', 'DOCK2', 'ARTN', 'PDGFRA', 'ELMO2']
195	KEGG	KEGG:05223	Non-small cell lung cancer	3.269232152775189e-14	True	Non-small cell lung cancer	72	85	15	8161	0.1764705882352941	0.2083333333333333	query_1	['KEGG:00000']	['MET', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'HGF', 'RET', 'PLCG2', 'SOS1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'PIK3R3']
196	GO:BP	GO:0048856	anatomical structure development	3.3374995343658674e-14	True	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"	5896	100	69	21110	0.69	0.0117028493894165	query_1	['GO:0032502']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'BLNK', 'CD3E', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
197	GO:BP	GO:0090132	epithelium migration	3.4651327941634103e-14	True	"""The process in which the population of cells that make up an epithelium undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	305	100	20	21110	0.2	0.0655737704918032	query_1	['GO:0090130']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PTPN23', 'PLCG2', 'PIK3CD', 'PXN', 'SH3BP1', 'PIK3CA', 'PLCG1', 'PTK2B', 'PIK3R3', 'PTK2', 'DOCK5', 'PTPN11']
198	WP	WP:WP2261	Glioblastoma signaling pathways	3.8108811040153545e-14	True	Glioblastoma signaling pathways	83	88	16	8133	0.1818181818181818	0.1927710843373494	query_1	['WP:000000']	['MET', 'PIK3CB', 'PIK3R2', 'PIK3CG', 'SRC', 'PIK3R1', 'PLCG2', 'GAB1', 'PIK3CD', 'GRB2', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'CBL', 'PDGFRA']
199	WP	WP:WP3303	RAC1/PAK1/p38/MMP2 pathway	4.0738552099482057e-14	True	RAC1/PAK1/p38/MMP2 pathway	68	88	15	8133	0.1704545454545454	0.2205882352941176	query_1	['WP:000000']	['ITGB1', 'NCK1', 'FN1', 'SRC', 'PIK3R1', 'CRK', 'SOS1', 'PXN', 'GRB2', 'EGFR', 'PIK3CA', 'ERBB2', 'PTK2', 'PTPN11', 'GRB7']
200	REAC	REAC:R-HSA-1280218	Adaptive Immune System	4.487149115003392e-14	True	Adaptive Immune System	811	97	36	10790	0.3711340206185567	0.0443896424167694	query_1	['REAC:R-HSA-168256']	['ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'PIK3R2', 'FGA', 'PIK3R1', 'NCR3', 'ITK', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'WAS', 'LAT', 'ZAP70', 'LYN', 'LCP2', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'SH3KBP1', 'PIK3R3', 'SH3GL2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'GRAP2']
201	GO:BP	GO:0001934	positive regulation of protein phosphorylation	4.5382929342222497e-14	True	"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]"	712	100	27	21110	0.27	0.0379213483146067	query_1	['GO:0001932', 'GO:0006468', 'GO:0031401', 'GO:0042327']	['PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'PLCG2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'CD3E', 'PTPN11']
202	GO:BP	GO:0090130	tissue migration	5.0681648212651775e-14	True	"""The process in which the population of cells that make up a tissue undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	311	100	20	21110	0.2	0.0643086816720257	query_1	['GO:0032501']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'ITGB3', 'PTPN23', 'PLCG2', 'PIK3CD', 'PXN', 'SH3BP1', 'PIK3CA', 'PLCG1', 'PTK2B', 'PIK3R3', 'PTK2', 'DOCK5', 'PTPN11']
203	GO:BP	GO:0010562	positive regulation of phosphorus metabolic process	5.30224248642343e-14	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]"	860	100	29	21110	0.29	0.0337209302325581	query_1	['GO:0006793', 'GO:0031325', 'GO:0051174']	['MET', 'PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'PLCG2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'CD3E', 'PTPN11', 'PDGFRA']
204	GO:BP	GO:0045937	positive regulation of phosphate metabolic process	5.30224248642343e-14	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	860	100	29	21110	0.29	0.0337209302325581	query_1	['GO:0006796', 'GO:0010562', 'GO:0019220']	['MET', 'PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'PLCG2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'CD3E', 'PTPN11', 'PDGFRA']
205	GO:BP	GO:0051338	regulation of transferase activity	5.30224248642343e-14	True	"""Any process that modulates the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [GOC:ai]"	860	100	29	21110	0.29	0.0337209302325581	query_1	['GO:0050790']	['MET', 'PIK3R5', 'PIK3CB', 'PIK3R2', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'PIK3R1', 'PIK3R6', 'HGF', 'RET', 'SHC1', 'SOS1', 'LAT', 'LYN', 'SHB', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'PIK3R3', 'DOCK3', 'PTK2', 'CBL', 'NCK2', 'PDGFRA']
