Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
426	GO:BP	GO:0007265	Ras protein signal transduction	4.943762616417336e-07	True	"""The series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state."" [GOC:bf]"	329	98	13	17376	0.1326530612244898	0.0395136778115501	query_1	['GO:0007264']	['MET', 'RAPGEF1', 'ITGB1', 'SRC', 'CRK', 'SOS1', 'WAS', 'LAT', 'GRB2', 'CRKL', 'DOCK5', 'ELMO1', 'CBL']
427	GO:BP	GO:0043067	regulation of programmed cell death	4.959268560643667e-07	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	98	26	17376	0.2653061224489796	0.0185053380782918	query_1	['GO:0010941', 'GO:0012501']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGAV', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'LYN', 'TGFB1', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'TGFBR1', 'PTK2', 'LCK', 'SMAD3', 'CBL', 'NCK2']
428	GO:BP	GO:0051492	regulation of stress fiber assembly	4.961354933124198e-07	True	"""Any process that modulates the frequency, rate or extent of the assembly of a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts."" [GOC:ai]"	90	98	8	17376	0.0816326530612244	0.0888888888888888	query_1	['GO:0032231', 'GO:0043149', 'GO:0110020']	['MET', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'CD47', 'TGFBR1', 'SMAD3']
429	GO:BP	GO:0048565	digestive tract development	5.306387254119621e-07	True	"""The process whose specific outcome is the progression of the digestive tract over time, from its formation to the mature structure. The digestive tract is the anatomical structure through which food passes and is processed."" [GOC:go_curators]"	128	98	9	17376	0.0918367346938775	0.0703125	query_1	['GO:0035295', 'GO:0055123']	['SRC', 'TGFB3', 'TGFBR2', 'TGFB1', 'EGFR', 'CRKL', 'PKD1', 'SMAD3', 'PDGFRA']
430	GO:BP	GO:0022603	regulation of anatomical structure morphogenesis	5.38608036053945e-07	True	"""Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis."" [GOC:mah]"	849	98	20	17376	0.2040816326530612	0.0235571260306242	query_1	['GO:0009653', 'GO:0050793']	['ITGB1', 'SMURF2', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'CRK', 'HGF', 'SHC1', 'TGFBR2', 'ITGA5', 'FYN', 'DVL2', 'TGFB1', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PTK2']
431	GO:BP	GO:0006996	organelle organization	5.443658364770298e-07	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3431	98	43	17376	0.4387755102040816	0.012532789274264	query_1	['GO:0016043']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'WASL', 'RPGRIP1L', 'WIPF1', 'PARD6A', 'NPHP1', 'PXN', 'ASAP1', 'WAS', 'PARD3', 'GRB2', 'TGFB1', 'CD47', 'SMURF1', 'SH3KBP1', 'PTK2B', 'CRKL', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'DOCK2', 'SMAD3', 'DOCK5', 'ELMO1', 'NCK2', 'PDGFRA', 'ELMO2', 'ZDHHC2']
432	REAC	REAC:R-HSA-8875656	MET receptor recycling	5.844214153550472e-07	True	MET receptor recycling	9	98	4	17376	0.0408163265306122	0.4444444444444444	query_1	['REAC:R-HSA-6806834']	['MET', 'CRK', 'HGF', 'CRKL']
433	GO:BP	GO:0010632	regulation of epithelial cell migration	5.893006328053848e-07	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	98	11	17376	0.1122448979591836	0.0495495495495495	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['MET', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'PLCG1', 'PTK2B', 'PTK2', 'DOCK5']
434	GO:CC	GO:0031256	leading edge membrane	6.08664255686113e-07	True	"""The portion of the plasma membrane surrounding the leading edge of a motile cell."" [GOC:mah]"	171	98	10	17376	0.1020408163265306	0.0584795321637426	query_1	['GO:0005886', 'GO:0031252', 'GO:0110165']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
435	GO:CC	GO:0009986	cell surface	6.10017230742867e-07	True	"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]"	850	98	20	17376	0.2040816326530612	0.0235294117647058	query_1	['GO:0110165']	['MET', 'ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'TGFB3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'TGFB1', 'EGFR', 'CD47', 'FCGR1A', 'OSCAR', 'SIRPA', 'TLN1', 'TGFBR1', 'PKD1', 'ITGB6', 'PDGFRA']
436	GO:BP	GO:0031400	negative regulation of protein modification process	6.267212220472401e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	467	98	15	17376	0.1530612244897959	0.032119914346895	query_1	['GO:0031399', 'GO:0036211', 'GO:0051248']	['LATS1', 'NCK1', 'SMAD7', 'HGF', 'USP4', 'PARD6A', 'FYN', 'PARD3', 'LYN', 'SHB', 'SIRPA', 'SH3GL2', 'CRKL', 'CBL', 'NCK2']
437	GO:BP	GO:0014911	positive regulation of smooth muscle cell migration	6.662743288644598e-07	True	"""Any process that activates, maintains or increases the frequency, rate or extent of smooth muscle cell migration."" [CL:0000192, GOC:mtg_muscle]"	37	98	6	17376	0.0612244897959183	0.1621621621621621	query_1	['GO:0014909', 'GO:0014910', 'GO:0030335']	['SRC', 'ITGB3', 'CRK', 'DOCK4', 'VTN', 'DOCK5']
438	GO:BP	GO:0045780	positive regulation of bone resorption	6.709763952896153e-07	True	"""Any process that activates or increases the frequency, rate or extent of bone resorption."" [GOC:go_curators]"	19	98	5	17376	0.0510204081632653	0.2631578947368421	query_1	['GO:0045124', 'GO:0045453', 'GO:0051240']	['SRC', 'SPP1', 'ITGB3', 'SYK', 'OSCAR']
439	GO:BP	GO:0042326	negative regulation of phosphorylation	6.784767076738206e-07	True	"""Any process that stops, prevents or decreases the rate of addition of phosphate groups to a molecule."" [GOC:jl]"	339	98	13	17376	0.1326530612244898	0.0383480825958702	query_1	['GO:0016310', 'GO:0042325', 'GO:0045936']	['LATS1', 'NCK1', 'SMAD7', 'HGF', 'PARD6A', 'PARD3', 'LYN', 'SHB', 'SIRPA', 'SH3GL2', 'CRKL', 'CBL', 'NCK2']
440	GO:BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	6.78910605723193e-07	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of plasma membrane bounded cell projections."" [GOC:krc]"	617	98	17	17376	0.173469387755102	0.0275526742301458	query_1	['GO:0031344', 'GO:0120036']	['RAPGEF1', 'NCK1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'WASL', 'FYN', 'WAS', 'LYN', 'SMURF1', 'PTK2B', 'CRKL', 'TGFBR1']
441	GO:CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	6.839533967118916e-07	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its cytoplasmic surface, but not integrated into the hydrophobic region."" [GOC:mah]"	93	98	8	17376	0.0816326530612244	0.086021505376344	query_1	['GO:0009898', 'GO:0019897']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'PTK2B', 'PTK2', 'LCK']
442	REAC	REAC:R-HSA-9664323	FCGR3A-mediated IL10 synthesis	7.013010075967634e-07	True	FCGR3A-mediated IL10 synthesis	43	98	6	17376	0.0612244897959183	0.1395348837209302	query_1	['REAC:R-HSA-9662851']	['PLCG2', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A']
443	GO:BP	GO:0048513	animal organ development	7.057655032738653e-07	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	2937	98	39	17376	0.3979591836734694	0.0132788559754851	query_1	['GO:0048856']	['MET', 'LATS1', 'ITGB1', 'SMURF2', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'NPHP1', 'FYN', 'PAX3', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'SYK', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
444	GO:BP	GO:2000026	regulation of multicellular organismal development	7.406563909585356e-07	True	"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]"	1335	98	25	17376	0.2551020408163265	0.0187265917602996	query_1	['GO:0007275', 'GO:0050793', 'GO:0051239']	['ITGB1', 'FN1', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA5', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'VCL', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'TGFBR1', 'SMAD3', 'PTPN11']
445	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	7.676379602751938e-07	True	PIP3 activates AKT signaling	249	98	11	17376	0.1122448979591836	0.0441767068273092	query_1	['REAC:R-HSA-9006925']	['MET', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
446	REAC	REAC:R-HSA-373753	Nephrin family interactions	7.757344325148328e-07	True	Nephrin family interactions	23	98	5	17376	0.0510204081632653	0.217391304347826	query_1	['REAC:R-HSA-1500931']	['NCK1', 'PIK3R1', 'WASL', 'FYN', 'NCK2']
447	GO:BP	GO:0007399	nervous system development	8.041107735386111e-07	True	"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	2332	98	34	17376	0.3469387755102041	0.0145797598627787	query_1	['GO:0048731']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'FN1', 'SRC', 'SPP1', 'CRK', 'NPHP4', 'HGF', 'WASL', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ASAP1', 'FYN', 'PAX3', 'PARD3', 'LYN', 'DVL2', 'TGFB1', 'EGFR', 'VCL', 'SMURF1', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PKD1', 'PTK2', 'PTPN11', 'NCK2']
448	GO:BP	GO:0002274	myeloid leukocyte activation	8.175745149837836e-07	True	"""A change in the morphology or behavior of a myeloid leukocyte resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:add, ISBN:0781735149]"	230	98	11	17376	0.1122448979591836	0.0478260869565217	query_1	['GO:0045321']	['FN1', 'PLCG2', 'TGFBR2', 'LAT', 'LYN', 'TGFB1', 'LCP2', 'SYK', 'ITGB6', 'DOCK2', 'CBL']
449	GO:BP	GO:0046777	protein autophosphorylation	8.175745149837836e-07	True	"""The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."" [ISBN:0198506732]"	230	98	11	17376	0.1122448979591836	0.0478260869565217	query_1	['GO:0006468']	['SRC', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'PTK2', 'LCK', 'PDGFRA']
450	GO:BP	GO:0031323	regulation of cellular metabolic process	8.175745149837836e-07	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	5073	98	54	17376	0.5510204081632653	0.0106445890005913	query_1	['GO:0019222', 'GO:0044237', 'GO:0050794']	['MET', 'LATS1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PAX3', 'WAS', 'PARD3', 'LAT', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'CC2D1B', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
451	GO:BP	GO:0051241	negative regulation of multicellular organismal process	8.535379232470754e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1056	98	22	17376	0.2244897959183673	0.0208333333333333	query_1	['GO:0032501', 'GO:0048519', 'GO:0051239']	['FN1', 'SPP1', 'SMAD7', 'TGFB3', 'PIK3R1', 'SFTPD', 'HGF', 'SHC1', 'TGFBR2', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'SIRPA', 'ERBB2', 'PTK2B', 'VTN', 'TGFBR1', 'SMAD3', 'DOCK5', 'PTPN11', 'PDGFRA']
452	GO:BP	GO:0043434	response to peptide hormone	8.535379232470754e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	411	98	14	17376	0.1428571428571428	0.0340632603406326	query_1	['GO:0009725', 'GO:1901652']	['NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'LYN', 'GRB2', 'TGFB1', 'PTK2', 'PTPN11']
453	GO:BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	8.535379232470754e-07	True	"""The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	20	98	5	17376	0.0510204081632653	0.25	query_1	['GO:0002220', 'GO:1990858']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
454	GO:BP	GO:1990840	response to lectin	8.535379232470754e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	98	5	17376	0.0510204081632653	0.25	query_1	['GO:0009607']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
455	GO:BP	GO:1990858	cellular response to lectin	8.535379232470754e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	98	5	17376	0.0510204081632653	0.25	query_1	['GO:1990840']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
456	GO:BP	GO:0051248	negative regulation of protein metabolic process	8.648022046750699e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."" [GOC:ai]"	966	98	21	17376	0.2142857142857142	0.0217391304347826	query_1	['GO:0010605', 'GO:0019538', 'GO:0051172', 'GO:0051246']	['LATS1', 'NCK1', 'ITGAV', 'SRC', 'SMAD7', 'ITGB3', 'HGF', 'USP4', 'PARD6A', 'FYN', 'PARD3', 'LYN', 'SHB', 'EGFR', 'SIRPA', 'SH3GL2', 'CRKL', 'VTN', 'SMAD3', 'CBL', 'NCK2']
457	GO:BP	GO:0001817	regulation of cytokine production	8.680794941031224e-07	True	"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	709	98	18	17376	0.1836734693877551	0.0253878702397743	query_1	['GO:0001816', 'GO:0010468', 'GO:0051239']	['ITGAV', 'FN1', 'SRC', 'SMAD7', 'TGFB3', 'PIK3R1', 'SFTPD', 'HGF', 'ITK', 'PLCG2', 'LYN', 'TGFB1', 'CD47', 'SYK', 'SIRPA', 'ITGB6', 'SMAD3', 'PTPN11']
458	GO:BP	GO:0080090	regulation of primary metabolic process	8.795164941614045e-07	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5398	98	56	17376	0.5714285714285714	0.0103742126713597	query_1	['GO:0019222', 'GO:0044238']	['MET', 'LATS1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PAX3', 'WAS', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'SMURF1', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'CC2D1B', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
459	REAC	REAC:R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	8.820632496809513e-07	True	Signaling by moderate kinase activity BRAF mutants	45	98	6	17376	0.0612244897959183	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
460	REAC	REAC:R-HSA-6802949	Signaling by RAS mutants	8.820632496809513e-07	True	Signaling by RAS mutants	45	98	6	17376	0.0612244897959183	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
461	REAC	REAC:R-HSA-9649948	Signaling downstream of RAS mutants	8.820632496809513e-07	True	Signaling downstream of RAS mutants	45	98	6	17376	0.0612244897959183	0.1333333333333333	query_1	['REAC:R-HSA-6802949']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
462	REAC	REAC:R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	8.820632496809513e-07	True	Paradoxical activation of RAF signaling by kinase inactive BRAF	45	98	6	17376	0.0612244897959183	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
463	REAC	REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	9.105314616919208e-07	True	Signaling by NTRK1 (TRKA)	110	98	8	17376	0.0816326530612244	0.0727272727272727	query_1	['REAC:R-HSA-166520']	['RAPGEF1', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PLCG1', 'SH3GL2', 'CRKL']
464	GO:BP	GO:0001816	cytokine production	9.585874278022567e-07	True	"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	714	98	18	17376	0.1836734693877551	0.0252100840336134	query_1	['GO:0010467', 'GO:0032501']	['ITGAV', 'FN1', 'SRC', 'SMAD7', 'TGFB3', 'PIK3R1', 'SFTPD', 'HGF', 'ITK', 'PLCG2', 'LYN', 'TGFB1', 'CD47', 'SYK', 'SIRPA', 'ITGB6', 'SMAD3', 'PTPN11']
465	GO:BP	GO:0110020	regulation of actomyosin structure organization	9.682973065389877e-07	True	"""Any process that modulates the frequency, rate or extent of the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin."" [GOC:lf, PMID:22790195]"	99	98	8	17376	0.0816326530612244	0.0808080808080808	query_1	['GO:0031032', 'GO:0032956']	['MET', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'CD47', 'TGFBR1', 'SMAD3']
466	GO:BP	GO:0055123	digestive system development	9.988221584752634e-07	True	"""The process whose specific outcome is the progression of the digestive system over time, from its formation to the mature structure. The digestive system is the entire structure in which digestion takes place. Digestion is all of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism."" [GOC:jid]"	139	98	9	17376	0.0918367346938775	0.0647482014388489	query_1	['GO:0048731']	['SRC', 'TGFB3', 'TGFBR2', 'TGFB1', 'EGFR', 'CRKL', 'PKD1', 'SMAD3', 'PDGFRA']
467	GO:BP	GO:1901652	response to peptide	1.0922476036479318e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	490	98	15	17376	0.1530612244897959	0.0306122448979591	query_1	['GO:0010243', 'GO:1901700']	['NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'GRB2', 'TGFB1', 'PTK2', 'PTPN11']
468	GO:BP	GO:0050878	regulation of body fluid levels	1.1238266101859266e-06	True	"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]"	356	98	13	17376	0.1326530612244898	0.0365168539325842	query_1	['GO:0065008']	['FN1', 'SRC', 'ITGB3', 'PLCG2', 'WAS', 'LYN', 'VCL', 'VAV1', 'SYK', 'VTN', 'TLN1', 'LCK', 'PDGFRA']
469	GO:BP	GO:0032101	regulation of response to external stimulus	1.1520041986478097e-06	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	984	98	21	17376	0.2142857142857142	0.0213414634146341	query_1	['GO:0009605', 'GO:0048583']	['MET', 'SRC', 'SPP1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'FYN', 'LYN', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SIRPA', 'PTK2B', 'VTN', 'PTK2', 'SMAD3', 'PTPN11', 'PDGFRA']
470	GO:CC	GO:0015629	actin cytoskeleton	1.1623115917386655e-06	True	"""The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."" [GOC:jl, ISBN:0395825172, ISBN:0815316194]"	488	98	15	17376	0.1530612244897959	0.0307377049180327	query_1	['GO:0005856']	['BCAR1', 'SRC', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'PXN', 'ASAP1', 'WIPF2', 'FYN', 'FYB1', 'WAS', 'VCL', 'PTK2', 'DOCK5']
471	GO:BP	GO:0032231	regulation of actin filament bundle assembly	1.204272073480419e-06	True	"""Any process that modulates the frequency, rate or extent of the assembly of actin filament bundles."" [GOC:mah]"	102	98	8	17376	0.0816326530612244	0.0784313725490196	query_1	['GO:0044087', 'GO:0051017', 'GO:0110053']	['MET', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'CD47', 'TGFBR1', 'SMAD3']
472	GO:BP	GO:1901698	response to nitrogen compound	1.2301490245958765e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1081	98	22	17376	0.2244897959183673	0.0203515263644773	query_1	['GO:0042221']	['RAPGEF1', 'ITGB1', 'NCK1', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'SYK', 'PTK2B', 'CRKL', 'PTK2', 'PTPN11', 'PDGFRA']
473	GO:BP	GO:0014065	phosphatidylinositol 3-kinase signaling	1.2517179325910438e-06	True	"""A series of reactions within the signal-receiving cell, mediated by the intracellular phosphatidylinositol 3-kinase (PI3K). Many cell surface receptor linked signaling pathways signal through PI3K to regulate numerous cellular functions."" [GOC:ef, http://www.biocarta.com, PMID:22525052, Wikipedia:PI3K]"	143	98	9	17376	0.0918367346938775	0.0629370629370629	query_1	['GO:0048015']	['FN1', 'SRC', 'PIK3R1', 'HGF', 'EGFR', 'ERBB2', 'PTK2', 'CBL', 'PDGFRA']
474	GO:BP	GO:0045595	regulation of cell differentiation	1.2584114513923787e-06	True	"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]"	1480	98	26	17376	0.2653061224489796	0.0175675675675675	query_1	['GO:0030154', 'GO:0050793', 'GO:0050794']	['ITGB1', 'ITGAV', 'FN1', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SOS1', 'TGFBR2', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'VCL', 'SYK', 'SMURF1', 'ERBB2', 'PTK2B', 'TGFBR1', 'PTK2', 'SMAD3', 'PTPN11', 'PDGFRA']
475	GO:BP	GO:0071310	cellular response to organic substance	1.266740856476858e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1915	98	30	17376	0.3061224489795918	0.0156657963446475	query_1	['GO:0010033', 'GO:0070887']	['RAPGEF1', 'LATS1', 'NCK1', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'PLCG2', 'SOS1', 'PXN', 'FYN', 'WAS', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'CD47', 'SYK', 'SIRPA', 'PTK2B', 'CRKL', 'PTK2', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
476	GO:BP	GO:1904888	cranial skeletal system development	1.2926800916003435e-06	True	"""The process whose specific outcome is the progression of a cranial skeletal system over time, from its formation to the mature structure. The cranial skeletal system is the skeletal subdivision of the head, and includes the skull (cranium plus mandible), pharyngeal and/or hyoid apparatus."" [GO_REF:0000094, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:11262227]"	69	98	7	17376	0.0714285714285714	0.1014492753623188	query_1	['GO:0048856']	['TGFB3', 'TGFBR2', 'TGFB1', 'CRKL', 'TGFBR1', 'SMAD3', 'PDGFRA']
