Ablepharon macrostomia syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
720	HP	HP:0001643	Patent ductus arteriosus	0.0001826835075689	True	In utero, the ductus arteriosus (DA) serves to divert ventricular output away from the lungs and toward the placenta by connecting the main pulmonary artery to the descending aorta. A patent ductus arteriosus (PDA) in the first 3 days of life is a physiologic shunt in healthy term and preterm newborn infants, and normally is substantially closed within about 24 hours after bith and completely closed after about three weeks. Failure of physiologcal closure is referred to a persistent or patent ductus arteriosus (PDA). Depending on the degree of left-to-right shunting, PDA can have clinical consequences.	348	55	17	4851	0.3090909090909091	0.0488505747126436	query_1	['HP:0011603']	['CREBBP', 'NKX2-5', 'SMARCA4', 'SMARCA2', 'TBX5', 'MED12', 'MAF', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'SMARCC2', 'SKI', 'WT1', 'GATA4', 'SMAD3', 'MYOCD']
721	GO:BP	GO:0046649	lymphocyte activation	0.0001827814575015	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	847	100	18	21110	0.18	0.0212514757969303	query_1	['GO:0045321']	['AKT1', 'CBFB', 'GBA1', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'GPS2', 'RUNX2', 'SMARCC2', 'RARA', 'TP53', 'SMAD3', 'SMARCC1', 'SRF']
722	WP	WP:WP4342	Vitamins A and D - action mechanisms	0.0001891145855858	True	Vitamins A and D - action mechanisms	3	89	3	8133	0.0337078651685393	1.0	query_1	['WP:000000']	['RXRA', 'RARA', 'VDR']
723	HPA	HPA:0040083	bone marrow; hematopoietic cells[High]	0.0001915115819583	True	bone marrow; hematopoietic cells[High]	1452	77	27	11006	0.3506493506493506	0.018595041322314	query_1	['HPA:0040082']	['RXRA', 'AKT1', 'GBA1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'RXRB', 'MED12', 'WWTR1', 'SUMO1', 'SMARCB1', 'EP300', 'MECP2', 'SUMO2', 'SMARCC2', 'SKI', 'RCOR1', 'WWP1', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'KDM1A', 'ZFPM2', 'SMARCC1', 'RANGAP1']
724	GO:BP	GO:0001775	cell activation	0.0001918053077675	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1157	100	21	21110	0.21	0.0181503889369057	query_1	['GO:0009987', 'GO:0032501']	['AKT1', 'CBFB', 'GBA1', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'NR1H3', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'PRMT5', 'GPS2', 'RUNX2', 'SMARCC2', 'RARA', 'TP53', 'SMAD3', 'SMARCC1', 'SRF']
725	GO:BP	GO:0007346	regulation of mitotic cell cycle	0.0001923790506667	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	495	100	14	21110	0.14	0.0282828282828282	query_1	['GO:0000278', 'GO:0051726']	['AKT1', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'SIN3A', 'SMARCB1', 'MECP2', 'PRMT5', 'HDAC3', 'SMARCC2', 'SENP2', 'TP53', 'SMARCC1']
726	HP	HP:0011747	Abnormality of the anterior pituitary	0.0001941197013446	True	An abnormality of the adenohypophysis, which is also known as the anterior lobe of the pituitary gland.	307	55	16	4851	0.2909090909090909	0.0521172638436482	query_1	['HP:0012503']	['SOX9', 'TGIF1', 'AKT1', 'CTNNB1', 'SIN3A', 'AR', 'SMARCB1', 'ESR2', 'NR5A1', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXH1', 'TP53', 'ZFPM2']
727	HP	HP:0011603	Congenital malformation of the great arteries	0.0001943020443084	True	Defect or defects of the morphogenesis of the aorta and pulmonary arteries.	489	55	20	4851	0.3636363636363636	0.0408997955010225	query_1	['HP:0030962']	['TGIF1', 'CREBBP', 'NKX2-5', 'SMARCA4', 'SMARCA2', 'TBX5', 'MED12', 'MAF', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'SMARCC2', 'SKI', 'WT1', 'GATA4', 'FOXH1', 'SMAD3', 'MYOCD', 'ZFPM2']
728	TF	TF:M03893	Factor: WT1; motif: GNGGGGGCGGGG	0.0001950974220692	True	Factor: WT1; motif: GNGGGGGCGGGG	8506	100	69	20011	0.69	0.0081119209969433	query_1	['TF:M00000']	['UBE2I', 'SOX9', 'TGIF1', 'AKT1', 'CREBBP', 'NKX2-5', 'CBFB', 'COPRS', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'SIN3A', 'RXRB', 'TEAD2', 'MED12', 'AR', 'WWTR1', 'SUMO1', 'GPR37L1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'HDAC3', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'ESR1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2']
729	TF	TF:M09984_1	Factor: MAZ; motif: GGGGGAGGGGGNGRGRRRGNRG; match class: 1	0.0001957420224155	True	Factor: MAZ; motif: GGGGGAGGGGGNGRGRRRGNRG; match class: 1	5706	100	54	20011	0.54	0.0094637223974763	query_1	['TF:M09984']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'TGIF1', 'WDR77', 'CREBBP', 'CBFB', 'COPRS', 'SENP1', 'NR1H2', 'NCOA2', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'RXRB', 'NR1H3', 'TEAD2', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMAD9', 'VGLL4', 'ELK3', 'MECP2', 'TEAD4', 'SUMO2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'FOXH1', 'TBL1XR1', 'SMAD3', 'TWIST2', 'YAP1', 'ZFPM2', 'SKIL', 'NCOA1', 'HIPK2']
730	HP	HP:0000795	Abnormality of the urethra	0.0001976913640275	True	An abnormality of the urethra, i.e., of the tube which connects the urinary bladder to the outside of the body.	441	55	19	4851	0.3454545454545454	0.0430839002267573	query_1	['HP:0000032', 'HP:0010936']	['SOX9', 'CREBBP', 'SMARCA4', 'SMARCA2', 'SIN3A', 'MED12', 'AR', 'SMARCB1', 'SMAD4', 'EP300', 'MECP2', 'SMARCC2', 'SKI', 'NR5A1', 'SRY', 'WT1', 'GATA4', 'KDM1A', 'ZFPM2']
731	TF	TF:M00982_1	Factor: KROX; motif: CCCGCCCCCRCCCC; match class: 1	0.0001992775066859	True	Factor: KROX; motif: CCCGCCCCCRCCCC; match class: 1	3624	100	41	20011	0.41	0.0113134657836644	query_1	['TF:M00982']	['UBE2I', 'NRIP1', 'SOX9', 'TGIF1', 'CREBBP', 'NKX2-5', 'CBFB', 'COPRS', 'FOXO3', 'NR1H2', 'NCOA2', 'HDAC1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'RXRB', 'TEAD2', 'AR', 'SUMO1', 'SMAD9', 'ELK3', 'EP300', 'TEAD1', 'TEAD4', 'ELK4', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'ESR1', 'FOXO1', 'TBL1XR1', 'SMAD3', 'TWIST2', 'HDAC2', 'YAP1', 'SKIL', 'HIPK2']
732	HP	HP:0012252	Abnormal respiratory system morphology	0.0002038866512238	True	A structural anomaly of the respiratory system.	1358	55	34	4851	0.6181818181818182	0.0250368188512518	query_1	['HP:0002086']	['REST', 'SOX9', 'RANBP2', 'TGIF1', 'AKT1', 'CREBBP', 'NKX2-5', 'GBA1', 'CTNNB1', 'FLI1', 'SMARCA4', 'SMARCA2', 'TBX5', 'MED12', 'AAGAB', 'SMAD2', 'SMARCB1', 'ASAH1', 'SMAD4', 'EP300', 'MECP2', 'RUNX2', 'SMARCC2', 'NR5A1', 'NR1H4', 'WT1', 'GATA4', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'PSAP', 'ZFPM2']
733	GO:BP	GO:0051146	striated muscle cell differentiation	0.0002063665702177	True	"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]"	281	100	11	21110	0.11	0.0391459074733096	query_1	['GO:0042692']	['AKT1', 'NKX2-5', 'TBX5', 'SMAD4', 'HDAC3', 'SKI', 'WT1', 'GATA4', 'RARA', 'MYOCD', 'SRF']
734	HPA	HPA:0510651	soft tissue 2; fibroblasts[≥Low]	0.0002075338087803	True	soft tissue 2; fibroblasts[≥Low]	4123	77	50	11006	0.6493506493506493	0.0121270919233567	query_1	['HPA:0510000']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'CREBBP', 'GBA1', 'COPRS', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'SIN3A', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'ASAH1', 'EP300', 'MECP2', 'SUMO2', 'GPS2', 'HDAC3', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WT1', 'WWP1', 'FOXO1', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'SRF', 'HIPK2', 'RANGAP1']
735	GO:BP	GO:0072089	stem cell proliferation	0.0002111046828729	True	"""The multiplication or reproduction of stem cells, resulting in the expansion of a stem cell population. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:mtg_kidney_jan10]"	119	100	8	21110	0.08	0.0672268907563025	query_1	['GO:0008283']	['SOX9', 'GBA1', 'CTNNB1', 'RUNX1', 'RUNX2', 'TP53', 'YAP1', 'KDM1A']
736	GO:BP	GO:0007440	foregut morphogenesis	0.0002117232592483	True	"""The process in which the anatomical structures of the foregut are generated and organized."" [GOC:jid]"	10	100	4	21110	0.04	0.4	query_1	['GO:0009653', 'GO:0048546']	['CTNNB1', 'SMAD2', 'GATA4', 'SMAD3']
737	HPA	HPA:0630053	cervix; glandular cells[High]	0.0002118346467193	True	cervix; glandular cells[High]	1183	77	24	11006	0.3116883116883117	0.0202874049027895	query_1	['HPA:0630052']	['UBE2I', 'SOX9', 'RXRA', 'AKT1', 'FOXO3', 'CTNNB1', 'SMARCA4', 'TBL1X', 'RXRB', 'MED12', 'WWTR1', 'AAGAB', 'SMARCB1', 'MECP2', 'SUMO2', 'SMARCC2', 'RCOR1', 'ESR1', 'TBL1XR1', 'SMAD3', 'PSAP', 'CNPY2', 'HIPK2', 'RANGAP1']
738	HPA	HPA:0490691	smooth muscle; smooth muscle cells[≥Low]	0.0002170131052632	True	smooth muscle; smooth muscle cells[≥Low]	5446	77	59	11006	0.7662337662337663	0.0108336393683437	query_1	['HPA:0490000']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'CREBBP', 'GBA1', 'COPRS', 'FOXO3', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'EP300', 'MECP2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'GPR37', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'ESR1', 'WT1', 'WWP1', 'FOXO1', 'PDE8A', 'TBL1XR1', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
739	HPA	HPA:0490000	smooth muscle	0.0002170131052632	True	smooth muscle	5446	77	59	11006	0.7662337662337663	0.0108336393683437	query_1	['HPA:0000000']	['REST', 'NRIP1', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'CREBBP', 'GBA1', 'COPRS', 'FOXO3', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'EP300', 'MECP2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'GPR37', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'ESR1', 'WT1', 'WWP1', 'FOXO1', 'PDE8A', 'TBL1XR1', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
740	TF	TF:M02036	Factor: WT1; motif: CGCCCCCNCN	0.0002196389236422	True	Factor: WT1; motif: CGCCCCCNCN	10003	100	76	20011	0.76	0.0075977206837948	query_1	['TF:M00000']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'NCOA3', 'TGIF1', 'AKT1', 'CREBBP', 'NKX2-5', 'CBFB', 'COPRS', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'NCOR2', 'SIN3A', 'RXRB', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'HDAC3', 'ESR2', 'RUNX2', 'GPR37', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'HIPK1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'PSAP', 'HDAC2', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2']
741	GO:BP	GO:0061198	fungiform papilla formation	0.0002242334814846	True	"""The developmental process pertaining to the initial formation of a spongiform papilla from unspecified parts. The fungiform papilla is a mushroom-shaped papilla of the tongue."" [GOC:dph]"	3	100	3	21110	0.03	1.0	query_1	['GO:0048646', 'GO:0061197']	['CTNNB1', 'HDAC1', 'HDAC2']
742	GO:BP	GO:2000195	negative regulation of female gonad development	0.0002242334814846	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of female gonad development."" [GOC:obol]"	3	100	3	21110	0.03	1.0	query_1	['GO:0008585', 'GO:1905940', 'GO:2000194']	['NR5A1', 'WT1', 'ZFPM2']
743	HPA	HPA:0350472	pancreas; exocrine glandular cells[≥Medium]	0.0002290128687184	True	pancreas; exocrine glandular cells[≥Medium]	5297	77	58	11006	0.7532467532467533	0.0109495941098735	query_1	['HPA:0350471']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'WDR77', 'CREBBP', 'GBA1', 'FOXO3', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'TBL1X', 'NCOR2', 'RXRB', 'NR1H3', 'HIVEP3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WWP1', 'PDE8A', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
744	GO:BP	GO:0003205	cardiac chamber development	0.0002298146818992	True	"""The progression of a cardiac chamber over time, from its formation to the mature structure. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]"	168	100	9	21110	0.09	0.0535714285714285	query_1	['GO:0007507', 'GO:0048856']	['NKX2-5', 'TBX5', 'SMAD4', 'GATA4', 'FOXH1', 'TP53', 'MYOCD', 'ZFPM2', 'SRF']
745	GO:BP	GO:1905207	regulation of cardiocyte differentiation	0.0002310090650032	True	"""Any process that modulates the frequency, rate or extent of cardiocyte differentiation."" [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:23069713]"	25	100	5	21110	0.05	0.2	query_1	['GO:0035051', 'GO:0045595']	['NKX2-5', 'TBX5', 'SMAD4', 'HDAC3', 'MYOCD']
746	CORUM	CORUM:636	BHC complex	0.0002331280832394	True	BHC complex	6	63	4	3383	0.0634920634920634	0.6666666666666666	query_1	['CORUM:0000000']	['HDAC1', 'RCOR1', 'HDAC2', 'KDM1A']
747	CORUM	CORUM:3167	NCOR-SIN3-HDAC-HESX1 complex	0.0002331280832394	True	NCOR-SIN3-HDAC-HESX1 complex	6	63	4	3383	0.0634920634920634	0.6666666666666666	query_1	['CORUM:0000000']	['HDAC1', 'NCOR2', 'SIN3A', 'HDAC2']
748	GO:BP	GO:0006979	response to oxidative stress	0.0002350838747366	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]"	425	100	13	21110	0.13	0.0305882352941176	query_1	['GO:0006950']	['REST', 'AKT1', 'FOXO3', 'CTNNB1', 'SIN3A', 'GPR37L1', 'GPR37', 'SP1', 'GATA4', 'FOXO1', 'PDE8A', 'TP53', 'HDAC2']
749	REAC	REAC:R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer	0.0002419226174945	True	SMAD4 MH2 Domain Mutants in Cancer	3	92	3	10790	0.0326086956521739	1.0	query_1	['REAC:R-HSA-3304347']	['SMAD2', 'SMAD4', 'SMAD3']
750	REAC	REAC:R-HSA-3304347	Loss of Function of SMAD4 in Cancer	0.0002419226174945	True	Loss of Function of SMAD4 in Cancer	3	92	3	10790	0.0326086956521739	1.0	query_1	['REAC:R-HSA-3304351']	['SMAD2', 'SMAD4', 'SMAD3']
751	REAC	REAC:R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer	0.0002419226174945	True	SMAD2/3 MH2 Domain Mutants in Cancer	3	92	3	10790	0.0326086956521739	1.0	query_1	['REAC:R-HSA-3304349']	['SMAD2', 'SMAD4', 'SMAD3']
752	REAC	REAC:R-HSA-8943724	Regulation of PTEN gene transcription	0.0002494403736709	True	Regulation of PTEN gene transcription	59	92	7	10790	0.0760869565217391	0.1186440677966101	query_1	['REAC:R-HSA-6807070']	['REST', 'HDAC1', 'HDAC3', 'RCOR1', 'TP53', 'HDAC2', 'KDM1A']
753	HP	HP:0011004	Abnormal systemic arterial morphology	0.0002546565606384	True	An abnormality of the systemic arterial tree, which consists of the aorta and other systemic arteries.	497	55	20	4851	0.3636363636363636	0.0402414486921529	query_1	['HP:0033353']	['TGIF1', 'CREBBP', 'NKX2-5', 'GBA1', 'FLI1', 'SMARCA2', 'TBX5', 'MED12', 'SMAD2', 'ASAH1', 'SMAD4', 'EP300', 'SKI', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXH1', 'SMAD3', 'PSAP']
754	HPA	HPA:0610832	urinary bladder; urothelial cells[≥Medium]	0.000257511653582	True	urinary bladder; urothelial cells[≥Medium]	5953	77	62	11006	0.8051948051948052	0.0104149168486477	query_1	['HPA:0610831']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'RANBP2', 'AKT1', 'CREBBP', 'GBA1', 'FOXO3', 'CTNNB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'MED12', 'MAF', 'WWTR1', 'SUMO1', 'AAGAB', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'RUNX1', 'EP300', 'MECP2', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'RCOR1', 'SP1', 'SENP2', 'KAT2B', 'WWP1', 'HIPK1', 'PDE8A', 'TBL1XR1', 'SMAD3', 'PSAP', 'HDAC2', 'CNPY2', 'MYOCD', 'YAP1', 'KDM1A', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'RANGAP1']
755	HP	HP:0001680	Coarctation of aorta	0.0002584397288951	True	Coarctation of the aorta is a narrowing or constriction of a segment of the aorta.	133	55	11	4851	0.2	0.0827067669172932	query_1	['HP:0001679']	['TGIF1', 'CREBBP', 'NKX2-5', 'FLI1', 'SMARCA2', 'MED12', 'SMAD4', 'EP300', 'SRY', 'WT1', 'FOXH1']
756	HP	HP:0008715	Testicular dysgenesis	0.0002597744723996	True	Testicular dysgenesis	13	55	5	4851	0.0909090909090909	0.3846153846153846	query_1	['HP:0000035']	['SOX9', 'NR5A1', 'SRY', 'WT1', 'GATA4']
757	HP	HP:0004383	Hypoplastic left heart	0.0002626530379347	True	Underdevelopment of the left side of the heart. May include atresia of the aortic or mitral orifice and hypoplasia of the ascending aorta.	39	55	7	4851	0.1272727272727272	0.1794871794871795	query_1	['HP:0001961', 'HP:0045017']	['CREBBP', 'NKX2-5', 'FLI1', 'TBX5', 'EP300', 'WT1', 'GATA4']
758	KEGG	KEGG:04390	Hippo signaling pathway	0.0002626549438889	True	Hippo signaling pathway	157	81	10	8161	0.1234567901234567	0.0636942675159235	query_1	['KEGG:00000']	['CTNNB1', 'TEAD2', 'WWTR1', 'SMAD2', 'SMAD4', 'TEAD1', 'TEAD4', 'TEAD3', 'SMAD3', 'YAP1']
759	GO:BP	GO:0071772	response to BMP	0.0002674119320872	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	171	100	9	21110	0.09	0.0526315789473684	query_1	['GO:0070848']	['SOX9', 'SMAD2', 'SMAD9', 'SMAD4', 'RUNX2', 'SKI', 'GATA4', 'SKIL', 'HIPK2']
760	GO:BP	GO:0071773	cellular response to BMP stimulus	0.0002674119320872	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]"	171	100	9	21110	0.09	0.0526315789473684	query_1	['GO:0071363', 'GO:0071772']	['SOX9', 'SMAD2', 'SMAD9', 'SMAD4', 'RUNX2', 'SKI', 'GATA4', 'SKIL', 'HIPK2']
761	GO:BP	GO:1900407	regulation of cellular response to oxidative stress	0.000267454072351	True	"""Any process that modulates the frequency, rate or extent of cellular response to oxidative stress."" [GOC:mah, GOC:TermGenie]"	82	100	7	21110	0.07	0.0853658536585365	query_1	['GO:0034599', 'GO:0080135', 'GO:1902882']	['REST', 'AKT1', 'CTNNB1', 'GPR37L1', 'GPR37', 'GATA4', 'PDE8A']
762	GO:BP	GO:0030326	embryonic limb morphogenesis	0.0002729551067125	True	"""The process, occurring in the embryo, by which the anatomical structures of the limb are generated and organized. A limb is an appendage of an animal used for locomotion or grasping."" [GOC:bf, GOC:jl, ISBN:0395825172]"	123	100	8	21110	0.08	0.065040650406504	query_1	['GO:0035108', 'GO:0035113']	['CREBBP', 'CTNNB1', 'HDAC1', 'TBX5', 'SMAD4', 'RUNX2', 'SKI', 'HDAC2']
763	GO:BP	GO:0035113	embryonic appendage morphogenesis	0.0002729551067125	True	"""The process, occurring in the embryo, by which the anatomical structures of the appendage are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [ISBN:0582227089]"	123	100	8	21110	0.08	0.065040650406504	query_1	['GO:0035107', 'GO:0048598']	['CREBBP', 'CTNNB1', 'HDAC1', 'TBX5', 'SMAD4', 'RUNX2', 'SKI', 'HDAC2']
764	TF	TF:M01858_1	Factor: AP-2beta; motif: GCNNNGGSCNGVGGGN; match class: 1	0.0002814228867742	True	Factor: AP-2beta; motif: GCNNNGGSCNGVGGGN; match class: 1	3229	100	38	20011	0.38	0.0117683493341591	query_1	['TF:M01858']	['REST', 'UBE2I', 'NRIP1', 'TGIF1', 'CREBBP', 'NKX2-5', 'CBFB', 'COPRS', 'NCOA2', 'SMARCA4', 'FOXG1', 'TBL1X', 'SMAD2', 'SMARCB1', 'SMAD9', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'GPS2', 'ESR2', 'RUNX2', 'ELK4', 'SKI', 'RCOR1', 'SP1', 'TEAD3', 'KAT2B', 'WWP1', 'FOXO1', 'TBL1XR1', 'SMAD3', 'TWIST2', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
765	WP	WP:WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	0.0002848849918236	True	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	20	89	5	8133	0.0561797752808988	0.25	query_1	['WP:000000']	['CREBBP', 'FOXO3', 'SMARCA4', 'SMAD4', 'EP300']
766	GO:BP	GO:0003206	cardiac chamber morphogenesis	0.0002906499169655	True	"""The process in which a cardiac chamber is generated and organized. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]"	124	100	8	21110	0.08	0.064516129032258	query_1	['GO:0003007', 'GO:0003205', 'GO:0009653']	['NKX2-5', 'TBX5', 'SMAD4', 'GATA4', 'FOXH1', 'TP53', 'ZFPM2', 'SRF']
