Branchio-oculo-facial syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
80	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	2.639770107475342e-19	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1860	100	50	15719	0.5	0.0268817204301075	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['CITED2', 'REST', 'AKT1', 'CTCF', 'MYC', 'CREBBP', 'SERTAD1', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'SIN3A', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'YY1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'TFAP2B', 'FOXH1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1']
81	GO:BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	3.777661274194466e-19	True	"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1963	100	51	15719	0.51	0.0259806418746816	query_1	['GO:0006139', 'GO:0019219', 'GO:0031325', 'GO:0051173']	['CITED2', 'REST', 'AKT1', 'CTCF', 'MYC', 'CREBBP', 'SERTAD1', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'SIN3A', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'YY1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'TFAP2B', 'FOXH1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1']
23	REAC	REAC:R-HSA-3700989	Transcriptional Regulation by TP53	4.264238778963064e-19	True	Transcriptional Regulation by TP53	357	98	30	10022	0.3061224489795918	0.0840336134453781	query_1	['REAC:R-HSA-212436']	['AKT1', 'CREBBP', 'CDK5', 'EHMT2', 'E2F4', 'CCNB1', 'CDK7', 'CCNA1', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'CCNE1', 'CDKN1A', 'CCNA2', 'CCNH', 'EP300', 'E2F1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'KAT5', 'CDKN1B', 'TP53', 'TFDP2', 'HDAC2']
82	GO:BP	GO:0031325	positive regulation of cellular metabolic process	4.486871630929508e-19	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2845	100	60	15719	0.6	0.0210896309314587	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['CITED2', 'REST', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'SERTAD1', 'CDK5', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'SIN3A', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'MNAT1', 'YY1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'TFAP2B', 'FOXH1', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
83	GO:BP	GO:0007346	regulation of mitotic cell cycle	5.705164569380199e-19	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	489	100	29	15719	0.29	0.0593047034764826	query_1	['GO:0000278', 'GO:0051726']	['CDKN2B', 'AKT1', 'EZH2', 'CKS1B', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'SMARCA4', 'FOXG1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
16	GO:CC	GO:0032991	protein-containing complex	1.1689974738826473e-18	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5491	100	78	16420	0.78	0.0142050628300855	query_1	['GO:0005575']	['CITED2', 'REST', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'CDK5', 'CBX3', 'E2F4', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'ESR1', 'KAT5', 'CCND3', 'SKP2', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
25	REAC	REAC:R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	1.3646619440934017e-18	True	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	15	98	11	10022	0.1122448979591836	0.7333333333333333	query_1	['REAC:R-HSA-1538133']	['E2F4', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'E2F5', 'CCNA2', 'E2F1', 'CDK1', 'TFDP2']
24	REAC	REAC:R-HSA-69205	G1/S-Specific Transcription	1.3646619440934017e-18	True	G1/S-Specific Transcription	27	98	13	10022	0.1326530612244898	0.4814814814814814	query_1	['REAC:R-HSA-69206']	['E2F4', 'CCNA1', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'CCNE1', 'E2F5', 'E2F6', 'E2F1', 'CDK1', 'TFDP2']
84	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	1.3977569792604682e-18	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1934	100	50	15719	0.5	0.0258531540847983	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['CITED2', 'REST', 'AKT1', 'CTCF', 'MYC', 'CREBBP', 'SERTAD1', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'SIN3A', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'YY1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'TFAP2B', 'FOXH1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1']
26	REAC	REAC:R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	1.984695204245099e-18	True	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	36	98	14	10022	0.1428571428571428	0.3888888888888889	query_1	['REAC:R-HSA-2173793']	['CDKN2B', 'TGIF1', 'MYC', 'E2F4', 'RBL1', 'TFDP1', 'HDAC1', 'E2F5', 'SMAD2', 'SMAD4', 'EP300', 'SP1', 'TFDP2', 'SMAD3']
27	REAC	REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	3.4404302893348077e-18	True	Oxidative Stress Induced Senescence	122	98	20	10022	0.2040816326530612	0.1639344262295081	query_1	['REAC:R-HSA-2559583']	['CDKN2B', 'BMI1', 'EZH2', 'TFDP1', 'RING1', 'PHC1', 'RBBP4', 'EED', 'CDKN2D', 'E2F2', 'E2F1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RNF2', 'CDK4', 'TP53', 'TFDP2', 'CDK6', 'PHC3']
85	GO:BP	GO:0009891	positive regulation of biosynthetic process	4.701771798273759e-18	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	1989	100	50	15719	0.5	0.025138260432378	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['CITED2', 'REST', 'AKT1', 'CTCF', 'MYC', 'CREBBP', 'SERTAD1', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'SIN3A', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'YY1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'TFAP2B', 'FOXH1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1']
86	GO:BP	GO:0044238	primary metabolic process	5.5626859490198505e-18	True	"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]"	9445	100	98	15719	0.98	0.010375860243515	query_1	['GO:0008152']	['CITED2', 'REST', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'ACOT1', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
28	REAC	REAC:R-HSA-9614085	FOXO-mediated transcription	1.785502393741588e-17	True	FOXO-mediated transcription	65	98	16	10022	0.1632653061224489	0.2461538461538461	query_1	['REAC:R-HSA-212436']	['CITED2', 'AKT1', 'CREBBP', 'FOXO3', 'RBL2', 'HDAC1', 'FOXG1', 'SIN3A', 'CDKN1A', 'SMAD2', 'SMAD4', 'EP300', 'FOXO1', 'CDKN1B', 'SMAD3', 'HDAC2']
29	REAC	REAC:R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	2.6550154516139065e-17	True	Transcription of E2F targets under negative control by DREAM complex	18	98	11	10022	0.1122448979591836	0.6111111111111112	query_1	['REAC:R-HSA-1538133']	['MYC', 'E2F4', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'E2F5', 'E2F1', 'TFDP2']
30	REAC	REAC:R-HSA-2559585	Oncogene Induced Senescence	3.1187147624315817e-17	True	Oncogene Induced Senescence	33	98	13	10022	0.1326530612244898	0.3939393939393939	query_1	['REAC:R-HSA-2559583']	['CDKN2B', 'TFDP1', 'RB1', 'CDKN2D', 'E2F2', 'E2F1', 'CDKN2C', 'CDKN2A', 'SP1', 'CDK4', 'TP53', 'TFDP2', 'CDK6']
17	GO:CC	GO:0043232	intracellular non-membrane-bounded organelle	3.6928846779781236e-17	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5013	100	73	16420	0.73	0.0145621384400558	query_1	['GO:0043228', 'GO:0043229']	['CITED2', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'E2F5', 'CDKN1A', 'AR', 'E2F2', 'SMAD2', 'SKP1', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1']
18	GO:CC	GO:0043228	non-membrane-bounded organelle	3.6928846779781236e-17	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	5014	100	73	16420	0.73	0.0145592341443956	query_1	['GO:0043226']	['CITED2', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'E2F5', 'CDKN1A', 'AR', 'E2F2', 'SMAD2', 'SKP1', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1']
87	GO:BP	GO:1901987	regulation of cell cycle phase transition	4.385677757266604e-17	True	"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	429	100	26	15719	0.26	0.0606060606060606	query_1	['GO:0010564', 'GO:0044770']	['CDKN2B', 'AKT1', 'EZH2', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
31	REAC	REAC:R-HSA-8943724	Regulation of PTEN gene transcription	1.245148456688079e-16	True	Regulation of PTEN gene transcription	59	98	15	10022	0.1530612244897959	0.2542372881355932	query_1	['REAC:R-HSA-6807070']	['REST', 'BMI1', 'EZH2', 'RING1', 'HDAC1', 'PHC1', 'RBBP4', 'EED', 'SUZ12', 'RCOR1', 'RNF2', 'TP53', 'HDAC2', 'KDM1A', 'PHC3']
32	REAC	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	3.592675157175659e-16	True	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	50	98	14	10022	0.1428571428571428	0.28	query_1	['REAC:R-HSA-170834', 'REAC:R-HSA-212436']	['CDKN2B', 'TGIF1', 'MYC', 'E2F4', 'RBL1', 'TFDP1', 'HDAC1', 'E2F5', 'SMAD2', 'SMAD4', 'EP300', 'SP1', 'TFDP2', 'SMAD3']
88	GO:BP	GO:0043412	macromolecule modification	3.719612777021303e-16	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3600	100	63	15719	0.63	0.0175	query_1	['GO:0043170']	['CDKN2B', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'SERTAD1', 'CDK5', 'EHMT2', 'CCNB1', 'CDK7', 'CCNA1', 'CCNE2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'CCNE1', 'EED', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'CDKN1A', 'CCNA2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'SMAD4', 'EP300', 'CCND2', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'UBE2W', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
89	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	4.461415759544866e-16	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	100	38	15719	0.38	0.0316139767054908	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['CITED2', 'REST', 'AKT1', 'MYC', 'CREBBP', 'SERTAD1', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'FOXO3', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'SMARCA4', 'SIN3A', 'AR', 'E2F2', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'YY1', 'CDKN2A', 'SP1', 'ESR1', 'FOXO1', 'KAT5', 'TFAP2B', 'FOXH1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1']
19	GO:CC	GO:0090575	RNA polymerase II transcription regulator complex	4.9065143545829055e-16	True	"""A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II."" [GOC:tb]"	248	100	20	16420	0.2	0.0806451612903225	query_1	['GO:0005667', 'GO:0140513']	['MYC', 'CBX3', 'E2F4', 'MAX', 'CDK7', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'E2F5', 'E2F2', 'CCNH', 'SMAD2', 'SMAD4', 'E2F6', 'E2F1', 'MNAT1', 'FOXH1', 'TFDP2', 'SMAD3']
90	GO:BP	GO:0071704	organic substance metabolic process	1.2066610948407134e-15	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9998	100	98	15719	0.98	0.0098019603920784	query_1	['GO:0008152']	['CITED2', 'REST', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'ACOT1', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
91	GO:BP	GO:0010564	regulation of cell cycle process	1.3339915317952202e-15	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	710	100	30	15719	0.3	0.0422535211267605	query_1	['GO:0022402', 'GO:0051726']	['CDKN2B', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT5', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
20	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	1.753493730203164e-15	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	100	21	16420	0.21	0.0688524590163934	query_1	['GO:1990234']	['CKS1B', 'CDK5', 'CCNB1', 'CDK7', 'CCNA1', 'CCNE2', 'TRRAP', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1']
33	REAC	REAC:R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	2.441355216303487e-15	True	SUMO E3 ligases SUMOylate target proteins	170	98	20	10022	0.2040816326530612	0.1176470588235294	query_1	['REAC:R-HSA-2990846']	['BMI1', 'CREBBP', 'TFAP2C', 'RING1', 'HDAC1', 'PHC1', 'DNMT1', 'SIN3A', 'AR', 'EP300', 'SUZ12', 'CDKN2A', 'PCGF2', 'ESR1', 'L3MBTL2', 'TFAP2B', 'RNF2', 'TP53', 'HDAC2', 'PHC3']
92	GO:BP	GO:0036211	protein modification process	3.4377312924692487e-15	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	100	60	15719	0.6	0.0176522506619594	query_1	['GO:0019538', 'GO:0043412']	['CDKN2B', 'BMI1', 'AKT1', 'EZH2', 'CREBBP', 'SERTAD1', 'CDK5', 'EHMT2', 'CCNB1', 'CDK7', 'CCNA1', 'CCNE2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'CCNE1', 'EED', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'CDKN1A', 'CCNA2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'SMAD4', 'EP300', 'CCND2', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'UBE2W', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
34	REAC	REAC:R-HSA-2990846	SUMOylation	4.2213792667599385e-15	True	SUMOylation	175	98	20	10022	0.2040816326530612	0.1142857142857142	query_1	['REAC:R-HSA-597592']	['BMI1', 'CREBBP', 'TFAP2C', 'RING1', 'HDAC1', 'PHC1', 'DNMT1', 'SIN3A', 'AR', 'EP300', 'SUZ12', 'CDKN2A', 'PCGF2', 'ESR1', 'L3MBTL2', 'TFAP2B', 'RNF2', 'TP53', 'HDAC2', 'PHC3']
93	GO:BP	GO:0006915	apoptotic process	6.496843485478703e-15	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1799	100	44	15719	0.44	0.0244580322401334	query_1	['GO:0012501']	['CITED2', 'REST', 'BMI1', 'AKT1', 'MYC', 'CDK5', 'MAX', 'FOXO3', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'DNMT1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'AR', 'E2F2', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'TFAP2B', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
