Cerebrotendinous xanthomatosis	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
39	GO:CC	GO:0034361	very-low-density lipoprotein particle	1.5092895958429772e-08	True	"""A triglyceride-rich lipoprotein particle that is typically composed of APOB100, APOE and APOCs and has a density of about 1.006 g/ml and a diameter of between 20-80 nm. It is found in blood and transports endogenous products (newly synthesized cholesterol and triglycerides) from the liver."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	21	99	6	16420	0.0606060606060606	0.2857142857142857	query_1	['GO:0034385']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
105	GO:BP	GO:0034367	protein-containing complex remodeling	1.7975490944225727e-08	True	"""The acquisition, loss, or modification of macromolecules within a complex, resulting in the alteration of an existing complex."" [GOC:BHF, GOC:mah, GOC:mtg_mpo, GOC:rl]"	31	98	7	15719	0.0714285714285714	0.2258064516129032	query_1	['GO:0043933']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'MPO', 'APOA4', 'APOC2']
106	GO:BP	GO:0051241	negative regulation of multicellular organismal process	2.1904801901952866e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1056	98	26	15719	0.2653061224489796	0.0246212121212121	query_1	['GO:0032501', 'GO:0048519', 'GO:0051239']	['F12', 'APOC3', 'CR1', 'INHA', 'FN1', 'SPP1', 'FGA', 'TGFB3', 'ELANE', 'GP1BA', 'F11', 'APOE', 'HFE', 'PRDX4', 'APOA1', 'F2', 'FGB', 'APOA2', 'PROS1', 'FGG', 'APOA4', 'CTSG', 'VTN', 'APOC2', 'PLAUR', 'ORM1']
107	GO:BP	GO:0043691	reverse cholesterol transport	2.24153278543009e-08	True	"""The directed movement of peripheral cell cholesterol, cholest-5-en-3-beta-ol, towards the liver for catabolism."" [GOC:ecd, PMID:7751809]"	18	98	6	15719	0.0612244897959183	0.3333333333333333	query_1	['GO:0030301']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
108	GO:BP	GO:0010543	regulation of platelet activation	2.24153278543009e-08	True	"""Any process that modulates the rate or frequency of platelet activation. Platelet activation is a series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue."" [GOC:BHF, GOC:dph, GOC:tb]"	51	98	8	15719	0.0816326530612244	0.1568627450980392	query_1	['GO:0030168', 'GO:0050865']	['GP1BB', 'GP1BA', 'GP9', 'FLNA', 'APOE', 'F2', 'FGG', 'CTSG']
109	GO:BP	GO:0030155	regulation of cell adhesion	2.44872218827017e-08	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	753	98	22	15719	0.2244897959183673	0.0292164674634794	query_1	['GO:0007155', 'GO:0050794']	['RHOD', 'CR1', 'ITGAV', 'FN1', 'SRC', 'FGA', 'ITGB3', 'ELANE', 'GP1BA', 'FLNA', 'TFRC', 'ITGA5', 'HFE', 'CD46', 'APOA1', 'FGB', 'FGG', 'CTSG', 'VTN', 'TLN1', 'PLAUR', 'PTK2']
42	GO:CC	GO:0032994	protein-lipid complex	2.6248564238254336e-08	True	"""A macromolecular complex containing separate protein and lipid molecules. Separate in this context means not covalently bound to each other."" [GOC:mah]"	40	99	7	16420	0.0707070707070707	0.175	query_1	['GO:0032991']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2', 'HPR']
43	GO:CC	GO:0071682	endocytic vesicle lumen	2.6541500877329092e-08	True	"""The volume enclosed by the membrane of an endocytic vesicle."" [GOC:pde]"	23	99	6	16420	0.0606060606060606	0.2608695652173913	query_1	['GO:0030139', 'GO:0070013']	['HBB', 'APOE', 'APOA1', 'HP', 'MPO', 'HPX']
110	GO:BP	GO:0006826	iron ion transport	3.008636480678153e-08	True	"""The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	53	98	8	15719	0.0816326530612244	0.1509433962264151	query_1	['GO:0000041']	['HEPH', 'TFRC', 'HFE', 'TF', 'TFR2', 'SLC40A1', 'CP', 'HPX']
111	GO:BP	GO:0034446	substrate adhesion-dependent cell spreading	3.8649493826515486e-08	True	"""The morphogenetic process that results in flattening of a cell as a consequence of its adhesion to a substrate."" [GOC:mah, GOC:pf, PMID:17050732]"	110	98	10	15719	0.1020408163265306	0.0909090909090909	query_1	['GO:0031589']	['ITGAV', 'FN1', 'SRC', 'FGA', 'ITGB3', 'FLNA', 'APOA1', 'FGB', 'FGG', 'PTK2']
44	GO:CC	GO:1990779	glycoprotein Ib-IX-V complex	4.193844958832789e-08	True	"""A transmembrane signalling receptor complex found exclusively on platelets. Involved in haemostasis and thrombosis where it aids blood coagulation."" [GOC:bhm, PMID:1730602, PMID:23336709, PMID:25297919]"	5	99	4	16420	0.0404040404040404	0.8	query_1	['GO:0090665', 'GO:0098802']	['GP1BB', 'GP1BA', 'GP9', 'FLNA']
112	GO:BP	GO:0080134	regulation of response to stress	6.686798314853087e-08	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	98	29	15719	0.2959183673469387	0.0210144927536231	query_1	['GO:0006950', 'GO:0048583']	['C3', 'F12', 'ITGB1', 'CR1', 'SRC', 'SPP1', 'FGA', 'FCN2', 'ELANE', 'GP1BA', 'FCN3', 'FLNA', 'F11', 'COLEC11', 'APOE', 'COLEC10', 'CFH', 'APOA1', 'F2', 'FGB', 'PROS1', 'FGG', 'SERPINC1', 'MBL2', 'VTN', 'FCN1', 'PLAUR', 'PTK2', 'HPX']
113	GO:BP	GO:0033627	cell adhesion mediated by integrin	6.686798314853087e-08	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via an integrin, a heterodimeric adhesion receptor formed by the non-covalent association of particular alpha and beta subunits."" [GOC:add, PMID:12213832, PMID:14754902]"	85	98	9	15719	0.0918367346938775	0.1058823529411764	query_1	['GO:0007155']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'VTN', 'PTK2', 'ITGB6']
114	GO:BP	GO:0006810	transport	6.9589090832998e-08	True	"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	4218	98	54	15719	0.5510204081632653	0.0128022759601706	query_1	['GO:0051234']	['PTX3', 'C3', 'GP1BB', 'ITGB1', 'APOC3', 'CR1', 'INHA', 'ITGAV', 'HBB', 'SRC', 'HEPH', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'HBD', 'ELANE', 'GP1BA', 'GP9', 'FCN3', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'WHAMM', 'C4A', 'C4BPB', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'FGB', 'APOA2', 'C4B_2', 'FGG', 'APOA4', 'CFI', 'C2', 'MBL2', 'C4BPA', 'VTN', 'APOC2', 'SLC40A1', 'FCN1', 'PTK2', 'CP', 'HPX']
115	GO:BP	GO:0034113	heterotypic cell-cell adhesion	6.985599887844538e-08	True	"""The attachment of a cell to a cell of a different type via adhesion molecules."" [GOC:add]"	59	98	8	15719	0.0816326530612244	0.135593220338983	query_1	['GO:0098609']	['ITGB1', 'ITGAV', 'FGA', 'ITGB3', 'ITGA5', 'APOA1', 'FGB', 'FGG']
39	REAC	REAC:R-HSA-6802952	Signaling by BRAF and RAF1 fusions	7.039040550482262e-08	True	Signaling by BRAF and RAF1 fusions	63	97	9	10022	0.0927835051546391	0.1428571428571428	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'ITGA2B', 'FGB', 'FGG', 'TLN1']
40	REAC	REAC:R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	7.201716770986509e-08	True	Ficolins bind to repetitive carbohydrate structures on the target cell surface	4	97	4	10022	0.0412371134020618	1.0	query_1	['REAC:R-HSA-166662']	['MASP1', 'FCN2', 'FCN3', 'FCN1']
41	REAC	REAC:R-HSA-9668250	Defective factor IX causes hemophilia B	7.788964403199555e-08	True	Defective factor IX causes hemophilia B	9	97	5	10022	0.0515463917525773	0.5555555555555556	query_1	['REAC:R-HSA-9651496']	['GP1BB', 'GP1BA', 'GP9', 'F11', 'F9']
42	REAC	REAC:R-HSA-8964058	HDL remodeling	7.788964403199555e-08	True	HDL remodeling	9	97	5	10022	0.0515463917525773	0.5555555555555556	query_1	['REAC:R-HSA-8963899']	['APOC3', 'APOE', 'APOA1', 'APOC2', 'ALB']
116	GO:BP	GO:0006898	receptor-mediated endocytosis	8.755466077190924e-08	True	"""An endocytosis process in which cell surface receptors ensure specificity of transport. A specific receptor on the cell surface binds tightly to the extracellular macromolecule (the ligand) that it recognizes; the plasma-membrane region containing the receptor-ligand complex then undergoes endocytosis, forming a transport vesicle containing the receptor-ligand complex and excluding most other plasma-membrane proteins. Receptor-mediated endocytosis generally occurs via clathrin-coated pits and vesicles."" [GOC:mah, ISBN:0716731363]"	244	98	13	15719	0.1326530612244898	0.0532786885245901	query_1	['GO:0006897']	['C3', 'ITGB1', 'APOC3', 'ITGAV', 'ITGB3', 'TFRC', 'APOE', 'HFE', 'LRP1', 'TF', 'TFR2', 'VTN', 'APOC2']
117	GO:BP	GO:0034384	high-density lipoprotein particle clearance	8.978352070675915e-08	True	"""The process in which a high-density lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded."" [GOC:BHF, GOC:mah]"	11	98	5	15719	0.0510204081632653	0.4545454545454545	query_1	['GO:0034381']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
118	GO:BP	GO:0007166	cell surface receptor signaling pathway	9.107747607763419e-08	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	98	41	15719	0.4183673469387755	0.0155420773313116	query_1	['GO:0007165']	['C3', 'GP1BB', 'ITGB1', 'CR1', 'INHA', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'FCN3', 'FLNA', 'COLEC11', 'APOE', 'ITGA2B', 'ITGA5', 'HFE', 'COLEC10', 'INHBE', 'INHBC', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'FGB', 'FGG', 'CTSG', 'MBL2', 'VTN', 'FCN1', 'TLN1', 'PLAUR', 'PTK2', 'ITGB6', 'C5', 'HPX']
43	REAC	REAC:R-HSA-8963898	Plasma lipoprotein assembly	9.67084341157508e-08	True	Plasma lipoprotein assembly	18	97	6	10022	0.0618556701030927	0.3333333333333333	query_1	['REAC:R-HSA-174824']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2']
119	GO:BP	GO:0006879	intracellular iron ion homeostasis	1.0139860457363952e-07	True	"""A homeostatic process involved in the maintenance of a steady state level of iron ions within a cell."" [GOC:ai, GOC:mah]"	62	98	8	15719	0.0816326530612244	0.1290322580645161	query_1	['GO:0030003', 'GO:0098771']	['HEPH', 'TFRC', 'HFE', 'TF', 'TFR2', 'SLC40A1', 'CP', 'HPX']
45	GO:CC	GO:0043235	receptor complex	1.1799466699383523e-07	True	"""Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:go_curators]"	466	99	16	16420	0.1616161616161616	0.0343347639484978	query_1	['GO:0032991']	['GP1BB', 'ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'GP1BA', 'GP9', 'FLNA', 'TFRC', 'ITGA2B', 'ITGA5', 'HFE', 'LRP1', 'TF', 'TFR2', 'ITGB6']
120	GO:BP	GO:0010810	regulation of cell-substrate adhesion	1.2258220037764558e-07	True	"""Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	205	98	12	15719	0.1224489795918367	0.0585365853658536	query_1	['GO:0030155', 'GO:0031589']	['FN1', 'SRC', 'FGA', 'ITGB3', 'FLNA', 'ITGA5', 'APOA1', 'FGB', 'FGG', 'VTN', 'TLN1', 'PTK2']
44	REAC	REAC:R-HSA-8963899	Plasma lipoprotein remodeling	1.4045300788260618e-07	True	Plasma lipoprotein remodeling	32	97	7	10022	0.0721649484536082	0.21875	query_1	['REAC:R-HSA-174824']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4', 'APOC2', 'ALB']
121	GO:BP	GO:0051128	regulation of cellular component organization	1.481699835716298e-07	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	98	38	15719	0.3877551020408163	0.0161908819769919	query_1	['GO:0016043', 'GO:0050794']	['RHOD', 'PTX3', 'C3', 'ITGB1', 'APOC3', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'FCN2', 'FCN3', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'WHAMM', 'C4A', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'APOA2', 'C4B_2', 'APOA4', 'C2', 'MBL2', 'VTN', 'APOC2', 'FCN1', 'TLN1', 'PLAUR', 'PTK2']
122	GO:BP	GO:0071827	plasma lipoprotein particle organization	1.7861541037942978e-07	True	"""A protein-lipid complex subunit organization process that results in the formation, disassembly, or alteration of a plasma lipoprotein particle. A plasma lipoprotein particle is a spherical particle with a hydrophobic core of triglycerides and/or cholesterol esters, surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins."" [GOC:BHF, GOC:mah]"	43	98	7	15719	0.0714285714285714	0.1627906976744186	query_1	['GO:0032501', 'GO:0071825']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'MPO', 'APOA4', 'APOC2']
123	GO:BP	GO:0032368	regulation of lipid transport	2.233038839855651e-07	True	"""Any process that modulates the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	133	98	10	15719	0.1020408163265306	0.075187969924812	query_1	['GO:0006869', 'GO:0051049', 'GO:1905952']	['APOC3', 'ITGAV', 'SPP1', 'ITGB3', 'APOE', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
45	REAC	REAC:R-HSA-3000178	ECM proteoglycans	2.3189804986863927e-07	True	ECM proteoglycans	73	97	9	10022	0.0927835051546391	0.1232876712328767	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'ITGA2B', 'VTN', 'ITGB6']
124	GO:BP	GO:0045916	negative regulation of complement activation	2.31927751210474e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of complement activation."" [GOC:go_curators]"	13	98	5	15719	0.0510204081632653	0.3846153846153846	query_1	['GO:0002698', 'GO:0002921', 'GO:0006956', 'GO:0030449']	['MASP1', 'CR1', 'C4BPB', 'CD46', 'C4BPA']
125	GO:BP	GO:0031639	plasminogen activation	2.31927751210474e-07	True	"""The process in which inactive plasminogen is processed to active plasmin. This process includes cleavage at an internal Arg-Val site to form an N-terminal A-chain and C-terminal B-chain held together by a disulfide bond, and can include further proteolytic cleavage events to remove the preactivation peptide."" [PMID:9548733]"	26	98	6	15719	0.0612244897959183	0.2307692307692307	query_1	['GO:0031638']	['F12', 'FGA', 'F11', 'FGB', 'FGG', 'PLAUR']
126	GO:BP	GO:0051346	negative regulation of hydrolase activity	2.3294606184839213e-07	True	"""Any process that stops or reduces the rate of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	319	98	14	15719	0.1428571428571428	0.0438871473354232	query_1	['GO:0043086', 'GO:0051336']	['PTX3', 'APOC3', 'CR1', 'SRC', 'SERPINA3', 'ITIH2', 'SERPIND1', 'APOA1', 'LRP1', 'APOA2', 'SERPINC1', 'SERPINA1', 'VTN', 'PLAUR']
127	GO:BP	GO:0071825	protein-lipid complex subunit organization	2.392682704474344e-07	True	"""Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein-lipid complex."" [GOC:mah]"	45	98	7	15719	0.0714285714285714	0.1555555555555555	query_1	['GO:0043933']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'MPO', 'APOA4', 'APOC2']
128	GO:BP	GO:0051234	establishment of localization	2.4735723385457284e-07	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4373	98	54	15719	0.5510204081632653	0.0123485021724216	query_1	['GO:0051179']	['PTX3', 'C3', 'GP1BB', 'ITGB1', 'APOC3', 'CR1', 'INHA', 'ITGAV', 'HBB', 'SRC', 'HEPH', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'HBD', 'ELANE', 'GP1BA', 'GP9', 'FCN3', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'CFP', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'WHAMM', 'C4A', 'C4BPB', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'FGB', 'APOA2', 'C4B_2', 'FGG', 'APOA4', 'CFI', 'C2', 'MBL2', 'C4BPA', 'VTN', 'APOC2', 'SLC40A1', 'FCN1', 'PTK2', 'CP', 'HPX']
46	REAC	REAC:R-HSA-430116	GP1b-IX-V activation signalling	2.573074646769332e-07	True	GP1b-IX-V activation signalling	11	97	5	10022	0.0515463917525773	0.4545454545454545	query_1	['REAC:R-HSA-76002']	['GP1BB', 'VWF', 'GP1BA', 'GP9', 'FLNA']
129	GO:BP	GO:0042592	homeostatic process	3.3274984351253294e-07	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1586	98	30	15719	0.3061224489795918	0.0189155107187894	query_1	['GO:0008150']	['GP1BB', 'ITGB1', 'APOC3', 'INHA', 'SRC', 'HEPH', 'SPP1', 'ITGB3', 'SERPINA3', 'ELANE', 'GP1BA', 'GP9', 'FLNA', 'TFRC', 'APOE', 'HFE', 'NELL2', 'PRDX4', 'APOA1', 'F2', 'TF', 'TFR2', 'APOA2', 'APOA4', 'APOC2', 'SLC40A1', 'ITGB6', 'CP', 'ALB', 'HPX']
130	GO:BP	GO:0010901	regulation of very-low-density lipoprotein particle remodeling	4.478756619527904e-07	True	"""Any process that modulates the rate, frequency or extent of very-low-density lipoprotein particle remodeling. Very-low-density lipoprotein particle remodeling is the acquisition, loss or modification of a protein or lipid within a very-low-density lipoprotein particle, including the hydrolysis of triglyceride by hepatic lipase or lipoprotein lipase and the subsequent loss of free fatty acid."" [GOC:tb]"	6	98	4	15719	0.0408163265306122	0.6666666666666666	query_1	['GO:0034372', 'GO:0051128', 'GO:0051239']	['APOC3', 'APOA1', 'APOA2', 'APOC2']
131	GO:BP	GO:0001775	cell activation	4.630457415931805e-07	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1059	98	24	15719	0.2448979591836734	0.0226628895184136	query_1	['GO:0009987', 'GO:0032501']	['GP1BB', 'ITGB1', 'CR1', 'INHA', 'FN1', 'HBB', 'SRC', 'FGA', 'ITGB3', 'VWF', 'GP1BA', 'GP9', 'FLNA', 'TFRC', 'APOE', 'HFE', 'CD46', 'LRP1', 'F2', 'FGB', 'FGG', 'CTSG', 'TLN1', 'ITGB6']
132	GO:BP	GO:0050789	regulation of biological process	4.958121890147739e-07	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	10508	98	89	15719	0.9081632653061223	0.0084697373429767	query_1	['GO:0008150', 'GO:0065007']	['RHOD', 'MASP1', 'PTX3', 'C3', 'F12', 'GP1BB', 'ITGB1', 'MASP2', 'APOC3', 'CR1', 'INHA', 'ITGB5', 'ITGAV', 'FN1', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'VWF', 'SERPINA3', 'TGFB3', 'FCN2', 'HBD', 'ELANE', 'GP1BA', 'GP9', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'CFP', 'ITGA2B', 'ITGA5', 'HFE', 'COLEC10', 'CRP', 'INHBE', 'PRDX4', 'INHBC', 'CFHR4', 'ITIH2', 'SERPIND1', 'WHAMM', 'CFH', 'C4A', 'C4BPB', 'ZNF655', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'ORM2', 'TFR2', 'HP', 'FGB', 'APOA2', 'PROS1', 'C4B_2', 'FGG', 'MPO', 'APOA4', 'CFI', 'SERPINC1', 'CFB', 'CFHR1', 'C2', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'FCN1', 'TLN1', 'PLAUR', 'PTK2', 'ITGB6', 'C9', 'CP', 'ALB', 'C5', 'HPX', 'ORM1', 'HPR']
47	REAC	REAC:R-HSA-6802957	Oncogenic MAPK signaling	5.021398275146508e-07	True	Oncogenic MAPK signaling	80	97	9	10022	0.0927835051546391	0.1125	query_1	['REAC:R-HSA-5663202']	['FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'ITGA2B', 'FGB', 'FGG', 'TLN1']
46	GO:CC	GO:0005577	fibrinogen complex	5.428346300775236e-07	True	"""A highly soluble, elongated protein complex found in blood plasma and involved in clot formation. It is converted into fibrin monomer by the action of thrombin. In the mouse, fibrinogen is a hexamer, 46 nm long and 9 nm maximal diameter, containing two sets of nonidentical chains (alpha, beta, and gamma) linked together by disulfide bonds."" [ISBN:0198547684]"	8	99	4	16420	0.0404040404040404	0.5	query_1	['GO:0005615', 'GO:0032991']	['FN1', 'FGA', 'FGB', 'FGG']
47	GO:CC	GO:1990712	HFE-transferrin receptor complex	5.428346300775236e-07	True	"""A protein complex containing at least HFE and a transferrin receptor (either TFR1/TFRC or TFR2), proposed to play a role in the sensing of transferrin-bound Fe (Fe2-Tf) on the plasma membrane to regulate hepcidin transcription."" [GOC:BHF, GOC:kom, PMID:25147378]"	8	99	4	16420	0.0404040404040404	0.5	query_1	['GO:0098802']	['TFRC', 'HFE', 'TF', 'TFR2']
133	GO:BP	GO:0048519	negative regulation of biological process	6.483135010307206e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5055	98	58	15719	0.5918367346938775	0.0114737883283877	query_1	['GO:0008150', 'GO:0050789']	['MASP1', 'PTX3', 'F12', 'GP1BB', 'ITGB1', 'APOC3', 'CR1', 'INHA', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'SERPINA3', 'TGFB3', 'ELANE', 'GP1BA', 'GP9', 'FCN3', 'FLNA', 'TFRC', 'F11', 'APOE', 'ITGA5', 'HFE', 'CRP', 'PRDX4', 'ITIH2', 'SERPIND1', 'C4BPB', 'ZNF655', 'CD46', 'APOA1', 'LRP1', 'F2', 'HP', 'FGB', 'APOA2', 'PROS1', 'FGG', 'MPO', 'APOA4', 'SERPINC1', 'CTSG', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'APOC2', 'SLC40A1', 'FCN1', 'PLAUR', 'PTK2', 'CP', 'ALB', 'C5', 'ORM1']
134	GO:BP	GO:0009617	response to bacterium	6.985901203302966e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]"	681	98	19	15719	0.1938775510204081	0.0279001468428781	query_1	['GO:0051707']	['C3', 'SRC', 'FGA', 'FCN2', 'ELANE', 'CFP', 'CRP', 'C4BPB', 'F2', 'TF', 'HP', 'FGB', 'C4B_2', 'MPO', 'CFB', 'C2', 'CTSG', 'MBL2', 'C4BPA']
135	GO:BP	GO:0034375	high-density lipoprotein particle remodeling	7.185416414219734e-07	True	"""The acquisition, loss or modification of a protein or lipid within a high-density lipoprotein particle, including the hydrolysis of triglyceride by hepatic lipase, with the subsequent loss of free fatty acid, and the transfer of cholesterol esters from LDL to a triglyceride-rich lipoprotein particle by cholesteryl ester transfer protein (CETP), with the simultaneous transfer of triglyceride to LDL."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	16	98	5	15719	0.0510204081632653	0.3125	query_1	['GO:0034369']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOA4']
48	REAC	REAC:R-HSA-3000170	Syndecan interactions	7.843840369240244e-07	True	Syndecan interactions	25	97	6	10022	0.0618556701030927	0.24	query_1	['REAC:R-HSA-3000171']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'VTN']
136	GO:BP	GO:0033344	cholesterol efflux	8.334833451368446e-07	True	"""The directed movement of cholesterol, cholest-5-en-3-beta-ol, out of a cell or organelle."" [GOC:sart]"	54	98	7	15719	0.0714285714285714	0.1296296296296296	query_1	['GO:0030301']	['APOC3', 'APOE', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
137	GO:BP	GO:0002698	negative regulation of immune effector process	9.327312966045144e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune effector process."" [GOC:add]"	117	98	9	15719	0.0918367346938775	0.0769230769230769	query_1	['GO:0002252', 'GO:0002683', 'GO:0002697']	['MASP1', 'CR1', 'TGFB3', 'HFE', 'C4BPB', 'CD46', 'APOA1', 'APOA2', 'C4BPA']
138	GO:BP	GO:0002699	positive regulation of immune effector process	9.327312966045144e-07	True	"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]"	249	98	12	15719	0.1224489795918367	0.0481927710843373	query_1	['GO:0002252', 'GO:0002684', 'GO:0002697']	['C3', 'CR1', 'FCN2', 'FCN3', 'TFRC', 'COLEC11', 'CFP', 'COLEC10', 'CD46', 'MBL2', 'FCN1', 'HPX']
49	REAC	REAC:R-HSA-975634	Retinoid metabolism and transport	9.363743958299314e-07	True	Retinoid metabolism and transport	42	97	7	10022	0.0721649484536082	0.1666666666666666	query_1	['REAC:R-HSA-2187338', 'REAC:R-HSA-6806667']	['APOC3', 'APOE', 'APOA1', 'LRP1', 'APOA2', 'APOA4', 'APOC2']
139	GO:BP	GO:0019058	viral life cycle	9.655689050541052e-07	True	"""A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome."" [ISBN:1555811272]"	303	98	13	15719	0.1326530612244898	0.0429042904290429	query_1	['GO:0016032']	['PTX3', 'ITGB1', 'CR1', 'ITGB5', 'ITGAV', 'ITGB3', 'FCN3', 'TFRC', 'APOE', 'ITGA5', 'CD46', 'FCN1', 'ITGB6']
