KID syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
31	REAC	REAC:R-HSA-451927	Interleukin-2 family signaling	1.517778288712721e-13	True	Interleukin-2 family signaling	44	100	12	10022	0.12	0.2727272727272727	query_1	['REAC:R-HSA-449147']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'PIK3CD', 'GRB2', 'PIK3CA', 'SYK', 'PTK2B', 'PIK3R3', 'LCK']
32	REAC	REAC:R-HSA-2172127	DAP12 interactions	1.6470550077970864e-13	True	DAP12 interactions	33	100	11	10022	0.11	0.3333333333333333	query_1	['REAC:R-HSA-168249']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'PIK3CA', 'SYK', 'PLCG1', 'LCK']
14	GO:CC	GO:0098796	membrane protein complex	1.862946423865725e-13	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	1249	102	35	16420	0.3431372549019608	0.0280224179343474	query_1	['GO:0016020', 'GO:0032991']	['GJB6', 'ITGB1', 'ITGA9', 'PIK3CB', 'ITGB5', 'ITGAV', 'PIK3R2', 'ITGB3', 'PIK3R1', 'SHC1', 'TFRC', 'CTNNB1', 'PIK3CD', 'ITGA2B', 'KCNK1', 'ITGA5', 'HFE', 'GJB1', 'ITGA4', 'ZAP70', 'LYN', 'GJB2', 'GRB2', 'EGFR', 'TF', 'TFR2', 'PIK3CA', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'VTN', 'VCAM1', 'ITGB6', 'CBL']
15	GO:CC	GO:0031982	vesicle	2.037397813391559e-13	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3794	102	60	16420	0.5882352941176471	0.0158144438587243	query_1	['GO:0043227']	['RAPGEF1', 'C3', 'ITGB1', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'PLCG2', 'TFRC', 'CTNNB1', 'ITGA2B', 'KCNK1', 'ITGA5', 'HFE', 'FYN', 'ITGA4', 'CXCL12', 'MS4A1', 'LYN', 'GRB2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'KDR', 'FGB', 'VCL', 'SYK', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'IGHM', 'VEGFA', 'SH3GL2', 'SERPINA1', 'ABCC1', 'VTN', 'CD81', 'TLN1', 'VCAM1', 'NRP1', 'LCK', 'CD19', 'ALB', 'ACKR3', 'HPX', 'FLT1', 'CR2', 'GOLGA5', 'PLXNA1', 'HPR']
33	REAC	REAC:R-HSA-5683057	MAPK family signaling cascades	2.149039272216457e-13	True	MAPK family signaling cascades	300	100	23	10022	0.23	0.0766666666666666	query_1	['REAC:R-HSA-162582']	['MET', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'FGG', 'ERBB2', 'TLN1', 'PTK2', 'PTPN11', 'PDGFRA']
16	GO:CC	GO:0072562	blood microparticle	2.6409315449315425e-13	True	"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]"	116	102	14	16420	0.1372549019607843	0.1206896551724138	query_1	['GO:0005615', 'GO:0110165']	['C3', 'FN1', 'FGA', 'TFRC', 'ITGA2B', 'APOA1', 'TF', 'FGB', 'FGG', 'IGHM', 'VTN', 'ALB', 'HPX', 'HPR']
154	GO:BP	GO:0045765	regulation of angiogenesis	2.7058265096309053e-13	True	"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]"	276	101	19	15719	0.1881188118811881	0.0688405797101449	query_1	['GO:0001525', 'GO:0022603', 'GO:1901342']	['C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGB3', 'HGF', 'SHC1', 'CTNNB1', 'PIK3CD', 'ITGA5', 'CXCR4', 'KDR', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
155	GO:BP	GO:0043085	positive regulation of catalytic activity	2.9022054291466033e-13	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	101	33	15719	0.3267326732673267	0.0306122448979591	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'PLXNB1', 'SRC', 'ITGB3', 'CRK', 'ITK', 'CTNNB1', 'SOS1', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'CD81', 'PTK2', 'LCK', 'CD19', 'PDGFRA', 'SEMA4D', 'FLT1']
156	GO:BP	GO:0051130	positive regulation of cellular component organization	2.961382042212011e-13	True	"""Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	1079	101	33	15719	0.3267326732673267	0.0305838739573679	query_1	['GO:0016043', 'GO:0048522', 'GO:0051128']	['MET', 'RAPGEF1', 'C3', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'PLCG2', 'TFRC', 'CTNNB1', 'HFE', 'PXN', 'FYN', 'CXCL12', 'LYN', 'GRB2', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'PTK2B', 'VEGFA', 'VTN', 'L1CAM', 'NRP1', 'CBL', 'SEMA4D', 'PLXNA1']
157	GO:BP	GO:0044093	positive regulation of molecular function	3.160221886756478e-13	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	1469	101	38	15719	0.3762376237623762	0.0258679373723621	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'PLXNB1', 'SRC', 'ITGB3', 'CRK', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'HFE', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CD19', 'PDGFRA', 'SEMA4D', 'FLT1']
158	GO:BP	GO:1901342	regulation of vasculature development	3.429573162096301e-13	True	"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]"	280	101	19	15719	0.1881188118811881	0.0678571428571428	query_1	['GO:0001944', 'GO:2000026']	['C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'ITGB3', 'HGF', 'SHC1', 'CTNNB1', 'PIK3CD', 'ITGA5', 'CXCR4', 'KDR', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
159	GO:BP	GO:0010243	response to organonitrogen compound	3.478591128778428e-13	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [PMID:9869419]"	1014	101	32	15719	0.3168316831683168	0.0315581854043392	query_1	['GO:0010033', 'GO:1901698']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'CXCR4', 'VKORC1', 'EGFR', 'PIK3CA', 'SYK', 'PTK2B', 'PIK3R3', 'CRKL', 'ABCC1', 'CD81', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
160	GO:BP	GO:0071417	cellular response to organonitrogen compound	3.738673955005974e-13	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	629	101	26	15719	0.2574257425742574	0.0413354531001589	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GJB2', 'GRB2', 'CXCR4', 'EGFR', 'PIK3CA', 'PIK3R3', 'CRKL', 'ABCC1', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
161	GO:BP	GO:0051247	positive regulation of protein metabolic process	4.15716613386869e-13	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1401	101	37	15719	0.3663366336633663	0.0264097073518915	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['C3', 'ADRA1A', 'VEGFB', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'PLCG2', 'TFRC', 'CTNNB1', 'ITGA5', 'HFE', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'TFR2', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'HPX', 'SEMA4D', 'FLT1', 'PGF']
34	REAC	REAC:R-HSA-177929	Signaling by EGFR	4.4367112067530443e-13	True	Signaling by EGFR	48	100	12	10022	0.12	0.25	query_1	['REAC:R-HSA-9006934']	['SRC', 'PIK3R1', 'SHC1', 'SOS1', 'PXN', 'EGFR', 'PIK3CA', 'PLCG1', 'SH3KBP1', 'SH3GL2', 'CBL', 'PTPN11']
17	GO:CC	GO:0098802	plasma membrane signaling receptor complex	4.692472652573543e-13	True	"""Any protein complex that is part of the plasma membrane and which functions as a signaling receptor."" [GOC:dos]"	256	102	18	16420	0.1764705882352941	0.0703125	query_1	['GO:0043235', 'GO:0098797']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'TFRC', 'ITGA2B', 'ITGA5', 'HFE', 'ITGA4', 'ZAP70', 'LYN', 'TF', 'TFR2', 'SYK', 'ERBB2', 'PTK2B', 'ITGB6']
162	GO:BP	GO:0043549	regulation of kinase activity	5.019661578496429e-13	True	"""Any process that modulates the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:bf]"	697	101	27	15719	0.2673267326732673	0.0387374461979913	query_1	['GO:0042325', 'GO:0051338']	['MET', 'PIK3CB', 'ADRA1A', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CD81', 'PTK2', 'CD19', 'CBL', 'PDGFRA', 'FLT1']
163	GO:BP	GO:0043542	endothelial cell migration	5.994226800540263e-13	True	"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]"	212	101	17	15719	0.1683168316831683	0.080188679245283	query_1	['GO:0010631']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'ITGB3', 'PIK3CD', 'PXN', 'NRP2', 'APOA1', 'PIK3CA', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PIK3R3', 'PTK2', 'NRP1']
164	GO:BP	GO:0050793	regulation of developmental process	6.10927444141628e-13	True	"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]"	2324	101	47	15719	0.4653465346534653	0.0202237521514629	query_1	['GO:0032502', 'GO:0050789']	['C3', 'ITGB1', 'PIK3CB', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'FYN', 'ZAP70', 'CXCL12', 'LYN', 'CXCR4', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'SYK', 'PLCG1', 'ERBB2', 'CERS2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'NANOG']
165	GO:BP	GO:0051338	regulation of transferase activity	6.496426375828494e-13	True	"""Any process that modulates the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [GOC:ai]"	832	101	29	15719	0.2871287128712871	0.0348557692307692	query_1	['GO:0050790']	['MET', 'PIK3CB', 'ADRA1A', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CD81', 'PTK2', 'CD19', 'CBL', 'PDGFRA', 'FLT1']
36	REAC	REAC:R-HSA-114608	Platelet degranulation 	7.050434149515475e-13	True	Platelet degranulation 	121	100	16	10022	0.16	0.1322314049586777	query_1	['REAC:R-HSA-76005']	['VEGFB', 'FN1', 'FGA', 'ITGB3', 'TGFB3', 'HGF', 'ITGA2B', 'APOA1', 'TF', 'FGB', 'VCL', 'FGG', 'VEGFA', 'SERPINA1', 'TLN1', 'ALB']
35	REAC	REAC:R-HSA-449147	Signaling by Interleukins	7.050434149515475e-13	True	Signaling by Interleukins	467	100	27	10022	0.27	0.0578158458244111	query_1	['REAC:R-HSA-1280215']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'FN1', 'PIK3R2', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'GRB2', 'PIK3CA', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VCAM1', 'LCK', 'BLNK', 'CBL', 'PTPN11', 'NANOG']
166	GO:BP	GO:0043066	negative regulation of apoptotic process	7.08127746100465e-13	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	835	101	29	15719	0.2871287128712871	0.0347305389221556	query_1	['GO:0006915', 'GO:0042981', 'GO:0043069']	['ITGB1', 'PIK3CB', 'VEGFB', 'ITGAV', 'SRC', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'TFRC', 'CTNNB1', 'ITGA5', 'CXCL12', 'EGFR', 'PIK3CA', 'KDR', 'FGB', 'FGG', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'PTK2', 'NRP1', 'ALB', 'CBL', 'ACKR3', 'SEMA4D']
167	GO:BP	GO:0010811	positive regulation of cell-substrate adhesion	7.22373661916602e-13	True	"""Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	120	101	14	15719	0.1386138613861386	0.1166666666666666	query_1	['GO:0010810', 'GO:0031589', 'GO:0045785']	['FN1', 'FGA', 'ITGB3', 'CRK', 'ITGA5', 'APOA1', 'KDR', 'FGB', 'FGG', 'PTK2B', 'VEGFA', 'CRKL', 'VTN', 'NRP1']
168	GO:BP	GO:0016049	cell growth	9.01250217530612e-13	True	"""The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."" [GOC:ai]"	486	101	23	15719	0.2277227722772277	0.0473251028806584	query_1	['GO:0009987', 'GO:0040007']	['ITGB1', 'ADRA1A', 'FN1', 'BCAR1', 'SPP1', 'CRK', 'CTNNB1', 'ITGA4', 'CXCL12', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'VCL', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
37	REAC	REAC:R-HSA-1433557	Signaling by SCF-KIT	1.1792978834308934e-12	True	Signaling by SCF-KIT	39	100	11	10022	0.11	0.282051282051282	query_1	['REAC:R-HSA-9006934']	['PIK3R2', 'PIK3R1', 'SOS1', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'PIK3R3', 'LCK', 'CBL', 'PTPN11']
169	GO:BP	GO:0000902	cell morphogenesis	1.2076203009439177e-12	True	"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"	921	101	30	15719	0.297029702970297	0.0325732899022801	query_1	['GO:0009653']	['MET', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'CRK', 'HGF', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'EGFR', 'KDR', 'VCL', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'ITGB6', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
38	REAC	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	1.271293285150003e-12	True	Response to elevated platelet cytosolic Ca2+	126	100	16	10022	0.16	0.1269841269841269	query_1	['REAC:R-HSA-76002']	['VEGFB', 'FN1', 'FGA', 'ITGB3', 'TGFB3', 'HGF', 'ITGA2B', 'APOA1', 'TF', 'FGB', 'VCL', 'FGG', 'VEGFA', 'SERPINA1', 'TLN1', 'ALB']
170	GO:BP	GO:1901699	cellular response to nitrogen compound	1.3907540697803456e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	667	101	26	15719	0.2574257425742574	0.0389805097451274	query_1	['GO:0070887', 'GO:1901698']	['RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GJB2', 'GRB2', 'CXCR4', 'EGFR', 'PIK3CA', 'PIK3R3', 'CRKL', 'ABCC1', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
171	GO:BP	GO:0065009	regulation of molecular function	1.4217001121361124e-12	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2480	101	48	15719	0.4752475247524752	0.0193548387096774	query_1	['GO:0065007']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'PLXNB1', 'ITGAV', 'PIK3R2', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'HFE', 'FYN', 'ITGA4', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'KDR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SERPINA1', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CD19', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1']
39	REAC	REAC:R-HSA-445144	Signal transduction by L1	1.5789886068484433e-12	True	Signal transduction by L1	20	100	9	10022	0.09	0.45	query_1	['REAC:R-HSA-373760']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'EGFR', 'L1CAM', 'NRP1']
172	GO:BP	GO:1901698	response to nitrogen compound	1.9237766235707084e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1082	101	32	15719	0.3168316831683168	0.0295748613678373	query_1	['GO:0042221']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'CXCR4', 'VKORC1', 'EGFR', 'PIK3CA', 'SYK', 'PTK2B', 'PIK3R3', 'CRKL', 'ABCC1', 'CD81', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
173	GO:BP	GO:0045766	positive regulation of angiogenesis	1.9237766235707084e-12	True	"""Any process that activates or increases angiogenesis."" [GOC:go_curators]"	159	101	15	15719	0.1485148514851485	0.0943396226415094	query_1	['GO:0001525', 'GO:0045765', 'GO:1904018']	['C3', 'ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'PIK3CD', 'ITGA5', 'CXCR4', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
174	GO:BP	GO:1904018	positive regulation of vasculature development	1.9237766235707084e-12	True	"""Any process that activates or increases the frequency, rate or extent of vasculature development."" [GO_REF:0000058, GOC:TermGenie, PMID:21472453]"	159	101	15	15719	0.1485148514851485	0.0943396226415094	query_1	['GO:0001944', 'GO:0051094', 'GO:0051240', 'GO:1901342']	['C3', 'ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'PIK3CD', 'ITGA5', 'CXCR4', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
175	GO:BP	GO:0050878	regulation of body fluid levels	2.083085733910592e-12	True	"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]"	356	101	20	15719	0.198019801980198	0.0561797752808988	query_1	['GO:0065008']	['PIK3CB', 'FN1', 'SRC', 'FGA', 'ITGB3', 'PLCG2', 'LYN', 'VKORC1', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FGG', 'VEGFA', 'SERPINA1', 'VTN', 'TLN1', 'LCK', 'PDGFRA']
176	GO:BP	GO:0034113	heterotypic cell-cell adhesion	2.110265032323561e-12	True	"""The attachment of a cell to a cell of a different type via adhesion molecules."" [GOC:add]"	59	101	11	15719	0.1089108910891089	0.1864406779661017	query_1	['GO:0098609']	['ITGB1', 'ITGAV', 'FGA', 'ITGB3', 'ITGA5', 'ITGA4', 'APOA1', 'FGB', 'FGG', 'VCAM1', 'LCK']
177	GO:BP	GO:0043550	regulation of lipid kinase activity	2.110265032323561e-12	True	"""Any process that modulates the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:bf]"	59	101	11	15719	0.1089108910891089	0.1864406779661017	query_1	['GO:0043549']	['PIK3R2', 'SRC', 'PIK3R1', 'LYN', 'PTK2B', 'PIK3R3', 'CD81', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
18	GO:CC	GO:0005911	cell-cell junction	2.369544392449227e-12	True	"""A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects."" [GOC:aruk, GOC:bc, GOC:dgh, GOC:hb, GOC:mah, PMID:21422226, PMID:28096264]"	475	102	22	16420	0.2156862745098039	0.0463157894736842	query_1	['GO:0070161']	['GJB6', 'ITGB1', 'ITGB3', 'PIK3R1', 'ITK', 'CTNNB1', 'ITGA5', 'PXN', 'GJB1', 'LAT', 'ZAP70', 'LYN', 'GJB2', 'GRB2', 'LCP2', 'PIK3CA', 'VCL', 'VAV1', 'PLCG1', 'SH3KBP1', 'VEGFA', 'TLN1']
178	GO:BP	GO:1901653	cellular response to peptide	2.39740476570866e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	359	101	20	15719	0.198019801980198	0.0557103064066852	query_1	['GO:0071417', 'GO:1901652', 'GO:1901701']	['PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'PIK3R3', 'ABCC1', 'VCAM1', 'PTK2', 'PTPN11']
179	GO:BP	GO:0006954	inflammatory response	2.5696247752246527e-12	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	749	101	27	15719	0.2673267326732673	0.0360480640854472	query_1	['GO:0006952']	['C3', 'ITGB1', 'FN1', 'SRC', 'SPP1', 'HGF', 'PLCG2', 'TFRC', 'PIK3CD', 'FYN', 'LAT', 'CERS6', 'LYN', 'TNC', 'CXCR4', 'APOA1', 'TFR2', 'SYK', 'PLCG1', 'FCGR1A', 'SERPINA1', 'ABCC1', 'CD81', 'VCAM1', 'ITGB6', 'BLNK', 'HPR']
40	REAC	REAC:R-HSA-1643685	Disease	2.927578520476783e-12	True	Disease	1723	100	49	10022	0.49	0.028438769587928	query_1	['REAC:0000000']	['MET', 'C3', 'ITGB1', 'PIK3CB', 'FN1', 'PIK3R2', 'SRC', 'FGA', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA2B', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'CXCR4', 'EGFR', 'APOA1', 'GALNT12', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'SH3KBP1', 'IGHM', 'PIK3R3', 'SH3GL2', 'TLN1', 'PTK2', 'NRP1', 'LCK', 'CD19', 'BLNK', 'CBL', 'PTPN11', 'PDGFRA']
180	GO:BP	GO:0051050	positive regulation of transport	3.2222509949697157e-12	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	889	101	29	15719	0.2871287128712871	0.0326209223847019	query_1	['GO:0006810', 'GO:0048518', 'GO:0051049']	['RAPGEF1', 'C3', 'ITGB1', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'TGFB3', 'PIK3R1', 'PLCG2', 'HFE', 'FYN', 'CXCL12', 'MS4A1', 'APOA1', 'TF', 'TFR2', 'FGB', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'VEGFA', 'VTN', 'CD81', 'CD19', 'CBL', 'PTPN11']
