Ataxia-telangiectasia	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
120	GO:BP	GO:0002200	somatic diversification of immune receptors	7.409181972340246e-23	True	"""The somatic process allowing for the production of immune receptors whose specificity is not encoded in the germline genomic sequences."" [GOC:add, ISBN:0781735149, PMID:16102575, PMID:16166509]"	78	100	18	17376	0.18	0.2307692307692307	query_1	['GO:0002376', 'GO:0002520']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
121	REAC	REAC:R-HSA-5696398	Nucleotide Excision Repair	1.9752193054516369e-22	True	Nucleotide Excision Repair	109	100	19	17376	0.19	0.1743119266055046	query_1	['REAC:R-HSA-73894']	['XPA', 'POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
122	GO:BP	GO:0104004	cellular response to environmental stimulus	2.339246209263433e-22	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]"	328	100	27	17376	0.27	0.0823170731707317	query_1	['GO:0051716']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'TP53', 'KDM1A']
123	GO:BP	GO:0016445	somatic diversification of immunoglobulins	2.339246209263433e-22	True	"""The somatic process that results in the generation of sequence diversity of immunoglobulins."" [GOC:add, GOC:ma, ISBN:0781735149]"	67	100	17	17376	0.17	0.2537313432835821	query_1	['GO:0002200', 'GO:0002377']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
124	GO:BP	GO:0071214	cellular response to abiotic stimulus	2.339246209263433e-22	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]"	328	100	27	17376	0.27	0.0823170731707317	query_1	['GO:0009628', 'GO:0104004']	['HUS1', 'RAD9B', 'XPA', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'TP53', 'KDM1A']
125	GO:BP	GO:0045005	DNA-templated DNA replication maintenance of fidelity	2.339246209263433e-22	True	"""A DNA metabolic process that prevents or corrects errors to ensure that DNA is replicated accurately. Errors can be corrected either by intrinsic DNA polymerase proofreading activity or via mismatch repair."" [GOC:mah, GOC:vw]"	53	100	16	17376	0.16	0.3018867924528302	query_1	['GO:0006259', 'GO:0006261']	['RBBP8', 'NBN', 'MUS81', 'RAD50', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'POLD1', 'BARD1', 'WRN', 'POLE']
126	GO:BP	GO:0007093	mitotic cell cycle checkpoint signaling	2.339246209263433e-22	True	"""A signaling process that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]"	144	100	21	17376	0.21	0.1458333333333333	query_1	['GO:0000075', 'GO:0045930', 'GO:1903047']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'XRCC3', 'TP53']
127	REAC	REAC:R-HSA-174414	Processive synthesis on the C-strand of the telomere	2.620345739610794e-22	True	Processive synthesis on the C-strand of the telomere	19	100	12	17376	0.12	0.631578947368421	query_1	['REAC:R-HSA-174417']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'POLD1', 'WRN', 'POLD2']
128	GO:BP	GO:0044238	primary metabolic process	3.37095526448672e-22	True	"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]"	9425	100	98	17376	0.98	0.0103978779840848	query_1	['GO:0008152']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'NDUFAF5', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
129	GO:BP	GO:0051726	regulation of cell cycle	4.607901067007294e-22	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1084	100	41	17376	0.41	0.0378228782287822	query_1	['GO:0007049', 'GO:0050794']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'RAD51D', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'XRCC3', 'RAD51C', 'RMI2', 'TP53', 'RAD51B']
130	GO:BP	GO:0010332	response to gamma radiation	5.915457764963719e-22	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]"	56	100	16	17376	0.16	0.2857142857142857	query_1	['GO:0010212']	['XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'ATR', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'RAD51', 'PRKDC', 'XRCC2', 'POLB', 'WRN', 'TP53', 'KDM1A']
131	GO:BP	GO:0016444	somatic cell DNA recombination	6.471557683864808e-22	True	"""Recombination occurring within or between DNA molecules in somatic cells."" [GOC:ma]"	71	100	17	17376	0.17	0.2394366197183098	query_1	['GO:0006310']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
132	GO:BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	6.471557683864808e-22	True	"""The process in which immune receptor genes are diversified through recombination of the germline genetic elements within a single genetic locus."" [GOC:add, ISBN:0781735149, PMID:16102575, PMID:16166509]"	71	100	17	17376	0.17	0.2394366197183098	query_1	['GO:0002200', 'GO:0016444']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
133	GO:BP	GO:0006282	regulation of DNA repair	8.948924674843169e-22	True	"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	209	100	23	17376	0.23	0.1100478468899521	query_1	['GO:0006281', 'GO:0051052', 'GO:0080135']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'PCNA', 'ATR', 'PARP1', 'ATRIP', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'PNKP', 'KDM1A', 'RNF8']
134	REAC	REAC:R-HSA-69239	Synthesis of DNA	1.5583083468107889e-21	True	Synthesis of DNA	121	100	19	17376	0.19	0.1570247933884297	query_1	['REAC:R-HSA-69242', 'REAC:R-HSA-69306']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
135	GO:BP	GO:0051053	negative regulation of DNA metabolic process	2.164148281066963e-21	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	136	100	20	17376	0.2	0.1470588235294117	query_1	['GO:0006259', 'GO:0010605', 'GO:0045934', 'GO:0051052']	['NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'MLH1', 'MSH3', 'OGG1', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'BLM', 'ATM', 'XRCC1', 'SLX4', 'RMI2', 'TP53', 'MSH6']
136	GO:BP	GO:0016447	somatic recombination of immunoglobulin gene segments	2.5953856055862927e-21	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, as known as immunoglobulin gene segments, within a single locus."" [GOC:add, ISBN:0781735149]"	61	100	16	17376	0.16	0.2622950819672131	query_1	['GO:0002562', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
137	REAC	REAC:R-HSA-912446	Meiotic recombination	2.90368136041553e-21	True	Meiotic recombination	84	100	17	17376	0.17	0.2023809523809523	query_1	['REAC:R-HSA-1500620']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2', 'RAD51C']
138	GO:BP	GO:0050896	response to stimulus	3.2881487409542366e-21	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7974	100	92	17376	0.92	0.0115374968648106	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
139	REAC	REAC:R-HSA-69306	DNA Replication	8.797756022842566e-21	True	DNA Replication	185	100	21	17376	0.21	0.1135135135135135	query_1	['REAC:0000000']	['RPA4', 'POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
140	REAC	REAC:R-HSA-157579	Telomere Maintenance	1.1110970449650764e-20	True	Telomere Maintenance	111	100	18	17376	0.18	0.1621621621621621	query_1	['REAC:R-HSA-73886']	['POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'WRN', 'POLD2']
141	REAC	REAC:R-HSA-5685939	HDR through MMEJ (alt-NHEJ)	1.2024832653650568e-20	True	HDR through MMEJ (alt-NHEJ)	12	100	10	17376	0.1	0.8333333333333334	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'NBN', 'RAD50', 'RAD52', 'LIG3', 'FEN1', 'BRCA2', 'PARP1', 'MRE11', 'XRCC1']
142	REAC	REAC:R-HSA-68962	Activation of the pre-replicative complex	1.2695922972865582e-20	True	Activation of the pre-replicative complex	33	100	13	17376	0.13	0.3939393939393939	query_1	['REAC:R-HSA-69002', 'REAC:R-HSA-69206']	['RPA4', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
143	REAC	REAC:R-HSA-69242	S Phase	1.4836667414684148e-20	True	S Phase	162	100	20	17376	0.2	0.1234567901234567	query_1	['REAC:R-HSA-69278']	['AKT1', 'POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
144	GO:BP	GO:0000018	regulation of DNA recombination	1.6446222608131084e-20	True	"""Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."" [GOC:go_curators, ISBN:0198506732]"	126	100	19	17376	0.19	0.1507936507936507	query_1	['GO:0006310', 'GO:0051052']	['RBBP8', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'RPA2', 'MSH3', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'KAT5', 'RMI2', 'KDM1A', 'MSH6']
145	GO:BP	GO:0044773	mitotic DNA damage checkpoint signaling	1.704816398005745e-20	True	"""A signal transduction process involved in mitotic DNA damage checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	85	100	17	17376	0.17	0.2	query_1	['GO:0000077', 'GO:0044774']	['HUS1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
146	REAC	REAC:R-HSA-1500620	Meiosis	1.717628293444475e-20	True	Meiosis	114	100	18	17376	0.18	0.1578947368421052	query_1	['REAC:R-HSA-1474165', 'REAC:R-HSA-1640170']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'ATR', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2', 'RAD51C']
147	GO:BP	GO:0006266	DNA ligation	1.999635697127e-20	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [ISBN:0815316194]"	16	100	11	17376	0.11	0.6875	query_1	['GO:0006259']	['LIG3', 'XRCC6', 'LIG4', 'APLF', 'LIG1', 'XRCC4', 'NHEJ1', 'APTX', 'RAD51', 'XRCC1', 'PNKP']
148	GO:BP	GO:0007131	reciprocal meiotic recombination	2.1227758910632654e-20	True	"""The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity."" [PMID:2087779]"	54	100	15	17376	0.15	0.2777777777777778	query_1	['GO:0007127', 'GO:0140527', 'GO:1903046']	['BRIP1', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'SLX4', 'RAD51C', 'RMI1', 'RAD51B']
149	GO:BP	GO:0140527	reciprocal homologous recombination	2.1227758910632654e-20	True	"""A DNA recombination process that results in the bidirectional exchange of genetic material between highly homologous DNA molecules."" [PMID:17846636]"	54	100	15	17376	0.15	0.2777777777777778	query_1	['GO:0035825']	['BRIP1', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'SLX4', 'RAD51C', 'RMI1', 'RAD51B']
150	GO:BP	GO:0010165	response to X-ray	3.697326433081904e-20	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:sm, Wikipedia:X-ray]"	32	100	13	17376	0.13	0.40625	query_1	['GO:0010212']	['MSH2', 'TP53BP1', 'XRCC6', 'LIG4', 'BRCA2', 'XRCC4', 'ERCC1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'XRCC2', 'TP53']
151	GO:BP	GO:0044774	mitotic DNA integrity checkpoint signaling	3.697326433081904e-20	True	"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during mitosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]"	89	100	17	17376	0.17	0.1910112359550561	query_1	['GO:0007093', 'GO:0031570']	['HUS1', 'RAD9B', 'NBN', 'MUS81', 'MSH2', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
152	REAC	REAC:R-HSA-73893	DNA Damage Bypass	4.764397916878712e-20	True	DNA Damage Bypass	48	100	14	17376	0.14	0.2916666666666667	query_1	['REAC:R-HSA-73894']	['USP1', 'POLD3', 'WDR48', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
153	REAC	REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	5.515375888137588e-20	True	Gap-filling DNA repair synthesis and ligation in TC-NER	63	100	15	17376	0.15	0.238095238095238	query_1	['REAC:R-HSA-6781827']	['POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
154	GO:BP	GO:0006298	mismatch repair	5.920937597733295e-20	True	"""A system for the correction of errors in which an incorrect base, which cannot form hydrogen bonds with the corresponding base in the parent strand, is incorporated into the daughter strand. The mismatch repair system promotes genomic fidelity by repairing base-base mismatches, insertion-deletion loops and heterologies generated during DNA replication and recombination."" [ISBN:0198506732, PMID:11687886]"	33	100	13	17376	0.13	0.3939393939393939	query_1	['GO:0006281']	['MSH2', 'POLD3', 'MLH1', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'ERCC1', 'RPA1', 'EXO1', 'MSH6']
155	GO:BP	GO:0071704	organic substance metabolic process	6.078095243405445e-20	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9976	100	98	17376	0.98	0.0098235765838011	query_1	['GO:0008152']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'NDUFAF5', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
156	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	6.655025271138387e-20	True	Generic Transcription Pathway	1151	100	39	17376	0.39	0.0338835794960903	query_1	['REAC:R-HSA-73857']	['RBBP8', 'HUS1', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'RAD51D', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
157	REAC	REAC:R-HSA-6782135	Dual incision in TC-NER	6.939323037805207e-20	True	Dual incision in TC-NER	64	100	15	17376	0.15	0.234375	query_1	['REAC:R-HSA-6781827']	['XPA', 'POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
158	GO:BP	GO:0031297	replication fork processing	1.1437808347605576e-19	True	"""The process in which a DNA replication fork that has stalled is restored to a functional state and replication is restarted. The stalling may be due to DNA damage, DNA secondary structure, bound proteins, dNTP shortage, or other causes."" [GOC:vw, PMID:11459955, PMID:15367656, PMID:17660542]"	46	100	14	17376	0.14	0.3043478260869565	query_1	['GO:0045005']	['RBBP8', 'NBN', 'MUS81', 'RAD50', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'WRN']
159	REAC	REAC:R-HSA-6783310	Fanconi Anemia Pathway	1.5550929212503516e-19	True	Fanconi Anemia Pathway	39	100	13	17376	0.13	0.3333333333333333	query_1	['REAC:R-HSA-73894']	['MUS81', 'USP1', 'FANCI', 'WDR48', 'RPA2', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'SLX4']
160	GO:BP	GO:1903046	meiotic cell cycle process	2.6993582148942723e-19	True	"""A process that is part of the meiotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	203	100	21	17376	0.21	0.1034482758620689	query_1	['GO:0022402', 'GO:0022414', 'GO:0051321']	['HUS1', 'BRIP1', 'MUS81', 'RAD50', 'RAD51AP1', 'RAD51D', 'MLH1', 'BRCA2', 'RAD1', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'HUS1B', 'SLX4', 'RAD51C', 'RMI1', 'RAD51B', 'MSH6']
161	REAC	REAC:R-HSA-73886	Chromosome Maintenance	5.632680576787264e-19	True	Chromosome Maintenance	138	100	18	17376	0.18	0.1304347826086956	query_1	['REAC:R-HSA-1640170']	['POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'WRN', 'POLD2']
162	GO:BP	GO:0002377	immunoglobulin production	5.853681109978393e-19	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	104	100	17	17376	0.17	0.1634615384615384	query_1	['GO:0002440']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
163	REAC	REAC:R-HSA-1474165	Reproduction	6.342395375662404e-19	True	Reproduction	139	100	18	17376	0.18	0.1294964028776978	query_1	['REAC:0000000']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'ATR', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2', 'RAD51C']
164	GO:BP	GO:0006287	base-excision repair, gap-filling	7.744550756703585e-19	True	"""Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template."" [ISBN:1550091131]"	14	100	10	17376	0.1	0.7142857142857143	query_1	['GO:0006259', 'GO:0006284']	['LIG3', 'FEN1', 'LIG1', 'PCNA', 'APEX1', 'POLD1', 'POLB', 'PNKP', 'NEIL1', 'POLE']
