FG syndrome type 1	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
280	GO:BP	GO:0030036	actin cytoskeleton organization	4.53389785058188e-09	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	695	100	22	15719	0.22	0.0316546762589928	query_1	['GO:0007010', 'GO:0030029']	['MET', 'ITGB1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PXN', 'CXCL12', 'GRB2', 'APOA1', 'TF', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TLN1', 'NRP1', 'PDGFRA']
281	GO:BP	GO:0042592	homeostatic process	4.7310724546934206e-09	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1586	100	33	15719	0.33	0.0208070617906683	query_1	['GO:0008150']	['ITGB1', 'PIK3CB', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'LAT', 'CXCL12', 'LYN', 'CXCR4', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'VCL', 'SYK', 'PLCG1', 'PTK2B', 'VEGFA', 'SH3GL2', 'ITGB6', 'LCK', 'CD19', 'ALB', 'PTPN11', 'HPX']
282	GO:BP	GO:0031344	regulation of cell projection organization	4.782722665712949e-09	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]"	630	100	21	15719	0.21	0.0333333333333333	query_1	['GO:0030030', 'GO:0051128']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'FYN', 'CXCL12', 'LYN', 'PIK3CA', 'CERS2', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
283	GO:BP	GO:0007044	cell-substrate junction assembly	4.952746498056397e-09	True	"""The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate."" [GOC:mah]"	93	100	10	15719	0.1	0.1075268817204301	query_1	['GO:0034329', 'GO:0150115']	['FN1', 'SRC', 'ITGB3', 'ITGA5', 'VCL', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'NRP1']
35	GO:CC	GO:0032587	ruffle membrane	5.009521707786994e-09	True	"""The portion of the plasma membrane surrounding a ruffle."" [GOC:mah]"	99	101	10	16420	0.099009900990099	0.101010101010101	query_1	['GO:0001726', 'GO:0031253', 'GO:0031256']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
78	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	5.3874055349250295e-09	True	Erythropoietin activates RAS	12	99	6	10022	0.0606060606060606	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
284	GO:BP	GO:0001938	positive regulation of endothelial cell proliferation	5.494115824387923e-09	True	"""Any process that activates or increases the rate or extent of endothelial cell proliferation."" [GOC:add]"	94	100	10	15719	0.1	0.1063829787234042	query_1	['GO:0001935', 'GO:0001936', 'GO:0050679']	['VEGFB', 'ITGB3', 'PIK3CD', 'ITGA4', 'CXCL12', 'NRP2', 'PLCG1', 'VEGFA', 'NRP1', 'PGF']
79	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	5.768578242735603e-09	True	Signaling by ERBB2 in Cancer	21	99	7	10022	0.0707070707070707	0.3333333333333333	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
80	REAC	REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	5.768578242735603e-09	True	FCERI mediated Ca+2 mobilization	33	99	8	10022	0.0808080808080808	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['ITK', 'PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
285	GO:BP	GO:0031294	lymphocyte costimulation	5.925505456616308e-09	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the B- or T cell receptor to augment B- or T cell activation."" [ISBN:0781735149]"	46	100	8	15719	0.08	0.1739130434782608	query_1	['GO:0002376', 'GO:0051251']	['SRC', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'CD81', 'LCK', 'PTPN11']
286	GO:BP	GO:0050679	positive regulation of epithelial cell proliferation	6.463404718323274e-09	True	"""Any process that activates or increases the rate or extent of epithelial cell proliferation."" [GOC:ai]"	202	100	13	15719	0.13	0.0643564356435643	query_1	['GO:0008284', 'GO:0050673', 'GO:0050678']	['VEGFB', 'ITGB3', 'CTNNB1', 'PIK3CD', 'ITGA4', 'CXCL12', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'VEGFA', 'NRP1', 'PGF']
287	GO:BP	GO:0061041	regulation of wound healing	6.491868631026753e-09	True	"""Any process that modulates the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:BHF, GOC:dph]"	127	100	11	15719	0.11	0.0866141732283464	query_1	['GO:0042060', 'GO:1903034']	['ITGB1', 'VEGFB', 'FGA', 'CRK', 'CXCR4', 'VKORC1', 'FGB', 'FGG', 'VTN', 'PTK2', 'PDGFRA']
288	GO:BP	GO:0016043	cellular component organization	6.86995678189527e-09	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6037	100	69	15719	0.69	0.0114295179725029	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'SH3GL2', 'CRKL', 'ABCC1', 'VTN', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'GOLGA5', 'PLXNA1']
81	REAC	REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	7.015229980878257e-09	True	Signaling by the B Cell Receptor (BCR)	113	99	12	10022	0.1212121212121212	0.1061946902654867	query_1	['REAC:R-HSA-1280218']	['PIK3R1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1', 'IGHM', 'CD19', 'BLNK']
289	GO:BP	GO:0002250	adaptive immune response	7.271821062574985e-09	True	"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	517	100	19	15719	0.19	0.0367504835589942	query_1	['GO:0006955']	['C3', 'FGA', 'ITK', 'TFRC', 'PIK3CD', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'FGB', 'SYK', 'FCGR1A', 'PTK2B', 'IGHM', 'CD81', 'CD19', 'HPX', 'CR2']
290	GO:BP	GO:0048585	negative regulation of response to stimulus	8.538153458652304e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	1532	100	32	15719	0.32	0.02088772845953	query_1	['GO:0048519', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'ITGAV', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'TGFB3', 'CRK', 'HGF', 'CTNNB1', 'HFE', 'FYN', 'CXCL12', 'LYN', 'EGFR', 'APOA1', 'FGB', 'SYK', 'PLCG1', 'FGG', 'CERS2', 'VTN', 'NRP1', 'CBL', 'ACKR3', 'PDGFRA', 'SEMA4D', 'CR2']
36	GO:CC	GO:0031983	vesicle lumen	9.650255061078264e-09	True	"""The volume enclosed by the membrane or protein that forms a vesicle."" [GOC:mah, GOC:vesicles]"	318	101	15	16420	0.1485148514851485	0.0471698113207547	query_1	['GO:0031982', 'GO:0043233']	['C3', 'VEGFB', 'FN1', 'FGA', 'TGFB3', 'HGF', 'EGFR', 'APOA1', 'TF', 'FGB', 'VCL', 'FGG', 'VEGFA', 'SERPINA1', 'ALB']
291	GO:BP	GO:0001894	tissue homeostasis	9.952781658834576e-09	True	"""A homeostatic process involved in the maintenance of an internal steady state within a defined tissue of an organism, including control of cellular proliferation and death and control of metabolic function."" [GOC:add, GOC:isa_complete]"	254	100	14	15719	0.14	0.0551181102362204	query_1	['GO:0048871', 'GO:0060249']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'TFRC', 'CTNNB1', 'TF', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'SH3GL2', 'ALB', 'PTPN11']
292	GO:BP	GO:0060249	anatomical structure homeostasis	9.952781658834576e-09	True	"""A homeostatic process involved in the maintenance of an internal steady state within a defined anatomical structure of an organism, including control of cellular proliferation and death and control of metabolic function. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph]"	254	100	14	15719	0.14	0.0551181102362204	query_1	['GO:0048871']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'TFRC', 'CTNNB1', 'TF', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'SH3GL2', 'ALB', 'PTPN11']
293	GO:BP	GO:0043412	macromolecule modification	1.0437855387329877e-08	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3600	100	51	15719	0.51	0.0141666666666666	query_1	['GO:0043170']	['MET', 'C3', 'PIK3CB', 'ADRA1A', 'VEGFB', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'MED12', 'LCP2', 'VKORC1', 'EGFR', 'APOA1', 'GALNT12', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'PGF']
294	GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	1.0910252238947424e-08	True	"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	356	100	16	15719	0.16	0.0449438202247191	query_1	['GO:0007159', 'GO:0022407']	['SRC', 'TFRC', 'HFE', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'CD81', 'VCAM1', 'LCK', 'PTPN11']
295	GO:BP	GO:0043434	response to peptide hormone	1.1273824153746888e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	412	100	17	15719	0.17	0.0412621359223301	query_1	['GO:0009725', 'GO:1901652']	['PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'PIK3R3', 'PTK2', 'PTPN11']
82	REAC	REAC:R-HSA-1643713	Signaling by EGFR in Cancer	1.1647834366433536e-08	True	Signaling by EGFR in Cancer	23	99	7	10022	0.0707070707070707	0.3043478260869565	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'CBL']
84	REAC	REAC:R-HSA-9607240	FLT3 Signaling	1.1693007005227788e-08	True	FLT3 Signaling	36	99	8	10022	0.0808080808080808	0.2222222222222222	query_1	['REAC:R-HSA-1280215']	['PIK3R1', 'SOS1', 'FYN', 'PIK3CA', 'SYK', 'LCK', 'CBL', 'PTPN11']
83	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	1.1693007005227788e-08	True	Molecules associated with elastic fibres	36	99	8	10022	0.0808080808080808	0.2222222222222222	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'VTN', 'ITGB6']
296	GO:BP	GO:0010595	positive regulation of endothelial cell migration	1.191217227036763e-08	True	"""Any process that increases the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]"	102	100	10	15719	0.1	0.0980392156862745	query_1	['GO:0010594', 'GO:0010634', 'GO:0043542']	['MET', 'PIK3CB', 'BCAR1', 'ITGB3', 'PIK3CD', 'NRP2', 'PLCG1', 'PTK2B', 'VEGFA', 'NRP1']
297	GO:BP	GO:0001936	regulation of endothelial cell proliferation	1.2106545549927534e-08	True	"""Any process that modulates the frequency, rate, or extent of endothelial cell proliferation."" [GOC:add]"	135	100	11	15719	0.11	0.0814814814814814	query_1	['GO:0001935', 'GO:0050678']	['VEGFB', 'ITGB3', 'PIK3CD', 'ITGA4', 'CXCL12', 'NRP2', 'PLCG1', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
298	GO:BP	GO:0044403	biological process involved in symbiotic interaction	1.3934923446695961e-08	True	"""A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts."" [GOC:cc, PMID:31257129]"	310	100	15	15719	0.15	0.0483870967741935	query_1	['GO:0044419']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TFRC', 'ITGA5', 'CXCR4', 'EGFR', 'CD81', 'ITGB6', 'NRP1', 'CBL', 'CR2']
300	GO:BP	GO:0043149	stress fiber assembly	1.567092416090272e-08	True	"""The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity."" [GOC:go_curators, GOC:mah, PMID:16651381]"	105	100	10	15719	0.1	0.0952380952380952	query_1	['GO:0030038', 'GO:0031032']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'NRP1']
299	GO:BP	GO:0030038	contractile actin filament bundle assembly	1.567092416090272e-08	True	"""Assembly of actin filament bundles in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle."" [GOC:mah, ISBN:0815316194]"	105	100	10	15719	0.1	0.0952380952380952	query_1	['GO:0051017']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'NRP1']
301	GO:BP	GO:0007267	cell-cell signaling	1.5739976600762842e-08	True	"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]"	1572	100	32	15719	0.32	0.0203562340966921	query_1	['GO:0007154', 'GO:0023052']	['RAPGEF1', 'C3', 'ITGB1', 'ADRA1A', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'HGF', 'PLCG2', 'CTNNB1', 'HFE', 'FYN', 'GJB1', 'CXCL12', 'LYN', 'MED12', 'GJB2', 'TNC', 'EGFR', 'TFR2', 'FGB', 'SYK', 'PLCG1', 'FGG', 'SH3KBP1', 'PTK2B', 'CRKL', 'ITGB6', 'NRP1', 'PTPN11', 'PGF']
302	GO:BP	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	1.6481715537050593e-08	True	"""Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase activity."" [GOC:bf]"	33	100	7	15719	0.07	0.2121212121212121	query_1	['GO:0043551', 'GO:0090218']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
303	GO:BP	GO:0002685	regulation of leukocyte migration	1.7423091845922585e-08	True	"""Any process that modulates the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	220	100	13	15719	0.13	0.059090909090909	query_1	['GO:0002682', 'GO:0030334', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA4', 'CXCL12', 'LYN', 'PTK2B', 'VEGFA', 'CRKL', 'CD81', 'PTK2', 'PGF']
304	GO:BP	GO:0050673	epithelial cell proliferation	1.7545949151514796e-08	True	"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]"	425	100	17	15719	0.17	0.04	query_1	['GO:0008283']	['PIK3CB', 'VEGFB', 'ITGB3', 'HGF', 'CTNNB1', 'PIK3CD', 'ITGA4', 'CXCL12', 'NRP2', 'EGFR', 'APOA1', 'PLCG1', 'ERBB2', 'VEGFA', 'NRP1', 'FLT1', 'PGF']
305	GO:BP	GO:0048260	positive regulation of receptor-mediated endocytosis	1.8137364258501743e-08	True	"""Any process that activates or increases the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport."" [GOC:go_curators, GOC:tb]"	53	100	8	15719	0.08	0.1509433962264151	query_1	['GO:0006898', 'GO:0045807', 'GO:0048259']	['C3', 'PLCG2', 'HFE', 'TF', 'SYK', 'VEGFA', 'VTN', 'CBL']
306	GO:BP	GO:0045780	positive regulation of bone resorption	1.8427626324663786e-08	True	"""Any process that activates or increases the frequency, rate or extent of bone resorption."" [GOC:go_curators]"	19	100	6	15719	0.06	0.3157894736842105	query_1	['GO:0045124', 'GO:0045453', 'GO:0051240']	['SRC', 'SPP1', 'ITGB3', 'TFRC', 'TF', 'SYK']
307	GO:BP	GO:2000811	negative regulation of anoikis	1.8427626324663786e-08	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of anoikis."" [GOC:obol]"	19	100	6	15719	0.06	0.3157894736842105	query_1	['GO:0043066', 'GO:0043276', 'GO:2000209']	['ITGB1', 'SRC', 'ITGA5', 'PIK3CA', 'PIK3R3', 'PTK2']
308	GO:BP	GO:0010632	regulation of epithelial cell migration	1.9145554346698237e-08	True	"""Any process that modulates the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	222	100	13	15719	0.13	0.0585585585585585	query_1	['GO:0010631', 'GO:0030334', 'GO:0051239']	['MET', 'PIK3CB', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'PIK3CD', 'NRP2', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1']
309	GO:BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	2.0181106688861378e-08	True	"""The series of molecular signals generated as a consequence of a the binding of the Fc portion of an immunoglobulin by an Fc receptor capable of activating or perpetuating an immune response. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	34	100	7	15719	0.07	0.2058823529411764	query_1	['GO:0002429']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
310	GO:BP	GO:0010975	regulation of neuron projection development	2.054307914605448e-08	True	"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	430	100	17	15719	0.17	0.0395348837209302	query_1	['GO:0031175', 'GO:0120035']	['RAPGEF1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'FYN', 'CXCL12', 'LYN', 'CERS2', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
85	REAC	REAC:R-HSA-3000170	Syndecan interactions	2.16895038112625e-08	True	Syndecan interactions	25	99	7	10022	0.0707070707070707	0.28	query_1	['REAC:R-HSA-3000171']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TNC', 'VTN']
37	GO:CC	GO:0098590	plasma membrane region	2.1899696375995033e-08	True	"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]"	1203	101	27	16420	0.2673267326732673	0.0224438902743142	query_1	['GO:0005886', 'GO:0016020']	['MET', 'ITGB1', 'ITGA9', 'ADRA1A', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'TFRC', 'CTNNB1', 'KCNK1', 'ITGA5', 'MS4A1', 'NRP2', 'LCP2', 'EGFR', 'TF', 'PLCG1', 'ERBB2', 'CRKL', 'ABCC1', 'CD81', 'TLN1', 'NRP1', 'CBL', 'ACKR3']
311	GO:BP	GO:0007369	gastrulation	2.199138684554693e-08	True	"""A complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals. The details of gastrulation vary from species to species, but usually result in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm."" [GOC:curators, ISBN:9780878933846]"	182	100	12	15719	0.12	0.0659340659340659	query_1	['GO:0048598']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'APOA1', 'VTN', 'NANOG']
312	GO:BP	GO:0051094	positive regulation of developmental process	2.2260497708956027e-08	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1237	100	28	15719	0.28	0.0226354082457558	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['C3', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'TFRC', 'CTNNB1', 'PIK3CD', 'ITGA5', 'ZAP70', 'CXCL12', 'LYN', 'CXCR4', 'SYK', 'PLCG1', 'PTK2B', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1']
313	GO:BP	GO:0000904	cell morphogenesis involved in differentiation	2.4538597943813522e-08	True	"""The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."" [GOC:go_curators]"	625	100	20	15719	0.2	0.032	query_1	['GO:0000902', 'GO:0048468']	['MET', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'VCL', 'ERBB2', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
314	GO:BP	GO:0030595	leukocyte chemotaxis	2.46424239077647e-08	True	"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]"	227	100	13	15719	0.13	0.0572687224669603	query_1	['GO:0050900', 'GO:0060326']	['ITGA9', 'VEGFB', 'PIK3CD', 'CXCL12', 'LYN', 'CXCR4', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'PTK2', 'FLT1', 'PGF']
38	GO:CC	GO:0019897	extrinsic component of plasma membrane	2.5190011841167465e-08	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region."" [GOC:curators, GOC:dos]"	154	101	11	16420	0.1089108910891089	0.0714285714285714	query_1	['GO:0005886', 'GO:0019898']	['SRC', 'CTNNB1', 'FYN', 'ZAP70', 'LYN', 'TF', 'SYK', 'PTK2B', 'CRKL', 'PTK2', 'LCK']
315	GO:BP	GO:0051897	positive regulation of protein kinase B signaling	2.5845192892245957e-08	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	111	100	10	15719	0.1	0.09009009009009	query_1	['GO:0043491', 'GO:0051896', 'GO:1902533']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'SRC', 'PIK3CD', 'EGFR', 'PIK3CA', 'VEGFA', 'PTK2']
316	GO:BP	GO:0009725	response to hormone	2.7874570354848133e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]"	845	100	23	15719	0.23	0.0272189349112426	query_1	['GO:0009719', 'GO:0010033']	['ADRA1A', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'FGB', 'PTK2B', 'PIK3R3', 'PTK2', 'PTPN11', 'PGF']
317	GO:BP	GO:0046777	protein autophosphorylation	2.8638457022770484e-08	True	"""The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."" [ISBN:0198506732]"	230	100	13	15719	0.13	0.0565217391304347	query_1	['GO:0006468']	['SRC', 'FYN', 'ZAP70', 'LYN', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'LCK', 'PDGFRA', 'FLT1']
