Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
312	GO:BP	GO:0006355	regulation of DNA-templated transcription	4.285292241067556e-10	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	100	47	17376	0.47	0.0149872448979591	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['CARD11', 'HSPA1A', 'AKT1', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
313	REAC	REAC:R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	4.29447100792828e-10	True	Caspase activation via extrinsic apoptotic signalling pathway	25	100	7	17376	0.07	0.28	query_1	['REAC:R-HSA-109581']	['FASLG', 'FAS', 'FADD', 'RIPK1', 'TRADD', 'TRAF2', 'CASP8']
314	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	4.3649370977530357e-10	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	100	47	17376	0.47	0.0149776927979604	query_1	['GO:0097659', 'GO:2001141']	['CARD11', 'HSPA1A', 'AKT1', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
315	REAC	REAC:R-HSA-975144	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	5.079617776811852e-10	True	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation	14	100	6	17376	0.06	0.4285714285714285	query_1	['REAC:R-HSA-975138']	['UBE2V1', 'CHUK', 'IKBKB', 'IKBKG', 'TRAF6', 'UBE2N']
316	REAC	REAC:R-HSA-937039	IRAK1 recruits IKK complex	5.079617776811852e-10	True	IRAK1 recruits IKK complex	14	100	6	17376	0.06	0.4285714285714285	query_1	['REAC:R-HSA-166058', 'REAC:R-HSA-975871']	['UBE2V1', 'CHUK', 'IKBKB', 'IKBKG', 'TRAF6', 'UBE2N']
317	GO:BP	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	5.83631676878894e-10	True	"""The series of molecular signals initiated by the binding of a ligand (such as a bacterial peptidoglycan) to a cytoplasmic nucleotide-binding oligomerization domain containing (NOD) protein receptor, and ending with regulation of a downstream cellular process."" [GOC:add, PMID:17944960, PMID:18585455]"	23	100	7	17376	0.07	0.3043478260869565	query_1	['GO:0002753', 'GO:0035872']	['HSPA1A', 'RELA', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'BIRC2', 'NFKBIA']
318	GO:BP	GO:0032774	RNA biosynthetic process	5.89349371661804e-10	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3290	100	48	17376	0.48	0.0145896656534954	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['CARD11', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
319	REAC	REAC:R-HSA-9693928	Defective RIPK1-mediated regulated necrosis	6.604991291026143e-10	True	Defective RIPK1-mediated regulated necrosis	7	100	5	17376	0.05	0.7142857142857143	query_1	['REAC:R-HSA-9645723']	['FADD', 'RIPK1', 'TRADD', 'TRAF2', 'CASP8']
320	GO:CC	GO:0000151	ubiquitin ligase complex	6.996755406163156e-10	True	"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"	309	100	16	17376	0.16	0.0517799352750809	query_1	['GO:0140535', 'GO:1990234']	['SHARPIN', 'BABAM2', 'UBE2V1', 'TRAF3', 'BRCC3', 'RBX1', 'RBCK1', 'BTRC', 'RNF31', 'SKP1', 'FBXW11', 'IKBKG', 'TRAF2', 'CUL1', 'FBXW7', 'UBE2N']
321	GO:BP	GO:2001234	negative regulation of apoptotic signaling pathway	7.379116989453113e-10	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	228	100	14	17376	0.14	0.0614035087719298	query_1	['GO:0009968', 'GO:0043066', 'GO:0097190', 'GO:2001233']	['BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BCL2', 'RELA', 'MCL1', 'TNF', 'BID', 'RIPK1', 'CFLAR', 'TNFAIP3', 'BCL2L1', 'BAK1']
322	GO:BP	GO:0034654	nucleobase-containing compound biosynthetic process	7.379116989453113e-10	True	"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]"	3698	100	51	17376	0.51	0.0137912385073012	query_1	['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']	['CARD11', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
323	GO:CC	GO:0031265	CD95 death-inducing signaling complex	7.508338764018701e-10	True	"""A protein complex formed upon binding of Fas/CD95/APO-1 to its ligand. The complex includes FADD/Mort1, procaspase-8/10 and c-FLIP in addition to the ligand-bound receptor."" [PMID:12628743, PMID:12655293]"	6	100	5	17376	0.05	0.8333333333333334	query_1	['GO:0031264']	['CASP10', 'FAS', 'FADD', 'CFLAR', 'CASP8']
324	GO:CC	GO:0045121	membrane raft	7.508338764018701e-10	True	"""Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions."" [PMID:16645198, PMID:20044567]"	318	100	16	17376	0.16	0.050314465408805	query_1	['GO:0098857']	['CARD11', 'TNFRSF1B', 'TNFRSF1A', 'IKBKB', 'FASLG', 'TNF', 'FAS', 'FADD', 'RIPK1', 'CFLAR', 'TRADD', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8', 'BCL10']
325	GO:CC	GO:0097342	ripoptosome	7.508338764018701e-10	True	"""A protein complex whose core components are the receptor-interacting serine/threonine-protein kinases RIPK1 and RIPK3 (also called RIP1 and RIP3). Formation of the ripoptosome can induce an extrinsic apoptotic signaling pathway or a necroptotic signaling pathway. The composition of this protein complex may depend on several factors including nature of the signal, cell type and more."" [GOC:bhm, GOC:mtg_apoptosis, PMID:22265414, PMID:22274400]"	6	100	5	17376	0.05	0.8333333333333334	query_1	['GO:0005829', 'GO:1902494']	['CASP10', 'FADD', 'RIPK1', 'CFLAR', 'CASP8']
326	GO:CC	GO:0098857	membrane microdomain	7.508338764018701e-10	True	"""A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it."" [PMID:20044567, PMID:26253820]"	319	100	16	17376	0.16	0.0501567398119122	query_1	['GO:0016020']	['CARD11', 'TNFRSF1B', 'TNFRSF1A', 'IKBKB', 'FASLG', 'TNF', 'FAS', 'FADD', 'RIPK1', 'CFLAR', 'TRADD', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8', 'BCL10']
327	GO:CC	GO:0071159	NF-kappaB complex	7.508338764018701e-10	True	"""A protein complex that consists of a homo- or heterodimer of members of a family of structurally related proteins that contain a conserved N-terminal region called the Rel homology domain (RHD). In the nucleus, NF-kappaB complexes act as transcription factors. In unstimulated cells, NF-kappaB dimers are sequestered in the cytoplasm by IkappaB monomers; signals that induce NF-kappaB activity cause degradation of IkappaB, allowing NF-kappaB dimers to translocate to the nucleus and induce gene expression."" [ISBN:0849327946]"	6	100	5	17376	0.05	0.8333333333333334	query_1	['GO:0140513']	['RELA', 'NFKB1', 'NFKB2', 'RELB', 'REL']
328	GO:BP	GO:0007006	mitochondrial membrane organization	7.687717384478314e-10	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrial membrane, either of the lipid bilayer surrounding a mitochondrion."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	114	100	11	17376	0.11	0.0964912280701754	query_1	['GO:0007005', 'GO:0061024']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BCL2', 'BID', 'BBC3', 'HSP90AA1', 'BCL2L1', 'BAK1', 'BAD']
329	GO:BP	GO:0070269	pyroptosis	7.984153906257361e-10	True	"""A caspase-1-dependent cell death subroutine that is associated with the generation of pyrogenic mediators such as IL-1beta and IL-18."" [GOC:mtg_apoptosis, PMID:18846107, PMID:21760595]"	24	100	7	17376	0.07	0.2916666666666667	query_1	['GO:0012501']	['NLRC4', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'CASP1', 'CASP8']
330	GO:BP	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	7.984153906257361e-10	True	"""The series of molecular signals initiated by a ligand binding to a nucleotide-binding domain, leucine rich repeat containing receptor (NLR), and ending with the regulation of a downstream cellular process. NLRs are cytoplasmic receptors defined by their tripartite domain architecture that contains: a variable C-terminus, a middle nucleotide-binding domain, and a LRR domain that is variable in the repeats composition and number."" [GOC:sj, PMID:18280719]"	24	100	7	17376	0.07	0.2916666666666667	query_1	['GO:0030522']	['HSPA1A', 'RELA', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'BIRC2', 'NFKBIA']
331	GO:BP	GO:0006839	mitochondrial transport	8.453784111813376e-10	True	"""Transport of substances into, out of or within a mitochondrion."" [GOC:ai]"	188	100	13	17376	0.13	0.0691489361702127	query_1	['GO:0046907']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BCL2', 'RNF31', 'BID', 'BBC3', 'HSP90AA1', 'BCL2L1', 'BAK1', 'FBXW7', 'BAD']
332	GO:BP	GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	8.769103142099865e-10	True	"""Any positive regulation of mitochondrial membrane permeability that is involved in apoptotic process."" [GOC:mtg_apoptosis, GOC:pm, GOC:TermGenie, PMID:19168129]"	40	100	8	17376	0.08	0.2	query_1	['GO:1902108', 'GO:1902686']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BID', 'BBC3', 'BCL2L1', 'BAK1']
333	GO:BP	GO:0010821	regulation of mitochondrion organization	8.777899167950402e-10	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a mitochondrion."" [GOC:dph, GOC:tb]"	150	100	12	17376	0.12	0.08	query_1	['GO:0007005', 'GO:0033043']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'AKT1', 'BID', 'BBC3', 'PYCARD', 'BCL2L1', 'BAK1', 'FBXW7', 'BAD']
334	GO:BP	GO:0062197	cellular response to chemical stress	9.223522238171568e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]"	330	100	16	17376	0.16	0.0484848484848484	query_1	['GO:0033554', 'GO:0070887']	['HSPA1A', 'AKT1', 'BCL2', 'CHUK', 'RELA', 'MCL1', 'RBX1', 'TNF', 'FAS', 'RIPK1', 'TNFAIP3', 'RELB', 'PYCARD', 'CASP1', 'FBXW7', 'BAD']
335	GO:BP	GO:0065003	protein-containing complex assembly	9.624026172790915e-10	True	"""The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex."" [GOC:jl]"	1550	100	32	17376	0.32	0.0206451612903225	query_1	['GO:0022607', 'GO:0043933']	['BCL2L11', 'CARD11', 'BAX', 'HSPA1A', 'GSK3B', 'PYDC2', 'HSP90AB1', 'CARD8', 'BRCC3', 'NLRC4', 'IKBKE', 'TNF', 'FAS', 'FADD', 'PSTPIP1', 'BID', 'NLRP3', 'BBC3', 'RIPK1', 'SHMT1', 'HSP90AA1', 'IKBKG', 'TRAF2', 'AIM2', 'MEFV', 'PYCARD', 'NLRP1', 'SHMT2', 'BIRC2', 'BAK1', 'BCL10', 'BAD']
336	GO:BP	GO:0006974	DNA damage response	9.624026172790915e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	855	100	24	17376	0.24	0.0280701754385964	query_1	['GO:0033554']	['BCL2L11', 'BAX', 'TANK', 'TNFRSF1B', 'BABAM2', 'UBE2V1', 'BCL2', 'BRCC3', 'TNFRSF1A', 'MCL1', 'IKBKE', 'RBX1', 'TNF', 'BID', 'BBC3', 'IKBKG', 'PYCARD', 'TRAF6', 'BCL2L1', 'SFN', 'BAK1', 'FBXW7', 'UBE2N', 'BAD']
337	GO:BP	GO:0010939	regulation of necrotic cell death	1.0611958469847287e-09	True	"""Any process that modulates the rate, frequency or extent of necrotic cell death. Necrotic cell death is a cell death process that is morphologically characterized by a gain in cell volume (oncosis), swelling of organelles, plasma membrane rupture and subsequent loss of intracellular contents."" [PMID:16507998]"	41	100	8	17376	0.08	0.1951219512195122	query_1	['GO:0010941', 'GO:0070265']	['RBCK1', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8']
338	GO:BP	GO:0031398	positive regulation of protein ubiquitination	1.1778785315945264e-09	True	"""Any process that activates or increases the frequency, rate or extent of the addition of ubiquitin groups to a protein."" [GOC:mah]"	119	100	11	17376	0.11	0.0924369747899159	query_1	['GO:0016567', 'GO:0031396', 'GO:1903322']	['UBE2V1', 'RBX1', 'BTRC', 'SKP1', 'MALT1', 'BIRC3', 'TRAF6', 'BIRC2', 'FBXW7', 'BCL10', 'UBE2N']
339	GO:BP	GO:1901216	positive regulation of neuron death	1.2504035301074151e-09	True	"""Any process that activates or increases the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"	89	100	10	17376	0.1	0.1123595505617977	query_1	['GO:0010942', 'GO:0070997', 'GO:1901214']	['BCL2L11', 'BAX', 'GSK3B', 'FASLG', 'MCL1', 'TNF', 'BBC3', 'CASP8', 'FBXW7', 'BAD']
340	GO:BP	GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	1.2882028834280108e-09	True	"""The process by which the mitochondrial outer membrane becomes permeable to the passing of proteins and other molecules from the intermembrane space to the cytosol as part of a programmed cell death process."" [GO_REF:0000060, GOC:mtg_apoptosis, GOC:pg, GOC:TermGenie, PMID:20151314]"	42	100	8	17376	0.08	0.1904761904761904	query_1	['GO:0012501', 'GO:0035794']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BID', 'BBC3', 'BCL2L1', 'BAK1']
341	GO:BP	GO:0002753	cytosolic pattern recognition receptor signaling pathway	1.3883048277317467e-09	True	"""The series of molecular signals initiated by the binding of a ligand from another organism to a cytosolic pattern recognition receptor (PRR). PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967, PMID:17328678, PMID:18272355, PMID:19531363, PMID:21187438]"	90	100	10	17376	0.1	0.1111111111111111	query_1	['GO:0002221', 'GO:0030522']	['HSPA1A', 'RELA', 'TNF', 'TNIP2', 'BIRC3', 'MAP3K7', 'TNFAIP3', 'TRAF6', 'BIRC2', 'NFKBIA']
342	GO:BP	GO:0006351	DNA-templated transcription	1.504320920815038e-09	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	100	47	17376	0.47	0.0144348894348894	query_1	['GO:0097659']	['CARD11', 'HSPA1A', 'AKT1', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
343	GO:BP	GO:0010506	regulation of autophagy	1.5070840782029475e-09	True	"""Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."" [GOC:dph, GOC:tb]"	342	100	16	17376	0.16	0.0467836257309941	query_1	['GO:0006914', 'GO:0031329']	['BCL2L11', 'GSK3B', 'AKT1', 'BCL2', 'TAB2', 'MCL1', 'TBK1', 'RNF31', 'IKBKG', 'MAP3K7', 'MEFV', 'PYCARD', 'BCL2L1', 'TAB3', 'FBXW7', 'BAD']
344	GO:BP	GO:0097659	nucleic acid-templated transcription	1.508186341873893e-09	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3257	100	47	17376	0.47	0.014430457476205	query_1	['GO:0010467', 'GO:0032774']	['CARD11', 'HSPA1A', 'AKT1', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
345	GO:BP	GO:1901362	organic cyclic compound biosynthetic process	1.5508727755086872e-09	True	"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]"	3912	100	52	17376	0.52	0.0132924335378323	query_1	['GO:1901360', 'GO:1901576']	['CARD11', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'HSP90AB1', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'SHMT1', 'TNIP1', 'NFKB2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'SHMT2', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
346	REAC	REAC:R-HSA-114452	Activation of BH3-only proteins	1.6975952955202487e-09	True	Activation of BH3-only proteins	30	100	7	17376	0.07	0.2333333333333333	query_1	['REAC:R-HSA-109606']	['BCL2L11', 'AKT1', 'BCL2', 'BID', 'BBC3', 'SFN', 'BAD']
347	GO:BP	GO:0043254	regulation of protein-containing complex assembly	1.8390022341681606e-09	True	"""Any process that modulates the frequency, rate or extent of protein complex assembly."" [GOC:jl]"	403	100	17	17376	0.17	0.0421836228287841	query_1	['GO:0044087', 'GO:0051128', 'GO:0065003']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'PYDC2', 'CARD8', 'BRCC3', 'IKBKE', 'TNF', 'BID', 'BBC3', 'HSP90AA1', 'TRAF2', 'MEFV', 'PYCARD', 'BIRC2', 'BAK1']
348	GO:BP	GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	1.8612088607024671e-09	True	"""Any regulation of mitochondrial membrane permeability that is involved in apoptotic process."" [GOC:mtg_apoptosis, GOC:pm, GOC:TermGenie, PMID:19168129]"	44	100	8	17376	0.08	0.1818181818181818	query_1	['GO:0008637', 'GO:0046902']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BID', 'BBC3', 'BCL2L1', 'BAK1']
349	GO:BP	GO:0090200	positive regulation of release of cytochrome c from mitochondria	1.8715176190647155e-09	True	"""Any process that increases the rate, frequency or extent of release of cytochrome c from mitochondria, the process in which cytochrome c is enabled to move from the mitochondrial intermembrane space into the cytosol, which is an early step in apoptosis and leads to caspase activation."" [GOC:BHF, GOC:dph, GOC:mtg_apoptosis, GOC:tb]"	27	100	7	17376	0.07	0.2592592592592592	query_1	['GO:0001836', 'GO:0010822', 'GO:0090199']	['BCL2L11', 'BAX', 'BID', 'BBC3', 'PYCARD', 'BAK1', 'BAD']
350	GO:BP	GO:0044092	negative regulation of molecular function	2.0999849713663572e-09	True	"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	971	100	25	17376	0.25	0.0257466529351184	query_1	['GO:0065009']	['BAX', 'GSK3B', 'AKT1', 'NFKBIE', 'NFKBIB', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'IKBKB', 'RBCK1', 'BTRC', 'TNF', 'NFKB1', 'TNFSF14', 'TAX1BP1', 'BIRC3', 'TNFAIP3', 'AIM2', 'PYCARD', 'BIRC2', 'SFN', 'NFKBIA', 'FBXW7', 'NLRP2']
351	GO:BP	GO:0035794	positive regulation of mitochondrial membrane permeability	2.2256131150862568e-09	True	"""Any process that increases the frequency, rate or extent of the passage or uptake of molecules by the mitochondrial membrane."" [GOC:bf, PMID:12546810]"	45	100	8	17376	0.08	0.1777777777777777	query_1	['GO:0046902', 'GO:1905710']	['BCL2L11', 'BAX', 'HSPA1A', 'GSK3B', 'BID', 'BBC3', 'BCL2L1', 'BAK1']
352	GO:BP	GO:1901222	regulation of NIK/NF-kappaB signaling	2.5433472818924753e-09	True	"""Any process that modulates the frequency, rate or extent of NIK/NF-kappaB signaling."" [GOC:TermGenie]"	96	100	10	17376	0.1	0.1041666666666666	query_1	['GO:0038061', 'GO:1902531']	['PYDC2', 'RELA', 'RBCK1', 'TNF', 'TNFSF14', 'TRADD', 'FBXW11', 'TRAF6', 'BIRC2', 'NFKBIA']
353	GO:BP	GO:0001776	leukocyte homeostasis	2.5433472818924753e-09	True	"""The process of regulating the proliferation and elimination of cells of the immune system such that the total number of cells of a particular cell type within a whole or part of an organism is stable over time in the absence of an outside stimulus."" [GOC:add, ISBN:0781735149]"	96	100	10	17376	0.1	0.1041666666666666	query_1	['GO:0002376', 'GO:0048872']	['BCL2L11', 'BAX', 'AKT1', 'BCL2', 'FAS', 'FADD', 'TNFSF14', 'TNFAIP3', 'BAK1', 'BCL10']
354	GO:BP	GO:0051252	regulation of RNA metabolic process	2.6606269274246847e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	3441	100	48	17376	0.48	0.013949433304272	query_1	['GO:0016070', 'GO:0019219', 'GO:0060255']	['CARD11', 'HSPA1A', 'AKT1', 'TNFRSF1B', 'NFKBIE', 'NFKBIB', 'UBE2V1', 'TRAF3', 'PYDC2', 'CHUK', 'CARD8', 'TNFRSF1A', 'RELA', 'IKBKB', 'NLRC4', 'FASLG', 'IKBKE', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'NLRP3', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'TNIP1', 'NFKB2', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TRAF2', 'MAP3K7', 'TNFAIP3', 'AIM2', 'RELB', 'PYCARD', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'BCL10', 'UBE2N', 'NLRP2']
355	REAC	REAC:R-HSA-9758274	Regulation of NF-kappa B signaling	2.9806807112959473e-09	True	Regulation of NF-kappa B signaling	18	100	6	17376	0.06	0.3333333333333333	query_1	['REAC:R-HSA-445989']	['CHUK', 'IKBKB', 'IKBKG', 'TRAF2', 'TRAF6', 'CASP8']
356	GO:BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	3.0254989211100082e-09	True	"""Any process that modulates the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	168	100	12	17376	0.12	0.0714285714285714	query_1	['GO:0097193', 'GO:1902531', 'GO:2001233']	['BCL2L11', 'BAX', 'HSPA1A', 'AKT1', 'BCL2', 'MCL1', 'BID', 'BBC3', 'PYCARD', 'BCL2L1', 'FBXW7', 'BAD']
