Progeroid syndrome, Petty type	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
155	GO:BP	GO:0007264	small GTPase mediated signal transduction	1.7302334890681467e-09	True	"""The series of molecular signals in which a small monomeric GTPase relays a signal."" [GOC:mah]"	481	96	19	15719	0.1979166666666666	0.0395010395010395	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'DOCK1', 'SRC', 'CRK', 'SOS1', 'WAS', 'LAT', 'DOCK4', 'GRB2', 'VAV1', 'CRKL', 'DOCK3', 'DOCK2', 'DOCK5', 'ELMO1', 'CBL']
156	GO:BP	GO:0000165	MAPK cascade	1.7799339369824243e-09	True	"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"	744	96	23	15719	0.2395833333333333	0.0309139784946236	query_1	['GO:0035556']	['RAPGEF1', 'ITGAV', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'TGFBR1', 'SMAD3', 'PTPN11', 'PDGFRA']
44	REAC	REAC:R-HSA-1566948	Elastic fibre formation	2.064382505540798e-09	True	Elastic fibre formation	43	94	9	10022	0.0957446808510638	0.2093023255813953	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'ITGA5', 'VTN', 'ITGB6']
157	GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	2.479583156981939e-09	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1592	96	33	15719	0.34375	0.0207286432160804	query_1	['GO:0008150']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'ITGB3', 'SFTPD', 'CRK', 'SHC1', 'PLCG2', 'WASL', 'WIPF1', 'ITGA5', 'FYN', 'WAS', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VAV1', 'SYK', 'DMBT1', 'FCGR1A', 'SIRPA', 'PTK2B', 'PTK2', 'ITGB6', 'LCK', 'SMAD3', 'PTPN11', 'CBL']
13	GO:CC	GO:0098797	plasma membrane protein complex	2.698901897518912e-09	True	"""Any protein complex that is part of the plasma membrane."" [GOC:dos]"	632	98	21	16420	0.2142857142857142	0.0332278481012658	query_1	['GO:0005886', 'GO:0098796']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'SKAP1', 'SHC1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ZAP70', 'LYN', 'GRB2', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'VTN', 'CACNA2D2', 'TGFBR1', 'ITGB6', 'CBL']
14	GO:CC	GO:0030139	endocytic vesicle	2.698901897518912e-09	True	"""A membrane-bounded intracellular vesicle formed by invagination of the plasma membrane around an extracellular substance. Endocytic vesicles fuse with early endosomes to deliver the cargo for further sorting."" [GOC:go_curators, PMID:19696797]"	331	98	16	16420	0.1632653061224489	0.0483383685800604	query_1	['GO:0031410']	['RAPGEF1', 'SFTPA1', 'ITGB5', 'ITGAV', 'SFTPD', 'WASL', 'WAS', 'LYN', 'DVL2', 'EGFR', 'SYK', 'DMBT1', 'FCGR1A', 'SH3KBP1', 'SH3GL2', 'SFTPA2']
45	REAC	REAC:R-HSA-9675108	Nervous system development	2.745844702832887e-09	True	Nervous system development	564	94	24	10022	0.2553191489361702	0.0425531914893617	query_1	['REAC:R-HSA-1266738']	['MET', 'ITGB1', 'NCK1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'SHC1', 'WASL', 'SOS1', 'ITGA2B', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'PLCG1', 'ERBB2', 'SH3KBP1', 'SH3GL2', 'TLN1', 'PTK2', 'PTPN11', 'NCK2']
159	GO:BP	GO:0051179	localization	2.768437436335631e-09	True	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	4977	96	61	15719	0.6354166666666666	0.0122563793449869	query_1	['GO:0008150']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'SFTPA1', 'ITGAV', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'PLCG2', 'WASL', 'USP4', 'TGFBR2', 'PARD6A', 'NPHP1', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'LYN', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CACNA2D2', 'SLC25A24', 'PKD1', 'PTK2', 'DOCK2', 'LCK', 'SMAD3', 'ELMO1', 'PTPN11', 'CBL', 'ELMO2', 'ZDHHC2']
158	GO:BP	GO:0045807	positive regulation of endocytosis	2.768437436335631e-09	True	"""Any process that activates or increases the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	151	96	12	15719	0.125	0.0794701986754966	query_1	['GO:0006897', 'GO:0030100', 'GO:0051050', 'GO:0051130']	['RAPGEF1', 'SFTPD', 'PLCG2', 'WASL', 'CD47', 'SYK', 'FCGR1A', 'SIRPA', 'VTN', 'SIRPG', 'DOCK2', 'CBL']
160	GO:BP	GO:0002696	positive regulation of leukocyte activation	2.7885989388426903e-09	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]"	380	96	17	15719	0.1770833333333333	0.0447368421052631	query_1	['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']	['NCK1', 'SRC', 'TGFBR2', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'SIRPA', 'SH3KBP1', 'SIRPG', 'LCK', 'PTPN11', 'NCK2']
161	GO:BP	GO:0008283	cell population proliferation	2.8506186993283627e-09	True	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]"	1895	96	36	15719	0.375	0.0189973614775725	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'SFTPD', 'CRK', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'FYN', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'EGFR', 'CD47', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'CRKL', 'SIRPG', 'TGFBR1', 'PTK2', 'DOCK2', 'SMAD3', 'NCK2', 'PDGFRA']
46	REAC	REAC:R-HSA-5684996	MAPK1/MAPK3 signaling	2.9066531739896463e-09	True	MAPK1/MAPK3 signaling	261	94	17	10022	0.1808510638297872	0.0651340996168582	query_1	['REAC:R-HSA-5683057']	['MET', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'EGFR', 'VCL', 'ERBB2', 'TLN1', 'PTK2', 'PTPN11', 'PDGFRA']
47	REAC	REAC:R-HSA-216083	Integrin cell surface interactions	2.9546729279166353e-09	True	Integrin cell surface interactions	83	94	11	10022	0.1170212765957446	0.1325301204819277	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'SPP1', 'ITGB3', 'ITGA2B', 'ITGA5', 'CD47', 'VTN', 'ITGB6']
162	GO:BP	GO:0009605	response to external stimulus	2.9685153511838e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2649	96	43	15719	0.4479166666666667	0.0162325405813514	query_1	['GO:0050896']	['MET', 'NCK1', 'ITGAV', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'SFTPD', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'WIPF1', 'FYN', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA', 'ELMO2']
163	GO:BP	GO:0044087	regulation of cellular component biogenesis	3.1356530963554552e-09	True	"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	917	96	25	15719	0.2604166666666667	0.0272628135223555	query_1	['GO:0044085', 'GO:0050794']	['MET', 'RAPGEF1', 'LATS1', 'NCK1', 'SRC', 'TGFB3', 'PIK3R1', 'SKAP1', 'NPHP4', 'PLCG2', 'WASL', 'NPHP1', 'PXN', 'WAS', 'GRB2', 'CD47', 'VCL', 'SYK', 'PTK2B', 'TLN1', 'TGFBR1', 'PTK2', 'SMAD3', 'PTPN11', 'NCK2']
164	GO:BP	GO:0009888	tissue development	3.39803683866833e-09	True	"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]"	1908	96	36	15719	0.375	0.0188679245283018	query_1	['GO:0048856']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA5', 'NPHP1', 'WAS', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'VCL', 'DMBT1', 'SMURF1', 'PTK2B', 'VTN', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'PDGFRA']
165	GO:BP	GO:0008219	cell death	3.428109285231702e-09	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2011	96	37	15719	0.3854166666666667	0.0183988065638985	query_1	['GO:0009987']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGAV', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'TGFBR2', 'ITGA5', 'FYN', 'PAX3', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CRKL', 'SLC25A24', 'TGFBR1', 'PTK2', 'LCK', 'SMAD3', 'ELMO1', 'CBL', 'NCK2', 'ELMO2']
166	GO:BP	GO:0010811	positive regulation of cell-substrate adhesion	3.5167966499641995e-09	True	"""Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	120	96	11	15719	0.1145833333333333	0.0916666666666666	query_1	['GO:0010810', 'GO:0031589', 'GO:0045785']	['FN1', 'DOCK1', 'ITGB3', 'SKAP1', 'CRK', 'ITGA5', 'PTK2B', 'CRKL', 'VTN', 'SMAD3', 'DOCK5']
15	GO:CC	GO:0005829	cytosol	4.098632778042764e-09	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5250	98	62	16420	0.6326530612244898	0.0118095238095238	query_1	['GO:0005737', 'GO:0110165']	['RAPGEF1', 'LATS1', 'NCK1', 'SMURF2', 'ITGAV', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'PIK3R1', 'WIPF3', 'SKAP1', 'CRK', 'NPHP4', 'SHC1', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'RPGRIP1L', 'WIPF1', 'PARD6A', 'NPHP1', 'PXN', 'ASAP1', 'WIPF2', 'FYN', 'FYB1', 'WAS', 'PARD3', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'TLN1', 'PTK2', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'ELMO2']
167	GO:BP	GO:0007275	multicellular organism development	4.2473523576247074e-09	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4318	96	56	15719	0.5833333333333334	0.0129689671144048	query_1	['GO:0032501', 'GO:0048856']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'WASL', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'NPHP1', 'ASAP1', 'FYN', 'PAX3', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'VCL', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
168	GO:BP	GO:0031032	actomyosin structure organization	4.337274571928984e-09	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments."" [GOC:dph, GOC:jl, GOC:mah]"	197	96	13	15719	0.1354166666666666	0.065989847715736	query_1	['GO:0030036']	['MET', 'ITGB1', 'ITGB5', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'WAS', 'CD47', 'PTK2B', 'TGFBR1', 'SMAD3', 'PDGFRA']
16	GO:CC	GO:0097708	intracellular vesicle	4.543248160176415e-09	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2395	98	40	16420	0.4081632653061224	0.0167014613778705	query_1	['GO:0031982', 'GO:0043231']	['RAPGEF1', 'ITGB1', 'SFTPA1', 'ITGB5', 'ITGAV', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'WIPF3', 'SFTPD', 'HGF', 'PLCG2', 'WASL', 'WIPF1', 'ITGA2B', 'ITGA5', 'FYN', 'WAS', 'LYN', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'SYK', 'DMBT1', 'FCGR1A', 'OSCAR', 'SIRPA', 'ERBB2', 'SH3KBP1', 'CKAP4', 'SH3GL2', 'TGFBR1', 'PKD1', 'DOCK2', 'SFTPA2', 'ZDHHC2']
169	GO:BP	GO:0050867	positive regulation of cell activation	4.625148989384894e-09	True	"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]"	394	96	17	15719	0.1770833333333333	0.0431472081218274	query_1	['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']	['NCK1', 'SRC', 'TGFBR2', 'FYN', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'CD47', 'VAV1', 'SYK', 'SIRPA', 'SH3KBP1', 'SIRPG', 'LCK', 'PTPN11', 'NCK2']
170	GO:BP	GO:0043408	regulation of MAPK cascade	4.793097882249866e-09	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]"	644	96	21	15719	0.21875	0.0326086956521739	query_1	['GO:0000165', 'GO:1902531']	['RAPGEF1', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'LYN', 'GRB2', 'DVL2', 'EGFR', 'SYK', 'SIRPA', 'ERBB2', 'PTK2B', 'CRKL', 'TGFBR1', 'PTPN11', 'PDGFRA']
51	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	5.539607908158131e-09	True	Erythropoietin activates RAS	12	94	6	10022	0.0638297872340425	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
48	REAC	REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	5.539607908158131e-09	True	FCERI mediated Ca+2 mobilization	33	94	8	10022	0.0851063829787234	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['ITK', 'PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
49	REAC	REAC:R-HSA-2172127	DAP12 interactions	5.539607908158131e-09	True	DAP12 interactions	33	94	8	10022	0.0851063829787234	0.2424242424242424	query_1	['REAC:R-HSA-168249']	['PIK3R1', 'PLCG2', 'SOS1', 'FYN', 'LCP2', 'SYK', 'PLCG1', 'LCK']
50	REAC	REAC:R-HSA-194315	Signaling by Rho GTPases	5.539607908158131e-09	True	Signaling by Rho GTPases	691	94	26	10022	0.2765957446808511	0.0376266280752532	query_1	['REAC:R-HSA-9716542']	['RAPGEF1', 'ITGB1', 'NCK1', 'DOCK1', 'SRC', 'PIK3R1', 'WIPF3', 'WASL', 'SOS1', 'WIPF1', 'PARD6A', 'WIPF2', 'WAS', 'DOCK4', 'ZAP70', 'DVL2', 'VAV1', 'PTK2B', 'CKAP4', 'DOCK3', 'PTK2', 'DOCK2', 'LCK', 'DOCK5', 'NCK2', 'ELMO2']
171	GO:BP	GO:0065009	regulation of molecular function	5.684718189503669e-09	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2480	96	41	15719	0.4270833333333333	0.0165322580645161	query_1	['GO:0065007']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'ITGAV', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ASAP1', 'FYN', 'LAT', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'LCK', 'SMAD3', 'CBL', 'NCK2', 'PDGFRA']
52	REAC	REAC:R-HSA-2219528	PI3K/AKT Signaling in Cancer	5.782498001173978e-09	True	PI3K/AKT Signaling in Cancer	89	94	11	10022	0.1170212765957446	0.1235955056179775	query_1	['REAC:R-HSA-5663202']	['MET', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
53	REAC	REAC:R-HSA-1280218	Adaptive Immune System	5.79307339826361e-09	True	Adaptive Immune System	750	94	27	10022	0.2872340425531915	0.036	query_1	['REAC:R-HSA-168256']	['ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'PIK3R1', 'SFTPD', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'FYB1', 'WAS', 'LAT', 'ZAP70', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SMURF1', 'SH3KBP1', 'SH3GL2', 'LCK', 'PTPN11']
172	GO:BP	GO:0010631	epithelial cell migration	5.813662460498741e-09	True	"""The orderly movement of an epithelial cell from one site to another, often during the development of a multicellular organism."" [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:tb]"	294	96	15	15719	0.15625	0.0510204081632653	query_1	['GO:0001667', 'GO:0090132']	['MET', 'ITGB1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'PXN', 'PLCG1', 'PTK2B', 'TGFBR1', 'PTK2', 'DOCK5', 'PTPN11']
54	REAC	REAC:R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	6.2997238685708274e-09	True	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	90	94	11	10022	0.1170212765957446	0.1222222222222222	query_1	['REAC:R-HSA-199418']	['MET', 'SRC', 'PIK3R1', 'HGF', 'FYN', 'EGFR', 'VAV1', 'ERBB2', 'LCK', 'PTPN11', 'PDGFRA']
173	GO:BP	GO:0050794	regulation of cellular process	6.3049585988298844e-09	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	9803	96	87	15719	0.90625	0.008874834234418	query_1	['GO:0009987', 'GO:0050789']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'ASAP1', 'FYN', 'FYB1', 'PAX3', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'CC2D1B', 'CACNA2D2', 'DOCK3', 'SLC25A24', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
174	GO:BP	GO:0090132	epithelium migration	6.316120778993102e-09	True	"""The process in which the population of cells that make up an epithelium undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	296	96	15	15719	0.15625	0.0506756756756756	query_1	['GO:0090130']	['MET', 'ITGB1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PLCG2', 'TGFBR2', 'PXN', 'PLCG1', 'PTK2B', 'TGFBR1', 'PTK2', 'DOCK5', 'PTPN11']
175	GO:BP	GO:0044093	positive regulation of molecular function	6.515442968410308e-09	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	1469	96	31	15719	0.3229166666666667	0.0211027910142954	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'ITGB1', 'SRC', 'ITGB3', 'CRK', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ASAP1', 'FYN', 'LAT', 'LYN', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'DOCK3', 'PKD1', 'PTK2', 'LCK', 'SMAD3', 'PDGFRA']
55	REAC	REAC:R-HSA-8848021	Signaling by PTK6	6.862254334589785e-09	True	Signaling by PTK6	50	94	9	10022	0.0957446808510638	0.18	query_1	['REAC:R-HSA-9006927']	['BCAR1', 'DOCK1', 'CRK', 'PXN', 'EGFR', 'ERBB2', 'ELMO1', 'CBL', 'ELMO2']
56	REAC	REAC:R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	6.862254334589785e-09	True	Signaling by Non-Receptor Tyrosine Kinases	50	94	9	10022	0.0957446808510638	0.18	query_1	['REAC:R-HSA-162582']	['BCAR1', 'DOCK1', 'CRK', 'PXN', 'EGFR', 'ERBB2', 'ELMO1', 'CBL', 'ELMO2']
176	GO:BP	GO:0002521	leukocyte differentiation	7.195952291006202e-09	True	"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]"	592	96	20	15719	0.2083333333333333	0.0337837837837837	query_1	['GO:0030097', 'GO:0030154']	['ITGB1', 'SRC', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'VAV1', 'SYK', 'OSCAR', 'ERBB2', 'PTK2B', 'ITGB6', 'DOCK2', 'LCK']
17	GO:CC	GO:0032587	ruffle membrane	7.292734863854727e-09	True	"""The portion of the plasma membrane surrounding a ruffle."" [GOC:mah]"	99	98	10	16420	0.1020408163265306	0.101010101010101	query_1	['GO:0001726', 'GO:0031253', 'GO:0031256']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
18	GO:CC	GO:0005925	focal adhesion	7.3193749069225435e-09	True	"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]"	417	98	17	16420	0.173469387755102	0.0407673860911271	query_1	['GO:0030055']	['ITGB1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'ITGA2B', 'ITGA5', 'PXN', 'EGFR', 'VCL', 'SH3KBP1', 'PTK2B', 'TLN1', 'PTK2', 'ITGB6', 'CBL']
177	GO:BP	GO:1903131	mononuclear cell differentiation	7.339451273205677e-09	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	466	96	18	15719	0.1875	0.03862660944206	query_1	['GO:0002521']	['ITGB1', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'ITGB6', 'DOCK2', 'LCK']
