FG syndrome type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
349	REAC	REAC:R-HSA-2871809	FCERI mediated Ca+2 mobilization	9.055023732623719e-11	True	FCERI mediated Ca+2 mobilization	33	101	8	17376	0.0792079207920792	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['ITK', 'PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
350	GO:BP	GO:0016043	cellular component organization	9.149618190779604e-11	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6030	101	69	17376	0.6831683168316832	0.0114427860696517	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'SH3GL2', 'CRKL', 'ABCC1', 'VTN', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'GOLGA5', 'PLXNA1']
351	GO:BP	GO:1901701	cellular response to oxygen-containing compound	9.593214308869248e-11	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1221	101	30	17376	0.297029702970297	0.0245700245700245	query_1	['GO:0070887', 'GO:1901700']	['MET', 'RAPGEF1', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GJB2', 'GRB2', 'EGFR', 'PIK3CA', 'PTK2B', 'PIK3R3', 'CRKL', 'ABCC1', 'VCAM1', 'PTK2', 'PTPN11', 'PDGFRA']
352	REAC	REAC:R-HSA-9664565	Signaling by ERBB2 KD Mutants	9.774689706574744e-11	True	Signaling by ERBB2 KD Mutants	20	101	7	17376	0.0693069306930693	0.35	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
353	GO:BP	GO:0035987	endodermal cell differentiation	9.902240675661407e-11	True	"""The process in which a relatively unspecialized cell acquires the specialized features of an endoderm cell, a cell of the inner of the three germ layers of the embryo."" [CL:0000223, GOC:yaf, PMID:17624332]"	47	101	9	17376	0.0891089108910891	0.1914893617021276	query_1	['GO:0001706', 'GO:0030154']	['ITGB5', 'FN1', 'ITGAV', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'VTN', 'NANOG']
354	GO:BP	GO:1903034	regulation of response to wounding	1.0131899067376762e-10	True	"""Any process that modulates the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	156	101	13	17376	0.1287128712871287	0.0833333333333333	query_1	['GO:0009611', 'GO:0080134']	['ITGB1', 'VEGFB', 'SPP1', 'FGA', 'CRK', 'CXCR4', 'VKORC1', 'FGB', 'FGG', 'CERS2', 'VTN', 'PTK2', 'PDGFRA']
355	GO:BP	GO:0030100	regulation of endocytosis	1.0951205858077476e-10	True	"""Any process that modulates the frequency, rate or extent of endocytosis."" [GOC:go_curators]"	281	101	16	17376	0.1584158415841584	0.0569395017793594	query_1	['GO:0006897', 'GO:0051128', 'GO:0060627']	['RAPGEF1', 'C3', 'PIK3CB', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'HFE', 'APOA1', 'TF', 'TFR2', 'SYK', 'FCGR1A', 'VEGFA', 'VTN', 'CBL']
356	GO:BP	GO:0034109	homotypic cell-cell adhesion	1.2482392238948636e-10	True	"""The attachment of a cell to a second cell of the identical type via adhesion molecules."" [GOC:add]"	95	101	11	17376	0.1089108910891089	0.1157894736842105	query_1	['GO:0098609']	['PIK3CB', 'FN1', 'FGA', 'ITGB3', 'LYN', 'FGB', 'VCL', 'SYK', 'FGG', 'TLN1', 'PDGFRA']
357	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	1.2482392238948636e-10	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3356	101	50	17376	0.495049504950495	0.0148986889153754	query_1	['GO:0009893', 'GO:0043170', 'GO:0060255']	['MET', 'C3', 'PIK3CB', 'ADRA1A', 'VEGFB', 'FN1', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'LAT', 'LYN', 'MED12', 'TNC', 'LCP2', 'EGFR', 'TF', 'TFR2', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'BLNK', 'PTPN11', 'HPX', 'SEMA4D', 'FLT1', 'PGF', 'NANOG']
358	GO:BP	GO:0048589	developmental growth	1.25031911574396e-10	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another."" [GOC:go_curators]"	625	101	22	17376	0.2178217821782178	0.0352	query_1	['GO:0032502', 'GO:0040007']	['ITGB1', 'ADRA1A', 'FN1', 'SRC', 'SPP1', 'CTNNB1', 'SOS1', 'ITGA4', 'CXCL12', 'MED12', 'NRP2', 'CXCR4', 'PIK3CA', 'VCL', 'VEGFA', 'SH3GL2', 'CD81', 'L1CAM', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
359	GO:BP	GO:0120039	plasma membrane bounded cell projection morphogenesis	1.284749311190927e-10	True	"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]"	626	101	22	17376	0.2178217821782178	0.0351437699680511	query_1	['GO:0048858']	['ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'VCL', 'ERBB2', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
360	GO:BP	GO:0051249	regulation of lymphocyte activation	1.338887713177826e-10	True	"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	501	101	20	17376	0.198019801980198	0.0399201596806387	query_1	['GO:0002694', 'GO:0046649']	['SRC', 'TFRC', 'CTNNB1', 'SOS1', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'IGHM', 'CD81', 'VCAM1', 'LCK', 'CD19', 'PTPN11']
361	REAC	REAC:R-HSA-1227990	Signaling by ERBB2 in Cancer	1.4416810911357494e-10	True	Signaling by ERBB2 in Cancer	21	101	7	17376	0.0693069306930693	0.3333333333333333	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2']
362	GO:BP	GO:0048858	cell projection morphogenesis	1.4887528501032424e-10	True	"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]"	631	101	22	17376	0.2178217821782178	0.0348652931854199	query_1	['GO:0000902', 'GO:0030030', 'GO:0032990']	['ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'VCL', 'ERBB2', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
363	GO:BP	GO:0034329	cell junction assembly	1.603932067678261e-10	True	"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]"	391	101	18	17376	0.1782178217821782	0.0460358056265984	query_1	['GO:0022607', 'GO:0034330']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'ITGB3', 'CRK', 'CTNNB1', 'ITGA5', 'GJB1', 'GJB2', 'VCL', 'PTK2B', 'VEGFA', 'CRKL', 'TLN1', 'PTK2', 'NRP1', 'SEMA4D']
364	GO:BP	GO:0031346	positive regulation of cell projection organization	1.8219850534387864e-10	True	"""Any process that activates or increases the frequency, rate or extent of the process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]"	341	101	17	17376	0.1683168316831683	0.0498533724340175	query_1	['GO:0030030', 'GO:0031344', 'GO:0051130']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'FYN', 'CXCL12', 'LYN', 'PIK3CA', 'PTK2B', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
365	REAC	REAC:R-HSA-2129379	Molecules associated with elastic fibres	1.853938234927349e-10	True	Molecules associated with elastic fibres	36	101	8	17376	0.0792079207920792	0.2222222222222222	query_1	['REAC:R-HSA-1566948']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'VTN', 'ITGB6']
366	REAC	REAC:R-HSA-9607240	FLT3 Signaling	1.853938234927349e-10	True	FLT3 Signaling	36	101	8	17376	0.0792079207920792	0.2222222222222222	query_1	['REAC:R-HSA-1280215']	['PIK3R1', 'SOS1', 'FYN', 'PIK3CA', 'SYK', 'LCK', 'CBL', 'PTPN11']
367	GO:BP	GO:0051701	biological process involved in interaction with host	2.001479847336678e-10	True	"""An interaction between two organisms living together in more or less intimate association. The term host is used for the larger (macro) of the two members of a symbiosis; the various forms of symbiosis include parasitism, commensalism and mutualism."" [GOC:cc]"	204	101	14	17376	0.1386138613861386	0.0686274509803921	query_1	['GO:0044403']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'TFRC', 'ITGA5', 'CXCR4', 'EGFR', 'CD81', 'ITGB6', 'NRP1', 'CBL', 'CR2']
368	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	2.1004147912221396e-10	True	Erythropoietin activates RAS	12	101	6	17376	0.0594059405940594	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
369	GO:BP	GO:0150115	cell-substrate junction organization	2.1335674297752203e-10	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-substrate junction. A cell-substrate junction is a specialized region of connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	100	101	11	17376	0.1089108910891089	0.11	query_1	['GO:0034330']	['FN1', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA5', 'VCL', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'NRP1']
370	GO:BP	GO:0050852	T cell receptor signaling pathway	2.142736823754784e-10	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	131	101	12	17376	0.1188118811881188	0.0916030534351145	query_1	['GO:0050851']	['BCAR1', 'ITK', 'PLCG2', 'PIK3CD', 'FYN', 'ZAP70', 'LCP2', 'PIK3CA', 'PLCG1', 'CRKL', 'CD81', 'LCK']
371	GO:BP	GO:0071375	cellular response to peptide hormone stimulus	2.4039704297907465e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [GOC:mah]"	297	101	16	17376	0.1584158415841584	0.0538720538720538	query_1	['GO:0032870', 'GO:0043434', 'GO:1901653']	['PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'PIK3R3', 'PTK2', 'PTPN11']
372	GO:BP	GO:0051347	positive regulation of transferase activity	2.4524817260473283e-10	True	"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]"	519	101	20	17376	0.198019801980198	0.0385356454720616	query_1	['GO:0043085', 'GO:0051338']	['MET', 'ADRA1A', 'SRC', 'ITGB3', 'CTNNB1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'APOA1', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'CD81', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
373	GO:BP	GO:0032990	cell part morphogenesis	2.6484619685337217e-10	True	"""The process in which the anatomical structures of a cell part are generated and organized."" [GOC:mah]"	651	101	22	17376	0.2178217821782178	0.0337941628264208	query_1	['GO:0032989']	['ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'VCL', 'ERBB2', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
374	REAC	REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	2.704478978470707e-10	True	Signaling by NTRK1 (TRKA)	110	101	11	17376	0.1089108910891089	0.1	query_1	['REAC:R-HSA-166520']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CA', 'PLCG1', 'SH3GL2', 'CRKL']
375	REAC	REAC:R-HSA-1643713	Signaling by EGFR in Cancer	2.8397653925867353e-10	True	Signaling by EGFR in Cancer	23	101	7	17376	0.0693069306930693	0.3043478260869565	query_1	['REAC:R-HSA-5663202']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PIK3CA', 'PLCG1', 'CBL']
376	GO:BP	GO:0002694	regulation of leukocyte activation	3.0139949066060486e-10	True	"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]"	589	101	21	17376	0.2079207920792079	0.0356536502546689	query_1	['GO:0002682', 'GO:0045321', 'GO:0050865']	['FN1', 'SRC', 'TFRC', 'CTNNB1', 'SOS1', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'IGHM', 'CD81', 'VCAM1', 'LCK', 'CD19', 'PTPN11']
377	GO:BP	GO:0048871	multicellular organismal-level homeostasis	3.0139949066060486e-10	True	"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]"	725	101	23	17376	0.2277227722772277	0.0317241379310344	query_1	['GO:0032501', 'GO:0042592']	['ITGB1', 'PIK3CB', 'SRC', 'SPP1', 'ITGB3', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'LAT', 'LYN', 'CXCR4', 'TF', 'PIK3CA', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'SH3GL2', 'ITGB6', 'ALB', 'PTPN11']
378	REAC	REAC:R-HSA-5663205	Infectious disease	3.0331330693890396e-10	True	Infectious disease	985	101	26	17376	0.2574257425742574	0.0263959390862944	query_1	['REAC:R-HSA-1643685']	['MET', 'C3', 'ITGB1', 'SRC', 'CRK', 'PLCG2', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'LYN', 'CXCR4', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SH3KBP1', 'IGHM', 'SH3GL2', 'PTK2', 'NRP1', 'LCK', 'BLNK', 'CBL', 'PTPN11']
379	REAC	REAC:R-HSA-373760	L1CAM interactions	3.8711286175007294e-10	True	L1CAM interactions	114	101	11	17376	0.1089108910891089	0.0964912280701754	query_1	['REAC:R-HSA-422475']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'NRP2', 'EGFR', 'SH3GL2', 'L1CAM', 'NRP1']
380	GO:BP	GO:0043412	macromolecule modification	3.999433488004983e-10	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3593	101	51	17376	0.504950495049505	0.0141942666295574	query_1	['GO:0043170']	['MET', 'C3', 'PIK3CB', 'ADRA1A', 'VEGFB', 'FN1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'MED12', 'LCP2', 'VKORC1', 'EGFR', 'APOA1', 'GALNT12', 'PIK3CA', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'CBL', 'PTPN11', 'PDGFRA', 'HPX', 'SEMA4D', 'FLT1', 'PGF']
381	GO:BP	GO:0001706	endoderm formation	4.101156677384656e-10	True	"""The formation of the endoderm during gastrulation."" [GOC:go_curators]"	55	101	9	17376	0.0891089108910891	0.1636363636363636	query_1	['GO:0001704', 'GO:0007492']	['ITGB5', 'FN1', 'ITGAV', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'VTN', 'NANOG']
382	GO:BP	GO:0071840	cellular component organization or biogenesis	4.3400754237542406e-10	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]"	6223	101	69	17376	0.6831683168316832	0.0110878997268198	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'C3', 'ITGB1', 'PIK3CB', 'ITGB5', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'ITGA5', 'HFE', 'PXN', 'FYN', 'GJB1', 'ITGA4', 'CXCL12', 'MS4A1', 'LYN', 'GJB2', 'GRB2', 'TNC', 'NRP2', 'CXCR4', 'EGFR', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'ERBB2', 'CERS2', 'SH3KBP1', 'PTK2B', 'IGHM', 'VEGFA', 'SH3GL2', 'CRKL', 'ABCC1', 'VTN', 'TLN1', 'L1CAM', 'PTK2', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'GOLGA5', 'PLXNA1']
383	GO:BP	GO:0048259	regulation of receptor-mediated endocytosis	4.3400754237542406e-10	True	"""Any process that modulates the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport."" [GOC:go_curators, GOC:tb]"	107	101	11	17376	0.1089108910891089	0.102803738317757	query_1	['GO:0006898', 'GO:0030100']	['C3', 'PIK3CB', 'ITGAV', 'ITGB3', 'PLCG2', 'HFE', 'TF', 'SYK', 'VEGFA', 'VTN', 'CBL']
384	GO:BP	GO:0050863	regulation of T cell activation	4.6382093138770034e-10	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	363	101	17	17376	0.1683168316831683	0.046831955922865	query_1	['GO:0042110', 'GO:0051249']	['SRC', 'TFRC', 'CTNNB1', 'SOS1', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'CD81', 'VCAM1', 'LCK', 'PTPN11']
385	GO:BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	4.770375416171849e-10	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the phosphatidylinositol 3-kinase cascade."" [GOC:ef]"	108	101	11	17376	0.1089108910891089	0.1018518518518518	query_1	['GO:0014065', 'GO:1902531']	['PLXNB1', 'FN1', 'SRC', 'HGF', 'EGFR', 'VEGFA', 'PTK2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
386	GO:BP	GO:0048008	platelet-derived growth factor receptor signaling pathway	4.770375416171849e-10	True	"""The series of molecular signals initiated by a ligand binding to a platelet-derived growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]"	56	101	9	17376	0.0891089108910891	0.1607142857142857	query_1	['GO:0007169']	['RAPGEF1', 'BCAR1', 'SRC', 'ITGB3', 'VEGFA', 'NRP1', 'CBL', 'PTPN11', 'PDGFRA']
387	GO:BP	GO:0022409	positive regulation of cell-cell adhesion	4.801070192806245e-10	True	"""Any process that activates or increases the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]"	312	101	16	17376	0.1584158415841584	0.0512820512820512	query_1	['GO:0022407', 'GO:0045785', 'GO:0098609']	['SRC', 'FGA', 'TFRC', 'FYN', 'ITGA4', 'ZAP70', 'LYN', 'PIK3CA', 'FGB', 'VAV1', 'SYK', 'FGG', 'CD81', 'VCAM1', 'LCK', 'PTPN11']
388	GO:BP	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	4.883863456972063e-10	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the phosphatidylinositol 3-kinase cascade."" [GOC:ef]"	80	101	10	17376	0.099009900990099	0.125	query_1	['GO:0014065', 'GO:0014066', 'GO:1902533']	['PLXNB1', 'FN1', 'SRC', 'HGF', 'VEGFA', 'PTK2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
389	GO:BP	GO:0042592	homeostatic process	4.894091417843508e-10	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1586	101	33	17376	0.3267326732673267	0.0208070617906683	query_1	['GO:0008150']	['ITGB1', 'PIK3CB', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'PLCG2', 'TFRC', 'CTNNB1', 'SOS1', 'PIK3CD', 'HFE', 'LAT', 'CXCL12', 'LYN', 'CXCR4', 'APOA1', 'TF', 'TFR2', 'PIK3CA', 'VCL', 'SYK', 'PLCG1', 'PTK2B', 'VEGFA', 'SH3GL2', 'ITGB6', 'LCK', 'CD19', 'ALB', 'PTPN11', 'HPX']
390	REAC	REAC:R-HSA-3000170	Syndecan interactions	5.33374614146447e-10	True	Syndecan interactions	25	101	7	17376	0.0693069306930693	0.28	query_1	['REAC:R-HSA-3000171']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TNC', 'VTN']
391	GO:BP	GO:0007492	endoderm development	5.503474447155374e-10	True	"""The process whose specific outcome is the progression of the endoderm over time, from its formation to the mature structure. The endoderm is the innermost germ layer that develops into the gastrointestinal tract, the lungs and associated tissues."" [GOC:dph, GOC:tb]"	81	101	10	17376	0.099009900990099	0.1234567901234567	query_1	['GO:0009888']	['ITGB5', 'FN1', 'ITGAV', 'CTNNB1', 'ITGA5', 'ITGA4', 'MED12', 'GRB2', 'VTN', 'NANOG']
392	GO:BP	GO:0048812	neuron projection morphogenesis	5.527872175084916e-10	True	"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]"	610	101	21	17376	0.2079207920792079	0.0344262295081967	query_1	['GO:0031175', 'GO:0120039']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'VCL', 'ERBB2', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
393	GO:BP	GO:0032989	cellular component morphogenesis	5.970029434434785e-10	True	"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	752	101	23	17376	0.2277227722772277	0.0305851063829787	query_1	['GO:0009653', 'GO:0016043', 'GO:0048869']	['ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'CXCR4', 'VCL', 'ERBB2', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
394	GO:BP	GO:0033674	positive regulation of kinase activity	6.036807455041561e-10	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	426	101	18	17376	0.1782178217821782	0.0422535211267605	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['MET', 'ADRA1A', 'SRC', 'ITGB3', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'CD81', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
395	GO:BP	GO:0090218	positive regulation of lipid kinase activity	6.054268878207419e-10	True	"""Any process that increases the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:dph, GOC:tb]"	38	101	8	17376	0.0792079207920792	0.2105263157894736	query_1	['GO:0033674', 'GO:0043550', 'GO:0045834']	['SRC', 'LYN', 'PTK2B', 'CD81', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
396	REAC	REAC:R-HSA-6802952	Signaling by BRAF and RAF1 fusions	6.333805546518088e-10	True	Signaling by BRAF and RAF1 fusions	63	101	9	17376	0.0891089108910891	0.1428571428571428	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
397	GO:BP	GO:0120035	regulation of plasma membrane bounded cell projection organization	6.731737270605495e-10	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of plasma membrane bounded cell projections."" [GOC:krc]"	617	101	21	17376	0.2079207920792079	0.0340356564019448	query_1	['GO:0031344', 'GO:0120036']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'FYN', 'CXCL12', 'LYN', 'PIK3CA', 'CERS2', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
