Neuroectodermal melanolysosomal disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
170	REAC	REAC:R-HSA-8943724	Regulation of PTEN gene transcription	4.2830636754823364e-13	True	Regulation of PTEN gene transcription	59	101	11	17376	0.1089108910891089	0.1864406779661017	query_1	['REAC:R-HSA-6807070']	['BMI1', 'RING1', 'HDAC1', 'PHC1', 'RBBP4', 'RCOR1', 'RNF2', 'TP53', 'HDAC2', 'KDM1A', 'PHC3']
171	GO:CC	GO:0043231	intracellular membrane-bounded organelle	4.740727661654405e-13	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11246	101	97	17376	0.9603960396039604	0.0086252889916414	query_1	['GO:0043227', 'GO:0043229']	['SMAD1', 'MYRIP', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'SYTL3', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MYO5A', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'KLC1', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
172	GO:BP	GO:0043549	regulation of kinase activity	5.392327398169135e-13	True	"""Any process that modulates the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:bf]"	695	101	26	17376	0.2574257425742574	0.037410071942446	query_1	['GO:0042325', 'GO:0051338']	['PKMYT1', 'CDKN2B', 'AKT1', 'SERTAD1', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CCND3', 'CDKN1B', 'CCND1']
173	REAC	REAC:R-HSA-597592	Post-translational protein modification	6.595954772158388e-13	True	Post-translational protein modification	1338	101	34	17376	0.3366336633663366	0.0254110612855007	query_1	['REAC:R-HSA-392499']	['SMAD1', 'BMI1', 'MYC', 'CREBBP', 'CCNA1', 'TRRAP', 'RING1', 'HDAC1', 'PHC1', 'DNMT1', 'RBX1', 'SIN3A', 'PSMC5', 'CCNA2', 'SMAD2', 'SKP1', 'SMAD4', 'USP37', 'EP300', 'RUVBL1', 'CDK1', 'CDKN2A', 'PCGF2', 'UBE2W', 'ESR1', 'SKP2', 'L3MBTL2', 'RNF2', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'RAB27A', 'PHC3']
174	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	6.972938047213697e-13	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1931	101	41	17376	0.4059405940594059	0.0212325220093215	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['SMAD1', 'AKT1', 'MYC', 'SERTAD1', 'CREBBP', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'SIN3A', 'PSMC5', 'E2F5', 'CCNA2', 'E2F2', 'SMAD2', 'RYBP', 'SMAD4', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'CDKN2A', 'CDK2', 'SP1', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1']
175	GO:BP	GO:0012501	programmed cell death	9.017328940224934e-13	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1849	101	40	17376	0.396039603960396	0.0216333153055705	query_1	['GO:0008219']	['BMI1', 'AKT1', 'MYC', 'CDK5', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'CDK5R1', 'CDKN1A', 'E2F2', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'NQO1', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
176	REAC	REAC:R-HSA-1257604	PIP3 activates AKT signaling	9.105852400335394e-13	True	PIP3 activates AKT signaling	249	101	17	17376	0.1683168316831683	0.0682730923694779	query_1	['REAC:R-HSA-9006925']	['BMI1', 'AKT1', 'RING1', 'HDAC1', 'PHC1', 'RBBP4', 'PSMC5', 'CDKN1A', 'RCOR1', 'ESR1', 'FOXO1', 'RNF2', 'CDKN1B', 'TP53', 'HDAC2', 'KDM1A', 'PHC3']
177	GO:BP	GO:1901564	organonitrogen compound metabolic process	9.857667534774848e-13	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	5950	101	72	17376	0.7128712871287128	0.0121008403361344	query_1	['GO:0006807', 'GO:0071704']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'CCNA2', 'AZIN1', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'USP37', 'EP300', 'CCND2', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'UBE2W', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
178	GO:BP	GO:0045859	regulation of protein kinase activity	1.0768633442899498e-12	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	591	101	24	17376	0.2376237623762376	0.0406091370558375	query_1	['GO:0001932', 'GO:0043549']	['PKMYT1', 'CDKN2B', 'AKT1', 'SERTAD1', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CCND3', 'CDKN1B', 'CCND1']
179	GO:BP	GO:0050790	regulation of catalytic activity	1.0978126850230685e-12	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1766	101	39	17376	0.3861386138613861	0.022083805209513	query_1	['GO:0065009']	['PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'SERTAD1', 'CDK5', 'OAZ2', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'CTNNB1', 'RB1', 'HDAC1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'CCND2', 'MNAT1', 'CDKN2C', 'CDKN2A', 'ESR1', 'CCND3', 'NQO1', 'CDKN1B', 'TP53', 'SMAD3', 'CCND1']
180	GO:BP	GO:0043067	regulation of programmed cell death	1.1062520240673842e-12	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	101	35	17376	0.3465346534653465	0.0249110320284697	query_1	['GO:0010941', 'GO:0012501']	['BMI1', 'AKT1', 'MYC', 'CDK5', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'CDK5R1', 'CDKN1A', 'RYBP', 'SMAD4', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'NQO1', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
181	GO:BP	GO:0006259	DNA metabolic process	1.2613576144895192e-12	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1006	101	30	17376	0.297029702970297	0.0298210735586481	query_1	['GO:0090304']	['BMI1', 'AKT1', 'MYC', 'EHMT2', 'CDK7', 'CCNE2', 'TFDP1', 'TRRAP', 'CTNNB1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'USP37', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'UBE2W', 'KAT5', 'TP53', 'KDM1A', 'EPC1']
182	GO:BP	GO:0048144	fibroblast proliferation	1.2613576144895192e-12	True	"""The multiplication or reproduction of fibroblast cells, resulting in the expansion of the fibroblast population."" [GOC:jid]"	106	101	13	17376	0.1287128712871287	0.1226415094339622	query_1	['GO:0008283']	['BMI1', 'MYC', 'CKS1B', 'CCNB1', 'CTNNB1', 'CDKN1A', 'CCNA2', 'E2F1', 'CDK1', 'ESR1', 'CDK4', 'TP53', 'CDK6']
183	GO:BP	GO:0016310	phosphorylation	1.8131067642681332e-12	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1701	101	38	17376	0.3762376237623762	0.0223398001175778	query_1	['GO:0006796']	['SMAD1', 'PKMYT1', 'CDKN2B', 'AKT1', 'CKS1B', 'SERTAD1', 'CDK5', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SMAD2', 'SMAD4', 'CCND2', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'TP53', 'HDAC2', 'CDK6', 'CCND1']
184	GO:BP	GO:0006915	apoptotic process	1.8803705716727903e-12	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1798	101	39	17376	0.3861386138613861	0.021690767519466	query_1	['GO:0012501']	['BMI1', 'AKT1', 'MYC', 'CDK5', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'DNMT1', 'SIN3A', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'E2F2', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'NQO1', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
185	GO:BP	GO:0071704	organic substance metabolic process	2.0040568846441974e-12	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9976	101	92	17376	0.9108910891089108	0.0092221331194867	query_1	['GO:0008152']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
186	GO:BP	GO:0009719	response to endogenous stimulus	2.3745345906599315e-12	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"	1624	101	37	17376	0.3663366336633663	0.022783251231527	query_1	['GO:0050896']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'STAT3', 'MAX', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'DNMT1', 'SIN3A', 'CDK5R1', 'CCNA2', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'MYO5A', 'SP1', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
187	GO:BP	GO:0048518	positive regulation of biological process	2.5094879097783428e-12	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5895	101	71	17376	0.7029702970297029	0.0120441051738761	query_1	['GO:0008150', 'GO:0050789']	['SMAD1', 'MYRIP', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'SERTAD1', 'CREBBP', 'CDK5', 'OAZ2', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CDK7', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'DNMT1', 'RBX1', 'SIN3A', 'PSMC5', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1']
188	REAC	REAC:R-HSA-157118	Signaling by NOTCH	2.947347906174391e-12	True	Signaling by NOTCH	226	101	16	17376	0.1584158415841584	0.0707964601769911	query_1	['REAC:R-HSA-162582']	['AKT1', 'MYC', 'CREBBP', 'TFDP1', 'HDAC1', 'RBX1', 'PSMC5', 'SKP1', 'EP300', 'E2F1', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'CCND1']
189	GO:BP	GO:0065007	biological regulation	4.195657806838266e-12	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10859	101	95	17376	0.9405940594059404	0.0087485035454461	query_1	['GO:0008150']	['SMAD1', 'MYRIP', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'KIF5A', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MYO5A', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
190	GO:BP	GO:0008284	positive regulation of cell population proliferation	4.664146674397679e-12	True	"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]"	909	101	28	17376	0.2772277227722772	0.0308030803080308	query_1	['GO:0008283', 'GO:0042127', 'GO:0048522']	['BMI1', 'AKT1', 'MYC', 'SERTAD1', 'STAT3', 'ODC1', 'CCNB1', 'CTNNB1', 'HDAC1', 'SMARCA4', 'CCNE1', 'DNMT1', 'CDKN1A', 'CCNA2', 'SMAD4', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDK2', 'SP1', 'ESR1', 'CDK4', 'CDKN1B', 'HDAC2', 'KDM1A', 'CDK6', 'CCND1']
191	REAC	REAC:R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	5.316990699759169e-12	True	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	36	101	9	17376	0.0891089108910891	0.25	query_1	['REAC:R-HSA-8878171']	['BMI1', 'RING1', 'PHC1', 'SMARCA4', 'RYBP', 'EP300', 'YAF2', 'RNF2', 'PHC3']
192	GO:BP	GO:0051301	cell division	5.4627004405049735e-12	True	"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]"	640	101	24	17376	0.2376237623762376	0.0375	query_1	['GO:0009987']	['BMI1', 'MYC', 'CKS1B', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'RB1', 'CCNE1', 'CCNB2', 'CCNA2', 'USP37', 'CCND2', 'RUVBL1', 'CDK1', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1']
193	GO:CC	GO:0043229	intracellular organelle	5.530539526073548e-12	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12235	101	99	17376	0.9801980198019802	0.0080915406620351	query_1	['GO:0005622', 'GO:0043226']	['SMAD1', 'MYRIP', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'KIF5A', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'KLC4', 'CCNE2', 'RBL2', 'SYTL3', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'KIF5B', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MYO5A', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'KLC1', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
194	REAC	REAC:R-HSA-9006925	Intracellular signaling by second messengers	9.22235460713558e-12	True	Intracellular signaling by second messengers	288	101	17	17376	0.1683168316831683	0.0590277777777777	query_1	['REAC:R-HSA-162582']	['BMI1', 'AKT1', 'RING1', 'HDAC1', 'PHC1', 'RBBP4', 'PSMC5', 'CDKN1A', 'RCOR1', 'ESR1', 'FOXO1', 'RNF2', 'CDKN1B', 'TP53', 'HDAC2', 'KDM1A', 'PHC3']
195	GO:BP	GO:0008219	cell death	1.2392635721060398e-11	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2010	101	40	17376	0.396039603960396	0.0199004975124378	query_1	['GO:0009987']	['BMI1', 'AKT1', 'MYC', 'CDK5', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'CDK5R1', 'CDKN1A', 'E2F2', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2A', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'NQO1', 'CDKN1B', 'CUL1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1', 'CCND1']
196	REAC	REAC:R-HSA-4655427	SUMOylation of DNA methylation proteins	1.3254952518979298e-11	True	SUMOylation of DNA methylation proteins	15	101	7	17376	0.0693069306930693	0.4666666666666667	query_1	['REAC:R-HSA-3108232']	['BMI1', 'RING1', 'PHC1', 'DNMT1', 'PCGF2', 'RNF2', 'PHC3']
197	REAC	REAC:R-HSA-6807070	PTEN Regulation	1.468682269844224e-11	True	PTEN Regulation	138	101	13	17376	0.1287128712871287	0.0942028985507246	query_1	['REAC:R-HSA-1257604']	['BMI1', 'AKT1', 'RING1', 'HDAC1', 'PHC1', 'RBBP4', 'PSMC5', 'RCOR1', 'RNF2', 'TP53', 'HDAC2', 'KDM1A', 'PHC3']
198	GO:CC	GO:0035102	PRC1 complex	1.728617412770905e-11	True	"""A multiprotein complex that mediates monoubiquitination of lysine residues of histone H2A (lysine-118 in Drosophila or lysine-119 in mammals). The complex is required for stable long-term maintenance of transcriptionally repressed states and is involved in chromatin remodeling."" [GOC:bf, PMID:10412979]"	15	101	7	17376	0.0693069306930693	0.4666666666666667	query_1	['GO:0000152', 'GO:0031519']	['BMI1', 'RING1', 'PHC1', 'PCGF6', 'PCGF2', 'RNF2', 'PHC3']
199	REAC	REAC:R-HSA-3899300	SUMOylation of transcription cofactors	1.8009546981491832e-11	True	SUMOylation of transcription cofactors	41	101	9	17376	0.0891089108910891	0.2195121951219512	query_1	['REAC:R-HSA-3108232']	['BMI1', 'CREBBP', 'RING1', 'PHC1', 'SIN3A', 'EP300', 'PCGF2', 'RNF2', 'PHC3']
200	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	1.860520299440641e-11	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	101	31	17376	0.3069306930693069	0.0257903494176372	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['SMAD1', 'AKT1', 'MYC', 'SERTAD1', 'CREBBP', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SIN3A', 'E2F2', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'CDKN2A', 'SP1', 'ESR1', 'FOXO1', 'KAT5', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'EPC1']
