Branchioskeletogenital syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
559	GO:BP	GO:1901652	response to peptide	1.334258319143928e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	490	100	15	17376	0.15	0.0306122448979591	query_1	['GO:0010243', 'GO:1901700']	['AKT1', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'NCOA2', 'SIRT1', 'NOTCH1', 'SP1', 'KAT2B', 'FOXO1', 'APP', 'TP53', 'SMARCC1', 'NCOA1']
560	GO:BP	GO:0035107	appendage morphogenesis	1.399164259373186e-06	True	"""The process in which the anatomical structures of appendages are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [ISBN:0582227089]"	143	100	9	17376	0.09	0.0629370629370629	query_1	['GO:0009653', 'GO:0048736']	['CREBBP', 'PSEN1', 'CTNNB1', 'HDAC1', 'SMAD4', 'NOTCH1', 'NOTCH2', 'SKI', 'HDAC2']
561	GO:BP	GO:0035108	limb morphogenesis	1.399164259373186e-06	True	"""The process in which the anatomical structures of a limb are generated and organized. A limb is a paired appendage of a tetrapod used for locomotion or grasping."" [UBERON:0002101]"	143	100	9	17376	0.09	0.0629370629370629	query_1	['GO:0035107', 'GO:0060173']	['CREBBP', 'PSEN1', 'CTNNB1', 'HDAC1', 'SMAD4', 'NOTCH1', 'NOTCH2', 'SKI', 'HDAC2']
562	GO:BP	GO:0034968	histone lysine methylation	1.4148524147280167e-06	True	"""The modification of a histone by addition of one or more methyl groups to a lysine residue."" [GOC:mah, GOC:pr]"	103	100	8	17376	0.08	0.0776699029126213	query_1	['GO:0016571', 'GO:0018022']	['CTNNB1', 'KMT2A', 'SMARCB1', 'SIRT1', 'SMAD4', 'MECP2', 'SNW1', 'KDM1A']
563	GO:BP	GO:0097150	neuronal stem cell population maintenance	1.425507874276162e-06	True	"""Any process in by an organism or tissue maintains a population of neuronal stem cells."" [CL:0000047, GOC:dos, GOC:yaf, PMID:11399758]"	22	100	5	17376	0.05	0.2272727272727272	query_1	['GO:0019827']	['REST', 'DLL1', 'NOTCH1', 'CDH2', 'FOXO1']
564	GO:BP	GO:2000629	negative regulation of miRNA metabolic process	1.425507874276162e-06	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]"	22	100	5	17376	0.05	0.2272727272727272	query_1	['GO:0010586', 'GO:0051253', 'GO:2000628']	['REST', 'NCOR2', 'NCOR1', 'ESR1', 'RARA']
565	GO:BP	GO:0044085	cellular component biogenesis	1.4653358032867322e-06	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]"	3090	100	40	17376	0.4	0.0129449838187702	query_1	['GO:0071840']	['SMAD1', 'REST', 'UBE2I', 'WDR77', 'CREBBP', 'ADAM10', 'SRC', 'PSEN1', 'PIK3R1', 'KAT2A', 'NR1H2', 'CTNNB1', 'CDH11', 'SMARCA4', 'KMT2A', 'SIN3A', 'WWTR1', 'CTNNA1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'MECP2', 'PRMT5', 'NCOR1', 'HDAC3', 'CDH1', 'KAT2B', 'ESR1', 'APP', 'CTNND1', 'CLNS1A', 'TP53', 'CDH5', 'SMAD3', 'CDH10', 'JUP']
566	GO:BP	GO:0043408	regulation of MAPK cascade	1.4676946749255752e-06	True	"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]"	644	100	17	17376	0.17	0.0263975155279503	query_1	['GO:0000165', 'GO:1902531']	['SRC', 'PSEN1', 'CTNNB1', 'AR', 'EGFR', 'SMAD4', 'NOTCH1', 'CDH2', 'NOTCH2', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'FOXO1', 'PDE8A', 'APP', 'HIPK2']
567	GO:BP	GO:0050870	positive regulation of T cell activation	1.4758870063890228e-06	True	"""Any process that activates or increases the frequency, rate or extent of T cell activation."" [GOC:ai]"	242	100	11	17376	0.11	0.0454545454545454	query_1	['GO:0042110', 'GO:0050863', 'GO:0051251', 'GO:1903039']	['AKT1', 'CBFB', 'SRC', 'FOXO3', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RARA', 'SMARCC1']
568	GO:BP	GO:0022607	cellular component assembly	1.494850759252087e-06	True	"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]"	2839	100	38	17376	0.38	0.0133849947164494	query_1	['GO:0016043', 'GO:0044085']	['SMAD1', 'UBE2I', 'WDR77', 'CREBBP', 'ADAM10', 'SRC', 'PSEN1', 'PIK3R1', 'KAT2A', 'NR1H2', 'CTNNB1', 'CDH11', 'SMARCA4', 'KMT2A', 'WWTR1', 'CTNNA1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'MECP2', 'PRMT5', 'NCOR1', 'HDAC3', 'CDH1', 'KAT2B', 'ESR1', 'APP', 'CTNND1', 'CLNS1A', 'TP53', 'CDH5', 'SMAD3', 'CDH10', 'JUP']
569	GO:BP	GO:0001708	cell fate specification	1.4998763920257942e-06	True	"""The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate."" [GOC:go_curators]"	104	100	8	17376	0.08	0.0769230769230769	query_1	['GO:0045165', 'GO:0048869']	['PSEN1', 'CTNNB1', 'HDAC1', 'DLL1', 'AR', 'NOTCH1', 'RBPJ', 'HDAC2']
570	GO:BP	GO:0043588	skin development	1.5990923086694577e-06	True	"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]"	301	100	12	17376	0.12	0.0398671096345514	query_1	['GO:0048513']	['NCOA3', 'PSEN1', 'CTNNB1', 'HDAC1', 'DLL1', 'EGFR', 'SMAD4', 'NOTCH1', 'RBPJ', 'HDAC3', 'HDAC2', 'JUP']
571	GO:BP	GO:1902692	regulation of neuroblast proliferation	1.611067528279954e-06	True	"""Any process that modulates the frequency, rate or extent of neuroblast proliferation."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:21168496]"	43	100	6	17376	0.06	0.1395348837209302	query_1	['GO:0007405', 'GO:2000177']	['CTNNB1', 'FOXG1', 'CTNNA1', 'NOTCH1', 'TP53', 'KDM1A']
572	GO:BP	GO:0034205	amyloid-beta formation	1.611067528279954e-06	True	"""The generation of amyloid-beta by cleavage of the amyloid precursor protein (APP)."" [GOC:mah]"	43	100	6	17376	0.06	0.1395348837209302	query_1	['GO:0042987', 'GO:0050435']	['PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A', 'SP1']
573	GO:BP	GO:0050863	regulation of T cell activation	1.613916621867226e-06	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	363	100	13	17376	0.13	0.0358126721763085	query_1	['GO:0042110', 'GO:0051249']	['AKT1', 'CBFB', 'SRC', 'KAT2A', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RARA', 'SMARCC1']
574	GO:BP	GO:0009991	response to extracellular stimulus	1.6273849604545509e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:go_curators]"	499	100	15	17376	0.15	0.0300601202404809	query_1	['GO:0009605']	['RXRA', 'AKT1', 'SRC', 'KAT2A', 'FOXO3', 'NR1H2', 'RXRB', 'SIRT1', 'SNW1', 'SP1', 'FOXO1', 'RARA', 'TBL1XR1', 'TP53', 'NCOA1']
575	GO:BP	GO:0002067	glandular epithelial cell differentiation	1.6607482375841525e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland."" [GOC:dph]"	71	100	7	17376	0.07	0.0985915492957746	query_1	['GO:0002065']	['AKT1', 'WDR77', 'CTNNB1', 'DLL1', 'NOTCH1', 'CDH2', 'RARA']
576	GO:BP	GO:0043543	protein acylation	1.7039996852406329e-06	True	"""The addition of an acyl group, any group or radical of the form RCO- where R is an organic group, to a protein amino acid."" [GOC:jl]"	246	100	11	17376	0.11	0.0447154471544715	query_1	['GO:0036211']	['CTBP1', 'CREBBP', 'KAT2A', 'SMARCB1', 'SIRT1', 'SMAD4', 'EP300', 'MECP2', 'KAT2B', 'FOXO1', 'HDAC2']
577	GO:BP	GO:0072001	renal system development	1.7504263941997912e-06	True	"""The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."" [GOC:mtg_kidney_jan10, GOC:yaf, http://en.wikibooks.org/wiki/Human_Physiology/The_Urinary_System]"	304	100	12	17376	0.12	0.0394736842105263	query_1	['GO:0048731']	['SMAD1', 'NOTCH3', 'CTNNB1', 'DLL1', 'WWTR1', 'SMAD2', 'SMAD4', 'NOTCH1', 'NOTCH2', 'APH1A', 'RARA', 'SMAD3']
578	GO:BP	GO:0035357	peroxisome proliferator activated receptor signaling pathway	1.753464022451152e-06	True	"""The series of molecular signals initiated by binding of a ligand to any of the peroxisome proliferator activated receptors (alpha, beta or gamma) in the nuclear membrane, and ending with the initiation or termination of the transcription of target genes."" [GOC:BHF, PMID:18221086]"	23	100	5	17376	0.05	0.217391304347826	query_1	['GO:0030522']	['RXRA', 'NCOA2', 'SIRT1', 'GPS2', 'NCOA1']
579	GO:BP	GO:0042982	amyloid precursor protein metabolic process	1.8138013181728816e-06	True	"""The chemical reactions and pathways involving amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."" [GOC:go_curators]"	72	100	7	17376	0.07	0.0972222222222222	query_1	['GO:0019538']	['ADAM10', 'PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A', 'SP1']
580	GO:BP	GO:0061198	fungiform papilla formation	1.8206837751599504e-06	True	"""The developmental process pertaining to the initial formation of a spongiform papilla from unspecified parts. The fungiform papilla is a mushroom-shaped papilla of the tongue."" [GOC:dph]"	3	100	3	17376	0.03	1.0	query_1	['GO:0048646', 'GO:0061197']	['CTNNB1', 'HDAC1', 'HDAC2']
581	GO:BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1.8206837751599504e-06	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	107	100	8	17376	0.08	0.0747663551401869	query_1	['GO:0006974', 'GO:0097193']	['PIK3R1', 'SIRT1', 'EP300', 'SNW1', 'TP53', 'KDM1A', 'SKIL', 'HIPK2']
582	REAC	REAC:R-HSA-3928665	EPH-ephrin mediated repulsion of cells	1.8460969957756357e-06	True	EPH-ephrin mediated repulsion of cells	48	100	6	17376	0.06	0.125	query_1	['REAC:R-HSA-2682334']	['ADAM10', 'PSEN1', 'APH1B', 'NCSTN', 'PSENEN', 'APH1A']
583	GO:CC	GO:0032444	activin responsive factor complex	1.959616894048896e-06	True	"""A transcriptionally active complex that binds to an activin response element (ARE) in the promoter of target genes, and is composed of two SMAD2 proteins, one SMAD4 protein and a Forkhead activin signal transducer (FAST) transcription factor."" [PMID:12374795, PMID:9288972]"	3	100	3	17376	0.03	1.0	query_1	['GO:0090575']	['SMAD2', 'SMAD4', 'FOXH1']
584	GO:CC	GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	1.959616894048896e-06	True	"""A protein complex that consists of the intracellular domain of Notch1 (ICN1), the DNA-binding transcription factor RBP-Jkappa, and the transcriptional coactivator Mastermind-like-1 (MAML1); the complex is involved in transcriptional activation in response to Notch-mediated signaling."" [CORUM:2949, PMID:16510869]"	3	100	3	17376	0.03	1.0	query_1	['GO:0032991']	['MAML1', 'NOTCH1', 'RBPJ']
585	GO:BP	GO:0045661	regulation of myoblast differentiation	1.982827458400255e-06	True	"""Any process that modulates the frequency, rate or extent of myoblast differentiation. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers."" [CL:0000056, GOC:go_curators, GOC:mtg_muscle]"	73	100	7	17376	0.07	0.0958904109589041	query_1	['GO:0045445', 'GO:0045595']	['SMARCA4', 'SMARCA2', 'DLL1', 'SMARCB1', 'NOTCH1', 'SMARCC2', 'SMARCC1']
586	GO:BP	GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development	2.0691149861379145e-06	True	"""Any process that modulates the rate, frequency or extent of epithelial cell proliferation that contributes to the progression of the prostate gland over time."" [GOC:dph]"	10	100	4	17376	0.04	0.4	query_1	['GO:0050678', 'GO:0060767', 'GO:2000241']	['WDR77', 'CTNNB1', 'AR', 'NOTCH1']
587	GO:CC	GO:0140092	bBAF complex	2.1785327499057235e-06	True	"""A brain-specific SWI/SNF-type complex that contains eight or nine proteins, including both conserved (core) and nonconserved components; contains the ATPase product of either the SMARCA4/BAF190A/BRG1 gene, the mammalian ortholog of the yeast SNF2 gene, or the SMARCA2/BAF190B/BRM gene, the mammalian ortholog of the Drosophila brm (brahma) gene, or an ortholog of either of these genes. Compared to the neuron-specific nBAF complex (GO:0071565) it does not contain DPF1, DPF3 or SMARCC1 or their orthologs. May contain PB1/BAF180."" [GOC:bhm, PMID:12368262, PMID:12620226, PMID:15525990, PMID:17640523, PMID:17920018, PMID:8804307, PMID:8895581]"	10	100	4	17376	0.04	0.4	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2']
588	GO:BP	GO:0009987	cellular process	2.1926333598346696e-06	True	"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]"	14469	100	99	17376	0.99	0.0068422143893842	query_1	['GO:0008150']	['SMAD1', 'REST', 'MAML1', 'MAML2', 'NRIP1', 'RXRA', 'UBE2I', 'CTBP1', 'NOTCH3', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CDK8', 'CREBBP', 'CBFB', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'KAT2A', 'COPRS', 'APH1B', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'NCSTN', 'CDH11', 'SMARCA4', 'SMARCA2', 'KMT2A', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'DLL1', 'RXRB', 'NR1H3', 'CBLL1', 'AR', 'WWTR1', 'PSENEN', 'CTNNA1', 'SUMO1', 'SMAD2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMAD9', 'SMAD4', 'NOTCH1', 'ARHGAP10', 'RUNX1', 'CDH2', 'EP300', 'RBPJ', 'MECP2', 'NOTCH2', 'PRMT5', 'APH1A', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'CDH1', 'SKI', 'SNW1', 'RCOR1', 'SP1', 'KAT2B', 'ESR1', 'ARHGAP26', 'CTNNA2', 'FOXO1', 'MAML3', 'PDE8A', 'DRAP1', 'RARA', 'APP', 'FOXH1', 'CTNND1', 'CLNS1A', 'TBL1XR1', 'TP53', 'PKN3', 'CDH5', 'SMAD3', 'HDAC2', 'KDM1A', 'SMARCC1', 'SKIL', 'NCOA1', 'HIPK2', 'CCNC', 'CDH10', 'JUP']
589	GO:BP	GO:0097190	apoptotic signaling pathway	2.273057297983328e-06	True	"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]"	588	100	16	17376	0.16	0.0272108843537414	query_1	['GO:0006915', 'GO:0007165']	['AKT1', 'SRC', 'PSEN1', 'PIK3R1', 'CTNNB1', 'HDAC1', 'AR', 'CTNNA1', 'SIRT1', 'EP300', 'SNW1', 'TP53', 'SMAD3', 'KDM1A', 'SKIL', 'HIPK2']
590	GO:BP	GO:0003007	heart morphogenesis	2.295754954585376e-06	True	"""The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:dph, GOC:isa_complete]"	254	100	11	17376	0.11	0.0433070866141732	query_1	['GO:0007507', 'GO:0009887']	['PSEN1', 'CTNNB1', 'DLL1', 'SMAD2', 'SMAD4', 'NOTCH1', 'RBPJ', 'NOTCH2', 'FOXH1', 'TP53', 'SMAD3']
591	GO:BP	GO:0000902	cell morphogenesis	2.2958897100964093e-06	True	"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"	921	100	20	17376	0.2	0.02171552660152	query_1	['GO:0009653']	['NOTCH3', 'SRC', 'PSEN1', 'CTNNB1', 'CDH11', 'FOXG1', 'SIN3A', 'AR', 'EGFR', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'NOTCH2', 'CDH1', 'CTNNA2', 'APP', 'CDH5', 'SKIL', 'CDH10']
592	GO:BP	GO:0033002	muscle cell proliferation	2.328317899325445e-06	True	"""The expansion of a muscle cell population by cell division."" [CL:0000187, GOC:mah]"	201	100	10	17376	0.1	0.0497512437810945	query_1	['GO:0008283']	['SMAD1', 'NOTCH3', 'AKT1', 'SRC', 'CTNNB1', 'HDAC1', 'NOTCH1', 'RUNX1', 'RBPJ', 'SKI']
593	GO:BP	GO:0031647	regulation of protein stability	2.4114353039399022e-06	True	"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]"	314	100	12	17376	0.12	0.0382165605095541	query_1	['GO:0065008']	['CREBBP', 'SRC', 'PIK3R1', 'KAT2A', 'TBL1X', 'SUMO1', 'SIRT1', 'EP300', 'HDAC3', 'CTNND1', 'TP53', 'SMAD3']
594	GO:BP	GO:0050679	positive regulation of epithelial cell proliferation	2.426863310258701e-06	True	"""Any process that activates or increases the rate or extent of epithelial cell proliferation."" [GOC:ai]"	202	100	10	17376	0.1	0.0495049504950495	query_1	['GO:0008284', 'GO:0050673', 'GO:0050678']	['AKT1', 'STAT3', 'CTNNB1', 'AR', 'EGFR', 'SIRT1', 'NOTCH1', 'RBPJ', 'NOTCH2', 'SP1']
595	GO:BP	GO:0032869	cellular response to insulin stimulus	2.534757614193301e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]"	203	100	10	17376	0.1	0.0492610837438423	query_1	['GO:0032868', 'GO:0071375']	['AKT1', 'SRC', 'PIK3R1', 'NCOA2', 'SIRT1', 'SP1', 'KAT2B', 'FOXO1', 'SMARCC1', 'NCOA1']
596	GO:BP	GO:0031175	neuron projection development	2.561659602618817e-06	True	"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]"	928	100	20	17376	0.2	0.021551724137931	query_1	['GO:0048666', 'GO:0120036']	['NOTCH3', 'AKT1', 'PSEN1', 'CTNNB1', 'CDH11', 'FOXG1', 'SIN3A', 'CTNNA1', 'SMAD4', 'NOTCH1', 'CDH2', 'EP300', 'MECP2', 'NOTCH2', 'CDH1', 'CTNNA2', 'APP', 'HDAC2', 'KDM1A', 'SKIL']
597	GO:BP	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	2.634458403737483e-06	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	47	100	6	17376	0.06	0.1276595744680851	query_1	['GO:0008630', 'GO:0072332']	['SIRT1', 'EP300', 'SNW1', 'TP53', 'KDM1A', 'HIPK2']
598	GO:BP	GO:0030850	prostate gland development	2.634458403737483e-06	True	"""The process whose specific outcome is the progression of the prostate gland over time, from its formation to the mature structure. The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid."" [PMID:11839751]"	47	100	6	17376	0.06	0.1276595744680851	query_1	['GO:0001655', 'GO:0048608', 'GO:0048732']	['WDR77', 'CTNNB1', 'AR', 'NOTCH1', 'ESR1', 'RARA']
599	GO:BP	GO:1905207	regulation of cardiocyte differentiation	2.634458403737483e-06	True	"""Any process that modulates the frequency, rate or extent of cardiocyte differentiation."" [GO_REF:0000058, GOC:bc, GOC:BHF, GOC:BHF_miRNA, GOC:TermGenie, PMID:23069713]"	25	100	5	17376	0.05	0.2	query_1	['GO:0035051', 'GO:0045595']	['KAT2A', 'DLL1', 'EGFR', 'SMAD4', 'HDAC3']
600	GO:BP	GO:0010875	positive regulation of cholesterol efflux	2.634458403737483e-06	True	"""Any process that increases the frequency, rate or extent of cholesterol efflux. Cholesterol efflux is the directed movement of cholesterol, cholest-5-en-3-beta-ol, out of a cell or organelle."" [GOC:BHF, GOC:dph, GOC:tb]"	25	100	5	17376	0.05	0.2	query_1	['GO:0010874', 'GO:0032376', 'GO:0033344']	['RXRA', 'NR1H2', 'NR1H3', 'SIRT1', 'GPS2']
601	GO:BP	GO:0022603	regulation of anatomical structure morphogenesis	2.986128174404364e-06	True	"""Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis."" [GOC:mah]"	849	100	19	17376	0.19	0.022379269729093	query_1	['GO:0009653', 'GO:0050793']	['SMAD1', 'SRC', 'PSEN1', 'STAT3', 'CTNNB1', 'DLL1', 'AR', 'SIRT1', 'NOTCH1', 'RUNX1', 'CDH2', 'MECP2', 'CDH1', 'SP1', 'ESR1', 'CDH5', 'SKIL', 'HIPK2', 'JUP']
602	GO:BP	GO:0031293	membrane protein intracellular domain proteolysis	3.100121724280736e-06	True	"""The proteolytic cleavage of a transmembrane protein leading to the release of an intracellular domain."" [PMID:12808018]"	11	100	4	17376	0.04	0.3636363636363636	query_1	['GO:0033619']	['APH1B', 'NCSTN', 'PSENEN', 'APH1A']
603	GO:BP	GO:0060742	epithelial cell differentiation involved in prostate gland development	3.100121724280736e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell of the prostate gland."" [GOC:dph]"	11	100	4	17376	0.04	0.3636363636363636	query_1	['GO:0003006', 'GO:0030850', 'GO:0030855']	['WDR77', 'CTNNB1', 'AR', 'NOTCH1']
604	GO:BP	GO:0045619	regulation of lymphocyte differentiation	3.100121724280736e-06	True	"""Any process that modulates the frequency, rate or extent of lymphocyte differentiation."" [GOC:go_curators]"	208	100	10	17376	0.1	0.048076923076923	query_1	['GO:0030098', 'GO:0051249', 'GO:1902105']	['CBFB', 'KAT2A', 'FOXO3', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'SMARCC2', 'RARA', 'SMARCC1']
605	GO:BP	GO:0007183	SMAD protein complex assembly	3.100121724280736e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a protein complex that contains SMAD proteins."" [GOC:isa_complete]"	11	100	4	17376	0.04	0.3636363636363636	query_1	['GO:0007178', 'GO:0065003']	['SMAD1', 'SMAD2', 'SMAD4', 'SMAD3']
606	GO:BP	GO:0060767	epithelial cell proliferation involved in prostate gland development	3.100121724280736e-06	True	"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population that contributes to the progression of the prostate gland over time."" [GOC:dph]"	11	100	4	17376	0.04	0.3636363636363636	query_1	['GO:0022414', 'GO:0030850', 'GO:0050673']	['WDR77', 'CTNNB1', 'AR', 'NOTCH1']
607	GO:BP	GO:0045766	positive regulation of angiogenesis	3.1295629296319045e-06	True	"""Any process that activates or increases angiogenesis."" [GOC:go_curators]"	159	100	9	17376	0.09	0.0566037735849056	query_1	['GO:0001525', 'GO:0045765', 'GO:1904018']	['SMAD1', 'STAT3', 'DLL1', 'SIRT1', 'RUNX1', 'SP1', 'CDH5', 'HIPK2', 'JUP']
608	GO:BP	GO:1904018	positive regulation of vasculature development	3.1295629296319045e-06	True	"""Any process that activates or increases the frequency, rate or extent of vasculature development."" [GO_REF:0000058, GOC:TermGenie, PMID:21472453]"	159	100	9	17376	0.09	0.0566037735849056	query_1	['GO:0001944', 'GO:0051094', 'GO:0051240', 'GO:1901342']	['SMAD1', 'STAT3', 'DLL1', 'SIRT1', 'RUNX1', 'SP1', 'CDH5', 'HIPK2', 'JUP']
609	GO:BP	GO:0007610	behavior	3.1851614400305795e-06	True	"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]"	605	100	16	17376	0.16	0.0264462809917355	query_1	['GO:0032501']	['AKT1', 'SRC', 'PSEN1', 'STAT3', 'KAT2A', 'NCOA2', 'NCSTN', 'KMT2A', 'EGFR', 'EP300', 'MECP2', 'NCOR1', 'APP', 'TP53', 'HDAC2', 'HIPK2']
610	GO:BP	GO:0006282	regulation of DNA repair	3.196249360292379e-06	True	"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	209	100	10	17376	0.1	0.0478468899521531	query_1	['GO:0006281', 'GO:0051052', 'GO:0080135']	['KAT2A', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'EGFR', 'SIRT1', 'SMARCC2', 'KAT2B', 'KDM1A', 'SMARCC1']
611	GO:BP	GO:0002065	columnar/cuboidal epithelial cell differentiation	3.196249360292379e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a columnar/cuboidal epithelial cell. A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube."" [GOC:dph]"	116	100	8	17376	0.08	0.0689655172413793	query_1	['GO:0030855']	['AKT1', 'WDR77', 'SRC', 'CTNNB1', 'DLL1', 'NOTCH1', 'CDH2', 'RARA']
612	GO:BP	GO:0002064	epithelial cell development	3.196249360292379e-06	True	"""The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface."" [GOC:dph]"	209	100	10	17376	0.1	0.0478468899521531	query_1	['GO:0030855', 'GO:0048468']	['AKT1', 'SRC', 'DLL1', 'AR', 'NOTCH1', 'CDH2', 'NOTCH2', 'ESR1', 'RARA', 'CDH5']
