Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
58	GO:BP	GO:0044770	cell cycle phase transition	1.2558589305657785e-17	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	550	100	29	15719	0.29	0.0527272727272727	query_1	['GO:0022402']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'PAXIP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53', 'POLE']
51	REAC	REAC:R-HSA-69239	Synthesis of DNA	1.5268255754224848e-17	True	Synthesis of DNA	121	96	19	10022	0.1979166666666666	0.1570247933884297	query_1	['REAC:R-HSA-69242', 'REAC:R-HSA-69306']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
60	GO:BP	GO:0010165	response to X-ray	1.5610666495645018e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:sm, Wikipedia:X-ray]"	32	100	12	15719	0.12	0.375	query_1	['GO:0010212']	['MSH2', 'TP53BP1', 'XRCC6', 'LIG4', 'BRCA2', 'XRCC4', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'RAD51', 'TP53']
59	GO:BP	GO:0051053	negative regulation of DNA metabolic process	1.5610666495645018e-17	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	137	100	18	15719	0.18	0.1313868613138686	query_1	['GO:0006259', 'GO:0010605', 'GO:0045934', 'GO:0051052']	['NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'MLH1', 'MSH3', 'OGG1', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'XRCC1', 'RMI2', 'TP53', 'MSH6']
61	GO:BP	GO:0002520	immune system development	1.9215000848730402e-17	True	"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]"	194	100	20	15719	0.2	0.1030927835051546	query_1	['GO:0002376', 'GO:0048731']	['NBN', 'MSH2', 'TP53BP1', 'DCLRE1C', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'TP53', 'RNF8', 'MSH6']
62	GO:BP	GO:0006312	mitotic recombination	3.0573597456613195e-17	True	"""The exchange, reciprocal or nonreciprocal, of genetic material between one DNA molecule and a homologous DNA region that occurs during mitotic cell cycles."" [GOC:elh]"	24	100	11	15719	0.11	0.4583333333333333	query_1	['GO:0006310']	['MSH2', 'RAD50', 'RAD52', 'MLH1', 'MSH3', 'BRCA2', 'ERCC1', 'ERCC4', 'MRE11', 'RAD51', 'XRCC1']
63	GO:BP	GO:0035825	homologous recombination	4.013315507521961e-17	True	"""A DNA recombination process that results in the exchange of an equal amount of genetic material between highly homologous DNA molecules."" [GOC:mah, PMID:11139492, PMID:17304215]"	61	100	14	15719	0.14	0.2295081967213114	query_1	['GO:0006310']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'RMI1']
64	GO:BP	GO:0042407	cristae formation	4.1573115140733257e-17	True	"""The assembly of cristae, the inwards folds of the inner mitochondrial membrane."" [GOC:jl, ISBN:0198506732]"	17	100	10	15719	0.1	0.5882352941176471	query_1	['GO:0007007']	['MICOS10', 'MICOS13', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT']
52	REAC	REAC:R-HSA-73893	DNA Damage Bypass	5.2217614493664265e-17	True	DNA Damage Bypass	48	96	14	10022	0.1458333333333333	0.2916666666666667	query_1	['REAC:R-HSA-73894']	['USP1', 'POLD3', 'WDR48', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
53	REAC	REAC:R-HSA-157579	Telomere Maintenance	6.88490244794414e-17	True	Telomere Maintenance	111	96	18	10022	0.1875	0.1621621621621621	query_1	['REAC:R-HSA-73886']	['POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'WRN', 'POLD2']
27	GO:CC	GO:0032993	protein-DNA complex	7.73083824016546e-17	True	"""A macromolecular complex containing both protein and DNA molecules."" [GOC:mah]"	227	102	20	16420	0.196078431372549	0.0881057268722467	query_1	['GO:0032991']	['RPA4', 'XPA', 'POLD3', 'RAD52', 'XRCC6', 'POLD4', 'H2AX', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'PRIM2', 'PRKDC', 'POLA2', 'POLD1', 'POLD2']
65	GO:BP	GO:0000018	regulation of DNA recombination	9.324352814302824e-17	True	"""Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."" [GOC:go_curators, ISBN:0198506732]"	126	100	17	15719	0.17	0.1349206349206349	query_1	['GO:0006310', 'GO:0051052']	['RBBP8', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'RPA2', 'MSH3', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'RMI2', 'MSH6']
54	REAC	REAC:R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	9.399862640225774e-17	True	Gap-filling DNA repair synthesis and ligation in TC-NER	63	96	15	10022	0.15625	0.238095238095238	query_1	['REAC:R-HSA-6781827']	['POLD3', 'LIG3', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'XRCC1', 'POLD1', 'POLE2', 'POLE', 'POLD2']
66	GO:BP	GO:0010564	regulation of cell cycle process	1.145728478581839e-16	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	710	100	31	15719	0.31	0.0436619718309859	query_1	['GO:0022402', 'GO:0051726']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'RMI2', 'TP53']
55	REAC	REAC:R-HSA-6782135	Dual incision in TC-NER	1.1966351588685167e-16	True	Dual incision in TC-NER	64	96	15	10022	0.15625	0.234375	query_1	['REAC:R-HSA-6781827']	['XPA', 'POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
56	REAC	REAC:R-HSA-69306	DNA Replication	2.3421066852173234e-16	True	DNA Replication	187	96	21	10022	0.21875	0.1122994652406417	query_1	['REAC:0000000']	['RPA4', 'POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
57	REAC	REAC:R-HSA-68952	DNA replication initiation	3.3152075121606076e-16	True	DNA replication initiation	8	96	8	10022	0.0833333333333333	1.0	query_1	['REAC:R-HSA-69239']	['POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'POLA2', 'POLE2', 'POLE']
58	REAC	REAC:R-HSA-5656169	Termination of translesion DNA synthesis	3.507298767980009e-16	True	Termination of translesion DNA synthesis	32	96	12	10022	0.125	0.375	query_1	['REAC:R-HSA-110313']	['POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
59	REAC	REAC:R-HSA-174437	Removal of the Flap Intermediate from the C-strand	4.504620830143755e-16	True	Removal of the Flap Intermediate from the C-strand	17	96	10	10022	0.1041666666666666	0.5882352941176471	query_1	['REAC:R-HSA-174414']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'PCNA', 'RPA3', 'RPA1', 'POLD1', 'WRN', 'POLD2']
60	REAC	REAC:R-HSA-912446	Meiotic recombination	4.609465954939638e-16	True	Meiotic recombination	86	96	16	10022	0.1666666666666666	0.1860465116279069	query_1	['REAC:R-HSA-1500620']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2']
67	GO:BP	GO:0010332	response to gamma radiation	5.835024405524126e-16	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]"	56	100	13	15719	0.13	0.2321428571428571	query_1	['GO:0010212']	['XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'RAD51', 'PRKDC', 'POLB', 'WRN', 'TP53']
68	GO:BP	GO:0006996	organelle organization	8.827859881696739e-16	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3437	100	61	15719	0.61	0.0177480360779749	query_1	['GO:0016043']	['MICOS10', 'HUS1', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'RAD50', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'MTX1', 'CHCHD3', 'LIG4', 'MLH1', 'FEN1', 'RPA2', 'MSH3', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'APOOL', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'APOO', 'CHCHD6', 'WRN', 'EMD', 'RMI2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'IMMT', 'BANF1', 'RNF8']
69	GO:BP	GO:0051716	cellular response to stimulus	1.5936765517736424e-15	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6649	100	83	15719	0.83	0.0124830801624304	query_1	['GO:0009987', 'GO:0050896']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
70	GO:BP	GO:0006282	regulation of DNA repair	1.6405314986668617e-15	True	"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	210	100	19	15719	0.19	0.0904761904761904	query_1	['GO:0006281', 'GO:0051052', 'GO:0080135']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'PCNA', 'PARP1', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'BARD1', 'RMI2', 'PNKP', 'RNF8']
71	GO:BP	GO:0031297	replication fork processing	2.1194720258854937e-15	True	"""The process in which a DNA replication fork that has stalled is restored to a functional state and replication is restarted. The stalling may be due to DNA damage, DNA secondary structure, bound proteins, dNTP shortage, or other causes."" [GOC:vw, PMID:11459955, PMID:15367656, PMID:17660542]"	46	100	12	15719	0.12	0.2608695652173913	query_1	['GO:0045005']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'PCNA', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'WRN']
28	GO:CC	GO:0044284	mitochondrial crista junction	2.52633967004952e-15	True	"""A tubular structure of relatively uniform size that connects a mitochondrial crista to the mitochondrial inner boundary membrane."" [GOC:mcc, PMID:21944719, PMID:21987634, PMID:22009199]"	7	102	7	16420	0.0686274509803921	1.0	query_1	['GO:0005743', 'GO:0044232']	['MICOS10', 'MICOS13', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'IMMT']
61	REAC	REAC:R-HSA-73886	Chromosome Maintenance	3.3255394779055e-15	True	Chromosome Maintenance	138	96	18	10022	0.1875	0.1304347826086956	query_1	['REAC:R-HSA-1640170']	['POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'WRN', 'POLD2']
62	REAC	REAC:R-HSA-69242	S Phase	3.524745811207355e-15	True	S Phase	162	96	19	10022	0.1979166666666666	0.1172839506172839	query_1	['REAC:R-HSA-69278']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
63	REAC	REAC:R-HSA-69091	Polymerase switching	5.003994707837856e-15	True	Polymerase switching	14	96	9	10022	0.09375	0.6428571428571429	query_1	['REAC:R-HSA-69109', 'REAC:R-HSA-69186']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
64	REAC	REAC:R-HSA-69109	Leading Strand Synthesis	5.003994707837856e-15	True	Leading Strand Synthesis	14	96	9	10022	0.09375	0.6428571428571429	query_1	['REAC:R-HSA-69190']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
65	REAC	REAC:R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	5.142458173052634e-15	True	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	39	96	12	10022	0.125	0.3076923076923077	query_1	['REAC:R-HSA-73893']	['POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
72	GO:BP	GO:0045930	negative regulation of mitotic cell cycle	6.322631730257296e-15	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	226	100	19	15719	0.19	0.084070796460177	query_1	['GO:0000278', 'GO:0007346', 'GO:0045786']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
29	GO:CC	GO:0043231	intracellular membrane-bounded organelle	7.80310863641909e-15	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11275	102	101	16420	0.9901960784313726	0.0089578713968957	query_1	['GO:0043227', 'GO:0043229']	['RBBP8', 'MICOS10', 'HUS1', 'RPA4', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'MTX1', 'CHCHD3', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'APOO', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
73	GO:BP	GO:0022616	DNA strand elongation	8.331748890186971e-15	True	"""The DNA metabolic process in which an existing DNA strand is extended by activities including the addition of nucleotides to the 3' end of the strand."" [GOC:isa_complete, GOC:mah]"	37	100	11	15719	0.11	0.2972972972972973	query_1	['GO:0006259']	['NBN', 'POLD3', 'RAD50', 'LIG3', 'LIG1', 'POLA1', 'PCNA', 'POLE3', 'MRE11', 'POLE', 'POLD2']
66	REAC	REAC:R-HSA-8949613	Cristae formation	1.3630806390315444e-14	True	Cristae formation	31	96	11	10022	0.1145833333333333	0.3548387096774194	query_1	['REAC:R-HSA-1592230']	['MICOS10', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'SAMM50', 'IMMT']
67	REAC	REAC:R-HSA-1500620	Meiosis	5.918289435767456e-14	True	Meiosis	116	96	16	10022	0.1666666666666666	0.1379310344827586	query_1	['REAC:R-HSA-1474165', 'REAC:R-HSA-1640170']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2']
30	GO:CC	GO:0070419	nonhomologous end joining complex	8.422099873791348e-14	True	"""A protein complex that plays a role in DNA double-strand break repair via nonhomologous end joining. Such complexes typically contain a specialized DNA ligase (e.g. Lig4 in eukaryotes) and one or more proteins that bind to DNA ends."" [GOC:mah, PMID:17072889, PMID:17938628]"	9	102	7	16420	0.0686274509803921	0.7777777777777778	query_1	['GO:0140535', 'GO:1990391']	['DCLRE1C', 'XRCC6', 'LIG4', 'XRCC4', 'XRCC5', 'NHEJ1', 'PRKDC']
74	GO:BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis	1.2384999156140873e-13	True	"""The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis."" [GOC:dph, GOC:tb]"	228	100	18	15719	0.18	0.0789473684210526	query_1	['GO:0090304']	['RBBP8', 'RAD50', 'DCLRE1C', 'APLF', 'FEN1', 'TDP1', 'RAD1', 'PMS2', 'APTX', 'ERCC4', 'RAD9A', 'MRE11', 'APEX1', 'EXO1', 'POLD1', 'WRN', 'PNKP', 'POLE']
75	GO:BP	GO:1903047	mitotic cell cycle process	3.2455070122812705e-13	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	750	100	28	15719	0.28	0.0373333333333333	query_1	['GO:0000278', 'GO:0022402']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53', 'BANF1', 'POLE']
76	GO:BP	GO:0006271	DNA strand elongation involved in DNA replication	3.4235019326526273e-13	True	"""The process in which an existing DNA strand is extended by activities including the addition of nucleotides to the 3' end of the strand, complementary to an existing template, as part of DNA replication."" [GOC:mah, ISBN:071673706X, ISBN:0815316194]"	15	100	8	15719	0.08	0.5333333333333333	query_1	['GO:0006261', 'GO:0022616']	['POLD3', 'LIG3', 'LIG1', 'POLA1', 'PCNA', 'POLE3', 'POLE', 'POLD2']
77	GO:BP	GO:0007006	mitochondrial membrane organization	3.482850915788628e-13	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrial membrane, either of the lipid bilayer surrounding a mitochondrion."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	114	100	14	15719	0.14	0.1228070175438596	query_1	['GO:0007005', 'GO:0061024']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'TP53', 'CHCHD10', 'SAMM50', 'IMMT']
31	GO:CC	GO:0070533	BRCA1-C complex	3.914560029236957e-13	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, CtIP and Mre11/Rad50/NBS1 (M/R/N) complex, and binds to DNA at DNA damage sites. BRCA1-C binding ta damaged DNA is required for DNA damage-induced Chk1 phosphorylation and the G2/M transition checkpoint."" [GOC:mah, PMID:15485915, PMID:16391231]"	6	102	6	16420	0.0588235294117647	1.0	query_1	['GO:0140513']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
80	GO:BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	6.243107116517051e-13	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, also known as immunoglobulin gene segments, within a single locus following the induction of and contributing to an immune response."" [GOC:add, ISBN:0781735149]"	53	100	11	15719	0.11	0.2075471698113207	query_1	['GO:0002208', 'GO:0016447']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
79	GO:BP	GO:0045190	isotype switching	6.243107116517051e-13	True	"""The switching of activated B cells from IgM biosynthesis to biosynthesis of other isotypes of immunoglobulin, accomplished through a recombination process involving an intrachromosomal deletion involving switch regions that reside 5' of each constant region gene segment in the immunoglobulin heavy chain locus."" [ISBN:0781735149]"	53	100	11	15719	0.11	0.2075471698113207	query_1	['GO:0002204', 'GO:0002312']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
78	GO:BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	6.243107116517051e-13	True	"""The somatic process that results in the generation of sequence diversity of immunoglobulins after induction, and contributes to an immune response."" [GOC:add, ISBN:0781735149, PMID:14991701]"	53	100	11	15719	0.11	0.2075471698113207	query_1	['GO:0002381', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
32	GO:CC	GO:0000794	condensed nuclear chromosome	6.459346299603578e-13	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct nuclear chromosome."" [GOC:elh]"	81	102	12	16420	0.1176470588235294	0.1481481481481481	query_1	['GO:0000228', 'GO:0000793']	['HUS1', 'RAD9B', 'RAD50', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1']
81	GO:BP	GO:0002440	production of molecular mediator of immune response	6.829568039696793e-13	True	"""The synthesis or release of any molecular mediator of the immune response, resulting in an increase in its intracellular or extracellular levels."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	215	100	17	15719	0.17	0.0790697674418604	query_1	['GO:0002376', 'GO:0010467']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
68	REAC	REAC:R-HSA-1643685	Disease	6.960566540057197e-13	True	Disease	1723	96	48	10022	0.5	0.0278583865351131	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'LMNA', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'XRCC6', 'WDR48', 'LIG4', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'POLA2', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'NEIL1', 'BANF1', 'MSH6']
