Dermatosparaxis Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
162	GO:BP	GO:0051050	positive regulation of transport	6.426855630984016e-10	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	889	100	26	15719	0.26	0.0292463442069741	query_1	['GO:0006810', 'GO:0048518', 'GO:0051049']	['RAPGEF1', 'ITGB1', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'HGS', 'TGFB3', 'PIK3R1', 'PTPN23', 'PLCG2', 'WASL', 'CYP4A11', 'FYN', 'STAM', 'FGB', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'ERBB2', 'VTN', 'GAB2', 'DOCK2', 'PTPN11', 'CBL']
163	GO:BP	GO:0016043	cellular component organization	6.895727658338053e-10	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6037	100	71	15719	0.71	0.0117608083485174	query_1	['GO:0071840']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'WIPF3', 'STAM2', 'CRK', 'PTPN23', 'HGF', 'RET', 'SHC1', 'ADAMTSL2', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'USP4', 'WIPF1', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'LYN', 'STAM', 'GFRA3', 'GRB2', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'CD247', 'TLN1', 'PTK2', 'DOCK2', 'ARTN', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2']
92	REAC	REAC:R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	7.834445166206743e-10	True	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	10	97	6	10022	0.0618556701030927	0.6	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'PDGFRA']
93	REAC	REAC:R-HSA-8875555	MET activates RAP1 and RAC1	7.834445166206743e-10	True	MET activates RAP1 and RAC1	10	97	6	10022	0.0618556701030927	0.6	query_1	['REAC:R-HSA-8875878']	['MET', 'RAPGEF1', 'CRK', 'HGF', 'GAB1', 'CRKL']
94	REAC	REAC:R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	7.834445166206743e-10	True	Signaling by PDGFRA extracellular domain mutants	10	97	6	10022	0.0618556701030927	0.6	query_1	['REAC:R-HSA-9671555']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SOS1', 'PIK3CA', 'PDGFRA']
95	REAC	REAC:R-HSA-1500931	Cell-Cell communication	7.978335542593341e-10	True	Cell-Cell communication	123	97	13	10022	0.134020618556701	0.1056910569105691	query_1	['REAC:0000000']	['ITGB1', 'NCK1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'WASL', 'PXN', 'FYN', 'PIK3CA', 'PTK2B', 'PTK2', 'PTPN11', 'NCK2']
164	GO:BP	GO:0010941	regulation of cell death	8.198628768973692e-10	True	"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]"	1554	100	34	15719	0.34	0.0218790218790218	query_1	['GO:0008219', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'BCAR1', 'PIK3CG', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'RET', 'SHC1', 'PLCG2', 'PIK3CD', 'ITGA5', 'FYN', 'LYN', 'EGFR', 'PIK3CA', 'FGB', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'PIK3R3', 'PTK2', 'LCK', 'CD3E', 'CBL', 'NCK2']
165	GO:BP	GO:0080134	regulation of response to stress	8.415787976203491e-10	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	100	32	15719	0.32	0.0231884057971014	query_1	['GO:0006950', 'GO:0048583']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'PIK3R1', 'PIK3R6', 'CRK', 'NCR3', 'HGF', 'PIK3AP1', 'PLCG2', 'FYN', 'WAS', 'LYN', 'EGFR', 'FGB', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'PTK2B', 'VTN', 'PTK2', 'PTPN11', 'NCK2', 'PDGFRA']
15	GO:CC	GO:0043235	receptor complex	9.065575966813093e-10	True	"""Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:go_curators]"	466	100	19	16420	0.19	0.0407725321888412	query_1	['GO:0032991']	['MET', 'ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'RET', 'ITGA2B', 'ITGA5', 'ZAP70', 'LYN', 'GFRA3', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'CD247', 'ITGB6', 'CD3E', 'PDGFRA']
16	GO:CC	GO:0098636	protein complex involved in cell adhesion	9.127717176074047e-10	True	"""Any protein complex that is capable of carrying out some part of the process of cell adhesion to the cell matrix or to another cell."" [GOC:dos]"	56	100	9	16420	0.09	0.1607142857142857	query_1	['GO:0032991']	['ITGB1', 'ITGB5', 'ITGAV', 'ITGB3', 'ITGA2B', 'ITGA5', 'LYN', 'VTN', 'ITGB6']
166	GO:BP	GO:0030097	hemopoiesis	1.1566253770357723e-09	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	100	26	15719	0.26	0.0284463894967177	query_1	['GO:0048468']	['ITGB1', 'PIK3R2', 'DOCK1', 'SRC', 'PIK3R1', 'PIK3R6', 'ITK', 'PLCG2', 'SOS1', 'PIK3CD', 'ZAP70', 'LYN', 'SHB', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'GAB2', 'ITGB6', 'DOCK2', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'PDGFRA']
96	REAC	REAC:R-HSA-1566948	Elastic fibre formation	1.177562612246904e-09	True	Elastic fibre formation	43	97	9	10022	0.0927835051546391	0.2093023255813953	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'ITGAV', 'FN1', 'ITGB3', 'TGFB3', 'ITGA5', 'VTN', 'ITGB6']
167	GO:BP	GO:0050865	regulation of cell activation	1.2197036182618558e-09	True	"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]"	638	100	22	15719	0.22	0.0344827586206896	query_1	['GO:0001775', 'GO:0050794', 'GO:0051239']	['NCK1', 'FN1', 'SRC', 'PIK3R6', 'SOS1', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'PIK3CA', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'SH3KBP1', 'GAB2', 'LCK', 'CD3E', 'PTPN11', 'NCK2', 'PDGFRA']
168	GO:BP	GO:0043542	endothelial cell migration	1.304167232500817e-09	True	"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]"	212	100	14	15719	0.14	0.0660377358490566	query_1	['GO:0010631']	['MET', 'ITGB1', 'PIK3CB', 'BCAR1', 'PIK3CG', 'ITGB3', 'PIK3CD', 'PXN', 'SH3BP1', 'PIK3CA', 'PLCG1', 'PTK2B', 'PIK3R3', 'PTK2']
169	GO:BP	GO:0043067	regulation of programmed cell death	1.3107382053344843e-09	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1405	100	32	15719	0.32	0.0227758007117437	query_1	['GO:0010941', 'GO:0012501']	['MET', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGAV', 'BCAR1', 'PIK3CG', 'SRC', 'FGA', 'TGFB3', 'PIK3R1', 'HGF', 'RET', 'SHC1', 'PLCG2', 'PIK3CD', 'ITGA5', 'LYN', 'EGFR', 'PIK3CA', 'FGB', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'PTK2B', 'PIK3R3', 'PTK2', 'LCK', 'CD3E', 'CBL', 'NCK2']
170	GO:BP	GO:0060326	cell chemotaxis	1.31306749407143e-09	True	"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]"	301	100	16	15719	0.16	0.0531561461794019	query_1	['GO:0006935', 'GO:0016477', 'GO:0070887']	['MET', 'BCAR1', 'PIK3CG', 'CRK', 'HGF', 'GAB1', 'PIK3CD', 'DOCK4', 'LYN', 'VAV1', 'SYK', 'PTK2B', 'CRKL', 'PTK2', 'PDGFRA', 'ELMO2']
171	GO:BP	GO:0060627	regulation of vesicle-mediated transport	1.427971548680118e-09	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	519	100	20	15719	0.2	0.0385356454720616	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['RAPGEF1', 'PIK3CB', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'HGS', 'PTPN23', 'PLCG2', 'WASL', 'LYN', 'STAM', 'FGB', 'SYK', 'FCGR1A', 'FGG', 'VTN', 'GAB2', 'DOCK2', 'CBL']
97	REAC	REAC:R-HSA-74751	Insulin receptor signalling cascade	1.453665660612342e-09	True	Insulin receptor signalling cascade	44	97	9	10022	0.0927835051546391	0.2045454545454545	query_1	['REAC:R-HSA-74752']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'PIK3CA', 'GAB2', 'PTPN11']
98	REAC	REAC:R-HSA-2029485	Role of phospholipids in phagocytosis	1.482506887495592e-09	True	Role of phospholipids in phagocytosis	30	97	8	10022	0.0824742268041237	0.2666666666666666	query_1	['REAC:R-HSA-2029480']	['PIK3CB', 'PIK3R2', 'PIK3R1', 'PLCG2', 'PIK3CA', 'SYK', 'PLCG1', 'FCGR1A']
172	GO:BP	GO:0072359	circulatory system development	1.588611796809826e-09	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1083	100	28	15719	0.28	0.025854108956602	query_1	['GO:0048731']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3CG', 'ITGB3', 'HGS', 'PIK3R6', 'HGF', 'SHC1', 'SOS1', 'GAB1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'SHB', 'EGFR', 'PIK3CA', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'PIK3R3', 'CRKL', 'PTK2', 'PTPN11', 'PDGFRA']
102	REAC	REAC:R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	1.7151954144438951e-09	True	Paradoxical activation of RAF signaling by kinase inactive BRAF	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
101	REAC	REAC:R-HSA-9649948	Signaling downstream of RAS mutants	1.7151954144438951e-09	True	Signaling downstream of RAS mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802949']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
100	REAC	REAC:R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	1.7151954144438951e-09	True	Signaling by moderate kinase activity BRAF mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
99	REAC	REAC:R-HSA-6802949	Signaling by RAS mutants	1.7151954144438951e-09	True	Signaling by RAS mutants	45	97	9	10022	0.0927835051546391	0.2	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
173	GO:BP	GO:0048468	cell development	1.897133177004409e-09	True	"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]"	2609	100	44	15719	0.44	0.0168646991184361	query_1	['GO:0030154', 'GO:0048856', 'GO:0048869']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'SPP1', 'PIK3R1', 'PIK3R6', 'CRK', 'HGF', 'RET', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'PIK3CD', 'FYN', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'VCL', 'VAV1', 'SYK', 'FGG', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'GAB2', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'BLNK', 'CD3E', 'PTPN11', 'NCK2', 'PDGFRA']
174	GO:BP	GO:0051246	regulation of protein metabolic process	1.921368687231513e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	100	42	15719	0.42	0.0175292153589315	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['PIK3R5', 'NCK1', 'PIK3CB', 'ITGAV', 'FN1', 'PIK3CG', 'SRC', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R6', 'HGF', 'RET', 'SHC1', 'PLCG2', 'SOS1', 'USP4', 'ITGA5', 'FYN', 'LAT', 'LYN', 'SHB', 'LCP2', 'EGFR', 'PIK3CA', 'SYK', 'FCGR1A', 'USP8', 'ERBB2', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'CD3E', 'PTPN11', 'CBL', 'NCK2', 'GRB7']
175	GO:BP	GO:0051897	positive regulation of protein kinase B signaling	2.0215025896431446e-09	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	111	100	11	15719	0.11	0.0990990990990991	query_1	['GO:0043491', 'GO:0051896', 'GO:1902533']	['MET', 'PIK3R5', 'ITGB1', 'PIK3CB', 'PIK3CG', 'SRC', 'RET', 'PIK3CD', 'EGFR', 'PIK3CA', 'PTK2']
176	GO:BP	GO:0043550	regulation of lipid kinase activity	2.0856187275684302e-09	True	"""Any process that modulates the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:bf]"	59	100	9	15719	0.09	0.1525423728813559	query_1	['GO:0043549']	['PIK3R5', 'PIK3R2', 'SRC', 'PIK3R1', 'LYN', 'PTK2B', 'PIK3R3', 'PTK2', 'PDGFRA']
177	GO:BP	GO:0032502	developmental process	2.09607058613539e-09	True	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"	6018	100	70	15719	0.7	0.0116317713526088	query_1	['GO:0008150']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'WIPF3', 'PIK3R6', 'CRK', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'ZAP70', 'LYN', 'SHB', 'GFRA3', 'GRB2', 'EGFR', 'PIK3CA', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'BLNK', 'CD3E', 'DOCK5', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
178	GO:BP	GO:0050863	regulation of T cell activation	2.1839802203335216e-09	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	363	100	17	15719	0.17	0.046831955922865	query_1	['GO:0042110', 'GO:0051249']	['NCK1', 'SRC', 'PIK3R6', 'SOS1', 'FYN', 'LAT', 'ZAP70', 'LYN', 'SHB', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'LCK', 'CD3E', 'PTPN11', 'NCK2']
179	GO:BP	GO:0065007	biological regulation	2.4050693294787244e-09	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	10874	100	95	15719	0.95	0.008736435534302	query_1	['GO:0008150']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'NCR3LG1', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'STAM2', 'PIK3R6', 'CRK', 'PTPN23', 'NCR3', 'HGF', 'RET', 'SHC1', 'ITK', 'ADAMTSL2', 'PIK3AP1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'GAB1', 'USP4', 'PIK3CD', 'CYP4A11', 'ITGA2B', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'STAM', 'SHB', 'GFRA3', 'GRB2', 'LCP2', 'EGFR', 'AKAP10', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'PIK3R3', 'SH3GL2', 'LITAF', 'CRKL', 'VTN', 'GAB2', 'SHC3', 'CD247', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'ARTN', 'LCK', 'GAREM1', 'BLNK', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'GRAP2']
103	REAC	REAC:R-HSA-187037	Signaling by NTRK1 (TRKA)	2.718279424091718e-09	True	Signaling by NTRK1 (TRKA)	110	97	12	10022	0.1237113402061855	0.109090909090909	query_1	['REAC:R-HSA-166520']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PIK3CA', 'PLCG1', 'SH3GL2', 'CRKL', 'SHC3']
180	GO:BP	GO:1900024	regulation of substrate adhesion-dependent cell spreading	2.785456231589316e-09	True	"""Any process that modulates the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	61	100	9	15719	0.09	0.1475409836065573	query_1	['GO:0010810', 'GO:0034446']	['DOCK1', 'FGA', 'ITGB3', 'CRK', 'FGB', 'FGG', 'CRKL', 'PTK2', 'DOCK5']
17	GO:CC	GO:0098796	membrane protein complex	2.97968182085446e-09	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	1249	100	29	16420	0.29	0.0232185748598879	query_1	['GO:0016020', 'GO:0032991']	['PIK3R5', 'ITGB1', 'PIK3CB', 'ITGB5', 'ITGAV', 'PIK3R2', 'PIK3CG', 'ITGB3', 'PIK3R1', 'PIK3R6', 'RET', 'SHC1', 'PIK3CD', 'ITGA2B', 'ITGA5', 'ZAP70', 'LYN', 'GRB2', 'EGFR', 'PIK3CA', 'SYK', 'ERBB2', 'PTK2B', 'PIK3R3', 'VTN', 'CD247', 'ITGB6', 'CD3E', 'CBL']
181	GO:BP	GO:0032879	regulation of localization	3.035580082046866e-09	True	"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]"	2021	100	38	15719	0.38	0.0188025729836714	query_1	['GO:0050789', 'GO:0051179']	['RAPGEF1', 'ITGB1', 'PIK3CB', 'ITGAV', 'PIK3R2', 'PIK3CG', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'PTPN23', 'PLCG2', 'WASL', 'CYP4A11', 'FYN', 'LYN', 'STAM', 'EGFR', 'FGB', 'VCL', 'SYK', 'PLCG1', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'GAB2', 'CD247', 'DOCK2', 'LCK', 'PTPN11', 'CBL']
104	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	3.070484693779471e-09	True	Erythropoietin activates RAS	12	97	6	10022	0.0618556701030927	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
105	REAC	REAC:R-HSA-2871796	FCERI mediated MAPK activation	3.2073149188901103e-09	True	FCERI mediated MAPK activation	33	97	8	10022	0.0824742268041237	0.2424242424242424	query_1	['REAC:R-HSA-2454202']	['PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'GRAP2']
182	GO:BP	GO:0033674	positive regulation of kinase activity	3.304890516969791e-09	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	428	100	18	15719	0.18	0.0420560747663551	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['MET', 'PIK3R5', 'PIK3CG', 'SRC', 'ITGB3', 'PIK3R6', 'RET', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'DOCK3', 'PTK2', 'PDGFRA']
183	GO:BP	GO:0071840	cellular component organization or biogenesis	3.352613135623166e-09	True	"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]"	6232	100	71	15719	0.71	0.011392811296534	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'HGS', 'TGFB3', 'PIK3R1', 'WIPF3', 'STAM2', 'CRK', 'PTPN23', 'HGF', 'RET', 'SHC1', 'ADAMTSL2', 'PLCG2', 'WASL', 'SOS1', 'GAB1', 'USP4', 'WIPF1', 'ITGA5', 'PXN', 'SH3BP1', 'FYN', 'WAS', 'ADAMTS2', 'LYN', 'STAM', 'GFRA3', 'GRB2', 'EGFR', 'PIK3CA', 'FGB', 'VCL', 'VAV1', 'SYK', 'FCGR1A', 'FGG', 'USP8', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'CD247', 'TLN1', 'PTK2', 'DOCK2', 'ARTN', 'CD3E', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'GRB7', 'ELMO2']
106	REAC	REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	3.625017798493827e-09	True	Signaling by the B Cell Receptor (BCR)	113	97	12	10022	0.1237113402061855	0.1061946902654867	query_1	['REAC:R-HSA-1280218']	['NCK1', 'PIK3R1', 'PIK3AP1', 'PLCG2', 'SOS1', 'PIK3CD', 'FYN', 'LYN', 'VAV1', 'SYK', 'SH3KBP1', 'BLNK']
108	REAC	REAC:R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	4.403969780503335e-09	True	Signaling by Non-Receptor Tyrosine Kinases	50	97	9	10022	0.0927835051546391	0.18	query_1	['REAC:R-HSA-162582']	['BCAR1', 'DOCK1', 'CRK', 'PXN', 'EGFR', 'ERBB2', 'ELMO1', 'CBL', 'ELMO2']
107	REAC	REAC:R-HSA-8848021	Signaling by PTK6	4.403969780503335e-09	True	Signaling by PTK6	50	97	9	10022	0.0927835051546391	0.18	query_1	['REAC:R-HSA-9006927']	['BCAR1', 'DOCK1', 'CRK', 'PXN', 'EGFR', 'ERBB2', 'ELMO1', 'CBL', 'ELMO2']
184	GO:BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	4.737204719639884e-09	True	"""An immune response-regulating cell surface receptor signaling pathway that contributes to the endocytic engulfment of external particulate material by phagocytes."" [GO_REF:0000022, GOC:add, GOC:bf, ISBN:0781735149]"	27	100	7	15719	0.07	0.2592592592592592	query_1	['GO:0002252', 'GO:0002768', 'GO:0006909']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
185	GO:BP	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	4.737204719639884e-09	True	"""An Fc-gamma receptor signaling pathway that contributes to the endocytic engulfment of external particulate material by phagocytes."" [GOC:phg, PMID:12488490, PMID:15466916]"	27	100	7	15719	0.07	0.2592592592592592	query_1	['GO:0002431', 'GO:0002433', 'GO:0038094']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
186	GO:BP	GO:0043491	protein kinase B signaling	4.948019620501181e-09	True	"""A series of reactions, mediated by the intracellular serine/threonine kinase protein kinase B (also called AKT), which occurs as a result of a single trigger reaction or compound."" [GOC:bf, PMID:20517722]"	194	100	13	15719	0.13	0.0670103092783505	query_1	['GO:0035556']	['MET', 'RAPGEF1', 'PIK3R5', 'ITGB1', 'PIK3CB', 'PIK3CG', 'SRC', 'RET', 'PIK3CD', 'EGFR', 'PIK3CA', 'PIK3R3', 'PTK2']
188	GO:BP	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	5.063514191948931e-09	True	"""Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	44	100	8	15719	0.08	0.1818181818181818	query_1	['GO:0010811', 'GO:0034446', 'GO:1900024']	['DOCK1', 'FGA', 'ITGB3', 'CRK', 'FGB', 'FGG', 'CRKL', 'DOCK5']
