KID syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
432	GO:BP	GO:0031295	T cell costimulation	2.0800810319383972e-09	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the T cell receptor to augment T cell activation."" [ISBN:0781735149]"	44	102	8	17376	0.0784313725490196	0.1818181818181818	query_1	['GO:0031294', 'GO:0050870']	['SRC', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'CD81', 'LCK', 'PTPN11']
433	GO:BP	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	2.0800810319383972e-09	True	"""Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	44	102	8	17376	0.0784313725490196	0.1818181818181818	query_1	['GO:0010811', 'GO:0034446', 'GO:1900024']	['FGA', 'ITGB3', 'CRK', 'APOA1', 'FGB', 'FGG', 'CRKL', 'NRP1']
434	REAC	REAC:R-HSA-194313	VEGF ligand-receptor interactions	2.1128466635602182e-09	True	VEGF ligand-receptor interactions	8	102	5	17376	0.0490196078431372	0.625	query_1	['REAC:R-HSA-194138']	['VEGFB', 'KDR', 'VEGFA', 'FLT1', 'PGF']
435	REAC	REAC:R-HSA-195399	VEGF binds to VEGFR leading to receptor dimerization	2.1128466635602182e-09	True	VEGF binds to VEGFR leading to receptor dimerization	8	102	5	17376	0.0490196078431372	0.625	query_1	['REAC:R-HSA-194313']	['VEGFB', 'KDR', 'VEGFA', 'FLT1', 'PGF']
436	GO:BP	GO:0002250	adaptive immune response	2.1630417998909108e-09	True	"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	521	102	19	17376	0.1862745098039215	0.036468330134357	query_1	['GO:0006955']	['C3', 'FGA', 'ITK', 'TFRC', 'PIK3CD', 'HFE', 'FYN', 'LAT', 'ZAP70', 'LYN', 'FGB', 'SYK', 'FCGR1A', 'PTK2B', 'IGHM', 'CD81', 'CD19', 'HPX', 'CR2']
437	GO:BP	GO:0007267	cell-cell signaling	2.194448848860521e-09	True	"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]"	1571	102	32	17376	0.3137254901960784	0.0203691915977084	query_1	['GO:0007154', 'GO:0023052']	['GJB6', 'RAPGEF1', 'C3', 'ITGB1', 'ADRA1A', 'ITGAV', 'SRC', 'SPP1', 'FGA', 'HGF', 'PLCG2', 'CTNNB1', 'HFE', 'FYN', 'GJB1', 'CXCL12', 'LYN', 'GJB2', 'TNC', 'EGFR', 'TFR2', 'FGB', 'SYK', 'PLCG1', 'FGG', 'SH3KBP1', 'PTK2B', 'CRKL', 'ITGB6', 'NRP1', 'PTPN11', 'PGF']
438	GO:BP	GO:0045595	regulation of cell differentiation	2.327426502486015e-09	True	"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]"	1480	102	31	17376	0.3039215686274509	0.0209459459459459	query_1	['GO:0030154', 'GO:0050793', 'GO:0050794']	['ITGB1', 'PLXNB1', 'FN1', 'ITGAV', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'CTNNB1', 'SOS1', 'ZAP70', 'CXCL12', 'LYN', 'CXCR4', 'EGFR', 'KDR', 'VCL', 'SYK', 'ERBB2', 'CERS2', 'PTK2B', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1', 'NANOG']
439	GO:BP	GO:0010594	regulation of endothelial cell migration	2.602950621766071e-09	True	"""Any process that modulates the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]"	163	102	12	17376	0.1176470588235294	0.0736196319018405	query_1	['GO:0010632', 'GO:0043542']	['MET', 'PIK3CB', 'BCAR1', 'ITGB3', 'PIK3CD', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1']
440	GO:BP	GO:0061041	regulation of wound healing	2.681152511005118e-09	True	"""Any process that modulates the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:BHF, GOC:dph]"	127	102	11	17376	0.1078431372549019	0.0866141732283464	query_1	['GO:0042060', 'GO:1903034']	['ITGB1', 'VEGFB', 'FGA', 'CRK', 'CXCR4', 'VKORC1', 'FGB', 'FGG', 'VTN', 'PTK2', 'PDGFRA']
441	REAC	REAC:R-HSA-8957275	Post-translational protein phosphorylation	2.789960504549608e-09	True	Post-translational protein phosphorylation	103	102	10	17376	0.0980392156862745	0.0970873786407767	query_1	['REAC:R-HSA-597592']	['C3', 'FN1', 'SPP1', 'FGA', 'TNC', 'APOA1', 'TF', 'FGG', 'SERPINA1', 'ALB']
442	GO:CC	GO:0032587	ruffle membrane	2.8127894218215233e-09	True	"""The portion of the plasma membrane surrounding a ruffle."" [GOC:mah]"	98	102	10	17376	0.0980392156862745	0.1020408163265306	query_1	['GO:0001726', 'GO:0031253', 'GO:0031256']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
443	GO:BP	GO:0031294	lymphocyte costimulation	2.9735676257630404e-09	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the B- or T cell receptor to augment B- or T cell activation."" [ISBN:0781735149]"	46	102	8	17376	0.0784313725490196	0.1739130434782608	query_1	['GO:0002376', 'GO:0051251']	['SRC', 'FYN', 'LYN', 'PIK3CA', 'VAV1', 'CD81', 'LCK', 'PTPN11']
444	GO:BP	GO:0043434	response to peptide hormone	3.1907019411031753e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"	411	102	17	17376	0.1666666666666666	0.0413625304136253	query_1	['GO:0009725', 'GO:1901652']	['PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'PIK3R3', 'PTK2', 'PTPN11']
445	GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	3.3716155201749333e-09	True	"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	356	102	16	17376	0.1568627450980392	0.0449438202247191	query_1	['GO:0007159', 'GO:0022407']	['SRC', 'TFRC', 'HFE', 'FYN', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'PIK3CA', 'VAV1', 'SYK', 'ERBB2', 'CD81', 'VCAM1', 'LCK', 'PTPN11']
446	REAC	REAC:R-HSA-2871796	FCERI mediated MAPK activation	4.365746803850774e-09	True	FCERI mediated MAPK activation	33	102	7	17376	0.0686274509803921	0.2121212121212121	query_1	['REAC:R-HSA-2454202']	['PLCG2', 'SOS1', 'LYN', 'LCP2', 'VAV1', 'SYK', 'PLCG1']
447	GO:BP	GO:0044403	biological process involved in symbiotic interaction	4.6237175391473795e-09	True	"""A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts."" [GOC:cc, PMID:31257129]"	310	102	15	17376	0.1470588235294117	0.0483870967741935	query_1	['GO:0044419']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TFRC', 'ITGA5', 'CXCR4', 'EGFR', 'CD81', 'ITGB6', 'NRP1', 'CBL', 'CR2']
448	GO:BP	GO:0048519	negative regulation of biological process	4.6482239423086215e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5057	102	60	17376	0.5882352941176471	0.0118647419418627	query_1	['GO:0008150', 'GO:0050789']	['MET', 'GJB6', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'ITGA5', 'HFE', 'FYN', 'CXCL12', 'LYN', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'SYK', 'PLCG1', 'FGG', 'ERBB2', 'CERS2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'SERPINA1', 'CRKL', 'VTN', 'PTK2', 'NRP1', 'LCK', 'CD19', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'CR2', 'PLXNA1', 'NANOG']
449	GO:CC	GO:0031983	vesicle lumen	5.0106386505326745e-09	True	"""The volume enclosed by the membrane or protein that forms a vesicle."" [GOC:mah, GOC:vesicles]"	318	102	15	17376	0.1470588235294117	0.0471698113207547	query_1	['GO:0031982', 'GO:0043233']	['C3', 'VEGFB', 'FN1', 'FGA', 'TGFB3', 'HGF', 'EGFR', 'APOA1', 'TF', 'FGB', 'VCL', 'FGG', 'VEGFA', 'SERPINA1', 'ALB']
450	GO:BP	GO:0048523	negative regulation of cellular process	5.201029465808132e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	4496	102	56	17376	0.5490196078431373	0.0124555160142348	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']	['MET', 'GJB6', 'RAPGEF1', 'ITGB1', 'PIK3CB', 'ADRA1A', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PIK3R2', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'ITGA5', 'HFE', 'FYN', 'CXCL12', 'LYN', 'EGFR', 'APOA1', 'PIK3CA', 'KDR', 'FGB', 'VCL', 'PLCG1', 'FGG', 'ERBB2', 'CERS2', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'PTK2', 'NRP1', 'LCK', 'CD19', 'ALB', 'CBL', 'PTPN11', 'ACKR3', 'PDGFRA', 'SEMA4D', 'FLT1', 'PLXNA1', 'NANOG']
451	REAC	REAC:R-HSA-8876384	Listeria monocytogenes entry into host cells	5.291108271884409e-09	True	Listeria monocytogenes entry into host cells	19	102	6	17376	0.0588235294117647	0.3157894736842105	query_1	['REAC:R-HSA-5663205']	['MET', 'SRC', 'CTNNB1', 'SH3KBP1', 'SH3GL2', 'CBL']
452	REAC	REAC:R-HSA-6802957	Oncogenic MAPK signaling	5.530818556975838e-09	True	Oncogenic MAPK signaling	80	102	9	17376	0.088235294117647	0.1125	query_1	['REAC:R-HSA-5663202']	['FN1', 'SRC', 'FGA', 'ITGB3', 'ITGA2B', 'FGB', 'VCL', 'FGG', 'TLN1']
453	GO:BP	GO:0050920	regulation of chemotaxis	5.554794661968903e-09	True	"""Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	217	102	13	17376	0.1274509803921568	0.0599078341013824	query_1	['GO:0006935', 'GO:0032101', 'GO:0040012']	['MET', 'VEGFB', 'CXCL12', 'LYN', 'CXCR4', 'KDR', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'PDGFRA', 'SEMA4D', 'PGF']
454	GO:BP	GO:0009725	response to hormone	6.309350878285312e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]"	845	102	23	17376	0.2254901960784313	0.0272189349112426	query_1	['GO:0009719', 'GO:0010033']	['ADRA1A', 'PIK3R2', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'CXCL12', 'LYN', 'GJB2', 'GRB2', 'PIK3CA', 'FGB', 'PTK2B', 'PIK3R3', 'PTK2', 'PTPN11', 'PGF']
455	GO:BP	GO:0000904	cell morphogenesis involved in differentiation	6.402175367368267e-09	True	"""The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."" [GOC:go_curators]"	625	102	20	17376	0.196078431372549	0.032	query_1	['GO:0000902', 'GO:0048468']	['MET', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CTNNB1', 'SOS1', 'FYN', 'ITGA4', 'CXCL12', 'NRP2', 'VCL', 'ERBB2', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
456	GO:BP	GO:0010975	regulation of neuron projection development	6.448646610642824e-09	True	"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	431	102	17	17376	0.1666666666666666	0.0394431554524361	query_1	['GO:0031175', 'GO:0120035']	['RAPGEF1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'FYN', 'CXCL12', 'LYN', 'CERS2', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
457	REAC	REAC:R-HSA-194306	Neurophilin interactions with VEGF and VEGFR	6.459379594800526e-09	True	Neurophilin interactions with VEGF and VEGFR	4	102	4	17376	0.0392156862745098	1.0	query_1	['REAC:R-HSA-194138']	['NRP2', 'KDR', 'NRP1', 'FLT1']
458	GO:BP	GO:0002685	regulation of leukocyte migration	6.495551999137193e-09	True	"""Any process that modulates the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	220	102	13	17376	0.1274509803921568	0.059090909090909	query_1	['GO:0002682', 'GO:0030334', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'CRK', 'ITGA4', 'CXCL12', 'LYN', 'PTK2B', 'VEGFA', 'CRKL', 'CD81', 'PTK2', 'PGF']
459	GO:BP	GO:0043149	stress fiber assembly	6.959624981550037e-09	True	"""The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity."" [GOC:go_curators, GOC:mah, PMID:16651381]"	105	102	10	17376	0.0980392156862745	0.0952380952380952	query_1	['GO:0030038', 'GO:0031032']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'NRP1']
460	GO:BP	GO:0030038	contractile actin filament bundle assembly	6.959624981550037e-09	True	"""Assembly of actin filament bundles in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle."" [GOC:mah, ISBN:0815316194]"	105	102	10	17376	0.0980392156862745	0.0952380952380952	query_1	['GO:0051017']	['MET', 'ITGB5', 'PIK3R2', 'SRC', 'TGFB3', 'PIK3R1', 'PXN', 'APOA1', 'PTK2B', 'NRP1']
461	GO:BP	GO:0030029	actin filament-based process	7.945501600442517e-09	True	"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]"	779	102	22	17376	0.2156862745098039	0.0282413350449293	query_1	['GO:0009987']	['MET', 'ITGB1', 'ITGB5', 'PIK3R2', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'PXN', 'CXCL12', 'GRB2', 'APOA1', 'TF', 'PIK3CA', 'SH3KBP1', 'PTK2B', 'TLN1', 'NRP1', 'PDGFRA']
462	GO:BP	GO:0007369	gastrulation	8.857139663282584e-09	True	"""A complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals. The details of gastrulation vary from species to species, but usually result in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm."" [GOC:curators, ISBN:9780878933846]"	182	102	12	17376	0.1176470588235294	0.0659340659340659	query_1	['GO:0048598']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'APOA1', 'VTN', 'NANOG']
463	REAC	REAC:R-HSA-8875555	MET activates RAP1 and RAC1	8.886373188600387e-09	True	MET activates RAP1 and RAC1	10	102	5	17376	0.0490196078431372	0.5	query_1	['REAC:R-HSA-8875878']	['MET', 'RAPGEF1', 'CRK', 'HGF', 'CRKL']
464	GO:BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	8.968561096035614e-09	True	"""The series of molecular signals generated as a consequence of a the binding of the Fc portion of an immunoglobulin by an Fc receptor capable of activating or perpetuating an immune response. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	33	102	7	17376	0.0686274509803921	0.2121212121212121	query_1	['GO:0002429']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
465	GO:BP	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	8.968561096035614e-09	True	"""Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase activity."" [GOC:bf]"	33	102	7	17376	0.0686274509803921	0.2121212121212121	query_1	['GO:0043551', 'GO:0090218']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'CD19', 'PDGFRA', 'FLT1']
466	GO:BP	GO:0048260	positive regulation of receptor-mediated endocytosis	9.251350188663912e-09	True	"""Any process that activates or increases the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport."" [GOC:go_curators, GOC:tb]"	53	102	8	17376	0.0784313725490196	0.1509433962264151	query_1	['GO:0006898', 'GO:0045807', 'GO:0048259']	['C3', 'PLCG2', 'HFE', 'TF', 'SYK', 'VEGFA', 'VTN', 'CBL']
467	GO:BP	GO:0030595	leukocyte chemotaxis	9.309882403330194e-09	True	"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]"	227	102	13	17376	0.1274509803921568	0.0572687224669603	query_1	['GO:0050900', 'GO:0060326']	['ITGA9', 'VEGFB', 'PIK3CD', 'CXCL12', 'LYN', 'CXCR4', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'PTK2', 'FLT1', 'PGF']
468	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	9.470376285003218e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2994	102	44	17376	0.4313725490196078	0.0146960587842351	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['MET', 'C3', 'ADRA1A', 'VEGFB', 'PIK3R2', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'TFRC', 'CTNNB1', 'ITGA5', 'HFE', 'FYN', 'LAT', 'LYN', 'LCP2', 'EGFR', 'TF', 'TFR2', 'PIK3CA', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'CD81', 'PTK2', 'NRP1', 'LCK', 'PTPN11', 'HPX', 'SEMA4D', 'FLT1', 'PGF', 'NANOG']
469	REAC	REAC:R-HSA-202433	Generation of second messenger molecules	9.839144013826968e-09	True	Generation of second messenger molecules	37	102	7	17376	0.0686274509803921	0.1891891891891892	query_1	['REAC:R-HSA-202403']	['ITK', 'PLCG2', 'LAT', 'ZAP70', 'LCP2', 'PLCG1', 'LCK']
470	REAC	REAC:R-HSA-9006115	Signaling by NTRK2 (TRKB)	9.932577789095126e-09	True	Signaling by NTRK2 (TRKB)	21	102	6	17376	0.0588235294117647	0.2857142857142857	query_1	['REAC:R-HSA-166520']	['SRC', 'PIK3R1', 'SOS1', 'PIK3CA', 'PLCG1', 'PTPN11']
471	REAC	REAC:R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	9.932577789095126e-09	True	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	118	102	10	17376	0.0980392156862745	0.0847457627118644	query_1	['REAC:R-HSA-392499']	['C3', 'FN1', 'SPP1', 'FGA', 'TNC', 'APOA1', 'TF', 'FGG', 'SERPINA1', 'ALB']
472	GO:BP	GO:2000811	negative regulation of anoikis	1.0808266556535008e-08	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of anoikis."" [GOC:obol]"	19	102	6	17376	0.0588235294117647	0.3157894736842105	query_1	['GO:0043066', 'GO:0043276', 'GO:2000209']	['ITGB1', 'SRC', 'ITGA5', 'PIK3CA', 'PIK3R3', 'PTK2']
473	GO:BP	GO:0045780	positive regulation of bone resorption	1.0808266556535008e-08	True	"""Any process that activates or increases the frequency, rate or extent of bone resorption."" [GOC:go_curators]"	19	102	6	17376	0.0588235294117647	0.3157894736842105	query_1	['GO:0045124', 'GO:0045453', 'GO:0051240']	['SRC', 'SPP1', 'ITGB3', 'TFRC', 'TF', 'SYK']
474	GO:BP	GO:0007507	heart development	1.0992489914039448e-08	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	577	102	19	17376	0.1862745098039215	0.0329289428076256	query_1	['GO:0048513', 'GO:0072359']	['GJB6', 'ITGB1', 'ADRA1A', 'VEGFB', 'FN1', 'SHC1', 'CTNNB1', 'SOS1', 'NRP2', 'EGFR', 'KDR', 'ERBB2', 'VEGFA', 'CRKL', 'VCAM1', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA']
475	GO:BP	GO:0051897	positive regulation of protein kinase B signaling	1.1674917535072262e-08	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	111	102	10	17376	0.0980392156862745	0.09009009009009	query_1	['GO:0043491', 'GO:0051896', 'GO:1902533']	['MET', 'ITGB1', 'PIK3CB', 'VEGFB', 'SRC', 'PIK3CD', 'EGFR', 'PIK3CA', 'VEGFA', 'PTK2']
476	GO:BP	GO:0008360	regulation of cell shape	1.196253949613607e-08	True	"""Any process that modulates the surface configuration of a cell."" [GOC:dph, GOC:go_curators, GOC:tb]"	147	102	11	17376	0.1078431372549019	0.0748299319727891	query_1	['GO:0022604', 'GO:0065008']	['PLXNB1', 'FN1', 'CRK', 'FYN', 'KDR', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PTK2', 'SEMA4D', 'PLXNA1']
477	GO:BP	GO:0007492	endoderm development	1.2617368756308341e-08	True	"""The process whose specific outcome is the progression of the endoderm over time, from its formation to the mature structure. The endoderm is the innermost germ layer that develops into the gastrointestinal tract, the lungs and associated tissues."" [GOC:dph, GOC:tb]"	81	102	9	17376	0.088235294117647	0.1111111111111111	query_1	['GO:0009888']	['ITGB5', 'FN1', 'ITGAV', 'CTNNB1', 'ITGA5', 'ITGA4', 'GRB2', 'VTN', 'NANOG']
478	GO:BP	GO:0071674	mononuclear cell migration	1.3165526386810678e-08	True	"""The movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	189	102	12	17376	0.1176470588235294	0.0634920634920634	query_1	['GO:0050900']	['ITGB3', 'CRK', 'PIK3CD', 'ITGA4', 'ZAP70', 'CXCL12', 'LYN', 'CXCR4', 'PTK2B', 'CRKL', 'PTK2', 'FLT1']
479	REAC	REAC:R-HSA-389357	CD28 dependent PI3K/Akt signaling	1.3432023921773497e-08	True	CD28 dependent PI3K/Akt signaling	22	102	6	17376	0.0588235294117647	0.2727272727272727	query_1	['REAC:R-HSA-389356']	['PIK3R2', 'PIK3R1', 'FYN', 'PIK3CA', 'PIK3R3', 'LCK']
480	GO:CC	GO:0019897	extrinsic component of plasma membrane	1.5561067362896854e-08	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region."" [GOC:curators, GOC:dos]"	154	102	11	17376	0.1078431372549019	0.0714285714285714	query_1	['GO:0005886', 'GO:0019898']	['SRC', 'CTNNB1', 'FYN', 'ZAP70', 'LYN', 'TF', 'SYK', 'PTK2B', 'CRKL', 'PTK2', 'LCK']
481	GO:CC	GO:0031252	cell leading edge	1.5823070934824893e-08	True	"""The area of a motile cell closest to the direction of movement."" [GOC:pg]"	405	102	16	17376	0.1568627450980392	0.0395061728395061	query_1	['GO:0110165']	['ITGB1', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'PLCG2', 'CTNNB1', 'ITGA5', 'PXN', 'CXCR4', 'EGFR', 'PIK3CA', 'PLCG1', 'ERBB2', 'PTK2B', 'TLN1']
482	GO:BP	GO:0045859	regulation of protein kinase activity	1.6110621360342857e-08	True	"""Any process that modulates the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	591	102	19	17376	0.1862745098039215	0.0321489001692047	query_1	['GO:0001932', 'GO:0043549']	['PIK3CB', 'ADRA1A', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'SOS1', 'LAT', 'LYN', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'CBL', 'FLT1']
483	GO:BP	GO:0002040	sprouting angiogenesis	1.776640921028969e-08	True	"""The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation."" [PMID:16391003, PMID:23031691]"	116	102	10	17376	0.0980392156862745	0.0862068965517241	query_1	['GO:0001525']	['ITGB1', 'PIK3CB', 'VEGFB', 'ITGA5', 'KDR', 'PTK2B', 'VEGFA', 'PIK3R3', 'NRP1', 'PGF']
