Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
41	REAC	REAC:R-HSA-73933	Resolution of Abasic Sites (AP sites)	1.4696682230169438e-18	True	Resolution of Abasic Sites (AP sites)	36	100	14	10022	0.14	0.3888888888888889	query_1	['REAC:R-HSA-73884']	['LIG3', 'FEN1', 'RPA2', 'LIG1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'PNKP', 'NEIL1']
74	GO:BP	GO:0016447	somatic recombination of immunoglobulin gene segments	1.6458186134914726e-18	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, as known as immunoglobulin gene segments, within a single locus."" [GOC:add, ISBN:0781735149]"	61	104	15	15719	0.1442307692307692	0.2459016393442623	query_1	['GO:0002562', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'XRCC4', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
75	GO:BP	GO:0006807	nitrogen compound metabolic process	1.6619554215693457e-18	True	"""The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."" [GOC:jl, ISBN:0198506732]"	8936	104	100	15719	0.9615384615384616	0.0111906893464637	query_1	['GO:0008152']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'GNE', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
76	GO:BP	GO:0034502	protein localization to chromosome	2.378713437139985e-18	True	"""Any process in which a protein is transported to, or maintained at, a specific location on a chromosome."" [GOC:mah]"	118	104	18	15719	0.173076923076923	0.1525423728813559	query_1	['GO:0033365']	['ACD', 'MSH2', 'ATRX', 'TERF2', 'TERF2IP', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'XRCC4', 'XRCC5', 'RPA1', 'TNKS', 'WRAP53']
42	REAC	REAC:R-HSA-69620	Cell Cycle Checkpoints	2.7344140469938993e-18	True	Cell Cycle Checkpoints	289	100	27	10022	0.27	0.0934256055363321	query_1	['REAC:R-HSA-1640170']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MDM2', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'RNF8']
77	GO:BP	GO:0051972	regulation of telomerase activity	3.867759760780636e-18	True	"""Any process that modulates the frequency, rate or extent of telomerase activity, the catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Telomerases catalyze extension of the 3'- end of a DNA strand by one deoxynucleotide at a time using an internal RNA template that encodes the telomeric repeat sequence."" [EC:2.-.-.-, GOC:ai]"	50	104	14	15719	0.1346153846153846	0.28	query_1	['GO:0051338', 'GO:2000278']	['ACD', 'CTNNB1', 'TERF1', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'NAF1', 'SMG6', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'PIF1']
16	GO:CC	GO:0005657	replication fork	4.746979711014798e-18	True	"""The Y-shaped region of a replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:mah, ISBN:0198547684]"	71	104	15	16420	0.1442307692307692	0.2112676056338028	query_1	['GO:0005694', 'GO:0110165']	['NBN', 'TP53BP1', 'H2AX', 'RPA2', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'MRE11', 'POLA2', 'POLD1', 'WRN', 'TP53', 'PIF1']
78	GO:BP	GO:0071704	organic substance metabolic process	7.313752174861876e-18	True	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"	9998	104	103	15719	0.9903846153846154	0.0103020604120824	query_1	['GO:0008152']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'GNE', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'PIP5K1B', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
79	GO:BP	GO:0031324	negative regulation of cellular metabolic process	7.993221104140122e-18	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2090	104	52	15719	0.5	0.0248803827751196	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']	['RBBP8', 'ACD', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'LIG3', 'XRCC6', 'TERF2IP', 'CTNNB1', 'MLH1', 'SHQ1', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'PCNA', 'AR', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'NAF1', 'DVL1', 'SMG6', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'KHSRP', 'RMI2', 'TNKS', 'TP53', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
80	GO:BP	GO:0051726	regulation of cell cycle	9.425098124477547e-18	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1089	104	39	15719	0.375	0.0358126721763085	query_1	['GO:0007049', 'GO:0050794']	['RBBP8', 'HUS1', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'PAXIP1', 'CTNNB1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'TERF1', 'BRCA2', 'RAD1', 'RPA3', 'TERT', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'RMI2', 'TNKS', 'TP53']
17	GO:CC	GO:0032991	protein-containing complex	1.1842905597968292e-17	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	5491	104	79	16420	0.7596153846153846	0.0143871790202148	query_1	['GO:0005575']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'MLH1', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'DKC1', 'POT1', 'PMS2', 'PARP1', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'NEIL1', 'RNF8', 'MSH6']
18	GO:CC	GO:0000228	nuclear chromosome	1.2057696704687025e-17	True	"""A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."" [GOC:dph, GOC:mah]"	228	104	21	16420	0.2019230769230769	0.0921052631578947	query_1	['GO:0005694', 'GO:0031981']	['HUS1', 'RAD9B', 'ATRX', 'RAD50', 'TERF2IP', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'POLA2', 'POLD1']
81	GO:BP	GO:0080135	regulation of cellular response to stress	1.4994526365895145e-17	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	681	104	32	15719	0.3076923076923077	0.0469897209985315	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['RBBP8', 'GSK3B', 'AKT1', 'MDM2', 'USP1', 'TP53BP1', 'TERF2', 'RAD51AP1', 'WDR48', 'TERF2IP', 'CTNNB1', 'H2AX', 'RPA2', 'BRCA2', 'PCNA', 'POT1', 'PARP1', 'AXIN1', 'ATM', 'RAD9A', 'RAD51', 'AXIN2', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'RMI2', 'TP53', 'WRAP53', 'PNKP', 'RNF8']
82	GO:BP	GO:0010332	response to gamma radiation	2.1783771031605185e-17	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]"	56	104	14	15719	0.1346153846153846	0.25	query_1	['GO:0010212']	['MDM2', 'XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'RAD51', 'PRKDC', 'POLB', 'WRN', 'TP53']
83	GO:BP	GO:0006266	DNA ligation	2.994620233341183e-17	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [ISBN:0815316194]"	16	104	10	15719	0.0961538461538461	0.625	query_1	['GO:0006259']	['LIG3', 'XRCC6', 'LIG4', 'APLF', 'LIG1', 'XRCC4', 'NHEJ1', 'RAD51', 'XRCC1', 'PNKP']
86	GO:BP	GO:0006298	mismatch repair	4.2226293403184526e-17	True	"""A system for the correction of errors in which an incorrect base, which cannot form hydrogen bonds with the corresponding base in the parent strand, is incorporated into the daughter strand. The mismatch repair system promotes genomic fidelity by repairing base-base mismatches, insertion-deletion loops and heterologies generated during DNA replication and recombination."" [ISBN:0198506732, PMID:11687886]"	33	104	12	15719	0.1153846153846153	0.3636363636363636	query_1	['GO:0006281']	['MSH2', 'MLH1', 'RPA2', 'MSH3', 'LIG1', 'PCNA', 'RPA3', 'PMS2', 'RPA1', 'EXO1', 'AXIN2', 'MSH6']
85	GO:BP	GO:0051172	negative regulation of nitrogen compound metabolic process	4.2226293403184526e-17	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	2264	104	53	15719	0.5096153846153846	0.0234098939929328	query_1	['GO:0006807', 'GO:0009892', 'GO:0051171']	['RBBP8', 'ACD', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'LIG3', 'XRCC6', 'TERF2IP', 'CTNNB1', 'MLH1', 'SHQ1', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'PCNA', 'AR', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'NAF1', 'USP7', 'DVL1', 'SMG6', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'KHSRP', 'RMI2', 'TNKS', 'TP53', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
84	GO:BP	GO:0044770	cell cycle phase transition	4.2226293403184526e-17	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	550	104	29	15719	0.2788461538461538	0.0527272727272727	query_1	['GO:0022402']	['RBBP8', 'HUS1', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'TP53BP1', 'RAD50', 'PAXIP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'TERT', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
87	GO:BP	GO:0045930	negative regulation of mitotic cell cycle	5.1261801731977973e-17	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	226	104	21	15719	0.2019230769230769	0.0929203539823008	query_1	['GO:0000278', 'GO:0007346', 'GO:0045786']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'RAD50', 'CTNNB1', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
88	GO:BP	GO:0051173	positive regulation of nitrogen compound metabolic process	8.879932436830291e-17	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	3000	104	60	15719	0.5769230769230769	0.02	query_1	['GO:0006807', 'GO:0009893', 'GO:0051171']	['RBBP8', 'ACD', 'GSK3B', 'AKT1', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'AR', 'TERT', 'TNKS2', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'DVL1', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'WRN', 'KHSRP', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'RNF8']
89	GO:BP	GO:0051716	cellular response to stimulus	1.184660431497713e-16	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	6649	104	87	15719	0.8365384615384616	0.0130846743871258	query_1	['GO:0009987', 'GO:0050896']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'PIP5K1B', 'LIG1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'POT1', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'DVL1', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
20	GO:CC	GO:0000783	nuclear telomere cap complex	1.221040085413759e-16	True	"""A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	104	9	16420	0.0865384615384615	0.6923076923076923	query_1	['GO:0000782', 'GO:0140513']	['ACD', 'TERF2', 'XRCC6', 'TERF2IP', 'TERF1', 'TINF2', 'TERT', 'POT1', 'XRCC5']
19	GO:CC	GO:0000782	telomere cap complex	1.221040085413759e-16	True	"""A complex of DNA and protein located at the end of a linear chromosome that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	104	9	16420	0.0865384615384615	0.6923076923076923	query_1	['GO:0032993', 'GO:0044815', 'GO:0140445']	['ACD', 'TERF2', 'XRCC6', 'TERF2IP', 'TERF1', 'TINF2', 'TERT', 'POT1', 'XRCC5']
90	GO:BP	GO:1904353	regulation of telomere capping	1.5196951800723132e-16	True	"""Any process that modulates the frequency, rate or extent of telomere capping."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	26	104	11	15719	0.1057692307692307	0.4230769230769231	query_1	['GO:0016233', 'GO:0032204']	['NBN', 'RAD50', 'TERF2', 'TNKS2', 'ATM', 'USP7', 'SMG6', 'XRCC1', 'RTEL1', 'TNKS', 'PNKP']
91	GO:BP	GO:0051321	meiotic cell cycle	2.0122603043013148e-16	True	"""Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."" [GOC:ai]"	277	104	22	15719	0.2115384615384615	0.0794223826714801	query_1	['GO:0007049', 'GO:0019953', 'GO:0022414']	['RBBP8', 'HUS1', 'NBN', 'ATRX', 'RAD50', 'RAD51AP1', 'MLH1', 'H2AX', 'TERF1', 'BRCA2', 'RAD1', 'RPA1', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'EXO1', 'CDK2', 'RMI1', 'MSH6']
92	GO:BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	2.0122603043013148e-16	True	"""Any process that activates or increases the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	37	104	12	15719	0.1153846153846153	0.3243243243243243	query_1	['GO:0010833', 'GO:0032206', 'GO:1904356']	['ACD', 'CTNNB1', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'ATM', 'NAF1', 'RTEL1', 'TNKS', 'PNKP']
93	GO:BP	GO:0002377	immunoglobulin production	2.244799636446806e-16	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	104	104	16	15719	0.1538461538461538	0.1538461538461538	query_1	['GO:0002440']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
21	GO:CC	GO:0140445	chromosome, telomeric repeat region	3.246504363243203e-16	True	"""A complex of DNA and protein that seals the end of a chromosome. The telomeric repeat DNA consists of simple tandemly repeated sequences specific for each species. Typically one strand is G-rich and the other C-rich. The G-rich strand forms a 3'-terminal overhang, the length of which varies with species. The single strand overhang is bound by a variety of proteins, including telomere capping proteins that bind to the single-stranded DNA and seal the telomeric loop."" [PMID:11352055, PMID:30208292]"	14	104	9	16420	0.0865384615384615	0.6428571428571429	query_1	['GO:0000781']	['ACD', 'TERF2', 'XRCC6', 'TERF2IP', 'TERF1', 'TINF2', 'TERT', 'POT1', 'XRCC5']
94	GO:BP	GO:0008152	metabolic process	4.036908671499441e-16	True	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	10419	104	103	15719	0.9903846153846154	0.0098857855840291	query_1	['GO:0008150']	['USP34', 'RBBP8', 'HUS1', 'ACD', 'GNE', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'PIP5K1B', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
95	GO:BP	GO:0002520	immune system development	8.816333728461965e-16	True	"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]"	194	104	19	15719	0.1826923076923076	0.0979381443298969	query_1	['GO:0002376', 'GO:0048731']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'TP53', 'RNF8', 'MSH6']
96	GO:BP	GO:0006287	base-excision repair, gap-filling	1.0779675080959999e-15	True	"""Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template."" [ISBN:1550091131]"	14	104	9	15719	0.0865384615384615	0.6428571428571429	query_1	['GO:0006259', 'GO:0006284']	['LIG3', 'FEN1', 'LIG1', 'PCNA', 'APEX1', 'POLD1', 'POLB', 'PNKP', 'NEIL1']
97	GO:BP	GO:0031325	positive regulation of cellular metabolic process	1.1481970478069714e-15	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2845	104	57	15719	0.5480769230769231	0.0200351493848857	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['RBBP8', 'ACD', 'GSK3B', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'PCNA', 'AR', 'TERT', 'TNKS2', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'DVL1', 'APEX1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'KHSRP', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'RNF8']
98	GO:BP	GO:2000573	positive regulation of DNA biosynthetic process	1.5927939018977148e-15	True	"""Any process that activates or increases the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	75	104	14	15719	0.1346153846153846	0.1866666666666666	query_1	['GO:0010557', 'GO:0031328', 'GO:0051054', 'GO:0071897', 'GO:2000278']	['ACD', 'USP1', 'CTNNB1', 'PCNA', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'XRCC5', 'ATM', 'NAF1', 'TNKS', 'WRAP53', 'PNKP']
43	REAC	REAC:R-HSA-5685939	HDR through MMEJ (alt-NHEJ)	1.706372827138956e-15	True	HDR through MMEJ (alt-NHEJ)	12	100	9	10022	0.09	0.75	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'NBN', 'RAD50', 'LIG3', 'FEN1', 'BRCA2', 'PARP1', 'MRE11', 'XRCC1']
