Hutchinson-Gilford progeria syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
25	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	3.332225643867016e-13	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	102	19	16420	0.1862745098039215	0.0622950819672131	query_1	['GO:1990234']	['POLD3', 'XRCC6', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'XRCC5', 'POLE3', 'PRIM2', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'POLD1', 'POLE2', 'MCM3', 'POLE', 'POLD2']
26	GO:CC	GO:0070533	BRCA1-C complex	4.327734934972551e-13	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, CtIP and Mre11/Rad50/NBS1 (M/R/N) complex, and binds to DNA at DNA damage sites. BRCA1-C binding ta damaged DNA is required for DNA damage-induced Chk1 phosphorylation and the G2/M transition checkpoint."" [GOC:mah, PMID:15485915, PMID:16391231]"	6	102	6	16420	0.0588235294117647	1.0	query_1	['GO:0140513']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
97	GO:BP	GO:0045190	isotype switching	6.072099637499878e-13	True	"""The switching of activated B cells from IgM biosynthesis to biosynthesis of other isotypes of immunoglobulin, accomplished through a recombination process involving an intrachromosomal deletion involving switch regions that reside 5' of each constant region gene segment in the immunoglobulin heavy chain locus."" [ISBN:0781735149]"	53	101	11	15719	0.1089108910891089	0.2075471698113207	query_1	['GO:0002204', 'GO:0002312']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
99	GO:BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	6.072099637499878e-13	True	"""The somatic process that results in the generation of sequence diversity of immunoglobulins after induction, and contributes to an immune response."" [GOC:add, ISBN:0781735149, PMID:14991701]"	53	101	11	15719	0.1089108910891089	0.2075471698113207	query_1	['GO:0002381', 'GO:0016445']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
98	GO:BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	6.072099637499878e-13	True	"""The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, also known as immunoglobulin gene segments, within a single locus following the induction of and contributing to an immune response."" [GOC:add, ISBN:0781735149]"	53	101	11	15719	0.1089108910891089	0.2075471698113207	query_1	['GO:0002208', 'GO:0016447']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
27	GO:CC	GO:0000793	condensed chromosome	6.268757066301512e-13	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	274	102	18	16420	0.1764705882352941	0.0656934306569343	query_1	['GO:0005694']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD50', 'LIG4', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'KAT5', 'BANF1']
28	GO:CC	GO:0000794	condensed nuclear chromosome	6.856397571393302e-13	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct nuclear chromosome."" [GOC:elh]"	81	102	12	16420	0.1176470588235294	0.1481481481481481	query_1	['GO:0000228', 'GO:0000793']	['HUS1', 'RAD9B', 'RAD50', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1']
100	GO:BP	GO:0002440	production of molecular mediator of immune response	7.065768922176441e-13	True	"""The synthesis or release of any molecular mediator of the immune response, resulting in an increase in its intracellular or extracellular levels."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	215	101	17	15719	0.1683168316831683	0.0790697674418604	query_1	['GO:0002376', 'GO:0010467']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
101	GO:BP	GO:0033044	regulation of chromosome organization	7.211883713566973e-13	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a chromosome."" [GOC:mah]"	253	101	18	15719	0.1782178217821782	0.0711462450592885	query_1	['GO:0033043', 'GO:0051276']	['LMNA', 'NBN', 'RAD50', 'LIG4', 'FEN1', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'CDK2', 'MCM2', 'XRCC1', 'KAT5', 'RMI2', 'PNKP']
102	GO:BP	GO:0007346	regulation of mitotic cell cycle	9.685863961391542e-13	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	489	101	23	15719	0.2277227722772277	0.0470347648261758	query_1	['GO:0000278', 'GO:0051726']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'ZMPSTE24', 'RPA2', 'MDC1', 'BRCA2', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
29	GO:CC	GO:1902494	catalytic complex	1.0737811853504978e-12	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	102	39	16420	0.3823529411764705	0.0226349390597794	query_1	['GO:0032991']	['TP53BP1', 'POLD3', 'FANCI', 'DCLRE1C', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'POLD4', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'RAD51', 'TOP3A', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'BARD1', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'POLE', 'POLD2', 'RNF8']
103	GO:BP	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	1.1032954371867394e-12	True	"""A mitotic cell cycle checkpoint that slows DNA synthesis in response to DNA damage by the prevention of new origin firing and the stabilization of slow replication fork progression."" [GOC:vw]"	17	101	8	15719	0.0792079207920792	0.4705882352941176	query_1	['GO:0044773']	['HUS1', 'RAD9B', 'MSH2', 'MDC1', 'FANCD2', 'RAD9A', 'MRE11', 'HUS1B']
104	GO:BP	GO:0000731	DNA synthesis involved in DNA repair	1.1600610247617988e-12	True	"""Synthesis of DNA that proceeds from the broken 3' single-strand DNA end and uses the homologous intact duplex as the template."" [PMID:10357855]"	40	101	10	15719	0.099009900990099	0.25	query_1	['GO:0006281', 'GO:0071897']	['USP1', 'POLD3', 'POLD4', 'POLA1', 'PCNA', 'POLD1', 'WRN', 'POLE2', 'POLE', 'POLD2']
105	GO:BP	GO:0036297	interstrand cross-link repair	1.1600610247617988e-12	True	"""Removal of a DNA interstrand crosslink (a covalent attachment of DNA bases on opposite strands of the DNA) and restoration of the DNA. DNA interstrand crosslinks occur when both strands of duplex DNA are covalently tethered together (e.g. by an exogenous or endogenous agent), thus preventing the strand unwinding necessary for essential DNA functions such as transcription and replication."" [GOC:vw, PMID:16464006, PMID:22064477]"	40	101	10	15719	0.099009900990099	0.25	query_1	['GO:0006281']	['XPA', 'FANCI', 'DCLRE1C', 'RAD51AP1', 'ATR', 'ERCC1', 'ERCC4', 'FANCD2', 'RAD51', 'RNF8']
106	GO:BP	GO:0016233	telomere capping	1.1600610247617988e-12	True	"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]"	40	101	10	15719	0.099009900990099	0.25	query_1	['GO:0000723']	['NBN', 'RAD50', 'DCLRE1C', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'PRKDC', 'XRCC1', 'PNKP']
107	GO:BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	1.3325596817502324e-12	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149, PMID:9185563]"	57	101	11	15719	0.1089108910891089	0.1929824561403508	query_1	['GO:0002377', 'GO:0016064']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
108	GO:BP	GO:2000779	regulation of double-strand break repair	1.780436645671109e-12	True	"""Any process that modulates the frequency, rate or extent of double-strand break repair."" [GOC:BHF]"	129	101	14	15719	0.1386138613861386	0.1085271317829457	query_1	['GO:0006282', 'GO:0006302']	['RBBP8', 'TP53BP1', 'RAD51AP1', 'WDR48', 'RPA2', 'OGG1', 'ATR', 'PARP1', 'ATRIP', 'RAD51', 'PRKDC', 'KAT5', 'RMI2', 'PNKP']
109	GO:BP	GO:0071480	cellular response to gamma radiation	2.399912927747324e-12	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:mah]"	29	101	9	15719	0.0891089108910891	0.3103448275862069	query_1	['GO:0010332', 'GO:0071479']	['XRCC6', 'ZMPSTE24', 'H2AX', 'ATR', 'XRCC5', 'ATM', 'RAD51', 'WRN', 'TP53']
30	GO:CC	GO:0016604	nuclear body	2.541358614117692e-12	True	"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]"	808	102	27	16420	0.2647058823529412	0.0334158415841584	query_1	['GO:0005654', 'GO:0110165']	['LMNA', 'NBN', 'TP53BP1', 'H2AX', 'RPA2', 'MDC1', 'OGG1', 'PCNA', 'ATR', 'AR', 'PARP1', 'RPA1', 'FANCD2', 'BLM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53']
110	GO:BP	GO:0006996	organelle organization	3.735694228747927e-12	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3437	101	56	15719	0.5544554455445545	0.0162932790224032	query_1	['GO:0016043']	['MCM6', 'HUS1', 'LMNA', 'BRIP1', 'XPA', 'NBN', 'MCM5', 'MSH2', 'RAD50', 'MCM7', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'ZMPSTE24', 'LIG4', 'MLH1', 'FEN1', 'RPA2', 'MSH3', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'EMD', 'RMI2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'BANF1', 'RNF8']
111	GO:BP	GO:1903046	meiotic cell cycle process	4.043389818916105e-12	True	"""A process that is part of the meiotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	203	101	16	15719	0.1584158415841584	0.0788177339901477	query_1	['GO:0022402', 'GO:0022414', 'GO:0051321']	['HUS1', 'BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'HUS1B', 'RMI1', 'MSH6']
112	GO:BP	GO:1902749	regulation of cell cycle G2/M phase transition	4.043389818916105e-12	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	109	101	13	15719	0.1287128712871287	0.1192660550458715	query_1	['GO:0044839', 'GO:1901987']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'PAXIP1', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'BARD1', 'TP53']
75	REAC	REAC:R-HSA-174411	Polymerase switching on the C-strand of the telomere	4.920205560619962e-12	True	Polymerase switching on the C-strand of the telomere	26	94	9	10022	0.0957446808510638	0.3461538461538461	query_1	['REAC:R-HSA-174417']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
76	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	1.3612658554769692e-11	True	Generic Transcription Pathway	1153	94	37	10022	0.3936170212765957	0.0320901994796183	query_1	['REAC:R-HSA-73857']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
113	GO:BP	GO:0044818	mitotic G2/M transition checkpoint	1.5486539676034838e-11	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	51	101	10	15719	0.099009900990099	0.196078431372549	query_1	['GO:0007093', 'GO:0010972']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
77	REAC	REAC:R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	1.852726009687636e-11	True	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	7	94	6	10022	0.0638297872340425	0.8571428571428571	query_1	['REAC:R-HSA-73933']	['LIG3', 'OGG1', 'XRCC1', 'POLB', 'PNKP', 'NEIL1']
31	GO:CC	GO:0043227	membrane-bounded organelle	1.9539063607424573e-11	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12219	102	101	16420	0.9901960784313726	0.008265815533186	query_1	['GO:0043226']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'ZMPSTE24', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6', 'CDX1']
78	REAC	REAC:R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	2.2849908209923197e-11	True	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	77	94	12	10022	0.1276595744680851	0.1558441558441558	query_1	['REAC:R-HSA-5693606']	['NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'ATM', 'MRE11', 'BRCA1', 'KAT5', 'BARD1', 'TP53', 'RNF8']
79	REAC	REAC:R-HSA-5693606	DNA Double Strand Break Response	2.646463588186501e-11	True	DNA Double Strand Break Response	78	94	12	10022	0.1276595744680851	0.1538461538461538	query_1	['REAC:R-HSA-5693532']	['NBN', 'TP53BP1', 'RAD50', 'H2AX', 'MDC1', 'ATM', 'MRE11', 'BRCA1', 'KAT5', 'BARD1', 'TP53', 'RNF8']
32	GO:CC	GO:0043229	intracellular organelle	2.7005505773536792e-11	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12263	102	101	16420	0.9901960784313726	0.0082361575470928	query_1	['GO:0005622', 'GO:0043226']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'ZMPSTE24', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6', 'CDX1']
115	GO:BP	GO:0007131	reciprocal meiotic recombination	2.8055661108841498e-11	True	"""The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity."" [PMID:2087779]"	54	101	10	15719	0.099009900990099	0.1851851851851851	query_1	['GO:0007127', 'GO:0140527', 'GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
114	GO:BP	GO:0140527	reciprocal homologous recombination	2.8055661108841498e-11	True	"""A DNA recombination process that results in the bidirectional exchange of genetic material between highly homologous DNA molecules."" [PMID:17846636]"	54	101	10	15719	0.099009900990099	0.1851851851851851	query_1	['GO:0035825']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
116	GO:BP	GO:0110025	DNA strand resection involved in replication fork processing	3.2133811835231806e-11	True	"""The 5' to 3' exonucleolytic resection of DNA at the site of a stalled replication fork that contributes to replication fork processing."" [GOC:mah, PMID:28475874]"	8	101	6	15719	0.0594059405940594	0.75	query_1	['GO:0006259', 'GO:0031297']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
117	GO:BP	GO:1904354	negative regulation of telomere capping	3.2133811835231806e-11	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of telomere capping."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	8	101	6	15719	0.0594059405940594	0.75	query_1	['GO:0016233', 'GO:0032205', 'GO:1904353']	['NBN', 'RAD50', 'ERCC1', 'ERCC4', 'ATM', 'XRCC1']
33	GO:CC	GO:0140535	intracellular protein-containing complex	3.2297553408014776e-11	True	"""A protein-containing complex located intracellularly."" [GOC:pg]"	904	102	27	16420	0.2647058823529412	0.0298672566371681	query_1	['GO:0032991']	['POLD3', 'DCLRE1C', 'XRCC6', 'LIG4', 'POLD4', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'XRCC4', 'XRCC5', 'NHEJ1', 'POLE3', 'RAD51', 'PRIM2', 'BRCA1', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'BARD1', 'POLE2', 'MCM3', 'POLE', 'POLD2', 'RNF8']
118	GO:BP	GO:0045739	positive regulation of DNA repair	3.848564482314241e-11	True	"""Any process that activates or increases the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	130	101	13	15719	0.1287128712871287	0.1	query_1	['GO:0006281', 'GO:0006282', 'GO:0048584', 'GO:0051054']	['RBBP8', 'USP1', 'RAD51AP1', 'WDR48', 'H2AX', 'PCNA', 'PARP1', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'PNKP', 'RNF8']
119	GO:BP	GO:0080134	regulation of response to stress	3.9922610675137595e-11	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1380	101	34	15719	0.3366336633663366	0.0246376811594202	query_1	['GO:0006950', 'GO:0048583']	['RBBP8', 'LMNA', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'XRCC6', 'WDR48', 'ZMPSTE24', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'PNKP', 'BANF1', 'RNF8']
120	GO:BP	GO:0061982	meiosis I cell cycle process	4.6124213570874086e-11	True	"""A process that contributes to the first meiotic division. The first meiotic division is the reductive division resulting in the separation of homologous chromosome pairs."" [PMID:29385397]"	132	101	13	15719	0.1287128712871287	0.0984848484848484	query_1	['GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1', 'MSH6']
34	GO:CC	GO:0008622	epsilon DNA polymerase complex	5.2036727125732765e-11	True	"""A heterotetrameric DNA polymerase complex that catalyzes processive DNA synthesis in the absence of PCNA, but is further stimulated in the presence of PCNA. The complex contains a large catalytic subunit and three small subunits, and is best characterized in Saccharomyces, in which the subunits are named Pol2p, Dpb2p, Dpb3p, and Dpb4p. Some evidence suggests that DNA polymerase epsilon is the leading strand polymerase; it is also involved in nucleotide-excision repair and mismatch repair."" [PMID:15814431, PMID:9745046]"	5	102	5	16420	0.0490196078431372	1.0	query_1	['GO:0000228', 'GO:0042575', 'GO:0140513']	['POLE4', 'POLE3', 'CHRAC1', 'POLE2', 'POLE']
37	GO:CC	GO:1990234	transferase complex	5.2036727125732765e-11	True	"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]"	854	102	26	16420	0.2549019607843137	0.0304449648711943	query_1	['GO:1902494']	['POLD3', 'XRCC6', 'PAXIP1', 'POLD4', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'XRCC5', 'POLE3', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'BARD1', 'POLE2', 'MCM3', 'POLE', 'POLD2', 'RNF8']
36	GO:CC	GO:0030896	checkpoint clamp complex	5.2036727125732765e-11	True	"""Conserved heterotrimeric complex of PCNA-like proteins that is loaded onto DNA at sites of DNA damage."" [PMID:12531008]"	5	102	5	16420	0.0490196078431372	1.0	query_1	['GO:0000794', 'GO:0140513']	['HUS1', 'RAD9B', 'RAD1', 'RAD9A', 'HUS1B']
35	GO:CC	GO:0005658	alpha DNA polymerase:primase complex	5.2036727125732765e-11	True	"""A complex of four polypeptides, comprising large and small DNA polymerase alpha subunits and two primase subunits, which are capable of catalyzing the synthesis of an RNA primer on the lagging strand of replicating DNA and the subsequent synthesis of a smal stretch of DNA. The smaller of the two primase subunits alone can catalyze oligoribonucleotide synthesis."" [GOC:mah, PMID:11395402, PMID:26975377]"	5	102	5	16420	0.0490196078431372	1.0	query_1	['GO:0042575', 'GO:0043601', 'GO:0055029']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2', 'MCM3']
121	GO:BP	GO:0032204	regulation of telomere maintenance	5.5902874460853895e-11	True	"""Any process that modulates the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	105	101	12	15719	0.1188118811881188	0.1142857142857142	query_1	['GO:0000723', 'GO:0033044', 'GO:0051052']	['LMNA', 'NBN', 'RAD50', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'XRCC1', 'PNKP']
80	REAC	REAC:R-HSA-162594	Early Phase of HIV Life Cycle	7.340870964273719e-11	True	Early Phase of HIV Life Cycle	14	94	7	10022	0.0744680851063829	0.5	query_1	['REAC:R-HSA-162587']	['XRCC6', 'LIG4', 'FEN1', 'LIG1', 'XRCC4', 'XRCC5', 'BANF1']
