Acquired partial lipodystrophy	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
330	GO:CC	GO:0098796	membrane protein complex	1.5845777694618628e-10	True	"""Any protein complex that is part of a membrane."" [GOC:dos]"	1247	101	30	17376	0.297029702970297	0.0240577385725741	query_1	['GO:0016020', 'GO:0032991']	['ITGB1', 'ITGA9', 'ITGB5', 'ITGAV', 'ITGB3', 'PIK3R1', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ITGA4', 'ZAP70', 'LYN', 'GRB2', 'EGFR', 'ITGAE', 'SYK', 'ERBB2', 'CDH1', 'PTK2B', 'VTN', 'VCAM1', 'TGFBR1', 'ITGB6', 'EMILIN1', 'ITGB7', 'ITGA3', 'CBL', 'ITGA2']
331	GO:BP	GO:0008219	cell death	1.5872047210714567e-10	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	2010	101	38	17376	0.3762376237623762	0.0189054726368159	query_1	['GO:0009987']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'ITGA4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'SEMA4D']
332	GO:BP	GO:0010594	regulation of endothelial cell migration	1.6346571473006736e-10	True	"""Any process that modulates the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]"	163	101	13	17376	0.1287128712871287	0.0797546012269938	query_1	['GO:0010632', 'GO:0043542']	['MET', 'BCAR1', 'ITGB3', 'VEGFC', 'FLT4', 'NRP2', 'KDR', 'PLCG1', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1']
333	GO:BP	GO:0071310	cellular response to organic substance	1.7594022957318414e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1915	101	37	17376	0.3663366336633663	0.0193211488250652	query_1	['GO:0010033', 'GO:0070887']	['RAPGEF1', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CRK', 'SHC1', 'PLCG2', 'CTNNB1', 'SOS1', 'LOX', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'NRP2', 'EGFR', 'FBN1', 'SYK', 'CDH1', 'PTK2B', 'AGRN', 'CRKL', 'VCAM1', 'PTK2', 'THBS1', 'ADAM15', 'PTPN11', 'CBL', 'PDGFRA', 'ITGA2', 'PGF']
334	GO:BP	GO:0030168	platelet activation	2.057525703991681e-10	True	"""A series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue. These events include shape change, adhesiveness, aggregation, and release reactions. When carried through to completion, these events lead to the formation of a stable hemostatic plug."" [http://www.graylab.ac.uk/omd/]"	131	101	12	17376	0.1188118811881188	0.0916030534351145	query_1	['GO:0001775', 'GO:0007596']	['FN1', 'SRC', 'ITGB3', 'PLCG2', 'LYN', 'VCL', 'VAV1', 'SYK', 'TLN1', 'LCK', 'EMILIN1', 'PDGFRA']
335	GO:CC	GO:0005615	extracellular space	2.179485056110829e-10	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3040	101	47	17376	0.4653465346534653	0.0154605263157894	query_1	['GO:0005576', 'GO:0110165']	['ITGB1', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'PSAT1', 'SPP1', 'ITGB3', 'TGFB3', 'VEGFC', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'LOX', 'ITGA2B', 'ITGA4', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'TGFB1', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'VCL', 'CDH1', 'VEGFA', 'AGRN', 'VTN', 'TLN1', 'VEGFD', 'VCAM1', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
336	GO:CC	GO:0001527	microfibril	2.221160157156365e-10	True	"""Extracellular matrix components occurring independently or along with elastin. Thought to have force-bearing functions in tendon. In addition to fibrillins, microfibrils may contain other associated proteins."" [PMID:27026396]"	11	101	6	17376	0.0594059405940594	0.5454545454545454	query_1	['GO:0031012', 'GO:0099512']	['LTBP1', 'FBN1', 'FBN2', 'MFAP2', 'MFAP5', 'MFAP4']
337	GO:BP	GO:0051093	negative regulation of developmental process	2.363418858079526e-10	True	"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	863	101	25	17376	0.2475247524752475	0.0289687137891077	query_1	['GO:0032502', 'GO:0048519', 'GO:0050793']	['ITGB1', 'ITGAV', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'SHC1', 'CTNNB1', 'LRP4', 'TGFBR2', 'LYN', 'TGFB1', 'EGFR', 'FBN1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'TGFBR1', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'SEMA4D']
338	GO:BP	GO:1990138	neuron projection extension	2.5471050856359357e-10	True	"""Long distance growth of a single neuron projection involved in cellular development. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:BHF, GOC:rl, PMID:22790009]"	169	101	13	17376	0.1287128712871287	0.0769230769230769	query_1	['GO:0048588', 'GO:0048812', 'GO:0060560']	['ITGB1', 'FN1', 'CTNNB1', 'ITGA4', 'NRP2', 'VCL', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'NRP1', 'SEMA4D', 'PLXNA1']
339	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	2.6586693985133207e-10	True	Erythropoietin activates RAS	12	101	6	17376	0.0594059405940594	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
340	GO:BP	GO:0022407	regulation of cell-cell adhesion	2.9570234371675106e-10	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]"	465	101	19	17376	0.1881188118811881	0.0408602150537634	query_1	['GO:0030155', 'GO:0098609']	['SRC', 'SMAD7', 'TGFBR2', 'FYN', 'ITGA4', 'ZAP70', 'ADAM19', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'CDH1', 'VEGFA', 'VCAM1', 'PTK2', 'LCK', 'EMILIN1', 'PTPN11']
341	GO:BP	GO:0012501	programmed cell death	2.9707737564437526e-10	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1849	101	36	17376	0.3564356435643564	0.0194699837750135	query_1	['GO:0008219']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'TGFBR2', 'LOX', 'ITGA5', 'ITGA4', 'LYN', 'TGFB1', 'EGFR', 'KDR', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'SH3KBP1', 'CRKL', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'SEMA4D']
342	GO:BP	GO:0060548	negative regulation of cell death	3.1747304853735234e-10	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	953	101	26	17376	0.2574257425742574	0.0272822665267576	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'ITGA5', 'FYN', 'EGFR', 'KDR', 'ERBB2', 'PTK2B', 'VEGFA', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'CBL', 'SEMA4D']
343	GO:BP	GO:0031325	positive regulation of cellular metabolic process	3.2501820715388836e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2839	101	45	17376	0.4455445544554455	0.0158506516379006	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']	['MET', 'VEGFB', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'TGFBR2', 'ITGA5', 'FYN', 'LAT', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF']
344	GO:BP	GO:1901653	cellular response to peptide	3.624072382695419e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	358	101	17	17376	0.1683168316831683	0.047486033519553	query_1	['GO:0071417', 'GO:1901652', 'GO:1901701']	['BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'TGFB1', 'FBN1', 'VCAM1', 'PTK2', 'PTPN11']
345	GO:BP	GO:0043412	macromolecule modification	3.811553889350039e-10	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3593	101	51	17376	0.504950495049505	0.0141942666295574	query_1	['GO:0043170']	['MET', 'VEGFB', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'VEGFC', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'FLT4', 'CTNNB1', 'LRP4', 'SOS1', 'TGFBR2', 'LOX', 'ITGA5', 'FYN', 'LAT', 'ZAP70', 'LYN', 'TGFB1', 'LCP2', 'LOXL1', 'EGFR', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'PTK2B', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'VEGFD', 'TGFBR1', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
346	GO:BP	GO:0002764	immune response-regulating signaling pathway	4.4108645361850307e-10	True	"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	418	101	18	17376	0.1782178217821782	0.0430622009569378	query_1	['GO:0007165', 'GO:0050776']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'CRKL', 'PTK2', 'LCK']
347	REAC	REAC:R-HSA-1433557	Signaling by SCF-KIT	4.5748889966308835e-10	True	Signaling by SCF-KIT	39	101	8	17376	0.0792079207920792	0.2051282051282051	query_1	['REAC:R-HSA-9006934']	['PIK3R1', 'SOS1', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11', 'CBL']
348	REAC	REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	4.68757103331195e-10	True	Signaling by EGFRvIII in Cancer	13	101	6	17376	0.0594059405940594	0.4615384615384615	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'CBL']
349	REAC	REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	4.68757103331195e-10	True	Constitutive Signaling by EGFRvIII	13	101	6	17376	0.0594059405940594	0.4615384615384615	query_1	['REAC:R-HSA-5637812']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'CBL']
350	GO:BP	GO:0050921	positive regulation of chemotaxis	4.73821246850543e-10	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	141	101	12	17376	0.1188118811881188	0.0851063829787234	query_1	['GO:0006935', 'GO:0032103', 'GO:0040017', 'GO:0050920']	['MET', 'VEGFB', 'VEGFC', 'KDR', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'NRP1', 'THBS1', 'ITGA2', 'PGF']
351	GO:BP	GO:0060754	positive regulation of mast cell chemotaxis	5.18255549998937e-10	True	"""Any process that increases the rate, frequency or extent of mast cell chemotaxis. Mast cell chemotaxis is the movement of a mast cell in response to an external stimulus."" [GOC:dph, GOC:tb]"	6	101	5	17376	0.0495049504950495	0.8333333333333334	query_1	['GO:0002551', 'GO:0002690', 'GO:0060753']	['VEGFB', 'VEGFC', 'VEGFA', 'VEGFD', 'PGF']
352	GO:BP	GO:0051960	regulation of nervous system development	5.953778118994461e-10	True	"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]"	426	101	18	17376	0.1782178217821782	0.0422535211267605	query_1	['GO:0007399', 'GO:2000026']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'VEGFC', 'HGF', 'CTNNB1', 'LRP4', 'LYN', 'TGFB1', 'CDH1', 'VEGFA', 'AGRN', 'L1CAM', 'NRP1', 'JAM2', 'SEMA4D', 'PLXNA1']
353	GO:BP	GO:0007369	gastrulation	6.227546969251178e-10	True	"""A complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals. The details of gastrulation vary from species to species, but usually result in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm."" [GOC:curators, ISBN:9780878933846]"	182	101	13	17376	0.1287128712871287	0.0714285714285714	query_1	['GO:0048598']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'CTNNB1', 'TGFBR2', 'ITGA5', 'ITGA4', 'GRB2', 'VTN', 'ITGA3', 'ITGA2']
354	GO:BP	GO:0048041	focal adhesion assembly	6.832181680443596e-10	True	"""The aggregation and bonding together of a set of components to form a focal adhesion, a complex of intracellular signaling and structural proteins that provides a structural link between the internal actin cytoskeleton and the ECM, and also function as a locus of signal transduction activity."" [GOC:jid, GOC:mah]"	83	101	10	17376	0.099009900990099	0.1204819277108433	query_1	['GO:0007044', 'GO:0007160']	['SRC', 'KDR', 'VCL', 'PTK2B', 'VEGFA', 'TLN1', 'PTK2', 'NRP1', 'THBS1', 'ITGA2']
355	GO:BP	GO:0010975	regulation of neuron projection development	7.127504642469644e-10	True	"""Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:dph, GOC:tb]"	431	101	18	17376	0.1782178217821782	0.0417633410672853	query_1	['GO:0031175', 'GO:0120035']	['RAPGEF1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'LRP4', 'FYN', 'LYN', 'CDH1', 'PTK2B', 'VEGFA', 'CRKL', 'L1CAM', 'NRP1', 'ITGA3', 'SEMA4D', 'PLXNA1']
356	GO:BP	GO:0048732	gland development	7.375507374542191e-10	True	"""The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."" [GOC:jid]"	432	101	18	17376	0.1782178217821782	0.0416666666666666	query_1	['GO:0048513']	['MET', 'SRC', 'TGFB3', 'HGF', 'CTNNB1', 'TGFBR2', 'TNC', 'TGFB1', 'EGFR', 'CDH1', 'VEGFA', 'CRKL', 'VTN', 'TGFBR1', 'NRP1', 'PDGFRA', 'ITGA2', 'PLXNA1']
357	GO:BP	GO:0048667	cell morphogenesis involved in neuron differentiation	7.394790876146186e-10	True	"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]"	555	101	20	17376	0.198019801980198	0.036036036036036	query_1	['GO:0000904', 'GO:0048666']	['ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'LRP4', 'SOS1', 'FYN', 'ITGA4', 'NRP2', 'VCL', 'ERBB2', 'MUSK', 'CDH1', 'VEGFA', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
358	GO:BP	GO:0030595	leukocyte chemotaxis	7.467616521262489e-10	True	"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]"	227	101	14	17376	0.1386138613861386	0.0616740088105726	query_1	['GO:0050900', 'GO:0060326']	['ITGA9', 'VEGFB', 'VEGFC', 'LYN', 'JAM3', 'VAV1', 'SYK', 'PTK2B', 'VEGFA', 'VEGFD', 'PTK2', 'THBS1', 'FLT1', 'PGF']
359	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	8.016951766017427e-10	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	101	10	17376	0.099009900990099	0.1123595505617977	query_1	['REAC:R-HSA-168249']	['PIK3R1', 'CRK', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'PTK2']
360	REAC	REAC:R-HSA-9665348	Signaling by ERBB2 ECD mutants	8.016951766017427e-10	True	Signaling by ERBB2 ECD mutants	14	101	6	17376	0.0594059405940594	0.4285714285714285	query_1	['REAC:R-HSA-1227990']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'ERBB2']
361	GO:CC	GO:0009897	external side of plasma membrane	8.243661701030526e-10	True	"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]"	378	101	17	17376	0.1683168316831683	0.0449735449735449	query_1	['GO:0005886', 'GO:0009986', 'GO:0098552']	['ITGB1', 'ITGA9', 'ITGAV', 'ITGB3', 'TGFBR2', 'ITGA2B', 'ITGA5', 'ITGA4', 'ITGAE', 'KDR', 'FCGR1A', 'VCAM1', 'ITGB6', 'THBS1', 'ITGA3', 'PDGFRA', 'ITGA2']
362	GO:BP	GO:0046649	lymphocyte activation	8.473418993870762e-10	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	767	101	23	17376	0.2277227722772277	0.029986962190352	query_1	['GO:0045321']	['ITGB1', 'SRC', 'SMAD7', 'PIK3R1', 'ITK', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'FYN', 'ITGA4', 'LAT', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'SH3KBP1', 'VCAM1', 'LCK', 'PTPN11']
363	REAC	REAC:R-HSA-373755	Semaphorin interactions	9.056024717105555e-10	True	Semaphorin interactions	64	101	9	17376	0.0891089108910891	0.140625	query_1	['REAC:R-HSA-422475']	['MET', 'ITGB1', 'PLXNB1', 'FYN', 'ERBB2', 'TLN1', 'NRP1', 'SEMA4D', 'PLXNA1']
364	GO:BP	GO:0050851	antigen receptor-mediated signaling pathway	9.086458615093235e-10	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]"	188	101	13	17376	0.1287128712871287	0.0691489361702127	query_1	['GO:0002429']	['BCAR1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'SYK', 'PLCG1', 'CRKL', 'LCK']
365	GO:BP	GO:0007162	negative regulation of cell adhesion	9.086458615093235e-10	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	277	101	15	17376	0.1485148514851485	0.0541516245487364	query_1	['GO:0007155', 'GO:0030155', 'GO:0048523']	['PLXNB1', 'SRC', 'SMAD7', 'PIK3R1', 'TGFB1', 'JAM3', 'ERBB2', 'CDH1', 'VEGFA', 'PTK2', 'THBS1', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
366	GO:BP	GO:0045596	negative regulation of cell differentiation	9.481587488971999e-10	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."" [GOC:go_curators]"	630	101	21	17376	0.2079207920792079	0.0333333333333333	query_1	['GO:0030154', 'GO:0045595', 'GO:0048523', 'GO:0051093']	['ITGB1', 'ITGAV', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'VEGFC', 'CTNNB1', 'LRP4', 'LYN', 'TGFB1', 'EGFR', 'FBN1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'TGFBR1', 'NRP1', 'PTPN11', 'SEMA4D']
367	GO:BP	GO:0071675	regulation of mononuclear cell migration	9.61527039166264e-10	True	"""Any process that modulates the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."" [GOC:mah]"	116	101	11	17376	0.1089108910891089	0.0948275862068965	query_1	['GO:0002685', 'GO:0071674']	['ITGB3', 'CRK', 'ITGA4', 'MADCAM1', 'LYN', 'TGFB1', 'PTK2B', 'CRKL', 'PTK2', 'THBS1', 'JAM2']
368	GO:BP	GO:0043069	negative regulation of programmed cell death	1.177136616516473e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	856	101	24	17376	0.2376237623762376	0.02803738317757	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'FLT4', 'CTNNB1', 'ITGA5', 'EGFR', 'KDR', 'ERBB2', 'PTK2B', 'VEGFA', 'TGFBR1', 'PTK2', 'NRP1', 'THBS1', 'CBL', 'SEMA4D']
369	GO:CC	GO:0031091	platelet alpha granule	1.1861739137558015e-09	True	"""A secretory organelle found in blood platelets, which is unique in that it exhibits further compartmentalization and acquires its protein content via two distinct mechanisms: (1) biosynthesis predominantly at the megakaryocyte (MK) level (with some vestigial platelet synthesis) (e.g. platelet factor 4) and (2) endocytosis and pinocytosis at both the MK and circulating platelet levels (e.g. fibrinogen (Fg) and IgG)."" [PMID:8467233]"	88	101	10	17376	0.099009900990099	0.1136363636363636	query_1	['GO:0030141']	['VEGFB', 'FN1', 'ITGB3', 'TGFB3', 'VEGFC', 'HGF', 'ITGA2B', 'VEGFA', 'VEGFD', 'THBS1']
370	GO:BP	GO:0022607	cellular component assembly	1.2534870819155454e-09	True	"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]"	2839	101	44	17376	0.4356435643564356	0.0154984149348362	query_1	['GO:0016043', 'GO:0044085']	['MET', 'RAPGEF1', 'ITGB1', 'ITGB5', 'PLXNB1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'PLCG2', 'CTNNB1', 'LRP4', 'LOX', 'ITGA5', 'PXN', 'FBLN5', 'GRB2', 'TGFB1', 'JAM3', 'KDR', 'VCL', 'SYK', 'MUSK', 'CDH1', 'PTK2B', 'VEGFA', 'AGRN', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'ELN', 'PDGFRA', 'SEMA4D', 'ITGA2', 'MFAP4']
371	GO:BP	GO:0002757	immune response-activating signaling pathway	1.2834376581086255e-09	True	"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]"	390	101	17	17376	0.1683168316831683	0.0435897435897435	query_1	['GO:0002253', 'GO:0002764']	['RAPGEF1', 'BCAR1', 'SRC', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'VAV1', 'SYK', 'PLCG1', 'CRKL', 'PTK2', 'LCK']
372	GO:BP	GO:0050865	regulation of cell activation	1.2834376581086255e-09	True	"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]"	641	101	21	17376	0.2079207920792079	0.0327613104524181	query_1	['GO:0001775', 'GO:0050794', 'GO:0051239']	['FN1', 'SRC', 'SMAD7', 'CTNNB1', 'SOS1', 'TGFBR2', 'FYN', 'LAT', 'ZAP70', 'LYN', 'TGFB1', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'VCAM1', 'LCK', 'EMILIN1', 'THBS1', 'PTPN11', 'PDGFRA']
373	GO:BP	GO:0044409	entry into host	1.3506866281491992e-09	True	"""Entry of a symbiont into the body, tissues, or cells of a host organism as part of the symbiont life cycle. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:vw]"	155	101	12	17376	0.1188118811881188	0.0774193548387096	query_1	['GO:0044000']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'CBL', 'ITGA2']
374	GO:BP	GO:0050927	positive regulation of positive chemotaxis	1.465115147253661e-09	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism towards a higher concentration in a concentration gradient of a specific chemical."" [GOC:ai]"	26	101	7	17376	0.0693069306930693	0.2692307692307692	query_1	['GO:0050918', 'GO:0050921', 'GO:0050926']	['VEGFB', 'VEGFC', 'KDR', 'VEGFA', 'VEGFD', 'ITGA2', 'PGF']
375	GO:BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	1.465115147253661e-09	True	"""An immune response-regulating cell surface receptor signaling pathway that contributes to the endocytic engulfment of external particulate material by phagocytes."" [GO_REF:0000022, GOC:add, GOC:bf, ISBN:0781735149]"	26	101	7	17376	0.0693069306930693	0.2692307692307692	query_1	['GO:0002252', 'GO:0002768', 'GO:0006909']	['RAPGEF1', 'SRC', 'FYN', 'LYN', 'VAV1', 'SYK', 'PTK2']
