LMNA-related cardiocutaneous progeria syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
162	GO:BP	GO:0002377	immunoglobulin production	6.583537489012847e-19	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	104	101	17	17376	0.1683168316831683	0.1634615384615384	query_1	['GO:0002440']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'EXO1', 'PRKDC', 'POLB', 'RNF8', 'MSH6']
163	GO:CC	GO:0043231	intracellular membrane-bounded organelle	6.880065197494856e-19	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	11246	101	101	17376	1.0	0.0089809710119153	query_1	['GO:0043227', 'GO:0043229']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
164	GO:BP	GO:0006287	base-excision repair, gap-filling	8.07114923813423e-19	True	"""Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template."" [ISBN:1550091131]"	14	101	10	17376	0.099009900990099	0.7142857142857143	query_1	['GO:0006259', 'GO:0006284']	['LIG3', 'FEN1', 'LIG1', 'PCNA', 'APEX1', 'POLD1', 'POLB', 'PNKP', 'NEIL1', 'POLE']
165	GO:BP	GO:0044773	mitotic DNA damage checkpoint signaling	8.120846453110589e-19	True	"""A signal transduction process involved in mitotic DNA damage checkpoint."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	85	101	16	17376	0.1584158415841584	0.188235294117647	query_1	['GO:0000077', 'GO:0044774']	['HUS1', 'RAD9B', 'NBN', 'MSH2', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
166	REAC	REAC:R-HSA-5656169	Termination of translesion DNA synthesis	8.248781433205349e-19	True	Termination of translesion DNA synthesis	32	101	12	17376	0.1188118811881188	0.375	query_1	['REAC:R-HSA-110313']	['POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
167	GO:BP	GO:0008152	metabolic process	1.6595529341697838e-18	True	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"	10396	101	99	17376	0.9801980198019802	0.0095228934205463	query_1	['GO:0008150']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
168	GO:BP	GO:0044774	mitotic DNA integrity checkpoint signaling	1.7418267227356447e-18	True	"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during mitosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]"	89	101	16	17376	0.1584158415841584	0.1797752808988764	query_1	['GO:0007093', 'GO:0031570']	['HUS1', 'RAD9B', 'NBN', 'MSH2', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'TP53']
169	GO:BP	GO:0010332	response to gamma radiation	2.622150403468014e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]"	56	101	14	17376	0.1386138613861386	0.25	query_1	['GO:0010212']	['XRCC6', 'LIG4', 'H2AX', 'BRCA2', 'ATR', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'RAD51', 'PRKDC', 'POLB', 'WRN', 'TP53']
170	REAC	REAC:R-HSA-174437	Removal of the Flap Intermediate from the C-strand	2.74151420843453e-18	True	Removal of the Flap Intermediate from the C-strand	17	101	10	17376	0.099009900990099	0.5882352941176471	query_1	['REAC:R-HSA-174414']	['POLD3', 'FEN1', 'POLD4', 'RPA2', 'PCNA', 'RPA3', 'RPA1', 'POLD1', 'WRN', 'POLD2']
171	GO:BP	GO:0002520	immune system development	2.817852977503327e-18	True	"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]"	194	101	20	17376	0.198019801980198	0.1030927835051546	query_1	['GO:0002376', 'GO:0048731']	['NBN', 'MSH2', 'TP53BP1', 'DCLRE1C', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'MSH3', 'PMS2', 'XRCC4', 'ERCC1', 'NHEJ1', 'ATM', 'EXO1', 'PRKDC', 'POLB', 'TP53', 'RNF8', 'MSH6']
172	GO:BP	GO:0010165	response to X-ray	4.239896506477613e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:sm, Wikipedia:X-ray]"	32	101	12	17376	0.1188118811881188	0.375	query_1	['GO:0010212']	['MSH2', 'TP53BP1', 'XRCC6', 'LIG4', 'BRCA2', 'XRCC4', 'ERCC1', 'XRCC5', 'BLM', 'ATM', 'RAD51', 'TP53']
173	REAC	REAC:R-HSA-68952	DNA replication initiation	5.065096215784303e-18	True	DNA replication initiation	8	101	8	17376	0.0792079207920792	1.0	query_1	['REAC:R-HSA-69239']	['POLE4', 'POLA1', 'PRIM1', 'POLE3', 'PRIM2', 'POLA2', 'POLE2', 'POLE']
174	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	6.1209380626866225e-18	True	Generic Transcription Pathway	1151	101	37	17376	0.3663366336633663	0.0321459600347523	query_1	['REAC:R-HSA-73857']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
175	GO:BP	GO:0000278	mitotic cell cycle	7.780060707050386e-18	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"	896	101	34	17376	0.3366336633663366	0.0379464285714285	query_1	['GO:0007049']	['RBBP8', 'MCM6', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'MCM4', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'KAT5', 'BARD1', 'MCM3', 'TP53', 'BANF1', 'POLE']
176	GO:BP	GO:0031297	replication fork processing	8.991422913228925e-18	True	"""The process in which a DNA replication fork that has stalled is restored to a functional state and replication is restarted. The stalling may be due to DNA damage, DNA secondary structure, bound proteins, dNTP shortage, or other causes."" [GOC:vw, PMID:11459955, PMID:15367656, PMID:17660542]"	46	101	13	17376	0.1287128712871287	0.2826086956521739	query_1	['GO:0045005']	['RBBP8', 'NBN', 'RAD50', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'WRN']
177	GO:BP	GO:0006312	mitotic recombination	9.008894614529546e-18	True	"""The exchange, reciprocal or nonreciprocal, of genetic material between one DNA molecule and a homologous DNA region that occurs during mitotic cell cycles."" [GOC:elh]"	24	101	11	17376	0.1089108910891089	0.4583333333333333	query_1	['GO:0006310']	['MSH2', 'RAD50', 'RAD52', 'MLH1', 'MSH3', 'BRCA2', 'ERCC1', 'ERCC4', 'MRE11', 'RAD51', 'XRCC1']
178	GO:BP	GO:0035825	homologous recombination	9.224127129683421e-18	True	"""A DNA recombination process that results in the exchange of an equal amount of genetic material between highly homologous DNA molecules."" [GOC:mah, PMID:11139492, PMID:17304215]"	61	101	14	17376	0.1386138613861386	0.2295081967213114	query_1	['GO:0006310']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'BRCA1', 'BARD1', 'RMI1']
179	REAC	REAC:R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	1.3052556390959769e-17	True	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	39	101	12	17376	0.1188118811881188	0.3076923076923077	query_1	['REAC:R-HSA-73893']	['POLD3', 'POLD4', 'RPA2', 'POLE4', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'POLD1', 'POLE2', 'POLE', 'POLD2']
180	REAC	REAC:R-HSA-1474165	Reproduction	1.8469813721290132e-17	True	Reproduction	139	101	17	17376	0.1683168316831683	0.1223021582733813	query_1	['REAC:0000000']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'ATR', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2']
181	REAC	REAC:0000000	REACTOME root term	3.165899610451468e-17	True	REACTOME root term	9962	101	96	17376	0.9504950495049505	0.0096366191527805	query_1	[]	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
182	GO:BP	GO:0033260	nuclear DNA replication	3.197175678951257e-17	True	"""The DNA-dependent DNA replication that occurs in the nucleus of eukaryotic organisms as part of the cell cycle."" [GOC:mtg_cell_cycle]"	37	101	12	17376	0.1188118811881188	0.3243243243243243	query_1	['GO:0044786']	['MCM6', 'FEN1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'BLM', 'RAD51', 'MCM4', 'MCM2', 'WRN', 'MCM3']
183	REAC	REAC:R-HSA-69109	Leading Strand Synthesis	4.88305562127381e-17	True	Leading Strand Synthesis	14	101	9	17376	0.0891089108910891	0.6428571428571429	query_1	['REAC:R-HSA-69190']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
184	REAC	REAC:R-HSA-69091	Polymerase switching	4.88305562127381e-17	True	Polymerase switching	14	101	9	17376	0.0891089108910891	0.6428571428571429	query_1	['REAC:R-HSA-69109', 'REAC:R-HSA-69186']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
185	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	1.514920077527948e-16	True	RNA Polymerase II Transcription	1272	101	37	17376	0.3663366336633663	0.0290880503144654	query_1	['REAC:R-HSA-74160']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
186	GO:BP	GO:0044786	cell cycle DNA replication	1.8420811812567278e-16	True	"""The DNA-dependent DNA replication that takes place as part of the cell cycle."" [GOC:mtg_cell_cycle]"	42	101	12	17376	0.1188118811881188	0.2857142857142857	query_1	['GO:0006261', 'GO:0022402']	['MCM6', 'FEN1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'BLM', 'RAD51', 'MCM4', 'MCM2', 'WRN', 'MCM3']
187	GO:BP	GO:0051726	regulation of cell cycle	3.075180436401977e-16	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1084	101	35	17376	0.3465346534653465	0.0322878228782287	query_1	['GO:0007049', 'GO:0050794']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'RMI2', 'TP53']
188	GO:BP	GO:0006268	DNA unwinding involved in DNA replication	4.220120416731109e-16	True	"""The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating unpaired template strands for DNA replication."" [ISBN:071673706X, ISBN:0815316194]"	22	101	10	17376	0.099009900990099	0.4545454545454545	query_1	['GO:0006261', 'GO:0032508']	['MCM6', 'MCM5', 'MCM7', 'RPA1', 'BLM', 'RAD51', 'MCM4', 'MCM2', 'WRN', 'MCM3']
189	GO:BP	GO:0045930	negative regulation of mitotic cell cycle	9.88185228469468e-16	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	225	101	19	17376	0.1881188118811881	0.0844444444444444	query_1	['GO:0000278', 'GO:0007346', 'GO:0045786']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
190	REAC	REAC:R-HSA-6783310	Fanconi Anemia Pathway	9.91041636285082e-16	True	Fanconi Anemia Pathway	39	101	11	17376	0.1089108910891089	0.282051282051282	query_1	['REAC:R-HSA-73894']	['USP1', 'FANCI', 'WDR48', 'RPA2', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2']
191	GO:BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis	1.253030708575349e-15	True	"""The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis."" [GOC:dph, GOC:tb]"	228	101	19	17376	0.1881188118811881	0.0833333333333333	query_1	['GO:0090304']	['RBBP8', 'RAD50', 'DCLRE1C', 'APLF', 'FEN1', 'TDP1', 'RAD1', 'PMS2', 'APTX', 'ERCC4', 'ATRIP', 'RAD9A', 'MRE11', 'APEX1', 'EXO1', 'POLD1', 'WRN', 'PNKP', 'POLE']
192	GO:CC	GO:0043227	membrane-bounded organelle	2.347585984374269e-15	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12190	101	101	17376	1.0	0.0082854799015586	query_1	['GO:0043226']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
193	GO:BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	2.575113196730721e-15	True	"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	3716	101	60	17376	0.594059405940594	0.0161463939720129	query_1	['GO:0006139', 'GO:0031323', 'GO:0051171', 'GO:0080090']	['RBBP8', 'MCM6', 'LMNA', 'BRIP1', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'MCM7', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'PCNA', 'ATR', 'AR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'MCM4', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'POLB', 'BARD1', 'WRN', 'RMI2', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'ORC2', 'RNF8', 'MSH6']
194	GO:BP	GO:0080135	regulation of cellular response to stress	2.6045232823831024e-15	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	681	101	28	17376	0.2772277227722772	0.0411160058737151	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'ERCC4', 'ATRIP', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'PNKP', 'RNF8']
195	GO:CC	GO:0043229	intracellular organelle	3.2800512250265344e-15	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12235	101	101	17376	1.0	0.008255006129955	query_1	['GO:0005622', 'GO:0043226']	['RBBP8', 'MCM6', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MCM5', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'MCM7', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'MCM10', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'MCM4', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'USP46', 'BRCA1', 'CDK2', 'MCM2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'MCM3', 'TP53', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'ORC4', 'ORC2', 'RNF8', 'MSH6']
196	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	3.850564439436084e-15	True	Gene expression (Transcription)	1407	101	37	17376	0.3663366336633663	0.0262970859985785	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'FANCI', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'RPA1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53']
197	GO:BP	GO:0009411	response to UV	9.393322970754081e-15	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	151	101	16	17376	0.1584158415841584	0.1059602649006622	query_1	['GO:0009416']	['HUS1', 'XPA', 'MSH2', 'USP1', 'POLD3', 'FEN1', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'WRN', 'TP53', 'MSH6']
198	GO:CC	GO:0000793	condensed chromosome	1.2791041111411198e-14	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	273	101	19	17376	0.1881188118811881	0.0695970695970696	query_1	['GO:0005694']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD50', 'LIG4', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'KAT5', 'BANF1', 'ORC2']
199	GO:BP	GO:0006275	regulation of DNA replication	1.4024870048508198e-14	True	"""Any process that modulates the frequency, rate or extent of DNA replication."" [GOC:go_curators]"	126	101	15	17376	0.1485148514851485	0.119047619047619	query_1	['GO:0006260', 'GO:0051052']	['MCM6', 'NBN', 'MCM5', 'MCM7', 'LIG3', 'PCNA', 'ATR', 'BLM', 'POLE3', 'MCM4', 'CDK2', 'MCM2', 'CHRAC1', 'MCM3', 'TP53']
