Laron syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
250	GO:BP	GO:0034030	ribonucleoside bisphosphate biosynthetic process	3.1790032809197906e-10	True	"""The chemical reactions and pathways resulting in the formation of a ribonucleoside bisphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with one phosphate group attached to each of two different hydroxyl groups on the sugar."" [GOC:mah, GOC:pde]"	58	99	10	21110	0.101010101010101	0.1724137931034483	query_1	['GO:0033866', 'GO:0033875']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
251	GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	3.219281384617057e-10	True	"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1942	99	36	21110	0.3636363636363636	0.0185375901132852	query_1	['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']	['CDK5RAP3', 'CREBBP', 'NFKBIB', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'RBCK1', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'EPAS1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
252	GO:BP	GO:0030162	regulation of proteolysis	3.3979756342230783e-10	True	"""Any process that modulates the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:mah]"	708	99	23	21110	0.2323232323232323	0.0324858757062146	query_1	['GO:0006508', 'GO:0051246']	['EGLN3', 'GSK3B', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'ELOB', 'DDRGK1', 'UFL1', 'RBX1', 'BTRC', 'TNF', 'FAS', 'FADD', 'VHL', 'CFLAR', 'MALT1', 'FBXW11', 'BIRC3', 'BIRC2', 'CASP8', 'FBXW7', 'BCL10']
253	KEGG	KEGG:04659	Th17 cell differentiation	3.44481350410734e-10	True	Th17 cell differentiation	105	88	14	8161	0.1590909090909091	0.1333333333333333	query_1	['KEGG:00000']	['NFKBIE', 'NFKBIB', 'STAT3', 'HSP90AB1', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'HIF1A', 'AHR', 'IKBKG', 'STAT5A', 'NFKBIA', 'STAT5B']
254	CORUM	CORUM:5233	TNF-alpha/NF-kappa B signaling complex 5	3.7989208823952936e-10	True	TNF-alpha/NF-kappa B signaling complex 5	23	64	10	3383	0.15625	0.4347826086956521	query_1	['CORUM:0000000']	['NFKBIB', 'CHUK', 'RELA', 'IKBKB', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'REL', 'CUL1']
255	GO:BP	GO:0060544	regulation of necroptotic process	4.0359594945284255e-10	True	"""Any process that modulates the rate, frequency or extent of a necroptotic process, a necrotic cell death process that results from the activation of endogenous cellular processes, such as signaling involving death domain receptors or Toll-like receptors."" [GOC:BHF, GOC:dph, GOC:mtg_apoptosis, GOC:tb]"	25	99	8	21110	0.0808080808080808	0.32	query_1	['GO:0062098', 'GO:0070266']	['RBCK1', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8']
256	KEGG	KEGG:05211	Renal cell carcinoma	4.266638114406532e-10	True	Renal cell carcinoma	68	88	12	8161	0.1363636363636363	0.1764705882352941	query_1	['KEGG:00000']	['EGLN3', 'CREBBP', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'EP300', 'ARNT', 'CUL2']
257	REAC	REAC:R-HSA-1234174	Cellular response to hypoxia	4.2949193152662846e-10	True	Cellular response to hypoxia	75	91	12	10790	0.1318681318681318	0.16	query_1	['REAC:R-HSA-2262752']	['EGLN3', 'CREBBP', 'ELOB', 'RBX1', 'EGLN1', 'VHL', 'HIF1A', 'EPAS1', 'ELOC', 'EP300', 'ARNT', 'CUL2']
258	GO:BP	GO:0009891	positive regulation of biosynthetic process	4.629723411763962e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	2081	99	37	21110	0.3737373737373737	0.0177799135031235	query_1	['GO:0009058', 'GO:0009889', 'GO:0009893']	['CDK5RAP3', 'CREBBP', 'NFKBIB', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'RBCK1', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'EPAS1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'ABHD6', 'BCL10', 'PRL', 'STAT5B']
259	GO:BP	GO:0051254	positive regulation of RNA metabolic process	4.952627003032701e-10	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1857	99	35	21110	0.3535353535353535	0.0188476036618201	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['CDK5RAP3', 'CREBBP', 'NFKBIB', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'RBCK1', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'EPAS1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
260	GO:BP	GO:0009628	response to abiotic stimulus	5.349980556744886e-10	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1146	99	28	21110	0.2828282828282828	0.0244328097731239	query_1	['GO:0050896']	['EGLN3', 'GSK3B', 'CREBBP', 'MAP3K14', 'HSP90AB1', 'TNFRSF1A', 'RELA', 'RBX1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'EGLN1', 'VHL', 'HIF1A', 'CFLAR', 'EPAS1', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'GHR', 'RELB', 'BIRC2', 'NFKBIA', 'CASP8', 'FBXW7', 'BCL10']
261	GO:BP	GO:0043066	negative regulation of apoptotic process	5.489619612057407e-10	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	884	99	25	21110	0.2525252525252525	0.0282805429864253	query_1	['GO:0006915', 'GO:0042981', 'GO:0043069']	['SNX6', 'PDK4', 'GSK3B', 'HSP90AB1', 'RELA', 'DDRGK1', 'UFL1', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'SOCS2', 'MALT1', 'BIRC3', 'TRAF2', 'BIRC2', 'BCL10', 'UFM1', 'STAT5B', 'PRLR']
262	GO:BP	GO:0031347	regulation of defense response	5.729725446560029e-10	True	"""Any process that modulates the frequency, rate or extent of a defense response."" [GOC:mah]"	726	99	23	21110	0.2323232323232323	0.0316804407713498	query_1	['GO:0006952', 'GO:0080134']	['SHARPIN', 'CREBBP', 'TRAF3', 'TNFRSF1A', 'RELA', 'IKBKB', 'UFL1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'TRADD', 'EP300', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'BCL10', 'STAT5B']
263	WP	WP:WP4655	Cytosolic DNA-sensing pathway	6.328942459175393e-10	True	Cytosolic DNA-sensing pathway	73	80	12	8133	0.15	0.1643835616438356	query_1	['WP:000000']	['NFKBIB', 'CASP10', 'CHUK', 'RELA', 'IKBKB', 'FADD', 'NFKB1', 'RIPK1', 'TRADD', 'IKBKG', 'NFKBIA', 'CASP8']
264	GO:MF	GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	6.860845874659636e-10	True	"""Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a disulfide."" [GOC:jl]"	9	99	6	20195	0.0606060606060606	0.6666666666666666	query_1	['GO:0016903']	['PDHA2', 'PDHB', 'BCKDHB', 'PDHA1', 'OGDH', 'BCKDHA']
265	REAC	REAC:R-HSA-5362517	Signaling by Retinoic Acid	6.91780599846289e-10	True	Signaling by Retinoic Acid	43	91	10	10790	0.1098901098901098	0.2325581395348837	query_1	['REAC:R-HSA-9006931']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
266	GO:BP	GO:0006082	organic acid metabolic process	7.011297803335937e-10	True	"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	979	99	26	21110	0.2626262626262626	0.0265577119509703	query_1	['GO:0044237', 'GO:0044281', 'GO:0071704']	['PDK4', 'GCSH', 'DLST', 'STAT3', 'TNFRSF1A', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'DBT', 'BCKDK', 'BCKDHB', 'PDHA1', 'HIF1A', 'PDK3', 'EP300', 'PDK1', 'ARNT', 'GHR', 'STAT5A', 'DLD', 'PDK2', 'ABHD6', 'OGDH', 'STAT5B', 'BCKDHA']
267	REAC	REAC:R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	7.912630684778862e-10	True	Fc epsilon receptor (FCERI) signaling	182	91	16	10790	0.1758241758241758	0.0879120879120879	query_1	['REAC:R-HSA-168249']	['CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CUL1', 'BCL10']
268	GO:BP	GO:0071378	cellular response to growth hormone stimulus	8.22095443163439e-10	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth hormone stimulus. Growth hormone is a peptide hormone that binds to the growth hormone receptor and stimulates growth."" [GOC:mah]"	27	99	8	21110	0.0808080808080808	0.2962962962962963	query_1	['GO:0060416', 'GO:0071375']	['STAT3', 'GH2', 'SOCS2', 'GH1', 'GHR', 'STAT5A', 'CSH2', 'STAT5B']
269	GO:BP	GO:0060396	growth hormone receptor signaling pathway	8.22095443163439e-10	True	"""The series of molecular signals generated as a consequence of growth hormone receptor binding to its physiological ligand."" [GOC:BHF, GOC:dph, PMID:11445442]"	27	99	8	21110	0.0808080808080808	0.2962962962962963	query_1	['GO:0007169', 'GO:0071378']	['STAT3', 'GH2', 'SOCS2', 'GH1', 'GHR', 'STAT5A', 'CSH2', 'STAT5B']
270	WP	WP:WP3849	MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	8.2680846461097e-10	True	MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	12	80	7	8133	0.0875	0.5833333333333334	query_1	['WP:000000']	['MAP3K14', 'CHUK', 'IKBKB', 'NFKB1', 'IKBKG', 'TRAF6', 'NFKBIA']
271	GO:BP	GO:0016310	phosphorylation	9.515281825107391e-10	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1787	99	34	21110	0.3434343434343434	0.0190263010632344	query_1	['GO:0006796']	['SNX6', 'PDK4', 'MAP3K8', 'GSK3B', 'CDK5RAP3', 'MAP3K14', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'DDRGK1', 'TNF', 'FAS', 'BCKDK', 'GH2', 'RIPK1', 'PDK3', 'MALT1', 'PDK1', 'IKBKG', 'TAB1', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'PDK2', 'SKP2', 'FBXW7', 'BCL10', 'CSH2', 'PRLR']
272	GO:BP	GO:0006351	DNA-templated transcription	9.824999836427272e-10	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3585	99	48	21110	0.4848484848484848	0.0133891213389121	query_1	['GO:0097659']	['SNX6', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'ELOB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'FLYWCH1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
273	GO:BP	GO:0097659	nucleic acid-templated transcription	9.930193865367928e-10	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3586	99	48	21110	0.4848484848484848	0.0133853876185164	query_1	['GO:0010467', 'GO:0032774']	['SNX6', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'ELOB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'FLYWCH1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
274	GO:BP	GO:0060546	negative regulation of necroptotic process	1.0099247628189811e-09	True	"""Any process that decreases the rate, frequency or extent of a necroptotic process, a necrotic cell death process that results from the activation of endogenous cellular processes, such as signaling involving death domain receptors or Toll-like receptors."" [GOC:BHF, GOC:dph, GOC:mtg_apoptosis, GOC:tb]"	16	99	7	21110	0.0707070707070707	0.4375	query_1	['GO:0060544', 'GO:0062099', 'GO:0070266']	['RBCK1', 'RNF31', 'FADD', 'RIPK1', 'BIRC3', 'BIRC2', 'CASP8']
275	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	1.0974890481815646e-09	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	2023	99	36	21110	0.3636363636363636	0.0177953534354918	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['CDK5RAP3', 'CREBBP', 'NFKBIB', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'RBCK1', 'BTRC', 'TNF', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'EPAS1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
276	GO:BP	GO:0033875	ribonucleoside bisphosphate metabolic process	1.0993063815862595e-09	True	"""The chemical reactions and pathways involving a ribonucleoside bisphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with one phosphate group attached to each of two different hydroxyl groups on the sugar."" [GOC:mah, GOC:pde]"	122	99	12	21110	0.1212121212121212	0.0983606557377049	query_1	['GO:0033865']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2', 'OGDH']
277	GO:BP	GO:0034032	purine nucleoside bisphosphate metabolic process	1.0993063815862595e-09	True	"""The chemical reactions and pathways involving a purine nucleoside bisphosphate, a compound consisting of a purine base linked to a deoxyribose or ribose sugar esterified with one phosphate group attached to each of two different hydroxyl groups on the sugar."" [GOC:mah, GOC:pde]"	122	99	12	21110	0.1212121212121212	0.0983606557377049	query_1	['GO:0033865', 'GO:0072521']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2', 'OGDH']
278	GO:BP	GO:0033865	nucleoside bisphosphate metabolic process	1.0993063815862595e-09	True	"""The chemical reactions and pathways involving a nucleoside bisphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with one phosphate group attached to each of two different hydroxyl groups on the sugar."" [GOC:mah, GOC:pde]"	122	99	12	21110	0.1212121212121212	0.0983606557377049	query_1	['GO:0006753']	['PDK4', 'DLST', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2', 'OGDH']
279	GO:BP	GO:0051707	response to other organism	1.124309602689314e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1581	99	32	21110	0.3232323232323232	0.0202403542061986	query_1	['GO:0043207', 'GO:0044419']	['SHARPIN', 'CREBBP', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'HIF1A', 'MALT1', 'EP300', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'BCL10', 'STAT5B', 'PRLR']
280	GO:BP	GO:0006355	regulation of DNA-templated transcription	1.145364007694769e-09	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3455	99	47	21110	0.4747474747474747	0.0136034732272069	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['SNX6', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'FLYWCH1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
281	GO:BP	GO:0062098	regulation of programmed necrotic cell death	1.146522309779719e-09	True	"""Any process that modulates the frequency, rate or extent of programmed necrotic cell death."" [GOC:aruk, GOC:rph, PMID:27258785]"	28	99	8	21110	0.0808080808080808	0.2857142857142857	query_1	['GO:0010939', 'GO:0043067', 'GO:0097300']	['RBCK1', 'RNF31', 'FADD', 'RIPK1', 'CFLAR', 'BIRC3', 'BIRC2', 'CASP8']
282	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	1.1704472640536764e-09	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3457	99	47	21110	0.4747474747474747	0.013595603124096	query_1	['GO:0097659', 'GO:2001141']	['SNX6', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'FLYWCH1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'BCL10', 'PRL', 'STAT5B']
283	GO:BP	GO:0071396	cellular response to lipid	1.1756741268595192e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:mah]"	602	99	21	21110	0.2121212121212121	0.0348837209302325	query_1	['GO:0033993', 'GO:0071310']	['PDK4', 'GSK3B', 'NFKBIB', 'RELA', 'DDRGK1', 'UFL1', 'METTL21C', 'TNF', 'NFKB1', 'TNIP2', 'CFLAR', 'PDK3', 'MALT1', 'EP300', 'AHR', 'TRAF6', 'NFKBIA', 'SKP2', 'UBA5', 'BCL10', 'UFM1']
284	GO:BP	GO:0043207	response to external biotic stimulus	1.1835513340994323e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1584	99	32	21110	0.3232323232323232	0.0202020202020202	query_1	['GO:0009605', 'GO:0009607']	['SHARPIN', 'CREBBP', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'NFKB1', 'TNIP2', 'HIF1A', 'MALT1', 'EP300', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'BCL10', 'STAT5B', 'PRLR']
285	GO:MF	GO:0042802	identical protein binding	1.2011334819305384e-09	True	"""Binding to an identical protein or proteins."" [GOC:jl]"	2136	99	37	20195	0.3737373737373737	0.0173220973782771	query_1	['GO:0005515']	['SNX6', 'SHARPIN', 'SNX1', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'DLAT', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'SIL1', 'NFKB1', 'RIPK1', 'TRADD', 'MALT1', 'ARNT', 'AHR', 'IKBKG', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'TRAF6', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'FBXW7', 'UBA5', 'BCL10', 'STAT5B']
286	GO:BP	GO:0060255	regulation of macromolecule metabolic process	1.2102469170673411e-09	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	6816	99	67	21110	0.6767676767676768	0.0098298122065727	query_1	['GO:0019222', 'GO:0043170']	['SNX6', 'EGLN3', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIE', 'NFKBIB', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'TRADD', 'FLYWCH1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'ARNT', 'AHR', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'REL', 'TRAF6', 'STAT5A', 'BIRC2', 'NFKBIA', 'SKP2', 'CASP8', 'FBXW7', 'BCL10', 'PRL', 'CSH2', 'STAT5B', 'PRLR']
287	GO:BP	GO:1901701	cellular response to oxygen-containing compound	1.3649761973537543e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1287	99	29	21110	0.2929292929292929	0.0225330225330225	query_1	['GO:0070887', 'GO:1901700']	['SNX6', 'PDK4', 'GSK3B', 'NFKBIB', 'STAT3', 'CHUK', 'RELA', 'METTL21C', 'TNF', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'PDK3', 'SOCS2', 'MALT1', 'AHR', 'GH1', 'TRAF2', 'GHR', 'TRAF6', 'STAT5A', 'PDK2', 'NFKBIA', 'BCL10', 'CSH2', 'STAT5B']
288	GO:MF	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	1.368134148601788e-09	True	"""Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."" [GOC:ai]"	49	99	9	20195	0.0909090909090909	0.1836734693877551	query_1	['GO:0016491']	['DLAT', 'PDHA2', 'PDHX', 'PDHB', 'BCKDHB', 'PDHA1', 'DLD', 'OGDH', 'BCKDHA']
289	GO:MF	GO:0032813	tumor necrosis factor receptor superfamily binding	1.368134148601788e-09	True	"""Binding to a member of the tumor necrosis factor receptor superfamily."" [GOC:add]"	49	99	9	20195	0.0909090909090909	0.1836734693877551	query_1	['GO:0005126']	['TRAF3', 'TNF', 'FADD', 'RIPK1', 'CFLAR', 'TRADD', 'TRAF2', 'TRAF6', 'CASP8']
290	KEGG	KEGG:04120	Ubiquitin mediated proteolysis	1.4058225420986244e-09	True	Ubiquitin mediated proteolysis	140	88	15	8161	0.1704545454545454	0.1071428571428571	query_1	['KEGG:00000']	['ELOB', 'RBX1', 'BTRC', 'VHL', 'SKP1', 'ELOC', 'FBXW11', 'BIRC3', 'TRAF6', 'BIRC2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7']
