ALG8-CDG	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
43	REAC	REAC:R-HSA-8963901	Chylomicron remodeling	1.418277233047027e-07	True	Chylomicron remodeling	10	95	5	10022	0.0526315789473684	0.5	query_1	['REAC:R-HSA-8963899']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
44	REAC	REAC:R-HSA-8963888	Chylomicron assembly	1.418277233047027e-07	True	Chylomicron assembly	10	95	5	10022	0.0526315789473684	0.5	query_1	['REAC:R-HSA-8963898']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
112	GO:BP	GO:0034372	very-low-density lipoprotein particle remodeling	1.4794333729780378e-07	True	"""The acquisition, loss or modification of a protein or lipid within a very-low-density lipoprotein particle, including the hydrolysis of triglyceride by hepatic lipase or lipoprotein lipase and the subsequent loss of free fatty acid."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	12	96	5	15719	0.0520833333333333	0.4166666666666667	query_1	['GO:0034370']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
111	GO:BP	GO:0034370	triglyceride-rich lipoprotein particle remodeling	1.4794333729780378e-07	True	"""The acquisition, loss or modification of a protein or lipid within a triglyceride-rich lipoprotein particle, including the hydrolysis of triglyceride by lipoprotein lipase, with the subsequent loss of free fatty acid, and the transfer of cholesterol esters to a triglyceride-rich lipoprotein particle by cholesteryl ester transfer protein (CETP), with the simultaneous transfer of triglyceride from a triglyceride-rich lipoprotein particle."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	12	96	5	15719	0.0520833333333333	0.4166666666666667	query_1	['GO:0034369']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
113	GO:BP	GO:0034109	homotypic cell-cell adhesion	1.540963503726082e-07	True	"""The attachment of a cell to a second cell of the identical type via adhesion molecules."" [GOC:add]"	95	96	9	15719	0.09375	0.0947368421052631	query_1	['GO:0098609']	['FN1', 'HBB', 'FGA', 'ITGB3', 'GP1BA', 'FLNA', 'FGB', 'FGG', 'TLN1']
39	GO:CC	GO:0005925	focal adhesion	1.62940277007238e-07	True	"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]"	417	97	15	16420	0.1546391752577319	0.0359712230215827	query_1	['GO:0030055']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'GJA1', 'FLNA', 'ITGA2B', 'ITGA5', 'CD46', 'LRP1', 'YWHAZ', 'TLN1', 'PTK2', 'ITGB6']
114	GO:BP	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	2.008239102836785e-07	True	"""Any process that activates or increases the frequency, rate or extent of substrate adhesion-dependent cell spreading."" [GOC:TermGenie, GOC:yaf]"	44	96	7	15719	0.0729166666666666	0.1590909090909091	query_1	['GO:0010811', 'GO:0034446', 'GO:1900024']	['FGA', 'ITGB3', 'FLNA', 'APOA1', 'FGB', 'FGG', 'C1QBP']
45	REAC	REAC:R-HSA-3000178	ECM proteoglycans	2.0580703272929954e-07	True	ECM proteoglycans	73	95	9	10022	0.0947368421052631	0.1232876712328767	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'ITGA2B', 'VTN', 'ITGB6']
40	GO:CC	GO:0030055	cell-substrate junction	2.1092988047745885e-07	True	"""A cell junction that forms a connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	426	97	15	16420	0.1546391752577319	0.0352112676056338	query_1	['GO:0070161']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'GJA1', 'FLNA', 'ITGA2B', 'ITGA5', 'CD46', 'LRP1', 'YWHAZ', 'TLN1', 'PTK2', 'ITGB6']
115	GO:BP	GO:0031639	plasminogen activation	2.2744743302001493e-07	True	"""The process in which inactive plasminogen is processed to active plasmin. This process includes cleavage at an internal Arg-Val site to form an N-terminal A-chain and C-terminal B-chain held together by a disulfide bond, and can include further proteolytic cleavage events to remove the preactivation peptide."" [PMID:9548733]"	26	96	6	15719	0.0625	0.2307692307692307	query_1	['GO:0031638']	['F12', 'FGA', 'F11', 'KLKB1', 'FGB', 'FGG']
116	GO:BP	GO:0045916	negative regulation of complement activation	2.310690045774377e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of complement activation."" [GOC:go_curators]"	13	96	5	15719	0.0520833333333333	0.3846153846153846	query_1	['GO:0002698', 'GO:0002921', 'GO:0006956', 'GO:0030449']	['MASP1', 'A2M', 'C4BPB', 'CD46', 'C4BPA']
117	GO:BP	GO:0098609	cell-cell adhesion	2.3629373154391973e-07	True	"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]"	873	96	22	15719	0.2291666666666666	0.0252004581901489	query_1	['GO:0007155']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'HBB', 'SRC', 'FGA', 'ITGB3', 'GP1BA', 'TJP1', 'FLNA', 'TFRC', 'ITGA2B', 'ITGA5', 'HFE', 'ROBO3', 'CD46', 'APOA1', 'FGB', 'FGG', 'TLN1', 'PTK2']
118	GO:BP	GO:1901564	organonitrogen compound metabolic process	2.417201511520536e-07	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	5961	96	64	15719	0.6666666666666666	0.0107364536151652	query_1	['GO:0006807', 'GO:0071704']	['MASP1', 'PTX3', 'C3', 'F12', 'GP1BB', 'MASP2', 'APOC3', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'BDKRB2', 'FCN3', 'FLNA', 'TFRC', 'F11', 'COLEC11', 'APOE', 'ITGA5', 'HFE', 'COLEC10', 'ENOPH1', 'A2M', 'INHBE', 'INHBC', 'SERPIND1', 'CFH', 'ALG8', 'C4BPB', 'BDKRB1', 'APOA1', 'LRP1', 'F2', 'F9', 'GALNT12', 'TFR2', 'KLKB1', 'HP', 'YWHAZ', 'FGB', 'APOA2', 'FGG', 'FITM2', 'CFI', 'SERPINC1', 'CFB', 'C2', 'MBL2', 'C4BPA', 'SERPINA1', 'VTN', 'GP5', 'FCN1', 'KNG1', 'PTK2', 'C1QBP', 'PRCP', 'VKORC1L1', 'HPX']
119	GO:BP	GO:0006810	transport	2.944225592962625e-07	True	"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	4218	96	52	15719	0.5416666666666666	0.0123281175912754	query_1	['GO:0051234']	['PTX3', 'C3', 'GP1BB', 'ITGB1', 'SIGMAR1', 'APOC3', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'BDKRB2', 'FCN3', 'GJA1', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'ANKFY1', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'WHAMM', 'C4A', 'C4BPB', 'BDKRB1', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'YWHAZ', 'FGB', 'APOA2', 'C4B_2', 'FGG', 'CFI', 'C2', 'MBL2', 'C4BPA', 'VTN', 'GP5', 'APOC2', 'FCN1', 'PTK2', 'HPX']
120	GO:BP	GO:0002250	adaptive immune response	3.155491746145507e-07	True	"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	517	96	17	15719	0.1770833333333333	0.0328820116054158	query_1	['GO:0006955']	['C3', 'MASP2', 'FGA', 'TFRC', 'HFE', 'C4A', 'C4BPB', 'CD46', 'FGB', 'C4B_2', 'CFI', 'CFB', 'C2', 'MBL2', 'C4BPA', 'C1QBP', 'HPX']
121	GO:BP	GO:0033700	phospholipid efflux	3.430471103363938e-07	True	"""The directed movement of a phospholipid out of a cell or organelle."" [GOC:mah]"	14	96	5	15719	0.0520833333333333	0.3571428571428571	query_1	['GO:0015914']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
122	GO:BP	GO:0010901	regulation of very-low-density lipoprotein particle remodeling	4.505954433397096e-07	True	"""Any process that modulates the rate, frequency or extent of very-low-density lipoprotein particle remodeling. Very-low-density lipoprotein particle remodeling is the acquisition, loss or modification of a protein or lipid within a very-low-density lipoprotein particle, including the hydrolysis of triglyceride by hepatic lipase or lipoprotein lipase and the subsequent loss of free fatty acid."" [GOC:tb]"	6	96	4	15719	0.0416666666666666	0.6666666666666666	query_1	['GO:0034372', 'GO:0051128', 'GO:0051239']	['APOC3', 'APOA1', 'APOA2', 'APOC2']
46	REAC	REAC:R-HSA-6802957	Oncogenic MAPK signaling	4.556999468514917e-07	True	Oncogenic MAPK signaling	80	95	9	10022	0.0947368421052631	0.1125	query_1	['REAC:R-HSA-5663202']	['FN1', 'SRC', 'FGA', 'ITGB3', 'VWF', 'ITGA2B', 'FGB', 'FGG', 'TLN1']
42	GO:CC	GO:0005577	fibrinogen complex	5.488514812265695e-07	True	"""A highly soluble, elongated protein complex found in blood plasma and involved in clot formation. It is converted into fibrin monomer by the action of thrombin. In the mouse, fibrinogen is a hexamer, 46 nm long and 9 nm maximal diameter, containing two sets of nonidentical chains (alpha, beta, and gamma) linked together by disulfide bonds."" [ISBN:0198547684]"	8	97	4	16420	0.0412371134020618	0.5	query_1	['GO:0005615', 'GO:0032991']	['FN1', 'FGA', 'FGB', 'FGG']
43	GO:CC	GO:0034366	spherical high-density lipoprotein particle	5.488514812265695e-07	True	"""A mature high-density lipoprotein (HDL) particle, converted from discoidal HDL particles following the esterification of cholesterol in the particle by phosphatidylcholine-sterol O-acyltransferase (lecithin cholesterol acyltransferase; LCAT)."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	8	97	4	16420	0.0412371134020618	0.5	query_1	['GO:0034364']	['APOC3', 'APOA1', 'APOA2', 'APOC2']
41	GO:CC	GO:1990712	HFE-transferrin receptor complex	5.488514812265695e-07	True	"""A protein complex containing at least HFE and a transferrin receptor (either TFR1/TFRC or TFR2), proposed to play a role in the sensing of transferrin-bound Fe (Fe2-Tf) on the plasma membrane to regulate hepcidin transcription."" [GOC:BHF, GOC:kom, PMID:25147378]"	8	97	4	16420	0.0412371134020618	0.5	query_1	['GO:0098802']	['TFRC', 'HFE', 'TF', 'TFR2']
47	REAC	REAC:R-HSA-3000170	Syndecan interactions	7.539195586762101e-07	True	Syndecan interactions	25	95	6	10022	0.0631578947368421	0.24	query_1	['REAC:R-HSA-3000171']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'VTN']
45	GO:CC	GO:0034385	triglyceride-rich plasma lipoprotein particle	8.169393069554115e-07	True	"""A plasma lipoprotein particle that has a hydrophobic core enriched in triglycerides surrounded by an amphipathic monolayer of phospholipids, cholesterol and apolipoproteins. Triglyceride-rich lipoprotein particles transport lipids, which are non-covalently associated with the particles, in the blood."" [GOC:BHF, GOC:mah, GOC:rl]"	21	97	5	16420	0.0515463917525773	0.238095238095238	query_1	['GO:0034358']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
44	GO:CC	GO:0034361	very-low-density lipoprotein particle	8.169393069554115e-07	True	"""A triglyceride-rich lipoprotein particle that is typically composed of APOB100, APOE and APOCs and has a density of about 1.006 g/ml and a diameter of between 20-80 nm. It is found in blood and transports endogenous products (newly synthesized cholesterol and triglycerides) from the liver."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	21	97	5	16420	0.0515463917525773	0.238095238095238	query_1	['GO:0034385']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
124	GO:BP	GO:0003018	vascular process in circulatory system	8.849367868576525e-07	True	"""A circulatory process that occurs at the level of the vasculature."" [GOC:mtg_cardio]"	250	96	12	15719	0.125	0.048	query_1	['GO:0003013']	['HBB', 'SRC', 'FGA', 'TJP1', 'BDKRB2', 'TFRC', 'APOE', 'CRP', 'LRP1', 'FGB', 'FGG', 'KNG1']
123	GO:BP	GO:0002698	negative regulation of immune effector process	8.849367868576525e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune effector process."" [GOC:add]"	117	96	9	15719	0.09375	0.0769230769230769	query_1	['GO:0002252', 'GO:0002683', 'GO:0002697']	['MASP1', 'TGFB3', 'HFE', 'A2M', 'C4BPB', 'CD46', 'APOA1', 'APOA2', 'C4BPA']
125	GO:BP	GO:0002921	negative regulation of humoral immune response	1.011886745654759e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate, or extent of a humoral immune response."" [GOC:add]"	17	96	5	15719	0.0520833333333333	0.2941176470588235	query_1	['GO:0002920', 'GO:0006959', 'GO:0050777']	['MASP1', 'A2M', 'C4BPB', 'CD46', 'C4BPA']
126	GO:BP	GO:0051234	establishment of localization	1.0321477646769357e-06	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4373	96	52	15719	0.5416666666666666	0.0118911502401097	query_1	['GO:0051179']	['PTX3', 'C3', 'GP1BB', 'ITGB1', 'SIGMAR1', 'APOC3', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'BDKRB2', 'FCN3', 'GJA1', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'ANKFY1', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'WHAMM', 'C4A', 'C4BPB', 'BDKRB1', 'APOA1', 'LRP1', 'F2', 'TF', 'TFR2', 'YWHAZ', 'FGB', 'APOA2', 'C4B_2', 'FGG', 'CFI', 'C2', 'MBL2', 'C4BPA', 'VTN', 'GP5', 'APOC2', 'FCN1', 'PTK2', 'HPX']
127	GO:BP	GO:0048878	chemical homeostasis	1.0698812641311403e-06	True	"""Any biological process involved in the maintenance of an internal steady state of a chemical."" [GOC:isa_complete]"	954	96	22	15719	0.2291666666666666	0.0230607966457023	query_1	['GO:0042592']	['GP1BB', 'APOC3', 'ITGB3', 'GP1BA', 'GP9', 'TJP1', 'FLNA', 'TFRC', 'APOE', 'HFE', 'BDKRB1', 'APOA1', 'F2', 'TF', 'TFR2', 'APOA2', 'FITM2', 'GP5', 'APOC2', 'ITGB6', 'PRCP', 'HPX']
46	GO:CC	GO:0071682	endocytic vesicle lumen	1.2563769354239546e-06	True	"""The volume enclosed by the membrane of an endocytic vesicle."" [GOC:pde]"	23	97	5	16420	0.0515463917525773	0.217391304347826	query_1	['GO:0030139', 'GO:0070013']	['HBB', 'APOE', 'APOA1', 'HP', 'HPX']
48	GO:CC	GO:0071062	alphav-beta3 integrin-vitronectin complex	1.2563769354239546e-06	True	"""A protein complex that consists of an alphav-beta3 integrin complex bound to vitronectin."" [PMID:10835423]"	3	97	3	16420	0.0309278350515463	1.0	query_1	['GO:0098797']	['ITGB3', 'ITGA5', 'VTN']
47	GO:CC	GO:0090665	glycoprotein complex	1.2563769354239546e-06	True	"""A protein complex containing at least one glycosylated protein, may be held together by both covalent and noncovalent bonds."" [GOC:pf, PMID:7693675, PMID:8662961]"	23	97	5	16420	0.0515463917525773	0.217391304347826	query_1	['GO:0032991']	['GP1BB', 'GP1BA', 'GP9', 'FLNA', 'GP5']
128	GO:BP	GO:0051179	localization	1.317621718723631e-06	True	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	4977	96	56	15719	0.5833333333333334	0.0112517580872011	query_1	['GO:0008150']	['PTX3', 'C3', 'GP1BB', 'ITGB1', 'SIGMAR1', 'APOC3', 'ITGAV', 'HBB', 'SRC', 'SPP1', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'GP9', 'TJP1', 'BDKRB2', 'FCN3', 'GJA1', 'FLNA', 'TFRC', 'COLEC11', 'APOE', 'ANKFY1', 'HFE', 'COLEC10', 'CRP', 'CFHR4', 'WHAMM', 'C4A', 'C4BPB', 'BDKRB1', 'APOA1', 'LRP1', 'F2', 'TF', 'F9', 'TFR2', 'YWHAZ', 'FGB', 'APOA2', 'C4B_2', 'FGG', 'FITM2', 'CFI', 'C2', 'MBL2', 'C4BPA', 'VTN', 'GP5', 'APOC2', 'FCN1', 'PTK2', 'ALB', 'HPX']
129	GO:BP	GO:0051917	regulation of fibrinolysis	1.3411011833668518e-06	True	"""Any process that modulates the frequency, rate or extent of fibrinolysis, an ongoing process that solubilizes fibrin, resulting in the removal of small blood clots."" [GOC:ai]"	18	96	5	15719	0.0520833333333333	0.2777777777777778	query_1	['GO:0030193', 'GO:0042730']	['F12', 'F11', 'F2', 'KLKB1', 'VTN']
130	GO:BP	GO:0043691	reverse cholesterol transport	1.3411011833668518e-06	True	"""The directed movement of peripheral cell cholesterol, cholest-5-en-3-beta-ol, towards the liver for catabolism."" [GOC:ecd, PMID:7751809]"	18	96	5	15719	0.0520833333333333	0.2777777777777778	query_1	['GO:0030301']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
131	GO:BP	GO:0051241	negative regulation of multicellular organismal process	1.37233352783806e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1056	96	23	15719	0.2395833333333333	0.021780303030303	query_1	['GO:0032501', 'GO:0048519', 'GO:0051239']	['F12', 'APOC3', 'FN1', 'SPP1', 'FGA', 'TGFB3', 'GP1BA', 'GJA1', 'F11', 'APOE', 'HFE', 'APOA1', 'F2', 'KLKB1', 'FGB', 'APOA2', 'PROS1', 'FGG', 'VTN', 'APOC2', 'KNG1', 'C1QBP', 'ORM1']
48	REAC	REAC:R-HSA-6806667	Metabolism of fat-soluble vitamins	1.697510505997545e-06	True	Metabolism of fat-soluble vitamins	46	95	7	10022	0.0736842105263157	0.1521739130434782	query_1	['REAC:R-HSA-196854']	['APOC3', 'APOE', 'APOA1', 'LRP1', 'APOA2', 'APOC2', 'VKORC1L1']
132	GO:BP	GO:0045780	positive regulation of bone resorption	1.7840547708093788e-06	True	"""Any process that activates or increases the frequency, rate or extent of bone resorption."" [GOC:go_curators]"	19	96	5	15719	0.0520833333333333	0.2631578947368421	query_1	['GO:0045124', 'GO:0045453', 'GO:0051240']	['SRC', 'SPP1', 'ITGB3', 'TFRC', 'TF']
133	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.8068356419603507e-06	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	96	38	15719	0.3958333333333333	0.0144048521607278	query_1	['GO:0007165']	['C3', 'GP1BB', 'ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'SRC', 'FGA', 'ITGB3', 'TGFB3', 'FCN2', 'GP1BA', 'TJP1', 'BDKRB2', 'FCN3', 'FLNA', 'COLEC11', 'APOE', 'ITGA2B', 'ITGA5', 'HFE', 'COLEC10', 'INHBE', 'INHBC', 'CD46', 'APOA1', 'LRP1', 'F2', 'TF', 'FGB', 'FGG', 'MBL2', 'VTN', 'FCN1', 'TLN1', 'PTK2', 'ITGB6', 'HPX']
134	GO:BP	GO:0010876	lipid localization	1.8115263798369183e-06	True	"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]"	449	96	15	15719	0.15625	0.0334075723830735	query_1	['GO:0033036']	['C3', 'SIGMAR1', 'APOC3', 'ITGAV', 'SPP1', 'ITGB3', 'BDKRB2', 'APOE', 'CRP', 'CFHR4', 'APOA1', 'LRP1', 'APOA2', 'FITM2', 'APOC2']
135	GO:BP	GO:2000427	positive regulation of apoptotic cell clearance	1.8840122309743051e-06	True	"""Any process that activates or increases the frequency, rate or extent of apoptotic cell clearance."" [GOC:obol]"	8	96	4	15719	0.0416666666666666	0.5	query_1	['GO:0043277', 'GO:0050766', 'GO:2000425']	['C3', 'C4A', 'C4B_2', 'C2']
136	GO:BP	GO:0007044	cell-substrate junction assembly	1.9955124696908723e-06	True	"""The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate."" [GOC:mah]"	93	96	8	15719	0.0833333333333333	0.086021505376344	query_1	['GO:0034329', 'GO:0150115']	['RHOD', 'FN1', 'SRC', 'ITGB3', 'ITGA5', 'WHAMM', 'TLN1', 'PTK2']
137	GO:BP	GO:0032368	regulation of lipid transport	2.438062540483517e-06	True	"""Any process that modulates the frequency, rate or extent of the directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	133	96	9	15719	0.09375	0.0676691729323308	query_1	['GO:0006869', 'GO:0051049', 'GO:1905952']	['APOC3', 'ITGAV', 'SPP1', 'ITGB3', 'APOE', 'APOA1', 'LRP1', 'APOA2', 'APOC2']
139	GO:BP	GO:0090207	regulation of triglyceride metabolic process	2.5053292059134534e-06	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving triglyceride, any triester of glycerol."" [GOC:dph, GOC:sl, GOC:tb]"	39	96	6	15719	0.0625	0.1538461538461538	query_1	['GO:0006641', 'GO:0019216', 'GO:0031323']	['C3', 'APOC3', 'APOE', 'APOA1', 'FITM2', 'APOC2']
138	GO:BP	GO:0098751	bone cell development	2.5053292059134534e-06	True	"""The process whose specific outcome is the progression of a bone cell over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dos]"	39	96	6	15719	0.0625	0.1538461538461538	query_1	['GO:0048468', 'GO:0060348']	['GP1BB', 'SRC', 'GP1BA', 'GP9', 'FLNA', 'GP5']
140	GO:BP	GO:0042592	homeostatic process	2.9648292499220933e-06	True	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"	1586	96	28	15719	0.2916666666666667	0.0176544766708701	query_1	['GO:0008150']	['GP1BB', 'ITGB1', 'APOC3', 'SRC', 'SPP1', 'ITGB3', 'GP1BA', 'GP9', 'TJP1', 'GJA1', 'FLNA', 'TFRC', 'APOE', 'HFE', 'NELL2', 'BDKRB1', 'APOA1', 'F2', 'TF', 'TFR2', 'APOA2', 'FITM2', 'GP5', 'APOC2', 'ITGB6', 'ALB', 'PRCP', 'HPX']
141	GO:BP	GO:0150115	cell-substrate junction organization	3.397171005318917e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-substrate junction. A cell-substrate junction is a specialized region of connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	100	96	8	15719	0.0833333333333333	0.08	query_1	['GO:0034330']	['RHOD', 'FN1', 'SRC', 'ITGB3', 'ITGA5', 'WHAMM', 'TLN1', 'PTK2']
49	REAC	REAC:R-HSA-8963899	Plasma lipoprotein remodeling	3.510701144314641e-06	True	Plasma lipoprotein remodeling	32	95	6	10022	0.0631578947368421	0.1875	query_1	['REAC:R-HSA-174824']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2', 'ALB']
49	GO:CC	GO:0034364	high-density lipoprotein particle	3.5130986063787517e-06	True	"""A lipoprotein particle with a high density (typically 1.063-1.21 g/ml) and a diameter of 5-10 nm that contains APOAs and may contain APOCs and APOE; found in blood and carries lipids from body tissues to the liver as part of the reverse cholesterol transport process."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:pde, GOC:rl]"	28	97	5	16420	0.0515463917525773	0.1785714285714285	query_1	['GO:0034358']	['APOC3', 'APOE', 'APOA1', 'APOA2', 'APOC2']
143	GO:BP	GO:0002254	kinin cascade	4.376978978971002e-06	True	"""A series of reactions that takes place outside the cell that occur as a result of by-products of tissue damage, including collagen, cartilage, and basement membrane. The ultimate product of the kinin cascade include kallidin and bradykinin, agents known to induce smooth muscle contraction, vasoconstriction, and increased vascular permeability."" [GOC:jal, ISBN:0721601871, PMID:11842287, PMID:14501145]"	3	96	3	15719	0.03125	1.0	query_1	['GO:0002526', 'GO:0072376']	['F12', 'KLKB1', 'PRCP']
142	GO:BP	GO:0002353	plasma kallikrein-kinin cascade	4.376978978971002e-06	True	"""A series of reactions that takes place outside the cell occurring in response to tissue damage and initiated within blood plasma by the action of activated Factor XII (Hageman Factor) on prekallikrein to convert it to plasma kallikrein, and the subsequent reaction of plasma kallikrein with high molecular weight kininogen. The ultimate product of the plasma kallikrein-kinin cascade is bradykinin, an agent known to induce smooth muscle contraction, vasoconstriction, and increased vascular permeability."" [GOC:add, ISBN:0721601871, PMID:11842287, PMID:14501145]"	3	96	3	15719	0.03125	1.0	query_1	['GO:0002254']	['F12', 'KLKB1', 'PRCP']
144	GO:BP	GO:0035855	megakaryocyte development	4.644793929182027e-06	True	"""The process whose specific outcome is the progression of a megakaryocyte cell over time, from its formation to the mature structure. Megakaryocyte development does not include the steps involved in committing a cell to a megakaryocyte fate. A megakaryocyte is a giant cell 50 to 100 micron in diameter, with a greatly lobulated nucleus, found in the bone marrow."" [CL:0000556, GOC:BHF, GOC:vk]"	23	96	5	15719	0.0520833333333333	0.217391304347826	query_1	['GO:0030219', 'GO:0061515', 'GO:0098751']	['GP1BB', 'GP1BA', 'GP9', 'FLNA', 'GP5']
50	GO:CC	GO:0034363	intermediate-density lipoprotein particle	4.791656056077666e-06	True	"""A triglyceride-rich lipoprotein particle that typically contains APOB100, APOE and APOCs and has a density of 1.006-1.019 g/ml and a diameter of between 25-30 nm. IDL particles are found in blood and are formed by the delipidation of very-low-density lipoprotein particles (VLDL). IDL particles are removed from blood by the liver, following binding to the APOE receptor, or are converted to low-density lipoprotein (LDL)."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:rl]"	4	97	3	16420	0.0309278350515463	0.75	query_1	['GO:0034385']	['APOC3', 'APOE', 'APOC2']
145	GO:BP	GO:2000425	regulation of apoptotic cell clearance	5.215742463089876e-06	True	"""Any process that modulates the frequency, rate or extent of apoptotic cell clearance."" [GOC:obol]"	10	96	4	15719	0.0416666666666666	0.4	query_1	['GO:0043277', 'GO:0050764']	['C3', 'C4A', 'C4B_2', 'C2']
