Classical Ehlers-Danlos syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
135	GO:BP	GO:0045123	cellular extravasation	8.076258935708592e-10	True	"""The migration of a leukocyte from the blood vessels into the surrounding tissue."" [GOC:jl]"	73	101	10	15719	0.099009900990099	0.136986301369863	query_1	['GO:0050900']	['ITGB1', 'CRK', 'ITGA1', 'ITGA4', 'MADCAM1', 'JAM3', 'CRKL', 'VCAM1', 'ITGB7', 'JAM2']
136	GO:BP	GO:0009966	regulation of signal transduction	9.100932059016168e-10	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	2829	101	47	15719	0.4653465346534653	0.0166136443973135	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['PTP4A3', 'P4HB', 'MET', 'RAPGEF1', 'PTPN2', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'COL2A1', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'CAMKMT', 'FYN', 'LYN', 'GRB2', 'PDGFRB', 'EGFR', 'VAV1', 'AGPAT1', 'ERBB2', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'DIPK2A', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1']
137	GO:BP	GO:0150115	cell-substrate junction organization	9.170619270061947e-10	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-substrate junction. A cell-substrate junction is a specialized region of connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]"	100	101	11	15719	0.1089108910891089	0.11	query_1	['GO:0034330']	['FN1', 'SRC', 'ITGB3', 'PIK3R1', 'ITGA5', 'VEGFA', 'TLN1', 'PTK2', 'NRP1', 'THBS1', 'ITGA2']
138	GO:BP	GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	1.2671463337869002e-09	True	"""The series of molecular signals initiated by collagen binding to its receptor on the surface of a target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:uh, PMID:15888913, PMID:16626936]"	12	101	6	15719	0.0594059405940594	0.5	query_1	['GO:0007169', 'GO:0038065']	['COL4A3', 'COL4A2', 'COL1A1', 'COL4A5', 'COL4A1', 'COL4A6']
139	GO:BP	GO:0010631	epithelial cell migration	1.3267420090424476e-09	True	"""The orderly movement of an epithelial cell from one site to another, often during the development of a multicellular organism."" [GOC:ascb_2009, GOC:BHF, GOC:dph, GOC:tb]"	294	101	16	15719	0.1584158415841584	0.0544217687074829	query_1	['GO:0001667', 'GO:0090132']	['PTP4A3', 'MET', 'ITGB1', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'NRP2', 'PLCG1', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'PTPN11', 'ITGA2']
140	GO:BP	GO:0001936	regulation of endothelial cell proliferation	1.406727393796306e-09	True	"""Any process that modulates the frequency, rate, or extent of endothelial cell proliferation."" [GOC:add]"	135	101	12	15719	0.1188118811881188	0.0888888888888888	query_1	['GO:0001935', 'GO:0050678']	['COL4A3', 'VEGFB', 'PDGFB', 'ITGB3', 'ITGA4', 'NRP2', 'PLCG1', 'VEGFA', 'NRP1', 'THBS1', 'FLT1', 'PGF']
141	GO:BP	GO:0090132	epithelium migration	1.447072770204057e-09	True	"""The process in which the population of cells that make up an epithelium undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	296	101	16	15719	0.1584158415841584	0.054054054054054	query_1	['GO:0090130']	['PTP4A3', 'MET', 'ITGB1', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'NRP2', 'PLCG1', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'PTPN11', 'ITGA2']
32	GO:CC	GO:0016020	membrane	1.5148622705720554e-09	True	"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]"	8365	102	83	16420	0.8137254901960784	0.0099222952779438	query_1	['GO:0110165']	['PTP4A3', 'P4HB', 'MET', 'RAPGEF1', 'ERO1B', 'PTPN2', 'MSR1', 'ITGB1', 'ITGA9', 'COL4A3', 'ITGB5', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'ITGA11', 'ITGB3', 'TGFB3', 'PIK3R1', 'GPX8', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA1', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'COL4A2', 'GRB2', 'PDGFRB', 'TNC', 'NRP2', 'LCP2', 'COL4A4', 'JAM3', 'EGFR', 'P4HA1', 'ITGAE', 'VAV1', 'AGPAT1', 'PLCG1', 'ERBB2', 'NUTF2', 'SH3KBP1', 'CDH1', 'VEGFA', 'SH3GL2', 'ADAM12', 'CRKL', 'ERO1A', 'VTN', 'DIPK2A', 'TLN1', 'VCAM1', 'L1CAM', 'ITGB6', 'PTK2', 'NRP1', 'COL4A5', 'COL4A1', 'LCK', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'JAM2', 'CBL', 'PDGFRA', 'CALU', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1', 'COL4A6']
142	GO:BP	GO:0032101	regulation of response to external stimulus	1.545391818187177e-09	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	984	101	27	15719	0.2673267326732673	0.0274390243902439	query_1	['GO:0009605', 'GO:0048583']	['MET', 'PTPN2', 'VEGFB', 'PDGFB', 'SRC', 'SPP1', 'COCH', 'CRK', 'HGF', 'CAMKMT', 'FYN', 'LYN', 'PDGFRB', 'TNC', 'JAM3', 'VAV1', 'PLCG1', 'VEGFA', 'VTN', 'PTK2', 'NRP1', 'THBS1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'ITGA2', 'PGF']
143	GO:BP	GO:0014911	positive regulation of smooth muscle cell migration	1.6366193296767304e-09	True	"""Any process that activates, maintains or increases the frequency, rate or extent of smooth muscle cell migration."" [CL:0000192, GOC:mtg_muscle]"	37	101	8	15719	0.0792079207920792	0.2162162162162162	query_1	['GO:0014909', 'GO:0014910', 'GO:0030335']	['PDGFB', 'SRC', 'ITGB3', 'CRK', 'PDGFRB', 'VTN', 'NRP1', 'ITGA2']
144	GO:BP	GO:0071229	cellular response to acid chemical	1.701608230916686e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of the dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."" [GOC:go_curators, GOC:mah, Wikipedia:Acid]"	79	101	10	15719	0.099009900990099	0.1265822784810126	query_1	['GO:0001101', 'GO:0070887']	['COL5A2', 'COL3A1', 'FYN', 'COL1A2', 'EGFR', 'VEGFA', 'COL1A1', 'COL4A1', 'PDGFRA', 'COL4A6']
145	GO:BP	GO:0090130	tissue migration	1.8056462676419463e-09	True	"""The process in which the population of cells that make up a tissue undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	301	101	16	15719	0.1584158415841584	0.0531561461794019	query_1	['GO:0032501']	['PTP4A3', 'MET', 'ITGB1', 'PDGFB', 'BCAR1', 'SRC', 'ITGB3', 'NRP2', 'PLCG1', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'ITGA3', 'PTPN11', 'ITGA2']
49	REAC	REAC:R-HSA-1566948	Elastic fibre formation	1.8752673379022816e-09	True	Elastic fibre formation	43	95	9	10022	0.0947368421052631	0.2093023255813953	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'TGFB3', 'ITGA5', 'VTN', 'ITGB6']
146	GO:BP	GO:0038093	Fc receptor signaling pathway	1.99954538548849e-09	True	"""The series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, Wikipedia:Fc_receptor]"	57	101	9	15719	0.0891089108910891	0.1578947368421052	query_1	['GO:0002768']	['RAPGEF1', 'SRC', 'SOS1', 'FYN', 'LYN', 'VAV1', 'PLCG1', 'PTK2', 'LCK']
149	GO:BP	GO:0043085	positive regulation of catalytic activity	2.147502495935671e-09	True	"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	1078	101	28	15719	0.2772277227722772	0.0259740259740259	query_1	['GO:0044093', 'GO:0050790']	['MET', 'RAPGEF1', 'ITGB1', 'COL4A3', 'PLXNB1', 'PDGFB', 'SRC', 'ITGB3', 'CRK', 'SOS1', 'ITGA1', 'FYN', 'LYN', 'PDGFRB', 'LCP2', 'EGFR', 'VAV1', 'ERBB2', 'VEGFA', 'CRKL', 'DIPK2A', 'PTK2', 'LCK', 'THBS1', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2']
148	GO:BP	GO:0050790	regulation of catalytic activity	2.147502495935671e-09	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1770	101	36	15719	0.3564356435643564	0.0203389830508474	query_1	['GO:0065009']	['MET', 'RAPGEF1', 'NES', 'PTPN2', 'ITGB1', 'COL4A3', 'PLXNB1', 'PDGFB', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA1', 'FYN', 'LYN', 'PDGFRB', 'LCP2', 'EGFR', 'VAV1', 'ERBB2', 'VEGFA', 'CRKL', 'VTN', 'DIPK2A', 'PTK2', 'LCK', 'THBS1', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PLXNA1']
147	GO:BP	GO:0007492	endoderm development	2.147502495935671e-09	True	"""The process whose specific outcome is the progression of the endoderm over time, from its formation to the mature structure. The endoderm is the innermost germ layer that develops into the gastrointestinal tract, the lungs and associated tissues."" [GOC:dph, GOC:tb]"	81	101	10	15719	0.099009900990099	0.1234567901234567	query_1	['GO:0009888']	['ITGB5', 'FN1', 'ITGAV', 'COL5A2', 'ITGA5', 'ITGA4', 'COL4A2', 'GRB2', 'COL5A1', 'VTN']
50	REAC	REAC:R-HSA-5673001	RAF/MAP kinase cascade	2.159997198946233e-09	True	RAF/MAP kinase cascade	256	95	17	10022	0.1789473684210526	0.06640625	query_1	['REAC:R-HSA-5684996']	['MET', 'FN1', 'PDGFB', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'PDGFRB', 'EGFR', 'ERBB2', 'TLN1', 'PTK2', 'PDGFRA']
150	GO:BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	2.229064145741375e-09	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]"	177	101	13	15719	0.1287128712871287	0.0734463276836158	query_1	['GO:0001934', 'GO:0018108', 'GO:0050730']	['VEGFB', 'PDGFB', 'SRC', 'ITGB3', 'HGF', 'ITGA5', 'FYN', 'LYN', 'VEGFA', 'VTN', 'NRP1', 'PTPN11', 'SEMA4D']
151	GO:BP	GO:0031175	neuron projection development	2.2692734935614166e-09	True	"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]"	928	101	26	15719	0.2574257425742574	0.0280172413793103	query_1	['GO:0048666', 'GO:0120036']	['RAPGEF1', 'ITGB1', 'PLXNB1', 'FN1', 'SPP1', 'CRK', 'HGF', 'SOS1', 'ITGA1', 'FYN', 'ITGA4', 'LYN', 'TNC', 'NRP2', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'CRKL', 'L1CAM', 'PTK2', 'NRP1', 'ITGA3', 'PTPN11', 'SEMA4D', 'PLXNA1']
152	GO:BP	GO:1901698	response to nitrogen compound	2.2870702311724343e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	1082	101	28	15719	0.2772277227722772	0.0258780036968576	query_1	['GO:0042221']	['RAPGEF1', 'PTPN2', 'ITGB1', 'COL5A2', 'BCAR1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'COL3A1', 'FYN', 'ITGA4', 'LYN', 'GRB2', 'COL1A2', 'EGFR', 'CDH1', 'COL1A1', 'CRKL', 'VCAM1', 'PTK2', 'COL4A1', 'PTPN11', 'PDGFRA', 'ITGA2', 'COL4A6']
153	GO:BP	GO:0044000	movement in host	2.6976445441458563e-09	True	"""The process in which an organism or its progeny spreads from one location to another within its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:cc]"	180	101	13	15719	0.1287128712871287	0.0722222222222222	query_1	['GO:0051701']	['P4HB', 'ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'CBL', 'ITGA2']
154	GO:BP	GO:0042127	regulation of cell population proliferation	2.831931838019655e-09	True	"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]"	1604	101	34	15719	0.3366336633663366	0.0211970074812967	query_1	['GO:0008283', 'GO:0050794']	['RAPGEF1', 'NES', 'PTPN2', 'ITGB1', 'COL4A3', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'SRC', 'ITGB3', 'TGFB3', 'SHC1', 'SOS1', 'ITGA1', 'ITGA4', 'LYN', 'PDGFRB', 'TNC', 'NRP2', 'EGFR', 'PLCG1', 'ERBB2', 'VEGFA', 'CRKL', 'VCAM1', 'PTK2', 'NRP1', 'THBS1', 'PDGFRA', 'FLT1', 'ITGA2', 'PGF']
155	GO:BP	GO:0048522	positive regulation of cellular process	2.9812222685493504e-09	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5226	101	65	15719	0.6435643564356436	0.0124378109452736	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']	['PTP4A3', 'P4HB', 'MET', 'RAPGEF1', 'NES', 'PTPN2', 'MSR1', 'ITGB1', 'VEGFB', 'PLXNB1', 'FN1', 'ITGAV', 'PDGFB', 'BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'ITGA1', 'COL3A1', 'ITGA5', 'FYN', 'ITGA4', 'ADAM19', 'MADCAM1', 'LYN', 'GRB2', 'PDGFRB', 'TNC', 'NRP2', 'LCP2', 'JAM3', 'EGFR', 'VAV1', 'AGPAT1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'CDH1', 'VEGFA', 'COL1A1', 'CRKL', 'VTN', 'DIPK2A', 'VCAM1', 'L1CAM', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'ITGA3', 'PTPN11', 'JAM2', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2', 'PGF', 'PLXNA1']
51	REAC	REAC:R-HSA-5683057	MAPK family signaling cascades	3.080146907914465e-09	True	MAPK family signaling cascades	300	95	18	10022	0.1894736842105263	0.06	query_1	['REAC:R-HSA-162582']	['MET', 'FN1', 'PDGFB', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'ITGA2B', 'FYN', 'PDGFRB', 'EGFR', 'ERBB2', 'TLN1', 'PTK2', 'PTPN11', 'PDGFRA']
156	GO:BP	GO:0016310	phosphorylation	3.1938664386612203e-09	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1704	101	35	15719	0.3465346534653465	0.0205399061032863	query_1	['GO:0006796']	['MET', 'PTPN2', 'VEGFB', 'FN1', 'PDGFB', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'ITGA5', 'FYN', 'LYN', 'PDGFRB', 'LCP2', 'EGFR', 'ERBB2', 'SH3KBP1', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'DIPK2A', 'PTK2', 'NRP1', 'LCK', 'THBS1', 'PTPN11', 'CBL', 'PDGFRA', 'SEMA4D', 'FLT1', 'PGF']
157	GO:BP	GO:0002687	positive regulation of leukocyte migration	3.4157878051799712e-09	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte migration."" [GOC:add]"	147	101	12	15719	0.1188118811881188	0.0816326530612244	query_1	['GO:0002684', 'GO:0002685', 'GO:0030335', 'GO:0050900']	['VEGFB', 'ITGB3', 'PIK3R1', 'ITGA4', 'MADCAM1', 'JAM3', 'VEGFA', 'PTK2', 'THBS1', 'JAM2', 'ITGA2', 'PGF']
52	REAC	REAC:R-HSA-373755	Semaphorin interactions	3.4961265424934126e-09	True	Semaphorin interactions	64	95	10	10022	0.1052631578947368	0.15625	query_1	['REAC:R-HSA-422475']	['MET', 'ITGB1', 'PLXNB1', 'ITGA1', 'FYN', 'ERBB2', 'TLN1', 'NRP1', 'SEMA4D', 'PLXNA1']
159	GO:BP	GO:0001935	endothelial cell proliferation	4.615813851153745e-09	True	"""The multiplication or reproduction of endothelial cells, resulting in the expansion of a cell population. Endothelial cells are thin flattened cells which line the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium."" [GOC:add, ISBN:0781735149]"	151	101	12	15719	0.1188118811881188	0.0794701986754966	query_1	['GO:0050673']	['COL4A3', 'VEGFB', 'PDGFB', 'ITGB3', 'ITGA4', 'NRP2', 'PLCG1', 'VEGFA', 'NRP1', 'THBS1', 'FLT1', 'PGF']
158	GO:BP	GO:0016049	cell growth	4.615813851153745e-09	True	"""The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."" [GOC:ai]"	486	101	19	15719	0.1881188118811881	0.0390946502057613	query_1	['GO:0009987', 'GO:0040007']	['ITGB1', 'FN1', 'BCAR1', 'SPP1', 'CRK', 'ITGA4', 'TNC', 'NRP2', 'EGFR', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'CRKL', 'L1CAM', 'NRP1', 'ADAM15', 'SEMA4D', 'PLXNA1']
160	GO:BP	GO:0051345	positive regulation of hydrolase activity	4.847221050531392e-09	True	"""Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds."" [GOC:ai]"	548	101	20	15719	0.198019801980198	0.0364963503649635	query_1	['GO:0043085', 'GO:0051336']	['RAPGEF1', 'ITGB1', 'COL4A3', 'PLXNB1', 'CRK', 'SOS1', 'ITGA1', 'FYN', 'LYN', 'PDGFRB', 'EGFR', 'VAV1', 'ERBB2', 'VEGFA', 'CRKL', 'LCK', 'PDGFRA', 'SEMA4D', 'FLT1', 'ITGA2']
161	GO:BP	GO:0007162	negative regulation of cell adhesion	5.1657027129526244e-09	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]"	277	101	15	15719	0.1485148514851485	0.0541516245487364	query_1	['GO:0007155', 'GO:0030155', 'GO:0048523']	['PTPN2', 'PLXNB1', 'SRC', 'PIK3R1', 'JAM3', 'ERBB2', 'CDH1', 'VEGFA', 'COL1A1', 'PTK2', 'THBS1', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
53	REAC	REAC:R-HSA-9027284	Erythropoietin activates RAS	5.2160164293062006e-09	True	Erythropoietin activates RAS	12	95	6	10022	0.0631578947368421	0.5	query_1	['REAC:R-HSA-9006335']	['RAPGEF1', 'SHC1', 'SOS1', 'LYN', 'VAV1', 'CRKL']
162	GO:BP	GO:0010811	positive regulation of cell-substrate adhesion	5.725556993912449e-09	True	"""Any process that increases the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:dph, GOC:pf, GOC:tb]"	120	101	11	15719	0.1089108910891089	0.0916666666666666	query_1	['GO:0010810', 'GO:0031589', 'GO:0045785']	['P4HB', 'FN1', 'PDGFB', 'ITGB3', 'CRK', 'ITGA5', 'VEGFA', 'CRKL', 'VTN', 'NRP1', 'ITGA3']
163	GO:BP	GO:0032989	cellular component morphogenesis	5.735884318283005e-09	True	"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	752	101	23	15719	0.2277227722772277	0.0305851063829787	query_1	['GO:0009653', 'GO:0016043', 'GO:0048869']	['NES', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'SOS1', 'ITGA1', 'FYN', 'ITGA4', 'PDGFRB', 'NRP2', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'PDGFRA', 'SEMA4D', 'PLXNA1']
164	GO:BP	GO:0040007	growth	5.934776022484843e-09	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]"	898	101	25	15719	0.2475247524752475	0.0278396436525612	query_1	['GO:0008150']	['ITGB1', 'FN1', 'BCAR1', 'SRC', 'SPP1', 'CRK', 'SOS1', 'COL3A1', 'ITGA4', 'PDGFRB', 'TNC', 'NRP2', 'EGFR', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'CRKL', 'DIPK2A', 'L1CAM', 'NRP1', 'ADAM15', 'PTPN11', 'SEMA4D', 'PLXNA1']
165	GO:BP	GO:0014910	regulation of smooth muscle cell migration	6.9466912068746634e-09	True	"""Any process that modulates the frequency, rate or extent of smooth muscle cell migration."" [CL:0000192, GOC:mtg_muscle]"	66	101	9	15719	0.0891089108910891	0.1363636363636363	query_1	['GO:0014909', 'GO:0030334']	['PDGFB', 'SRC', 'ITGB3', 'CRK', 'PDGFRB', 'VTN', 'NRP1', 'ITGA2', 'PLXNA1']
166	GO:BP	GO:0043551	regulation of phosphatidylinositol 3-kinase activity	7.553483642929708e-09	True	"""Any process that modulates the frequency, rate or extent of phosphatidylinositol 3-kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to an inositol lipid at the 3' position of the inositol ring."" [GOC:bf]"	45	101	8	15719	0.0792079207920792	0.1777777777777777	query_1	['GO:0043550']	['PDGFB', 'SRC', 'PIK3R1', 'LYN', 'PDGFRB', 'PTK2', 'PDGFRA', 'FLT1']
167	GO:BP	GO:0007044	cell-substrate junction assembly	7.648848717024782e-09	True	"""The aggregation, arrangement and bonding together of a set of components to form a junction between a cell and its substrate."" [GOC:mah]"	93	101	10	15719	0.099009900990099	0.1075268817204301	query_1	['GO:0034329', 'GO:0150115']	['FN1', 'SRC', 'ITGB3', 'ITGA5', 'VEGFA', 'TLN1', 'PTK2', 'NRP1', 'THBS1', 'ITGA2']
168	GO:BP	GO:1904018	positive regulation of vasculature development	7.920002492695064e-09	True	"""Any process that activates or increases the frequency, rate or extent of vasculature development."" [GO_REF:0000058, GOC:TermGenie, PMID:21472453]"	159	101	12	15719	0.1188118811881188	0.0754716981132075	query_1	['GO:0001944', 'GO:0051094', 'GO:0051240', 'GO:1901342']	['ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'ITGA5', 'PLCG1', 'VEGFA', 'ADAM12', 'NRP1', 'THBS1', 'FLT1', 'PGF']
169	GO:BP	GO:0045766	positive regulation of angiogenesis	7.920002492695064e-09	True	"""Any process that activates or increases angiogenesis."" [GOC:go_curators]"	159	101	12	15719	0.1188118811881188	0.0754716981132075	query_1	['GO:0001525', 'GO:0045765', 'GO:1904018']	['ITGB1', 'VEGFB', 'ITGB3', 'HGF', 'ITGA5', 'PLCG1', 'VEGFA', 'ADAM12', 'NRP1', 'THBS1', 'FLT1', 'PGF']
171	GO:BP	GO:0048858	cell projection morphogenesis	8.144949962544082e-09	True	"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]"	631	101	21	15719	0.2079207920792079	0.0332805071315372	query_1	['GO:0000902', 'GO:0030030', 'GO:0032990']	['NES', 'ITGB1', 'PLXNB1', 'FN1', 'SRC', 'SPP1', 'SOS1', 'ITGA1', 'FYN', 'ITGA4', 'NRP2', 'ERBB2', 'CDH1', 'VEGFA', 'SH3GL2', 'L1CAM', 'PTK2', 'NRP1', 'PTPN11', 'SEMA4D', 'PLXNA1']
170	GO:BP	GO:0034329	cell junction assembly	8.144949962544082e-09	True	"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]"	390	101	17	15719	0.1683168316831683	0.0435897435897435	query_1	['GO:0022607', 'GO:0034330']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'ITGB3', 'CRK', 'ITGA5', 'JAM3', 'CDH1', 'VEGFA', 'CRKL', 'TLN1', 'PTK2', 'NRP1', 'THBS1', 'SEMA4D', 'ITGA2']
172	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	8.469543297600651e-09	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	242	101	14	15719	0.1386138613861386	0.0578512396694214	query_1	['GO:0071363', 'GO:0071559']	['ITGB5', 'SRC', 'TGFB3', 'CRK', 'COL3A1', 'FYN', 'COL4A2', 'COL1A2', 'COL1A1', 'CRKL', 'ITGB6', 'PTK2', 'THBS1', 'ITGA3']
173	GO:BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	8.849893151343361e-09	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:mah]"	200	101	13	15719	0.1287128712871287	0.065	query_1	['GO:0043410', 'GO:0070371', 'GO:0070372']	['RAPGEF1', 'VEGFB', 'PDGFB', 'SRC', 'ITGB3', 'SHC1', 'PDGFRB', 'EGFR', 'VEGFA', 'CRKL', 'NRP1', 'PTPN11', 'PDGFRA']
174	GO:BP	GO:0031346	positive regulation of cell projection organization	9.067426973042127e-09	True	"""Any process that activates or increases the frequency, rate or extent of the process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."" [GOC:mah]"	340	101	16	15719	0.1584158415841584	0.0470588235294117	query_1	['GO:0030030', 'GO:0031344', 'GO:0051130']	['RAPGEF1', 'PLXNB1', 'FN1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'FYN', 'LYN', 'VEGFA', 'L1CAM', 'NRP1', 'ITGA3', 'SEMA4D', 'ITGA2', 'PLXNA1']
54	REAC	REAC:R-HSA-5637812	Signaling by EGFRvIII in Cancer	9.269814591551551e-09	True	Signaling by EGFRvIII in Cancer	13	95	6	10022	0.0631578947368421	0.4615384615384615	query_1	['REAC:R-HSA-1643713']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'CBL']
55	REAC	REAC:R-HSA-5637810	Constitutive Signaling by EGFRvIII	9.269814591551551e-09	True	Constitutive Signaling by EGFRvIII	13	95	6	10022	0.0631578947368421	0.4615384615384615	query_1	['REAC:R-HSA-5637812']	['PIK3R1', 'SHC1', 'SOS1', 'EGFR', 'PLCG1', 'CBL']
