Neuroectodermal melanolysosomal disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
22	REAC	REAC:R-HSA-8953897	Cellular responses to stimuli	4.351569492084986e-19	True	Cellular responses to stimuli	784	98	41	10022	0.4183673469387755	0.0522959183673469	query_1	['REAC:0000000']	['CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'EHMT2', 'STAT3', 'CCNA1', 'CCNE2', 'TFDP1', 'RING1', 'RB1', 'PHC1', 'RBBP4', 'CCNE1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'CDKN1A', 'CCNA2', 'E2F2', 'SKP1', 'EP300', 'E2F1', 'EHMT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'SP1', 'KAT5', 'SKP2', 'NQO1', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'PHC3']
46	GO:BP	GO:0009892	negative regulation of metabolic process	8.02517714402443e-19	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	2846	100	60	15719	0.6	0.0210822206605762	query_1	['GO:0008152', 'GO:0019222', 'GO:0048519']	['SMAD1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'STAT3', 'MAX', 'RBL1', 'RBL2', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'AZIN1', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
47	GO:BP	GO:1902806	regulation of cell cycle G1/S phase transition	1.093198555078357e-18	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]"	190	100	21	15719	0.21	0.1105263157894736	query_1	['GO:0044843', 'GO:1901987']	['CDKN2B', 'AKT1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDKN1B', 'TP53', 'CCND1']
48	GO:BP	GO:0000122	negative regulation of transcription by RNA polymerase II	1.093198555078357e-18	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	927	100	37	15719	0.37	0.0399137001078748	query_1	['GO:0006357', 'GO:0006366', 'GO:0045892']	['BMI1', 'MYC', 'CREBBP', 'EHMT2', 'CBX3', 'STAT3', 'MAX', 'RBL1', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'PCGF6', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'CDK2', 'PCGF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'RNF2', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
49	GO:BP	GO:0090304	nucleic acid metabolic process	1.5139450056392693e-18	True	"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]"	4735	100	75	15719	0.75	0.0158394931362196	query_1	['GO:0006139', 'GO:0043170']	['SMAD1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
24	REAC	REAC:R-HSA-69205	G1/S-Specific Transcription	1.5816499825671585e-18	True	G1/S-Specific Transcription	27	98	13	10022	0.1326530612244898	0.4814814814814814	query_1	['REAC:R-HSA-69206']	['E2F4', 'CCNA1', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'CCNE1', 'E2F5', 'E2F6', 'E2F1', 'CDK1', 'TFDP2']
23	REAC	REAC:R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	1.5816499825671585e-18	True	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	15	98	11	10022	0.1122448979591836	0.7333333333333333	query_1	['REAC:R-HSA-1538133']	['E2F4', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'E2F5', 'CCNA2', 'E2F1', 'CDK1', 'TFDP2']
50	GO:BP	GO:1901990	regulation of mitotic cell cycle phase transition	1.924437971010862e-18	True	"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	331	100	25	15719	0.25	0.0755287009063444	query_1	['GO:0007346', 'GO:0044772', 'GO:1901987']	['CDKN2B', 'AKT1', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
51	GO:BP	GO:0009059	macromolecule biosynthetic process	3.1203874870676257e-18	True	"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]"	4375	100	72	15719	0.72	0.0164571428571428	query_1	['GO:0043170', 'GO:1901576']	['SMAD1', 'OAZ1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
52	GO:BP	GO:0034641	cellular nitrogen compound metabolic process	6.882816162761025e-18	True	"""The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."" [GOC:mah]"	5768	100	81	15719	0.81	0.0140429958391123	query_1	['GO:0006807', 'GO:0044237']	['SMAD1', 'OAZ1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
53	GO:BP	GO:0044249	cellular biosynthetic process	9.707704992283565e-18	True	"""The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:jl]"	5024	100	76	15719	0.76	0.0151273885350318	query_1	['GO:0009058', 'GO:0044237']	['SMAD1', 'OAZ1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
54	GO:BP	GO:0007346	regulation of mitotic cell cycle	1.152209663481264e-17	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	489	100	28	15719	0.28	0.0572597137014314	query_1	['GO:0000278', 'GO:0051726']	['PKMYT1', 'CDKN2B', 'AKT1', 'CKS1B', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'CTNNB1', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
16	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	1.268723595754227e-17	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	101	23	16420	0.2277227722772277	0.0754098360655737	query_1	['GO:1990234']	['CKS1B', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'TRRAP', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1']
25	REAC	REAC:R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	3.414026757528789e-17	True	Transcription of E2F targets under negative control by DREAM complex	18	98	11	10022	0.1122448979591836	0.6111111111111112	query_1	['REAC:R-HSA-1538133']	['MYC', 'E2F4', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'E2F5', 'E2F1', 'TFDP2']
26	REAC	REAC:R-HSA-2559585	Oncogene Induced Senescence	3.9904837498295385e-17	True	Oncogene Induced Senescence	33	98	13	10022	0.1326530612244898	0.3939393939393939	query_1	['REAC:R-HSA-2559583']	['CDKN2B', 'TFDP1', 'RB1', 'CDKN2D', 'E2F2', 'E2F1', 'CDKN2C', 'CDKN2A', 'SP1', 'CDK4', 'TP53', 'TFDP2', 'CDK6']
17	GO:CC	GO:0090575	RNA polymerase II transcription regulator complex	4.4485036810269676e-17	True	"""A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II."" [GOC:tb]"	248	101	21	16420	0.2079207920792079	0.0846774193548387	query_1	['GO:0005667', 'GO:0140513']	['SMAD1', 'MYC', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'E2F5', 'E2F2', 'CCNH', 'SMAD2', 'SMAD4', 'E2F6', 'E2F1', 'MNAT1', 'TFDP2', 'SMAD3']
55	GO:BP	GO:0010468	regulation of gene expression	9.651218509552015e-17	True	"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]"	4494	100	71	15719	0.71	0.0157988429016466	query_1	['GO:0010467', 'GO:0060255']	['SMAD1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
56	GO:BP	GO:0006139	nucleobase-containing compound metabolic process	1.0481534769821627e-16	True	"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]"	5215	100	76	15719	0.76	0.0145733461169702	query_1	['GO:0006725', 'GO:0034641', 'GO:0044238', 'GO:0046483', 'GO:1901360']	['SMAD1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
27	REAC	REAC:R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	1.5149024450846583e-16	True	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	36	98	13	10022	0.1326530612244898	0.3611111111111111	query_1	['REAC:R-HSA-2173793']	['CDKN2B', 'MYC', 'E2F4', 'RBL1', 'TFDP1', 'HDAC1', 'E2F5', 'SMAD2', 'SMAD4', 'EP300', 'SP1', 'TFDP2', 'SMAD3']
57	GO:BP	GO:0009058	biosynthetic process	2.1661807862049856e-16	True	"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]"	5427	100	77	15719	0.77	0.0141883176709047	query_1	['GO:0008152']	['SMAD1', 'OAZ1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'RAB27A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
58	GO:BP	GO:0016070	RNA metabolic process	4.628567879293022e-16	True	"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]"	4214	100	68	15719	0.68	0.0161366872330327	query_1	['GO:0090304']	['SMAD1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'PSMC5', 'PCGF6', 'CDK5R1', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
59	GO:BP	GO:0051246	regulation of protein metabolic process	5.381327188511866e-16	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2396	100	52	15719	0.52	0.021702838063439	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'SERTAD1', 'CDK5', 'EHMT2', 'OAZ2', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'CTNNB1', 'RB1', 'HDAC1', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PSMC5', 'CDK5R1', 'CDKN1A', 'CCNA2', 'AZIN1', 'CCNH', 'SKP1', 'RYBP', 'SMAD4', 'EP300', 'CCND2', 'EHMT1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'SP1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
60	GO:BP	GO:0043412	macromolecule modification	5.397036255762071e-16	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3600	100	63	15719	0.63	0.0175	query_1	['GO:0043170']	['SMAD1', 'PKMYT1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'SMAD4', 'USP37', 'EP300', 'CCND2', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'UBE2W', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
61	GO:BP	GO:0046483	heterocycle metabolic process	6.473377676489828e-16	True	"""The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198506732]"	5371	100	76	15719	0.76	0.0141500651647737	query_1	['GO:0044237']	['SMAD1', 'BMI1', 'AKT1', 'MYC', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
62	GO:BP	GO:0016570	histone modification	7.498088769699981e-16	True	"""The covalent alteration of one or more amino acid residues within a histone protein."" [GOC:krc]"	475	100	26	15719	0.26	0.0547368421052631	query_1	['GO:0036211']	['BMI1', 'CREBBP', 'CDK5', 'EHMT2', 'TRRAP', 'RING1', 'CTNNB1', 'HDAC1', 'PHC1', 'RBBP4', 'SIN3A', 'PCGF6', 'SMAD4', 'EP300', 'RUVBL1', 'EHMT1', 'CDK1', 'RCOR1', 'CDK2', 'PCGF2', 'KAT5', 'RNF2', 'TP53', 'HDAC2', 'KDM1A', 'EPC1']
63	GO:BP	GO:1901987	regulation of cell cycle phase transition	7.863717870622118e-16	True	"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	429	100	25	15719	0.25	0.0582750582750582	query_1	['GO:0010564', 'GO:0044770']	['CDKN2B', 'AKT1', 'CCNB1', 'CDK7', 'RBL1', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNH', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'CCND1']
64	GO:BP	GO:0036211	protein modification process	8.645060855674783e-16	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	100	61	15719	0.61	0.0179464548396587	query_1	['GO:0019538', 'GO:0043412']	['SMAD1', 'PKMYT1', 'CDKN2B', 'BMI1', 'AKT1', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'SMAD4', 'USP37', 'EP300', 'CCND2', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'UBE2W', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
65	GO:BP	GO:0006325	chromatin organization	9.923044454931465e-16	True	"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]"	638	100	29	15719	0.29	0.0454545454545454	query_1	['GO:0016043']	['BMI1', 'MYC', 'EHMT2', 'CBX3', 'RBL1', 'RBL2', 'TRRAP', 'RING1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'DNMT1', 'SIN3A', 'SKP1', 'RYBP', 'EP300', 'RUVBL1', 'EHMT1', 'RCOR1', 'CDK2', 'ESR1', 'KAT5', 'L3MBTL2', 'RNF2', 'TP53', 'HDAC2', 'KDM1A', 'EPC1']
