Williams syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
469	GO:BP	GO:0043550	regulation of lipid kinase activity	1.7626667363962896e-06	True	"""Any process that modulates the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:bf]"	59	120	7	17376	0.0583333333333333	0.1186440677966101	query_1	['GO:0043549']	['SRC', 'PIK3R1', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
470	GO:BP	GO:0022604	regulation of cell morphogenesis	1.7810282376402964e-06	True	"""Any process that modulates the frequency, rate or extent of cell morphogenesis. Cell morphogenesis is the developmental process in which the shape of a cell is generated and organized."" [GOC:isa_complete]"	250	120	12	17376	0.1	0.048	query_1	['GO:0000902', 'GO:0022603']	['PLXNB1', 'FN1', 'SRC', 'CRK', 'FYN', 'KDR', 'PTK2B', 'VEGFA', 'SH3KBP1', 'PTK2', 'SEMA4D', 'PLXNA1']
471	GO:BP	GO:0051701	biological process involved in interaction with host	1.8659530866620948e-06	True	"""An interaction between two organisms living together in more or less intimate association. The term host is used for the larger (macro) of the two members of a symbiosis; the various forms of symbiosis include parasitism, commensalism and mutualism."" [GOC:cc]"	204	120	11	17376	0.0916666666666666	0.0539215686274509	query_1	['GO:0044403']	['ITGB1', 'ITGB5', 'ITGAV', 'SRC', 'ITGB3', 'ITGA5', 'EGFR', 'ITGB6', 'NRP1', 'ITGB7', 'CBL']
472	GO:BP	GO:0048729	tissue morphogenesis	1.8723019152408849e-06	True	"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]"	604	120	18	17376	0.15	0.0298013245033112	query_1	['GO:0009653', 'GO:0009888']	['MET', 'ITGB1', 'SRC', 'ITGB3', 'HGF', 'RET', 'SOS1', 'ITGA5', 'GRB2', 'TNC', 'NRP2', 'EGFR', 'KDR', 'VCL', 'VEGFA', 'NRP1', 'ITGA3', 'PLXNA1']
473	GO:BP	GO:0043087	regulation of GTPase activity	1.8959802675320504e-06	True	"""Any process that modulates the rate of GTP hydrolysis by a GTPase."" [GOC:jl, GOC:mah]"	357	120	14	17376	0.1166666666666666	0.0392156862745098	query_1	['GO:0051336']	['MET', 'RAPGEF1', 'ITGB1', 'PLXNB1', 'CRK', 'SOS1', 'VAV1', 'ERBB2', 'PTK2B', 'AGRN', 'CRKL', 'PTK2', 'SEMA4D', 'PLXNA1']
474	REAC	REAC:R-HSA-5654696	Downstream signaling of activated FGFR2	1.9031955986481716e-06	True	Downstream signaling of activated FGFR2	22	120	5	17376	0.0416666666666666	0.2272727272727272	query_1	['REAC:R-HSA-5654738']	['PIK3R1', 'SOS1', 'GAB1', 'PLCG1', 'PTPN11']
475	GO:BP	GO:0002252	immune effector process	1.907183819392677e-06	True	"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	605	120	18	17376	0.15	0.0297520661157024	query_1	['GO:0002376']	['LIMK1', 'RAPGEF1', 'SRC', 'TGFB3', 'CRK', 'PLCG2', 'FYN', 'NCF1', 'LAT', 'LYN', 'VAV1', 'SYK', 'FCGR1A', 'PTK2B', 'GAB2', 'PTK2', 'CBL', 'MFAP4']
476	GO:BP	GO:0030307	positive regulation of cell growth	1.9657318284485454e-06	True	"""Any process that activates or increases the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"	162	120	10	17376	0.0833333333333333	0.0617283950617283	query_1	['GO:0001558', 'GO:0016049', 'GO:0045927', 'GO:0048522']	['LIMK1', 'FN1', 'CRK', 'EGFR', 'ERBB2', 'PTK2B', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D']
477	GO:BP	GO:0031323	regulation of cellular metabolic process	2.0085003154913828e-06	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	5073	120	62	17376	0.5166666666666667	0.0122215651488271	query_1	['GO:0019222', 'GO:0044237', 'GO:0050794']	['MLX', 'MET', 'EIF4H', 'MLXIPL', 'VEGFB', 'DNAJC30', 'FN1', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'RET', 'SHC1', 'PLCG2', 'LRP4', 'SOS1', 'LOX', 'ITGA5', 'FYN', 'BUD23', 'NCF1', 'LAT', 'BCL7B', 'SMARCA5', 'GTF2I', 'LYN', 'FBLN5', 'GRB2', 'LCP2', 'EGFR', 'RFC2', 'KDR', 'SYK', 'FCGR1A', 'ERBB2', 'MUSK', 'CDH1', 'TRMT112', 'PTK2B', 'VEGFA', 'AGRN', 'SH3GL2', 'GTF2IRD2', 'CRKL', 'VTN', 'BAZ1B', 'GTF2IRD1', 'PTK2', 'NRP1', 'EMILIN1', 'THBS1', 'CBL', 'PTPN11', 'PDGFRA', 'SEMA4D', 'FLT1', 'GTF2IRD2B', 'PGF']
478	GO:BP	GO:0060249	anatomical structure homeostasis	2.064206813703326e-06	True	"""A homeostatic process involved in the maintenance of an internal steady state within a defined anatomical structure of an organism, including control of cellular proliferation and death and control of metabolic function. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph]"	254	120	12	17376	0.1	0.0472440944881889	query_1	['GO:0048871']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'JAM3', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'SH3GL2', 'JAM2', 'PTPN11']
479	GO:BP	GO:0001894	tissue homeostasis	2.064206813703326e-06	True	"""A homeostatic process involved in the maintenance of an internal steady state within a defined tissue of an organism, including control of cellular proliferation and death and control of metabolic function."" [GOC:add, GOC:isa_complete]"	254	120	12	17376	0.1	0.0472440944881889	query_1	['GO:0048871', 'GO:0060249']	['ITGB1', 'SRC', 'SPP1', 'ITGB3', 'JAM3', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'SH3GL2', 'JAM2', 'PTPN11']
480	GO:CC	GO:0031091	platelet alpha granule	2.12755752346641e-06	True	"""A secretory organelle found in blood platelets, which is unique in that it exhibits further compartmentalization and acquires its protein content via two distinct mechanisms: (1) biosynthesis predominantly at the megakaryocyte (MK) level (with some vestigial platelet synthesis) (e.g. platelet factor 4) and (2) endocytosis and pinocytosis at both the MK and circulating platelet levels (e.g. fibrinogen (Fg) and IgG)."" [PMID:8467233]"	88	120	8	17376	0.0666666666666666	0.0909090909090909	query_1	['GO:0030141']	['VEGFB', 'FN1', 'ITGB3', 'TGFB3', 'HGF', 'ITGA2B', 'VEGFA', 'THBS1']
481	GO:BP	GO:0007264	small GTPase mediated signal transduction	2.133123838112747e-06	True	"""The series of molecular signals in which a small monomeric GTPase relays a signal."" [GOC:mah]"	480	120	16	17376	0.1333333333333333	0.0333333333333333	query_1	['GO:0035556']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'SRC', 'CRK', 'SOS1', 'LAT', 'GRB2', 'VAV1', 'CRKL', 'NRP1', 'ITGA3', 'CBL', 'GRAP2']
482	GO:BP	GO:0051896	regulation of protein kinase B signaling	2.1719732359977664e-06	True	"""Any process that modulates the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B."" [GOC:ai]"	164	120	10	17376	0.0833333333333333	0.0609756097560975	query_1	['GO:0043491', 'GO:1902531']	['MET', 'RAPGEF1', 'ITGB1', 'VEGFB', 'SRC', 'RET', 'EGFR', 'VEGFA', 'PTK2', 'THBS1']
483	GO:BP	GO:1990858	cellular response to lectin	2.1890825439555275e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	120	5	17376	0.0416666666666666	0.25	query_1	['GO:1990840']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
484	GO:BP	GO:1990840	response to lectin	2.1890825439555275e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lectin stimulus. A lectin is a carbohydrate-binding protein, highly specific for binding sugar moieties."" [PMID:25996210, PMID:26306444]"	20	120	5	17376	0.0416666666666666	0.25	query_1	['GO:0009607']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
485	GO:BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	2.1890825439555275e-06	True	"""The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	20	120	5	17376	0.0416666666666666	0.25	query_1	['GO:0002220', 'GO:1990858']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
486	GO:BP	GO:0044089	positive regulation of cellular component biogenesis	2.223257763899028e-06	True	"""Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	482	120	16	17376	0.1333333333333333	0.0331950207468879	query_1	['GO:0044085', 'GO:0044087', 'GO:0048522']	['LIMK1', 'MET', 'SRC', 'TGFB3', 'PIK3R1', 'PLCG2', 'PXN', 'GRB2', 'KDR', 'SYK', 'PTK2B', 'VEGFA', 'AGRN', 'NRP1', 'EMILIN1', 'SEMA4D']
487	GO:BP	GO:0090218	positive regulation of lipid kinase activity	2.327354907180601e-06	True	"""Any process that increases the frequency, rate or extent of lipid kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a simple or complex lipid."" [GOC:dph, GOC:tb]"	38	120	6	17376	0.05	0.1578947368421052	query_1	['GO:0033674', 'GO:0043550', 'GO:0045834']	['SRC', 'LYN', 'PTK2B', 'PTK2', 'PDGFRA', 'FLT1']
488	GO:BP	GO:0050918	positive chemotaxis	2.3745363853333376e-06	True	"""The directed movement of a motile cell or organism towards a higher concentration of a chemical."" [GOC:ai, GOC:bf, GOC:isa_complete]"	62	120	7	17376	0.0583333333333333	0.1129032258064516	query_1	['GO:0006935']	['MET', 'VEGFB', 'HGF', 'KDR', 'VEGFA', 'NRP1', 'PGF']
489	REAC	REAC:R-HSA-388841	Costimulation by the CD28 family	2.5687563702982566e-06	True	Costimulation by the CD28 family	69	120	7	17376	0.0583333333333333	0.1014492753623188	query_1	['REAC:R-HSA-1280218']	['PIK3R1', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11', 'GRAP2']
490	REAC	REAC:R-HSA-9664323	FCGR3A-mediated IL10 synthesis	2.5687563702982566e-06	True	FCGR3A-mediated IL10 synthesis	43	120	6	17376	0.05	0.1395348837209302	query_1	['REAC:R-HSA-9662851']	['PLCG2', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A']
491	REAC	REAC:R-HSA-74751	Insulin receptor signalling cascade	2.9189660888346702e-06	True	Insulin receptor signalling cascade	44	120	6	17376	0.05	0.1363636363636363	query_1	['REAC:R-HSA-74752']	['PIK3R1', 'SHC1', 'SOS1', 'GAB1', 'GAB2', 'PTPN11']
492	REAC	REAC:R-HSA-400685	Sema4D in semaphorin signaling	2.935969122902417e-06	True	Sema4D in semaphorin signaling	24	120	5	17376	0.0416666666666666	0.2083333333333333	query_1	['REAC:R-HSA-373755']	['LIMK1', 'MET', 'PLXNB1', 'ERBB2', 'SEMA4D']
493	GO:BP	GO:2000401	regulation of lymphocyte migration	2.9568476985609453e-06	True	"""Any process that modulates the frequency, rate or extent of lymphocyte migration."" [GOC:mah]"	64	120	7	17376	0.0583333333333333	0.109375	query_1	['GO:0071675', 'GO:0072676']	['ITGB3', 'CRK', 'ITGA4', 'MADCAM1', 'PTK2B', 'CRKL', 'JAM2']
494	GO:BP	GO:0051129	negative regulation of cellular component organization	2.962818817220791e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	695	120	19	17376	0.1583333333333333	0.0273381294964028	query_1	['GO:0016043', 'GO:0048523', 'GO:0051128']	['MET', 'ITGAV', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'HGF', 'LRP4', 'FYN', 'SMARCA5', 'JAM3', 'CDH1', 'VEGFA', 'BAZ1B', 'NRP1', 'EMILIN1', 'THBS1', 'ITGA3', 'SEMA4D']
495	GO:BP	GO:0072593	reactive oxygen species metabolic process	3.000835560936032e-06	True	"""The chemical reactions and pathways involving a reactive oxygen species, any molecules or ions formed by the incomplete one-electron reduction of oxygen. They contribute to the microbicidal activity of phagocytes, regulation of signal transduction and gene expression, and the oxidative damage to biopolymers."" [GOC:mah]"	215	120	11	17376	0.0916666666666666	0.0511627906976744	query_1	['GO:0044237']	['SHC1', 'PLCG2', 'FYN', 'NCF1', 'SH3PXD2A', 'FBLN5', 'GRB2', 'VAV1', 'SYK', 'PTK2B', 'THBS1']
496	GO:BP	GO:0034109	homotypic cell-cell adhesion	3.13366629779631e-06	True	"""The attachment of a cell to a second cell of the identical type via adhesion molecules."" [GOC:add]"	95	120	8	17376	0.0666666666666666	0.0842105263157894	query_1	['GO:0098609']	['FN1', 'ITGB3', 'LYN', 'VCL', 'SYK', 'TLN1', 'EMILIN1', 'PDGFRA']
497	GO:BP	GO:0009725	response to hormone	3.134774578779915e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]"	845	120	21	17376	0.175	0.0248520710059171	query_1	['GO:0009719', 'GO:0010033']	['BCAR1', 'SRC', 'SPP1', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'SHC1', 'SOS1', 'GAB1', 'LOX', 'PXN', 'LYN', 'GRB2', 'FBN1', 'PTK2B', 'PTK2', 'THBS1', 'ITGA3', 'PTPN11', 'PGF']
498	GO:CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	3.1699450058688424e-06	True	"""The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its cytoplasmic surface, but not integrated into the hydrophobic region."" [GOC:mah]"	93	120	8	17376	0.0666666666666666	0.086021505376344	query_1	['GO:0009898', 'GO:0019897']	['SRC', 'FYN', 'ZAP70', 'LYN', 'SYK', 'PTK2B', 'PTK2', 'LCK']
499	GO:BP	GO:0050852	T cell receptor signaling pathway	3.187351073654571e-06	True	"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:add]"	131	120	9	17376	0.075	0.0687022900763358	query_1	['GO:0050851']	['BCAR1', 'ITK', 'PLCG2', 'FYN', 'ZAP70', 'LCP2', 'PLCG1', 'CRKL', 'LCK']
500	REAC	REAC:R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	3.2129977023932057e-06	True	Paradoxical activation of RAF signaling by kinase inactive BRAF	45	120	6	17376	0.05	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
501	REAC	REAC:R-HSA-9649948	Signaling downstream of RAS mutants	3.2129977023932057e-06	True	Signaling downstream of RAS mutants	45	120	6	17376	0.05	0.1333333333333333	query_1	['REAC:R-HSA-6802949']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
502	REAC	REAC:R-HSA-6802949	Signaling by RAS mutants	3.2129977023932057e-06	True	Signaling by RAS mutants	45	120	6	17376	0.05	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
503	REAC	REAC:R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	3.2129977023932057e-06	True	Signaling by moderate kinase activity BRAF mutants	45	120	6	17376	0.05	0.1333333333333333	query_1	['REAC:R-HSA-6802957']	['FN1', 'SRC', 'ITGB3', 'ITGA2B', 'VCL', 'TLN1']
504	GO:BP	GO:0035583	sequestering of TGFbeta in extracellular matrix	3.3140357172662354e-06	True	"""Confining TGFbeta to the extracellular matrix (ECM) such that it is separated from other components of the signaling pathway, including its cell surface receptor. TGFbeta is secreted as part of a latent complex that is targeted to the extracellular matrix through latent-TGFbeta-binding protein (LTBP)-mediated association with matrix proteins."" [GOC:bf, GOC:BHF, GOC:signaling, PMID:12482908, PMID:20855508]"	3	120	3	17376	0.025	1.0	query_1	['GO:0030512', 'GO:0035581', 'GO:0071694']	['LTBP1', 'FBN1', 'FBN2']
505	GO:CC	GO:0031982	vesicle	3.4697180451424817e-06	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3792	120	51	17376	0.425	0.0134493670886075	query_1	['GO:0043227']	['RAPGEF1', 'ITGB1', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'PSAT1', 'SPP1', 'ITGB3', 'TGFB3', 'VPS37D', 'CRK', 'HGF', 'RET', 'PLCG2', 'STX1A', 'ITGA2B', 'ITGA5', 'FYN', 'ITGA4', 'NCF1', 'LYN', 'FBLN5', 'GRB2', 'FBLN2', 'LOXL1', 'EGFR', 'KDR', 'VCL', 'SYK', 'FCGR1A', 'ERBB2', 'CDH1', 'VEGFA', 'SH3KBP1', 'AGRN', 'SH3GL2', 'VTN', 'TLN1', 'VCAM1', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'FLT1', 'PLXNA1', 'GRAP2']
506	GO:CC	GO:0031256	leading edge membrane	3.490800275405727e-06	True	"""The portion of the plasma membrane surrounding the leading edge of a motile cell."" [GOC:mah]"	171	120	10	17376	0.0833333333333333	0.0584795321637426	query_1	['GO:0005886', 'GO:0031252', 'GO:0110165']	['ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'PLCG2', 'ITGA5', 'EGFR', 'PLCG1', 'ERBB2', 'TLN1']
507	GO:BP	GO:0016192	vesicle-mediated transport	3.507615637989582e-06	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1519	120	29	17376	0.2416666666666666	0.0190915075707702	query_1	['GO:0006810']	['LIMK1', 'MET', 'RAPGEF1', 'ITGB1', 'ITGAV', 'SRC', 'ITGB3', 'VPS37D', 'PLCG2', 'LRP4', 'STX1A', 'FYN', 'ITGA4', 'LAT', 'LYN', 'GRB2', 'EGFR', 'VAV1', 'SYK', 'FCGR1A', 'VEGFA', 'SH3KBP1', 'SH3GL2', 'VTN', 'GAB2', 'PTK2', 'NRP1', 'THBS1', 'CBL']
508	GO:CC	GO:0034668	integrin alpha4-beta1 complex	3.53369011443384e-06	True	"""An integrin complex that comprises one alpha4 subunit and one beta1 subunit."" [PMID:12297042]"	3	120	3	17376	0.025	1.0	query_1	['GO:0008305']	['ITGB1', 'ITGA4', 'EMILIN1']
509	GO:CC	GO:0071062	alphav-beta3 integrin-vitronectin complex	3.53369011443384e-06	True	"""A protein complex that consists of an alphav-beta3 integrin complex bound to vitronectin."" [PMID:10835423]"	3	120	3	17376	0.025	1.0	query_1	['GO:0098797']	['ITGB3', 'ITGA5', 'VTN']
510	GO:BP	GO:0043069	negative regulation of programmed cell death	3.8338322041393225e-06	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	856	120	21	17376	0.175	0.0245327102803738	query_1	['GO:0012501', 'GO:0043067', 'GO:0060548']	['MET', 'ITGB1', 'VEGFB', 'ITGAV', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'ITGA5', 'EGFR', 'KDR', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'THBS1', 'CBL', 'SEMA4D']
511	GO:BP	GO:0050865	regulation of cell activation	4.182692970301471e-06	True	"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]"	641	120	18	17376	0.15	0.0280811232449297	query_1	['GO:0001775', 'GO:0050794', 'GO:0051239']	['FN1', 'SRC', 'SOS1', 'FYN', 'LAT', 'ZAP70', 'LYN', 'VAV1', 'SYK', 'ERBB2', 'SH3KBP1', 'GAB2', 'VCAM1', 'LCK', 'EMILIN1', 'THBS1', 'PTPN11', 'PDGFRA']
512	GO:CC	GO:0005615	extracellular space	4.346723652817933e-06	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3040	120	44	17376	0.3666666666666666	0.0144736842105263	query_1	['GO:0005576', 'GO:0110165']	['ITGB1', 'ITGB5', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'PSAT1', 'SPP1', 'ITGB3', 'TGFB3', 'VPS37D', 'CRK', 'HGF', 'PLCG2', 'LOX', 'ITGA2B', 'ITGA4', 'LYN', 'FBLN5', 'GRB2', 'TNC', 'LOXL1', 'JAM3', 'EGFR', 'FBN1', 'VCL', 'CDH1', 'VEGFA', 'AGRN', 'VTN', 'TLN1', 'VCAM1', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'ITGB7', 'ADAM15', 'ITGA3', 'SEMA4D', 'FLT1', 'PGF', 'PLXNA1', 'MFAP4']
513	GO:BP	GO:0051093	negative regulation of developmental process	4.35665233271507e-06	True	"""Any process that stops, prevents or reduces the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	863	120	21	17376	0.175	0.0243337195828505	query_1	['GO:0032502', 'GO:0048519', 'GO:0050793']	['ITGB1', 'ITGAV', 'SPP1', 'ITGB3', 'PIK3R1', 'SHC1', 'LRP4', 'BCL7B', 'GTF2I', 'LYN', 'EGFR', 'FBN1', 'ERBB2', 'CDH1', 'PTK2B', 'VEGFA', 'NRP1', 'EMILIN1', 'THBS1', 'PTPN11', 'SEMA4D']
514	GO:CC	GO:0048471	perinuclear region of cytoplasm	4.6360344601879255e-06	True	"""Cytoplasm situated near, or occurring around, the nucleus."" [GOC:jid]"	716	120	19	17376	0.1583333333333333	0.026536312849162	query_1	['GO:0005737', 'GO:0110165']	['RAPGEF1', 'ITGB1', 'EIF4H', 'SRC', 'SPP1', 'PIK3R1', 'PLCG2', 'FYN', 'BUD23', 'LYN', 'EGFR', 'ERBB2', 'CDH1', 'TRMT112', 'PTK2B', 'SH3GL2', 'PTK2', 'ITGA3', 'CBL']
515	GO:BP	GO:0002861	regulation of inflammatory response to antigenic stimulus	4.814454012211524e-06	True	"""Any process that modulates the frequency, rate, or extent of an inflammatory response to an antigenic stimulus."" [GOC:add]"	43	120	6	17376	0.05	0.1395348837209302	query_1	['GO:0002437', 'GO:0050727', 'GO:0050776']	['SRC', 'FYN', 'LYN', 'SYK', 'PLCG1', 'FCGR1A']
516	GO:BP	GO:0043405	regulation of MAP kinase activity	5.11938388805698e-06	True	"""Any process that modulates the frequency, rate or extent of MAP kinase activity."" [GOC:dph, GOC:go_curators]"	181	120	10	17376	0.0833333333333333	0.0552486187845303	query_1	['GO:0071900']	['SRC', 'SOS1', 'LYN', 'EGFR', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'THBS1', 'FLT1']
517	GO:BP	GO:0099173	postsynapse organization	5.11938388805698e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a postsynapse."" [GOC:dos]"	181	120	10	17376	0.0833333333333333	0.0552486187845303	query_1	['GO:0016043', 'GO:0050808']	['ITGB3', 'CRK', 'LRP4', 'FYN', 'NRP2', 'MUSK', 'PTK2B', 'CRKL', 'NRP1', 'ITGA3']
518	GO:BP	GO:0034614	cellular response to reactive oxygen species	5.14338851619236e-06	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."" [GOC:mah]"	139	120	9	17376	0.075	0.0647482014388489	query_1	['GO:0000302', 'GO:0034599', 'GO:1901701']	['MET', 'SRC', 'HGF', 'PXN', 'FYN', 'NCF1', 'FBLN5', 'EGFR', 'PDGFRA']
519	REAC	REAC:R-HSA-1963642	PI3K events in ERBB2 signaling	5.1875356530104e-06	True	PI3K events in ERBB2 signaling	12	120	4	17376	0.0333333333333333	0.3333333333333333	query_1	['REAC:R-HSA-1227986']	['PIK3R1', 'GAB1', 'EGFR', 'ERBB2']
520	REAC	REAC:R-HSA-9020558	Interleukin-2 signaling	5.1875356530104e-06	True	Interleukin-2 signaling	12	120	4	17376	0.0333333333333333	0.3333333333333333	query_1	['REAC:R-HSA-451927']	['SHC1', 'SYK', 'PTK2B', 'LCK']
521	GO:BP	GO:0007369	gastrulation	5.355907057294996e-06	True	"""A complex and coordinated series of cellular movements that occurs at the end of cleavage during embryonic development of most animals. The details of gastrulation vary from species to species, but usually result in the formation of the three primary germ layers, ectoderm, mesoderm and endoderm."" [GOC:curators, ISBN:9780878933846]"	182	120	10	17376	0.0833333333333333	0.0549450549450549	query_1	['GO:0048598']	['ITGB1', 'ITGB5', 'FN1', 'ITGAV', 'ITGB3', 'ITGA5', 'ITGA4', 'GRB2', 'VTN', 'ITGA3']
522	GO:BP	GO:0048871	multicellular organismal-level homeostasis	5.39937355053712e-06	True	"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]"	725	120	19	17376	0.1583333333333333	0.0262068965517241	query_1	['GO:0032501', 'GO:0042592']	['ITGB1', 'MLXIPL', 'SRC', 'SPP1', 'ITGB3', 'SOS1', 'LAT', 'LYN', 'JAM3', 'KDR', 'VCL', 'SYK', 'PTK2B', 'VEGFA', 'MFAP2', 'SH3GL2', 'ITGB6', 'JAM2', 'PTPN11']
523	GO:BP	GO:0031295	T cell costimulation	5.4514738465325385e-06	True	"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the T cell receptor to augment T cell activation."" [ISBN:0781735149]"	44	120	6	17376	0.05	0.1363636363636363	query_1	['GO:0031294', 'GO:0050870']	['SRC', 'FYN', 'LYN', 'VAV1', 'LCK', 'PTPN11']
524	GO:BP	GO:0042981	regulation of apoptotic process	5.579863896708906e-06	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	1376	120	27	17376	0.225	0.0196220930232558	query_1	['GO:0006915', 'GO:0043067']	['ITGB1', 'VEGFB', 'ITGAV', 'BCAR1', 'SRC', 'TGFB3', 'PIK3R1', 'HGF', 'RET', 'SHC1', 'LOX', 'ITGA5', 'ITGA4', 'LYN', 'EGFR', 'KDR', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PTK2', 'NRP1', 'LCK', 'EMILIN1', 'THBS1', 'CBL', 'SEMA4D']
525	GO:BP	GO:0008361	regulation of cell size	5.579863896708906e-06	True	"""Any process that modulates the size of a cell."" [GOC:go_curators]"	183	120	10	17376	0.0833333333333333	0.0546448087431694	query_1	['GO:0032535']	['LIMK1', 'FN1', 'SPP1', 'RET', 'VAV1', 'CDH1', 'VEGFA', 'L1CAM', 'NRP1', 'SEMA4D']
