Branchio-oculo-facial syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
311	REAC	REAC:R-HSA-113510	E2F mediated regulation of DNA replication	1.5052415370037852e-08	True	E2F mediated regulation of DNA replication	22	101	6	17376	0.0594059405940594	0.2727272727272727	query_1	['REAC:R-HSA-69206']	['CCNB1', 'TFDP1', 'RB1', 'E2F1', 'CDK1', 'TFDP2']
312	GO:BP	GO:0006513	protein monoubiquitination	1.7722044198572682e-08	True	"""Addition of a single ubiquitin group to a protein."" [GOC:ai]"	81	101	9	17376	0.0891089108910891	0.1111111111111111	query_1	['GO:0016567']	['BMI1', 'RING1', 'RBX1', 'PCGF6', 'SKP1', 'PCGF2', 'UBE2W', 'RNF2', 'CUL1']
313	GO:BP	GO:0051239	regulation of multicellular organismal process	1.9232929275544355e-08	True	"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]"	2815	101	42	17376	0.4158415841584158	0.0149200710479573	query_1	['GO:0032501', 'GO:0050789']	['CITED2', 'REST', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'CDK5', 'FOXO3', 'CTNNB1', 'RB1', 'HDAC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'FOXG1', 'SIN3A', 'CDKN1A', 'AR', 'E2F2', 'KDM5B', 'SMAD2', 'SMAD4', 'E2F1', 'RUVBL1', 'EHMT1', 'YY1', 'CDK1', 'CDKN2A', 'RCOR1', 'SP1', 'ESR1', 'FOXO1', 'KAT5', 'CDK4', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'CCND1']
314	GO:BP	GO:0090287	regulation of cellular response to growth factor stimulus	1.9232929275544355e-08	True	"""Any process that modulates the rate, frequency, or extent of a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:tb]"	285	101	14	17376	0.1386138613861386	0.0491228070175438	query_1	['GO:0048583', 'GO:0071363']	['CITED2', 'CDKN2B', 'CREBBP', 'CTNNB1', 'HDAC1', 'RBBP4', 'SIN3A', 'SMAD2', 'SMAD4', 'EP300', 'TFAP2B', 'TP53', 'SMAD3', 'HDAC2']
315	REAC	REAC:R-HSA-69052	Switching of origins to a post-replicative state	1.9923039443381145e-08	True	Switching of origins to a post-replicative state	92	101	9	17376	0.0891089108910891	0.0978260869565217	query_1	['REAC:R-HSA-69239']	['CCNA1', 'CCNE2', 'CCNE1', 'RBX1', 'CCNA2', 'SKP1', 'CDK2', 'SKP2', 'CUL1']
316	GO:BP	GO:0009411	response to UV	2.156539150309414e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	151	101	11	17376	0.1089108910891089	0.0728476821192053	query_1	['GO:0009416']	['AKT1', 'MYC', 'CREBBP', 'RBX1', 'CDKN2D', 'CDKN1A', 'EP300', 'YY1', 'TP53', 'KDM1A', 'CCND1']
317	GO:BP	GO:0070848	response to growth factor	2.2849001705310947e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]"	666	101	20	17376	0.198019801980198	0.03003003003003	query_1	['GO:0009719']	['CITED2', 'CDKN2B', 'AKT1', 'MYC', 'CREBBP', 'CTNNB1', 'HDAC1', 'RBBP4', 'SIN3A', 'CCNA2', 'KDM5B', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'TFAP2B', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2']
318	GO:BP	GO:0071560	cellular response to transforming growth factor beta stimulus	2.5012730425025394e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:ecd, PMID:15451575]"	241	101	13	17376	0.1287128712871287	0.0539419087136929	query_1	['GO:0071363', 'GO:0071559']	['CITED2', 'CDKN2B', 'CREBBP', 'HDAC1', 'RBBP4', 'SIN3A', 'SMAD2', 'SMAD4', 'EP300', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2']
319	GO:BP	GO:0048511	rhythmic process	2.7905515952772573e-08	True	"""Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."" [GOC:jid]"	294	101	14	17376	0.1386138613861386	0.0476190476190476	query_1	['GO:0008150']	['EZH2', 'CREBBP', 'CDK5', 'CBX3', 'HDAC1', 'SIN3A', 'KDM5B', 'EP300', 'CDK1', 'SP1', 'ESR1', 'KAT5', 'TP53', 'HDAC2']
320	GO:BP	GO:0044839	cell cycle G2/M phase transition	2.7905515952772573e-08	True	"""The cell cycle process by which a cell in G2 phase commits to M phase."" [GOC:jl, GOC:mtg_cell_cycle]"	155	101	11	17376	0.1089108910891089	0.0709677419354838	query_1	['GO:0044770']	['CCNB1', 'SIN3A', 'CDKN1A', 'CCNA2', 'CDK1', 'CDKN2A', 'CDK2', 'SKP2', 'CDK4', 'TP53', 'CCND1']
321	GO:BP	GO:0060429	epithelium development	3.0838193825443745e-08	True	"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]"	1168	101	26	17376	0.2574257425742574	0.0222602739726027	query_1	['GO:0009888']	['CITED2', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'E2F4', 'CTNNB1', 'HDAC1', 'TFAP2A', 'AR', 'KDM5B', 'SMAD2', 'SMAD4', 'EP300', 'CDK1', 'ESR1', 'KAT5', 'TFAP2B', 'FOXH1', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'CDK6', 'CCND1']
322	GO:BP	GO:0010948	negative regulation of cell cycle process	3.149032436267468e-08	True	"""Any process that decreases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	297	101	14	17376	0.1386138613861386	0.0471380471380471	query_1	['GO:0010564', 'GO:0022402', 'GO:0045786']	['CDKN2B', 'EZH2', 'CCNB1', 'RBL1', 'RBL2', 'RB1', 'CDKN2D', 'CDKN1A', 'E2F1', 'CDK1', 'CDK2', 'CDKN1B', 'TP53', 'CCND1']
323	GO:BP	GO:0040008	regulation of growth	3.17089678310824e-08	True	"""Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."" [GOC:ems, GOC:mah]"	608	101	19	17376	0.1881188118811881	0.03125	query_1	['GO:0040007', 'GO:0050789']	['CITED2', 'AKT1', 'SERTAD1', 'CDK5', 'RB1', 'SMARCA4', 'SIN3A', 'CDKN2D', 'CDKN1A', 'AR', 'SMAD4', 'YY1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK4', 'CDKN1B', 'TP53', 'SMAD3']
324	GO:BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3.2566461713225584e-08	True	"""Any process that modulates the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]"	247	101	13	17376	0.1287128712871287	0.0526315789473684	query_1	['GO:0007178', 'GO:0009966']	['CITED2', 'CDKN2B', 'CREBBP', 'HDAC1', 'RBBP4', 'SIN3A', 'SMAD2', 'SMAD4', 'EP300', 'TFAP2B', 'TP53', 'SMAD3', 'HDAC2']
325	GO:BP	GO:0071559	response to transforming growth factor beta	3.2566461713225584e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus."" [GOC:mah]"	247	101	13	17376	0.1287128712871287	0.0526315789473684	query_1	['GO:0070848']	['CITED2', 'CDKN2B', 'CREBBP', 'HDAC1', 'RBBP4', 'SIN3A', 'SMAD2', 'SMAD4', 'EP300', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2']
326	GO:BP	GO:0045931	positive regulation of mitotic cell cycle	3.2593781332560144e-08	True	"""Any process that activates or increases the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	120	101	10	17376	0.099009900990099	0.0833333333333333	query_1	['GO:0000278', 'GO:0007346', 'GO:0045787']	['AKT1', 'CCNB1', 'TFDP1', 'RB1', 'SIN3A', 'CCND2', 'CDK1', 'CCND3', 'CDK4', 'CCND1']
327	REAC	REAC:R-HSA-68911	G2 Phase	3.397447669496243e-08	True	G2 Phase	5	101	4	17376	0.0396039603960396	0.8	query_1	['REAC:R-HSA-453274']	['CCNA1', 'CCNA2', 'E2F1', 'CDK2']
328	REAC	REAC:R-HSA-111448	Activation of NOXA and translocation to mitochondria	3.397447669496243e-08	True	Activation of NOXA and translocation to mitochondria	5	101	4	17376	0.0396039603960396	0.8	query_1	['REAC:R-HSA-114452']	['TFDP1', 'E2F1', 'TP53', 'TFDP2']
329	GO:BP	GO:0006950	response to stress	3.633481949256051e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	101	49	17376	0.4851485148514851	0.0130007959671	query_1	['GO:0050896']	['CITED2', 'REST', 'CDKN2B', 'AKT1', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'TRRAP', 'CTNNB1', 'RB1', 'SMARCA4', 'RBX1', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'RUVBL1', 'MNAT1', 'YY1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'SKP2', 'CDKN1B', 'TP53', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1']
330	GO:BP	GO:0051276	chromosome organization	3.9395437808831616e-08	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	617	101	19	17376	0.1881188118811881	0.0307941653160453	query_1	['GO:0006996']	['CTCF', 'MYC', 'EZH2', 'EHMT2', 'CCNB1', 'CCNE2', 'CTNNB1', 'RB1', 'SMARCA4', 'CCNE1', 'DNMT1', 'SIN3A', 'RUVBL1', 'MNAT1', 'YY1', 'CDK1', 'CDK2', 'KAT5', 'TP53']
331	GO:BP	GO:0033044	regulation of chromosome organization	4.0725329191806936e-08	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a chromosome."" [GOC:mah]"	252	101	13	17376	0.1287128712871287	0.0515873015873015	query_1	['GO:0033043', 'GO:0051276']	['CTCF', 'MYC', 'CCNB1', 'CTNNB1', 'RB1', 'SMARCA4', 'DNMT1', 'SIN3A', 'RUVBL1', 'MNAT1', 'YY1', 'CDK2', 'KAT5']
332	GO:CC	GO:0070603	SWI/SNF superfamily-type complex	4.1308182927401e-08	True	"""A protein complex that contains an ortholog of the Saccharomyces ATPase Swi2/Snf2 as one of the catalytic subunit components (ATPase) and mediates assembly of nucleosomes, changes to the spacing or structure of nucleosomes, or some combination of those activities in a manner that requires ATP."" [GOC:bhm, GOC:krc, GOC:mah, PMID:16155938]"	96	101	9	17376	0.0891089108910891	0.09375	query_1	['GO:0000785', 'GO:0140513', 'GO:1904949']	['TRRAP', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'RUVBL1', 'YY1', 'KAT5', 'HDAC2']
333	REAC	REAC:R-HSA-1980143	Signaling by NOTCH1	4.33292824212641e-08	True	Signaling by NOTCH1	70	101	8	17376	0.0792079207920792	0.1142857142857142	query_1	['REAC:R-HSA-157118']	['MYC', 'CREBBP', 'HDAC1', 'RBX1', 'SKP1', 'EP300', 'CUL1', 'HDAC2']
334	REAC	REAC:R-HSA-9645723	Diseases of programmed cell death	4.35340594616262e-08	True	Diseases of programmed cell death	101	101	9	17376	0.0891089108910891	0.0891089108910891	query_1	['REAC:R-HSA-1643685']	['EZH2', 'CDK5', 'FOXO3', 'RBBP4', 'EED', 'DNMT1', 'SUZ12', 'CDKN2A', 'TP53']
335	REAC	REAC:R-HSA-9755511	KEAP1-NFE2L2 pathway	4.35340594616262e-08	True	KEAP1-NFE2L2 pathway	101	101	9	17376	0.0891089108910891	0.0891089108910891	query_1	['REAC:R-HSA-9711123']	['AKT1', 'MYC', 'CREBBP', 'RBX1', 'SKP1', 'EP300', 'CDKN2A', 'SKP2', 'CUL1']
336	GO:CC	GO:0001739	sex chromatin	4.770048344866324e-08	True	"""Chromatin that is part of a sex chromosome."" [GOC:dos, ISBN:0198506732]"	5	101	4	17376	0.0396039603960396	0.8	query_1	['GO:0000792', 'GO:0000803']	['RING1', 'SUZ12', 'PCGF2', 'RNF2']
337	GO:BP	GO:0009952	anterior/posterior pattern specification	4.9130585286200914e-08	True	"""The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism."" [GOC:dph, GOC:go_curators, GOC:isa_complete, GOC:tb]"	208	101	12	17376	0.1188118811881188	0.0576923076923076	query_1	['GO:0003002']	['BMI1', 'RING1', 'CTNNB1', 'SMAD2', 'SMAD4', 'EP300', 'YY1', 'PCGF2', 'FOXH1', 'RNF2', 'TP53', 'SMAD3']
338	GO:BP	GO:0006473	protein acetylation	4.9130585286200914e-08	True	"""The addition of an acetyl group to a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."" [GOC:ai]"	208	101	12	17376	0.1188118811881188	0.0576923076923076	query_1	['GO:0043543']	['BMI1', 'CREBBP', 'TRRAP', 'SMAD4', 'EP300', 'RUVBL1', 'PCGF2', 'FOXO1', 'KAT5', 'YEATS4', 'HDAC2', 'EPC1']
339	REAC	REAC:R-HSA-73762	RNA Polymerase I Transcription Initiation	5.750186005855824e-08	True	RNA Polymerase I Transcription Initiation	47	101	7	17376	0.0693069306930693	0.1489361702127659	query_1	['REAC:R-HSA-73854']	['EHMT2', 'CDK7', 'HDAC1', 'RBBP4', 'CCNH', 'MNAT1', 'HDAC2']
340	GO:BP	GO:0016043	cellular component organization	6.206940081338883e-08	True	"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]"	6030	101	64	17376	0.6336633663366337	0.0106135986733001	query_1	['GO:0071840']	['REST', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CCNA1', 'RBL1', 'KCTD1', 'CCNE2', 'RBL2', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'CDKN2D', 'E2F5', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'EP300', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'KCTD15', 'ESR1', 'KAT5', 'L3MBTL2', 'RNF2', 'CDKN1B', 'TP53', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'EPC1']
341	GO:CC	GO:0005677	chromatin silencing complex	6.447263725060468e-08	True	"""Any protein complex that mediates changes in chromatin structure that result in transcriptional silencing."" [GOC:mah]"	13	101	5	17376	0.0495049504950495	0.3846153846153846	query_1	['GO:0140513']	['EZH2', 'CBX3', 'RB1', 'YY1', 'SUZ12']
342	GO:BP	GO:0071363	cellular response to growth factor stimulus	6.485317518522365e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	637	101	19	17376	0.1881188118811881	0.0298273155416012	query_1	['GO:0070848', 'GO:0071495']	['CITED2', 'CDKN2B', 'AKT1', 'CREBBP', 'CTNNB1', 'HDAC1', 'RBBP4', 'SIN3A', 'CCNA2', 'KDM5B', 'SMAD2', 'SMAD4', 'EP300', 'E2F1', 'TFAP2B', 'FOXH1', 'TP53', 'SMAD3', 'HDAC2']
343	GO:BP	GO:0070482	response to oxygen levels	6.58963194837057e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]"	316	101	14	17376	0.1386138613861386	0.0443037974683544	query_1	['GO:0009628']	['CITED2', 'REST', 'AKT1', 'MYC', 'CREBBP', 'CCNA2', 'SMAD4', 'EP300', 'E2F1', 'FOXO1', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2']
344	REAC	REAC:R-HSA-9006931	Signaling by Nuclear Receptors	6.69537057358463e-08	True	Signaling by Nuclear Receptors	286	101	13	17376	0.1287128712871287	0.0454545454545454	query_1	['REAC:R-HSA-162582']	['AKT1', 'MYC', 'CREBBP', 'FOXO3', 'HDAC1', 'EP300', 'YY1', 'SP1', 'ESR1', 'KAT5', 'CDKN1B', 'KDM1A', 'CCND1']
345	GO:BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	6.887487281776114e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription."" [GOC:jl]"	170	101	11	17376	0.1089108910891089	0.0647058823529411	query_1	['GO:0044092', 'GO:0051090']	['EZH2', 'TFDP1', 'RB1', 'E2F2', 'E2F1', 'CDKN2A', 'ESR1', 'FOXH1', 'RNF2', 'HDAC2', 'KDM1A']
346	REAC	REAC:R-HSA-9018519	Estrogen-dependent gene expression	7.192572514156329e-08	True	Estrogen-dependent gene expression	145	101	10	17376	0.099009900990099	0.0689655172413793	query_1	['REAC:R-HSA-8939211']	['MYC', 'CREBBP', 'HDAC1', 'EP300', 'YY1', 'SP1', 'ESR1', 'KAT5', 'KDM1A', 'CCND1']
347	GO:CC	GO:0000152	nuclear ubiquitin ligase complex	7.945841607594305e-08	True	"""A ubiquitin ligase complex found in the nucleus."" [GOC:mah]"	47	101	7	17376	0.0693069306930693	0.1489361702127659	query_1	['GO:0000151', 'GO:0140513']	['BMI1', 'RING1', 'PHC1', 'PCGF6', 'PCGF2', 'RNF2', 'PHC3']
348	GO:BP	GO:0018394	peptidyl-lysine acetylation	8.23938819792526e-08	True	"""The acetylation of peptidyl-lysine."" [GOC:mah]"	173	101	11	17376	0.1089108910891089	0.0635838150289017	query_1	['GO:0006473', 'GO:0018205']	['BMI1', 'CREBBP', 'TRRAP', 'SMAD4', 'EP300', 'RUVBL1', 'PCGF2', 'KAT5', 'YEATS4', 'HDAC2', 'EPC1']
349	GO:BP	GO:0060284	regulation of cell development	8.835878028644526e-08	True	"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]"	803	101	21	17376	0.2079207920792079	0.0261519302615193	query_1	['GO:0045595', 'GO:0048468']	['REST', 'CDKN2B', 'AKT1', 'MYC', 'EZH2', 'CDK5', 'FOXO3', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'FOXG1', 'SMAD4', 'E2F1', 'CDKN2A', 'RCOR1', 'KAT5', 'TP53', 'HDAC2', 'KDM1A', 'CDK6']
350	REAC	REAC:R-HSA-8941855	RUNX3 regulates CDKN1A transcription	9.450470136255388e-08	True	RUNX3 regulates CDKN1A transcription	6	101	4	17376	0.0396039603960396	0.6666666666666666	query_1	['REAC:R-HSA-8878159']	['CDKN1A', 'SMAD4', 'TP53', 'SMAD3']
351	GO:CC	GO:0005622	intracellular anatomical structure	9.652859176929774e-08	True	"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]"	13677	101	99	17376	0.9801980198019802	0.0072384294801491	query_1	['GO:0110165']	['CITED2', 'REST', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'KCTD15', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'ACOT1', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
352	GO:BP	GO:0072331	signal transduction by p53 class mediator	9.776403280501825e-08	True	"""An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein."" [GOC:mah]"	176	101	11	17376	0.1089108910891089	0.0625	query_1	['GO:0035556']	['AKT1', 'MYC', 'CDKN1A', 'E2F2', 'EP300', 'E2F1', 'CDKN2A', 'KAT5', 'CDKN1B', 'TP53', 'KDM1A']
353	REAC	REAC:R-HSA-9758941	Gastrulation	9.887786525852788e-08	True	Gastrulation	15	101	5	17376	0.0495049504950495	0.3333333333333333	query_1	['REAC:R-HSA-1266738']	['CTNNB1', 'SMAD2', 'SMAD4', 'FOXH1', 'SMAD3']
354	REAC	REAC:R-HSA-8866910	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	9.887786525852788e-08	True	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	15	101	5	17376	0.0495049504950495	0.3333333333333333	query_1	['REAC:R-HSA-8864260']	['TFAP2C', 'TFAP2A', 'YY1', 'ESR1', 'TFAP2B']
355	REAC	REAC:R-HSA-9754189	Germ layer formation at gastrulation	9.887786525852788e-08	True	Germ layer formation at gastrulation	15	101	5	17376	0.0495049504950495	0.3333333333333333	query_1	['REAC:R-HSA-9758941']	['CTNNB1', 'SMAD2', 'SMAD4', 'FOXH1', 'SMAD3']
356	REAC	REAC:R-HSA-6804758	Regulation of TP53 Activity through Acetylation	1.0013489668178833e-07	True	Regulation of TP53 Activity through Acetylation	30	101	6	17376	0.0594059405940594	0.2	query_1	['REAC:R-HSA-5633007']	['AKT1', 'HDAC1', 'RBBP4', 'EP300', 'TP53', 'HDAC2']
357	GO:BP	GO:0032870	cellular response to hormone stimulus	1.0572644217205185e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:mah]"	585	101	18	17376	0.1782178217821782	0.0307692307692307	query_1	['GO:0009725', 'GO:0071310', 'GO:0071495']	['REST', 'BMI1', 'AKT1', 'MAX', 'RB1', 'HDAC1', 'SMARCA4', 'CCNA2', 'AR', 'EP300', 'SP1', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'FOXH1', 'CDK4', 'KDM1A']
358	GO:BP	GO:0000086	G2/M transition of mitotic cell cycle	1.2774232071434617e-07	True	"""The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."" [GOC:mtg_cell_cycle]"	139	101	10	17376	0.099009900990099	0.0719424460431654	query_1	['GO:0044772', 'GO:0044839']	['CCNB1', 'SIN3A', 'CDKN1A', 'CCNA2', 'CDK1', 'CDKN2A', 'CDK2', 'SKP2', 'CDK4', 'CCND1']
359	REAC	REAC:R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	1.3423207501487174e-07	True	Activation of anterior HOX genes in hindbrain development during early embryogenesis	116	101	9	17376	0.0891089108910891	0.0775862068965517	query_1	['REAC:R-HSA-5619507']	['CTCF', 'EZH2', 'CREBBP', 'RBBP4', 'EED', 'EP300', 'YY1', 'SUZ12', 'PCGF2']
360	REAC	REAC:R-HSA-5619507	Activation of HOX genes during differentiation	1.3423207501487174e-07	True	Activation of HOX genes during differentiation	116	101	9	17376	0.0891089108910891	0.0775862068965517	query_1	['REAC:R-HSA-1266738']	['CTCF', 'EZH2', 'CREBBP', 'RBBP4', 'EED', 'EP300', 'YY1', 'SUZ12', 'PCGF2']
361	REAC	REAC:R-HSA-9614657	FOXO-mediated transcription of cell death genes	1.379069488661402e-07	True	FOXO-mediated transcription of cell death genes	16	101	5	17376	0.0495049504950495	0.3125	query_1	['REAC:R-HSA-9614085']	['CITED2', 'CREBBP', 'FOXO3', 'EP300', 'FOXO1']
362	GO:BP	GO:0016574	histone ubiquitination	1.498315198059303e-07	True	"""The modification of histones by addition of ubiquitin groups."" [GOC:ai]"	47	101	7	17376	0.0693069306930693	0.1489361702127659	query_1	['GO:0016567', 'GO:0016570']	['BMI1', 'RING1', 'PHC1', 'PCGF6', 'SUZ12', 'PCGF2', 'RNF2']
363	GO:BP	GO:0003002	regionalization	1.507862443507517e-07	True	"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]"	398	101	15	17376	0.1485148514851485	0.0376884422110552	query_1	['GO:0007389']	['CITED2', 'BMI1', 'RING1', 'CTNNB1', 'FOXG1', 'AR', 'SMAD2', 'SMAD4', 'EP300', 'YY1', 'PCGF2', 'FOXH1', 'RNF2', 'TP53', 'SMAD3']
364	GO:BP	GO:0009628	response to abiotic stimulus	1.5590844929423858e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"	1086	101	24	17376	0.2376237623762376	0.0220994475138121	query_1	['GO:0050896']	['CITED2', 'REST', 'AKT1', 'MYC', 'CREBBP', 'CDK5', 'CTNNB1', 'RBX1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'SMAD4', 'EP300', 'CCND2', 'E2F1', 'YY1', 'FOXO1', 'KAT5', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
